,MYO3B_MUT,GALC_DEL,MKRN3_MUT,DLG2_DEL,FAM75A6_AMP,NRXN3_DEL,FLNA_MUT,NLGN1_DEL,LOC643733_DEL,SOS1_MUT,CARD16_DEL,AFF1_MUT,IFNA16_DEL,TEX14_MUT,TRIML2_DEL,TNRC6B_MUT,CASP4_DEL,MMP20_DEL,IFNA14_DEL,TRIML1_DEL,JAK2_AMP,LOC283585_DEL,EXT2_MUT,LILRA3_DEL,EFCAB11_DEL,CDK5RAP3_AMP,EPHA2_MUT,DCAF10_DEL,ZFP42_DEL,IFNA4_DEL
522,4.0,10.0,17.0,99.0,227.0,0.0,3.0,698.0,52.0,602.0,12.0,163.0,1160.0,485.0,6287.0,1365.0,70.0,32.0,259.0,81.0,368.0,64.0,689.0,447.0,49.0,13.0,361.0,37.0,126.0,1123.0
571,96.0,2.0,5.0,169.0,548.0,453.0,38.0,140.0,41.0,117.0,37.0,1376.0,390.0,1090.0,180.0,18.0,57.0,125.0,415.0,178.0,19.0,232.0,129.0,110.0,14.0,83.0,9.0,1.0,171.0,198.0
620,1.0,7.0,2.0,2889.0,13787.0,5.0,4.0,99.0,75.0,8.0,74.0,11790.0,81.0,3577.0,40.0,12362.0,101.0,106.0,129.0,14.0,759.0,6683.0,240.0,1308.0,20.0,62.0,22.0,0.0,71.0,172.0
669,62.0,31.0,0.0,42.0,2364.0,9.0,15.0,6117.0,13.0,2.0,24.0,16520.0,442.0,16636.0,6255.0,16848.0,46.0,26.0,76.0,4097.0,1148.0,101.0,432.0,307.0,144.0,23038.0,215.0,4.0,6.0,64.0
718,1.0,4.0,10.0,30.0,1002.0,329.0,8.0,1891.0,13.0,5.0,20.0,1021.0,34.0,716.0,548.0,177.0,57.0,266.0,4765.0,123.0,25.0,7053.0,50.0,1385.0,106.0,23051.0,6.0,173.0,219.0,87.0
767,215.0,55.0,15.0,98.0,45.0,1.0,4.0,556.0,18.0,0.0,33.0,16530.0,3584.0,28.0,407.0,17.0,70.0,38.0,1162.0,116.0,2.0,495.0,210.0,25.0,346.0,152.0,6.0,7.0,471.0,5644.0
816,19.0,48.0,56.0,36.0,4.0,0.0,1252.0,15.0,16.0,1.0,18.0,1982.0,129.0,203.0,31.0,74.0,35.0,51.0,3027.0,229.0,17.0,392.0,70.0,166.0,82.0,21.0,60.0,94.0,20415.0,37.0
865,2.0,216.0,0.0,33.0,22.0,15.0,17.0,117.0,61.0,26.0,4.0,289.0,997.0,116.0,14.0,57.0,67.0,82.0,124.0,36.0,90.0,6779.0,53.0,111.0,285.0,6.0,21.0,16.0,171.0,322.0
914,36.0,2.0,0.0,167.0,45.0,131.0,3.0,32.0,38.0,332.0,4.0,2431.0,3931.0,11.0,101.0,228.0,9.0,137.0,3964.0,66.0,22.0,2894.0,68.0,20671.0,383.0,147.0,33.0,21.0,20470.0,103.0
963,325.0,0.0,113.0,5.0,24.0,22.0,9.0,1.0,51.0,54.0,317.0,673.0,581.0,16.0,7.0,1039.0,75.0,148.0,122.0,1121.0,8.0,41.0,132.0,1474.0,1140.0,73.0,34.0,23.0,20471.0,180.0
1012,0.0,4.0,3092.0,7238.0,62.0,1.0,397.0,35.0,11.0,698.0,331.0,16565.0,462.0,418.0,137.0,1227.0,20.0,413.0,4182.0,13.0,261.0,53.0,16847.0,1020.0,99.0,116.0,16732.0,1320.0,20365.0,4120.0
1061,745.0,403.0,19.0,46.0,31.0,62.0,291.0,15.0,399.0,4755.0,3493.0,21.0,99.0,2.0,992.0,8759.0,398.0,97.0,1016.0,2570.0,77.0,8.0,20.0,0.0,4.0,107.0,732.0,245.0,1080.0,4192.0
1110,22.0,52.0,920.0,45.0,71.0,27.0,21.0,5181.0,336.0,33.0,335.0,308.0,4989.0,16622.0,48.0,138.0,100.0,102.0,318.0,23.0,94.0,40.0,105.0,123.0,30.0,95.0,163.0,3.0,24.0,42.0
1159,52.0,25.0,16924.0,3050.0,463.0,3.0,19.0,723.0,70.0,1516.0,69.0,51.0,2372.0,36.0,437.0,20.0,324.0,432.0,1006.0,41.0,152.0,47.0,129.0,21118.0,27.0,190.0,139.0,40.0,230.0,1079.0
1208,16703.0,7.0,16912.0,42.0,4.0,10.0,41.0,8207.0,10555.0,391.0,361.0,3.0,460.0,74.0,77.0,48.0,204.0,453.0,107.0,29.0,5.0,112.0,1049.0,915.0,14.0,6.0,93.0,72.0,106.0,75.0
1257,5.0,48.0,10.0,403.0,641.0,6.0,23.0,925.0,11.0,64.0,36.0,0.0,3524.0,169.0,8.0,16853.0,47.0,49.0,4441.0,147.0,21.0,83.0,30.0,1542.0,89.0,872.0,933.0,3.0,42.0,4461.0
1306,550.0,22.0,1297.0,530.0,17.0,565.0,108.0,483.0,12606.0,23.0,445.0,345.0,977.0,83.0,133.0,29.0,102.0,544.0,1328.0,7.0,6.0,566.0,100.0,19.0,88.0,23998.0,198.0,204.0,12.0,800.0
1355,331.0,20.0,98.0,463.0,11.0,2.0,61.0,397.0,12274.0,362.0,20028.0,29.0,2913.0,354.0,637.0,128.0,9944.0,9048.0,4134.0,1016.0,15.0,47.0,110.0,26.0,35.0,107.0,16719.0,84.0,20468.0,384.0
1404,109.0,0.0,23.0,128.0,2700.0,1999.0,581.0,8165.0,376.0,1467.0,377.0,7.0,5684.0,168.0,62.0,14.0,380.0,113.0,5689.0,3.0,11.0,24.0,16849.0,21125.0,55.0,23024.0,126.0,33.0,72.0,1832.0
1453,17.0,14.0,79.0,12.0,2305.0,7.0,189.0,171.0,2581.0,0.0,19385.0,6.0,258.0,15.0,32.0,78.0,9229.0,9936.0,4220.0,52.0,181.0,275.0,61.0,19471.0,961.0,21757.0,1021.0,26.0,791.0,392.0
1502,279.0,27.0,10.0,477.0,7.0,1170.0,24.0,230.0,112.0,1.0,402.0,2510.0,57.0,43.0,20.0,16833.0,46.0,401.0,11.0,17.0,94.0,178.0,16718.0,2170.0,87.0,577.0,3256.0,19.0,180.0,58.0
1551,29.0,9.0,19.0,74.0,3.0,1469.0,4.0,48.0,33.0,0.0,23.0,35.0,434.0,51.0,823.0,15.0,80.0,70.0,96.0,621.0,15442.0,6129.0,140.0,2.0,66.0,85.0,37.0,20.0,20340.0,191.0
1600,20.0,4.0,13.0,40.0,0.0,5.0,25.0,155.0,109.0,265.0,26.0,30.0,10.0,37.0,219.0,24.0,124.0,68.0,6.0,107.0,368.0,151.0,18.0,93.0,9179.0,699.0,11.0,48.0,16.0,64.0
1649,58.0,6.0,70.0,6542.0,1.0,0.0,148.0,12.0,13416.0,76.0,142.0,889.0,78.0,26.0,845.0,696.0,585.0,115.0,751.0,123.0,256.0,37.0,10930.0,28.0,38.0,22146.0,9918.0,1426.0,4.0,740.0
1698,100.0,77.0,1.0,12.0,2.0,19.0,106.0,39.0,114.0,7.0,115.0,11.0,241.0,78.0,15.0,66.0,483.0,113.0,87.0,89.0,260.0,934.0,258.0,25.0,9.0,82.0,43.0,28.0,825.0,36.0
1747,82.0,4.0,79.0,425.0,12.0,11.0,561.0,43.0,12280.0,6.0,1884.0,16533.0,2669.0,0.0,5941.0,5.0,9835.0,9064.0,626.0,151.0,15421.0,89.0,1250.0,16.0,22.0,593.0,186.0,157.0,20470.0,519.0
1796,19.0,66.0,5.0,13.0,0.0,55.0,81.0,4.0,47.0,6.0,75.0,14.0,2.0,17.0,691.0,35.0,80.0,74.0,58.0,1045.0,432.0,154.0,129.0,10.0,128.0,27.0,253.0,50.0,156.0,8.0
1845,0.0,34.0,1.0,402.0,11.0,116.0,1256.0,139.0,109.0,3.0,124.0,2554.0,6.0,4.0,173.0,614.0,406.0,52.0,29.0,4909.0,15167.0,6781.0,16754.0,63.0,51.0,786.0,155.0,335.0,167.0,78.0
1894,12.0,18.0,3.0,32.0,2.0,416.0,471.0,11.0,113.0,25.0,44.0,196.0,4280.0,10.0,707.0,16840.0,128.0,447.0,171.0,690.0,864.0,535.0,16822.0,19.0,680.0,34.0,111.0,149.0,50.0,52.0
1943,16702.0,3.0,43.0,2.0,1.0,6.0,222.0,24.0,105.0,0.0,14.0,26.0,1289.0,223.0,1140.0,4.0,123.0,104.0,2894.0,4802.0,9.0,48.0,756.0,67.0,29.0,33.0,16701.0,144.0,73.0,4091.0
1992,6.0,14.0,5.0,20.0,825.0,164.0,35.0,27.0,33.0,15.0,58.0,148.0,60.0,100.0,7.0,91.0,71.0,73.0,78.0,76.0,2864.0,62.0,0.0,17.0,294.0,22549.0,18.0,12.0,524.0,697.0
2041,69.0,9.0,86.0,29.0,125.0,179.0,6.0,7.0,24.0,419.0,53.0,56.0,48.0,14.0,60.0,20.0,65.0,9005.0,590.0,12.0,2228.0,45.0,5.0,4.0,11.0,22796.0,133.0,10.0,19.0,374.0
2090,3542.0,29.0,25.0,53.0,23.0,89.0,4.0,74.0,35.0,1889.0,348.0,40.0,13.0,2570.0,7.0,67.0,15.0,65.0,205.0,1.0,18657.0,110.0,36.0,423.0,92.0,83.0,362.0,9897.0,28.0,4406.0
2139,19.0,86.0,4.0,40.0,12.0,8186.0,894.0,7.0,49.0,17101.0,48.0,3.0,5605.0,47.0,6.0,15.0,27.0,41.0,252.0,55.0,34.0,134.0,91.0,23.0,31.0,101.0,81.0,265.0,54.0,5505.0
2188,373.0,17.0,4.0,10.0,1091.0,42.0,16867.0,99.0,50.0,70.0,19.0,316.0,429.0,46.0,45.0,2053.0,38.0,72.0,1188.0,55.0,15227.0,33.0,297.0,132.0,40.0,149.0,749.0,7659.0,3.0,4162.0
2237,5.0,19.0,2.0,0.0,541.0,27.0,90.0,17.0,11.0,325.0,32.0,2658.0,609.0,16653.0,8.0,321.0,35.0,49.0,3689.0,28.0,20.0,82.0,163.0,83.0,30.0,251.0,16739.0,3218.0,244.0,4359.0
2286,47.0,5.0,7.0,9.0,49.0,9538.0,824.0,0.0,55.0,73.0,15.0,26.0,113.0,2539.0,37.0,239.0,63.0,18.0,133.0,38.0,449.0,7154.0,75.0,51.0,159.0,22827.0,1.0,411.0,127.0,64.0
2335,2.0,50.0,5.0,3.0,29.0,6.0,7.0,157.0,31.0,15.0,73.0,12.0,516.0,23.0,10.0,17.0,158.0,92.0,879.0,21.0,15162.0,286.0,106.0,1.0,9169.0,639.0,28.0,478.0,26.0,352.0
2384,8.0,16.0,1290.0,61.0,41.0,107.0,1.0,38.0,40.0,0.0,169.0,69.0,1083.0,6.0,92.0,4.0,447.0,588.0,753.0,57.0,535.0,125.0,104.0,30.0,29.0,15.0,7.0,250.0,129.0,2696.0
2433,26.0,7.0,76.0,25.0,785.0,5.0,153.0,0.0,21.0,48.0,85.0,1071.0,36.0,72.0,53.0,110.0,22.0,23.0,61.0,275.0,331.0,64.0,1331.0,2.0,9124.0,43.0,135.0,7570.0,35.0,54.0
2482,0.0,51.0,29.0,1.0,191.0,57.0,166.0,3.0,8584.0,46.0,97.0,103.0,56.0,14.0,18.0,61.0,104.0,458.0,578.0,5629.0,220.0,33.0,34.0,20206.0,532.0,23033.0,147.0,365.0,378.0,19.0
2531,3043.0,45.0,77.0,5218.0,832.0,468.0,230.0,232.0,25.0,128.0,26.0,16537.0,33.0,1314.0,38.0,368.0,12.0,36.0,3476.0,191.0,169.0,103.0,1068.0,1276.0,674.0,22807.0,16701.0,283.0,24.0,383.0
2580,24.0,375.0,7.0,21.0,22.0,47.0,16844.0,2.0,16.0,370.0,20037.0,1016.0,17.0,74.0,4317.0,49.0,27.0,437.0,43.0,4.0,231.0,7067.0,323.0,1164.0,9162.0,235.0,62.0,1343.0,55.0,611.0
2629,0.0,8.0,1.0,70.0,15703.0,1027.0,30.0,2070.0,8989.0,856.0,334.0,9.0,34.0,2.0,47.0,144.0,32.0,97.0,57.0,24.0,18.0,317.0,445.0,2686.0,149.0,84.0,4.0,53.0,539.0,50.0
2678,818.0,6.0,2.0,13.0,15707.0,3.0,155.0,153.0,12167.0,10.0,395.0,2794.0,300.0,56.0,55.0,412.0,9901.0,113.0,142.0,163.0,143.0,35.0,170.0,2785.0,572.0,732.0,327.0,259.0,28.0,172.0
2727,1351.0,271.0,6.0,0.0,15747.0,608.0,51.0,255.0,39.0,68.0,120.0,859.0,57.0,59.0,256.0,136.0,385.0,60.0,64.0,4.0,2231.0,15.0,88.0,146.0,84.0,343.0,1.0,193.0,10.0,4065.0
2776,0.0,118.0,48.0,6.0,780.0,1026.0,72.0,26.0,11.0,93.0,12.0,757.0,16.0,44.0,31.0,4.0,10.0,25.0,1.0,83.0,15464.0,393.0,57.0,496.0,656.0,23027.0,13.0,7648.0,448.0,116.0
2825,2.0,25.0,41.0,35.0,132.0,9622.0,7.0,6.0,76.0,373.0,86.0,399.0,19.0,832.0,2536.0,5.0,53.0,482.0,28.0,14.0,66.0,48.0,194.0,171.0,387.0,151.0,243.0,9317.0,472.0,8.0
2874,2.0,33.0,12.0,46.0,785.0,38.0,17.0,1050.0,10086.0,795.0,20268.0,20.0,39.0,88.0,45.0,627.0,622.0,8024.0,170.0,54.0,25.0,4512.0,1169.0,21114.0,59.0,2367.0,29.0,265.0,41.0,123.0
2923,24.0,5.0,29.0,44.0,13683.0,249.0,8340.0,15.0,52.0,1888.0,51.0,177.0,11.0,187.0,9.0,366.0,23.0,69.0,1.0,265.0,1466.0,109.0,131.0,61.0,554.0,354.0,20.0,8232.0,36.0,59.0
2972,3.0,4.0,2.0,1.0,0.0,6.0,189.0,61.0,362.0,182.0,118.0,1376.0,13.0,328.0,38.0,35.0,364.0,453.0,68.0,28.0,49.0,2982.0,717.0,207.0,736.0,23086.0,54.0,52.0,254.0,2767.0
3021,15.0,18.0,7.0,227.0,0.0,8.0,26.0,38.0,61.0,21.0,60.0,822.0,10.0,134.0,93.0,51.0,130.0,80.0,13.0,68.0,251.0,1091.0,70.0,740.0,73.0,330.0,2512.0,268.0,20347.0,11.0
3070,1.0,6.0,10.0,5146.0,3.0,20.0,16857.0,78.0,446.0,75.0,62.0,231.0,0.0,45.0,76.0,108.0,9969.0,611.0,9.0,32.0,47.0,6832.0,678.0,1524.0,121.0,1764.0,85.0,2386.0,20355.0,42.0
3119,1.0,42.0,37.0,48.0,23.0,47.0,79.0,123.0,338.0,17142.0,76.0,138.0,5.0,385.0,43.0,678.0,339.0,108.0,25.0,22.0,349.0,3934.0,40.0,808.0,4529.0,2303.0,97.0,442.0,20358.0,491.0
3168,17.0,25.0,38.0,1584.0,0.0,31.0,102.0,139.0,47.0,42.0,66.0,4.0,28.0,35.0,356.0,128.0,78.0,130.0,1.0,79.0,125.0,4554.0,20.0,754.0,305.0,173.0,203.0,156.0,235.0,192.0
3217,2.0,0.0,3.0,67.0,157.0,42.0,13.0,336.0,56.0,792.0,24.0,48.0,49.0,23.0,6311.0,16.0,45.0,32.0,5.0,578.0,15.0,943.0,14.0,681.0,5056.0,30.0,217.0,783.0,3466.0,7.0
3266,5.0,28.0,17.0,26.0,155.0,1041.0,2.0,38.0,61.0,0.0,30.0,289.0,8.0,88.0,5158.0,19.0,51.0,81.0,3.0,541.0,18.0,233.0,1249.0,10.0,9211.0,348.0,3055.0,918.0,1748.0,85.0
3315,0.0,207.0,31.0,38.0,23.0,3.0,6.0,46.0,29.0,36.0,52.0,378.0,1.0,39.0,771.0,1045.0,109.0,75.0,10.0,1271.0,99.0,857.0,86.0,1908.0,652.0,283.0,257.0,58.0,3141.0,107.0
3364,8.0,41.0,26.0,129.0,7.0,32.0,1350.0,199.0,353.0,291.0,20266.0,24.0,2.0,105.0,784.0,261.0,350.0,351.0,0.0,56.0,159.0,6023.0,2197.0,21196.0,9192.0,1705.0,127.0,388.0,93.0,14.0
3413,5.0,6.0,11.0,34.0,25.0,21.0,551.0,2.0,1471.0,160.0,152.0,66.0,29.0,665.0,7140.0,157.0,648.0,9872.0,30.0,3009.0,10.0,533.0,114.0,1215.0,103.0,704.0,1174.0,20.0,21234.0,108.0
3462,5.0,40.0,7.0,14.0,8.0,12.0,1.0,35.0,12239.0,16.0,597.0,69.0,9.0,176.0,5132.0,157.0,9984.0,9101.0,133.0,124.0,332.0,64.0,13.0,93.0,957.0,27.0,358.0,25.0,20357.0,985.0
3511,490.0,4.0,44.0,709.0,830.0,841.0,1.0,1082.0,104.0,72.0,14.0,57.0,16.0,227.0,1599.0,628.0,436.0,558.0,2.0,4457.0,74.0,91.0,121.0,35.0,86.0,29.0,161.0,1831.0,20451.0,36.0
3560,20.0,3.0,26.0,1.0,440.0,133.0,10.0,2952.0,78.0,91.0,150.0,324.0,4409.0,21.0,154.0,35.0,310.0,395.0,3009.0,377.0,99.0,87.0,143.0,9.0,390.0,278.0,37.0,38.0,20477.0,1951.0
3609,53.0,115.0,66.0,52.0,30.0,48.0,400.0,99.0,65.0,100.0,108.0,180.0,62.0,407.0,333.0,823.0,8342.0,87.0,28.0,5414.0,42.0,18.0,1372.0,13.0,15.0,24.0,16741.0,102.0,308.0,5303.0
3658,9.0,19.0,3.0,24.0,4.0,58.0,77.0,640.0,63.0,31.0,64.0,139.0,4867.0,75.0,581.0,749.0,116.0,80.0,4835.0,128.0,44.0,124.0,57.0,61.0,2379.0,11.0,17.0,7.0,228.0,363.0
3707,53.0,32.0,28.0,0.0,1721.0,14.0,114.0,1426.0,29.0,17120.0,18.0,271.0,54.0,1495.0,69.0,15.0,200.0,58.0,38.0,20.0,391.0,222.0,10.0,47.0,9162.0,771.0,71.0,13.0,23.0,26.0
3756,808.0,9.0,0.0,73.0,2.0,45.0,51.0,720.0,88.0,147.0,384.0,5.0,530.0,218.0,40.0,19.0,383.0,124.0,37.0,43.0,15210.0,16.0,26.0,56.0,1.0,38.0,884.0,172.0,1075.0,82.0
3805,188.0,54.0,32.0,19.0,4.0,512.0,41.0,1264.0,26.0,3.0,21.0,50.0,47.0,87.0,33.0,24.0,297.0,94.0,16.0,517.0,143.0,56.0,165.0,8.0,477.0,49.0,36.0,7571.0,62.0,2.0
3854,408.0,75.0,0.0,121.0,7.0,36.0,191.0,1133.0,37.0,27.0,5.0,168.0,42.0,12.0,519.0,183.0,387.0,129.0,53.0,555.0,79.0,43.0,16829.0,23.0,71.0,3.0,64.0,198.0,178.0,308.0
3903,0.0,13.0,163.0,24.0,31.0,343.0,110.0,41.0,71.0,60.0,15.0,2.0,37.0,221.0,570.0,94.0,326.0,100.0,7.0,108.0,93.0,350.0,22.0,385.0,159.0,59.0,1061.0,1383.0,73.0,35.0
3952,0.0,3.0,5.0,124.0,19.0,104.0,2.0,29.0,382.0,208.0,1170.0,292.0,584.0,66.0,5461.0,86.0,384.0,498.0,539.0,4440.0,101.0,97.0,15.0,43.0,47.0,10.0,442.0,63.0,20413.0,56.0
4001,0.0,124.0,625.0,48.0,150.0,5.0,200.0,20.0,9.0,54.0,243.0,41.0,7.0,82.0,7966.0,1068.0,246.0,299.0,73.0,210.0,166.0,23.0,32.0,8.0,108.0,767.0,301.0,24.0,20454.0,80.0
4050,11.0,37.0,19.0,2.0,6.0,55.0,3.0,0.0,89.0,57.0,126.0,152.0,5.0,3388.0,164.0,8.0,385.0,75.0,85.0,2897.0,581.0,129.0,1067.0,1.0,412.0,208.0,12.0,48.0,151.0,260.0
4099,0.0,27.0,2.0,391.0,559.0,45.0,243.0,89.0,68.0,37.0,357.0,41.0,7.0,211.0,5.0,57.0,22.0,450.0,19.0,147.0,539.0,164.0,284.0,3.0,15.0,266.0,373.0,12.0,77.0,65.0
4148,0.0,469.0,323.0,773.0,44.0,107.0,1.0,17.0,56.0,1140.0,329.0,120.0,46.0,10.0,43.0,2.0,86.0,422.0,137.0,224.0,338.0,29.0,261.0,13.0,135.0,78.0,138.0,22.0,902.0,4412.0
4197,0.0,419.0,95.0,91.0,3.0,9598.0,13.0,8.0,43.0,413.0,90.0,16.0,223.0,49.0,19.0,1.0,52.0,62.0,30.0,1425.0,493.0,31.0,103.0,382.0,33.0,98.0,2613.0,7692.0,2494.0,166.0
4246,0.0,10.0,2.0,3.0,18.0,356.0,436.0,1.0,83.0,17133.0,51.0,601.0,5795.0,11.0,166.0,294.0,403.0,105.0,2860.0,5.0,47.0,73.0,131.0,14.0,352.0,165.0,71.0,12.0,53.0,203.0
4295,2.0,21.0,172.0,771.0,17.0,26.0,30.0,3.0,16.0,17100.0,22.0,15.0,39.0,101.0,273.0,32.0,58.0,11.0,775.0,5.0,15172.0,24.0,809.0,1914.0,9158.0,825.0,1.0,73.0,161.0,237.0
4344,0.0,27.0,17.0,112.0,6.0,9502.0,2.0,10.0,77.0,1015.0,50.0,252.0,4769.0,22.0,363.0,84.0,86.0,409.0,97.0,68.0,83.0,435.0,9.0,4.0,26.0,92.0,16696.0,32.0,309.0,259.0
4393,8.0,11.0,54.0,1.0,281.0,477.0,46.0,5.0,58.0,222.0,68.0,635.0,13.0,161.0,67.0,40.0,293.0,395.0,31.0,14.0,3197.0,52.0,291.0,26.0,391.0,23038.0,16723.0,951.0,48.0,21.0
4442,6.0,17.0,2.0,15.0,208.0,279.0,11.0,148.0,195.0,20.0,50.0,0.0,281.0,12.0,146.0,29.0,431.0,9099.0,1183.0,178.0,15422.0,61.0,52.0,2814.0,125.0,30.0,68.0,387.0,20473.0,317.0
4491,47.0,2.0,6.0,0.0,459.0,21.0,8.0,176.0,12254.0,11.0,20037.0,1.0,4490.0,52.0,95.0,65.0,9861.0,9020.0,3453.0,449.0,35.0,1432.0,1702.0,154.0,1947.0,308.0,162.0,15.0,334.0,130.0
4540,16.0,13.0,17.0,146.0,27.0,218.0,0.0,324.0,184.0,17038.0,211.0,58.0,369.0,94.0,45.0,16833.0,343.0,9006.0,4396.0,4182.0,22.0,227.0,151.0,522.0,98.0,23011.0,541.0,222.0,1112.0,122.0
4589,0.0,242.0,150.0,175.0,15708.0,5.0,10.0,7625.0,54.0,3.0,21.0,34.0,5380.0,40.0,42.0,6.0,9.0,72.0,314.0,685.0,2.0,563.0,499.0,847.0,568.0,269.0,31.0,646.0,69.0,5352.0
4638,16764.0,2147.0,375.0,1.0,2049.0,9537.0,0.0,615.0,47.0,2.0,131.0,17.0,128.0,661.0,863.0,39.0,126.0,443.0,2231.0,737.0,75.0,71.0,58.0,1473.0,599.0,212.0,1276.0,7623.0,20353.0,3578.0
4687,12.0,1.0,57.0,8.0,246.0,14.0,22.0,278.0,117.0,42.0,23.0,25.0,242.0,0.0,15.0,123.0,20.0,1037.0,85.0,2.0,17.0,1338.0,394.0,20182.0,127.0,10.0,349.0,375.0,81.0,263.0
4736,544.0,83.0,21.0,2.0,15727.0,12.0,78.0,1637.0,98.0,29.0,16.0,1.0,100.0,146.0,27.0,58.0,418.0,9074.0,212.0,36.0,130.0,7.0,13.0,21182.0,226.0,23056.0,1820.0,7679.0,44.0,278.0
4785,272.0,850.0,28.0,198.0,566.0,0.0,2.0,1299.0,770.0,46.0,492.0,202.0,4046.0,57.0,180.0,319.0,108.0,9786.0,4031.0,3943.0,12.0,645.0,217.0,19307.0,458.0,38.0,129.0,33.0,563.0,4017.0
4834,73.0,143.0,28.0,1.0,104.0,0.0,11.0,42.0,310.0,101.0,17.0,10.0,20.0,48.0,50.0,754.0,309.0,145.0,13.0,435.0,96.0,184.0,60.0,20199.0,579.0,3.0,906.0,364.0,59.0,78.0
4883,47.0,4.0,288.0,35.0,15756.0,160.0,0.0,73.0,54.0,63.0,30.0,74.0,220.0,31.0,6303.0,198.0,24.0,115.0,11.0,604.0,9.0,3314.0,726.0,21179.0,86.0,261.0,16750.0,196.0,20343.0,225.0
