, JAK-STAT, TLR, H2O2, TGFB, VEGF, IL-1, TNFa, MAPK_only, MAPK_PI3K, Wnt, PI3K_only
3175,1.0,0.0,2.0,4.0,3.0,10.0,7.0,9.0,6.0,5.0,8.0
3224,2.0,0.0,1.0,9.0,3.0,8.0,6.0,7.0,10.0,4.0,5.0
3273,1.0,0.0,2.0,7.0,3.0,4.0,6.0,10.0,9.0,8.0,5.0
3322,1.0,0.0,2.0,10.0,5.0,6.0,3.0,9.0,4.0,8.0,7.0
3371,1.0,0.0,4.0,5.0,2.0,3.0,8.0,10.0,7.0,6.0,9.0
3420,1.0,0.0,2.0,8.0,3.0,7.0,6.0,9.0,5.0,10.0,4.0
3469,2.0,0.0,1.0,5.0,3.0,7.0,9.0,8.0,6.0,4.0,10.0
3518,1.0,0.0,5.0,7.0,4.0,2.0,9.0,3.0,6.0,8.0,10.0
3567,0.0,1.0,2.0,3.0,4.0,7.0,10.0,5.0,8.0,6.0,9.0
3616,0.0,1.0,6.0,2.0,7.0,3.0,10.0,4.0,5.0,8.0,9.0
3665,2.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0,5.0,8.0,10.0
3714,0.0,4.0,1.0,3.0,2.0,8.0,7.0,5.0,6.0,9.0,10.0
3763,3.0,0.0,2.0,8.0,7.0,5.0,1.0,6.0,4.0,9.0,10.0
3812,1.0,2.0,3.0,0.0,5.0,6.0,7.0,4.0,8.0,10.0,9.0
3861,0.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0,9.0,8.0,10.0
3910,2.0,5.0,0.0,1.0,8.0,4.0,3.0,9.0,10.0,6.0,7.0
3959,0.0,3.0,4.0,2.0,1.0,7.0,5.0,6.0,10.0,8.0,9.0
4008,0.0,1.0,8.0,3.0,2.0,6.0,4.0,5.0,7.0,10.0,9.0
4057,0.0,3.0,4.0,1.0,2.0,7.0,6.0,5.0,10.0,8.0,9.0
4106,0.0,1.0,3.0,4.0,2.0,7.0,5.0,6.0,10.0,8.0,9.0
4155,0.0,2.0,6.0,1.0,3.0,7.0,4.0,5.0,8.0,9.0,10.0
4204,0.0,2.0,4.0,1.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0
4253,0.0,1.0,4.0,5.0,2.0,6.0,3.0,7.0,8.0,10.0,9.0
4302,0.0,2.0,7.0,3.0,1.0,6.0,5.0,4.0,9.0,8.0,10.0
4351,1.0,0.0,4.0,5.0,2.0,6.0,3.0,7.0,8.0,9.0,10.0
4400,2.0,0.0,5.0,1.0,4.0,6.0,3.0,8.0,7.0,10.0,9.0
4449,1.0,4.0,3.0,0.0,2.0,5.0,7.0,9.0,6.0,8.0,10.0
4498,2.0,0.0,5.0,1.0,3.0,6.0,4.0,7.0,9.0,8.0,10.0
4547,1.0,0.0,4.0,2.0,3.0,5.0,6.0,9.0,7.0,8.0,10.0
4596,7.0,1.0,3.0,0.0,2.0,4.0,6.0,9.0,8.0,5.0,10.0
4645,2.0,3.0,4.0,0.0,1.0,7.0,8.0,9.0,5.0,6.0,10.0
4694,1.0,2.0,4.0,0.0,3.0,5.0,6.0,8.0,10.0,9.0,7.0
4743,5.0,1.0,2.0,0.0,3.0,6.0,8.0,7.0,10.0,4.0,9.0
4792,0.0,2.0,3.0,1.0,4.0,5.0,10.0,7.0,8.0,6.0,9.0
4841,0.0,2.0,3.0,1.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0
4890,3.0,4.0,1.0,0.0,2.0,5.0,6.0,9.0,8.0,7.0,10.0
