,hsa-miR-934,hsa-miR-223,hsa-miR-205,hsa-miR-135b,hsa-miR-155,hsa-miR-449b,hsa-miR-568,hsa-miR-449c,hsa-miR-30c,hsa-miR-1256,hsa-miR-361-5p,hsa-miR-142-5p,hsa-miR-603,hsa-miR-27b,hsa-miR-2114,hcmv-miR-US25-2-5p,hsa-miR-34c-5p,hsa-miR-662,hsa-miR-384,hsa-miR-630,hsa-miR-1269,hsa-miR-548a-3p,hsa-miR-138,hsa-miR-523,hsa-miR-583,hsa-miR-129-3p,hsa-miR-1203,hsa-miR-711,hsa-miR-1246,hsa-miR-423-5p
1928,0.0,2.0,1.0,15.0,9.0,4.0,3.0,8.0,28.0,11.0,83.0,13.0,6.0,29.0,77.0,32.0,85.0,7.0,18.0,69.0,17.0,44.0,36.0,16.0,10.0,41.0,21.0,51.0,79.0,37.0
1977,0.0,13.0,6.0,60.0,9.0,7.0,119.0,5.0,4.0,1.0,2.0,62.0,16.0,3.0,27.0,11.0,35.0,21.0,39.0,20.0,29.0,47.0,8.0,48.0,57.0,327.0,36.0,50.0,108.0,28.0
2026,0.0,16.0,6.0,3.0,13.0,10.0,37.0,1.0,4.0,2.0,9.0,11.0,26.0,8.0,19.0,14.0,12.0,47.0,22.0,65.0,18.0,32.0,25.0,23.0,134.0,114.0,17.0,5.0,69.0,86.0
2075,3.0,21.0,25.0,1.0,54.0,2.0,20.0,5.0,8.0,0.0,6.0,12.0,46.0,95.0,32.0,56.0,24.0,10.0,7.0,16.0,73.0,42.0,17.0,47.0,9.0,74.0,37.0,11.0,26.0,66.0
2124,0.0,4.0,8.0,11.0,10.0,12.0,16.0,6.0,13.0,1.0,3.0,7.0,39.0,19.0,31.0,2.0,66.0,29.0,22.0,21.0,15.0,170.0,5.0,23.0,18.0,45.0,33.0,36.0,67.0,101.0
2173,6.0,7.0,22.0,17.0,4.0,30.0,46.0,9.0,1.0,0.0,3.0,8.0,12.0,5.0,24.0,10.0,121.0,2.0,28.0,16.0,27.0,31.0,23.0,41.0,156.0,95.0,13.0,21.0,45.0,480.0
2222,0.0,8.0,17.0,11.0,59.0,6.0,82.0,7.0,5.0,1.0,9.0,37.0,81.0,10.0,16.0,3.0,47.0,18.0,12.0,66.0,25.0,30.0,2.0,24.0,85.0,86.0,124.0,15.0,19.0,34.0
2271,0.0,9.0,3.0,7.0,8.0,30.0,56.0,4.0,1.0,5.0,22.0,10.0,2.0,16.0,27.0,90.0,25.0,32.0,11.0,41.0,60.0,55.0,12.0,83.0,121.0,101.0,15.0,6.0,70.0,49.0
2320,0.0,9.0,14.0,2.0,19.0,5.0,10.0,1.0,12.0,13.0,4.0,15.0,34.0,3.0,47.0,22.0,21.0,18.0,27.0,33.0,61.0,7.0,6.0,16.0,35.0,40.0,8.0,53.0,68.0,111.0
2369,0.0,16.0,4.0,5.0,13.0,8.0,56.0,9.0,1.0,2.0,3.0,14.0,63.0,28.0,32.0,11.0,105.0,6.0,10.0,18.0,15.0,175.0,21.0,20.0,75.0,55.0,12.0,7.0,34.0,72.0
2418,0.0,20.0,12.0,15.0,76.0,1.0,59.0,18.0,7.0,3.0,2.0,19.0,57.0,8.0,5.0,9.0,33.0,6.0,40.0,278.0,50.0,43.0,13.0,38.0,161.0,392.0,16.0,49.0,28.0,64.0
2467,0.0,3.0,1.0,6.0,2.0,5.0,4.0,22.0,9.0,10.0,19.0,59.0,12.0,15.0,13.0,45.0,23.0,16.0,17.0,30.0,7.0,11.0,26.0,31.0,94.0,14.0,101.0,57.0,29.0,25.0
2516,0.0,2.0,6.0,12.0,7.0,1.0,11.0,18.0,10.0,15.0,9.0,350.0,17.0,114.0,37.0,3.0,82.0,29.0,461.0,50.0,33.0,5.0,30.0,24.0,13.0,26.0,48.0,122.0,60.0,45.0
2565,37.0,1.0,16.0,18.0,2.0,0.0,10.0,11.0,7.0,36.0,46.0,12.0,4.0,6.0,42.0,49.0,92.0,107.0,33.0,3.0,17.0,5.0,24.0,48.0,31.0,19.0,76.0,13.0,9.0,34.0
2614,1.0,7.0,3.0,10.0,0.0,2.0,5.0,8.0,6.0,4.0,14.0,85.0,11.0,48.0,9.0,53.0,33.0,100.0,55.0,18.0,12.0,15.0,381.0,20.0,292.0,61.0,37.0,64.0,13.0,21.0
2663,0.0,19.0,1.0,22.0,3.0,2.0,10.0,6.0,17.0,8.0,30.0,40.0,15.0,34.0,44.0,24.0,43.0,27.0,52.0,26.0,4.0,7.0,16.0,50.0,36.0,11.0,57.0,9.0,32.0,25.0
2712,0.0,24.0,1.0,10.0,2.0,3.0,88.0,64.0,8.0,6.0,7.0,68.0,12.0,41.0,11.0,15.0,35.0,30.0,69.0,20.0,16.0,18.0,9.0,22.0,42.0,47.0,83.0,304.0,78.0,19.0
2761,0.0,4.0,2.0,1.0,9.0,21.0,27.0,20.0,6.0,12.0,13.0,51.0,10.0,34.0,18.0,124.0,25.0,45.0,47.0,54.0,8.0,3.0,16.0,29.0,70.0,28.0,30.0,5.0,19.0,85.0
2810,2.0,8.0,0.0,15.0,3.0,9.0,4.0,12.0,16.0,5.0,18.0,65.0,10.0,1.0,11.0,20.0,41.0,39.0,31.0,33.0,27.0,14.0,7.0,23.0,24.0,25.0,22.0,68.0,38.0,13.0
2859,0.0,7.0,2.0,3.0,28.0,1.0,4.0,10.0,6.0,5.0,16.0,87.0,8.0,60.0,31.0,18.0,34.0,32.0,29.0,33.0,9.0,48.0,12.0,19.0,40.0,15.0,83.0,22.0,27.0,477.0
2908,2.0,37.0,1.0,4.0,3.0,25.0,7.0,11.0,5.0,15.0,50.0,16.0,0.0,47.0,9.0,40.0,30.0,27.0,46.0,60.0,17.0,14.0,42.0,39.0,23.0,18.0,115.0,8.0,109.0,10.0
2957,4.0,0.0,1.0,6.0,8.0,9.0,5.0,3.0,11.0,16.0,29.0,12.0,93.0,7.0,13.0,49.0,30.0,2.0,10.0,18.0,58.0,44.0,17.0,24.0,40.0,25.0,32.0,15.0,46.0,77.0
3006,2.0,4.0,1.0,0.0,16.0,13.0,12.0,14.0,19.0,39.0,41.0,25.0,5.0,22.0,18.0,36.0,480.0,7.0,6.0,3.0,40.0,202.0,8.0,23.0,24.0,61.0,11.0,111.0,55.0,28.0
3055,3.0,5.0,9.0,0.0,8.0,2.0,11.0,13.0,4.0,6.0,7.0,27.0,19.0,22.0,12.0,119.0,35.0,1.0,61.0,14.0,66.0,206.0,24.0,16.0,15.0,29.0,26.0,68.0,33.0,54.0
3104,4.0,2.0,1.0,0.0,7.0,14.0,3.0,15.0,8.0,16.0,23.0,22.0,17.0,10.0,12.0,72.0,106.0,6.0,11.0,25.0,57.0,213.0,89.0,27.0,9.0,20.0,5.0,43.0,29.0,38.0
3153,5.0,1.0,15.0,0.0,3.0,4.0,13.0,8.0,10.0,20.0,22.0,24.0,6.0,14.0,11.0,65.0,40.0,2.0,29.0,21.0,56.0,27.0,12.0,23.0,7.0,18.0,19.0,133.0,32.0,72.0
3202,1.0,3.0,7.0,4.0,2.0,5.0,6.0,17.0,16.0,15.0,19.0,60.0,20.0,11.0,8.0,71.0,72.0,0.0,12.0,23.0,81.0,28.0,10.0,14.0,9.0,26.0,18.0,43.0,55.0,110.0
3251,1.0,0.0,17.0,4.0,3.0,26.0,15.0,6.0,18.0,5.0,32.0,41.0,25.0,13.0,8.0,123.0,24.0,2.0,36.0,7.0,31.0,50.0,61.0,29.0,9.0,43.0,10.0,14.0,86.0,437.0
3300,2.0,1.0,0.0,10.0,5.0,6.0,4.0,3.0,7.0,15.0,13.0,27.0,77.0,20.0,24.0,11.0,14.0,12.0,22.0,8.0,97.0,16.0,19.0,18.0,9.0,60.0,32.0,322.0,28.0,90.0
3349,4.0,0.0,9.0,1.0,20.0,13.0,3.0,15.0,33.0,7.0,11.0,24.0,5.0,32.0,50.0,249.0,34.0,2.0,16.0,28.0,77.0,12.0,22.0,21.0,6.0,10.0,8.0,53.0,71.0,97.0
3398,6.0,2.0,4.0,3.0,15.0,1.0,12.0,24.0,35.0,8.0,31.0,5.0,13.0,7.0,17.0,32.0,467.0,0.0,30.0,16.0,61.0,20.0,29.0,82.0,38.0,114.0,27.0,106.0,10.0,451.0
3447,2.0,0.0,11.0,10.0,16.0,1.0,4.0,6.0,42.0,7.0,31.0,23.0,64.0,3.0,36.0,14.0,28.0,12.0,32.0,20.0,34.0,5.0,8.0,50.0,25.0,27.0,43.0,9.0,33.0,55.0
3496,2.0,0.0,3.0,14.0,1.0,6.0,7.0,22.0,31.0,8.0,19.0,9.0,63.0,25.0,32.0,5.0,42.0,10.0,47.0,18.0,24.0,65.0,4.0,101.0,16.0,29.0,81.0,26.0,35.0,27.0
3545,7.0,0.0,30.0,29.0,17.0,4.0,5.0,28.0,27.0,3.0,9.0,94.0,47.0,8.0,68.0,37.0,39.0,2.0,52.0,22.0,11.0,20.0,10.0,36.0,12.0,19.0,392.0,1.0,49.0,31.0
3594,2.0,0.0,1.0,12.0,7.0,3.0,4.0,15.0,22.0,6.0,10.0,14.0,36.0,18.0,24.0,107.0,9.0,17.0,27.0,11.0,58.0,43.0,5.0,53.0,13.0,21.0,57.0,8.0,26.0,34.0
3643,1.0,0.0,14.0,9.0,11.0,5.0,7.0,16.0,19.0,3.0,17.0,25.0,13.0,4.0,60.0,30.0,12.0,6.0,15.0,27.0,36.0,10.0,20.0,68.0,8.0,26.0,37.0,2.0,40.0,18.0
3692,0.0,1.0,4.0,22.0,17.0,2.0,5.0,6.0,12.0,8.0,35.0,34.0,18.0,20.0,49.0,11.0,15.0,13.0,23.0,21.0,38.0,16.0,3.0,53.0,42.0,29.0,107.0,7.0,40.0,67.0
3741,12.0,0.0,3.0,56.0,10.0,1.0,2.0,20.0,21.0,4.0,6.0,19.0,38.0,7.0,14.0,61.0,15.0,50.0,8.0,5.0,91.0,37.0,27.0,32.0,23.0,24.0,47.0,9.0,31.0,43.0
3790,0.0,1.0,3.0,13.0,56.0,7.0,2.0,15.0,8.0,6.0,24.0,5.0,42.0,20.0,14.0,10.0,22.0,4.0,32.0,106.0,95.0,76.0,19.0,45.0,43.0,48.0,118.0,9.0,26.0,63.0
3839,8.0,0.0,4.0,6.0,17.0,19.0,2.0,14.0,23.0,12.0,7.0,20.0,24.0,13.0,37.0,77.0,5.0,33.0,10.0,60.0,9.0,18.0,1.0,46.0,55.0,3.0,35.0,15.0,56.0,30.0
3888,5.0,1.0,2.0,4.0,19.0,10.0,32.0,52.0,65.0,0.0,6.0,8.0,16.0,21.0,50.0,3.0,27.0,49.0,63.0,24.0,25.0,9.0,45.0,56.0,15.0,33.0,78.0,12.0,64.0,23.0
3937,0.0,2.0,4.0,30.0,7.0,6.0,1.0,5.0,3.0,488.0,45.0,60.0,8.0,42.0,51.0,13.0,9.0,44.0,12.0,29.0,15.0,90.0,11.0,100.0,46.0,23.0,22.0,83.0,19.0,16.0
3986,0.0,1.0,5.0,11.0,7.0,3.0,2.0,29.0,13.0,50.0,14.0,21.0,4.0,12.0,19.0,33.0,15.0,40.0,30.0,8.0,45.0,104.0,42.0,18.0,22.0,93.0,69.0,27.0,17.0,9.0
4035,0.0,2.0,20.0,18.0,7.0,3.0,1.0,21.0,4.0,71.0,12.0,79.0,13.0,23.0,17.0,9.0,29.0,5.0,31.0,24.0,40.0,159.0,10.0,36.0,15.0,6.0,27.0,8.0,16.0,44.0
4084,2.0,1.0,54.0,22.0,7.0,3.0,0.0,17.0,4.0,11.0,6.0,44.0,5.0,12.0,19.0,25.0,30.0,8.0,24.0,10.0,16.0,185.0,20.0,164.0,137.0,18.0,65.0,76.0,27.0,15.0
4133,1.0,4.0,13.0,9.0,28.0,3.0,0.0,8.0,5.0,49.0,7.0,6.0,26.0,58.0,10.0,2.0,15.0,20.0,44.0,27.0,47.0,192.0,29.0,41.0,79.0,24.0,60.0,94.0,36.0,16.0
4182,0.0,1.0,7.0,22.0,23.0,5.0,2.0,9.0,4.0,24.0,3.0,69.0,13.0,17.0,16.0,6.0,12.0,11.0,41.0,72.0,19.0,78.0,14.0,20.0,8.0,39.0,29.0,312.0,10.0,26.0
4231,0.0,1.0,17.0,11.0,8.0,4.0,2.0,9.0,3.0,73.0,5.0,12.0,14.0,40.0,45.0,6.0,10.0,7.0,24.0,74.0,16.0,42.0,30.0,31.0,32.0,20.0,21.0,25.0,54.0,47.0
4280,1.0,0.0,3.0,26.0,15.0,6.0,2.0,14.0,4.0,72.0,7.0,46.0,11.0,10.0,56.0,24.0,5.0,8.0,37.0,29.0,9.0,49.0,13.0,18.0,140.0,12.0,59.0,21.0,20.0,17.0
4329,0.0,3.0,13.0,10.0,1.0,5.0,8.0,34.0,4.0,22.0,14.0,58.0,2.0,12.0,20.0,16.0,6.0,9.0,41.0,30.0,61.0,100.0,11.0,48.0,27.0,45.0,73.0,108.0,15.0,17.0
4378,0.0,1.0,3.0,12.0,4.0,5.0,2.0,19.0,9.0,53.0,7.0,41.0,30.0,22.0,14.0,83.0,11.0,10.0,27.0,13.0,17.0,116.0,23.0,106.0,81.0,46.0,36.0,50.0,20.0,33.0
4427,1.0,4.0,2.0,0.0,10.0,15.0,7.0,430.0,18.0,17.0,98.0,3.0,26.0,5.0,46.0,59.0,14.0,37.0,12.0,6.0,22.0,21.0,99.0,48.0,36.0,348.0,51.0,70.0,68.0,49.0
4476,11.0,8.0,0.0,1.0,10.0,4.0,13.0,433.0,2.0,6.0,5.0,26.0,9.0,18.0,33.0,28.0,7.0,27.0,30.0,3.0,25.0,38.0,115.0,49.0,84.0,53.0,34.0,107.0,31.0,37.0
4525,1.0,8.0,5.0,0.0,23.0,21.0,10.0,22.0,6.0,16.0,33.0,4.0,12.0,19.0,18.0,7.0,2.0,109.0,3.0,30.0,13.0,20.0,343.0,54.0,58.0,26.0,75.0,14.0,71.0,24.0
4574,1.0,7.0,2.0,0.0,22.0,8.0,41.0,477.0,12.0,21.0,23.0,16.0,64.0,5.0,29.0,3.0,4.0,17.0,11.0,20.0,103.0,30.0,50.0,47.0,125.0,112.0,39.0,78.0,73.0,15.0
4623,5.0,2.0,1.0,0.0,6.0,9.0,26.0,128.0,17.0,14.0,13.0,3.0,31.0,7.0,21.0,22.0,4.0,57.0,16.0,10.0,8.0,33.0,51.0,66.0,86.0,59.0,28.0,122.0,29.0,37.0
4672,3.0,2.0,0.0,5.0,7.0,4.0,18.0,129.0,9.0,22.0,40.0,14.0,20.0,19.0,60.0,45.0,1.0,94.0,10.0,15.0,29.0,63.0,39.0,6.0,148.0,111.0,58.0,25.0,69.0,21.0
4721,1.0,7.0,3.0,2.0,8.0,11.0,44.0,70.0,14.0,9.0,24.0,0.0,68.0,5.0,28.0,10.0,4.0,13.0,31.0,15.0,6.0,47.0,23.0,40.0,67.0,39.0,48.0,20.0,42.0,36.0
4770,3.0,0.0,2.0,5.0,15.0,8.0,29.0,440.0,13.0,19.0,16.0,1.0,20.0,33.0,39.0,4.0,7.0,14.0,50.0,9.0,12.0,24.0,66.0,40.0,28.0,103.0,10.0,6.0,47.0,27.0
4819,4.0,9.0,7.0,0.0,33.0,15.0,22.0,490.0,10.0,12.0,18.0,5.0,8.0,1.0,54.0,59.0,2.0,17.0,24.0,19.0,25.0,3.0,104.0,42.0,39.0,71.0,23.0,52.0,34.0,35.0
4868,2.0,3.0,5.0,0.0,27.0,4.0,11.0,489.0,7.0,34.0,42.0,17.0,13.0,1.0,24.0,10.0,33.0,55.0,26.0,8.0,14.0,50.0,38.0,75.0,119.0,80.0,37.0,98.0,43.0,21.0
