,LUNG,OESOPHAGUS,GANGLIA,HAEMATOPOIETIC,THYROID,BREAST,ENDOMETRIUM,SKIN,SOFT_TISSUE,AERODIGESTIVE,LIVER,BILIARY,OVARY,URINARY,SALIVARY,PLEURA,BONE,STOMACH,KIDNEY,PANCREAS,LARGE_INTESTINE,NERVOUS,PROSTATE
3473,8.0,0.0,1.0,3.0,4.0,15.0,9.0,5.0,6.0,10.0,7.0,11.0,2.0,12.0,13.0,14.0,19.0,17.0,20.0,21.0,16.0,22.0,18.0
3522,0.0,1.0,2.0,4.0,5.0,17.0,3.0,11.0,7.0,8.0,6.0,10.0,12.0,13.0,14.0,9.0,15.0,21.0,16.0,18.0,20.0,19.0,22.0
3571,0.0,1.0,2.0,3.0,5.0,16.0,8.0,6.0,7.0,4.0,9.0,13.0,10.0,17.0,14.0,12.0,22.0,15.0,20.0,19.0,11.0,21.0,18.0
3620,4.0,0.0,1.0,7.0,2.0,14.0,3.0,8.0,9.0,11.0,10.0,12.0,6.0,5.0,13.0,22.0,21.0,15.0,18.0,17.0,19.0,20.0,16.0
3669,0.0,1.0,2.0,3.0,7.0,17.0,6.0,8.0,5.0,9.0,4.0,10.0,16.0,11.0,12.0,15.0,14.0,21.0,13.0,18.0,20.0,19.0,22.0
3718,0.0,1.0,2.0,4.0,6.0,18.0,5.0,7.0,8.0,9.0,14.0,13.0,3.0,11.0,12.0,16.0,15.0,22.0,17.0,19.0,21.0,20.0,10.0
3767,0.0,1.0,3.0,5.0,6.0,11.0,9.0,7.0,8.0,16.0,10.0,13.0,4.0,2.0,14.0,12.0,22.0,21.0,15.0,18.0,19.0,20.0,17.0
3816,0.0,1.0,5.0,2.0,3.0,7.0,10.0,4.0,8.0,9.0,15.0,11.0,6.0,13.0,12.0,16.0,20.0,14.0,21.0,19.0,17.0,22.0,18.0
3865,0.0,1.0,5.0,2.0,3.0,16.0,15.0,11.0,4.0,6.0,7.0,9.0,10.0,20.0,8.0,14.0,13.0,21.0,12.0,17.0,19.0,18.0,22.0
3914,0.0,1.0,2.0,3.0,4.0,9.0,5.0,16.0,7.0,8.0,6.0,10.0,11.0,12.0,13.0,14.0,17.0,21.0,18.0,15.0,20.0,19.0,22.0
3963,3.0,0.0,1.0,5.0,7.0,4.0,6.0,8.0,2.0,11.0,10.0,12.0,14.0,16.0,13.0,9.0,18.0,17.0,19.0,15.0,21.0,20.0,22.0
4012,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,10.0,9.0,12.0,15.0,20.0,13.0,11.0,21.0,16.0,14.0,17.0,19.0,18.0,22.0
4061,0.0,1.0,2.0,4.0,5.0,3.0,10.0,6.0,7.0,9.0,8.0,11.0,12.0,20.0,13.0,15.0,14.0,21.0,16.0,17.0,19.0,18.0,22.0
4110,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,10.0,9.0,12.0,16.0,14.0,13.0,11.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
4159,5.0,0.0,1.0,7.0,2.0,6.0,10.0,3.0,4.0,9.0,8.0,12.0,14.0,15.0,13.0,11.0,21.0,16.0,17.0,18.0,20.0,19.0,22.0
4208,0.0,5.0,6.0,1.0,2.0,7.0,3.0,8.0,9.0,10.0,4.0,13.0,15.0,16.0,14.0,12.0,21.0,17.0,18.0,11.0,20.0,19.0,22.0
4257,0.0,1.0,2.0,3.0,5.0,9.0,4.0,12.0,6.0,8.0,7.0,11.0,13.0,20.0,14.0,10.0,15.0,21.0,16.0,17.0,19.0,18.0,22.0
4306,0.0,1.0,2.0,5.0,6.0,3.0,4.0,7.0,8.0,15.0,9.0,11.0,14.0,12.0,13.0,10.0,17.0,16.0,18.0,20.0,21.0,19.0,22.0
4355,0.0,1.0,2.0,4.0,6.0,5.0,9.0,7.0,8.0,11.0,10.0,12.0,3.0,16.0,13.0,15.0,22.0,14.0,18.0,19.0,21.0,20.0,17.0
4404,3.0,4.0,5.0,8.0,1.0,0.0,11.0,9.0,10.0,6.0,2.0,13.0,7.0,20.0,14.0,12.0,17.0,21.0,18.0,15.0,16.0,19.0,22.0
4453,3.0,4.0,0.0,6.0,2.0,5.0,1.0,7.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,16.0,22.0,21.0,17.0,18.0,20.0,19.0,15.0
4502,2.0,3.0,4.0,0.0,6.0,5.0,9.0,11.0,1.0,8.0,7.0,10.0,14.0,20.0,12.0,13.0,15.0,21.0,16.0,17.0,19.0,18.0,22.0
4551,15.0,0.0,10.0,1.0,2.0,5.0,4.0,6.0,3.0,11.0,7.0,8.0,14.0,9.0,12.0,22.0,16.0,21.0,17.0,18.0,19.0,20.0,13.0
4600,0.0,1.0,2.0,4.0,6.0,9.0,3.0,7.0,8.0,19.0,5.0,10.0,11.0,12.0,13.0,16.0,15.0,21.0,14.0,18.0,20.0,17.0,22.0
4649,0.0,1.0,6.0,2.0,4.0,8.0,3.0,11.0,5.0,7.0,9.0,10.0,12.0,13.0,14.0,18.0,17.0,22.0,19.0,15.0,21.0,20.0,16.0
4698,0.0,1.0,2.0,6.0,4.0,3.0,5.0,12.0,7.0,9.0,8.0,11.0,17.0,13.0,14.0,15.0,22.0,20.0,16.0,10.0,19.0,18.0,21.0
4747,0.0,1.0,2.0,4.0,6.0,9.0,5.0,7.0,8.0,3.0,10.0,11.0,17.0,12.0,13.0,15.0,14.0,21.0,16.0,18.0,20.0,19.0,22.0
4796,0.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,7.0,9.0,8.0,11.0,17.0,12.0,13.0,15.0,14.0,21.0,16.0,18.0,20.0,19.0,22.0
4845,5.0,0.0,1.0,7.0,3.0,6.0,2.0,11.0,8.0,9.0,4.0,10.0,12.0,13.0,14.0,15.0,17.0,21.0,18.0,16.0,20.0,19.0,22.0
4894,0.0,1.0,7.0,2.0,9.0,4.0,11.0,3.0,10.0,12.0,5.0,13.0,8.0,6.0,14.0,15.0,19.0,22.0,20.0,17.0,18.0,21.0,16.0
