, JAK-STAT, MAPK_PI3K, MAPK_only, Wnt, TGFB, PI3K_only, TNFa, VEGF, H2O2, IL-1, TLR
4347,2.0,0.0,4.0,7.0,1.0,3.0,8.0,6.0,5.0,10.0,9.0
4396,2.0,0.0,4.0,8.0,1.0,5.0,3.0,6.0,9.0,7.0,10.0
4445,2.0,1.0,0.0,3.0,8.0,9.0,4.0,6.0,10.0,5.0,7.0
4494,3.0,0.0,1.0,4.0,7.0,8.0,9.0,2.0,10.0,5.0,6.0
4543,4.0,0.0,1.0,2.0,7.0,10.0,5.0,3.0,6.0,9.0,8.0
4592,2.0,1.0,0.0,4.0,3.0,8.0,6.0,5.0,7.0,10.0,9.0
4641,1.0,2.0,0.0,3.0,5.0,8.0,9.0,7.0,10.0,6.0,4.0
4690,2.0,1.0,0.0,4.0,7.0,3.0,8.0,6.0,10.0,9.0,5.0
4739,2.0,0.0,1.0,3.0,7.0,6.0,4.0,5.0,10.0,8.0,9.0
4788,1.0,2.0,0.0,3.0,4.0,7.0,6.0,5.0,10.0,9.0,8.0
4837,3.0,0.0,1.0,4.0,7.0,6.0,5.0,2.0,8.0,10.0,9.0
4886,4.0,1.0,0.0,2.0,6.0,8.0,3.0,5.0,10.0,9.0,7.0
