,FLNB_MUT,GUCY2C_MUT,MYH9_MUT,RNF103-CHMP3_DEL,HLA-DRB6_DEL,SGCZ_DEL,LOC392196_DEL,FLT4_MUT,MIR4636_AMP,MIR4278_AMP,SDHA_AMP,ETS1_DEL,AHRR_AMP,CCT5_AMP,SLC25A24_DEL,CWF19L2_AMP,RMND5A_DEL,GPR112_MUT,CEP72_AMP,MIR4458_AMP,DEFB130_DEL,PHF3_MUT,USP17L7_DEL,PTCH1_AMP,ERCC6_MUT,DBF4_MUT,ZNF705D_DEL,LOC255167_AMP,PI4KA_MUT,MED10_AMP
1596,8785.0,1504.0,0.0,12.0,69.0,32.0,5155.0,1379.0,63.0,173.0,81.0,5808.0,41.0,18399.0,228.0,825.0,91.0,9557.0,727.0,267.0,14.0,1539.0,439.0,1.0,1881.0,10946.0,8008.0,17436.0,559.0,24.0
1645,222.0,44.0,156.0,20809.0,493.0,0.0,134.0,9.0,34.0,13.0,25.0,111.0,59.0,13569.0,521.0,2.0,7920.0,23.0,243.0,56.0,104.0,669.0,4218.0,2121.0,83.0,221.0,35.0,121.0,177.0,28.0
1694,1.0,18.0,825.0,160.0,3002.0,57.0,1266.0,933.0,19.0,20.0,6.0,173.0,21664.0,3.0,879.0,2.0,120.0,13.0,350.0,16222.0,152.0,36.0,125.0,22023.0,16707.0,16643.0,8340.0,205.0,31.0,0.0
1743,8000.0,70.0,119.0,7.0,3233.0,455.0,43.0,26.0,16.0,2679.0,22279.0,677.0,21.0,68.0,513.0,5.0,218.0,1500.0,957.0,2.0,7241.0,8185.0,234.0,81.0,10230.0,9401.0,0.0,18177.0,11053.0,18.0
1792,10.0,11.0,170.0,236.0,1791.0,71.0,2.0,16674.0,160.0,135.0,21952.0,5273.0,21652.0,13579.0,6409.0,18.0,11866.0,16634.0,22696.0,16225.0,5846.0,16664.0,119.0,361.0,744.0,128.0,402.0,14102.0,246.0,59.0
1841,59.0,28.0,112.0,20867.0,822.0,41.0,81.0,16675.0,390.0,15732.0,21986.0,36.0,21633.0,13596.0,2907.0,331.0,8526.0,8.0,54.0,16370.0,29.0,348.0,0.0,389.0,16721.0,1189.0,16.0,14227.0,16489.0,182.0
1890,161.0,679.0,42.0,640.0,101.0,731.0,413.0,6864.0,10.0,12.0,21481.0,129.0,1974.0,17642.0,1396.0,13.0,12203.0,2606.0,560.0,586.0,286.0,423.0,1902.0,44.0,4587.0,7805.0,461.0,163.0,914.0,77.0
1939,6.0,478.0,193.0,1832.0,86.0,61.0,1.0,5.0,540.0,110.0,21949.0,203.0,785.0,13583.0,847.0,24.0,98.0,68.0,222.0,99.0,14.0,1603.0,255.0,21561.0,221.0,67.0,26.0,190.0,436.0,19.0
1988,7.0,16457.0,41.0,695.0,1083.0,53.0,4537.0,1527.0,16223.0,255.0,21987.0,103.0,12.0,13565.0,84.0,702.0,24.0,1.0,22556.0,25.0,11.0,16642.0,245.0,55.0,16690.0,4.0,1230.0,247.0,965.0,23133.0
2037,0.0,299.0,12463.0,2.0,2052.0,20.0,94.0,30.0,129.0,475.0,110.0,19.0,117.0,96.0,3602.0,243.0,23.0,9447.0,1174.0,13.0,1246.0,624.0,78.0,15839.0,645.0,1040.0,701.0,280.0,12376.0,105.0
2086,3.0,5.0,2.0,37.0,1850.0,302.0,70.0,1001.0,31.0,4.0,1.0,1295.0,63.0,13599.0,2938.0,821.0,2414.0,0.0,124.0,16237.0,6444.0,51.0,10.0,1826.0,43.0,449.0,10027.0,202.0,157.0,23379.0
2135,2.0,0.0,20.0,5.0,2796.0,9.0,2581.0,2519.0,16365.0,15687.0,56.0,100.0,348.0,10.0,279.0,17373.0,22.0,1.0,306.0,68.0,425.0,33.0,58.0,22472.0,108.0,1759.0,101.0,439.0,16504.0,23380.0
2184,0.0,2566.0,1.0,20791.0,641.0,5.0,73.0,1425.0,16363.0,88.0,179.0,5029.0,65.0,131.0,127.0,13.0,11922.0,8.0,10.0,78.0,7065.0,106.0,6.0,22016.0,4.0,160.0,248.0,27.0,661.0,15.0
2233,26.0,16412.0,3.0,374.0,47.0,130.0,4375.0,11.0,824.0,1489.0,22001.0,7.0,21657.0,105.0,2755.0,1893.0,10.0,5.0,22689.0,491.0,7130.0,16633.0,64.0,0.0,2145.0,390.0,8560.0,14182.0,794.0,23149.0
2282,421.0,0.0,8.0,81.0,2222.0,1.0,167.0,96.0,654.0,15701.0,22005.0,935.0,21661.0,82.0,1468.0,2714.0,14.0,142.0,479.0,102.0,1845.0,258.0,151.0,159.0,16715.0,1226.0,13.0,14230.0,1846.0,23129.0
2331,22.0,2.0,0.0,3.0,31.0,184.0,1176.0,20.0,16365.0,566.0,193.0,121.0,21635.0,142.0,113.0,757.0,14.0,8.0,227.0,1143.0,79.0,323.0,6.0,53.0,16721.0,83.0,8608.0,14230.0,2572.0,322.0
2380,78.0,1.0,1376.0,184.0,37.0,2397.0,144.0,198.0,2404.0,15760.0,21950.0,60.0,995.0,6.0,2761.0,405.0,188.0,343.0,113.0,33.0,95.0,16661.0,48.0,27.0,1123.0,101.0,5.0,319.0,0.0,127.0
2429,745.0,16442.0,36.0,20806.0,4090.0,63.0,3.0,58.0,578.0,15730.0,83.0,227.0,21649.0,852.0,133.0,246.0,53.0,5.0,185.0,16195.0,7166.0,55.0,29.0,7.0,41.0,16597.0,0.0,522.0,195.0,21.0
2478,41.0,115.0,3.0,2.0,23.0,5209.0,65.0,32.0,89.0,87.0,595.0,470.0,21631.0,15.0,10.0,42.0,1.0,16581.0,22588.0,337.0,0.0,402.0,4.0,60.0,255.0,2193.0,392.0,47.0,2014.0,426.0
2527,5.0,35.0,0.0,1.0,26.0,66.0,4877.0,203.0,521.0,72.0,22009.0,19.0,99.0,50.0,10.0,200.0,28.0,16.0,511.0,215.0,42.0,607.0,27.0,182.0,433.0,16650.0,8585.0,6.0,41.0,23372.0
2576,0.0,46.0,331.0,209.0,18.0,23.0,2647.0,94.0,16352.0,15753.0,21975.0,12.0,540.0,111.0,7.0,93.0,171.0,1703.0,26.0,16225.0,42.0,242.0,1308.0,649.0,16703.0,16640.0,679.0,267.0,128.0,38.0
