,TP53_MUT,THSD4_AMP,ITPR2_MUT,RAD50_MUT,EI24_DEL,TTTY22_DEL,ADAMTS15_DEL,EPHA5_MUT,AGMO_AMP,MIR4474_DEL,TMEM225_DEL,CCDC146_AMP,MLL3_MUT,MIR491_DEL,RIMBP2_DEL,TEK_MUT,FOCAD_DEL,GLDC_DEL,TTTY16_DEL,C11orf45_DEL,SDHAP2_DEL,LOC440970_DEL,VSIG2_DEL,KIAA2022_MUT,PTPLAD2_DEL,MLLT3_DEL,TTTY12_DEL,RSBN1L-AS1_AMP,FAM153A_DEL,ARHGAP32_DEL
518,1365.0,2.0,16370.0,483.0,9241.0,133.0,74.0,1523.0,101.0,117.0,3012.0,146.0,78.0,526.0,184.0,16916.0,32.0,11.0,104.0,1115.0,842.0,2431.0,235.0,321.0,1169.0,3493.0,215.0,15800.0,6.0,75.0
567,1.0,41.0,16402.0,1007.0,1968.0,436.0,5528.0,1431.0,624.0,159.0,173.0,8.0,16989.0,102.0,460.0,203.0,1550.0,464.0,916.0,299.0,8642.0,346.0,134.0,803.0,2761.0,249.0,1017.0,161.0,2465.0,5.0
616,2.0,10.0,10721.0,320.0,9658.0,76.0,348.0,113.0,48.0,191.0,3340.0,0.0,33.0,131.0,613.0,7009.0,510.0,6293.0,1213.0,5497.0,8487.0,670.0,6965.0,51.0,2543.0,3859.0,17.0,1942.0,173.0,59.0
665,2817.0,160.0,16470.0,68.0,9384.0,2105.0,1849.0,16600.0,2326.0,161.0,682.0,1145.0,92.0,380.0,133.0,16949.0,10660.0,154.0,1968.0,75.0,7.0,1439.0,15.0,114.0,2241.0,3361.0,1155.0,450.0,25.0,22.0
714,387.0,1486.0,16456.0,20.0,7341.0,27.0,5902.0,2204.0,17.0,391.0,375.0,10.0,2392.0,115.0,6668.0,16956.0,11799.0,5.0,105.0,7264.0,131.0,11409.0,6641.0,1303.0,482.0,184.0,63.0,451.0,2693.0,70.0
763,2764.0,27.0,1.0,16611.0,135.0,47.0,6630.0,2752.0,102.0,2113.0,3760.0,202.0,16969.0,207.0,5605.0,171.0,394.0,15.0,512.0,5405.0,324.0,1020.0,1362.0,157.0,2734.0,4353.0,9.0,13.0,715.0,55.0
812,179.0,22797.0,16385.0,96.0,879.0,32.0,2026.0,132.0,95.0,905.0,441.0,139.0,87.0,20.0,0.0,120.0,10746.0,35.0,1552.0,525.0,1407.0,2263.0,7283.0,75.0,1343.0,11.0,54.0,1683.0,12.0,107.0
861,7.0,802.0,84.0,60.0,25.0,16.0,5969.0,95.0,2.0,20629.0,3610.0,114.0,1091.0,65.0,136.0,46.0,2398.0,435.0,1198.0,17.0,812.0,26.0,325.0,43.0,1579.0,755.0,729.0,2370.0,3.0,92.0
910,53.0,24095.0,554.0,7.0,1.0,2.0,48.0,7840.0,47.0,259.0,3618.0,22161.0,87.0,2654.0,281.0,297.0,22.0,67.0,1121.0,9.0,0.0,51.0,7039.0,28.0,14.0,4068.0,9874.0,16725.0,1527.0,9380.0
959,0.0,31.0,1133.0,267.0,9335.0,735.0,262.0,16688.0,2169.0,96.0,1126.0,2.0,699.0,12691.0,7138.0,69.0,12.0,9.0,47.0,3.0,896.0,53.0,71.0,86.0,4037.0,3194.0,335.0,683.0,1733.0,9078.0
1008,0.0,2643.0,232.0,643.0,60.0,90.0,363.0,1788.0,7.0,20632.0,4439.0,130.0,330.0,281.0,100.0,390.0,140.0,114.0,1772.0,17.0,9756.0,59.0,149.0,139.0,681.0,10942.0,313.0,15845.0,1486.0,137.0
1057,16.0,54.0,1016.0,16629.0,9331.0,2753.0,418.0,205.0,63.0,0.0,243.0,589.0,16999.0,12703.0,6036.0,17053.0,202.0,3.0,674.0,5919.0,984.0,19.0,5.0,126.0,87.0,703.0,766.0,15794.0,867.0,9099.0
1106,139.0,124.0,113.0,16613.0,84.0,1323.0,235.0,16579.0,15406.0,17.0,99.0,1965.0,16984.0,237.0,5052.0,797.0,93.0,13.0,100.0,43.0,31.0,442.0,163.0,231.0,3756.0,3408.0,239.0,1425.0,6314.0,758.0
1155,12.0,52.0,1448.0,18.0,9298.0,136.0,4535.0,45.0,1.0,20616.0,434.0,163.0,23.0,36.0,7128.0,95.0,1357.0,63.0,1181.0,56.0,363.0,140.0,195.0,43.0,4192.0,345.0,47.0,788.0,973.0,9056.0
1204,1.0,2678.0,472.0,1084.0,461.0,0.0,41.0,158.0,8.0,20617.0,214.0,1161.0,298.0,12694.0,207.0,312.0,10644.0,6456.0,7191.0,4842.0,252.0,474.0,49.0,16459.0,70.0,556.0,561.0,169.0,2960.0,9066.0
1253,56.0,16.0,3.0,46.0,9341.0,1175.0,1057.0,16603.0,2036.0,658.0,103.0,131.0,151.0,1105.0,2742.0,1153.0,10674.0,986.0,370.0,5702.0,4.0,1599.0,4870.0,416.0,1596.0,2781.0,2772.0,15870.0,6572.0,0.0
1302,0.0,102.0,62.0,1735.0,9345.0,7204.0,167.0,78.0,15600.0,32.0,27.0,21588.0,31.0,12735.0,568.0,264.0,10648.0,115.0,272.0,4891.0,8653.0,11006.0,46.0,2266.0,25.0,2510.0,1250.0,11.0,50.0,80.0
1351,2.0,51.0,1.0,803.0,752.0,105.0,151.0,16612.0,217.0,668.0,86.0,114.0,6.0,182.0,5130.0,225.0,428.0,6263.0,13.0,4.0,8655.0,283.0,120.0,228.0,42.0,501.0,758.0,178.0,15.0,60.0
1400,311.0,485.0,9.0,173.0,9285.0,165.0,33.0,62.0,76.0,115.0,58.0,199.0,10.0,12697.0,7090.0,16934.0,10617.0,261.0,16.0,680.0,1353.0,10956.0,7071.0,103.0,3378.0,110.0,96.0,612.0,3190.0,361.0
1449,832.0,622.0,478.0,101.0,341.0,385.0,4665.0,19.0,274.0,1445.0,4103.0,5.0,172.0,235.0,1115.0,16945.0,126.0,333.0,1520.0,40.0,9.0,469.0,7152.0,1.0,781.0,2829.0,9685.0,1005.0,1142.0,707.0
1498,23.0,1912.0,124.0,34.0,9287.0,5126.0,116.0,1941.0,448.0,20643.0,157.0,64.0,12.0,303.0,1275.0,48.0,10141.0,836.0,740.0,5448.0,8584.0,815.0,428.0,907.0,1060.0,208.0,483.0,1379.0,11.0,2007.0
1547,51.0,2162.0,41.0,124.0,9353.0,664.0,318.0,103.0,8.0,20620.0,3.0,45.0,247.0,1799.0,823.0,16924.0,264.0,6431.0,86.0,4889.0,34.0,2031.0,7153.0,351.0,2189.0,54.0,695.0,0.0,52.0,9073.0
1596,14.0,226.0,0.0,7.0,9291.0,39.0,589.0,6.0,12.0,24.0,10.0,85.0,47.0,198.0,71.0,119.0,118.0,7080.0,3.0,138.0,97.0,73.0,5121.0,16434.0,1156.0,81.0,1369.0,9.0,216.0,9045.0
1645,1.0,318.0,2717.0,0.0,9277.0,257.0,367.0,3.0,1059.0,54.0,115.0,342.0,29.0,45.0,847.0,970.0,10605.0,50.0,60.0,4780.0,42.0,278.0,7035.0,85.0,84.0,25.0,230.0,77.0,14.0,9031.0
1694,1.0,606.0,45.0,183.0,9332.0,303.0,176.0,588.0,245.0,230.0,11.0,278.0,16997.0,12762.0,1391.0,705.0,10141.0,58.0,774.0,403.0,8481.0,1324.0,5585.0,90.0,4664.0,161.0,9545.0,1280.0,27.0,9027.0
1743,46.0,4.0,84.0,154.0,628.0,7167.0,24.0,453.0,611.0,41.0,75.0,151.0,3.0,144.0,7133.0,16909.0,341.0,2.0,131.0,4862.0,992.0,302.0,7094.0,20.0,712.0,79.0,9676.0,1.0,5.0,9077.0
1792,2.0,33.0,383.0,12.0,34.0,1450.0,78.0,178.0,131.0,20642.0,55.0,15.0,47.0,191.0,14.0,2406.0,10605.0,0.0,92.0,4811.0,8611.0,87.0,7040.0,46.0,3362.0,35.0,294.0,70.0,4.0,9034.0
1841,23.0,1399.0,1443.0,1.0,138.0,2601.0,5024.0,466.0,7.0,424.0,54.0,833.0,0.0,32.0,2539.0,111.0,10187.0,8.0,18.0,441.0,8514.0,1152.0,5275.0,266.0,65.0,6.0,27.0,191.0,1018.0,9082.0
1890,12.0,23018.0,0.0,259.0,46.0,91.0,343.0,93.0,15623.0,103.0,127.0,824.0,11.0,507.0,326.0,16913.0,10609.0,6537.0,29.0,5167.0,7565.0,1093.0,7150.0,16457.0,2566.0,2.0,14.0,59.0,1166.0,111.0
1939,0.0,1188.0,104.0,148.0,133.0,1310.0,4532.0,105.0,2438.0,20626.0,39.0,30.0,859.0,647.0,7108.0,11.0,37.0,432.0,10.0,110.0,1981.0,1615.0,36.0,191.0,9.0,13.0,376.0,56.0,3140.0,51.0
1988,39.0,10.0,102.0,13.0,7.0,1062.0,17.0,6.0,19.0,615.0,3941.0,21369.0,112.0,12674.0,70.0,136.0,10373.0,1100.0,131.0,4804.0,656.0,54.0,193.0,1380.0,65.0,1623.0,9636.0,387.0,3108.0,9030.0
2037,42.0,22.0,253.0,11.0,14.0,2487.0,41.0,34.0,142.0,101.0,4456.0,21389.0,50.0,12715.0,145.0,38.0,1424.0,6361.0,478.0,890.0,721.0,186.0,7083.0,208.0,3258.0,278.0,378.0,172.0,659.0,5.0
2086,186.0,3.0,2665.0,921.0,168.0,182.0,28.0,38.0,0.0,1.0,4029.0,623.0,16969.0,12674.0,137.0,159.0,88.0,352.0,2038.0,4817.0,84.0,7.0,7083.0,16445.0,150.0,3503.0,9659.0,587.0,2535.0,501.0
2135,112.0,94.0,690.0,319.0,14.0,1501.0,111.0,16604.0,15630.0,7.0,4066.0,21620.0,273.0,48.0,128.0,57.0,82.0,54.0,7136.0,3.0,8605.0,1506.0,566.0,16468.0,55.0,102.0,9596.0,0.0,100.0,9048.0
2184,236.0,1287.0,272.0,16623.0,294.0,60.0,124.0,524.0,1005.0,49.0,4636.0,1203.0,1264.0,733.0,6485.0,601.0,96.0,3.0,831.0,2.0,10076.0,170.0,139.0,16465.0,323.0,1.0,10289.0,10.0,543.0,826.0
2233,540.0,16.0,70.0,51.0,35.0,53.0,20.0,88.0,13532.0,19032.0,3361.0,624.0,0.0,937.0,204.0,248.0,6.0,164.0,1243.0,5796.0,222.0,741.0,241.0,1910.0,418.0,25.0,26.0,15.0,2603.0,9316.0
2282,0.0,15.0,450.0,41.0,177.0,902.0,5907.0,122.0,149.0,20696.0,56.0,21661.0,21.0,8558.0,6628.0,52.0,12730.0,994.0,7054.0,263.0,9113.0,693.0,238.0,55.0,2354.0,53.0,12760.0,7.0,1866.0,6.0
2331,17.0,12.0,110.0,809.0,1079.0,94.0,4769.0,16673.0,15643.0,16.0,4536.0,405.0,10.0,821.0,260.0,79.0,55.0,8.0,932.0,0.0,533.0,11107.0,72.0,16481.0,824.0,216.0,9842.0,15814.0,3660.0,221.0
2380,3.0,5.0,12674.0,15.0,37.0,224.0,335.0,81.0,236.0,168.0,3849.0,45.0,12.0,57.0,175.0,183.0,41.0,6713.0,487.0,354.0,154.0,1103.0,100.0,10700.0,4821.0,164.0,8386.0,1.0,7075.0,16.0
2429,47.0,18.0,360.0,84.0,229.0,2096.0,4458.0,180.0,1123.0,20739.0,4024.0,21385.0,0.0,12689.0,2492.0,188.0,10623.0,6472.0,1221.0,96.0,8593.0,10950.0,7088.0,183.0,143.0,503.0,398.0,971.0,11.0,94.0
2478,13.0,67.0,16460.0,107.0,1977.0,133.0,7092.0,264.0,1739.0,508.0,3654.0,283.0,16973.0,71.0,1237.0,1173.0,177.0,7162.0,5201.0,659.0,149.0,10.0,1450.0,45.0,6.0,2321.0,9673.0,15820.0,570.0,2463.0
2527,1390.0,52.0,2.0,323.0,103.0,24.0,15.0,1601.0,0.0,20676.0,3220.0,65.0,16983.0,5.0,49.0,17.0,1147.0,409.0,5980.0,8.0,8629.0,25.0,307.0,22.0,124.0,4335.0,32.0,15849.0,218.0,629.0
2576,722.0,1.0,26.0,16605.0,117.0,30.0,103.0,214.0,17.0,3.0,4021.0,2570.0,1268.0,96.0,316.0,2.0,220.0,6353.0,5.0,306.0,61.0,438.0,406.0,16442.0,0.0,52.0,753.0,2560.0,993.0,9041.0
2625,172.0,0.0,71.0,1972.0,114.0,198.0,9.0,15.0,671.0,20616.0,3996.0,1223.0,1.0,18.0,405.0,77.0,68.0,6355.0,7162.0,4778.0,31.0,1461.0,7062.0,443.0,313.0,4.0,98.0,55.0,86.0,9062.0
2674,2653.0,191.0,124.0,29.0,7445.0,884.0,19.0,16602.0,9.0,277.0,4612.0,21609.0,16987.0,73.0,63.0,112.0,17.0,53.0,85.0,70.0,9306.0,1194.0,6626.0,66.0,145.0,608.0,80.0,238.0,153.0,5484.0
2723,2566.0,0.0,16393.0,1030.0,225.0,141.0,10.0,180.0,173.0,7.0,4279.0,21607.0,584.0,2756.0,11.0,93.0,64.0,337.0,9.0,4627.0,13.0,76.0,6846.0,16428.0,2944.0,1262.0,9552.0,15841.0,441.0,9074.0
2772,1.0,22.0,29.0,16630.0,31.0,2017.0,100.0,7.0,176.0,221.0,3505.0,803.0,145.0,1384.0,42.0,711.0,18.0,1171.0,5206.0,772.0,36.0,4145.0,406.0,16415.0,118.0,45.0,500.0,593.0,1290.0,12.0
2821,47.0,0.0,220.0,16605.0,17.0,2521.0,11.0,8.0,181.0,6.0,3985.0,1348.0,16965.0,4.0,91.0,851.0,23.0,2.0,6954.0,4845.0,271.0,45.0,7099.0,2295.0,43.0,643.0,19.0,1450.0,83.0,9066.0
2870,2.0,155.0,48.0,66.0,102.0,6910.0,1117.0,1429.0,15324.0,0.0,3982.0,1988.0,16930.0,8.0,9.0,255.0,65.0,4.0,18.0,541.0,8571.0,197.0,455.0,78.0,217.0,85.0,1414.0,15807.0,17.0,9014.0
2919,0.0,1.0,17.0,11.0,77.0,377.0,2935.0,111.0,226.0,10.0,2789.0,205.0,75.0,12696.0,65.0,16931.0,59.0,13.0,924.0,5873.0,650.0,384.0,5122.0,1083.0,555.0,212.0,112.0,104.0,60.0,2284.0
2968,36.0,629.0,16385.0,395.0,83.0,0.0,16.0,915.0,2248.0,1043.0,167.0,2.0,16975.0,89.0,278.0,16990.0,10155.0,2255.0,46.0,5876.0,64.0,118.0,5221.0,1.0,163.0,1745.0,514.0,15772.0,18.0,9060.0
3017,10.0,2464.0,317.0,6.0,177.0,45.0,4744.0,31.0,370.0,589.0,2807.0,21597.0,40.0,614.0,56.0,77.0,10181.0,6462.0,24.0,1721.0,226.0,8.0,7129.0,32.0,3245.0,3545.0,12.0,2.0,35.0,326.0
3066,192.0,235.0,140.0,1043.0,171.0,1235.0,134.0,975.0,26.0,20745.0,402.0,21.0,2007.0,12633.0,348.0,1099.0,444.0,129.0,9.0,5859.0,6.0,123.0,47.0,105.0,3891.0,443.0,1873.0,1392.0,2259.0,77.0
3115,3.0,20.0,854.0,143.0,160.0,53.0,5245.0,298.0,15362.0,268.0,2155.0,225.0,16930.0,1093.0,519.0,16922.0,10610.0,97.0,114.0,5688.0,45.0,407.0,400.0,465.0,648.0,92.0,461.0,1725.0,106.0,8997.0
3164,1464.0,22080.0,3.0,27.0,9919.0,1.0,6664.0,49.0,15.0,4.0,3849.0,76.0,613.0,37.0,19.0,427.0,314.0,410.0,6.0,1551.0,12.0,1721.0,7677.0,5.0,299.0,35.0,57.0,1145.0,902.0,9761.0
3213,444.0,1241.0,21.0,16594.0,9254.0,6889.0,4426.0,0.0,1433.0,3.0,35.0,21392.0,5.0,1962.0,7004.0,402.0,10.0,6342.0,14.0,4895.0,8574.0,73.0,257.0,4.0,6.0,949.0,7.0,342.0,451.0,9014.0
3262,1422.0,2558.0,37.0,57.0,1275.0,5057.0,432.0,591.0,67.0,86.0,3373.0,243.0,2.0,75.0,394.0,39.0,670.0,92.0,13.0,416.0,344.0,2555.0,23.0,96.0,3963.0,407.0,201.0,15811.0,6495.0,9031.0
3311,30.0,803.0,1597.0,69.0,9304.0,39.0,17.0,1508.0,309.0,12.0,4453.0,1048.0,2663.0,153.0,335.0,324.0,3.0,65.0,31.0,4830.0,8578.0,32.0,319.0,11.0,59.0,3484.0,89.0,2671.0,2.0,50.0
3360,54.0,2482.0,2007.0,761.0,6553.0,46.0,106.0,33.0,15378.0,2312.0,4393.0,102.0,282.0,12034.0,6526.0,8.0,6.0,140.0,42.0,7204.0,9590.0,1243.0,344.0,2528.0,454.0,612.0,694.0,107.0,31.0,4.0
3409,6.0,865.0,27.0,16626.0,118.0,96.0,109.0,9.0,15424.0,70.0,1456.0,152.0,35.0,25.0,1301.0,705.0,10182.0,292.0,2.0,4860.0,137.0,1427.0,368.0,73.0,579.0,484.0,59.0,21.0,4444.0,190.0
3458,21010.0,11.0,45.0,9324.0,9575.0,7.0,5022.0,8841.0,2.0,1259.0,169.0,844.0,6068.0,8.0,6840.0,21056.0,103.0,281.0,534.0,206.0,15.0,2137.0,258.0,110.0,1981.0,21.0,50.0,84.0,6655.0,153.0
3507,170.0,22990.0,11.0,122.0,9314.0,665.0,360.0,452.0,4.0,522.0,57.0,9.0,2455.0,1507.0,436.0,1983.0,22.0,5990.0,59.0,4728.0,1.0,345.0,6652.0,16439.0,1164.0,61.0,96.0,2604.0,6364.0,9073.0
3556,281.0,124.0,530.0,16615.0,9332.0,139.0,4516.0,1370.0,3.0,1239.0,109.0,20.0,951.0,1484.0,973.0,16938.0,12.0,261.0,1.0,87.0,77.0,132.0,66.0,16455.0,3247.0,89.0,7.0,42.0,2896.0,0.0
3605,174.0,1.0,75.0,82.0,3.0,7194.0,4522.0,77.0,8.0,610.0,4471.0,21610.0,16968.0,16.0,372.0,1463.0,480.0,97.0,39.0,1923.0,251.0,331.0,6.0,1294.0,788.0,3222.0,539.0,15837.0,642.0,9070.0
3654,345.0,5.0,12.0,138.0,156.0,52.0,60.0,151.0,18.0,1266.0,79.0,38.0,1336.0,111.0,5662.0,16925.0,358.0,1280.0,328.0,3376.0,8594.0,1208.0,49.0,301.0,4805.0,446.0,264.0,2221.0,2704.0,9051.0
3703,1089.0,22793.0,13.0,344.0,2.0,6.0,4570.0,2315.0,447.0,20627.0,82.0,147.0,39.0,12732.0,72.0,2211.0,59.0,6413.0,1581.0,80.0,355.0,2736.0,7107.0,16405.0,1210.0,1086.0,112.0,26.0,3063.0,9085.0
3752,924.0,22808.0,88.0,16615.0,1.0,2669.0,220.0,16686.0,1157.0,77.0,4.0,149.0,16988.0,32.0,221.0,30.0,1516.0,6382.0,316.0,4813.0,372.0,2125.0,7070.0,2597.0,1286.0,0.0,2405.0,133.0,3255.0,9061.0
3801,16930.0,59.0,82.0,1979.0,0.0,202.0,4519.0,110.0,5.0,264.0,183.0,706.0,16959.0,12718.0,790.0,15.0,10628.0,366.0,71.0,127.0,17.0,28.0,364.0,52.0,2769.0,11.0,20.0,55.0,3291.0,70.0
3850,12.0,202.0,16421.0,362.0,10.0,277.0,190.0,16578.0,15.0,6.0,3636.0,21597.0,16971.0,27.0,5123.0,367.0,773.0,6994.0,525.0,23.0,303.0,384.0,122.0,16458.0,3921.0,58.0,114.0,1446.0,253.0,9072.0
3899,2727.0,90.0,23.0,16616.0,57.0,118.0,6435.0,16645.0,8.0,489.0,316.0,854.0,448.0,2018.0,627.0,1806.0,514.0,6908.0,170.0,5392.0,2.0,139.0,5.0,2648.0,522.0,348.0,9666.0,104.0,6324.0,9065.0
3948,102.0,22743.0,136.0,740.0,2.0,485.0,4521.0,55.0,160.0,11.0,101.0,283.0,16960.0,179.0,7056.0,16932.0,221.0,691.0,478.0,15.0,1104.0,370.0,7125.0,16440.0,8.0,3134.0,2140.0,41.0,2074.0,531.0
3997,378.0,22810.0,95.0,194.0,3408.0,1521.0,4916.0,43.0,2256.0,20636.0,314.0,10.0,16954.0,38.0,4.0,78.0,2698.0,49.0,473.0,50.0,1041.0,67.0,841.0,487.0,2.0,179.0,930.0,21.0,5.0,7478.0
4046,42.0,4.0,3.0,37.0,52.0,6436.0,92.0,6.0,24.0,7.0,51.0,21390.0,25.0,59.0,6382.0,16918.0,953.0,3339.0,6440.0,62.0,114.0,143.0,6341.0,1009.0,1156.0,11097.0,9164.0,494.0,87.0,283.0
4095,0.0,5.0,3.0,1202.0,119.0,6892.0,6.0,2274.0,15340.0,20744.0,4117.0,333.0,516.0,879.0,1858.0,116.0,492.0,191.0,6896.0,67.0,103.0,8.0,334.0,94.0,15.0,306.0,1682.0,15820.0,11.0,9020.0
4144,582.0,532.0,20.0,107.0,315.0,7201.0,4553.0,375.0,170.0,60.0,4045.0,7.0,4.0,14.0,97.0,187.0,10665.0,521.0,7203.0,94.0,8614.0,1552.0,183.0,599.0,314.0,290.0,174.0,39.0,3117.0,34.0
4193,0.0,1832.0,12.0,125.0,416.0,23.0,6548.0,4.0,655.0,544.0,385.0,219.0,16712.0,6.0,362.0,16902.0,220.0,1248.0,733.0,5430.0,223.0,71.0,5968.0,16415.0,10.0,4305.0,162.0,1145.0,7.0,38.0
4242,4.0,1241.0,13.0,14.0,381.0,60.0,5834.0,303.0,55.0,84.0,1936.0,36.0,1108.0,1113.0,231.0,16926.0,495.0,5937.0,2200.0,396.0,720.0,1.0,1151.0,1666.0,191.0,952.0,9597.0,7.0,101.0,39.0
4291,421.0,1793.0,16449.0,162.0,7438.0,134.0,92.0,16586.0,269.0,20645.0,226.0,104.0,0.0,21.0,6479.0,707.0,12329.0,3134.0,6337.0,298.0,9651.0,135.0,6595.0,712.0,56.0,10907.0,495.0,2605.0,211.0,116.0
4340,0.0,2375.0,12.0,23.0,9711.0,7282.0,5.0,485.0,13480.0,3.0,327.0,1120.0,10.0,87.0,71.0,16.0,259.0,220.0,7285.0,287.0,8769.0,2385.0,7182.0,323.0,503.0,2633.0,1769.0,22956.0,478.0,1.0
4389,2249.0,774.0,1095.0,52.0,9247.0,1021.0,90.0,168.0,2081.0,20746.0,132.0,21355.0,16949.0,2323.0,111.0,35.0,432.0,127.0,2036.0,97.0,8551.0,96.0,9.0,7.0,2127.0,1219.0,374.0,4.0,12.0,57.0
4438,3.0,18.0,17.0,1680.0,97.0,10.0,33.0,163.0,89.0,20642.0,13.0,47.0,489.0,98.0,523.0,76.0,207.0,2610.0,1126.0,74.0,1297.0,1745.0,504.0,16427.0,24.0,1453.0,252.0,1175.0,3090.0,267.0
4487,67.0,5.0,2.0,1427.0,196.0,25.0,87.0,283.0,16.0,757.0,9.0,1342.0,1523.0,12663.0,5546.0,27.0,10.0,339.0,0.0,6.0,176.0,1883.0,703.0,716.0,56.0,18.0,62.0,15769.0,48.0,9043.0
4536,13.0,518.0,111.0,72.0,6485.0,17.0,597.0,24.0,3.0,20648.0,44.0,118.0,16.0,45.0,10.0,1427.0,1.0,95.0,29.0,382.0,1687.0,625.0,7218.0,984.0,18.0,11151.0,742.0,237.0,3404.0,7107.0
4585,74.0,6.0,1496.0,16601.0,15.0,2.0,6250.0,1173.0,0.0,20642.0,1.0,406.0,136.0,12673.0,1678.0,9.0,700.0,2542.0,77.0,5823.0,64.0,631.0,5777.0,1602.0,353.0,142.0,204.0,48.0,155.0,242.0
4634,1.0,5.0,73.0,94.0,272.0,31.0,550.0,0.0,23.0,83.0,6.0,21392.0,284.0,231.0,12.0,9.0,76.0,644.0,27.0,4896.0,682.0,1219.0,7025.0,38.0,7.0,437.0,26.0,104.0,1011.0,155.0
4683,1.0,15.0,1790.0,251.0,121.0,266.0,45.0,4.0,21.0,0.0,8.0,205.0,52.0,35.0,275.0,147.0,259.0,2209.0,23.0,431.0,56.0,1450.0,1245.0,16425.0,53.0,3481.0,14.0,15821.0,2.0,494.0
4732,19.0,163.0,29.0,757.0,61.0,2357.0,142.0,10.0,857.0,249.0,7.0,153.0,57.0,11704.0,84.0,227.0,1288.0,211.0,1067.0,6904.0,7372.0,225.0,7032.0,99.0,4003.0,10996.0,8940.0,54.0,3392.0,6184.0
4781,16982.0,0.0,471.0,64.0,128.0,67.0,17.0,102.0,1408.0,20749.0,44.0,21372.0,4.0,12689.0,155.0,16930.0,292.0,6382.0,789.0,4816.0,8614.0,8.0,25.0,16430.0,313.0,2666.0,9650.0,15791.0,3221.0,9044.0
4830,24.0,1.0,225.0,46.0,39.0,389.0,28.0,433.0,362.0,0.0,51.0,619.0,2239.0,12670.0,45.0,16934.0,119.0,1830.0,167.0,4625.0,132.0,3091.0,6517.0,474.0,7.0,120.0,133.0,31.0,6272.0,72.0
4879,149.0,13.0,20.0,8.0,14.0,4.0,38.0,3.0,15586.0,0.0,17.0,838.0,15.0,12629.0,41.0,107.0,1258.0,6058.0,7.0,64.0,8555.0,1284.0,5094.0,16395.0,288.0,3771.0,233.0,15773.0,1288.0,12.0
