,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
1990,0.0,1.0,3.0,5.0,4.0,2.0,15.0,10.0,9.0,8.0,18.0,55.0,17.0,25.0,67.0,70.0,6.0,95.0,2788.0,82.0,81.0,21.0,22.0,19.0,38.0,7.0,29.0,406.0,27.0,28.0
2039,0.0,1.0,2.0,4.0,3.0,5.0,17.0,7.0,8.0,9.0,15.0,16.0,41.0,10.0,42.0,40.0,6.0,11.0,351.0,99.0,98.0,48.0,47.0,32.0,87.0,12.0,53.0,75.0,54.0,52.0
2088,0.0,1.0,2.0,30.0,3.0,31.0,8.0,4.0,5.0,14.0,92.0,18.0,27.0,9.0,163.0,26.0,6.0,120.0,370.0,48.0,49.0,58.0,59.0,137.0,85.0,7.0,71.0,339.0,72.0,73.0
2137,0.0,2.0,1.0,3.0,4.0,5.0,6.0,9.0,8.0,115.0,97.0,22.0,32.0,41.0,38.0,47.0,7.0,91.0,911.0,28.0,29.0,616.0,615.0,345.0,61.0,45.0,681.0,18.0,682.0,680.0
2186,0.0,1.0,5.0,3.0,2.0,4.0,10.0,8.0,9.0,34.0,13.0,28.0,23.0,27.0,56.0,30.0,7.0,103.0,80.0,48.0,47.0,75.0,73.0,11.0,83.0,6.0,74.0,329.0,76.0,72.0
2235,0.0,1.0,4.0,2.0,5.0,3.0,10.0,9.0,8.0,18.0,13.0,34.0,131.0,95.0,6.0,12.0,7.0,51.0,73.0,184.0,183.0,23.0,24.0,58.0,82.0,19.0,25.0,48.0,26.0,27.0
2284,0.0,1.0,2.0,11.0,3.0,13.0,12.0,6.0,5.0,15.0,25.0,75.0,30.0,14.0,9.0,22.0,4.0,27.0,98.0,145.0,144.0,17.0,18.0,69.0,229.0,8.0,20.0,236.0,21.0,19.0
2333,0.0,1.0,2.0,7.0,3.0,8.0,18.0,5.0,6.0,10.0,39.0,22.0,30.0,4.0,19.0,127.0,9.0,1643.0,7117.0,37.0,38.0,13.0,14.0,356.0,95.0,20.0,16.0,102.0,15.0,17.0
2382,0.0,2.0,1.0,3.0,11.0,4.0,17.0,6.0,5.0,8.0,23.0,9.0,30.0,21.0,195.0,14.0,7.0,73.0,5594.0,137.0,138.0,41.0,40.0,50.0,16.0,47.0,53.0,1217.0,54.0,52.0
2431,0.0,1.0,5.0,9.0,3.0,10.0,6.0,8.0,7.0,2.0,12.0,13153.0,51.0,447.0,40.0,26.0,17.0,47.0,215.0,59.0,60.0,24.0,25.0,457.0,44.0,11.0,29.0,780.0,28.0,27.0
2480,0.0,1.0,4.0,15.0,8.0,9.0,3.0,6.0,7.0,2.0,47.0,10.0,38.0,76.0,5.0,11.0,14.0,12.0,16.0,29.0,30.0,19.0,20.0,43.0,64.0,33.0,25.0,269.0,23.0,24.0
2529,0.0,1.0,26.0,11.0,10.0,8.0,4.0,17.0,18.0,2.0,5.0,9.0,58.0,24.0,3.0,23.0,21.0,35.0,25.0,19.0,20.0,12.0,16.0,6.0,43.0,28.0,15.0,75.0,13.0,14.0
2578,0.0,1.0,18.0,10.0,5.0,4.0,8.0,17.0,16.0,2.0,12.0,15.0,46.0,92.0,11.0,14.0,13.0,29.0,23.0,35.0,34.0,25.0,24.0,6.0,22.0,19.0,28.0,39.0,27.0,26.0
2627,0.0,3.0,18.0,58.0,8.0,48.0,2.0,13.0,12.0,1.0,31.0,33.0,44.0,24.0,4.0,9.0,57.0,22.0,30.0,6.0,5.0,36.0,37.0,17.0,23.0,71.0,41.0,10.0,40.0,39.0
2676,0.0,1.0,6.0,12.0,4.0,7.0,3.0,221.0,222.0,2.0,25.0,9.0,38.0,35.0,13.0,14.0,73.0,10.0,30.0,21.0,22.0,36.0,37.0,17.0,40.0,16.0,43.0,270.0,41.0,42.0
2725,0.0,4.0,48.0,11.0,16.0,6.0,2.0,122.0,123.0,1.0,41.0,29.0,14.0,147.0,66.0,7.0,26.0,17.0,3.0,10.0,9.0,85.0,86.0,8.0,21.0,32.0,98.0,134.0,97.0,96.0
2774,0.0,1.0,35.0,13.0,2.0,5.0,20.0,7.0,8.0,3.0,117.0,16.0,21.0,29.0,15.0,11.0,10.0,56.0,36.0,220.0,219.0,23.0,22.0,6.0,601.0,9.0,24.0,87.0,25.0,26.0
