,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.MC_MUT,OR2T11_AMP,NRAS_MUT,KANK1_AMP,OR2T10_AMP,PAXIP1_MUT,MAST2_MUT,ZDHHC11_AMP,SLC6A19_AMP,MIR548AI_DEL,HLA-H_DEL,LOC100506688_AMP,LOC284344_DEL,OR51A4_DEL,TTN_MUT,ALPK2_MUT,PRKCE_DEL,ATP13A5_MUT,TNK2_MUT,ANKS1B_DEL,ZNF826P_DEL,FAM74A2_DEL,UPF3A_AMP,TOMM20_AMP,GSTM1_DEL,PSG4_DEL
2380,2.0,0.0,1.0,3.0,1966.0,116.0,4.0,2560.0,592.0,8.0,732.0,64.0,1223.0,20930.0,743.0,15822.0,49.0,2702.0,155.0,858.0,12387.0,111.0,78.0,12209.0,8161.0,1365.0,9.0,397.0,3213.0,12278.0
2429,2.0,0.0,1.0,1047.0,20.0,49.0,2457.0,39.0,17.0,82.0,1273.0,2282.0,46.0,19056.0,1163.0,14012.0,376.0,2517.0,583.0,9252.0,1697.0,11008.0,280.0,382.0,12176.0,12306.0,4.0,19598.0,348.0,2748.0
2478,0.0,5.0,43.0,224.0,1436.0,8.0,16509.0,36.0,18224.0,2.0,40.0,953.0,103.0,20621.0,1120.0,67.0,2095.0,92.0,3.0,16592.0,12305.0,16392.0,16580.0,1.0,46.0,11912.0,23712.0,770.0,3030.0,1167.0
2527,0.0,1.0,5.0,132.0,122.0,2.0,841.0,49.0,14.0,3.0,12.0,144.0,88.0,1462.0,50.0,9.0,142.0,42.0,16978.0,16609.0,16.0,16440.0,16591.0,11554.0,7547.0,1145.0,75.0,18.0,2866.0,58.0
2576,1.0,0.0,13.0,286.0,3.0,203.0,125.0,2.0,538.0,25.0,565.0,22802.0,2619.0,2754.0,7.0,11.0,24.0,2404.0,17053.0,22.0,306.0,16462.0,16619.0,384.0,8135.0,139.0,23755.0,603.0,99.0,369.0
2625,0.0,3.0,6.0,43.0,1.0,61.0,16562.0,99.0,56.0,52.0,16705.0,236.0,4.0,110.0,856.0,2.0,234.0,632.0,87.0,16644.0,2230.0,911.0,2068.0,587.0,1206.0,8234.0,951.0,35.0,2782.0,9.0
2674,0.0,9.0,12.0,282.0,2.0,18135.0,59.0,184.0,77.0,169.0,875.0,56.0,6.0,191.0,73.0,7.0,226.0,448.0,76.0,2079.0,12304.0,1030.0,16590.0,1069.0,8108.0,1091.0,23749.0,24.0,2692.0,12193.0
2723,0.0,4.0,1.0,29.0,30.0,2559.0,16493.0,37.0,763.0,16695.0,15.0,2.0,122.0,284.0,4720.0,3.0,835.0,11051.0,1520.0,70.0,129.0,16426.0,16585.0,244.0,9791.0,110.0,740.0,19667.0,8.0,97.0
2772,3.0,0.0,38.0,51.0,1.0,18263.0,633.0,2.0,1319.0,16664.0,7.0,37.0,290.0,20621.0,402.0,52.0,455.0,124.0,46.0,16603.0,36.0,16376.0,347.0,104.0,19.0,442.0,21.0,292.0,186.0,328.0
2821,0.0,148.0,5.0,3.0,4.0,36.0,354.0,13941.0,546.0,23.0,187.0,7.0,13276.0,2616.0,10.0,74.0,66.0,4249.0,13.0,43.0,205.0,1785.0,1535.0,2287.0,268.0,20.0,349.0,995.0,607.0,2.0
2870,1.0,0.0,2.0,250.0,10.0,163.0,16535.0,6.0,161.0,246.0,55.0,83.0,957.0,14.0,35.0,265.0,2361.0,722.0,9.0,43.0,12447.0,288.0,16599.0,13.0,1480.0,1563.0,23742.0,19571.0,2612.0,2754.0
2919,0.0,1.0,2.0,3.0,4.0,12.0,869.0,13670.0,1448.0,16675.0,513.0,22.0,1283.0,2448.0,116.0,447.0,38.0,2422.0,1502.0,54.0,524.0,16384.0,27.0,45.0,1082.0,11940.0,890.0,695.0,1221.0,12154.0
2968,1.0,2.0,4.0,3.0,87.0,0.0,293.0,13638.0,34.0,70.0,50.0,7.0,1974.0,2601.0,81.0,16010.0,573.0,2721.0,101.0,9.0,1572.0,16433.0,1130.0,30.0,65.0,86.0,779.0,1081.0,2891.0,12143.0
3017,0.0,1.0,73.0,52.0,3.0,2.0,4.0,7.0,30.0,16.0,10.0,22797.0,252.0,15.0,2301.0,15777.0,3636.0,8.0,962.0,69.0,196.0,107.0,574.0,12043.0,461.0,715.0,488.0,1015.0,3212.0,418.0
3066,0.0,1.0,12.0,3.0,7.0,6.0,48.0,5.0,4.0,396.0,16.0,23021.0,11.0,43.0,39.0,15780.0,41.0,1707.0,17051.0,353.0,12349.0,42.0,16621.0,2560.0,20.0,1740.0,118.0,1398.0,14.0,8.0
3115,1.0,0.0,2.0,10.0,7.0,6.0,1348.0,13644.0,478.0,11.0,871.0,78.0,133.0,31.0,2323.0,129.0,34.0,28.0,17044.0,189.0,12377.0,190.0,755.0,754.0,161.0,815.0,23759.0,48.0,265.0,131.0
3164,1.0,10.0,0.0,20289.0,9.0,19.0,84.0,5.0,18.0,49.0,55.0,124.0,70.0,20831.0,1480.0,688.0,23.0,1356.0,791.0,17.0,123.0,194.0,8897.0,38.0,760.0,1345.0,21958.0,25.0,1433.0,2.0
3213,3.0,0.0,4.0,8.0,2.0,11.0,7.0,174.0,1.0,442.0,12.0,6.0,15166.0,1337.0,677.0,15780.0,2792.0,17.0,17064.0,2365.0,140.0,24.0,86.0,19.0,1147.0,28.0,1455.0,801.0,211.0,39.0
