,hsa-miR-196b,hsa-miR-125a-3p,hsa-miR-223,hsa-miR-628-5p,hsa-miR-877,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-34c-5p,hsa-miR-550,hsa-miR-27b,hsa-miR-548a-3p,hsa-miR-197,hsa-miR-636,hsa-miR-759,hsa-miR-875-3p,hsa-miR-590-5p,hsa-miR-340,hsa-miR-1286,hsa-miR-492,hsa-miR-1258,hsa-miR-574-5p,hsa-miR-891a,hsa-miR-661,hsa-miR-578,hsa-miR-1303,hsa-miR-1908,hsa-miR-744,hsa-miR-126,hsa-miR-921,hsa-miR-551b
507,0.0,1.0,4.0,2.0,3.0,36.0,10.0,54.0,7.0,16.0,13.0,5.0,46.0,9.0,20.0,17.0,6.0,56.0,108.0,35.0,188.0,47.0,38.0,24.0,8.0,33.0,31.0,26.0,41.0,150.0
556,0.0,1.0,10.0,2.0,4.0,7.0,12.0,51.0,8.0,38.0,31.0,14.0,266.0,49.0,23.0,53.0,68.0,29.0,6.0,18.0,88.0,41.0,34.0,3.0,16.0,69.0,5.0,45.0,75.0,162.0
605,0.0,1.0,3.0,2.0,5.0,16.0,71.0,12.0,18.0,11.0,10.0,6.0,94.0,4.0,317.0,9.0,7.0,25.0,32.0,62.0,109.0,81.0,51.0,39.0,19.0,28.0,17.0,397.0,75.0,78.0
654,0.0,1.0,2.0,3.0,4.0,20.0,36.0,10.0,24.0,13.0,15.0,6.0,66.0,16.0,11.0,19.0,5.0,493.0,23.0,60.0,77.0,50.0,18.0,9.0,43.0,27.0,17.0,33.0,31.0,152.0
703,0.0,1.0,2.0,3.0,6.0,7.0,12.0,437.0,28.0,21.0,10.0,5.0,49.0,8.0,13.0,15.0,19.0,25.0,17.0,48.0,16.0,27.0,43.0,20.0,40.0,64.0,9.0,24.0,114.0,56.0
752,0.0,1.0,3.0,2.0,5.0,4.0,11.0,28.0,8.0,17.0,21.0,6.0,51.0,19.0,37.0,10.0,12.0,65.0,43.0,94.0,77.0,101.0,24.0,9.0,23.0,35.0,18.0,34.0,98.0,134.0
801,1.0,0.0,2.0,3.0,6.0,10.0,18.0,29.0,22.0,34.0,100.0,9.0,30.0,45.0,5.0,17.0,7.0,42.0,11.0,25.0,129.0,74.0,15.0,21.0,16.0,63.0,4.0,79.0,77.0,71.0
850,0.0,1.0,4.0,2.0,5.0,3.0,55.0,14.0,22.0,9.0,17.0,10.0,23.0,41.0,53.0,28.0,7.0,33.0,11.0,96.0,183.0,90.0,84.0,21.0,59.0,66.0,13.0,58.0,49.0,159.0
899,0.0,1.0,12.0,3.0,8.0,4.0,18.0,30.0,27.0,13.0,5.0,7.0,77.0,15.0,63.0,10.0,17.0,48.0,86.0,65.0,124.0,32.0,29.0,28.0,26.0,20.0,22.0,55.0,289.0,46.0
948,0.0,1.0,3.0,2.0,10.0,14.0,45.0,30.0,9.0,11.0,7.0,16.0,76.0,24.0,21.0,17.0,4.0,58.0,12.0,13.0,43.0,67.0,26.0,5.0,6.0,23.0,34.0,48.0,112.0,87.0
997,0.0,1.0,4.0,10.0,14.0,30.0,13.0,6.0,11.0,80.0,2.0,9.0,61.0,25.0,3.0,88.0,56.0,21.0,83.0,26.0,39.0,28.0,69.0,8.0,24.0,37.0,90.0,119.0,42.0,27.0
1046,0.0,1.0,3.0,4.0,24.0,15.0,12.0,46.0,8.0,29.0,11.0,13.0,22.0,49.0,6.0,73.0,10.0,7.0,165.0,20.0,18.0,34.0,48.0,35.0,69.0,85.0,63.0,50.0,67.0,68.0
1095,2.0,0.0,4.0,16.0,13.0,7.0,25.0,9.0,12.0,37.0,11.0,3.0,34.0,42.0,1.0,41.0,15.0,17.0,462.0,363.0,31.0,46.0,68.0,5.0,54.0,105.0,83.0,43.0,14.0,36.0
1144,0.0,1.0,3.0,10.0,9.0,21.0,17.0,5.0,4.0,25.0,7.0,16.0,37.0,13.0,2.0,29.0,57.0,8.0,76.0,350.0,14.0,67.0,307.0,6.0,55.0,74.0,75.0,12.0,19.0,22.0
1193,0.0,2.0,1.0,4.0,60.0,8.0,12.0,7.0,11.0,88.0,6.0,20.0,30.0,18.0,10.0,137.0,13.0,3.0,76.0,28.0,14.0,24.0,100.0,5.0,40.0,55.0,93.0,92.0,9.0,35.0
1242,0.0,1.0,2.0,3.0,8.0,34.0,6.0,21.0,17.0,495.0,5.0,12.0,18.0,7.0,4.0,26.0,31.0,23.0,101.0,53.0,9.0,27.0,56.0,16.0,22.0,75.0,37.0,88.0,11.0,15.0
1291,0.0,1.0,2.0,19.0,11.0,6.0,20.0,18.0,7.0,85.0,10.0,8.0,72.0,17.0,5.0,88.0,15.0,9.0,52.0,34.0,16.0,47.0,75.0,3.0,76.0,105.0,22.0,82.0,87.0,13.0
1340,0.0,3.0,1.0,16.0,5.0,26.0,8.0,11.0,10.0,30.0,4.0,2.0,22.0,17.0,7.0,65.0,20.0,48.0,33.0,40.0,13.0,19.0,62.0,6.0,14.0,46.0,43.0,31.0,18.0,97.0
1389,1.0,0.0,2.0,10.0,33.0,4.0,3.0,6.0,19.0,52.0,8.0,16.0,21.0,11.0,5.0,87.0,25.0,26.0,65.0,40.0,18.0,67.0,81.0,7.0,64.0,32.0,46.0,99.0,30.0,79.0
1438,0.0,2.0,3.0,9.0,15.0,21.0,18.0,4.0,40.0,7.0,61.0,17.0,6.0,14.0,1.0,83.0,44.0,10.0,432.0,46.0,87.0,25.0,90.0,5.0,16.0,53.0,56.0,59.0,8.0,64.0
1487,2.0,0.0,8.0,3.0,7.0,23.0,9.0,40.0,1.0,4.0,17.0,30.0,10.0,54.0,5.0,73.0,445.0,21.0,34.0,6.0,29.0,26.0,15.0,16.0,408.0,59.0,12.0,69.0,284.0,14.0
1536,1.0,0.0,4.0,3.0,8.0,6.0,10.0,34.0,2.0,5.0,24.0,86.0,9.0,26.0,54.0,39.0,49.0,14.0,44.0,7.0,11.0,46.0,16.0,22.0,326.0,17.0,12.0,29.0,18.0,19.0
1585,1.0,3.0,2.0,7.0,5.0,8.0,26.0,9.0,0.0,21.0,19.0,48.0,17.0,10.0,94.0,24.0,40.0,12.0,50.0,4.0,6.0,59.0,18.0,61.0,71.0,53.0,15.0,46.0,27.0,14.0
1634,2.0,0.0,5.0,3.0,7.0,8.0,14.0,53.0,1.0,4.0,10.0,45.0,24.0,22.0,47.0,20.0,23.0,13.0,62.0,9.0,26.0,36.0,15.0,11.0,327.0,37.0,44.0,33.0,39.0,6.0
1683,0.0,2.0,3.0,4.0,12.0,20.0,19.0,22.0,1.0,10.0,16.0,39.0,28.0,30.0,54.0,40.0,6.0,13.0,31.0,5.0,79.0,51.0,34.0,50.0,65.0,36.0,9.0,11.0,206.0,7.0
1732,2.0,0.0,7.0,3.0,5.0,8.0,11.0,17.0,1.0,24.0,9.0,26.0,29.0,33.0,31.0,25.0,12.0,28.0,39.0,6.0,15.0,22.0,13.0,27.0,68.0,23.0,4.0,18.0,221.0,10.0
1781,4.0,0.0,6.0,1.0,5.0,3.0,9.0,22.0,2.0,11.0,24.0,46.0,82.0,38.0,18.0,56.0,29.0,343.0,42.0,7.0,43.0,37.0,10.0,27.0,300.0,36.0,13.0,20.0,97.0,8.0
1830,3.0,4.0,6.0,7.0,13.0,1.0,5.0,28.0,0.0,12.0,37.0,38.0,19.0,31.0,39.0,21.0,25.0,16.0,29.0,2.0,14.0,48.0,9.0,34.0,8.0,18.0,10.0,17.0,113.0,11.0
1879,2.0,0.0,4.0,8.0,11.0,3.0,6.0,38.0,1.0,13.0,24.0,16.0,10.0,37.0,44.0,40.0,12.0,29.0,30.0,5.0,33.0,66.0,26.0,27.0,85.0,46.0,9.0,15.0,20.0,19.0
1928,5.0,0.0,6.0,1.0,4.0,3.0,8.0,24.0,2.0,12.0,19.0,74.0,13.0,67.0,48.0,32.0,30.0,46.0,22.0,21.0,31.0,57.0,96.0,36.0,55.0,38.0,7.0,60.0,75.0,11.0
1977,0.0,3.0,1.0,12.0,5.0,8.0,4.0,13.0,34.0,6.0,52.0,25.0,110.0,17.0,7.0,46.0,14.0,45.0,2.0,11.0,18.0,65.0,27.0,9.0,21.0,23.0,307.0,33.0,15.0,35.0
2026,2.0,0.0,1.0,12.0,6.0,3.0,7.0,21.0,18.0,101.0,54.0,24.0,76.0,23.0,9.0,62.0,4.0,33.0,11.0,26.0,37.0,45.0,43.0,32.0,13.0,8.0,34.0,19.0,75.0,5.0
2075,1.0,0.0,6.0,7.0,5.0,14.0,11.0,2.0,32.0,49.0,17.0,68.0,97.0,3.0,10.0,75.0,36.0,56.0,8.0,40.0,13.0,22.0,41.0,4.0,12.0,21.0,54.0,27.0,28.0,9.0
2124,0.0,1.0,2.0,13.0,3.0,4.0,9.0,5.0,57.0,23.0,60.0,64.0,269.0,11.0,7.0,17.0,6.0,8.0,43.0,31.0,29.0,47.0,24.0,34.0,46.0,10.0,305.0,19.0,22.0,18.0
2173,0.0,1.0,2.0,13.0,4.0,5.0,7.0,12.0,34.0,30.0,54.0,22.0,98.0,8.0,6.0,73.0,23.0,39.0,11.0,36.0,14.0,51.0,18.0,3.0,26.0,43.0,25.0,21.0,289.0,35.0
2222,1.0,0.0,2.0,3.0,4.0,13.0,7.0,57.0,12.0,16.0,9.0,27.0,76.0,11.0,10.0,68.0,28.0,42.0,8.0,82.0,25.0,23.0,14.0,6.0,37.0,38.0,314.0,15.0,24.0,5.0
2271,1.0,0.0,4.0,6.0,3.0,11.0,2.0,8.0,7.0,29.0,28.0,17.0,77.0,5.0,9.0,34.0,47.0,20.0,10.0,58.0,12.0,25.0,33.0,42.0,59.0,14.0,68.0,15.0,13.0,69.0
2320,1.0,0.0,4.0,9.0,3.0,7.0,11.0,17.0,22.0,39.0,21.0,60.0,105.0,6.0,25.0,80.0,5.0,41.0,20.0,50.0,26.0,78.0,44.0,2.0,10.0,13.0,69.0,28.0,27.0,40.0
2369,0.0,1.0,6.0,7.0,2.0,12.0,5.0,4.0,15.0,58.0,18.0,38.0,45.0,10.0,14.0,92.0,35.0,9.0,11.0,54.0,8.0,68.0,28.0,91.0,29.0,17.0,37.0,47.0,32.0,19.0
2418,0.0,1.0,5.0,10.0,4.0,18.0,6.0,29.0,25.0,23.0,8.0,27.0,69.0,9.0,7.0,139.0,44.0,12.0,26.0,31.0,111.0,33.0,14.0,3.0,2.0,16.0,28.0,53.0,15.0,17.0
2467,0.0,7.0,1.0,3.0,4.0,16.0,13.0,12.0,39.0,21.0,55.0,9.0,5.0,35.0,45.0,50.0,17.0,105.0,11.0,348.0,44.0,18.0,74.0,63.0,71.0,19.0,47.0,62.0,34.0,41.0
2516,3.0,4.0,5.0,12.0,0.0,9.0,11.0,33.0,18.0,14.0,20.0,7.0,1.0,8.0,30.0,36.0,45.0,77.0,10.0,13.0,52.0,25.0,39.0,69.0,61.0,54.0,106.0,67.0,34.0,6.0
2565,0.0,2.0,4.0,1.0,3.0,21.0,16.0,10.0,54.0,15.0,12.0,19.0,8.0,22.0,79.0,34.0,57.0,349.0,7.0,20.0,28.0,18.0,90.0,143.0,44.0,9.0,37.0,40.0,5.0,46.0
2614,1.0,3.0,0.0,2.0,4.0,12.0,5.0,10.0,41.0,16.0,11.0,17.0,7.0,21.0,77.0,34.0,39.0,422.0,6.0,74.0,56.0,20.0,29.0,118.0,30.0,8.0,62.0,113.0,18.0,35.0
2663,3.0,4.0,1.0,0.0,2.0,20.0,6.0,8.0,12.0,21.0,5.0,15.0,14.0,7.0,90.0,23.0,24.0,36.0,26.0,18.0,31.0,11.0,25.0,88.0,28.0,10.0,86.0,78.0,13.0,48.0
2712,3.0,2.0,4.0,1.0,0.0,10.0,5.0,35.0,16.0,20.0,60.0,7.0,6.0,47.0,48.0,49.0,12.0,83.0,13.0,54.0,38.0,9.0,36.0,117.0,45.0,23.0,44.0,52.0,8.0,18.0
2761,1.0,2.0,4.0,0.0,7.0,12.0,5.0,92.0,48.0,3.0,10.0,8.0,18.0,22.0,85.0,24.0,17.0,28.0,9.0,95.0,36.0,15.0,49.0,195.0,346.0,56.0,313.0,39.0,25.0,31.0
2810,2.0,4.0,0.0,6.0,7.0,8.0,1.0,57.0,11.0,12.0,23.0,15.0,5.0,30.0,94.0,48.0,19.0,77.0,21.0,27.0,109.0,9.0,14.0,135.0,58.0,13.0,20.0,80.0,10.0,18.0
2859,5.0,0.0,1.0,4.0,2.0,29.0,8.0,3.0,10.0,11.0,12.0,23.0,7.0,43.0,17.0,6.0,47.0,489.0,24.0,19.0,28.0,14.0,68.0,159.0,101.0,15.0,244.0,33.0,38.0,25.0
2908,18.0,2.0,1.0,4.0,0.0,8.0,7.0,17.0,12.0,27.0,15.0,30.0,6.0,47.0,238.0,66.0,44.0,75.0,23.0,68.0,92.0,20.0,209.0,254.0,80.0,13.0,10.0,41.0,3.0,33.0
2957,0.0,1.0,7.0,2.0,13.0,6.0,14.0,9.0,4.0,17.0,12.0,46.0,8.0,15.0,20.0,19.0,470.0,35.0,72.0,5.0,3.0,21.0,16.0,49.0,36.0,30.0,27.0,24.0,68.0,10.0
3006,1.0,0.0,13.0,2.0,11.0,16.0,3.0,35.0,8.0,27.0,7.0,4.0,12.0,26.0,6.0,44.0,472.0,34.0,85.0,19.0,39.0,14.0,33.0,5.0,54.0,20.0,89.0,68.0,55.0,32.0
3055,0.0,1.0,3.0,2.0,4.0,19.0,31.0,14.0,9.0,73.0,10.0,20.0,6.0,48.0,5.0,17.0,36.0,59.0,84.0,8.0,18.0,25.0,7.0,77.0,79.0,22.0,83.0,33.0,16.0,11.0
3104,2.0,0.0,4.0,5.0,1.0,12.0,3.0,6.0,60.0,16.0,11.0,42.0,17.0,31.0,109.0,34.0,113.0,87.0,45.0,65.0,18.0,13.0,8.0,14.0,19.0,48.0,28.0,7.0,53.0,10.0
3153,0.0,1.0,2.0,4.0,3.0,22.0,11.0,8.0,10.0,5.0,14.0,35.0,17.0,15.0,23.0,67.0,43.0,97.0,44.0,6.0,13.0,39.0,12.0,55.0,48.0,32.0,27.0,49.0,36.0,7.0
3202,0.0,1.0,2.0,4.0,5.0,41.0,3.0,22.0,6.0,80.0,11.0,8.0,10.0,13.0,7.0,16.0,61.0,384.0,81.0,24.0,35.0,23.0,12.0,14.0,68.0,21.0,37.0,28.0,46.0,20.0
3251,1.0,0.0,9.0,3.0,4.0,7.0,6.0,41.0,10.0,11.0,16.0,61.0,12.0,13.0,42.0,17.0,492.0,104.0,74.0,2.0,28.0,59.0,14.0,26.0,33.0,20.0,30.0,37.0,132.0,43.0
3300,0.0,1.0,6.0,2.0,9.0,10.0,38.0,3.0,8.0,11.0,12.0,79.0,7.0,51.0,24.0,25.0,63.0,69.0,44.0,18.0,15.0,22.0,4.0,118.0,20.0,26.0,100.0,16.0,37.0,54.0
3349,1.0,0.0,7.0,3.0,2.0,65.0,23.0,19.0,8.0,12.0,10.0,85.0,4.0,16.0,5.0,21.0,83.0,47.0,20.0,91.0,90.0,11.0,43.0,25.0,14.0,37.0,56.0,9.0,26.0,6.0
3398,3.0,0.0,5.0,6.0,1.0,11.0,10.0,124.0,8.0,55.0,4.0,29.0,9.0,16.0,14.0,13.0,507.0,88.0,104.0,38.0,76.0,24.0,79.0,33.0,390.0,19.0,323.0,21.0,20.0,15.0
3447,1.0,0.0,3.0,4.0,2.0,11.0,12.0,7.0,21.0,23.0,8.0,9.0,30.0,16.0,25.0,13.0,15.0,6.0,53.0,49.0,19.0,24.0,29.0,26.0,20.0,43.0,315.0,41.0,10.0,44.0
3496,1.0,0.0,4.0,3.0,2.0,11.0,10.0,7.0,12.0,358.0,29.0,9.0,16.0,5.0,78.0,86.0,438.0,6.0,23.0,68.0,14.0,52.0,55.0,25.0,13.0,66.0,310.0,112.0,49.0,28.0
3545,1.0,0.0,2.0,5.0,3.0,7.0,29.0,11.0,22.0,15.0,12.0,45.0,17.0,6.0,49.0,23.0,14.0,4.0,10.0,65.0,26.0,20.0,50.0,8.0,25.0,66.0,124.0,34.0,9.0,63.0
3594,0.0,2.0,1.0,5.0,24.0,3.0,63.0,7.0,20.0,44.0,18.0,22.0,9.0,16.0,305.0,14.0,11.0,4.0,8.0,10.0,42.0,36.0,51.0,56.0,31.0,34.0,315.0,438.0,12.0,17.0
3643,0.0,1.0,3.0,8.0,2.0,14.0,29.0,6.0,5.0,58.0,4.0,9.0,62.0,13.0,45.0,7.0,15.0,21.0,23.0,10.0,40.0,28.0,50.0,22.0,33.0,97.0,88.0,38.0,37.0,84.0
3692,0.0,1.0,2.0,6.0,3.0,7.0,42.0,4.0,39.0,32.0,8.0,30.0,20.0,17.0,5.0,48.0,33.0,14.0,16.0,318.0,15.0,23.0,43.0,18.0,12.0,89.0,40.0,63.0,9.0,52.0
3741,0.0,3.0,2.0,4.0,1.0,7.0,11.0,8.0,42.0,66.0,5.0,15.0,20.0,9.0,39.0,21.0,41.0,12.0,33.0,65.0,6.0,19.0,77.0,13.0,25.0,22.0,37.0,104.0,50.0,24.0
3790,1.0,0.0,2.0,5.0,3.0,18.0,35.0,4.0,26.0,10.0,6.0,19.0,7.0,20.0,27.0,31.0,16.0,12.0,23.0,58.0,25.0,22.0,14.0,8.0,17.0,338.0,45.0,53.0,13.0,44.0
3839,0.0,1.0,2.0,9.0,5.0,11.0,32.0,7.0,6.0,3.0,8.0,10.0,25.0,49.0,66.0,35.0,13.0,4.0,14.0,63.0,34.0,18.0,30.0,23.0,15.0,28.0,58.0,26.0,39.0,76.0
3888,0.0,1.0,2.0,5.0,7.0,8.0,21.0,4.0,20.0,13.0,3.0,10.0,45.0,14.0,49.0,36.0,29.0,28.0,15.0,26.0,9.0,24.0,30.0,40.0,6.0,19.0,275.0,22.0,46.0,17.0
3937,0.0,5.0,2.0,8.0,4.0,12.0,3.0,1.0,11.0,7.0,29.0,17.0,9.0,23.0,34.0,27.0,21.0,30.0,13.0,25.0,40.0,32.0,24.0,33.0,94.0,41.0,28.0,19.0,18.0,26.0
3986,0.0,1.0,12.0,4.0,6.0,2.0,13.0,17.0,8.0,3.0,15.0,10.0,25.0,26.0,24.0,11.0,56.0,45.0,34.0,20.0,174.0,63.0,29.0,48.0,332.0,51.0,39.0,52.0,224.0,161.0
4035,0.0,1.0,7.0,3.0,5.0,15.0,23.0,4.0,9.0,2.0,27.0,34.0,8.0,18.0,46.0,16.0,20.0,13.0,33.0,35.0,44.0,86.0,91.0,63.0,481.0,84.0,70.0,17.0,24.0,92.0
4084,0.0,2.0,8.0,21.0,7.0,10.0,9.0,6.0,3.0,5.0,17.0,14.0,4.0,23.0,26.0,1.0,511.0,15.0,27.0,32.0,29.0,19.0,94.0,54.0,396.0,48.0,31.0,30.0,36.0,37.0
4133,1.0,12.0,5.0,2.0,0.0,4.0,11.0,9.0,20.0,6.0,3.0,43.0,7.0,10.0,75.0,26.0,31.0,29.0,51.0,72.0,32.0,66.0,55.0,42.0,391.0,57.0,81.0,19.0,8.0,23.0
4182,0.0,1.0,3.0,17.0,2.0,12.0,15.0,4.0,9.0,23.0,5.0,26.0,6.0,24.0,21.0,10.0,44.0,25.0,27.0,97.0,54.0,64.0,222.0,37.0,345.0,45.0,13.0,18.0,30.0,14.0
4231,2.0,1.0,0.0,11.0,4.0,3.0,14.0,6.0,5.0,12.0,35.0,9.0,7.0,18.0,39.0,17.0,47.0,15.0,37.0,85.0,63.0,113.0,21.0,10.0,74.0,48.0,8.0,38.0,56.0,33.0
4280,0.0,2.0,8.0,1.0,6.0,11.0,12.0,3.0,16.0,4.0,18.0,20.0,9.0,5.0,68.0,13.0,48.0,14.0,100.0,23.0,61.0,25.0,41.0,44.0,71.0,57.0,27.0,19.0,28.0,161.0
4329,0.0,3.0,4.0,21.0,8.0,2.0,10.0,7.0,1.0,5.0,11.0,13.0,6.0,16.0,91.0,41.0,26.0,17.0,18.0,15.0,44.0,42.0,96.0,90.0,377.0,45.0,27.0,14.0,29.0,73.0
4378,0.0,1.0,3.0,4.0,5.0,7.0,10.0,6.0,8.0,2.0,17.0,21.0,16.0,14.0,73.0,9.0,19.0,13.0,23.0,28.0,24.0,47.0,64.0,103.0,333.0,34.0,12.0,58.0,37.0,71.0
4427,0.0,1.0,8.0,11.0,15.0,12.0,2.0,31.0,3.0,7.0,181.0,4.0,43.0,38.0,30.0,24.0,40.0,16.0,28.0,5.0,33.0,57.0,10.0,9.0,20.0,55.0,14.0,19.0,66.0,110.0
4476,0.0,1.0,13.0,12.0,9.0,21.0,2.0,30.0,85.0,3.0,11.0,8.0,26.0,6.0,32.0,5.0,7.0,66.0,18.0,23.0,4.0,19.0,28.0,15.0,14.0,31.0,20.0,35.0,43.0,121.0
4525,0.0,1.0,3.0,9.0,6.0,4.0,2.0,5.0,53.0,10.0,26.0,21.0,49.0,7.0,25.0,18.0,15.0,27.0,12.0,32.0,52.0,76.0,36.0,35.0,42.0,58.0,13.0,59.0,72.0,98.0
4574,0.0,1.0,2.0,29.0,9.0,5.0,7.0,8.0,27.0,3.0,40.0,13.0,10.0,20.0,24.0,17.0,23.0,64.0,12.0,39.0,4.0,44.0,15.0,45.0,19.0,22.0,31.0,35.0,46.0,128.0
4623,1.0,0.0,2.0,68.0,5.0,9.0,7.0,50.0,28.0,4.0,22.0,13.0,35.0,61.0,17.0,3.0,6.0,27.0,29.0,8.0,18.0,44.0,24.0,32.0,10.0,14.0,15.0,19.0,53.0,96.0
4672,2.0,0.0,3.0,56.0,4.0,5.0,8.0,6.0,33.0,1.0,26.0,16.0,29.0,19.0,25.0,27.0,63.0,22.0,20.0,10.0,7.0,21.0,9.0,71.0,15.0,73.0,45.0,13.0,57.0,94.0
4721,0.0,1.0,15.0,43.0,13.0,8.0,2.0,34.0,6.0,4.0,18.0,23.0,26.0,19.0,24.0,11.0,14.0,22.0,74.0,12.0,7.0,82.0,10.0,9.0,3.0,77.0,16.0,382.0,5.0,48.0
4770,1.0,0.0,5.0,40.0,7.0,2.0,4.0,8.0,47.0,6.0,33.0,63.0,82.0,26.0,105.0,9.0,19.0,22.0,21.0,3.0,18.0,78.0,15.0,76.0,23.0,35.0,20.0,41.0,56.0,59.0
4819,1.0,0.0,7.0,63.0,3.0,2.0,5.0,24.0,23.0,6.0,21.0,25.0,10.0,4.0,16.0,48.0,27.0,35.0,22.0,14.0,9.0,85.0,57.0,33.0,20.0,60.0,8.0,29.0,26.0,72.0
4868,0.0,1.0,8.0,24.0,2.0,3.0,7.0,26.0,4.0,11.0,59.0,41.0,20.0,22.0,58.0,13.0,35.0,177.0,43.0,12.0,74.0,37.0,54.0,23.0,14.0,19.0,10.0,62.0,60.0,150.0
