,BRAF_MUT,CES1P1_DEL,BRAF.V600E_MUT,ZNF705G_AMP,LOC728875_DEL,LOC100287534_AMP,ADAMTSL3_DEL,PCDH9_DEL,ZNF490_DEL,RBFOX1_DEL,DPP6_DEL,CADM2_DEL,HLA-DQB1_DEL,USP17L4_AMP,USP17L1P_AMP,TTTY22_DEL,CCND2_AMP,TTN_MUT,LOC390705_DEL,BTNL8_DEL,LOC729737_DEL,ACOT1_AMP,SORL1_MUT,FAM138A_DEL,PKHD1_MUT,MAML3_MUT,TMEM236_DEL,MRC1_AMP,SIGLEC14_DEL,AUTS2_DEL
521,3.0,0.0,6.0,1.0,22.0,18.0,8.0,4.0,120.0,16.0,9.0,40.0,47.0,29.0,28.0,21.0,23.0,49.0,396.0,5.0,106.0,13.0,233.0,10.0,93.0,36.0,34.0,52.0,2285.0,50.0
570,0.0,1.0,2.0,3.0,15.0,7.0,5.0,4.0,29.0,6.0,189.0,13.0,11.0,41.0,42.0,9.0,23.0,18.0,368.0,32.0,30.0,14.0,122.0,78.0,58.0,21.0,16.0,12804.0,261.0,22.0
619,0.0,6.0,1.0,16.0,91.0,5.0,3.0,2.0,56.0,18.0,1681.0,15.0,85.0,555.0,556.0,9.0,26.0,8.0,41.0,24.0,59.0,44.0,92.0,1011.0,45.0,14.0,330.0,133.0,340.0,27.0
668,4.0,0.0,7.0,3.0,10.0,40.0,11.0,1.0,170.0,5.0,267.0,23.0,20.0,37.0,36.0,6.0,14.0,115.0,123.0,2.0,68.0,16.0,32.0,702.0,26.0,34.0,163.0,52.0,47.0,62.0
717,0.0,15.0,3.0,4.0,9.0,1.0,5.0,10.0,8.0,2.0,226.0,7.0,13.0,84.0,85.0,11.0,12.0,106.0,9659.0,98.0,91.0,6.0,281.0,107.0,151.0,53.0,147.0,21.0,38.0,40.0
766,0.0,1.0,5.0,6.0,17.0,4.0,11.0,8.0,31.0,2.0,46.0,10.0,14.0,56.0,57.0,20.0,30.0,9.0,126.0,7.0,22.0,25.0,80.0,76.0,55.0,18.0,60.0,33.0,13.0,32.0
815,0.0,2.0,4.0,3.0,18.0,7.0,5.0,1.0,60.0,42.0,29.0,83.0,145.0,58.0,57.0,8.0,24.0,20.0,242.0,6.0,334.0,51.0,36.0,34.0,11.0,50.0,119.0,438.0,189.0,104.0
864,0.0,4.0,1.0,2.0,19.0,10.0,6.0,8.0,41.0,5.0,11.0,30.0,66.0,36.0,35.0,3.0,50.0,9.0,415.0,17.0,25.0,7.0,48.0,180.0,37.0,13.0,20.0,401.0,282.0,16.0
913,0.0,1.0,2.0,6.0,8.0,12.0,3.0,4.0,37.0,10.0,104.0,32.0,144.0,39.0,40.0,9.0,29.0,11.0,611.0,24.0,13.0,53.0,172.0,251.0,18.0,14.0,51.0,1278.0,16.0,20.0
962,1.0,0.0,3.0,5.0,26.0,2.0,6.0,8.0,207.0,7.0,25.0,12.0,13.0,17.0,16.0,85.0,169.0,154.0,114.0,11.0,92.0,9.0,32.0,27.0,143.0,28.0,54.0,453.0,158.0,58.0
1011,0.0,5.0,2.0,4.0,14.0,3.0,19.0,7.0,17.0,20.0,1.0,47.0,18.0,12.0,11.0,8.0,30.0,9.0,42.0,51.0,164.0,49.0,66.0,34.0,59.0,25.0,54.0,6.0,50.0,475.0
1060,0.0,4.0,3.0,1.0,5.0,25.0,20.0,18.0,89.0,16.0,13.0,15.0,11.0,6.0,7.0,29.0,30.0,286.0,371.0,10.0,221.0,9.0,72.0,185.0,810.0,36.0,128.0,2.0,71.0,125.0
1109,0.0,3.0,4.0,2.0,1.0,10.0,32.0,13.0,6.0,37.0,26.0,38.0,17.0,8.0,7.0,12.0,43.0,125.0,15.0,5.0,36.0,21.0,80.0,24.0,70.0,14.0,59.0,33.0,219.0,380.0
1158,0.0,7.0,4.0,3.0,1.0,13.0,18.0,2.0,26.0,23.0,5.0,11.0,6.0,17.0,16.0,9.0,49.0,38.0,39.0,10.0,30.0,12.0,43.0,27.0,177.0,28.0,47.0,94.0,77.0,148.0
1207,6.0,8.0,15.0,0.0,4.0,5.0,28.0,1.0,16.0,18.0,11.0,9.0,30.0,2.0,3.0,27.0,46.0,13.0,7.0,14.0,35.0,39.0,75.0,96.0,25.0,37.0,62.0,55.0,17.0,120.0
1256,0.0,12.0,1.0,4.0,3.0,6.0,24.0,5.0,35.0,7.0,23.0,25.0,8.0,16.0,15.0,46.0,34.0,2.0,9.0,13.0,63.0,85.0,54.0,286.0,495.0,32.0,44.0,33.0,18.0,101.0
1305,4.0,3.0,10.0,1.0,0.0,32.0,16.0,2.0,17.0,14.0,22.0,7.0,9.0,6.0,5.0,24.0,20.0,237.0,53.0,13.0,47.0,8.0,355.0,81.0,596.0,51.0,19.0,21.0,11.0,97.0
1354,2.0,0.0,4.0,1.0,5.0,8.0,19.0,3.0,11.0,12.0,24.0,10.0,9.0,6.0,7.0,28.0,41.0,62.0,66.0,13.0,38.0,39.0,46.0,18.0,147.0,34.0,30.0,16.0,189.0,199.0
1403,1.0,16.0,3.0,5.0,2.0,7.0,12.0,0.0,24.0,25.0,8.0,6.0,11.0,19.0,20.0,10.0,60.0,18.0,102.0,4.0,23.0,65.0,28.0,89.0,435.0,14.0,27.0,31.0,21.0,194.0
1452,1.0,0.0,2.0,7.0,8.0,4.0,60.0,6.0,3.0,143.0,10.0,16.0,159.0,12.0,13.0,405.0,39.0,1010.0,103.0,62.0,35.0,100.0,28.0,15.0,189.0,61.0,19.0,5.0,21.0,9284.0
1501,0.0,3.0,4.0,1.0,2.0,72.0,62.0,41.0,10.0,57.0,74.0,22.0,17.0,15.0,14.0,29.0,16.0,21.0,13.0,34.0,53.0,45.0,58.0,64.0,90.0,20.0,83.0,101.0,140.0,61.0
1550,0.0,9.0,2.0,3.0,1.0,7.0,15.0,58.0,60.0,31.0,6.0,36.0,45.0,10.0,11.0,32.0,26.0,33.0,41.0,4.0,640.0,176.0,37.0,10025.0,19.0,79.0,13.0,54.0,38.0,127.0
1599,1.0,8.0,7.0,0.0,2.0,10.0,37.0,1380.0,74.0,13.0,15.0,68.0,25.0,6.0,5.0,11.0,45.0,119.0,16.0,3.0,83.0,9.0,64.0,47.0,170.0,24.0,23.0,246.0,55.0,65.0
1648,3.0,1.0,6.0,0.0,2.0,18.0,25.0,47.0,34.0,23.0,12.0,76.0,7.0,10.0,11.0,31.0,30.0,95.0,8.0,16.0,57.0,48.0,27.0,90.0,88.0,61.0,14.0,116.0,196.0,54.0
1697,6.0,5.0,7.0,2.0,4.0,59.0,58.0,99.0,34.0,39.0,25.0,89.0,86.0,10.0,11.0,14.0,22.0,16.0,8.0,1.0,97.0,144.0,41.0,57.0,13.0,28.0,20.0,98.0,27.0,36.0
1746,1.0,2.0,12.0,0.0,3.0,13.0,11.0,455.0,28.0,9.0,51.0,287.0,39.0,15.0,14.0,16.0,23.0,27.0,10.0,20.0,76.0,79.0,46.0,88.0,25.0,36.0,26.0,70.0,106.0,49.0
1795,10.0,6.0,26.0,2.0,3.0,104.0,33.0,89.0,16.0,9.0,60.0,125.0,14.0,5.0,4.0,17.0,15.0,392.0,56.0,28.0,81.0,20.0,153.0,32.0,58.0,98.0,25.0,117.0,41.0,11.0
1844,4.0,7.0,9.0,0.0,12.0,5.0,29.0,281.0,38.0,25.0,274.0,84.0,17.0,14.0,15.0,89.0,41.0,97.0,11.0,10.0,561.0,16.0,23.0,1595.0,13.0,26.0,107.0,6.0,225.0,33.0
1893,3.0,5.0,6.0,2.0,4.0,29.0,26.0,18.0,15.0,12.0,88.0,38.0,37.0,8.0,9.0,11.0,20.0,119.0,16.0,35.0,46.0,39.0,195.0,175.0,64.0,47.0,44.0,282.0,158.0,36.0
1942,0.0,2.0,7.0,1.0,4.0,115.0,64.0,1763.0,11.0,34.0,848.0,110.0,40.0,18.0,17.0,31.0,35.0,185.0,21.0,14.0,15.0,220.0,75.0,3.0,216.0,46.0,42.0,30.0,85.0,72.0
1991,0.0,15.0,1.0,6.0,5.0,4.0,13.0,8.0,42.0,55.0,3.0,31.0,95.0,28.0,29.0,19.0,44.0,14.0,2.0,39.0,10.0,78.0,25.0,11.0,30.0,36.0,77.0,24.0,171.0,26.0
2040,0.0,7.0,1.0,18.0,6.0,10.0,11.0,5.0,2.0,69.0,29.0,9.0,33.0,98.0,97.0,24.0,45.0,31.0,56.0,127.0,15.0,255.0,22.0,173.0,13.0,53.0,136.0,82.0,1796.0,19.0
2089,0.0,3.0,1.0,7.0,6.0,21.0,88.0,10.0,19.0,16.0,5.0,14.0,53.0,24.0,23.0,76.0,55.0,66.0,20.0,158.0,32.0,39.0,36.0,42.0,15.0,35.0,49.0,8.0,105.0,22.0
2138,0.0,6.0,3.0,8.0,2.0,1.0,51.0,7.0,18.0,269.0,11.0,4.0,24.0,78.0,77.0,16.0,55.0,9.0,128.0,53.0,25.0,138.0,23.0,5.0,10.0,101.0,130.0,50.0,259.0,67.0
2187,0.0,26.0,1.0,3.0,21.0,7.0,20.0,67.0,9.0,19.0,5.0,15.0,10.0,123.0,124.0,25.0,38.0,23.0,4.0,30.0,18.0,41.0,36.0,54.0,11.0,34.0,37.0,44.0,293.0,6.0
2236,2.0,7.0,5.0,4.0,15.0,6.0,22.0,21.0,26.0,60.0,17.0,11.0,51.0,92.0,91.0,71.0,37.0,27.0,52.0,8.0,3.0,68.0,10.0,86.0,18.0,36.0,175.0,48.0,23.0,13.0
2285,0.0,9.0,1.0,10.0,2.0,7.0,182.0,6.0,11.0,56.0,13.0,4.0,43.0,52.0,53.0,89.0,15.0,14.0,12.0,107.0,21.0,24.0,16.0,19.0,557.0,55.0,30.0,20.0,335.0,38.0
2334,4.0,21.0,6.0,3.0,5.0,0.0,18.0,23.0,7.0,86.0,9.0,17.0,38.0,15.0,16.0,72.0,79.0,170.0,14.0,184.0,29.0,131.0,140.0,147.0,34.0,339.0,42.0,32.0,30.0,20.0
2383,0.0,91.0,1.0,6.0,3.0,2.0,9.0,5.0,33.0,19.0,11.0,15.0,90.0,56.0,55.0,24.0,324.0,18.0,22.0,92.0,12.0,40.0,26.0,206.0,38.0,37.0,21.0,78.0,636.0,8.0
2432,0.0,49.0,1.0,2.0,3.0,11.0,7.0,9.0,16.0,268.0,6.0,4.0,25.0,20.0,21.0,53.0,95.0,5.0,39.0,93.0,202.0,84.0,12.0,600.0,10.0,213.0,88.0,45.0,56.0,17.0
2481,4.0,0.0,19.0,5.0,2.0,3.0,9.0,77.0,18.0,8.0,10.0,29.0,42.0,24.0,23.0,57.0,12.0,1.0,6.0,21.0,16.0,7.0,1256.0,26.0,40.0,49.0,151.0,91.0,52.0,32.0
2530,0.0,22.0,8.0,1.0,10.0,2.0,4.0,666.0,6.0,57.0,45.0,25.0,11.0,16.0,15.0,54.0,17.0,7.0,24.0,9.0,30.0,18.0,168.0,19.0,29.0,59.0,31.0,669.0,40.0,50.0
2579,2.0,8.0,7.0,6.0,24.0,10.0,4.0,54.0,9.0,44.0,19.0,97.0,47.0,15.0,14.0,20.0,11.0,3.0,1.0,13.0,17.0,129.0,220.0,12.0,32.0,52.0,41.0,566.0,48.0,34.0
2628,1.0,10.0,2.0,4.0,23.0,20.0,5.0,111.0,8.0,29.0,62.0,38.0,14.0,16.0,17.0,26.0,6.0,9.0,0.0,15.0,64.0,42.0,522.0,39.0,31.0,33.0,63.0,60.0,61.0,47.0
2677,1.0,5.0,9.0,2.0,15.0,0.0,3.0,31.0,13.0,17.0,10.0,36.0,14.0,8.0,7.0,66.0,6.0,25.0,12.0,70.0,154.0,30.0,181.0,19.0,47.0,46.0,340.0,182.0,29.0,624.0
2726,2.0,15.0,17.0,1.0,18.0,16.0,0.0,75.0,6.0,64.0,38.0,44.0,67.0,4.0,5.0,20.0,3.0,9.0,8.0,42.0,19.0,10.0,875.0,7.0,31.0,208.0,41.0,51.0,21.0,22.0
2775,1.0,5.0,2.0,0.0,8.0,16.0,3.0,30.0,4.0,34.0,11.0,13.0,14.0,7.0,6.0,10.0,9.0,15.0,20.0,37.0,21.0,33.0,296.0,26.0,53.0,60.0,29.0,144.0,49.0,36.0
2824,3.0,1.0,19.0,0.0,2.0,17.0,14.0,134.0,35.0,12.0,496.0,16.0,15.0,6.0,5.0,37.0,13.0,11.0,29.0,21.0,18.0,8.0,1356.0,4.0,59.0,97.0,401.0,42.0,31.0,41.0
2873,6.0,2.0,11.0,3.0,7.0,29.0,8.0,36.0,23.0,24.0,15.0,184.0,31.0,14.0,13.0,21.0,18.0,73.0,0.0,4.0,20.0,30.0,377.0,1.0,44.0,42.0,67.0,631.0,147.0,28.0
2922,4.0,3.0,16.0,0.0,18.0,2.0,1.0,605.0,8.0,31.0,103.0,28.0,84.0,25.0,26.0,303.0,21.0,327.0,6.0,69.0,40.0,10.0,493.0,12.0,24.0,58.0,9.0,17.0,141.0,34.0
2971,1.0,0.0,8.0,5.0,3.0,107.0,11.0,2.0,9.0,19.0,21.0,39.0,10.0,44.0,45.0,17.0,197.0,22.0,35.0,40.0,248.0,1023.0,15.0,374.0,36.0,90.0,83.0,14.0,7.0,85.0
3020,10.0,2.0,26.0,0.0,6.0,231.0,230.0,7.0,13.0,29.0,1122.0,9.0,3.0,11.0,12.0,89.0,64.0,267.0,81.0,165.0,67.0,42.0,66.0,30.0,15085.0,172.0,27.0,1.0,117.0,254.0
3069,3.0,0.0,11.0,2.0,4.0,20.0,14.0,12.0,41.0,24.0,117.0,19.0,23.0,16.0,17.0,85.0,88.0,56.0,37.0,59.0,128.0,25.0,26.0,107.0,377.0,43.0,172.0,1.0,5.0,39.0
3118,2.0,0.0,18.0,12.0,5.0,74.0,23.0,6.0,8.0,14.0,48.0,78.0,3.0,46.0,47.0,125.0,332.0,137.0,41.0,4.0,81.0,40.0,25.0,21.0,325.0,52.0,30.0,1.0,22.0,107.0
3167,3.0,2.0,7.0,1.0,31.0,16.0,8.0,12.0,9.0,15.0,35.0,26.0,5.0,44.0,43.0,38.0,330.0,72.0,4.0,18.0,25.0,66.0,10.0,77.0,53.0,107.0,59.0,0.0,13.0,32.0
3216,3.0,0.0,5.0,1.0,4.0,333.0,31.0,2.0,8.0,98.0,29.0,32.0,13.0,10.0,9.0,53.0,108.0,248.0,111.0,61.0,107.0,262.0,6.0,39.0,71.0,114.0,14.0,16.0,15.0,218.0
3265,0.0,1.0,6.0,3.0,2.0,45.0,10.0,5.0,29.0,11.0,185.0,24.0,25.0,88.0,89.0,41.0,129.0,27.0,31.0,93.0,19.0,39.0,20.0,94.0,139.0,35.0,14.0,4.0,206.0,115.0
3314,6.0,1.0,17.0,4.0,20.0,77.0,14.0,3.0,16.0,5.0,27.0,12.0,124.0,85.0,86.0,47.0,154.0,91.0,10.0,287.0,41.0,45.0,75.0,476.0,175.0,155.0,23.0,0.0,2.0,68.0
3363,4.0,2.0,11.0,0.0,33.0,51.0,12.0,5.0,16.0,57.0,26.0,27.0,13.0,23.0,22.0,21.0,195.0,63.0,9.0,6.0,42.0,40.0,17.0,19.0,45.0,44.0,29.0,3.0,10.0,200.0
3412,1.0,4.0,12.0,21.0,6.0,96.0,7.0,14.0,8.0,242.0,4791.0,11.0,38.0,117.0,118.0,27.0,250.0,270.0,16.0,10.0,22.0,60.0,13.0,2.0,219.0,105.0,49.0,15.0,5.0,35.0
3461,0.0,3.0,1.0,8.0,18.0,24.0,5.0,9.0,41.0,63.0,66.0,34.0,10.0,124.0,123.0,2.0,73.0,37.0,526.0,33.0,7.0,12.0,13.0,20.0,15.0,40.0,76.0,242.0,4.0,17.0
3510,1.0,0.0,2.0,3.0,8.0,57.0,6.0,7.0,30.0,18.0,196.0,50.0,52.0,14.0,15.0,9.0,37.0,17.0,42.0,23.0,10.0,51.0,45.0,27.0,13.0,29.0,83.0,20.0,4.0,118.0
3559,1.0,3.0,0.0,2.0,12.0,7.0,11.0,19.0,15.0,56.0,27.0,46.0,8.0,25.0,26.0,14.0,30.0,43.0,71.0,5.0,17.0,6.0,21.0,23.0,9.0,16.0,101.0,29.0,4.0,20.0
3608,0.0,2.0,1.0,5.0,3.0,37.0,10.0,8.0,22.0,49.0,91.0,80.0,9.0,31.0,30.0,7.0,13.0,18.0,127.0,50.0,4.0,15.0,33.0,23.0,54.0,16.0,89.0,35.0,6.0,29.0
3657,0.0,2.0,3.0,11.0,12.0,9.0,5.0,27.0,14.0,82.0,8.0,49.0,98.0,142.0,141.0,50.0,37.0,229.0,29.0,67.0,24.0,25.0,22.0,6.0,48.0,28.0,416.0,18.0,1.0,235.0
3706,1.0,13.0,4.0,5.0,2.0,12.0,7.0,8.0,26.0,17.0,6.0,38.0,24.0,43.0,42.0,33.0,19.0,3.0,102.0,58.0,16.0,11.0,41.0,152.0,21.0,52.0,146.0,110.0,0.0,60.0
3755,2.0,3.0,7.0,15.0,4.0,14.0,1.0,43.0,19.0,13.0,35.0,77.0,5.0,45.0,46.0,12.0,34.0,9.0,17.0,31.0,6.0,54.0,42.0,8.0,11.0,26.0,18.0,37.0,0.0,61.0
3804,3.0,14.0,0.0,5.0,9.0,1.0,6.0,4.0,22.0,62.0,38.0,122.0,16.0,19.0,20.0,13.0,11.0,30.0,2.0,36.0,166.0,33.0,150.0,15.0,17.0,47.0,46.0,60.0,10.0,171.0
3853,1.0,0.0,2.0,18.0,6.0,5.0,3.0,15.0,12.0,14.0,13.0,26.0,49.0,67.0,66.0,47.0,17.0,7.0,76.0,8.0,29.0,23.0,25.0,179.0,10.0,27.0,50.0,11.0,4.0,20.0
3902,1.0,6.0,2.0,9.0,3.0,24.0,12.0,5.0,25.0,236.0,4.0,33.0,59.0,23.0,22.0,10.0,50.0,21.0,97.0,35.0,55.0,101.0,31.0,528.0,14.0,37.0,46.0,14310.0,0.0,142.0
3951,2.0,3.0,4.0,13.0,0.0,1.0,5.0,12.0,88.0,9.0,10.0,18.0,32.0,23.0,24.0,20.0,44.0,78.0,17.0,29.0,37.0,18613.0,48.0,6.0,19.0,247.0,25.0,21.0,271.0,26.0
4000,4.0,1.0,15.0,0.0,7.0,8.0,2.0,132.0,43.0,18.0,27.0,16.0,14.0,23.0,24.0,108.0,28.0,149.0,41.0,139.0,35.0,131.0,147.0,3.0,17.0,182.0,59.0,5.0,114.0,34.0
4049,0.0,14.0,3.0,23.0,1.0,2.0,4.0,46.0,18.0,9.0,15.0,7.0,100.0,121.0,120.0,44.0,58.0,48.0,8.0,315.0,38.0,557.0,37.0,41.0,17.0,97.0,99.0,12.0,402.0,16.0
4098,1.0,0.0,3.0,16.0,4.0,2.0,6.0,7.0,17.0,8.0,10.0,23.0,12.0,52.0,51.0,19.0,38.0,56.0,39.0,211.0,133.0,112.0,21.0,165.0,25.0,205.0,97.0,9.0,1495.0,89.0
4147,2.0,1.0,8.0,13.0,0.0,7.0,18.0,109.0,28.0,4.0,3.0,10.0,23.0,16.0,17.0,15.0,26.0,283.0,21.0,58.0,82.0,210.0,79.0,6.0,87.0,162.0,45.0,14.0,19.0,37.0
4196,1.0,0.0,6.0,9.0,2.0,10.0,4.0,15.0,17.0,22.0,3.0,13.0,19.0,12.0,11.0,68.0,97.0,121.0,113.0,70.0,38.0,150.0,31.0,37.0,7.0,60.0,99.0,51.0,112.0,16.0
4245,1.0,0.0,4.0,15.0,2.0,3.0,11.0,35.0,31.0,10.0,5.0,7.0,8.0,64.0,63.0,25.0,26.0,36.0,34.0,24.0,196.0,48.0,29.0,52.0,93.0,73.0,135.0,12.0,1360.0,59.0
4294,1.0,5.0,3.0,9.0,2.0,0.0,21.0,13.0,25.0,14.0,31.0,4.0,15.0,46.0,47.0,11.0,206.0,16.0,164.0,205.0,24.0,136.0,30.0,8.0,34.0,90.0,18.0,40.0,44.0,33.0
4343,2.0,0.0,10.0,14.0,1.0,12.0,4.0,3.0,649.0,13.0,104.0,7.0,11.0,55.0,54.0,19.0,34.0,122.0,6.0,31.0,134.0,1705.0,32.0,199.0,42.0,68.0,365.0,49.0,109.0,23.0
4392,1.0,3.0,0.0,11.0,2.0,6.0,7.0,10.0,15.0,8.0,25.0,9.0,43.0,50.0,49.0,13.0,52.0,134.0,66.0,1226.0,110.0,39.0,41.0,367.0,36.0,157.0,20.0,5.0,284.0,28.0
4441,4.0,13.0,10.0,3.0,1.0,5.0,8.0,36.0,34.0,2.0,59.0,140.0,220.0,16.0,15.0,26.0,14.0,0.0,696.0,65.0,9.0,33.0,82.0,1030.0,11.0,39.0,28.0,41.0,49.0,25.0
4490,0.0,2.0,6.0,8.0,3.0,1.0,5.0,41.0,85.0,22.0,9.0,21.0,11.0,52.0,53.0,153.0,36.0,4.0,148.0,87.0,30.0,97.0,171.0,7422.0,58.0,44.0,19.0,422.0,25.0,67.0
4539,2.0,1.0,5.0,17.0,3.0,20.0,16.0,10.0,11.0,12.0,4.0,45.0,21.0,36.0,37.0,23.0,25.0,0.0,90.0,174.0,78.0,13.0,44.0,1132.0,28.0,33.0,7.0,620.0,31.0,41.0
4588,1.0,4.0,5.0,14.0,21.0,8.0,2.0,88.0,17.0,13.0,3.0,47.0,20.0,63.0,64.0,75.0,32.0,0.0,45.0,184.0,29.0,44.0,37.0,800.0,16.0,67.0,10.0,35.0,7.0,87.0
4637,5.0,2.0,9.0,0.0,4.0,16.0,3.0,20.0,36.0,11.0,1.0,75.0,78.0,15.0,14.0,18.0,51.0,12.0,65.0,119.0,13.0,46.0,216.0,323.0,56.0,50.0,6.0,111.0,28.0,99.0
4686,1.0,0.0,4.0,5.0,3.0,21.0,8.0,13.0,24.0,16.0,35.0,115.0,25.0,12.0,11.0,28.0,33.0,2.0,9865.0,10.0,23.0,27.0,64.0,982.0,298.0,58.0,32.0,423.0,82.0,814.0
4735,0.0,2.0,1.0,4.0,6.0,10.0,12.0,24.0,19.0,14.0,3.0,39.0,38.0,28.0,29.0,43.0,63.0,11.0,138.0,116.0,36.0,16.0,25.0,5999.0,20.0,54.0,7.0,67.0,147.0,26.0
4784,10.0,0.0,17.0,9.0,12.0,11.0,18.0,15.0,16.0,4.0,73.0,52.0,22.0,67.0,66.0,55.0,27.0,3.0,2.0,42.0,23.0,39.0,53.0,75.0,14.0,89.0,7.0,21.0,32.0,26.0
4833,5.0,0.0,10.0,3.0,1.0,6.0,7.0,8.0,16.0,9.0,11.0,25.0,17.0,112.0,113.0,566.0,29.0,2.0,10003.0,333.0,43.0,18.0,226.0,82.0,116.0,78.0,12.0,31.0,22.0,46.0
4882,0.0,7.0,1.0,3.0,2.0,42.0,8.0,87.0,11.0,58.0,22.0,53.0,52.0,20.0,21.0,57.0,10.0,4.0,302.0,16.0,69.0,26.0,34.0,6564.0,781.0,35.0,13.0,18.0,85.0,68.0
