,SYT17,LYL1,ELF3,ABLIM2,GNB4,LA16c-380H5.5,HTRA2,GGPS1,RPUSD2,HERC5,RSPH1,RP5-914P20.5,TMEM182,AGR2,CXADR,KIAA1211L,AC074212.6,TRPV2,C1orf174,MFAP2,PITPNM3,FA2H,RP11-1109F11.3,HSPA1A,AP000974.1,RP11-196G18.22,RP11-645C24.2,ANO9,SYT13,RPL6
2559,0.0,48.0,2.0,3.0,1.0,72.0,62.0,23.0,4163.0,5.0,19.0,18.0,53.0,20.0,8.0,7.0,83.0,4.0,326.0,423.0,56.0,103.0,161.0,379.0,174.0,131.0,3482.0,6.0,5149.0,311.0
2608,1.0,3.0,284.0,28.0,0.0,2.0,6.0,45.0,2698.0,14.0,106.0,205.0,77.0,181.0,108.0,55.0,85.0,30.0,29.0,47.0,9956.0,10046.0,35.0,296.0,83.0,601.0,410.0,193.0,5448.0,105.0
2657,2.0,24.0,152.0,4.0,1.0,11.0,3.0,13.0,111.0,26.0,32.0,66.0,17041.0,179.0,12.0,46.0,82.0,470.0,0.0,61.0,29.0,149.0,203.0,21038.0,4650.0,258.0,219.0,140.0,8.0,263.0
2706,3.0,5.0,175.0,18.0,0.0,21.0,10.0,12.0,3871.0,14.0,94.0,6.0,13.0,22231.0,214.0,139.0,52.0,10035.0,65.0,1063.0,207.0,10957.0,78.0,21018.0,99.0,633.0,246.0,19734.0,5197.0,403.0
2755,5.0,8.0,13.0,1.0,10.0,42.0,20.0,63.0,2981.0,124.0,7416.0,7.0,2.0,133.0,4.0,49.0,21.0,93.0,0.0,241.0,32.0,118.0,23.0,56.0,84.0,15793.0,3119.0,14.0,163.0,186.0
2804,12.0,2.0,8.0,17.0,4.0,9.0,42.0,11.0,7.0,87.0,37.0,21.0,219.0,98.0,165.0,60.0,14.0,1.0,16.0,1273.0,1361.0,110.0,282.0,174.0,74.0,15787.0,3994.0,220.0,139.0,6.0
2853,0.0,8.0,151.0,9.0,1.0,58.0,54.0,264.0,3998.0,26.0,2.0,222.0,300.0,144.0,21.0,95.0,11.0,49.0,16162.0,1754.0,10862.0,10919.0,6663.0,55.0,138.0,15811.0,166.0,24.0,5907.0,41.0
2902,4.0,8.0,7.0,14.0,1.0,72.0,30.0,6.0,1432.0,54.0,67.0,18.0,130.0,129.0,140.0,44.0,112.0,58.0,15.0,60.0,28.0,155.0,11.0,135.0,105.0,15788.0,3994.0,13.0,148.0,55.0
2951,11.0,9.0,2.0,26.0,82.0,63.0,18.0,93.0,340.0,583.0,62.0,0.0,176.0,12.0,8.0,103.0,127.0,20.0,19.0,1.0,1403.0,54.0,187.0,21146.0,5.0,240.0,10954.0,39.0,235.0,6721.0
3000,10.0,0.0,157.0,6.0,14593.0,1.0,13.0,7.0,366.0,5.0,94.0,3.0,26.0,228.0,90.0,16920.0,111.0,14.0,121.0,15882.0,29.0,363.0,77.0,25.0,134.0,30.0,101.0,19726.0,725.0,292.0
3049,14.0,0.0,9.0,3.0,15085.0,4.0,6.0,1716.0,41.0,22.0,136.0,2.0,43.0,55.0,114.0,105.0,117.0,1.0,233.0,7.0,10826.0,47.0,140.0,15.0,135.0,315.0,3281.0,321.0,218.0,216.0
3098,3.0,1.0,10.0,14.0,138.0,56.0,21.0,43.0,2.0,2492.0,78.0,125.0,24.0,118.0,30.0,206.0,140.0,107.0,40.0,17.0,16.0,68.0,54.0,21025.0,19.0,25.0,20.0,69.0,5161.0,266.0
3147,5.0,4.0,78.0,16.0,1335.0,3.0,0.0,103.0,45.0,37.0,15.0,195.0,283.0,13.0,19.0,87.0,8265.0,28.0,16172.0,14.0,29.0,86.0,977.0,21071.0,88.0,26.0,10635.0,6.0,6021.0,118.0
3196,3.0,6.0,5.0,8.0,69.0,45.0,22.0,25.0,3926.0,0.0,31.0,268.0,156.0,99.0,88.0,182.0,124.0,20.0,57.0,2.0,10856.0,120.0,1.0,541.0,331.0,27.0,98.0,86.0,159.0,330.0
3245,11.0,3.0,6.0,5.0,14597.0,81.0,23.0,107.0,245.0,20.0,38.0,26.0,56.0,113.0,86.0,134.0,299.0,1.0,178.0,15866.0,10860.0,10978.0,79.0,21013.0,17.0,15796.0,120.0,254.0,350.0,15.0
3294,4.0,9.0,3.0,13.0,14669.0,5.0,17.0,101.0,2760.0,26.0,95.0,2.0,23.0,52.0,37.0,47.0,36.0,0.0,125.0,20.0,10855.0,80.0,27.0,21071.0,2235.0,503.0,100.0,28.0,5172.0,6816.0
3343,9.0,4.0,13.0,31.0,14624.0,65.0,42.0,20.0,7.0,6.0,59.0,0.0,288.0,242.0,219.0,58.0,5.0,83.0,106.0,3.0,98.0,419.0,200.0,21016.0,269.0,44.0,185.0,241.0,5164.0,6810.0
3392,6.0,5.0,2.0,13.0,14611.0,10723.0,4.0,14.0,70.0,30.0,64.0,1.0,277.0,73.0,85.0,58.0,2472.0,0.0,181.0,29.0,80.0,60.0,6311.0,220.0,339.0,12.0,10547.0,21.0,5524.0,103.0
3441,1.0,2.0,11.0,7.0,0.0,6.0,13.0,14.0,3803.0,13921.0,7403.0,7536.0,16977.0,88.0,81.0,21.0,90.0,9.0,369.0,15875.0,188.0,129.0,18.0,44.0,252.0,15791.0,3559.0,29.0,5058.0,250.0
3490,0.0,70.0,203.0,2.0,1.0,24.0,21.0,34.0,997.0,82.0,25.0,6.0,16985.0,20.0,378.0,133.0,9.0,38.0,29.0,40.0,10834.0,10918.0,6983.0,110.0,568.0,177.0,107.0,41.0,5166.0,14.0
3539,0.0,5.0,37.0,4.0,1.0,18.0,13.0,8.0,48.0,94.0,7459.0,14.0,16985.0,42.0,278.0,183.0,132.0,113.0,252.0,193.0,10842.0,816.0,543.0,367.0,344.0,15789.0,67.0,211.0,6710.0,30.0
3588,0.0,6.0,31.0,8.0,2.0,1.0,5.0,80.0,218.0,631.0,134.0,93.0,95.0,401.0,9414.0,97.0,9.0,9836.0,147.0,256.0,10118.0,10856.0,1168.0,264.0,26.0,88.0,102.0,192.0,5360.0,87.0
3637,3.0,0.0,7.0,10.0,1.0,52.0,166.0,5.0,14.0,112.0,19.0,23.0,232.0,2.0,75.0,47.0,15.0,10007.0,16152.0,11.0,10845.0,157.0,5471.0,181.0,652.0,4.0,129.0,30.0,4408.0,46.0
3686,0.0,8.0,422.0,5.0,3.0,182.0,35.0,27.0,4285.0,12.0,74.0,18.0,17025.0,15.0,46.0,150.0,69.0,10037.0,10.0,7.0,10861.0,10959.0,5073.0,21010.0,440.0,216.0,4.0,294.0,3047.0,213.0
3735,0.0,80.0,312.0,12.0,1.0,23.0,8.0,802.0,368.0,4.0,1689.0,6.0,148.0,22274.0,79.0,16977.0,5.0,350.0,370.0,743.0,211.0,10989.0,4776.0,21055.0,207.0,363.0,29.0,575.0,56.0,186.0
3784,1.0,7.0,168.0,12.0,0.0,26.0,57.0,187.0,2788.0,50.0,31.0,3.0,16990.0,164.0,113.0,49.0,6.0,16.0,16142.0,11.0,163.0,91.0,5784.0,17.0,52.0,147.0,4099.0,114.0,4386.0,353.0
3833,2.0,11.0,65.0,7.0,0.0,69.0,9.0,128.0,218.0,1.0,8.0,297.0,17050.0,39.0,150.0,87.0,12.0,131.0,10.0,15899.0,222.0,63.0,6970.0,133.0,428.0,28.0,204.0,217.0,5115.0,277.0
3882,2.0,14.0,100.0,6.0,0.0,25.0,21.0,54.0,2702.0,77.0,93.0,19.0,575.0,9.0,103.0,92.0,47.0,187.0,84.0,17.0,10800.0,200.0,5752.0,413.0,209.0,15772.0,4024.0,63.0,4318.0,120.0
3931,8.0,97.0,2.0,13.0,1.0,1165.0,36.0,648.0,434.0,13818.0,32.0,10.0,107.0,86.0,96.0,47.0,7728.0,24.0,87.0,29.0,42.0,88.0,40.0,144.0,92.0,93.0,94.0,124.0,147.0,295.0
3980,12.0,1.0,0.0,17.0,260.0,21.0,36.0,15.0,5.0,23.0,38.0,37.0,86.0,89.0,14.0,54.0,6.0,12091.0,55.0,791.0,28.0,142.0,167.0,152.0,84.0,15776.0,83.0,163.0,22.0,164.0
4029,16.0,192.0,6.0,9.0,14671.0,36.0,11.0,80.0,1.0,88.0,72.0,13.0,8.0,160.0,24.0,53.0,7838.0,468.0,143.0,0.0,58.0,411.0,2.0,21025.0,113.0,15806.0,10654.0,237.0,12.0,57.0
4078,1276.0,8.0,1.0,4.0,7.0,27.0,34.0,9.0,6.0,420.0,35.0,26.0,30.0,33.0,135.0,51.0,14.0,10.0,42.0,65.0,50.0,58.0,19.0,1706.0,120.0,145.0,78.0,307.0,118.0,31.0
4127,24.0,7.0,0.0,5.0,71.0,13.0,85.0,1190.0,19.0,13850.0,17.0,261.0,6.0,14.0,18.0,3.0,7724.0,526.0,45.0,30.0,10512.0,87.0,61.0,27.0,55.0,15835.0,10628.0,1.0,193.0,23.0
4176,2.0,5.0,0.0,9.0,1.0,21.0,74.0,27.0,135.0,400.0,7452.0,11.0,77.0,231.0,208.0,93.0,7700.0,686.0,103.0,910.0,75.0,236.0,311.0,209.0,4.0,276.0,89.0,128.0,355.0,29.0
4225,17.0,4.0,0.0,16.0,209.0,7.0,30.0,105.0,204.0,38.0,13.0,2.0,16989.0,134.0,6.0,80.0,102.0,1.0,339.0,37.0,40.0,77.0,133.0,124.0,107.0,277.0,96.0,12.0,35.0,6807.0
4274,2.0,1.0,133.0,15.0,0.0,7.0,4.0,54.0,6.0,66.0,94.0,28.0,95.0,5.0,294.0,71.0,144.0,67.0,496.0,27.0,92.0,296.0,11.0,172.0,134.0,192.0,93.0,37.0,6170.0,6586.0
