,hsa-miR-1257,hsa-miR-548a-3p,hsa-miR-579,hsa-miR-1197,hsa-miR-582-5p,hsa-miR-140-5p,hsa-miR-759,hsa-miR-651,hsv1-miR-H7,hsa-miR-2277,hsa-miR-499-3p,hsa-miR-146b-3p,hsa-miR-620,hsa-miR-891b,hsa-miR-615-3p,hsa-miR-604,hsa-miR-135b,hsv2-miR-H4-5p,hsa-miR-548c-5p,hsa-miR-1978,hsa-miR-28-5p,hsa-miR-924,hsa-miR-557,hsa-miR-548d-3p,hsa-miR-638,hsa-miR-591,hsa-miR-555,hsa-miR-888,hsa-miR-548e,ebv-miR-BART2-3p
1093,4.0,1.0,10.0,58.0,3.0,6.0,32.0,13.0,11.0,50.0,2.0,55.0,12.0,61.0,80.0,26.0,207.0,15.0,105.0,24.0,123.0,86.0,59.0,17.0,40.0,54.0,44.0,51.0,49.0,39.0
1142,7.0,4.0,8.0,20.0,10.0,3.0,14.0,42.0,0.0,69.0,13.0,49.0,24.0,65.0,35.0,17.0,106.0,27.0,61.0,59.0,37.0,74.0,33.0,25.0,54.0,22.0,52.0,55.0,9.0,78.0
1191,2.0,3.0,4.0,16.0,14.0,6.0,19.0,40.0,1.0,120.0,25.0,172.0,17.0,29.0,51.0,32.0,39.0,28.0,86.0,8.0,55.0,104.0,31.0,110.0,105.0,73.0,61.0,125.0,0.0,7.0
1240,1.0,4.0,5.0,28.0,3.0,8.0,36.0,21.0,10.0,214.0,6.0,30.0,2.0,47.0,26.0,43.0,90.0,25.0,20.0,7.0,96.0,115.0,32.0,62.0,229.0,52.0,37.0,49.0,0.0,38.0
1289,2.0,30.0,1.0,3.0,34.0,4.0,26.0,76.0,0.0,80.0,12.0,168.0,15.0,27.0,72.0,36.0,25.0,47.0,103.0,13.0,43.0,203.0,14.0,37.0,169.0,49.0,67.0,44.0,7.0,51.0
1338,10.0,1.0,12.0,4.0,24.0,13.0,36.0,29.0,0.0,188.0,2.0,56.0,76.0,68.0,17.0,26.0,103.0,47.0,84.0,22.0,65.0,206.0,73.0,18.0,75.0,64.0,140.0,46.0,6.0,111.0
1387,3.0,12.0,6.0,11.0,4.0,0.0,116.0,19.0,10.0,239.0,5.0,20.0,15.0,43.0,9.0,262.0,28.0,8.0,45.0,17.0,91.0,40.0,7.0,281.0,206.0,77.0,184.0,62.0,13.0,14.0
1436,4.0,10.0,1.0,23.0,35.0,3.0,78.0,60.0,9.0,148.0,13.0,120.0,28.0,77.0,27.0,15.0,25.0,5.0,61.0,66.0,74.0,81.0,24.0,142.0,95.0,67.0,203.0,18.0,2.0,6.0
1485,1.0,2.0,13.0,8.0,31.0,3.0,76.0,9.0,14.0,5.0,28.0,60.0,0.0,45.0,58.0,6.0,16.0,61.0,33.0,10.0,34.0,35.0,134.0,66.0,25.0,92.0,36.0,17.0,147.0,110.0
1534,0.0,3.0,12.0,9.0,1.0,19.0,22.0,44.0,17.0,16.0,35.0,179.0,14.0,30.0,33.0,11.0,20.0,109.0,2.0,4.0,71.0,18.0,69.0,147.0,114.0,39.0,62.0,8.0,95.0,81.0
1583,3.0,1.0,33.0,19.0,2.0,18.0,16.0,25.0,6.0,8.0,32.0,84.0,20.0,10.0,24.0,72.0,38.0,164.0,47.0,11.0,5.0,44.0,80.0,66.0,94.0,75.0,21.0,22.0,56.0,92.0
1632,0.0,5.0,9.0,12.0,1.0,43.0,15.0,80.0,3.0,6.0,14.0,70.0,4.0,30.0,48.0,16.0,19.0,148.0,69.0,17.0,41.0,100.0,105.0,33.0,46.0,49.0,11.0,7.0,110.0,22.0
1681,1.0,125.0,8.0,28.0,15.0,9.0,173.0,75.0,5.0,0.0,16.0,189.0,3.0,6.0,72.0,38.0,2.0,40.0,33.0,13.0,27.0,88.0,126.0,30.0,80.0,107.0,47.0,18.0,19.0,83.0
1730,1.0,5.0,14.0,28.0,4.0,3.0,25.0,8.0,11.0,0.0,10.0,77.0,7.0,31.0,56.0,13.0,17.0,95.0,16.0,24.0,21.0,29.0,105.0,41.0,36.0,55.0,22.0,15.0,86.0,72.0
1779,20.0,3.0,39.0,56.0,2.0,1.0,42.0,36.0,7.0,8.0,13.0,85.0,5.0,15.0,81.0,24.0,6.0,106.0,67.0,69.0,12.0,55.0,44.0,73.0,114.0,50.0,10.0,23.0,27.0,110.0
1828,1.0,8.0,65.0,6.0,4.0,34.0,21.0,17.0,11.0,3.0,23.0,72.0,2.0,14.0,61.0,36.0,9.0,74.0,28.0,20.0,7.0,81.0,49.0,5.0,16.0,78.0,10.0,29.0,73.0,62.0
1877,1.0,13.0,11.0,5.0,23.0,4.0,44.0,21.0,3.0,0.0,43.0,96.0,6.0,19.0,15.0,17.0,14.0,53.0,16.0,9.0,42.0,32.0,106.0,45.0,69.0,77.0,85.0,10.0,39.0,97.0
1926,32.0,23.0,14.0,6.0,7.0,88.0,134.0,16.0,2.0,1.0,51.0,43.0,13.0,137.0,8.0,22.0,21.0,50.0,0.0,28.0,55.0,4.0,94.0,42.0,62.0,121.0,125.0,5.0,72.0,126.0
1975,0.0,14.0,9.0,25.0,19.0,1.0,38.0,118.0,18.0,3.0,23.0,20.0,21.0,22.0,13.0,24.0,80.0,70.0,4.0,189.0,34.0,77.0,2.0,136.0,61.0,90.0,29.0,26.0,48.0,211.0
2024,1.0,5.0,2.0,9.0,71.0,4.0,75.0,29.0,19.0,14.0,59.0,72.0,0.0,38.0,12.0,8.0,45.0,48.0,10.0,282.0,16.0,26.0,6.0,117.0,21.0,62.0,13.0,15.0,109.0,96.0
2073,1.0,14.0,3.0,27.0,53.0,0.0,9.0,69.0,13.0,63.0,146.0,19.0,24.0,4.0,25.0,10.0,20.0,106.0,2.0,56.0,16.0,6.0,30.0,123.0,39.0,5.0,51.0,64.0,62.0,48.0
2122,0.0,74.0,5.0,6.0,115.0,25.0,17.0,121.0,18.0,4.0,47.0,8.0,14.0,15.0,1.0,9.0,58.0,30.0,2.0,201.0,46.0,33.0,11.0,73.0,67.0,32.0,64.0,3.0,48.0,52.0
2171,3.0,19.0,1.0,41.0,49.0,4.0,10.0,21.0,59.0,116.0,5.0,32.0,14.0,20.0,29.0,0.0,128.0,28.0,24.0,176.0,15.0,2.0,53.0,107.0,18.0,51.0,13.0,34.0,278.0,65.0
2220,0.0,34.0,4.0,13.0,83.0,3.0,44.0,74.0,16.0,12.0,31.0,8.0,20.0,43.0,6.0,10.0,26.0,45.0,21.0,89.0,50.0,15.0,17.0,84.0,5.0,29.0,87.0,35.0,93.0,62.0
2269,0.0,1.0,5.0,52.0,39.0,6.0,11.0,83.0,16.0,18.0,56.0,21.0,2.0,3.0,27.0,28.0,10.0,102.0,35.0,200.0,24.0,12.0,4.0,73.0,20.0,25.0,8.0,86.0,85.0,40.0
2318,1.0,9.0,0.0,20.0,59.0,3.0,63.0,23.0,56.0,8.0,16.0,5.0,15.0,58.0,6.0,14.0,43.0,13.0,10.0,95.0,75.0,2.0,17.0,143.0,37.0,28.0,25.0,47.0,39.0,12.0
2367,2.0,4.0,0.0,25.0,112.0,3.0,14.0,37.0,84.0,64.0,75.0,18.0,11.0,34.0,26.0,17.0,7.0,39.0,1.0,106.0,56.0,29.0,5.0,130.0,33.0,20.0,19.0,16.0,153.0,44.0
2416,0.0,63.0,2.0,32.0,194.0,6.0,27.0,156.0,14.0,25.0,131.0,11.0,17.0,19.0,35.0,1.0,13.0,56.0,4.0,59.0,42.0,100.0,5.0,54.0,12.0,22.0,18.0,8.0,78.0,41.0
2465,8.0,2.0,14.0,10.0,9.0,39.0,7.0,3.0,19.0,17.0,46.0,0.0,129.0,61.0,6.0,1.0,35.0,68.0,32.0,300.0,15.0,34.0,5.0,27.0,23.0,26.0,16.0,20.0,164.0,82.0
2514,8.0,1.0,13.0,2.0,11.0,31.0,5.0,6.0,66.0,4.0,16.0,0.0,20.0,37.0,14.0,30.0,28.0,22.0,44.0,255.0,68.0,10.0,3.0,59.0,73.0,29.0,50.0,85.0,41.0,43.0
2563,2.0,6.0,8.0,0.0,32.0,30.0,1.0,11.0,78.0,24.0,13.0,14.0,15.0,73.0,20.0,57.0,66.0,43.0,107.0,33.0,85.0,26.0,10.0,17.0,42.0,25.0,58.0,9.0,135.0,5.0
2612,1.0,21.0,20.0,26.0,10.0,34.0,3.0,11.0,50.0,24.0,16.0,0.0,38.0,17.0,14.0,12.0,44.0,4.0,13.0,218.0,15.0,2.0,5.0,6.0,37.0,51.0,30.0,62.0,88.0,47.0
2661,1.0,4.0,40.0,10.0,0.0,11.0,3.0,7.0,62.0,56.0,25.0,5.0,21.0,6.0,13.0,122.0,8.0,14.0,102.0,145.0,16.0,19.0,2.0,23.0,41.0,33.0,18.0,45.0,38.0,9.0
2710,1.0,9.0,25.0,3.0,0.0,10.0,2.0,4.0,36.0,33.0,7.0,8.0,35.0,11.0,16.0,37.0,31.0,57.0,18.0,171.0,13.0,17.0,5.0,12.0,30.0,46.0,24.0,133.0,26.0,63.0
2759,2.0,1.0,16.0,12.0,0.0,23.0,5.0,10.0,38.0,19.0,15.0,13.0,44.0,11.0,24.0,6.0,51.0,54.0,27.0,66.0,18.0,21.0,4.0,107.0,7.0,25.0,43.0,181.0,117.0,35.0
2808,6.0,32.0,9.0,0.0,3.0,7.0,1.0,5.0,60.0,2.0,33.0,14.0,10.0,15.0,25.0,13.0,41.0,16.0,35.0,36.0,17.0,29.0,4.0,22.0,20.0,24.0,19.0,26.0,117.0,43.0
2857,0.0,16.0,18.0,4.0,14.0,73.0,2.0,6.0,26.0,1.0,23.0,3.0,19.0,24.0,11.0,5.0,9.0,27.0,42.0,78.0,29.0,25.0,10.0,8.0,7.0,55.0,37.0,49.0,45.0,86.0
2906,5.0,0.0,34.0,9.0,2.0,7.0,4.0,12.0,43.0,125.0,50.0,19.0,31.0,78.0,83.0,6.0,234.0,180.0,70.0,17.0,15.0,28.0,29.0,3.0,11.0,61.0,36.0,104.0,201.0,76.0
2955,6.0,8.0,22.0,14.0,30.0,18.0,1.0,20.0,16.0,79.0,68.0,3.0,56.0,9.0,199.0,4.0,39.0,5.0,113.0,98.0,7.0,15.0,32.0,2.0,48.0,19.0,10.0,42.0,23.0,36.0
3004,0.0,2.0,3.0,1.0,21.0,24.0,5.0,29.0,18.0,20.0,39.0,17.0,33.0,28.0,47.0,4.0,15.0,7.0,152.0,72.0,32.0,63.0,6.0,22.0,11.0,16.0,23.0,13.0,14.0,27.0
3053,5.0,0.0,4.0,8.0,26.0,24.0,7.0,13.0,18.0,6.0,21.0,19.0,56.0,16.0,35.0,22.0,39.0,20.0,73.0,114.0,10.0,31.0,14.0,3.0,17.0,15.0,12.0,36.0,2.0,28.0
3102,4.0,5.0,8.0,0.0,3.0,15.0,7.0,28.0,6.0,70.0,74.0,48.0,38.0,9.0,22.0,1.0,77.0,29.0,109.0,36.0,34.0,13.0,50.0,11.0,10.0,49.0,18.0,82.0,20.0,69.0
3151,0.0,19.0,1.0,2.0,35.0,18.0,10.0,53.0,22.0,11.0,14.0,48.0,114.0,20.0,79.0,8.0,40.0,23.0,86.0,33.0,4.0,130.0,42.0,6.0,15.0,32.0,3.0,43.0,31.0,27.0
3200,7.0,6.0,10.0,4.0,56.0,5.0,17.0,15.0,23.0,16.0,32.0,2.0,21.0,11.0,111.0,8.0,13.0,26.0,38.0,41.0,48.0,24.0,53.0,0.0,9.0,27.0,19.0,49.0,14.0,85.0
3249,1.0,9.0,3.0,10.0,14.0,13.0,4.0,5.0,24.0,12.0,17.0,26.0,86.0,16.0,51.0,64.0,25.0,19.0,52.0,36.0,18.0,79.0,23.0,0.0,46.0,28.0,21.0,35.0,2.0,6.0
3298,8.0,0.0,3.0,17.0,9.0,13.0,57.0,41.0,4.0,6.0,39.0,7.0,54.0,21.0,58.0,42.0,2.0,25.0,109.0,27.0,29.0,38.0,104.0,146.0,24.0,14.0,56.0,85.0,10.0,26.0
3347,3.0,1.0,6.0,0.0,2.0,9.0,7.0,8.0,100.0,4.0,36.0,5.0,71.0,24.0,136.0,11.0,44.0,12.0,222.0,25.0,30.0,34.0,21.0,23.0,14.0,17.0,41.0,140.0,45.0,22.0
3396,5.0,20.0,4.0,12.0,6.0,15.0,3.0,11.0,8.0,35.0,50.0,37.0,41.0,7.0,67.0,0.0,9.0,10.0,40.0,30.0,22.0,85.0,14.0,34.0,21.0,13.0,23.0,76.0,2.0,54.0
3445,13.0,11.0,6.0,20.0,5.0,15.0,2.0,10.0,29.0,1.0,14.0,37.0,107.0,61.0,3.0,27.0,8.0,24.0,28.0,26.0,42.0,287.0,72.0,35.0,23.0,17.0,58.0,21.0,55.0,54.0
3494,1.0,35.0,19.0,14.0,27.0,10.0,3.0,12.0,5.0,2.0,8.0,28.0,138.0,9.0,0.0,44.0,17.0,124.0,32.0,6.0,4.0,62.0,288.0,26.0,21.0,31.0,75.0,39.0,20.0,60.0
3543,16.0,0.0,4.0,36.0,13.0,6.0,24.0,2.0,7.0,27.0,9.0,1.0,60.0,5.0,8.0,155.0,3.0,25.0,10.0,35.0,11.0,21.0,57.0,42.0,14.0,30.0,103.0,53.0,19.0,158.0
3592,8.0,1.0,9.0,12.0,14.0,0.0,4.0,3.0,50.0,6.0,13.0,7.0,49.0,10.0,43.0,105.0,29.0,22.0,85.0,2.0,17.0,51.0,154.0,31.0,35.0,21.0,36.0,26.0,41.0,52.0
3641,1.0,3.0,7.0,179.0,12.0,11.0,45.0,0.0,14.0,5.0,17.0,2.0,175.0,9.0,10.0,91.0,42.0,6.0,35.0,51.0,16.0,59.0,86.0,56.0,4.0,8.0,173.0,13.0,57.0,131.0
3690,1.0,2.0,13.0,44.0,7.0,19.0,10.0,20.0,0.0,5.0,27.0,4.0,33.0,12.0,24.0,56.0,136.0,28.0,21.0,8.0,9.0,115.0,153.0,29.0,42.0,14.0,52.0,3.0,30.0,122.0
3739,6.0,0.0,3.0,17.0,124.0,34.0,13.0,15.0,20.0,1.0,9.0,69.0,28.0,10.0,19.0,42.0,31.0,86.0,12.0,14.0,5.0,37.0,167.0,11.0,43.0,58.0,63.0,18.0,52.0,59.0
3788,6.0,11.0,12.0,5.0,14.0,32.0,17.0,22.0,9.0,0.0,16.0,15.0,26.0,44.0,3.0,93.0,25.0,61.0,73.0,1.0,8.0,85.0,159.0,52.0,38.0,30.0,33.0,7.0,112.0,13.0
3837,0.0,1.0,12.0,28.0,64.0,8.0,13.0,5.0,4.0,6.0,41.0,20.0,62.0,17.0,2.0,56.0,50.0,29.0,10.0,3.0,7.0,135.0,159.0,9.0,21.0,35.0,23.0,18.0,76.0,74.0
3886,0.0,1.0,28.0,15.0,14.0,7.0,17.0,21.0,4.0,10.0,60.0,22.0,3.0,8.0,11.0,6.0,2.0,23.0,63.0,25.0,44.0,97.0,20.0,33.0,29.0,75.0,105.0,43.0,48.0,52.0
3935,3.0,0.0,20.0,1.0,8.0,25.0,2.0,9.0,16.0,95.0,36.0,31.0,15.0,14.0,11.0,10.0,18.0,33.0,6.0,4.0,5.0,7.0,56.0,119.0,26.0,90.0,50.0,142.0,45.0,27.0
3984,0.0,1.0,19.0,2.0,6.0,17.0,8.0,4.0,13.0,340.0,9.0,35.0,21.0,31.0,12.0,32.0,26.0,20.0,24.0,53.0,30.0,3.0,155.0,61.0,7.0,128.0,44.0,133.0,34.0,81.0
4033,3.0,9.0,25.0,12.0,1.0,36.0,0.0,4.0,15.0,150.0,17.0,19.0,29.0,10.0,6.0,5.0,55.0,65.0,13.0,2.0,7.0,8.0,86.0,38.0,27.0,34.0,31.0,98.0,32.0,76.0
4082,6.0,17.0,21.0,3.0,1.0,57.0,4.0,9.0,2.0,171.0,19.0,51.0,219.0,13.0,7.0,0.0,44.0,12.0,14.0,20.0,8.0,63.0,32.0,64.0,11.0,99.0,48.0,97.0,15.0,24.0
4131,13.0,22.0,10.0,0.0,2.0,43.0,1.0,4.0,30.0,41.0,24.0,153.0,17.0,18.0,9.0,76.0,23.0,11.0,56.0,3.0,6.0,29.0,92.0,52.0,7.0,112.0,59.0,142.0,88.0,70.0
4180,0.0,17.0,26.0,2.0,3.0,144.0,1.0,9.0,10.0,71.0,51.0,24.0,62.0,8.0,5.0,18.0,85.0,45.0,53.0,4.0,6.0,7.0,76.0,27.0,41.0,31.0,89.0,21.0,72.0,12.0
4229,16.0,7.0,1.0,35.0,13.0,9.0,0.0,20.0,17.0,177.0,15.0,40.0,99.0,32.0,26.0,42.0,101.0,23.0,25.0,5.0,14.0,10.0,22.0,29.0,30.0,51.0,90.0,28.0,21.0,38.0
4278,0.0,2.0,32.0,7.0,1.0,11.0,3.0,9.0,10.0,231.0,25.0,19.0,75.0,24.0,17.0,61.0,76.0,45.0,21.0,4.0,12.0,8.0,18.0,33.0,35.0,52.0,46.0,104.0,29.0,16.0
4327,8.0,6.0,44.0,4.0,5.0,39.0,1.0,2.0,7.0,170.0,19.0,22.0,18.0,10.0,32.0,9.0,20.0,23.0,16.0,0.0,13.0,3.0,254.0,21.0,15.0,25.0,74.0,40.0,38.0,12.0
4376,2.0,0.0,5.0,8.0,7.0,69.0,1.0,4.0,6.0,89.0,74.0,68.0,64.0,12.0,20.0,19.0,16.0,29.0,40.0,26.0,36.0,21.0,13.0,35.0,142.0,48.0,28.0,63.0,23.0,33.0
4425,4.0,1.0,2.0,0.0,23.0,21.0,40.0,3.0,22.0,11.0,5.0,7.0,15.0,19.0,8.0,34.0,6.0,10.0,88.0,87.0,26.0,16.0,53.0,12.0,25.0,52.0,24.0,32.0,36.0,33.0
4474,3.0,1.0,9.0,0.0,22.0,43.0,5.0,12.0,40.0,14.0,8.0,2.0,37.0,7.0,16.0,18.0,11.0,31.0,44.0,111.0,26.0,27.0,33.0,6.0,15.0,88.0,20.0,45.0,4.0,48.0
4523,1.0,3.0,7.0,0.0,37.0,67.0,30.0,140.0,19.0,4.0,13.0,9.0,2.0,26.0,6.0,14.0,5.0,11.0,17.0,63.0,42.0,66.0,35.0,49.0,20.0,56.0,18.0,10.0,27.0,33.0
4572,4.0,2.0,8.0,0.0,23.0,54.0,9.0,10.0,12.0,36.0,5.0,1.0,25.0,17.0,7.0,35.0,21.0,14.0,56.0,103.0,47.0,11.0,22.0,20.0,27.0,53.0,44.0,29.0,6.0,34.0
4621,5.0,2.0,1.0,0.0,9.0,7.0,24.0,13.0,39.0,41.0,3.0,16.0,28.0,6.0,10.0,216.0,12.0,23.0,11.0,44.0,71.0,65.0,171.0,38.0,67.0,27.0,14.0,33.0,8.0,15.0
4670,17.0,30.0,3.0,0.0,26.0,44.0,2.0,1.0,25.0,9.0,19.0,31.0,5.0,23.0,51.0,34.0,12.0,6.0,188.0,330.0,21.0,49.0,8.0,4.0,38.0,118.0,10.0,11.0,69.0,7.0
4719,0.0,13.0,10.0,2.0,16.0,68.0,44.0,31.0,23.0,80.0,3.0,1.0,14.0,24.0,9.0,216.0,4.0,22.0,38.0,73.0,21.0,30.0,42.0,17.0,15.0,34.0,47.0,41.0,20.0,25.0
4768,41.0,23.0,13.0,0.0,17.0,22.0,99.0,12.0,5.0,10.0,45.0,3.0,15.0,27.0,29.0,18.0,2.0,8.0,16.0,49.0,52.0,30.0,33.0,9.0,58.0,37.0,28.0,11.0,25.0,55.0
4817,1.0,4.0,7.0,0.0,58.0,38.0,11.0,16.0,48.0,9.0,2.0,5.0,32.0,19.0,27.0,65.0,8.0,14.0,221.0,33.0,20.0,25.0,53.0,6.0,17.0,26.0,18.0,3.0,22.0,44.0
4866,16.0,1.0,9.0,0.0,41.0,22.0,26.0,95.0,112.0,128.0,7.0,13.0,6.0,3.0,39.0,15.0,2.0,20.0,32.0,262.0,25.0,31.0,18.0,12.0,190.0,79.0,5.0,19.0,63.0,48.0
