,KRAS.G12_13_MUT,ETS1_DEL,TRIM49_DEL,BIRC2_AMP,SCN3B_DEL,TMEM123_AMP,CCBE1_DEL,DCUN1D5_AMP,OR2T35_AMP,ADAMTSL1_DEL,BIRC3_AMP,NRG1_DEL,DYNC2H1_AMP,CHN2_DEL,KCNJ5_DEL,LOC283174_DEL,SNORA37_DEL,GDF5_AMP,CNTN5_DEL,NETO1_DEL,RAX_DEL,NOMO3_AMP,MCEE_AMP,YAP1_AMP,JAK2_DEL,FAM154A_DEL,LGALS9C_DEL,GUSBP2_DEL,CDC73_AMP,EYA1_DEL
1694,0.0,1371.0,10.0,35.0,12403.0,174.0,23.0,12.0,34.0,4.0,76.0,3224.0,1.0,20060.0,4435.0,6230.0,14.0,3.0,10076.0,2037.0,3027.0,401.0,20.0,17990.0,123.0,4734.0,2564.0,73.0,22808.0,786.0
1743,29.0,59.0,0.0,53.0,1823.0,18332.0,28.0,1.0,90.0,136.0,5.0,66.0,315.0,598.0,93.0,223.0,34.0,35.0,200.0,41.0,2863.0,276.0,167.0,671.0,4465.0,4997.0,1349.0,1778.0,23026.0,1414.0
1792,522.0,120.0,12229.0,69.0,353.0,40.0,8.0,36.0,15401.0,11.0,23.0,280.0,66.0,10.0,4092.0,512.0,1.0,172.0,10349.0,17.0,729.0,14456.0,499.0,17968.0,817.0,161.0,2159.0,1076.0,85.0,4847.0
1841,24134.0,0.0,12270.0,2.0,17.0,18446.0,119.0,403.0,423.0,8753.0,128.0,70.0,288.0,32.0,100.0,6195.0,8227.0,133.0,10331.0,21.0,3147.0,115.0,33.0,305.0,4215.0,4641.0,163.0,3310.0,65.0,2600.0
1890,1038.0,1.0,2476.0,0.0,260.0,20.0,114.0,6.0,44.0,11390.0,15157.0,27.0,13.0,9.0,4424.0,368.0,371.0,23418.0,2363.0,106.0,179.0,294.0,2264.0,18090.0,568.0,4966.0,49.0,939.0,323.0,115.0
1939,236.0,5099.0,165.0,27.0,1.0,356.0,5276.0,5.0,2563.0,0.0,15169.0,2716.0,115.0,54.0,4384.0,214.0,46.0,783.0,1130.0,216.0,2760.0,14521.0,1395.0,18074.0,1587.0,5583.0,151.0,4184.0,22764.0,2532.0
1988,43.0,45.0,21.0,13336.0,1658.0,18354.0,47.0,23092.0,17.0,1491.0,13333.0,2846.0,57.0,1600.0,469.0,121.0,1.0,23292.0,2742.0,130.0,231.0,682.0,23235.0,7.0,473.0,20.0,36.0,3890.0,171.0,9.0
2037,9.0,52.0,0.0,784.0,29.0,6.0,85.0,23096.0,550.0,22.0,535.0,379.0,23018.0,572.0,1668.0,178.0,8194.0,23.0,432.0,17.0,4.0,14574.0,5.0,168.0,2742.0,296.0,15.0,1870.0,137.0,67.0
2086,373.0,411.0,76.0,138.0,488.0,137.0,462.0,407.0,85.0,8979.0,2.0,3457.0,574.0,639.0,43.0,6746.0,5.0,1424.0,123.0,7873.0,3385.0,805.0,909.0,433.0,55.0,916.0,265.0,1201.0,9.0,723.0
2135,0.0,781.0,2.0,10.0,250.0,1865.0,283.0,23944.0,13757.0,18.0,13972.0,3706.0,429.0,71.0,4613.0,6923.0,92.0,24123.0,422.0,8309.0,387.0,657.0,103.0,16904.0,360.0,1.0,112.0,242.0,252.0,9.0
