,PRAS40_pT246,GATA3,PDCD4,GSK3-alpha-beta,SETD2,IRS1,SCD1,Notch1,4E-BP1_pT70,c-Kit,p21,AR,ADAR1,Src_pY416,4E-BP1_pS65,Akt_pS473,B-Raf_pS445,INPP4B,XBP1,Bap1 c-4,4E-BP1_pT37_T46,PDK1,Bax,PEA15,PEA15_pS116,PDK1_pS241,P-Cadherin,p70S6K_pT389,Paxillin,PAI-1
1084,3.0,147.0,16.0,131.0,91.0,139.0,90.0,34.0,114.0,9.0,47.0,124.0,35.0,7.0,4.0,120.0,24.0,12.0,62.0,112.0,5.0,18.0,111.0,46.0,45.0,48.0,51.0,56.0,52.0,53.0
1133,6.0,29.0,23.0,147.0,24.0,2.0,25.0,37.0,114.0,100.0,4.0,3.0,5.0,74.0,9.0,0.0,26.0,136.0,35.0,1.0,8.0,16.0,112.0,41.0,43.0,42.0,54.0,14.0,27.0,57.0
1182,0.0,18.0,5.0,147.0,68.0,21.0,10.0,25.0,38.0,2.0,4.0,34.0,120.0,1.0,115.0,37.0,31.0,20.0,58.0,111.0,3.0,44.0,110.0,92.0,64.0,48.0,24.0,62.0,43.0,45.0
1231,28.0,148.0,5.0,21.0,22.0,1.0,92.0,17.0,125.0,15.0,32.0,128.0,119.0,75.0,126.0,7.0,0.0,140.0,3.0,109.0,4.0,59.0,108.0,45.0,42.0,9.0,58.0,51.0,47.0,48.0
1280,0.0,13.0,45.0,9.0,91.0,42.0,90.0,4.0,32.0,10.0,35.0,115.0,121.0,41.0,31.0,119.0,128.0,143.0,30.0,111.0,1.0,7.0,110.0,16.0,59.0,8.0,34.0,55.0,40.0,44.0
1329,6.0,144.0,1.0,130.0,2.0,26.0,18.0,50.0,111.0,100.0,14.0,123.0,117.0,12.0,0.0,27.0,3.0,138.0,34.0,107.0,5.0,37.0,98.0,36.0,44.0,7.0,49.0,41.0,16.0,35.0
1378,0.0,18.0,65.0,19.0,1.0,139.0,17.0,24.0,36.0,104.0,23.0,32.0,39.0,79.0,3.0,121.0,30.0,22.0,59.0,40.0,4.0,15.0,101.0,88.0,87.0,89.0,55.0,48.0,91.0,52.0
1427,2.0,19.0,15.0,146.0,13.0,35.0,14.0,37.0,116.0,103.0,47.0,126.0,128.0,76.0,34.0,29.0,38.0,36.0,63.0,27.0,3.0,5.0,111.0,43.0,41.0,44.0,45.0,12.0,49.0,50.0
1476,2.0,14.0,9.0,8.0,12.0,25.0,13.0,0.0,5.0,102.0,54.0,36.0,1.0,59.0,27.0,34.0,38.0,136.0,28.0,126.0,4.0,49.0,23.0,55.0,42.0,56.0,29.0,10.0,47.0,11.0
1525,78.0,6.0,16.0,5.0,20.0,4.0,90.0,32.0,115.0,105.0,46.0,3.0,27.0,33.0,114.0,122.0,2.0,136.0,1.0,95.0,11.0,43.0,24.0,41.0,38.0,55.0,44.0,54.0,48.0,50.0
1574,6.0,0.0,21.0,160.0,70.0,142.0,12.0,24.0,3.0,105.0,60.0,36.0,28.0,1.0,115.0,121.0,39.0,22.0,30.0,127.0,2.0,47.0,40.0,45.0,44.0,46.0,62.0,54.0,49.0,50.0
1623,0.0,11.0,63.0,12.0,94.0,30.0,27.0,134.0,39.0,127.0,163.0,41.0,44.0,3.0,34.0,33.0,161.0,15.0,29.0,107.0,37.0,64.0,36.0,66.0,52.0,65.0,18.0,58.0,62.0,61.0
1672,12.0,24.0,0.0,16.0,13.0,27.0,91.0,39.0,114.0,101.0,47.0,1.0,29.0,4.0,5.0,127.0,112.0,138.0,3.0,2.0,7.0,20.0,28.0,42.0,43.0,21.0,41.0,51.0,57.0,45.0
1721,20.0,8.0,7.0,24.0,22.0,2.0,73.0,1.0,35.0,103.0,58.0,31.0,9.0,30.0,115.0,121.0,11.0,25.0,3.0,113.0,4.0,47.0,5.0,44.0,45.0,41.0,60.0,51.0,38.0,42.0
1770,0.0,10.0,1.0,145.0,4.0,135.0,13.0,40.0,3.0,108.0,44.0,6.0,37.0,25.0,114.0,126.0,111.0,9.0,29.0,27.0,2.0,7.0,36.0,20.0,38.0,41.0,42.0,52.0,43.0,47.0
1819,0.0,13.0,5.0,1.0,23.0,27.0,91.0,19.0,38.0,28.0,41.0,3.0,30.0,7.0,37.0,2.0,34.0,6.0,71.0,33.0,36.0,58.0,107.0,55.0,54.0,56.0,131.0,65.0,60.0,61.0
1868,0.0,15.0,6.0,8.0,13.0,2.0,14.0,3.0,32.0,101.0,46.0,5.0,33.0,29.0,34.0,127.0,35.0,36.0,31.0,28.0,1.0,41.0,111.0,42.0,45.0,39.0,43.0,55.0,57.0,50.0
1917,6.0,16.0,1.0,158.0,90.0,8.0,91.0,18.0,3.0,124.0,96.0,0.0,31.0,82.0,74.0,51.0,32.0,15.0,27.0,108.0,5.0,50.0,110.0,63.0,47.0,20.0,147.0,17.0,52.0,53.0
1966,5.0,147.0,3.0,131.0,8.0,35.0,6.0,28.0,4.0,101.0,34.0,126.0,31.0,11.0,26.0,127.0,38.0,36.0,72.0,9.0,115.0,13.0,2.0,41.0,39.0,40.0,53.0,46.0,42.0,56.0
2015,5.0,27.0,15.0,17.0,0.0,3.0,72.0,26.0,42.0,103.0,25.0,38.0,36.0,31.0,37.0,33.0,2.0,21.0,59.0,30.0,39.0,14.0,35.0,64.0,79.0,52.0,61.0,51.0,48.0,20.0
2064,2.0,18.0,48.0,137.0,28.0,1.0,72.0,60.0,37.0,109.0,0.0,33.0,127.0,43.0,39.0,122.0,112.0,23.0,40.0,34.0,115.0,27.0,36.0,15.0,65.0,78.0,59.0,50.0,16.0,46.0
2113,17.0,9.0,20.0,24.0,15.0,135.0,14.0,8.0,37.0,11.0,55.0,30.0,4.0,1.0,114.0,0.0,110.0,25.0,35.0,34.0,115.0,49.0,32.0,19.0,64.0,62.0,26.0,42.0,46.0,40.0
2162,5.0,148.0,2.0,3.0,18.0,1.0,4.0,24.0,117.0,16.0,27.0,38.0,32.0,75.0,0.0,34.0,113.0,21.0,25.0,14.0,116.0,41.0,7.0,20.0,44.0,43.0,57.0,50.0,58.0,47.0
2211,21.0,6.0,0.0,22.0,12.0,2.0,13.0,32.0,39.0,109.0,30.0,123.0,26.0,23.0,3.0,29.0,5.0,38.0,60.0,112.0,36.0,43.0,119.0,41.0,44.0,42.0,47.0,51.0,56.0,57.0
2260,2.0,5.0,16.0,132.0,6.0,8.0,86.0,7.0,9.0,101.0,47.0,122.0,29.0,55.0,24.0,34.0,109.0,4.0,67.0,107.0,112.0,36.0,98.0,12.0,45.0,37.0,31.0,17.0,38.0,39.0
2309,0.0,136.0,44.0,130.0,2.0,6.0,23.0,3.0,8.0,11.0,29.0,124.0,117.0,57.0,30.0,31.0,25.0,5.0,69.0,26.0,36.0,17.0,118.0,41.0,39.0,42.0,47.0,15.0,45.0,46.0
2358,15.0,17.0,6.0,5.0,68.0,24.0,69.0,0.0,114.0,1.0,26.0,123.0,37.0,67.0,3.0,34.0,111.0,23.0,54.0,110.0,38.0,44.0,33.0,2.0,76.0,27.0,56.0,20.0,42.0,41.0
2407,0.0,19.0,10.0,3.0,13.0,1.0,14.0,7.0,9.0,18.0,29.0,4.0,6.0,64.0,37.0,121.0,35.0,27.0,70.0,36.0,115.0,43.0,101.0,16.0,38.0,41.0,54.0,26.0,45.0,47.0
2456,4.0,15.0,16.0,144.0,10.0,1.0,12.0,32.0,0.0,11.0,35.0,39.0,28.0,6.0,115.0,31.0,40.0,138.0,33.0,113.0,29.0,48.0,112.0,44.0,41.0,46.0,30.0,21.0,49.0,50.0
2505,24.0,18.0,17.0,16.0,13.0,41.0,80.0,3.0,0.0,10.0,51.0,1.0,36.0,30.0,34.0,127.0,112.0,135.0,35.0,40.0,115.0,20.0,4.0,44.0,43.0,21.0,31.0,57.0,49.0,50.0
2554,50.0,13.0,1.0,160.0,91.0,6.0,25.0,31.0,40.0,32.0,163.0,7.0,83.0,84.0,2.0,34.0,36.0,10.0,30.0,158.0,74.0,20.0,39.0,52.0,53.0,54.0,18.0,61.0,57.0,58.0
2603,11.0,0.0,5.0,137.0,88.0,28.0,13.0,35.0,26.0,14.0,50.0,29.0,127.0,71.0,1.0,37.0,27.0,25.0,32.0,111.0,33.0,47.0,23.0,40.0,44.0,22.0,6.0,18.0,46.0,49.0
2652,87.0,6.0,5.0,17.0,11.0,31.0,75.0,3.0,114.0,12.0,53.0,32.0,126.0,26.0,30.0,24.0,36.0,144.0,0.0,100.0,1.0,2.0,22.0,40.0,39.0,19.0,48.0,15.0,42.0,44.0
2701,24.0,18.0,6.0,16.0,14.0,0.0,90.0,8.0,4.0,9.0,40.0,32.0,119.0,1.0,126.0,37.0,5.0,31.0,74.0,111.0,125.0,12.0,29.0,52.0,59.0,56.0,44.0,53.0,47.0,57.0
2750,2.0,16.0,3.0,8.0,93.0,1.0,28.0,137.0,36.0,33.0,18.0,39.0,4.0,85.0,0.0,42.0,37.0,5.0,71.0,160.0,82.0,62.0,41.0,24.0,58.0,60.0,136.0,61.0,64.0,65.0
2799,34.0,20.0,2.0,4.0,91.0,0.0,15.0,95.0,28.0,21.0,31.0,41.0,33.0,3.0,1.0,6.0,114.0,8.0,26.0,14.0,125.0,17.0,7.0,43.0,44.0,47.0,58.0,52.0,59.0,49.0
2848,21.0,0.0,6.0,131.0,77.0,5.0,11.0,32.0,115.0,109.0,36.0,40.0,127.0,38.0,1.0,7.0,112.0,138.0,28.0,111.0,2.0,17.0,27.0,44.0,42.0,19.0,58.0,55.0,57.0,50.0
2897,34.0,147.0,0.0,137.0,81.0,5.0,20.0,27.0,33.0,18.0,36.0,124.0,31.0,8.0,7.0,120.0,38.0,138.0,25.0,2.0,115.0,1.0,24.0,41.0,40.0,13.0,55.0,48.0,58.0,45.0
2946,17.0,11.0,18.0,2.0,78.0,4.0,7.0,57.0,113.0,101.0,35.0,124.0,118.0,38.0,40.0,31.0,109.0,32.0,41.0,99.0,39.0,22.0,29.0,58.0,74.0,55.0,48.0,51.0,44.0,46.0
2995,7.0,147.0,52.0,19.0,4.0,23.0,71.0,58.0,114.0,6.0,3.0,125.0,120.0,34.0,113.0,31.0,119.0,5.0,51.0,33.0,37.0,62.0,101.0,64.0,90.0,77.0,24.0,61.0,45.0,44.0
3044,10.0,137.0,27.0,17.0,16.0,135.0,72.0,61.0,5.0,102.0,24.0,33.0,127.0,71.0,114.0,36.0,30.0,23.0,59.0,34.0,40.0,14.0,4.0,65.0,64.0,78.0,26.0,47.0,44.0,42.0
3093,18.0,147.0,16.0,10.0,3.0,136.0,4.0,32.0,115.0,105.0,48.0,119.0,121.0,77.0,38.0,29.0,43.0,37.0,39.0,45.0,35.0,19.0,46.0,25.0,60.0,20.0,50.0,2.0,52.0,53.0
3142,1.0,20.0,44.0,18.0,14.0,10.0,16.0,81.0,30.0,13.0,59.0,125.0,28.0,3.0,9.0,2.0,32.0,0.0,50.0,36.0,116.0,43.0,112.0,41.0,40.0,42.0,61.0,51.0,46.0,62.0
3191,0.0,25.0,11.0,13.0,79.0,40.0,1.0,3.0,37.0,101.0,44.0,124.0,30.0,28.0,39.0,29.0,36.0,134.0,63.0,111.0,4.0,53.0,110.0,49.0,58.0,48.0,41.0,51.0,10.0,54.0
3240,13.0,0.0,42.0,136.0,4.0,21.0,69.0,23.0,36.0,102.0,22.0,7.0,126.0,67.0,3.0,121.0,118.0,135.0,37.0,1.0,114.0,9.0,100.0,60.0,90.0,45.0,55.0,59.0,39.0,40.0
3289,17.0,20.0,40.0,7.0,5.0,24.0,6.0,61.0,0.0,103.0,3.0,8.0,37.0,26.0,115.0,122.0,32.0,4.0,58.0,36.0,116.0,41.0,9.0,19.0,63.0,46.0,2.0,62.0,42.0,43.0
3338,21.0,6.0,53.0,24.0,12.0,141.0,14.0,17.0,30.0,13.0,31.0,3.0,122.0,67.0,115.0,35.0,1.0,38.0,74.0,7.0,116.0,5.0,27.0,16.0,57.0,51.0,43.0,45.0,58.0,54.0
3387,21.0,17.0,16.0,23.0,12.0,136.0,79.0,31.0,4.0,11.0,33.0,37.0,127.0,8.0,2.0,36.0,38.0,135.0,29.0,0.0,114.0,50.0,34.0,46.0,44.0,47.0,51.0,53.0,54.0,56.0
3436,14.0,18.0,20.0,5.0,74.0,22.0,7.0,26.0,4.0,105.0,25.0,6.0,36.0,1.0,35.0,30.0,116.0,21.0,34.0,2.0,125.0,42.0,114.0,44.0,45.0,47.0,61.0,54.0,48.0,63.0
3485,2.0,155.0,14.0,11.0,9.0,33.0,10.0,45.0,32.0,103.0,27.0,34.0,26.0,15.0,0.0,29.0,38.0,135.0,62.0,3.0,115.0,47.0,119.0,41.0,44.0,57.0,4.0,56.0,58.0,51.0
3534,28.0,19.0,20.0,5.0,73.0,23.0,74.0,27.0,116.0,105.0,25.0,35.0,121.0,0.0,2.0,32.0,38.0,141.0,48.0,113.0,40.0,49.0,112.0,44.0,64.0,46.0,26.0,22.0,51.0,52.0
3583,2.0,18.0,20.0,1.0,14.0,4.0,88.0,26.0,9.0,102.0,5.0,125.0,6.0,59.0,37.0,29.0,35.0,136.0,71.0,3.0,115.0,22.0,38.0,46.0,45.0,55.0,12.0,11.0,50.0,53.0
3632,16.0,21.0,23.0,22.0,9.0,1.0,72.0,46.0,31.0,103.0,58.0,29.0,30.0,0.0,35.0,121.0,37.0,133.0,32.0,39.0,114.0,49.0,41.0,47.0,45.0,48.0,25.0,55.0,50.0,51.0
3681,16.0,28.0,1.0,20.0,29.0,26.0,64.0,3.0,36.0,103.0,25.0,31.0,118.0,32.0,0.0,34.0,109.0,137.0,4.0,99.0,113.0,9.0,93.0,87.0,86.0,88.0,27.0,42.0,61.0,49.0
3730,9.0,147.0,8.0,146.0,18.0,14.0,19.0,12.0,11.0,96.0,10.0,3.0,6.0,86.0,112.0,117.0,34.0,136.0,55.0,1.0,13.0,42.0,29.0,47.0,61.0,43.0,54.0,15.0,40.0,44.0
3779,3.0,19.0,18.0,22.0,71.0,10.0,72.0,9.0,8.0,100.0,21.0,29.0,6.0,25.0,0.0,5.0,31.0,11.0,37.0,35.0,115.0,39.0,36.0,50.0,61.0,38.0,24.0,48.0,42.0,40.0
3828,21.0,3.0,20.0,12.0,89.0,8.0,90.0,16.0,0.0,130.0,32.0,36.0,42.0,5.0,98.0,37.0,152.0,153.0,31.0,4.0,73.0,58.0,38.0,56.0,55.0,57.0,136.0,65.0,60.0,19.0
3877,12.0,8.0,20.0,23.0,28.0,7.0,65.0,0.0,5.0,13.0,54.0,4.0,30.0,74.0,1.0,32.0,118.0,137.0,34.0,100.0,114.0,17.0,94.0,18.0,76.0,49.0,26.0,60.0,42.0,40.0
3926,0.0,2.0,15.0,155.0,88.0,1.0,87.0,28.0,7.0,102.0,6.0,124.0,33.0,66.0,29.0,34.0,38.0,39.0,72.0,26.0,30.0,20.0,111.0,52.0,57.0,53.0,55.0,10.0,14.0,13.0
3975,90.0,17.0,4.0,136.0,86.0,0.0,19.0,25.0,8.0,7.0,10.0,3.0,29.0,57.0,6.0,2.0,28.0,11.0,5.0,9.0,114.0,18.0,111.0,33.0,34.0,38.0,26.0,43.0,53.0,41.0
4024,23.0,4.0,21.0,159.0,92.0,3.0,27.0,5.0,2.0,0.0,30.0,1.0,33.0,6.0,84.0,58.0,149.0,150.0,7.0,37.0,8.0,52.0,35.0,22.0,65.0,51.0,100.0,20.0,54.0,55.0
4073,12.0,15.0,18.0,17.0,74.0,21.0,9.0,0.0,40.0,7.0,25.0,38.0,31.0,92.0,41.0,34.0,125.0,4.0,1.0,37.0,2.0,27.0,43.0,49.0,53.0,47.0,61.0,20.0,48.0,44.0
4122,21.0,11.0,1.0,145.0,79.0,30.0,10.0,5.0,3.0,8.0,29.0,32.0,34.0,14.0,114.0,126.0,38.0,137.0,36.0,28.0,0.0,13.0,23.0,41.0,43.0,17.0,42.0,51.0,46.0,48.0
4171,50.0,12.0,4.0,159.0,90.0,15.0,91.0,134.0,7.0,19.0,29.0,147.0,42.0,25.0,36.0,38.0,35.0,14.0,0.0,130.0,2.0,54.0,34.0,51.0,64.0,53.0,99.0,20.0,55.0,56.0
4220,22.0,16.0,19.0,10.0,94.0,0.0,24.0,9.0,3.0,32.0,4.0,2.0,36.0,86.0,78.0,63.0,37.0,12.0,30.0,35.0,5.0,20.0,41.0,61.0,60.0,62.0,135.0,18.0,65.0,43.0
4269,30.0,10.0,5.0,136.0,80.0,3.0,9.0,33.0,35.0,15.0,7.0,0.0,4.0,75.0,114.0,121.0,8.0,29.0,31.0,94.0,2.0,40.0,95.0,39.0,38.0,41.0,53.0,18.0,56.0,43.0
4318,25.0,4.0,23.0,161.0,82.0,1.0,83.0,0.0,3.0,5.0,30.0,33.0,27.0,76.0,35.0,39.0,115.0,7.0,32.0,26.0,2.0,49.0,128.0,14.0,48.0,51.0,46.0,28.0,52.0,53.0
4367,26.0,3.0,10.0,14.0,88.0,1.0,87.0,18.0,30.0,2.0,29.0,37.0,33.0,6.0,116.0,5.0,40.0,27.0,63.0,4.0,0.0,12.0,127.0,54.0,50.0,56.0,28.0,35.0,58.0,48.0
4416,9.0,6.0,38.0,133.0,20.0,35.0,79.0,7.0,0.0,16.0,50.0,3.0,32.0,10.0,114.0,33.0,111.0,36.0,61.0,110.0,5.0,40.0,100.0,39.0,41.0,34.0,52.0,46.0,43.0,42.0
4465,8.0,3.0,30.0,9.0,4.0,29.0,14.0,1.0,0.0,108.0,51.0,28.0,31.0,21.0,17.0,36.0,125.0,137.0,15.0,118.0,114.0,22.0,24.0,40.0,48.0,38.0,35.0,43.0,41.0,39.0
4514,16.0,19.0,30.0,21.0,66.0,26.0,18.0,61.0,40.0,14.0,56.0,2.0,121.0,36.0,115.0,3.0,110.0,138.0,59.0,1.0,4.0,92.0,108.0,91.0,90.0,65.0,29.0,23.0,48.0,47.0
4563,77.0,2.0,12.0,22.0,15.0,9.0,18.0,33.0,0.0,3.0,36.0,124.0,117.0,17.0,112.0,10.0,25.0,144.0,28.0,23.0,113.0,35.0,109.0,40.0,39.0,38.0,34.0,16.0,41.0,54.0
4612,2.0,8.0,57.0,6.0,18.0,23.0,89.0,27.0,3.0,14.0,33.0,40.0,118.0,7.0,26.0,35.0,42.0,138.0,62.0,15.0,113.0,34.0,111.0,43.0,44.0,46.0,29.0,13.0,48.0,19.0
4661,0.0,8.0,43.0,131.0,88.0,3.0,21.0,7.0,1.0,2.0,53.0,37.0,25.0,6.0,114.0,27.0,24.0,144.0,60.0,111.0,115.0,19.0,118.0,41.0,52.0,39.0,30.0,46.0,38.0,55.0
4710,23.0,7.0,19.0,13.0,17.0,145.0,25.0,0.0,3.0,15.0,34.0,5.0,39.0,64.0,2.0,8.0,126.0,31.0,70.0,33.0,115.0,20.0,119.0,44.0,42.0,21.0,45.0,14.0,54.0,47.0
4759,23.0,15.0,4.0,6.0,2.0,138.0,11.0,36.0,3.0,10.0,30.0,33.0,34.0,39.0,0.0,122.0,40.0,136.0,64.0,111.0,115.0,42.0,101.0,47.0,57.0,44.0,59.0,55.0,43.0,46.0
4808,14.0,3.0,18.0,2.0,8.0,23.0,9.0,62.0,115.0,17.0,59.0,0.0,35.0,72.0,32.0,4.0,33.0,138.0,40.0,37.0,41.0,49.0,113.0,79.0,65.0,16.0,61.0,44.0,46.0,50.0
4857,0.0,3.0,52.0,20.0,1.0,24.0,18.0,26.0,5.0,2.0,57.0,4.0,126.0,38.0,40.0,121.0,7.0,137.0,39.0,94.0,114.0,63.0,95.0,89.0,88.0,16.0,25.0,48.0,42.0,31.0
