,HLA-H_DEL,FAM21A_DEL,MIR548AI_DEL,ADAM3A_DEL,ADAM5_DEL,LOC390660_AMP,GOLGA6L10_AMP,DMRTA1_DEL,RHD_DEL,MRGPRX1_DEL,UBE2Q2P3_AMP,GOLGA6L9_AMP,RPS17_AMP,GOLGA8DP_DEL,RPS17L_AMP,CDKN2B_DEL,UBE2Q2P2_AMP,PCCB_DEL,SORD_AMP,TPTE_DEL,RBFOX1_DEL,HCG4B_DEL,LCE3C_DEL,BRAF_MUT,BRAF.V600E_MUT,HLA-DRB6_AMP,CES1P1_DEL,GSTTP1_AMP,CDKN2B-AS1_DEL,ACOT1_AMP
1060,4.0,3.0,2.0,0.0,1.0,20.0,21.0,32.0,12.0,9.0,155.0,157.0,154.0,41.0,158.0,19.0,156.0,11.0,22.0,46.0,66.0,45.0,5.0,14.0,26.0,388.0,6.0,151.0,38.0,87.0
1109,2.0,3.0,4.0,0.0,1.0,13.0,14.0,26.0,5.0,9.0,131.0,130.0,127.0,20.0,129.0,11.0,128.0,28.0,7.0,24.0,15.0,18.0,21.0,6.0,8.0,30.0,22.0,84.0,10.0,54.0
1158,4.0,0.0,11.0,3.0,5.0,14.0,13.0,18.0,17.0,2.0,39.0,40.0,41.0,15.0,38.0,6.0,37.0,8.0,50.0,29.0,34.0,244.0,7.0,33.0,86.0,258.0,16.0,28.0,19.0,21.0
1207,0.0,1.0,2.0,3.0,6.0,19.0,18.0,16.0,8.0,4.0,118.0,120.0,119.0,14.0,116.0,25.0,117.0,9.0,13.0,101.0,20.0,43.0,15.0,10.0,36.0,24.0,7.0,37.0,73.0,42.0
1256,3.0,2.0,4.0,0.0,1.0,8.0,9.0,10.0,5.0,11.0,21.0,25.0,22.0,19.0,24.0,6.0,23.0,13.0,594.0,79.0,352.0,35.0,16.0,31.0,38.0,18.0,74.0,34.0,15.0,39.0
1305,15.0,2.0,4.0,1.0,0.0,10.0,11.0,9.0,23.0,14.0,111.0,107.0,108.0,50.0,109.0,3.0,110.0,12.0,91.0,5.0,40.0,22.0,29.0,32.0,61.0,18.0,7.0,42.0,6.0,33.0
1354,5.0,6.0,3.0,0.0,1.0,14.0,15.0,22.0,7.0,13.0,128.0,126.0,130.0,8.0,129.0,4.0,127.0,20.0,16.0,196.0,12.0,45.0,30.0,2.0,9.0,97.0,32.0,241.0,28.0,25.0
1403,0.0,5.0,4.0,1.0,2.0,12.0,13.0,9.0,11.0,10.0,384.0,388.0,386.0,22.0,387.0,18.0,385.0,26.0,8.0,52.0,81.0,29.0,7.0,117.0,51.0,314.0,41.0,460.0,38.0,17.0
1452,1.0,6.0,0.0,2.0,3.0,13.0,14.0,95.0,10.0,4.0,18.0,21.0,19.0,11.0,20.0,22.0,17.0,16.0,78.0,50.0,57.0,12.0,7.0,15.0,27.0,34.0,99.0,81.0,30.0,9.0
1501,1.0,0.0,19.0,20.0,21.0,7.0,8.0,5.0,12.0,2.0,31.0,29.0,30.0,18.0,28.0,9.0,27.0,44.0,39.0,3.0,14.0,54.0,270.0,22.0,42.0,4.0,35.0,13.0,16.0,17.0
1550,0.0,1.0,11.0,3.0,6.0,13.0,14.0,15.0,10.0,2.0,99.0,101.0,100.0,16.0,102.0,19.0,98.0,43.0,2220.0,4.0,5.0,44.0,26.0,29.0,42.0,12.0,9.0,36.0,45.0,18.0
1599,0.0,1.0,3.0,2.0,6.0,27.0,26.0,11.0,16.0,4.0,80.0,81.0,79.0,39.0,82.0,22.0,83.0,60.0,105.0,5.0,28.0,13.0,14.0,7.0,29.0,12.0,25.0,15.0,43.0,9.0
1648,1.0,0.0,9.0,15.0,16.0,76.0,75.0,10.0,23.0,3.0,35.0,36.0,37.0,18.0,38.0,7.0,39.0,22.0,51.0,6.0,8.0,48.0,156.0,11.0,33.0,2.0,129.0,85.0,17.0,40.0
1697,0.0,2.0,7.0,27.0,29.0,13.0,12.0,5.0,10.0,1.0,43.0,45.0,42.0,18.0,44.0,14.0,41.0,25.0,22.0,4.0,30.0,49.0,9.0,20.0,47.0,3.0,16.0,17.0,26.0,37.0
1746,2.0,0.0,3.0,5.0,6.0,29.0,28.0,10.0,13.0,7.0,20.0,18.0,21.0,17.0,22.0,1.0,19.0,46.0,11.0,16.0,36.0,12.0,114.0,24.0,43.0,14.0,31.0,47.0,4.0,35.0
1795,0.0,4.0,3.0,6.0,8.0,14.0,13.0,15.0,60.0,12.0,32.0,31.0,30.0,17.0,34.0,5.0,33.0,42.0,528.0,2.0,103.0,9.0,84.0,41.0,35.0,1.0,38.0,40.0,10.0,18.0
1844,1.0,2.0,3.0,11.0,13.0,6.0,7.0,12.0,67.0,0.0,49.0,46.0,47.0,18.0,48.0,36.0,50.0,37.0,127.0,4.0,17.0,10.0,70.0,31.0,21.0,8.0,5.0,38.0,184.0,32.0
1893,0.0,2.0,7.0,21.0,17.0,40.0,41.0,1.0,6.0,8.0,59.0,60.0,57.0,4.0,56.0,14.0,58.0,61.0,83.0,13.0,11.0,23.0,183.0,12.0,38.0,3.0,15.0,77.0,25.0,10.0
1942,0.0,1.0,2.0,164.0,174.0,15.0,14.0,19.0,23.0,5.0,39.0,41.0,42.0,6.0,40.0,20.0,38.0,28.0,348.0,4.0,7.0,16.0,43.0,3.0,9.0,8.0,17.0,26.0,21.0,18.0
1991,1.0,0.0,5.0,2.0,3.0,9.0,8.0,17.0,13.0,41.0,18.0,19.0,20.0,55.0,22.0,7.0,21.0,80.0,85.0,6.0,16.0,24.0,194.0,10.0,12.0,64.0,4.0,59.0,23.0,26.0
2040,1.0,0.0,2.0,15.0,17.0,5.0,6.0,19.0,14.0,28.0,22.0,23.0,26.0,10.0,25.0,3.0,24.0,122.0,233.0,42.0,9.0,13.0,20973.0,32.0,91.0,339.0,20.0,138.0,11.0,4.0
2089,0.0,1.0,2.0,9.0,5.0,27.0,26.0,11.0,31.0,8.0,18.0,20.0,19.0,15.0,21.0,6.0,22.0,23.0,10.0,112.0,7.0,3.0,3524.0,17.0,24.0,107.0,4.0,38.0,13.0,14.0
2138,0.0,1.0,4.0,2.0,3.0,19.0,20.0,9.0,45.0,12.0,15.0,17.0,16.0,71.0,18.0,7.0,14.0,42.0,11.0,13.0,52.0,6.0,123.0,54.0,25.0,181.0,43.0,78.0,23.0,24.0
2187,0.0,1.0,3.0,15.0,32.0,6.0,5.0,14.0,8.0,35.0,27.0,28.0,24.0,31.0,26.0,2.0,25.0,20.0,7.0,10.0,30.0,12.0,1804.0,17.0,18.0,51.0,531.0,79.0,9.0,47.0
2236,0.0,1.0,2.0,8.0,13.0,9.0,10.0,25.0,41.0,17.0,22.0,19.0,20.0,24.0,21.0,3.0,23.0,107.0,67.0,15.0,7.0,4.0,2671.0,6.0,12.0,50.0,18.0,139.0,5.0,52.0
2285,3.0,0.0,1.0,7.0,9.0,28.0,27.0,2.0,97.0,11.0,19.0,17.0,16.0,26.0,18.0,6.0,15.0,52.0,13.0,49.0,21.0,5.0,47.0,56.0,130.0,14.0,67.0,45.0,25.0,8.0
2334,1.0,0.0,2.0,25.0,28.0,15.0,16.0,46.0,17.0,4.0,35.0,38.0,34.0,82.0,37.0,10.0,36.0,32.0,21.0,18.0,3.0,6.0,3236.0,11.0,19.0,93.0,67.0,64.0,13.0,30.0
2383,1.0,0.0,2.0,3.0,5.0,16.0,17.0,13.0,80.0,69.0,10.0,8.0,12.0,21.0,9.0,7.0,11.0,58.0,20.0,14.0,93.0,4.0,43.0,28.0,19.0,118.0,15.0,55.0,18.0,6.0
2432,0.0,2.0,1.0,15.0,19.0,10.0,11.0,17.0,28.0,34.0,4.0,3.0,5.0,20.0,7.0,12.0,6.0,151.0,23.0,41.0,13.0,9.0,4464.0,8.0,16.0,38.0,22.0,37.0,14.0,27.0
2481,0.0,2.0,10.0,131.0,236.0,3.0,4.0,11.0,25.0,52.0,18.0,19.0,17.0,22.0,15.0,41.0,16.0,13.0,1.0,8.0,29.0,27.0,5.0,9.0,14.0,91.0,23.0,35.0,223.0,228.0
2530,0.0,1.0,43.0,2.0,8.0,6.0,5.0,11.0,31.0,12.0,14.0,15.0,17.0,50.0,13.0,39.0,16.0,4.0,9.0,20.0,25.0,174.0,3.0,22.0,37.0,7.0,62.0,27.0,83.0,2653.0
2579,0.0,1.0,2.0,90.0,170.0,4.0,3.0,6.0,441.0,89.0,24.0,22.0,23.0,17.0,25.0,40.0,21.0,14.0,11.0,7.0,19.0,8.0,5.0,15.0,27.0,164.0,110.0,47.0,87.0,601.0
2628,0.0,3.0,2.0,6.0,5.0,21.0,20.0,24.0,34.0,8.0,13.0,11.0,15.0,40.0,12.0,25.0,14.0,10.0,1.0,23.0,17.0,18.0,103.0,16.0,9.0,38.0,63.0,195.0,27.0,168.0
2677,0.0,1.0,2.0,9.0,17.0,8.0,7.0,19.0,13.0,18.0,33.0,30.0,29.0,24.0,31.0,91.0,32.0,22.0,4.0,20.0,15.0,6.0,3.0,10.0,12.0,26.0,40.0,25.0,163.0,63.0
2726,0.0,1.0,10.0,8.0,15.0,4.0,3.0,24.0,29.0,255.0,18.0,22.0,19.0,17.0,20.0,37.0,21.0,38.0,27.0,12.0,30.0,79.0,5.0,2.0,9.0,39.0,53.0,57.0,118.0,83.0
2775,4.0,0.0,115.0,21.0,31.0,1.0,2.0,5.0,43.0,30.0,8.0,9.0,10.0,15.0,6.0,11.0,7.0,46.0,3.0,14.0,32.0,141.0,12.0,75.0,82.0,28.0,41.0,17.0,23.0,364.0
2824,0.0,2.0,1.0,34.0,46.0,8.0,7.0,15.0,56.0,25.0,18.0,21.0,19.0,57.0,17.0,9.0,20.0,12.0,5.0,10.0,22.0,6.0,14.0,38.0,27.0,255.0,4.0,48.0,26.0,662.0
2873,0.0,1.0,10.0,24.0,35.0,3.0,4.0,18.0,30.0,46.0,8.0,7.0,9.0,13.0,5.0,49.0,6.0,17.0,16.0,22.0,20.0,23.0,12.0,25.0,27.0,74.0,44.0,38.0,146.0,80.0
2922,1.0,0.0,48.0,21.0,34.0,7.0,6.0,15.0,8.0,57.0,29.0,33.0,31.0,74.0,30.0,60.0,32.0,35.0,9.0,10.0,3.0,96.0,2.0,5.0,18.0,28.0,11.0,13.0,104.0,97.0
2971,3.0,2.0,9.0,0.0,1.0,10.0,11.0,7.0,8.0,5.0,35.0,31.0,32.0,13.0,34.0,4.0,33.0,21.0,36.0,19.0,14.0,39.0,136.0,30.0,27.0,220.0,57.0,12.0,6.0,158.0
3020,0.0,1.0,10.0,3.0,4.0,38.0,37.0,2.0,11.0,6.0,26.0,27.0,24.0,55.0,23.0,5.0,25.0,20.0,12.0,16.0,48.0,35.0,22.0,9.0,8.0,221.0,7.0,18.0,13.0,44.0
3069,0.0,3.0,1.0,2.0,4.0,20.0,21.0,11.0,6.0,15.0,24.0,22.0,25.0,56.0,23.0,8.0,26.0,105.0,35.0,10.0,16.0,5.0,18.0,7.0,9.0,215.0,65.0,12.0,13.0,171.0
3118,0.0,4.0,1.0,2.0,3.0,14.0,15.0,7.0,5.0,34.0,38.0,37.0,36.0,43.0,35.0,8.0,39.0,18.0,6.0,33.0,10.0,9.0,20.0,16.0,19.0,1049.0,26.0,23.0,11.0,130.0
3167,0.0,1.0,28.0,2.0,4.0,11.0,12.0,6.0,5.0,15.0,22.0,19.0,20.0,52.0,21.0,3.0,23.0,16.0,8.0,10.0,30.0,54.0,14.0,18.0,26.0,84.0,13.0,9.0,7.0,79.0
3216,0.0,1.0,4.0,5.0,6.0,13.0,14.0,3.0,2.0,11.0,39.0,37.0,36.0,43.0,38.0,12.0,35.0,23.0,58.0,29.0,8.0,10.0,70.0,7.0,19.0,115.0,32.0,9.0,44.0,176.0
3265,0.0,1.0,11.0,3.0,4.0,18.0,17.0,2.0,5.0,13.0,23.0,24.0,26.0,43.0,25.0,8.0,27.0,21.0,20.0,34.0,35.0,29.0,9.0,6.0,10.0,250.0,16.0,7.0,15.0,135.0
3314,0.0,1.0,4.0,2.0,3.0,15.0,16.0,10.0,11.0,23.0,21.0,20.0,17.0,59.0,18.0,29.0,19.0,12.0,9.0,7.0,8.0,13.0,88.0,6.0,5.0,40.0,35.0,22.0,28.0,87.0
3363,0.0,1.0,4.0,5.0,8.0,52.0,51.0,12.0,2.0,6.0,47.0,44.0,43.0,38.0,45.0,7.0,46.0,19.0,26.0,36.0,9.0,16.0,25.0,11.0,13.0,119.0,3.0,18.0,15.0,35.0
3412,1.0,0.0,14.0,12.0,7.0,21.0,22.0,2.0,3.0,4.0,64.0,61.0,62.0,50.0,60.0,6.0,63.0,17.0,32.0,36.0,5.0,26.0,165.0,8.0,20.0,942.0,19.0,27.0,15.0,515.0
3461,0.0,2.0,4.0,12.0,17.0,8.0,9.0,18.0,6.0,11.0,33.0,30.0,32.0,26.0,31.0,264.0,29.0,66.0,3.0,102.0,5.0,36.0,22.0,1.0,16.0,27.0,193.0,23.0,502.0,34.0
3510,0.0,1.0,7.0,3.0,4.0,17.0,16.0,8.0,9.0,22.0,11.0,13.0,14.0,18.0,12.0,129.0,10.0,21.0,181.0,20.0,27.0,32.0,2.0,15.0,48.0,19.0,140.0,35.0,188.0,24.0
3559,0.0,4.0,6.0,2.0,3.0,9.0,10.0,7.0,11.0,5.0,39.0,36.0,40.0,12.0,38.0,213.0,37.0,8.0,15.0,16.0,19.0,25.0,20.0,1.0,17.0,22.0,26.0,29.0,377.0,119.0
3608,0.0,3.0,5.0,2.0,4.0,13.0,12.0,16.0,26.0,17.0,7.0,9.0,10.0,28.0,8.0,40.0,6.0,25.0,1.0,63.0,14.0,20.0,39.0,15.0,21.0,78.0,217.0,62.0,49.0,48.0
3657,0.0,1.0,4.0,6.0,7.0,13.0,14.0,11.0,3.0,32.0,19.0,17.0,15.0,34.0,16.0,19553.0,18.0,8.0,9.0,45.0,27.0,23.0,5.0,2.0,21.0,20.0,25.0,82.0,17064.0,12.0
3706,0.0,2.0,1.0,3.0,6.0,18.0,19.0,9.0,8.0,22.0,14.0,12.0,11.0,53.0,15.0,34.0,13.0,20.0,17.0,46.0,5.0,7.0,24.0,10.0,25.0,27.0,57.0,55.0,41.0,21.0
3755,0.0,1.0,3.0,4.0,5.0,10.0,9.0,14.0,11.0,6.0,25.0,27.0,28.0,29.0,24.0,101.0,26.0,34.0,12.0,21.0,7.0,8.0,33.0,2.0,13.0,17.0,20.0,74.0,275.0,38.0
3804,0.0,7.0,1.0,5.0,6.0,14.0,13.0,37.0,2.0,45.0,28.0,27.0,30.0,19.0,29.0,1083.0,31.0,26.0,10.0,12.0,25.0,4.0,51.0,3.0,9.0,38.0,52.0,12860.0,726.0,8.0
3853,0.0,9.0,6.0,3.0,4.0,2.0,1.0,24.0,5.0,11.0,22.0,23.0,20.0,10.0,19.0,110.0,21.0,12.0,29.0,66.0,48.0,26.0,34.0,8.0,28.0,33.0,25.0,65.0,126.0,7.0
3902,0.0,1.0,2.0,5.0,6.0,17.0,18.0,12.0,8.0,13.0,47.0,46.0,45.0,11.0,49.0,100.0,48.0,15.0,20.0,58.0,10.0,3.0,25.0,4.0,9.0,7.0,37.0,33.0,116.0,28.0
3951,0.0,18.0,36.0,14.0,16.0,2.0,1.0,9.0,21.0,10.0,5.0,8.0,4.0,37.0,7.0,13.0,6.0,17.0,3.0,54.0,20.0,87.0,695.0,339.0,81.0,86.0,482.0,12.0,19.0,48.0
4000,0.0,1.0,2.0,21.0,26.0,3.0,4.0,13.0,673.0,17.0,7.0,8.0,11.0,36.0,10.0,18.0,9.0,34.0,6.0,39.0,19.0,5.0,30.0,76.0,31.0,163.0,20.0,16.0,42.0,298.0
4049,7.0,14.0,72.0,12.0,15.0,0.0,1.0,8.0,216.0,31.0,4.0,2.0,5.0,43.0,3.0,10.0,6.0,23.0,19.0,37.0,11.0,65.0,225.0,49.0,32.0,16.0,22.0,33.0,13.0,215.0
4098,0.0,5.0,52.0,1.0,4.0,3.0,2.0,15.0,196.0,145.0,8.0,9.0,11.0,33.0,7.0,23.0,10.0,19.0,13.0,63.0,30.0,62.0,104.0,83.0,32.0,14.0,163.0,26.0,39.0,35.0
4147,0.0,15.0,36.0,4.0,5.0,3.0,2.0,25.0,12.0,18.0,8.0,10.0,7.0,91.0,6.0,24.0,9.0,14.0,86.0,37.0,642.0,189.0,28.0,76.0,23.0,340.0,11.0,20.0,53.0,31.0
4196,0.0,5.0,18.0,3.0,4.0,2.0,1.0,21.0,115.0,67.0,8.0,9.0,12.0,15.0,10.0,57.0,11.0,25.0,6.0,37.0,66.0,32.0,303.0,7.0,14.0,33.0,38.0,54.0,142.0,159.0
4245,0.0,4.0,33.0,6.0,16.0,3.0,2.0,19.0,46.0,22.0,11.0,9.0,10.0,35.0,8.0,58.0,12.0,14.0,1.0,5.0,163.0,37.0,157.0,31.0,18.0,119.0,34.0,42.0,155.0,100.0
4294,0.0,5.0,3.0,18.0,16.0,1.0,2.0,7.0,165.0,31.0,12.0,14.0,13.0,8.0,11.0,41.0,10.0,15.0,9.0,23.0,38.0,4.0,174.0,51.0,25.0,29.0,55.0,33.0,81.0,34.0
4343,0.0,5.0,11.0,1.0,4.0,3.0,2.0,19.0,52.0,201.0,6.0,9.0,8.0,74.0,10.0,13.0,7.0,16.0,12.0,53.0,65.0,18.0,1069.0,82.0,46.0,94.0,17.0,90.0,28.0,73.0
4392,0.0,2.0,12.0,8.0,9.0,3.0,4.0,10.0,24.0,47.0,23.0,21.0,22.0,17.0,19.0,53.0,20.0,44.0,1.0,50.0,48.0,15.0,27.0,62.0,59.0,26.0,58.0,25.0,79.0,92.0
4441,7.0,6.0,31.0,10.0,11.0,15.0,16.0,12.0,29.0,13.0,4.0,2.0,0.0,14.0,1.0,21.0,3.0,17.0,42.0,30.0,99.0,43.0,5.0,102.0,88.0,20.0,9966.0,25.0,27.0,41.0
4490,3.0,6.0,21.0,1.0,0.0,14.0,15.0,5.0,31.0,7.0,12.0,10.0,11.0,17.0,13.0,25.0,9.0,20.0,16.0,92.0,137.0,22.0,2.0,89.0,32.0,127.0,319.0,71.0,39.0,49.0
4539,0.0,3.0,49.0,2.0,4.0,5.0,6.0,15.0,16.0,28.0,11.0,12.0,10.0,9.0,14.0,20.0,13.0,23.0,71.0,19.0,64.0,177.0,1.0,18.0,34.0,160.0,214.0,89.0,36.0,76.0
4588,0.0,1.0,24.0,2.0,4.0,7.0,6.0,3.0,9.0,17.0,12.0,13.0,16.0,32.0,14.0,57.0,15.0,8.0,146.0,46.0,90.0,53.0,5.0,45.0,43.0,82.0,77.0,34.0,229.0,38.0
4637,0.0,2.0,1.0,3.0,4.0,15.0,14.0,5.0,40.0,33.0,9.0,11.0,10.0,12.0,8.0,22.0,7.0,28.0,113.0,878.0,149.0,6.0,13.0,31.0,20.0,102.0,114.0,84.0,80.0,48.0
4686,0.0,6.0,20.0,2.0,4.0,9.0,10.0,7.0,38.0,8.0,12.0,13.0,11.0,17.0,15.0,16.0,14.0,18.0,141.0,171.0,60.0,41.0,1.0,120.0,66.0,71.0,5.0,33.0,25.0,35.0
4735,0.0,5.0,19.0,1.0,2.0,3.0,4.0,6.0,37.0,7.0,8.0,10.0,11.0,24.0,12.0,18.0,9.0,82.0,16.0,34.0,90.0,28.0,13.0,38.0,33.0,25.0,81.0,36.0,62.0,202.0
4784,0.0,1.0,21.0,15.0,17.0,5.0,4.0,12.0,13.0,69.0,9.0,11.0,10.0,14.0,7.0,132.0,8.0,19.0,66.0,25.0,225.0,121.0,2.0,6.0,16.0,72.0,42.0,48.0,562.0,124.0
4833,0.0,1.0,12.0,4.0,5.0,14.0,13.0,2.0,63.0,22.0,10.0,7.0,8.0,15.0,11.0,6.0,9.0,84.0,99.0,19.0,96.0,29.0,3.0,333.0,110.0,23.0,47.0,26.0,25.0,36.0
4882,0.0,5.0,17.0,2.0,3.0,7.0,8.0,6.0,57.0,23.0,10.0,11.0,12.0,14.0,9.0,28.0,13.0,20.0,95.0,40.0,1053.0,25.0,1.0,48.0,151.0,18.0,60.0,36.0,89.0,29.0
