,hsa-miR-31,hsa-miR-1256,hsa-miR-449b,hsa-miR-223,hsa-miR-30c,hsa-miR-548d-3p,hsa-miR-574-5p,hsa-miR-205,hsa-miR-770-5p,kshv-miR-K12-11,hsa-miR-548b-5p,hsa-miR-1254,hsv1-miR-H2-3p,hsa-miR-27b,hsa-miR-155,hsa-miR-1910,hsa-miR-584,hsa-miR-1913,hsa-miR-579,hsa-miR-486-3p,hsa-miR-33b,hsa-miR-22,hsa-miR-891a,hsa-miR-451,hsa-miR-143,hsa-miR-604,hsa-miR-892a,hsa-miR-323-5p,ebv-miR-BART13,hsa-miR-599
2858,5.0,0.0,3.0,1.0,6.0,2.0,9.0,30.0,13.0,11.0,61.0,48.0,15.0,284.0,14.0,172.0,26.0,27.0,4.0,10.0,59.0,16.0,18.0,75.0,121.0,12.0,7.0,80.0,17.0,79.0
2907,0.0,2.0,8.0,11.0,30.0,3.0,1.0,46.0,18.0,17.0,36.0,72.0,15.0,306.0,20.0,91.0,9.0,5.0,10.0,12.0,6.0,38.0,32.0,25.0,26.0,14.0,4.0,43.0,19.0,77.0
2956,16.0,15.0,8.0,13.0,1.0,11.0,4.0,3.0,7.0,34.0,21.0,20.0,30.0,59.0,19.0,54.0,35.0,22.0,88.0,14.0,83.0,5.0,12.0,36.0,17.0,85.0,9.0,31.0,58.0,44.0
3005,1.0,9.0,18.0,11.0,17.0,49.0,10.0,31.0,26.0,70.0,44.0,2.0,71.0,73.0,13.0,176.0,21.0,16.0,32.0,22.0,7.0,15.0,66.0,47.0,24.0,97.0,6.0,42.0,86.0,30.0
3054,8.0,124.0,3.0,13.0,1.0,14.0,6.0,2.0,15.0,131.0,84.0,22.0,18.0,31.0,9.0,137.0,19.0,28.0,20.0,46.0,12.0,71.0,16.0,63.0,96.0,76.0,35.0,66.0,231.0,51.0
3103,10.0,25.0,0.0,6.0,1.0,33.0,9.0,4.0,15.0,22.0,43.0,7.0,49.0,166.0,14.0,27.0,17.0,87.0,35.0,28.0,58.0,32.0,11.0,41.0,107.0,38.0,39.0,57.0,133.0,16.0
3152,4.0,15.0,3.0,35.0,2.0,7.0,10.0,8.0,16.0,34.0,166.0,5.0,38.0,30.0,11.0,69.0,65.0,44.0,24.0,55.0,53.0,63.0,17.0,36.0,133.0,47.0,26.0,156.0,172.0,9.0
3201,5.0,7.0,15.0,3.0,9.0,67.0,12.0,2.0,17.0,35.0,79.0,6.0,39.0,129.0,23.0,34.0,16.0,28.0,40.0,10.0,122.0,24.0,21.0,31.0,83.0,202.0,8.0,112.0,263.0,49.0
3250,8.0,13.0,5.0,34.0,0.0,12.0,4.0,7.0,1.0,16.0,69.0,10.0,21.0,84.0,31.0,66.0,25.0,54.0,28.0,43.0,17.0,26.0,23.0,35.0,141.0,72.0,3.0,53.0,33.0,97.0
3299,6.0,44.0,25.0,5.0,2.0,89.0,87.0,15.0,1.0,33.0,108.0,4.0,48.0,53.0,56.0,138.0,36.0,10.0,45.0,62.0,26.0,12.0,13.0,67.0,8.0,47.0,20.0,37.0,98.0,21.0
3348,16.0,6.0,2.0,7.0,4.0,21.0,17.0,19.0,5.0,188.0,71.0,14.0,61.0,63.0,13.0,70.0,8.0,38.0,57.0,9.0,33.0,22.0,18.0,34.0,233.0,27.0,15.0,30.0,308.0,47.0
3397,12.0,11.0,1.0,41.0,4.0,13.0,19.0,15.0,6.0,78.0,50.0,10.0,25.0,95.0,5.0,34.0,3.0,26.0,16.0,30.0,18.0,14.0,7.0,174.0,214.0,48.0,21.0,35.0,165.0,77.0
3446,0.0,3.0,20.0,4.0,5.0,18.0,2.0,7.0,8.0,22.0,15.0,19.0,9.0,84.0,11.0,284.0,130.0,14.0,65.0,13.0,16.0,27.0,55.0,42.0,37.0,35.0,103.0,28.0,59.0,32.0
3495,2.0,5.0,6.0,3.0,7.0,90.0,25.0,0.0,32.0,29.0,27.0,36.0,12.0,8.0,17.0,402.0,60.0,13.0,84.0,9.0,34.0,102.0,33.0,58.0,4.0,19.0,63.0,21.0,79.0,24.0
3544,3.0,4.0,27.0,15.0,9.0,10.0,5.0,11.0,22.0,95.0,13.0,18.0,7.0,38.0,26.0,168.0,16.0,20.0,157.0,6.0,42.0,14.0,57.0,52.0,23.0,1.0,41.0,36.0,69.0,24.0
3593,1.0,4.0,8.0,0.0,7.0,88.0,50.0,30.0,12.0,9.0,5.0,26.0,2.0,85.0,17.0,105.0,54.0,13.0,132.0,15.0,19.0,23.0,84.0,53.0,22.0,44.0,33.0,28.0,147.0,42.0
3642,0.0,6.0,11.0,3.0,15.0,31.0,4.0,24.0,41.0,17.0,12.0,16.0,10.0,21.0,49.0,193.0,51.0,40.0,90.0,2.0,18.0,29.0,44.0,19.0,39.0,23.0,20.0,33.0,50.0,82.0
3691,7.0,27.0,14.0,5.0,11.0,29.0,20.0,2.0,35.0,3.0,6.0,39.0,1.0,80.0,26.0,196.0,44.0,30.0,106.0,16.0,9.0,31.0,76.0,32.0,10.0,12.0,73.0,18.0,17.0,79.0
3740,1.0,9.0,5.0,2.0,4.0,11.0,12.0,19.0,25.0,14.0,8.0,18.0,28.0,245.0,69.0,152.0,46.0,50.0,78.0,49.0,40.0,15.0,82.0,56.0,35.0,10.0,7.0,39.0,55.0,30.0
3789,0.0,12.0,4.0,13.0,1.0,58.0,6.0,61.0,77.0,3.0,5.0,11.0,44.0,7.0,16.0,166.0,121.0,22.0,220.0,20.0,28.0,72.0,48.0,18.0,14.0,15.0,86.0,23.0,89.0,47.0
3838,0.0,6.0,20.0,16.0,5.0,39.0,13.0,15.0,18.0,37.0,7.0,14.0,24.0,9.0,26.0,128.0,33.0,22.0,269.0,11.0,35.0,10.0,97.0,8.0,4.0,29.0,116.0,59.0,3.0,126.0
3887,4.0,7.0,104.0,10.0,2.0,221.0,8.0,5.0,30.0,237.0,81.0,15.0,12.0,69.0,88.0,173.0,89.0,6.0,61.0,18.0,56.0,33.0,27.0,43.0,3.0,135.0,45.0,92.0,98.0,14.0
3936,3.0,8.0,0.0,5.0,4.0,90.0,43.0,7.0,50.0,101.0,16.0,23.0,9.0,32.0,15.0,25.0,13.0,6.0,18.0,1.0,35.0,31.0,60.0,17.0,12.0,20.0,14.0,59.0,226.0,91.0
3985,3.0,0.0,23.0,1.0,4.0,27.0,26.0,15.0,16.0,22.0,2.0,10.0,14.0,7.0,78.0,35.0,98.0,21.0,13.0,9.0,5.0,70.0,34.0,12.0,67.0,58.0,81.0,108.0,122.0,130.0
4034,0.0,39.0,3.0,1.0,2.0,12.0,16.0,45.0,40.0,8.0,13.0,25.0,18.0,177.0,68.0,20.0,30.0,35.0,5.0,42.0,4.0,88.0,27.0,6.0,55.0,19.0,111.0,44.0,159.0,47.0
4083,33.0,6.0,0.0,1.0,4.0,26.0,9.0,7.0,12.0,32.0,17.0,39.0,14.0,29.0,41.0,16.0,3.0,107.0,19.0,52.0,31.0,61.0,44.0,24.0,67.0,8.0,48.0,69.0,18.0,57.0
4132,1.0,0.0,32.0,22.0,4.0,18.0,8.0,60.0,19.0,52.0,2.0,9.0,5.0,26.0,33.0,28.0,17.0,6.0,20.0,7.0,15.0,58.0,47.0,24.0,23.0,16.0,11.0,40.0,43.0,51.0
4181,3.0,1.0,9.0,0.0,10.0,21.0,66.0,61.0,7.0,56.0,4.0,8.0,6.0,202.0,57.0,26.0,69.0,27.0,28.0,2.0,60.0,31.0,110.0,12.0,14.0,32.0,52.0,47.0,200.0,25.0
4230,8.0,21.0,26.0,3.0,5.0,20.0,30.0,0.0,27.0,11.0,4.0,34.0,1.0,81.0,48.0,18.0,262.0,6.0,135.0,9.0,10.0,36.0,72.0,17.0,31.0,85.0,39.0,13.0,32.0,38.0
4279,2.0,0.0,14.0,1.0,3.0,17.0,20.0,24.0,45.0,59.0,10.0,4.0,19.0,54.0,12.0,6.0,74.0,8.0,18.0,32.0,23.0,30.0,21.0,35.0,11.0,31.0,26.0,71.0,177.0,27.0
4328,3.0,0.0,2.0,37.0,1.0,128.0,13.0,36.0,45.0,38.0,4.0,8.0,40.0,11.0,99.0,6.0,116.0,44.0,25.0,19.0,7.0,30.0,65.0,22.0,82.0,14.0,110.0,39.0,20.0,119.0
4377,2.0,0.0,1.0,14.0,6.0,4.0,7.0,30.0,25.0,28.0,3.0,12.0,40.0,42.0,18.0,5.0,23.0,11.0,26.0,10.0,44.0,17.0,24.0,16.0,19.0,35.0,9.0,106.0,151.0,171.0
4426,9.0,11.0,6.0,1.0,5.0,2.0,27.0,86.0,58.0,13.0,0.0,57.0,19.0,3.0,10.0,22.0,18.0,51.0,54.0,97.0,16.0,34.0,15.0,55.0,95.0,38.0,4.0,25.0,59.0,47.0
4475,91.0,7.0,4.0,0.0,1.0,10.0,20.0,37.0,179.0,21.0,2.0,17.0,56.0,16.0,3.0,9.0,42.0,28.0,50.0,82.0,79.0,70.0,13.0,132.0,128.0,14.0,8.0,11.0,130.0,5.0
4524,0.0,11.0,36.0,10.0,9.0,13.0,58.0,5.0,17.0,86.0,1.0,77.0,26.0,4.0,2.0,15.0,14.0,18.0,250.0,35.0,59.0,12.0,20.0,95.0,74.0,28.0,7.0,3.0,82.0,69.0
4573,27.0,5.0,8.0,4.0,12.0,0.0,55.0,34.0,76.0,35.0,7.0,39.0,157.0,1.0,3.0,68.0,17.0,69.0,19.0,22.0,6.0,200.0,23.0,56.0,222.0,10.0,2.0,42.0,84.0,18.0
4622,0.0,7.0,23.0,6.0,1.0,37.0,51.0,93.0,136.0,2.0,9.0,32.0,30.0,172.0,16.0,27.0,3.0,77.0,75.0,5.0,35.0,31.0,4.0,48.0,44.0,13.0,14.0,39.0,230.0,78.0
4671,40.0,8.0,3.0,22.0,1.0,29.0,11.0,21.0,146.0,43.0,0.0,45.0,68.0,4.0,9.0,23.0,12.0,105.0,19.0,13.0,42.0,24.0,18.0,38.0,111.0,37.0,2.0,31.0,51.0,62.0
4720,7.0,13.0,14.0,8.0,4.0,15.0,25.0,120.0,42.0,3.0,1.0,5.0,100.0,26.0,16.0,11.0,2.0,77.0,87.0,89.0,18.0,36.0,6.0,65.0,54.0,21.0,0.0,84.0,62.0,38.0
4769,6.0,5.0,16.0,2.0,4.0,9.0,50.0,27.0,72.0,12.0,20.0,41.0,1.0,3.0,58.0,8.0,13.0,64.0,44.0,36.0,14.0,15.0,21.0,55.0,167.0,22.0,0.0,56.0,97.0,114.0
4818,3.0,15.0,4.0,24.0,14.0,7.0,56.0,18.0,218.0,1.0,2.0,21.0,23.0,6.0,12.0,10.0,8.0,66.0,114.0,135.0,35.0,28.0,25.0,102.0,47.0,107.0,5.0,0.0,16.0,97.0
4867,4.0,15.0,2.0,5.0,13.0,69.0,45.0,9.0,18.0,3.0,1.0,20.0,12.0,14.0,35.0,21.0,8.0,38.0,97.0,51.0,7.0,36.0,27.0,37.0,74.0,47.0,0.0,23.0,151.0,244.0
