,ELF3,ITPRIPL1,RPUSD2,AGAP2,ORC1,SPATA5L1,RP11-613M10.6,HRCT1,PPIC,FANCD2,ARHGAP11B,HNRNPK,SPEN,NCL,MCM6,FAM127C,CNTRL,RP11-680F8.3,ITGB5,SNRPD1,FLI1,HSPB8,MDN1,SHANK2,C16orf54,CPSF6,CPSF3,NHP2L1,SLC35F5,BCL2L1
1726,4.0,12.0,27.0,17.0,8.0,5.0,18275.0,7.0,33.0,42.0,19.0,38.0,14.0,62.0,13405.0,41.0,19983.0,13.0,25.0,37.0,43.0,1.0,6.0,52.0,79.0,15.0,101.0,144.0,0.0,45.0
1775,3.0,14.0,21.0,17.0,15407.0,3805.0,61.0,12.0,33.0,18.0,6.0,36.0,26.0,7.0,45.0,151.0,62.0,24.0,22.0,29.0,76.0,44.0,25.0,77.0,53.0,2.0,16794.0,16.0,58.0,32.0
1824,7.0,3.0,16.0,0.0,43.0,8.0,104.0,22.0,36.0,12656.0,18.0,25.0,10.0,6.0,13402.0,80.0,12.0,3831.0,45.0,1110.0,100.0,1.0,14.0,54.0,115.0,9.0,315.0,9728.0,29.0,5.0
1873,4.0,64.0,2.0,9.0,0.0,56.0,18303.0,17.0,45.0,37.0,12.0,61.0,30.0,78.0,35.0,66.0,5.0,34.0,58.0,54.0,22.0,21.0,16.0,127.0,87.0,10.0,16805.0,41.0,84.0,14.0
1922,0.0,1.0,9.0,8.0,13.0,12.0,20.0,3.0,11.0,33.0,10.0,20152.0,14.0,68.0,22.0,167.0,55.0,16.0,31.0,12342.0,32.0,28.0,4.0,46.0,53.0,61.0,16723.0,9670.0,29.0,6.0
1971,0.0,2.0,11.0,10.0,1.0,66.0,18306.0,18279.0,18.0,112.0,64.0,44.0,54.0,19.0,57.0,5234.0,23.0,4948.0,841.0,37.0,27.0,28.0,9.0,4.0,85.0,176.0,50.0,43.0,163.0,76.0
2020,0.0,1.0,17.0,15.0,6.0,8.0,45.0,666.0,21.0,14.0,3853.0,36.0,46.0,47.0,71.0,8996.0,56.0,48.0,14760.0,75.0,18.0,5.0,54.0,53.0,61.0,196.0,991.0,50.0,120.0,7322.0
2069,3.0,0.0,4.0,5.0,12.0,8.0,1.0,18287.0,10.0,32.0,39.0,65.0,79.0,112.0,93.0,8877.0,33.0,31.0,67.0,56.0,36.0,365.0,22844.0,75.0,90.0,4767.0,16785.0,123.0,157.0,78.0
2118,7.0,3.0,38.0,11.0,5.0,22.0,53.0,18305.0,21.0,29.0,35.0,27.0,82.0,54.0,26.0,8885.0,30.0,3892.0,167.0,9.0,42.0,2.0,36.0,8.0,40.0,83.0,16804.0,44.0,69.0,67.0
2167,0.0,1.0,41.0,16.0,10.0,33.0,333.0,18351.0,38.0,36.0,148.0,48.0,15905.0,73.0,27.0,646.0,19.0,32.0,13841.0,12420.0,15.0,66.0,62.0,96.0,51.0,6930.0,16823.0,4.0,80.0,92.0
2216,10.0,7.0,15.0,18.0,17.0,8.0,2.0,623.0,42.0,9.0,23.0,25.0,71.0,36.0,39.0,97.0,76.0,4111.0,66.0,13.0,164.0,6211.0,1.0,5758.0,69.0,83.0,16798.0,74.0,32.0,56.0
2265,0.0,5.0,25.0,14.0,3.0,6.0,21.0,1007.0,12.0,16.0,112.0,69.0,61.0,18.0,15.0,9026.0,27.0,41.0,12930.0,13.0,35.0,68.0,42.0,53.0,76.0,1.0,17263.0,2713.0,104.0,57.0
2314,4.0,12.0,0.0,11.0,2.0,32.0,5.0,339.0,31.0,37.0,58.0,24.0,99.0,27.0,47.0,6160.0,36.0,30.0,8.0,18.0,51.0,56.0,6.0,54.0,79.0,154.0,673.0,8993.0,40.0,9249.0
2363,7.0,9.0,0.0,5.0,13.0,23.0,6.0,994.0,29.0,37.0,106.0,18379.0,12082.0,20.0,49.0,78.0,15.0,16.0,25.0,33.0,5136.0,1.0,208.0,55.0,77.0,2252.0,504.0,69.0,19.0,3.0
2412,103.0,139.0,1.0,13.0,9.0,15.0,27.0,174.0,32.0,37.0,92.0,19292.0,55.0,73.0,25.0,69.0,23.0,1395.0,16.0,64.0,56.0,6768.0,87.0,927.0,76.0,68.0,16771.0,81.0,179.0,8833.0
2461,21.0,6.0,2.0,7.0,4.0,19.0,0.0,1.0,29.0,39.0,27.0,1182.0,37.0,11.0,60.0,270.0,20110.0,3550.0,9.0,17.0,66.0,5063.0,31.0,35.0,4079.0,8.0,28.0,3.0,69.0,7032.0
2510,17342.0,2.0,0.0,7.0,16.0,3.0,51.0,1.0,45.0,40.0,25.0,20231.0,278.0,38.0,23.0,6.0,55.0,47.0,33.0,12.0,32.0,6652.0,103.0,110.0,91.0,11.0,76.0,37.0,67.0,7294.0
2559,3.0,2.0,5.0,11.0,30.0,14.0,1.0,0.0,47.0,60.0,63.0,407.0,79.0,33.0,31.0,285.0,28.0,81.0,4.0,32.0,21.0,6791.0,72.0,27.0,54.0,13.0,6.0,44.0,83.0,7293.0
2608,66.0,0.0,19.0,2.0,18.0,4.0,40.0,3.0,11.0,8.0,23.0,97.0,52.0,41.0,15.0,14.0,32.0,36.0,48.0,28.0,5.0,7665.0,90.0,78.0,4911.0,10.0,26.0,43.0,7.0,39.0
2657,978.0,2.0,0.0,7.0,3.0,11.0,44.0,25.0,31.0,19.0,4.0,20201.0,51.0,16.0,18.0,6.0,32.0,4306.0,5.0,28.0,23.0,42.0,54.0,5537.0,15.0,12.0,16819.0,27.0,13331.0,7101.0
2706,102.0,54.0,20.0,8.0,0.0,28.0,1.0,10.0,34.0,2061.0,21.0,20203.0,98.0,60.0,12.0,107.0,2451.0,3845.0,2.0,35.0,17.0,6817.0,70.0,61.0,69.0,5.0,16809.0,24.0,74.0,7197.0
2755,98.0,123.0,9.0,2.0,10.0,4.0,22.0,0.0,58.0,35.0,41.0,20198.0,45.0,18.0,42.0,1575.0,88.0,38.0,66.0,99.0,46.0,674.0,175.0,720.0,40.0,5.0,106.0,9668.0,104.0,7298.0
2804,80.0,4.0,24.0,3.0,9.0,1.0,2.0,0.0,40.0,41.0,25.0,31.0,105.0,32.0,42.0,5389.0,45.0,4900.0,15.0,112.0,20.0,6815.0,1740.0,304.0,37.0,8.0,16803.0,58.0,99.0,8725.0
2853,0.0,1.0,12.0,10.0,13.0,18.0,3.0,2.0,23.0,12769.0,5.0,119.0,45.0,8.0,28.0,17.0,56.0,3792.0,16.0,21.0,19.0,6772.0,62.0,5495.0,51.0,249.0,181.0,50.0,71.0,534.0
2902,50.0,65.0,16.0,15.0,18.0,7.0,1.0,2.0,0.0,22.0,37.0,20180.0,60.0,11.0,19.0,21.0,19998.0,35.0,160.0,40.0,34.0,6741.0,64.0,5409.0,92.0,5.0,16774.0,17.0,66.0,7245.0
2951,0.0,11.0,9.0,22.0,19.0,8.0,3.0,6.0,26.0,34.0,47.0,12.0,69.0,15.0,85.0,21.0,19994.0,28.0,27.0,55.0,40.0,1.0,124.0,45.0,70.0,167.0,119.0,49.0,53.0,42.0
3000,11.0,8.0,19.0,3.0,20.0,39.0,15.0,12.0,9.0,16.0,21.0,17.0,54.0,41.0,28.0,10.0,32.0,22.0,26.0,31.0,1.0,2.0,72.0,106.0,4.0,136.0,59.0,27.0,84.0,18.0
3049,3.0,119.0,7.0,12.0,34.0,59.0,42.0,101.0,18.0,65.0,9.0,1.0,8412.0,4.0,27.0,10.0,2.0,53.0,50.0,78.0,8.0,7447.0,20978.0,93.0,38.0,175.0,22.0,28.0,23.0,110.0
3098,5.0,3.0,0.0,13.0,4.0,40.0,51.0,2.0,19.0,29.0,48.0,14.0,7.0,27.0,46.0,60.0,28.0,15.0,6.0,8244.0,34.0,6765.0,53.0,82.0,43.0,107.0,16790.0,73.0,84.0,39.0
3147,0.0,2.0,3.0,13.0,11.0,31.0,37.0,18.0,21.0,48.0,40.0,27.0,79.0,62.0,44.0,6.0,52.0,22.0,15.0,46.0,4.0,28.0,80.0,114.0,32.0,59.0,16795.0,112.0,36.0,7159.0
3196,11.0,114.0,7.0,12.0,8.0,3962.0,0.0,43.0,32.0,14.0,81.0,9.0,59.0,36.0,16.0,2.0,20100.0,35.0,20.0,53.0,37.0,6916.0,76.0,5413.0,57.0,119.0,45.0,34.0,28.0,2461.0
3245,105.0,22.0,0.0,14.0,1.0,3965.0,5.0,81.0,30.0,53.0,143.0,11.0,133.0,37.0,89.0,6.0,24.0,52.0,8.0,50.0,32.0,3.0,207.0,93.0,33.0,167.0,17.0,28.0,46.0,2.0
3294,2.0,4.0,0.0,16.0,26.0,17.0,43.0,12.0,15.0,31.0,91.0,9.0,92.0,42.0,14.0,5.0,20010.0,19.0,33.0,37.0,32.0,7.0,22754.0,36.0,72.0,119.0,59.0,20.0,13338.0,7303.0
3343,15.0,121.0,8.0,20.0,16313.0,4307.0,0.0,23.0,25.0,56.0,28.0,4.0,24.0,43.0,54.0,9.0,46.0,21.0,1.0,33.0,22.0,725.0,22718.0,85.0,6.0,183.0,129.0,29.0,65.0,7298.0
3392,2.0,0.0,7.0,8.0,4.0,16.0,12.0,15.0,21.0,12682.0,108.0,88.0,15935.0,13.0,77.0,3.0,437.0,33.0,19.0,34.0,39.0,67.0,98.0,9.0,58.0,5.0,26.0,24.0,53.0,7046.0
3441,4.0,79.0,17.0,38.0,3.0,43.0,10.0,19.0,35.0,0.0,53.0,12.0,20.0,33.0,32.0,8.0,5.0,60.0,12900.0,45.0,77.0,4890.0,13.0,44.0,50.0,54.0,61.0,9730.0,181.0,140.0
3490,8.0,41.0,1.0,2.0,5.0,20.0,0.0,70.0,27.0,4.0,31.0,22.0,13.0,10.0,9.0,110.0,20100.0,39.0,13454.0,16.0,37.0,6499.0,6.0,40.0,48.0,46.0,30.0,28.0,60.0,7263.0
3539,81.0,710.0,21.0,19.0,4.0,26.0,40.0,18289.0,29.0,12.0,18.0,17.0,43.0,9.0,0.0,50.0,48.0,5.0,14709.0,27.0,52.0,47.0,3.0,13.0,70.0,142.0,49.0,41.0,109.0,7275.0
3588,4.0,143.0,10.0,19.0,9.0,32.0,18.0,165.0,17.0,16.0,22.0,8.0,61.0,6.0,34.0,98.0,33.0,52.0,2130.0,27.0,35.0,63.0,22731.0,38.0,39.0,70.0,28.0,64.0,93.0,97.0
3637,1.0,85.0,7.0,6.0,0.0,4262.0,58.0,18286.0,26.0,29.0,10.0,3.0,18.0,14.0,28.0,61.0,11.0,3857.0,42.0,25.0,45.0,6838.0,47.0,15.0,10640.0,132.0,35.0,32.0,87.0,7300.0
3686,5.0,126.0,24.0,2.0,1.0,28.0,4.0,1452.0,25.0,17.0,51.0,6.0,34.0,14.0,27.0,69.0,19.0,3822.0,53.0,39.0,4955.0,8.0,10.0,15.0,10660.0,138.0,37.0,46.0,36.0,94.0
3735,12.0,93.0,6.0,24.0,8.0,0.0,81.0,18288.0,33.0,14.0,53.0,18.0,16.0,25.0,42.0,44.0,63.0,3856.0,36.0,19.0,67.0,30.0,37.0,9.0,22.0,97.0,58.0,35.0,130.0,7306.0
3784,3.0,7.0,9.0,28.0,1.0,36.0,21.0,537.0,29.0,11.0,82.0,0.0,118.0,2.0,4.0,68.0,35.0,141.0,80.0,31.0,67.0,5959.0,87.0,42.0,45.0,178.0,48.0,32.0,88.0,41.0
3833,1.0,16927.0,14.0,9.0,2.0,3869.0,8.0,381.0,24.0,23.0,53.0,4.0,131.0,35.0,34.0,147.0,73.0,101.0,54.0,30.0,10.0,72.0,116.0,43.0,10670.0,17.0,1138.0,28.0,161.0,16.0
3882,5.0,111.0,27.0,20.0,3.0,30.0,0.0,18399.0,9.0,26.0,44.0,2.0,47.0,50.0,41.0,82.0,21.0,29.0,56.0,40.0,45.0,6586.0,17.0,51.0,10630.0,33.0,35.0,1.0,1401.0,124.0
3931,8.0,13.0,34.0,9.0,14.0,20.0,0.0,1.0,27.0,24.0,15.0,4.0,18.0,50.0,37.0,10.0,25.0,59.0,16.0,71.0,6045.0,60.0,33.0,102.0,55.0,97.0,83.0,31.0,12.0,63.0
3980,15.0,183.0,0.0,5.0,18.0,1.0,92.0,4.0,14.0,10.0,21.0,17.0,31.0,49.0,40.0,11.0,48.0,3862.0,50.0,1936.0,64.0,6810.0,22755.0,5535.0,65.0,52.0,81.0,45.0,83.0,89.0
4029,13.0,287.0,19.0,0.0,15425.0,5.0,82.0,449.0,22.0,50.0,14.0,44.0,41.0,51.0,26.0,38.0,32.0,3559.0,8.0,12396.0,69.0,11.0,35.0,95.0,46.0,125.0,21.0,15.0,25.0,7196.0
4078,121.0,16985.0,17.0,4.0,15410.0,25.0,179.0,9.0,38.0,44.0,14.0,45.0,27.0,60.0,42.0,61.0,19997.0,4315.0,29.0,1662.0,4955.0,6829.0,22716.0,5540.0,37.0,134.0,48.0,13.0,88.0,7308.0
4127,1.0,16920.0,15.0,11.0,10.0,3779.0,175.0,192.0,27.0,13.0,3.0,0.0,19.0,38.0,52.0,36.0,40.0,258.0,49.0,5.0,4921.0,39.0,22.0,14.0,1187.0,46.0,2.0,35.0,65.0,1596.0
4176,9.0,131.0,58.0,7.0,39.0,24.0,101.0,0.0,10.0,31.0,5.0,28.0,60.0,114.0,44.0,112.0,37.0,3555.0,90.0,12345.0,5329.0,102.0,22859.0,197.0,10607.0,142.0,22.0,9649.0,117.0,2086.0
4225,4.0,3.0,45.0,8.0,14.0,3774.0,15.0,64.0,12.0,22.0,7.0,37.0,26.0,16.0,24.0,69.0,47.0,4423.0,36.0,11181.0,68.0,5962.0,1.0,111.0,10557.0,150.0,13.0,52.0,85.0,83.0
4274,36.0,90.0,4.0,0.0,226.0,6.0,79.0,1.0,19.0,24.0,13.0,2.0,30.0,13526.0,42.0,40.0,12.0,2359.0,33.0,39.0,58.0,5131.0,118.0,115.0,85.0,7.0,285.0,9678.0,77.0,1439.0
4323,0.0,133.0,12.0,8.0,19.0,22.0,285.0,1.0,21993.0,13.0,7.0,4.0,26.0,84.0,31.0,18.0,44.0,234.0,14732.0,8268.0,5286.0,6785.0,45.0,35.0,40.0,124.0,28.0,41.0,38.0,6.0
4372,8.0,89.0,64.0,11.0,15413.0,4.0,0.0,2.0,38.0,21.0,156.0,1378.0,39.0,84.0,10.0,5.0,48.0,3560.0,7.0,79.0,116.0,26.0,22878.0,23.0,63.0,57.0,88.0,35.0,53.0,28.0
4421,1.0,0.0,9.0,17.0,2.0,68.0,42.0,29.0,22.0,20.0,7.0,40.0,716.0,47.0,64.0,18.0,20055.0,30.0,31.0,11282.0,57.0,5959.0,39.0,3.0,85.0,140.0,5.0,8966.0,44.0,73.0
4470,7.0,24.0,2.0,4.0,21.0,33.0,9.0,194.0,28.0,1.0,48.0,35.0,82.0,79.0,13448.0,46.0,59.0,32.0,6.0,80.0,5482.0,6898.0,30.0,18.0,66.0,136.0,41.0,9730.0,70.0,68.0
4519,5.0,75.0,0.0,15.0,3.0,32.0,9.0,24.0,14.0,25.0,79.0,20.0,39.0,44.0,12.0,11.0,20000.0,8.0,30.0,153.0,145.0,6774.0,29.0,33.0,186.0,18.0,34.0,9629.0,117.0,62.0
4568,3.0,58.0,6.0,5.0,21.0,28.0,0.0,272.0,23.0,27.0,56.0,57.0,47.0,91.0,43.0,44.0,1286.0,49.0,16.0,33.0,4912.0,35.0,31.0,76.0,10658.0,26.0,2.0,9687.0,67.0,55.0
4617,1.0,2.0,0.0,8.0,7.0,9.0,3.0,136.0,23.0,21.0,24.0,20210.0,11.0,43.0,19.0,46.0,58.0,4347.0,4.0,12391.0,54.0,6772.0,28.0,13.0,39.0,75.0,22.0,607.0,60.0,70.0
4666,0.0,85.0,4.0,3.0,1.0,12.0,38.0,211.0,5.0,22.0,37.0,62.0,24.0,111.0,58.0,52.0,30.0,9.0,25.0,27.0,4972.0,17.0,84.0,11.0,46.0,115.0,49.0,9731.0,79.0,16.0
4715,0.0,49.0,17.0,16.0,28.0,9.0,1.0,18283.0,14.0,31.0,48.0,13.0,39.0,19.0,13458.0,36.0,40.0,38.0,2.0,8.0,18.0,10.0,42.0,5.0,62.0,4692.0,33.0,9720.0,55.0,6.0
4764,0.0,2.0,3.0,8.0,1.0,37.0,4.0,9.0,22.0,31.0,50.0,13.0,35.0,40.0,13426.0,55.0,63.0,39.0,42.0,12410.0,58.0,6779.0,108.0,6.0,10655.0,45.0,24.0,9734.0,19.0,28.0
4813,4.0,7.0,0.0,20.0,15.0,18.0,10.0,1.0,23.0,8.0,14.0,20210.0,32.0,37.0,13406.0,6.0,63.0,26.0,3.0,103.0,74.0,1950.0,31.0,57.0,10633.0,13.0,42.0,1470.0,17.0,51.0
4862,1.0,58.0,0.0,5.0,19.0,33.0,2.0,283.0,6.0,12786.0,48.0,21.0,22.0,85.0,13413.0,38.0,45.0,41.0,37.0,60.0,4932.0,53.0,35.0,4.0,10629.0,1411.0,16806.0,1704.0,66.0,7046.0
