,Cyclin_D1,Collagen_VI,RAD51,HER2_pY1248,GATA3,PTEN,C-Raf_pS338,Raptor,Paxillin,E-Cadherin,Notch1,ACVRL1,N-Cadherin,p27_pT157,VEGFR2,XBP1,Annexin_VII,4E-BP1_pS65,Smad4,beta-Catenin,NF2,ADAR1,PDCD4,PEA15,Smad3,PEA15_pS116,PI3K-p110-alpha,PAI-1,PDK1_pS241,PDK1
3191,0.0,2.0,84.0,7.0,10.0,58.0,130.0,85.0,12.0,163.0,26.0,40.0,18.0,33.0,71.0,37.0,6.0,36.0,23.0,14.0,31.0,128.0,56.0,44.0,66.0,53.0,57.0,48.0,43.0,42.0
3240,11.0,0.0,10.0,18.0,5.0,84.0,101.0,80.0,15.0,13.0,25.0,3.0,129.0,22.0,54.0,29.0,32.0,36.0,1.0,111.0,63.0,4.0,49.0,65.0,7.0,67.0,92.0,17.0,53.0,48.0
3289,130.0,3.0,85.0,4.0,6.0,87.0,103.0,23.0,17.0,151.0,8.0,0.0,92.0,2.0,63.0,9.0,33.0,113.0,7.0,95.0,55.0,118.0,39.0,41.0,11.0,35.0,36.0,57.0,40.0,37.0
3338,9.0,3.0,65.0,6.0,11.0,23.0,123.0,66.0,55.0,14.0,30.0,1.0,16.0,19.0,8.0,29.0,134.0,35.0,5.0,34.0,17.0,0.0,54.0,51.0,86.0,50.0,41.0,56.0,52.0,53.0
3387,8.0,7.0,2.0,34.0,19.0,4.0,1.0,81.0,51.0,154.0,33.0,32.0,80.0,5.0,68.0,70.0,31.0,6.0,37.0,10.0,43.0,3.0,13.0,55.0,75.0,22.0,42.0,26.0,14.0,49.0
3436,0.0,14.0,12.0,22.0,19.0,16.0,3.0,11.0,44.0,152.0,61.0,2.0,95.0,55.0,1.0,32.0,112.0,31.0,39.0,36.0,62.0,30.0,20.0,53.0,37.0,92.0,66.0,47.0,46.0,40.0
3485,27.0,4.0,14.0,3.0,148.0,86.0,99.0,13.0,43.0,151.0,12.0,33.0,132.0,58.0,35.0,30.0,38.0,42.0,41.0,108.0,94.0,34.0,44.0,48.0,65.0,49.0,16.0,47.0,46.0,45.0
3534,20.0,11.0,16.0,132.0,162.0,17.0,15.0,89.0,56.0,10.0,9.0,37.0,0.0,59.0,34.0,63.0,29.0,115.0,79.0,105.0,44.0,30.0,18.0,51.0,80.0,49.0,6.0,57.0,52.0,53.0
3583,3.0,23.0,6.0,0.0,12.0,24.0,26.0,80.0,15.0,25.0,4.0,9.0,13.0,57.0,5.0,62.0,112.0,29.0,2.0,104.0,43.0,127.0,14.0,53.0,30.0,52.0,49.0,40.0,54.0,55.0
3632,4.0,6.0,5.0,27.0,23.0,18.0,14.0,7.0,47.0,0.0,33.0,34.0,29.0,62.0,3.0,65.0,40.0,126.0,37.0,107.0,9.0,122.0,51.0,48.0,38.0,26.0,52.0,68.0,49.0,50.0
3681,0.0,3.0,19.0,130.0,7.0,1.0,10.0,57.0,14.0,24.0,26.0,9.0,8.0,46.0,4.0,60.0,29.0,113.0,22.0,13.0,27.0,119.0,48.0,43.0,89.0,36.0,20.0,50.0,45.0,47.0
3730,22.0,21.0,87.0,132.0,14.0,5.0,107.0,86.0,54.0,1.0,30.0,118.0,128.0,50.0,4.0,62.0,126.0,34.0,7.0,26.0,43.0,120.0,13.0,48.0,91.0,16.0,41.0,11.0,52.0,15.0
3779,8.0,6.0,0.0,14.0,11.0,24.0,126.0,42.0,21.0,4.0,33.0,2.0,139.0,83.0,32.0,71.0,135.0,82.0,88.0,40.0,136.0,38.0,57.0,22.0,29.0,53.0,52.0,59.0,55.0,56.0
3828,1.0,20.0,82.0,0.0,145.0,17.0,13.0,15.0,5.0,154.0,35.0,36.0,83.0,53.0,32.0,61.0,123.0,30.0,25.0,97.0,50.0,27.0,46.0,22.0,14.0,55.0,90.0,44.0,54.0,47.0
3877,1.0,151.0,18.0,24.0,145.0,11.0,3.0,19.0,5.0,155.0,9.0,0.0,55.0,8.0,27.0,26.0,35.0,113.0,22.0,14.0,33.0,2.0,41.0,40.0,10.0,57.0,89.0,56.0,38.0,39.0
3926,6.0,14.0,30.0,132.0,20.0,5.0,105.0,3.0,43.0,152.0,26.0,34.0,12.0,53.0,44.0,32.0,123.0,0.0,2.0,40.0,58.0,117.0,48.0,45.0,69.0,17.0,61.0,22.0,18.0,19.0
3975,8.0,16.0,91.0,19.0,3.0,87.0,21.0,84.0,0.0,11.0,37.0,27.0,15.0,52.0,62.0,9.0,4.0,113.0,75.0,97.0,36.0,126.0,45.0,43.0,90.0,41.0,18.0,50.0,38.0,56.0
4024,3.0,19.0,87.0,10.0,4.0,20.0,100.0,0.0,13.0,22.0,33.0,121.0,17.0,1.0,66.0,2.0,40.0,30.0,25.0,15.0,31.0,36.0,56.0,47.0,78.0,46.0,49.0,58.0,48.0,51.0
4073,7.0,3.0,15.0,23.0,20.0,9.0,97.0,11.0,22.0,5.0,61.0,128.0,6.0,25.0,58.0,0.0,113.0,116.0,78.0,39.0,30.0,122.0,21.0,93.0,75.0,94.0,91.0,42.0,19.0,49.0
4122,0.0,5.0,74.0,24.0,144.0,7.0,13.0,12.0,22.0,1.0,17.0,117.0,15.0,10.0,35.0,29.0,124.0,32.0,67.0,25.0,9.0,118.0,42.0,58.0,66.0,73.0,59.0,40.0,47.0,21.0
4171,7.0,10.0,13.0,1.0,5.0,16.0,110.0,14.0,50.0,163.0,28.0,120.0,32.0,8.0,55.0,0.0,37.0,3.0,34.0,99.0,59.0,127.0,62.0,90.0,73.0,89.0,87.0,22.0,92.0,77.0
4220,1.0,17.0,73.0,6.0,3.0,0.0,106.0,72.0,22.0,19.0,10.0,118.0,15.0,50.0,55.0,8.0,32.0,9.0,30.0,7.0,26.0,35.0,48.0,2.0,68.0,88.0,87.0,25.0,21.0,61.0
4269,0.0,17.0,50.0,8.0,9.0,47.0,16.0,2.0,5.0,10.0,18.0,49.0,138.0,66.0,74.0,31.0,58.0,1.0,88.0,37.0,135.0,46.0,19.0,22.0,28.0,67.0,52.0,20.0,54.0,55.0
4318,2.0,148.0,16.0,1.0,5.0,18.0,103.0,78.0,42.0,152.0,0.0,30.0,14.0,53.0,40.0,8.0,123.0,34.0,3.0,96.0,26.0,117.0,43.0,46.0,65.0,62.0,90.0,47.0,45.0,44.0
4367,4.0,150.0,82.0,5.0,146.0,85.0,23.0,81.0,24.0,1.0,35.0,8.0,91.0,37.0,30.0,62.0,124.0,3.0,0.0,96.0,49.0,119.0,21.0,44.0,73.0,42.0,41.0,52.0,45.0,46.0
4416,2.0,150.0,14.0,131.0,11.0,3.0,5.0,15.0,7.0,4.0,28.0,127.0,146.0,54.0,31.0,72.0,126.0,29.0,34.0,1.0,27.0,121.0,8.0,23.0,66.0,52.0,51.0,47.0,55.0,9.0
4465,0.0,6.0,2.0,4.0,12.0,1.0,19.0,81.0,44.0,163.0,28.0,121.0,128.0,37.0,5.0,25.0,36.0,3.0,64.0,10.0,26.0,32.0,18.0,9.0,8.0,21.0,42.0,45.0,41.0,54.0
4514,1.0,151.0,32.0,3.0,7.0,4.0,10.0,81.0,9.0,155.0,53.0,5.0,91.0,44.0,6.0,25.0,123.0,114.0,16.0,13.0,54.0,33.0,43.0,24.0,15.0,57.0,74.0,41.0,42.0,21.0
4563,0.0,151.0,3.0,35.0,4.0,1.0,14.0,90.0,5.0,155.0,2.0,31.0,80.0,30.0,29.0,33.0,32.0,36.0,6.0,108.0,27.0,120.0,7.0,21.0,26.0,39.0,41.0,49.0,40.0,54.0
4612,0.0,15.0,25.0,147.0,159.0,4.0,102.0,90.0,12.0,1.0,95.0,34.0,132.0,58.0,70.0,68.0,41.0,125.0,8.0,7.0,155.0,36.0,14.0,63.0,9.0,21.0,45.0,52.0,50.0,51.0
4661,20.0,5.0,0.0,1.0,146.0,18.0,13.0,75.0,23.0,152.0,16.0,6.0,56.0,10.0,54.0,9.0,4.0,32.0,29.0,21.0,8.0,116.0,22.0,7.0,36.0,50.0,74.0,42.0,38.0,39.0
4710,5.0,9.0,6.0,14.0,7.0,0.0,10.0,80.0,30.0,153.0,31.0,115.0,51.0,47.0,26.0,25.0,3.0,11.0,16.0,94.0,22.0,116.0,15.0,2.0,4.0,39.0,35.0,17.0,36.0,38.0
4759,5.0,13.0,9.0,21.0,20.0,3.0,1.0,72.0,19.0,14.0,25.0,120.0,30.0,22.0,36.0,57.0,4.0,37.0,75.0,28.0,58.0,121.0,18.0,62.0,32.0,17.0,64.0,43.0,49.0,46.0
4808,2.0,19.0,5.0,8.0,145.0,0.0,1.0,80.0,16.0,23.0,30.0,120.0,36.0,54.0,28.0,60.0,111.0,33.0,6.0,99.0,44.0,27.0,14.0,41.0,73.0,3.0,40.0,47.0,42.0,55.0
4857,0.0,25.0,5.0,19.0,3.0,10.0,22.0,81.0,15.0,155.0,33.0,29.0,2.0,48.0,79.0,14.0,8.0,17.0,7.0,96.0,30.0,9.0,4.0,46.0,11.0,56.0,73.0,37.0,39.0,38.0
