,ZBTB20_AMP,PKNOX2_DEL,TRAPPC11_DEL,ARID1A_MUT,USP17L7_DEL,SORBS2_DEL,PCDHA10_DEL,PCCB_DEL,PCDHA6_DEL,XKR6_AMP,MTOR_MUT,KIR2DS4_DEL,ADAM3A_AMP,FAM149A_DEL,NF1_MUT,KIR2DL4_AMP,ZNF705D_DEL,PIK3R4_MUT,PCDHA3_DEL,MRGPRX1_DEL,INSRR_MUT,TLR3_DEL,BTNL8_DEL,LOC349196_AMP,HSF2BP_DEL,PTEN_MUT,SLC6A18_AMP,LRRC37A_AMP,USP17L2_DEL,LOC392196_DEL
665,853.0,114.0,206.0,1923.0,1.0,201.0,7.0,30.0,139.0,756.0,27.0,3632.0,17692.0,351.0,16416.0,685.0,9482.0,16348.0,11443.0,11.0,204.0,9713.0,8824.0,14942.0,399.0,12.0,14883.0,684.0,824.0,364.0
714,6.0,90.0,255.0,374.0,1.0,564.0,2.0,1132.0,2194.0,32.0,16602.0,235.0,681.0,622.0,593.0,15428.0,18.0,16370.0,12368.0,147.0,247.0,8.0,11.0,639.0,3.0,1505.0,14956.0,88.0,195.0,24.0
763,12.0,75.0,447.0,23.0,1.0,304.0,88.0,11101.0,939.0,55.0,16554.0,99.0,325.0,4963.0,803.0,370.0,0.0,689.0,12259.0,456.0,119.0,590.0,85.0,14862.0,19.0,106.0,159.0,2262.0,2676.0,42.0
812,34.0,0.0,11475.0,16933.0,288.0,434.0,72.0,11123.0,12271.0,123.0,32.0,108.0,396.0,7005.0,16449.0,30.0,1136.0,16352.0,12268.0,86.0,245.0,3.0,110.0,1.0,20007.0,1076.0,14882.0,18666.0,2.0,4178.0
861,10.0,27.0,1189.0,33.0,658.0,9806.0,726.0,3.0,10563.0,17951.0,1383.0,272.0,15970.0,7469.0,53.0,1040.0,118.0,953.0,46.0,1.0,12253.0,58.0,161.0,501.0,36.0,581.0,13966.0,2109.0,48.0,585.0
910,394.0,0.0,7.0,920.0,64.0,52.0,12236.0,11081.0,41.0,13292.0,577.0,2274.0,17601.0,129.0,20.0,15380.0,8100.0,387.0,12252.0,485.0,16286.0,1093.0,44.0,31.0,2120.0,139.0,14898.0,1135.0,181.0,10.0
959,2.0,3.0,84.0,661.0,6.0,604.0,1673.0,11137.0,791.0,13371.0,75.0,3108.0,1696.0,5837.0,16431.0,1220.0,251.0,16332.0,12.0,89.0,291.0,118.0,1821.0,4.0,19964.0,316.0,14847.0,18625.0,142.0,136.0
1008,4.0,111.0,1.0,769.0,83.0,8951.0,14.0,11082.0,28.0,13319.0,16553.0,1019.0,17675.0,103.0,16434.0,50.0,7585.0,76.0,79.0,8.0,60.0,7807.0,546.0,9.0,34.0,23.0,14914.0,18622.0,4304.0,3380.0
1057,0.0,285.0,10.0,16946.0,17.0,9272.0,961.0,953.0,12355.0,13417.0,8.0,24.0,173.0,5969.0,16457.0,261.0,56.0,302.0,12354.0,3.0,1.0,18.0,7145.0,14866.0,2001.0,143.0,124.0,962.0,4166.0,78.0
1106,2395.0,11.0,3.0,103.0,1052.0,363.0,419.0,115.0,316.0,13421.0,16586.0,3354.0,17698.0,1165.0,16461.0,28.0,21.0,16366.0,12292.0,0.0,462.0,8355.0,13.0,137.0,20011.0,421.0,14899.0,930.0,3669.0,101.0
1155,16.0,42.0,47.0,16937.0,69.0,9284.0,12288.0,106.0,12285.0,13412.0,818.0,517.0,17694.0,213.0,23.0,199.0,1253.0,16354.0,12284.0,154.0,638.0,326.0,761.0,14886.0,1579.0,37.0,14894.0,561.0,51.0,4301.0
1204,57.0,26.0,5.0,16945.0,3096.0,214.0,12353.0,1221.0,12329.0,378.0,269.0,230.0,73.0,5954.0,624.0,51.0,210.0,16310.0,12302.0,5878.0,305.0,8330.0,37.0,79.0,19993.0,669.0,15011.0,330.0,78.0,3097.0
1253,147.0,325.0,30.0,16794.0,1651.0,33.0,1189.0,11114.0,99.0,13308.0,1426.0,17.0,1178.0,96.0,65.0,7.0,8382.0,16275.0,3.0,1487.0,1709.0,8314.0,149.0,990.0,19931.0,16862.0,14964.0,1019.0,4145.0,4020.0
1302,50.0,11323.0,11526.0,16807.0,75.0,18.0,158.0,11101.0,12258.0,13344.0,86.0,27.0,1195.0,28.0,553.0,15468.0,8375.0,76.0,12257.0,763.0,1420.0,8310.0,1023.0,14980.0,19950.0,1437.0,14987.0,125.0,14.0,1676.0
1351,12872.0,89.0,12.0,39.0,9.0,84.0,224.0,28.0,12247.0,13301.0,536.0,618.0,2.0,31.0,831.0,236.0,6.0,16327.0,677.0,306.0,16262.0,56.0,172.0,10.0,201.0,257.0,886.0,175.0,3418.0,333.0
1400,17299.0,325.0,6.0,6755.0,26.0,3.0,10829.0,1975.0,10868.0,355.0,2264.0,4.0,257.0,585.0,8.0,298.0,8368.0,23.0,310.0,87.0,12835.0,8536.0,424.0,1.0,64.0,451.0,14257.0,2294.0,769.0,70.0
1449,56.0,0.0,11669.0,947.0,480.0,9159.0,111.0,339.0,87.0,13317.0,1482.0,5.0,17587.0,6364.0,254.0,15485.0,59.0,16.0,109.0,12.0,52.0,565.0,67.0,264.0,893.0,645.0,14948.0,270.0,2267.0,1746.0
1498,53.0,11373.0,1284.0,16937.0,3646.0,1254.0,12274.0,479.0,12273.0,1871.0,16586.0,0.0,17635.0,5929.0,16455.0,15426.0,8155.0,228.0,261.0,5.0,167.0,223.0,1688.0,2178.0,20008.0,1153.0,14878.0,2241.0,24.0,245.0
1547,116.0,11309.0,6.0,692.0,3225.0,406.0,904.0,11089.0,2001.0,23.0,16557.0,0.0,31.0,377.0,1226.0,15502.0,8363.0,19.0,1763.0,5887.0,16262.0,8.0,7163.0,591.0,1153.0,1195.0,198.0,98.0,229.0,937.0
1596,0.0,12698.0,16.0,677.0,4129.0,9587.0,1076.0,127.0,10870.0,13787.0,289.0,496.0,23.0,726.0,3741.0,2178.0,158.0,232.0,1130.0,6330.0,10835.0,261.0,238.0,2208.0,22.0,376.0,1139.0,19355.0,335.0,324.0
1645,7.0,247.0,213.0,16807.0,365.0,10738.0,12023.0,385.0,27.0,487.0,307.0,210.0,1556.0,2186.0,53.0,174.0,8976.0,636.0,12039.0,1904.0,16288.0,9851.0,9336.0,14985.0,699.0,200.0,14930.0,164.0,1144.0,879.0
1694,14.0,18.0,185.0,16926.0,2063.0,9250.0,464.0,11151.0,77.0,31.0,306.0,273.0,112.0,1590.0,0.0,555.0,8362.0,16355.0,12305.0,76.0,16290.0,892.0,650.0,1034.0,276.0,54.0,14886.0,18619.0,486.0,861.0
1743,2.0,11341.0,11526.0,16924.0,303.0,9277.0,24.0,105.0,12318.0,1172.0,16573.0,3486.0,453.0,5082.0,7.0,12.0,14.0,16349.0,12295.0,2083.0,6.0,1176.0,733.0,31.0,133.0,983.0,14977.0,18627.0,65.0,4590.0
1792,0.0,11341.0,11454.0,16916.0,13.0,9783.0,161.0,11087.0,163.0,13353.0,195.0,9.0,1756.0,1249.0,17.0,15514.0,67.0,610.0,12251.0,433.0,1060.0,2036.0,388.0,1535.0,132.0,180.0,14970.0,18676.0,16.0,347.0
1841,23.0,171.0,439.0,158.0,2319.0,59.0,69.0,11170.0,373.0,13401.0,16573.0,919.0,92.0,6692.0,16448.0,15386.0,8371.0,63.0,12328.0,2307.0,344.0,338.0,24.0,301.0,789.0,3.0,14882.0,18606.0,4200.0,50.0
1890,0.0,11274.0,7.0,83.0,4156.0,60.0,104.0,1202.0,100.0,13312.0,11.0,50.0,101.0,6684.0,44.0,554.0,8306.0,1367.0,243.0,384.0,61.0,8245.0,1821.0,30.0,20425.0,542.0,1.0,18715.0,989.0,495.0
1939,2.0,11267.0,27.0,85.0,28.0,9208.0,12240.0,463.0,12216.0,94.0,61.0,53.0,601.0,1533.0,847.0,2208.0,439.0,16312.0,2066.0,5563.0,812.0,282.0,18.0,14946.0,1584.0,1957.0,485.0,81.0,3.0,4114.0
1988,34.0,3.0,11530.0,1285.0,4192.0,190.0,12357.0,14.0,26.0,823.0,90.0,2110.0,911.0,327.0,110.0,0.0,447.0,195.0,54.0,364.0,385.0,345.0,7163.0,355.0,637.0,1029.0,14869.0,27.0,2384.0,938.0
2037,115.0,48.0,12575.0,2052.0,8.0,297.0,383.0,164.0,831.0,49.0,19.0,1137.0,152.0,7443.0,11890.0,13994.0,109.0,292.0,29.0,7517.0,8549.0,8669.0,213.0,87.0,2282.0,10866.0,14178.0,235.0,505.0,132.0
2086,29.0,11339.0,124.0,1210.0,1.0,48.0,12335.0,11123.0,393.0,28.0,676.0,4.0,324.0,1205.0,1050.0,2.0,13.0,18.0,448.0,269.0,80.0,22.0,118.0,14996.0,20011.0,16858.0,859.0,7.0,76.0,16.0
2135,237.0,11375.0,11531.0,3.0,36.0,16.0,0.0,90.0,2.0,506.0,16604.0,271.0,121.0,260.0,47.0,69.0,120.0,1655.0,98.0,5913.0,31.0,111.0,7655.0,14899.0,6.0,16907.0,55.0,200.0,3591.0,3225.0
2184,103.0,2006.0,2043.0,16941.0,31.0,9290.0,71.0,192.0,227.0,13380.0,78.0,2.0,17637.0,6981.0,694.0,25.0,8399.0,351.0,221.0,26.0,757.0,113.0,13.0,58.0,148.0,16892.0,15003.0,18675.0,70.0,304.0
2233,4.0,11577.0,338.0,28.0,5.0,13.0,1246.0,23.0,228.0,13339.0,16582.0,7.0,17624.0,2265.0,395.0,1.0,84.0,16360.0,1212.0,22.0,1037.0,105.0,1259.0,2.0,3.0,16866.0,14996.0,18616.0,39.0,91.0
2282,6.0,11355.0,75.0,24.0,9.0,5.0,16.0,44.0,26.0,2067.0,1611.0,30.0,776.0,205.0,27.0,51.0,11.0,54.0,230.0,5903.0,16353.0,95.0,281.0,812.0,0.0,589.0,29.0,18668.0,4172.0,1.0
2331,25.0,88.0,481.0,27.0,11.0,40.0,18.0,51.0,2142.0,406.0,16573.0,3961.0,887.0,1047.0,72.0,22.0,1696.0,28.0,198.0,1350.0,322.0,8330.0,2318.0,778.0,292.0,16883.0,14889.0,533.0,1540.0,4259.0
2380,35.0,133.0,11513.0,5.0,31.0,9282.0,423.0,4.0,117.0,165.0,2.0,336.0,17702.0,5965.0,15.0,44.0,54.0,395.0,303.0,670.0,633.0,63.0,1306.0,697.0,12.0,2232.0,197.0,0.0,3.0,1.0
2429,0.0,11364.0,11477.0,16938.0,2637.0,2251.0,5.0,10.0,41.0,13340.0,42.0,3341.0,304.0,12.0,138.0,3.0,536.0,1072.0,176.0,110.0,16292.0,8324.0,7628.0,14999.0,134.0,440.0,220.0,18642.0,39.0,2638.0
2478,1.0,19.0,395.0,0.0,65.0,29.0,110.0,1282.0,32.0,79.0,63.0,400.0,17617.0,101.0,16437.0,14.0,2312.0,16342.0,11.0,226.0,746.0,5.0,2345.0,157.0,17.0,351.0,108.0,940.0,27.0,115.0
2527,4.0,873.0,182.0,1411.0,763.0,2204.0,106.0,26.0,67.0,1.0,0.0,3694.0,116.0,1507.0,16422.0,86.0,239.0,1275.0,6.0,403.0,205.0,20.0,2361.0,1369.0,17.0,54.0,365.0,63.0,3741.0,3842.0
2576,368.0,610.0,11849.0,16893.0,2250.0,202.0,12646.0,248.0,295.0,209.0,45.0,150.0,17648.0,274.0,1724.0,3.0,1296.0,324.0,2.0,64.0,65.0,16.0,9282.0,6.0,950.0,2208.0,748.0,18737.0,2261.0,3843.0
2625,1.0,140.0,950.0,16.0,131.0,1989.0,33.0,4.0,693.0,12.0,17.0,185.0,17708.0,5976.0,16454.0,2.0,8416.0,16377.0,6.0,5955.0,87.0,8115.0,2042.0,3.0,473.0,16880.0,657.0,2386.0,18.0,3263.0
2674,5.0,188.0,548.0,16952.0,948.0,746.0,80.0,1909.0,12364.0,544.0,18.0,68.0,17702.0,21.0,16426.0,93.0,8409.0,16374.0,33.0,6497.0,229.0,46.0,206.0,30.0,39.0,16901.0,71.0,2265.0,4052.0,3594.0
2723,0.0,872.0,2198.0,2.0,1434.0,9311.0,14.0,11214.0,12363.0,332.0,16568.0,491.0,17689.0,31.0,16445.0,85.0,7.0,16346.0,13.0,2273.0,83.0,158.0,508.0,1.0,1040.0,16883.0,99.0,172.0,21.0,25.0
2772,7.0,11383.0,748.0,950.0,238.0,154.0,12326.0,433.0,12304.0,13.0,225.0,3669.0,17678.0,24.0,2329.0,15415.0,8413.0,609.0,0.0,103.0,315.0,275.0,7162.0,183.0,214.0,16892.0,14874.0,135.0,6.0,2349.0
2821,60.0,11350.0,179.0,123.0,2376.0,9248.0,302.0,102.0,1176.0,13423.0,164.0,943.0,17695.0,5968.0,16460.0,558.0,610.0,968.0,34.0,9.0,1079.0,7842.0,7133.0,1311.0,3.0,532.0,329.0,107.0,4184.0,3231.0
2870,2.0,11340.0,11536.0,69.0,290.0,9286.0,1.0,1525.0,123.0,13347.0,12.0,832.0,17626.0,5909.0,16423.0,15421.0,8402.0,16346.0,300.0,5930.0,152.0,8329.0,2194.0,864.0,0.0,134.0,14879.0,214.0,1230.0,1712.0
2919,111.0,453.0,8300.0,18.0,3901.0,7.0,531.0,751.0,2.0,14.0,78.0,1103.0,13.0,6343.0,16414.0,15.0,9625.0,1700.0,253.0,142.0,1271.0,8.0,897.0,244.0,53.0,2196.0,279.0,246.0,562.0,3902.0
2968,7.0,217.0,11502.0,1126.0,1617.0,3.0,344.0,11078.0,110.0,57.0,1293.0,382.0,17633.0,5035.0,15.0,340.0,8355.0,16321.0,707.0,6598.0,16254.0,364.0,565.0,66.0,19950.0,911.0,68.0,18735.0,2317.0,2045.0
3017,67.0,37.0,153.0,32.0,4126.0,65.0,11536.0,24.0,40.0,42.0,15.0,33.0,393.0,4818.0,2066.0,419.0,10022.0,16341.0,11530.0,3093.0,1557.0,9545.0,9400.0,14983.0,3.0,306.0,14990.0,18634.0,3793.0,204.0
3066,3.0,11303.0,25.0,99.0,18.0,176.0,103.0,11087.0,31.0,5.0,16392.0,3993.0,17607.0,462.0,839.0,6.0,805.0,633.0,12240.0,5746.0,0.0,174.0,1058.0,38.0,440.0,263.0,73.0,18596.0,62.0,957.0
3115,7.0,154.0,11520.0,29.0,26.0,9260.0,12313.0,24.0,84.0,827.0,16559.0,433.0,345.0,11.0,717.0,15397.0,342.0,697.0,12311.0,5649.0,252.0,318.0,413.0,114.0,19930.0,75.0,36.0,18625.0,109.0,3222.0
3164,14.0,5.0,289.0,43.0,3206.0,68.0,144.0,81.0,83.0,13332.0,16538.0,11.0,17686.0,128.0,960.0,15410.0,8368.0,16336.0,12327.0,242.0,180.0,7821.0,7108.0,1495.0,2067.0,1265.0,18.0,21.0,2295.0,1090.0
3213,178.0,19.0,314.0,41.0,792.0,99.0,994.0,1.0,215.0,3.0,91.0,825.0,17625.0,106.0,490.0,15407.0,9771.0,16343.0,1329.0,3076.0,150.0,8.0,9121.0,2038.0,19940.0,81.0,14924.0,551.0,2295.0,4154.0
3262,17300.0,10.0,12904.0,393.0,1024.0,114.0,17.0,3874.0,52.0,0.0,634.0,1587.0,227.0,548.0,59.0,12.0,111.0,704.0,10947.0,343.0,11.0,395.0,234.0,441.0,660.0,4690.0,14251.0,19332.0,2478.0,4216.0
3311,812.0,1.0,85.0,9.0,3819.0,5.0,1805.0,0.0,27.0,2.0,1462.0,1554.0,193.0,25.0,16433.0,12.0,8343.0,16338.0,12310.0,5856.0,1641.0,8352.0,7085.0,522.0,279.0,24.0,594.0,4.0,1166.0,3818.0
3360,17.0,3.0,20.0,24.0,1093.0,15.0,12349.0,11195.0,495.0,356.0,16597.0,9.0,560.0,442.0,25.0,22.0,226.0,1561.0,1620.0,2306.0,42.0,795.0,7163.0,1139.0,19997.0,16886.0,14937.0,91.0,458.0,399.0
3409,682.0,53.0,114.0,164.0,4110.0,15.0,897.0,248.0,24.0,34.0,16546.0,3837.0,710.0,356.0,103.0,177.0,8318.0,16322.0,20.0,1115.0,52.0,38.0,388.0,14954.0,555.0,100.0,374.0,499.0,3826.0,4109.0
3458,6.0,225.0,11537.0,170.0,74.0,1793.0,12302.0,38.0,264.0,28.0,1337.0,3687.0,4.0,5943.0,14.0,15519.0,69.0,16361.0,12279.0,0.0,1527.0,3.0,144.0,885.0,11.0,624.0,15016.0,79.0,179.0,4141.0
3507,90.0,11322.0,11522.0,408.0,101.0,49.0,131.0,1176.0,515.0,13327.0,16560.0,730.0,17622.0,544.0,4.0,11.0,2.0,144.0,357.0,5890.0,66.0,8309.0,151.0,14980.0,39.0,16883.0,14920.0,1.0,3335.0,8.0
3556,17.0,104.0,261.0,245.0,10.0,2.0,321.0,1266.0,71.0,14.0,36.0,3919.0,17616.0,904.0,12.0,15497.0,3.0,43.0,86.0,2305.0,16257.0,143.0,7561.0,933.0,1230.0,1786.0,14993.0,27.0,1160.0,24.0
3605,12932.0,8.0,0.0,262.0,4239.0,23.0,11999.0,10.0,1396.0,84.0,592.0,1342.0,17663.0,3310.0,634.0,614.0,2165.0,310.0,11992.0,346.0,16320.0,558.0,26.0,14998.0,1056.0,16832.0,14940.0,1027.0,3893.0,547.0
3654,32.0,234.0,91.0,991.0,74.0,1530.0,2182.0,250.0,336.0,4.0,340.0,661.0,468.0,5907.0,44.0,15423.0,71.0,1183.0,982.0,209.0,16289.0,7.0,0.0,14871.0,49.0,16887.0,14888.0,2280.0,3216.0,621.0
3703,2.0,26.0,11464.0,43.0,889.0,44.0,12260.0,27.0,2164.0,13358.0,16448.0,2987.0,3.0,1100.0,486.0,15516.0,175.0,2167.0,873.0,5894.0,16291.0,37.0,7.0,14.0,9.0,133.0,15010.0,18633.0,355.0,342.0
3752,0.0,11724.0,17.0,4.0,3156.0,8649.0,12550.0,678.0,12547.0,13355.0,838.0,48.0,18.0,5985.0,87.0,2402.0,7315.0,606.0,692.0,612.0,907.0,10.0,252.0,1488.0,20011.0,777.0,14883.0,1962.0,2368.0,3157.0
3801,3.0,2308.0,128.0,190.0,869.0,316.0,406.0,11121.0,12284.0,13362.0,2.0,122.0,17630.0,6758.0,649.0,1058.0,263.0,636.0,736.0,140.0,714.0,63.0,138.0,87.0,183.0,16880.0,15013.0,18730.0,3603.0,3714.0
3850,1244.0,1356.0,11456.0,16921.0,3.0,65.0,12244.0,11093.0,12242.0,13343.0,17.0,16.0,162.0,5.0,1.0,60.0,148.0,179.0,2176.0,6845.0,1909.0,135.0,660.0,9.0,99.0,554.0,498.0,18675.0,29.0,1071.0
3899,1344.0,323.0,61.0,9.0,782.0,9260.0,12314.0,862.0,12311.0,375.0,16562.0,1295.0,17609.0,6455.0,93.0,15396.0,522.0,440.0,1653.0,1032.0,16284.0,7829.0,817.0,241.0,19942.0,2013.0,14923.0,18621.0,4202.0,111.0
3948,36.0,28.0,11500.0,16.0,628.0,9742.0,34.0,11144.0,111.0,113.0,1846.0,1.0,97.0,1804.0,946.0,15415.0,941.0,16349.0,12299.0,6692.0,16284.0,8308.0,7615.0,2167.0,20003.0,40.0,14878.0,1137.0,0.0,23.0
3997,129.0,11553.0,160.0,37.0,1047.0,26.0,12305.0,158.0,12303.0,13344.0,433.0,1119.0,981.0,8.0,16426.0,148.0,882.0,16329.0,12301.0,6612.0,16264.0,7823.0,272.0,127.0,2262.0,232.0,145.0,2256.0,4100.0,124.0
4046,73.0,1.0,385.0,16.0,14.0,1087.0,12272.0,11.0,182.0,992.0,1683.0,3586.0,59.0,5942.0,16430.0,15391.0,2.0,16348.0,419.0,187.0,533.0,8316.0,1562.0,14876.0,2083.0,1357.0,10.0,295.0,0.0,6.0
4095,659.0,682.0,38.0,133.0,0.0,356.0,465.0,457.0,11945.0,710.0,1097.0,104.0,292.0,41.0,16435.0,44.0,7.0,16314.0,125.0,199.0,16273.0,158.0,108.0,14978.0,910.0,87.0,1.0,857.0,144.0,1223.0
4144,14.0,11467.0,132.0,17.0,99.0,288.0,12353.0,11186.0,12351.0,120.0,16582.0,3117.0,880.0,348.0,1969.0,1467.0,6.0,140.0,167.0,5922.0,16296.0,8330.0,7137.0,1185.0,20012.0,20.0,1.0,1403.0,503.0,51.0
4193,12961.0,7.0,36.0,78.0,4015.0,386.0,12016.0,10669.0,11993.0,27.0,28.0,3723.0,2302.0,9.0,16433.0,15417.0,349.0,1028.0,90.0,3254.0,1137.0,9836.0,761.0,14996.0,936.0,133.0,15024.0,18.0,1362.0,651.0
4242,2266.0,85.0,46.0,751.0,4607.0,208.0,12340.0,11180.0,12337.0,550.0,16588.0,3234.0,238.0,2.0,16419.0,2262.0,8349.0,59.0,12312.0,5060.0,820.0,7847.0,52.0,296.0,2084.0,51.0,129.0,722.0,158.0,6.0
4291,5.0,2.0,162.0,572.0,14.0,46.0,480.0,813.0,12322.0,438.0,16358.0,320.0,140.0,1024.0,16403.0,15533.0,16.0,1418.0,12320.0,471.0,16310.0,7829.0,458.0,0.0,19954.0,1370.0,15009.0,1216.0,3745.0,2216.0
4340,12959.0,18.0,235.0,56.0,4495.0,9745.0,12343.0,144.0,12340.0,13349.0,702.0,120.0,402.0,24.0,16435.0,15418.0,1.0,203.0,12339.0,2319.0,165.0,8078.0,7603.0,14994.0,20009.0,16901.0,123.0,18677.0,4219.0,180.0
4389,18.0,3.0,11516.0,246.0,10.0,832.0,361.0,94.0,12316.0,210.0,377.0,8.0,9.0,17.0,125.0,15541.0,2247.0,339.0,938.0,944.0,16274.0,8274.0,296.0,0.0,1402.0,1214.0,598.0,2162.0,20.0,1917.0
4438,6.0,474.0,8091.0,0.0,844.0,8655.0,299.0,317.0,184.0,852.0,1593.0,3615.0,595.0,6413.0,112.0,15388.0,1387.0,96.0,11683.0,6400.0,323.0,9576.0,2259.0,603.0,14.0,174.0,895.0,2286.0,3599.0,3713.0
4487,0.0,11332.0,11527.0,2038.0,6.0,448.0,12272.0,94.0,1137.0,3.0,937.0,678.0,61.0,5894.0,16425.0,514.0,140.0,16353.0,469.0,152.0,2145.0,8085.0,380.0,14869.0,739.0,2182.0,51.0,2297.0,7.0,3479.0
4536,0.0,53.0,476.0,4228.0,8.0,209.0,34.0,572.0,10475.0,701.0,59.0,2769.0,1.0,457.0,125.0,14460.0,8458.0,660.0,20.0,2234.0,3.0,8617.0,8049.0,13934.0,21393.0,11126.0,45.0,23215.0,871.0,991.0
4585,0.0,9.0,24.0,30.0,4.0,33.0,12355.0,308.0,12354.0,47.0,1023.0,4227.0,2.0,96.0,16438.0,451.0,8377.0,16356.0,51.0,6644.0,16294.0,8321.0,7610.0,365.0,20015.0,16899.0,61.0,1543.0,153.0,4502.0
4634,1.0,111.0,347.0,1351.0,92.0,9229.0,195.0,42.0,12328.0,872.0,0.0,2677.0,9.0,4941.0,16433.0,15466.0,8347.0,77.0,170.0,866.0,288.0,175.0,7124.0,14993.0,2061.0,16827.0,75.0,165.0,2708.0,357.0
4683,533.0,316.0,208.0,411.0,4.0,9263.0,12277.0,11120.0,12275.0,13351.0,126.0,3574.0,1.0,830.0,5.0,2240.0,8369.0,2.0,37.0,23.0,30.0,44.0,0.0,310.0,560.0,65.0,14995.0,320.0,3673.0,167.0
4732,547.0,94.0,133.0,1642.0,226.0,1442.0,52.0,61.0,1467.0,6.0,103.0,629.0,14.0,77.0,199.0,2309.0,19.0,558.0,2.0,365.0,1485.0,115.0,15.0,14998.0,1684.0,965.0,444.0,1271.0,286.0,2051.0
4781,148.0,11350.0,205.0,16940.0,23.0,9254.0,12348.0,197.0,0.0,40.0,9.0,4212.0,118.0,286.0,7.0,15400.0,705.0,28.0,4.0,54.0,16299.0,8330.0,308.0,12.0,20025.0,234.0,1963.0,398.0,92.0,760.0
