,GOLGA6L10_AMP,LOC390660_AMP,HLA-H_DEL,PTEN_DEL,ETS1_DEL,NF1_MUT,DMRTA1_DEL,EYA1_DEL,GUCY2C_MUT,BRAF.V600E_MUT,IQSEC3_DEL,FAM21A_DEL,PCCB_DEL,B4GALNT3_DEL,BRAF_MUT,GALC_DEL,ADAM5_DEL,EYS_DEL,CDKN2B_DEL,DICER1_MUT,LOC100506776_AMP,ST8SIA1_DEL,GRM5_DEL,CDKN2B-AS1_DEL,GPR112_MUT,TRIM49_DEL,ELAVL2_DEL,LOC284344_DEL,BBS9_DEL,SORD_AMP
2429,61.0,8.0,0.0,41.0,46.0,1549.0,2565.0,17.0,11.0,437.0,10944.0,3796.0,10433.0,349.0,607.0,137.0,63.0,4817.0,2761.0,1035.0,15847.0,8696.0,12.0,43.0,16591.0,140.0,6.0,7.0,183.0,230.0
2478,84.0,79.0,773.0,2716.0,245.0,0.0,794.0,1419.0,22.0,2194.0,594.0,2831.0,2693.0,807.0,1253.0,1302.0,2612.0,16.0,2125.0,986.0,1164.0,8342.0,34.0,665.0,100.0,11940.0,5607.0,238.0,69.0,29.0
2527,16.0,545.0,13.0,3.0,0.0,773.0,12.0,251.0,429.0,21082.0,11001.0,1637.0,86.0,394.0,16952.0,498.0,1.0,2.0,802.0,108.0,1719.0,1323.0,2987.0,526.0,16602.0,12276.0,5120.0,6280.0,34.0,23495.0
2576,2.0,38.0,14.0,1777.0,27.0,4.0,1.0,16.0,5.0,958.0,102.0,25.0,650.0,44.0,15.0,29.0,5363.0,389.0,131.0,16673.0,1372.0,11851.0,6446.0,19214.0,16598.0,39.0,5010.0,62.0,1784.0,318.0
2625,934.0,605.0,417.0,218.0,236.0,56.0,1244.0,31.0,550.0,21133.0,862.0,490.0,146.0,3833.0,2769.0,6933.0,11.0,1588.0,2865.0,1705.0,390.0,154.0,3.0,132.0,258.0,8638.0,551.0,210.0,168.0,1392.0
2674,154.0,15592.0,9.0,7.0,28.0,53.0,3.0,1070.0,90.0,285.0,2122.0,34.0,15.0,70.0,2693.0,111.0,36.0,1.0,21034.0,163.0,236.0,11877.0,4.0,2547.0,2739.0,8.0,5371.0,215.0,16.0,37.0
2723,4.0,688.0,25.0,8.0,2781.0,150.0,11885.0,10.0,128.0,2234.0,351.0,54.0,163.0,78.0,5.0,605.0,1346.0,323.0,181.0,2111.0,15785.0,301.0,247.0,578.0,16629.0,1265.0,1424.0,321.0,102.0,48.0
2772,736.0,64.0,513.0,256.0,7170.0,16523.0,14.0,104.0,0.0,2728.0,2065.0,18.0,1228.0,7008.0,50.0,136.0,58.0,2851.0,3.0,88.0,15796.0,8.0,1665.0,231.0,61.0,12265.0,126.0,1.0,20.0,6.0
2821,49.0,210.0,54.0,12776.0,21.0,50.0,19.0,2849.0,6.0,2243.0,25.0,196.0,352.0,882.0,135.0,264.0,565.0,204.0,2694.0,564.0,218.0,16.0,31.0,290.0,39.0,2574.0,1688.0,147.0,2.0,2492.0
2870,34.0,520.0,3149.0,12309.0,8.0,2553.0,2806.0,75.0,2674.0,117.0,30.0,649.0,453.0,933.0,145.0,19.0,244.0,16.0,21241.0,131.0,15852.0,275.0,27.0,19687.0,98.0,59.0,622.0,146.0,29.0,23713.0
2919,1.0,496.0,490.0,33.0,1926.0,1624.0,240.0,5859.0,2.0,133.0,3439.0,26.0,201.0,2310.0,66.0,6886.0,1006.0,28.0,893.0,16671.0,313.0,68.0,102.0,18748.0,0.0,12279.0,1524.0,352.0,716.0,23483.0
2968,2.0,419.0,4276.0,33.0,1438.0,11.0,71.0,128.0,550.0,21073.0,3496.0,1283.0,143.0,999.0,16971.0,299.0,155.0,3.0,515.0,16675.0,706.0,11906.0,3524.0,17.0,58.0,179.0,77.0,6280.0,92.0,2446.0
3017,275.0,15636.0,65.0,30.0,5164.0,14.0,353.0,5046.0,143.0,8.0,156.0,90.0,154.0,132.0,16985.0,43.0,466.0,3751.0,45.0,558.0,70.0,87.0,1148.0,18687.0,0.0,2.0,5095.0,330.0,444.0,1205.0
3066,17.0,161.0,3235.0,9.0,73.0,194.0,886.0,15.0,299.0,57.0,4084.0,47.0,11279.0,7033.0,19.0,1072.0,2.0,1.0,14.0,1010.0,593.0,266.0,85.0,60.0,0.0,539.0,2633.0,6315.0,3.0,2721.0
