,ETV4,TMC6,TOR4A,RP11-973F15.1,RP11-93B14.5,MBP,SPRY2,ALX4,GPR137,ENAH,CTD-2231H16.1,C16orf87,RP11-236F9.2,EML1,CTSE,RNF125,KRBA1,DBN1,SOGA1,SLCO4A1,ARHGAP33,C15orf59,DUSP6,DNAJB2,ETV5,SHISA9,KLF3,LEMD2,NPAS2,OSBPL11
1967,0.0,149.0,9.0,4.0,2.0,15.0,10.0,33.0,168.0,28.0,29.0,94.0,58.0,61.0,17547.0,11964.0,1235.0,63.0,38.0,5.0,11083.0,2543.0,641.0,13196.0,16.0,2499.0,13.0,152.0,1.0,14188.0
2016,0.0,3.0,1.0,35.0,171.0,21.0,11.0,4672.0,28.0,19.0,5.0,104.0,71.0,44.0,17548.0,11977.0,19064.0,6.0,40.0,110.0,11078.0,3176.0,523.0,13201.0,112.0,2664.0,335.0,22978.0,2.0,25.0
2065,1.0,59.0,0.0,18.0,353.0,15.0,7.0,4206.0,29.0,19.0,4.0,2582.0,53.0,24.0,17545.0,11969.0,18856.0,26.0,52.0,47.0,11080.0,3175.0,128.0,13165.0,265.0,2658.0,236.0,22742.0,60.0,14440.0
2114,0.0,74.0,4.0,14.0,21.0,34.0,16.0,4691.0,6.0,31.0,1.0,2587.0,10.0,7.0,17702.0,11980.0,84.0,8.0,40.0,103.0,11090.0,3220.0,83.0,13198.0,187.0,77.0,13727.0,22748.0,100.0,182.0
2163,0.0,55.0,2.0,35.0,26.0,10.0,5.0,4684.0,3.0,31.0,1.0,170.0,4.0,13.0,17678.0,11982.0,19050.0,71.0,22.0,1157.0,11087.0,241.0,5181.0,13211.0,24.0,36.0,13494.0,22741.0,12911.0,454.0
2212,0.0,11603.0,3.0,5.0,32.0,30.0,13.0,43.0,49.0,19.0,25.0,6.0,66.0,2.0,17662.0,11975.0,18948.0,1.0,34.0,90.0,187.0,3156.0,44.0,13197.0,26.0,83.0,67.0,22736.0,12939.0,427.0
2261,0.0,2.0,1.0,6.0,22.0,11803.0,10.0,14.0,7.0,29.0,44.0,2576.0,8.0,13.0,17616.0,905.0,19063.0,140.0,5.0,55.0,145.0,3170.0,43.0,9.0,12.0,2673.0,219.0,178.0,63.0,14199.0
2310,0.0,3.0,4.0,1.0,17.0,11684.0,25.0,220.0,24.0,33.0,18.0,2549.0,6.0,13.0,17558.0,11855.0,19076.0,21152.0,19.0,7.0,8.0,321.0,49.0,671.0,133.0,2665.0,13732.0,40.0,12.0,340.0
2359,0.0,24.0,48.0,9.0,16.0,11776.0,28.0,3852.0,3584.0,39.0,53.0,10095.0,3.0,2.0,57.0,42.0,349.0,21229.0,61.0,10.0,11.0,7.0,34.0,13369.0,13.0,2672.0,1038.0,44.0,8.0,14206.0
2408,0.0,49.0,2.0,67.0,51.0,29.0,22.0,314.0,4592.0,34.0,21578.0,285.0,40.0,11.0,31.0,28.0,74.0,52.0,41.0,6882.0,11103.0,5.0,6222.0,70.0,12.0,103.0,876.0,53.0,6.0,105.0
2457,0.0,11603.0,24.0,22.0,18.0,11824.0,1789.0,4675.0,562.0,86.0,21578.0,21.0,19996.0,2.0,7.0,59.0,19049.0,21098.0,680.0,6914.0,11122.0,3185.0,87.0,76.0,5.0,54.0,44.0,22746.0,12938.0,709.0
2506,0.0,14.0,24.0,25.0,80.0,3.0,8.0,21.0,288.0,17369.0,32.0,2.0,19981.0,1.0,28.0,34.0,19068.0,167.0,6420.0,6898.0,845.0,29.0,5213.0,13204.0,46.0,239.0,13625.0,22863.0,12986.0,417.0
2555,0.0,2.0,14.0,52.0,72.0,5.0,9.0,4.0,8.0,7.0,21599.0,3.0,106.0,33.0,17560.0,20.0,170.0,17.0,6399.0,6888.0,211.0,60.0,5200.0,13182.0,44.0,2658.0,13622.0,22743.0,12984.0,14449.0
2604,0.0,47.0,2.0,718.0,9.0,7.0,19.0,16.0,5.0,93.0,21611.0,106.0,20000.0,3.0,17564.0,11.0,109.0,21127.0,6395.0,6900.0,11093.0,38.0,68.0,13185.0,104.0,2375.0,13733.0,22747.0,12944.0,66.0
2653,0.0,2.0,19188.0,25.0,582.0,126.0,19.0,4.0,52.0,531.0,71.0,36.0,20015.0,1.0,17678.0,6.0,148.0,21097.0,6413.0,248.0,11104.0,21.0,1086.0,401.0,96.0,1482.0,13493.0,22750.0,12946.0,74.0
2702,0.0,3.0,19206.0,18134.0,74.0,81.0,5.0,6.0,45.0,17409.0,21542.0,2.0,173.0,1.0,17549.0,17.0,18815.0,21116.0,6368.0,1170.0,11067.0,389.0,5083.0,13160.0,12.0,2662.0,13480.0,22766.0,12965.0,8.0
2751,0.0,3.0,1.0,42.0,6919.0,11825.0,36.0,22.0,4.0,127.0,31.0,7.0,19985.0,2.0,33.0,14.0,19086.0,21100.0,6434.0,21.0,15.0,8.0,5216.0,13187.0,14582.0,76.0,312.0,22981.0,12962.0,111.0
2800,0.0,1.0,37.0,5.0,18.0,11701.0,38.0,17.0,16.0,17365.0,45.0,11.0,20015.0,2.0,8.0,7.0,19074.0,21126.0,6392.0,10.0,15.0,26.0,5194.0,121.0,14552.0,85.0,13489.0,22733.0,12928.0,14216.0
2849,0.0,1.0,19186.0,7.0,23.0,11814.0,64.0,4647.0,9.0,20.0,3.0,6.0,851.0,3129.0,34.0,2.0,19082.0,39.0,101.0,26.0,14.0,4.0,191.0,73.0,14585.0,68.0,13497.0,22749.0,12950.0,14327.0
2898,15.0,0.0,10.0,3.0,1.0,292.0,7.0,4695.0,8.0,17422.0,2.0,44.0,19996.0,4.0,39.0,5.0,78.0,40.0,6419.0,9.0,11114.0,29.0,5224.0,13175.0,14588.0,2683.0,13612.0,22750.0,12986.0,14327.0
2947,1.0,3.0,0.0,12.0,29.0,11798.0,4.0,4380.0,396.0,83.0,21603.0,17.0,36.0,1656.0,15.0,11966.0,26.0,399.0,6405.0,1141.0,11110.0,41.0,44.0,13179.0,273.0,120.0,13698.0,22738.0,118.0,9.0
2996,0.0,11590.0,17.0,1.0,20.0,65.0,2.0,706.0,3552.0,91.0,21575.0,510.0,12.0,1267.0,10.0,317.0,16.0,71.0,6380.0,6871.0,11090.0,27.0,9.0,348.0,263.0,55.0,25.0,22742.0,3.0,184.0
3045,11.0,0.0,10.0,18135.0,7.0,11778.0,34.0,4666.0,3543.0,104.0,21529.0,82.0,1.0,3030.0,13.0,11991.0,8.0,21108.0,12.0,644.0,70.0,51.0,29.0,13192.0,421.0,2657.0,397.0,22758.0,79.0,3.0
3094,17.0,0.0,3.0,18359.0,33.0,11818.0,24.0,69.0,1142.0,124.0,21601.0,28.0,14.0,16.0,17558.0,11987.0,35.0,21096.0,519.0,1202.0,5.0,42.0,11.0,13200.0,8.0,101.0,13621.0,84.0,31.0,2.0
3143,13.0,2.0,116.0,131.0,26.0,16.0,52.0,50.0,204.0,91.0,21605.0,2588.0,0.0,1444.0,164.0,23.0,44.0,21095.0,6417.0,6905.0,41.0,3177.0,20.0,288.0,168.0,114.0,246.0,74.0,11.0,4.0
3192,71.0,0.0,5.0,18128.0,1.0,11752.0,1665.0,88.0,3813.0,44.0,159.0,2584.0,3.0,1431.0,17569.0,38.0,11.0,70.0,559.0,6892.0,17.0,98.0,4.0,15.0,54.0,68.0,13744.0,7.0,2.0,55.0
3241,1.0,4.0,39.0,18371.0,26.0,3.0,34.0,4696.0,15.0,42.0,130.0,2627.0,2.0,1409.0,96.0,11990.0,18.0,31.0,6407.0,6895.0,32.0,45.0,12.0,11.0,7.0,76.0,13716.0,30.0,8.0,0.0
3290,1.0,33.0,31.0,18379.0,67.0,36.0,194.0,4744.0,26.0,17.0,57.0,73.0,0.0,1340.0,17689.0,59.0,2.0,38.0,6405.0,6907.0,11127.0,118.0,9.0,28.0,257.0,5.0,13768.0,55.0,11.0,12.0
3339,5.0,6.0,14.0,2.0,1.0,23.0,225.0,4816.0,22.0,15.0,48.0,53.0,3.0,28.0,17707.0,11844.0,0.0,12.0,7081.0,8762.0,62.0,44.0,16.0,10.0,350.0,38.0,13751.0,22986.0,8.0,11.0
3388,1.0,10.0,37.0,3.0,9.0,11672.0,24.0,289.0,30.0,5.0,29.0,8.0,43.0,57.0,294.0,46.0,45.0,0.0,6378.0,6863.0,41.0,21.0,17.0,16.0,20.0,7.0,125.0,22976.0,81.0,61.0
3437,1.0,3.0,2.0,0.0,4.0,30.0,5.0,4674.0,154.0,47.0,21614.0,2572.0,41.0,1507.0,17562.0,29.0,7.0,153.0,9.0,790.0,125.0,24.0,5197.0,107.0,121.0,2644.0,245.0,22980.0,12980.0,8.0
3486,11.0,35.0,1.0,0.0,76.0,24.0,23.0,5.0,3574.0,32.0,21598.0,2604.0,38.0,478.0,7.0,458.0,34.0,21087.0,93.0,6905.0,61.0,20.0,5216.0,4.0,110.0,2.0,48.0,40.0,12947.0,9.0
3535,15.0,3.0,2.0,0.0,8.0,21.0,12.0,11.0,108.0,9.0,21535.0,2599.0,1.0,1405.0,17553.0,11991.0,40.0,21115.0,63.0,146.0,48.0,32.0,5193.0,14.0,14578.0,7.0,13486.0,26.0,239.0,50.0
3584,2.0,6.0,12.0,0.0,10.0,33.0,32.0,29.0,187.0,1.0,21542.0,2587.0,3.0,1521.0,170.0,11972.0,7.0,347.0,37.0,75.0,11081.0,21.0,5195.0,90.0,290.0,2672.0,342.0,49.0,163.0,31.0
3633,1.0,71.0,9.0,0.0,3.0,5.0,31.0,11.0,3826.0,6.0,21576.0,1491.0,34.0,3056.0,18.0,11988.0,49.0,21101.0,36.0,28.0,293.0,2508.0,5225.0,13223.0,14598.0,2468.0,455.0,7.0,132.0,25.0
3682,1.0,13.0,4.0,0.0,21.0,2.0,374.0,6.0,53.0,11.0,21556.0,10092.0,29.0,971.0,17666.0,11975.0,86.0,21109.0,50.0,83.0,5.0,3164.0,829.0,13172.0,101.0,55.0,30.0,32.0,12891.0,17.0
3731,9.0,11588.0,1.0,2.0,6.0,4.0,190.0,0.0,4973.0,33.0,63.0,28.0,5.0,1303.0,17564.0,20.0,14.0,21097.0,82.0,69.0,11.0,3271.0,49.0,13182.0,14576.0,270.0,39.0,22743.0,7.0,23.0
3780,13.0,703.0,2.0,0.0,1.0,4.0,1736.0,10.0,3537.0,17359.0,21531.0,20.0,3.0,54.0,261.0,599.0,15.0,21112.0,1002.0,27.0,65.0,2831.0,39.0,13188.0,14573.0,3375.0,13481.0,11.0,8.0,23.0
3829,1.0,11568.0,3.0,0.0,2.0,34.0,21.0,50.0,3522.0,38.0,20.0,27.0,5.0,31.0,17545.0,11962.0,530.0,81.0,85.0,7.0,62.0,3136.0,16.0,12244.0,74.0,2652.0,12.0,116.0,22.0,14.0
3878,11.0,11569.0,4.0,2.0,25.0,14.0,1750.0,42.0,3556.0,111.0,34.0,20.0,0.0,15.0,17676.0,31.0,153.0,52.0,145.0,5.0,3.0,3191.0,23.0,1.0,100.0,2637.0,39.0,16.0,9.0,29.0
3927,18.0,7.0,2.0,9.0,12.0,11793.0,99.0,4684.0,3553.0,26.0,0.0,2596.0,15.0,1386.0,87.0,25.0,6.0,21090.0,57.0,6895.0,34.0,3177.0,5221.0,4.0,14579.0,131.0,5.0,74.0,63.0,825.0
3976,44.0,0.0,5.0,6.0,7.0,11683.0,132.0,15.0,16.0,52.0,1.0,51.0,3.0,592.0,96.0,2.0,19.0,99.0,88.0,421.0,8.0,3198.0,5208.0,13208.0,14587.0,2670.0,4.0,22764.0,45.0,527.0
4025,21.0,0.0,33.0,5.0,4.0,11684.0,1994.0,56.0,3542.0,17365.0,1.0,6.0,7.0,54.0,11.0,2.0,10.0,21088.0,79.0,6894.0,11088.0,698.0,5180.0,139.0,277.0,99.0,71.0,22736.0,12915.0,49.0
