,C36:1 DAG,C22:6 LPE,2-deoxycytidine,guanosine,5-HIAA,C22:6 CE,C16:0 LPE,C36:4 PC-B,hypoxanthine,glutamine,DHAP/glyceraldehyde 3P,GABA,inosine,taurodeoxycholate,inositol,putrescine,alpha-glycerophosphate,3-phosphoglycerate,C20:4 CE,PEP,N-carbamoyl-beta-alanine,creatine,serotonin,homocysteine,pantothenate,cystathionine,C22:6 LPC,C18:0 LPC,C34:2 DAG,1-methylnicotinamide
515,3.0,16.0,4.0,8.0,0.0,15.0,11.0,22.0,31.0,13.0,47.0,7.0,38.0,43.0,2.0,1.0,26.0,5.0,25.0,14.0,10.0,55.0,35.0,9.0,19.0,27.0,24.0,39.0,46.0,42.0
564,2.0,12.0,17.0,5.0,1.0,3.0,10.0,8.0,14.0,30.0,60.0,33.0,29.0,7.0,24.0,11.0,21.0,6.0,16.0,9.0,38.0,20.0,49.0,18.0,0.0,27.0,23.0,44.0,19.0,13.0
613,5.0,64.0,7.0,20.0,3.0,15.0,1.0,6.0,13.0,10.0,40.0,2.0,17.0,21.0,8.0,4.0,0.0,37.0,14.0,11.0,60.0,49.0,59.0,19.0,12.0,32.0,26.0,36.0,61.0,33.0
662,0.0,34.0,6.0,16.0,31.0,14.0,15.0,1.0,11.0,23.0,57.0,37.0,27.0,24.0,5.0,7.0,35.0,20.0,29.0,63.0,10.0,47.0,56.0,13.0,49.0,38.0,4.0,46.0,33.0,30.0
711,25.0,15.0,6.0,7.0,3.0,0.0,1.0,11.0,17.0,47.0,44.0,33.0,48.0,24.0,4.0,9.0,14.0,16.0,20.0,22.0,21.0,23.0,36.0,38.0,5.0,2.0,8.0,18.0,31.0,26.0
760,3.0,29.0,4.0,7.0,32.0,5.0,0.0,8.0,18.0,22.0,41.0,9.0,16.0,28.0,19.0,33.0,1.0,2.0,25.0,13.0,37.0,23.0,44.0,6.0,11.0,14.0,10.0,61.0,54.0,17.0
809,15.0,42.0,0.0,22.0,7.0,9.0,3.0,13.0,10.0,11.0,66.0,6.0,20.0,31.0,8.0,5.0,17.0,4.0,23.0,1.0,14.0,51.0,12.0,37.0,2.0,30.0,26.0,44.0,45.0,28.0
858,0.0,19.0,10.0,26.0,15.0,6.0,7.0,13.0,18.0,51.0,38.0,23.0,2.0,1.0,17.0,9.0,29.0,5.0,21.0,3.0,31.0,49.0,25.0,4.0,42.0,12.0,8.0,47.0,11.0,44.0
907,7.0,10.0,0.0,31.0,12.0,14.0,16.0,15.0,2.0,5.0,17.0,3.0,19.0,1.0,13.0,11.0,28.0,9.0,18.0,8.0,30.0,21.0,35.0,26.0,4.0,6.0,45.0,23.0,22.0,27.0
956,2.0,5.0,3.0,19.0,15.0,7.0,1.0,13.0,60.0,40.0,44.0,30.0,32.0,54.0,33.0,4.0,17.0,22.0,56.0,31.0,23.0,16.0,55.0,0.0,8.0,6.0,14.0,26.0,9.0,50.0
1005,3.0,5.0,1.0,4.0,6.0,22.0,7.0,10.0,17.0,35.0,2.0,38.0,9.0,31.0,26.0,50.0,25.0,20.0,16.0,24.0,29.0,8.0,11.0,15.0,18.0,0.0,21.0,13.0,43.0,19.0
1054,0.0,25.0,14.0,12.0,4.0,2.0,15.0,29.0,24.0,32.0,17.0,1.0,45.0,21.0,18.0,11.0,5.0,20.0,6.0,10.0,27.0,50.0,23.0,19.0,35.0,58.0,7.0,55.0,8.0,26.0
1103,0.0,5.0,2.0,15.0,1.0,9.0,6.0,11.0,42.0,29.0,38.0,22.0,34.0,24.0,4.0,20.0,3.0,57.0,8.0,23.0,12.0,16.0,19.0,10.0,25.0,17.0,52.0,49.0,13.0,14.0
1152,16.0,7.0,0.0,10.0,6.0,33.0,2.0,1.0,9.0,28.0,5.0,3.0,23.0,17.0,20.0,12.0,30.0,52.0,11.0,25.0,13.0,8.0,55.0,34.0,29.0,21.0,27.0,58.0,4.0,24.0
1201,2.0,6.0,10.0,9.0,0.0,3.0,1.0,24.0,7.0,36.0,42.0,5.0,16.0,15.0,14.0,13.0,4.0,39.0,29.0,28.0,18.0,8.0,54.0,17.0,21.0,45.0,23.0,38.0,12.0,19.0
1250,10.0,6.0,5.0,9.0,3.0,11.0,7.0,43.0,55.0,30.0,4.0,1.0,8.0,26.0,2.0,29.0,17.0,39.0,37.0,52.0,40.0,22.0,12.0,13.0,0.0,33.0,21.0,23.0,19.0,50.0
1299,0.0,2.0,7.0,34.0,9.0,17.0,4.0,23.0,18.0,3.0,1.0,10.0,22.0,12.0,25.0,20.0,8.0,14.0,5.0,6.0,11.0,32.0,58.0,46.0,43.0,31.0,36.0,39.0,15.0,51.0
1348,1.0,3.0,0.0,7.0,21.0,13.0,17.0,44.0,28.0,11.0,18.0,12.0,2.0,35.0,15.0,46.0,9.0,50.0,4.0,10.0,16.0,6.0,37.0,8.0,26.0,48.0,29.0,25.0,14.0,39.0
1397,0.0,3.0,2.0,7.0,16.0,6.0,4.0,38.0,17.0,10.0,34.0,18.0,1.0,9.0,54.0,47.0,5.0,14.0,19.0,41.0,8.0,11.0,42.0,28.0,39.0,12.0,36.0,29.0,43.0,59.0
1446,4.0,3.0,1.0,8.0,2.0,20.0,25.0,24.0,36.0,53.0,0.0,13.0,39.0,45.0,5.0,22.0,64.0,60.0,15.0,31.0,18.0,11.0,23.0,6.0,19.0,50.0,9.0,26.0,29.0,17.0
1495,7.0,5.0,6.0,24.0,21.0,4.0,2.0,3.0,0.0,37.0,1.0,26.0,9.0,15.0,22.0,47.0,46.0,17.0,36.0,18.0,8.0,14.0,19.0,10.0,39.0,48.0,16.0,13.0,51.0,62.0
1544,4.0,10.0,9.0,23.0,29.0,19.0,24.0,7.0,21.0,1.0,0.0,30.0,18.0,6.0,17.0,26.0,63.0,45.0,11.0,41.0,12.0,16.0,22.0,39.0,32.0,64.0,3.0,8.0,38.0,36.0
1593,26.0,7.0,0.0,9.0,53.0,4.0,3.0,17.0,11.0,46.0,2.0,6.0,14.0,15.0,1.0,25.0,45.0,49.0,59.0,27.0,10.0,44.0,29.0,24.0,38.0,52.0,12.0,41.0,33.0,21.0
1642,7.0,14.0,6.0,4.0,48.0,2.0,1.0,3.0,8.0,21.0,0.0,42.0,25.0,23.0,5.0,62.0,51.0,19.0,17.0,22.0,30.0,12.0,18.0,20.0,15.0,44.0,24.0,43.0,33.0,27.0
1691,39.0,2.0,8.0,27.0,24.0,10.0,0.0,9.0,22.0,6.0,3.0,15.0,4.0,7.0,1.0,23.0,38.0,54.0,26.0,17.0,41.0,11.0,32.0,55.0,13.0,29.0,21.0,42.0,12.0,60.0
1740,3.0,12.0,11.0,16.0,28.0,0.0,10.0,5.0,13.0,4.0,7.0,39.0,38.0,17.0,2.0,20.0,18.0,14.0,29.0,34.0,8.0,6.0,45.0,9.0,33.0,25.0,1.0,32.0,62.0,59.0
1789,5.0,22.0,3.0,46.0,12.0,2.0,14.0,10.0,0.0,4.0,1.0,6.0,34.0,30.0,17.0,25.0,20.0,29.0,43.0,7.0,24.0,13.0,28.0,8.0,51.0,49.0,33.0,16.0,52.0,37.0
1838,46.0,11.0,0.0,35.0,12.0,16.0,4.0,5.0,57.0,24.0,1.0,14.0,32.0,8.0,3.0,25.0,37.0,20.0,41.0,19.0,29.0,13.0,10.0,6.0,48.0,38.0,23.0,18.0,47.0,30.0
1887,11.0,18.0,3.0,35.0,16.0,15.0,10.0,17.0,8.0,4.0,0.0,1.0,19.0,20.0,6.0,51.0,13.0,7.0,21.0,12.0,30.0,50.0,23.0,14.0,36.0,47.0,28.0,24.0,54.0,37.0
1936,1.0,24.0,4.0,7.0,37.0,49.0,20.0,5.0,13.0,3.0,0.0,9.0,29.0,21.0,10.0,16.0,47.0,11.0,18.0,6.0,23.0,19.0,2.0,8.0,27.0,56.0,15.0,12.0,39.0,14.0
1985,0.0,22.0,1.0,11.0,12.0,14.0,17.0,43.0,5.0,2.0,23.0,46.0,8.0,3.0,10.0,34.0,30.0,4.0,26.0,7.0,32.0,18.0,53.0,6.0,24.0,19.0,15.0,58.0,38.0,33.0
2034,1.0,8.0,0.0,3.0,21.0,2.0,22.0,20.0,7.0,4.0,10.0,5.0,6.0,19.0,18.0,15.0,14.0,33.0,17.0,39.0,29.0,64.0,66.0,9.0,44.0,24.0,35.0,30.0,53.0,48.0
2083,1.0,4.0,28.0,23.0,31.0,0.0,3.0,37.0,10.0,7.0,6.0,35.0,21.0,40.0,2.0,24.0,8.0,9.0,41.0,12.0,14.0,48.0,5.0,15.0,52.0,43.0,18.0,50.0,16.0,34.0
2132,0.0,11.0,1.0,8.0,9.0,5.0,10.0,13.0,6.0,3.0,17.0,46.0,40.0,30.0,4.0,32.0,20.0,15.0,25.0,19.0,16.0,55.0,37.0,24.0,22.0,12.0,21.0,23.0,7.0,62.0
2181,1.0,5.0,0.0,3.0,2.0,12.0,17.0,44.0,10.0,8.0,6.0,24.0,28.0,16.0,19.0,22.0,7.0,51.0,9.0,52.0,14.0,43.0,37.0,53.0,45.0,13.0,49.0,39.0,23.0,26.0
2230,1.0,4.0,18.0,29.0,13.0,9.0,22.0,11.0,17.0,2.0,5.0,44.0,27.0,16.0,0.0,8.0,12.0,21.0,20.0,7.0,31.0,51.0,40.0,3.0,25.0,41.0,28.0,47.0,34.0,43.0
2279,0.0,5.0,1.0,29.0,6.0,16.0,11.0,38.0,39.0,4.0,15.0,49.0,7.0,36.0,17.0,28.0,3.0,37.0,19.0,12.0,2.0,24.0,54.0,14.0,10.0,34.0,13.0,59.0,21.0,53.0
2328,0.0,6.0,4.0,31.0,5.0,7.0,10.0,15.0,14.0,28.0,1.0,17.0,12.0,3.0,55.0,16.0,40.0,22.0,26.0,33.0,30.0,38.0,24.0,25.0,23.0,29.0,9.0,19.0,20.0,32.0
2377,0.0,2.0,5.0,32.0,29.0,3.0,21.0,18.0,14.0,30.0,7.0,12.0,4.0,13.0,11.0,9.0,10.0,22.0,1.0,63.0,8.0,23.0,40.0,19.0,51.0,6.0,31.0,48.0,28.0,34.0
2426,0.0,2.0,13.0,36.0,4.0,15.0,5.0,11.0,16.0,1.0,3.0,26.0,17.0,18.0,10.0,31.0,24.0,23.0,7.0,8.0,38.0,64.0,21.0,9.0,25.0,35.0,6.0,30.0,42.0,29.0
2475,1.0,4.0,40.0,3.0,0.0,16.0,14.0,5.0,18.0,10.0,55.0,6.0,7.0,33.0,27.0,8.0,9.0,23.0,13.0,15.0,31.0,19.0,44.0,53.0,2.0,17.0,59.0,21.0,22.0,32.0
2524,13.0,9.0,21.0,1.0,3.0,29.0,11.0,12.0,6.0,18.0,0.0,2.0,7.0,22.0,36.0,4.0,48.0,20.0,8.0,15.0,32.0,30.0,54.0,24.0,17.0,14.0,26.0,19.0,34.0,41.0
2573,1.0,6.0,7.0,0.0,2.0,27.0,14.0,20.0,41.0,8.0,17.0,18.0,13.0,29.0,22.0,4.0,21.0,5.0,25.0,30.0,36.0,19.0,3.0,52.0,23.0,10.0,53.0,45.0,37.0,32.0
2622,0.0,2.0,3.0,1.0,8.0,19.0,20.0,4.0,16.0,24.0,17.0,5.0,9.0,21.0,32.0,18.0,6.0,48.0,49.0,10.0,51.0,25.0,7.0,14.0,12.0,39.0,50.0,43.0,29.0,13.0
2671,0.0,4.0,5.0,6.0,16.0,30.0,10.0,18.0,43.0,1.0,13.0,2.0,8.0,15.0,19.0,26.0,29.0,50.0,3.0,32.0,9.0,21.0,7.0,11.0,14.0,51.0,59.0,22.0,24.0,48.0
2720,1.0,4.0,8.0,0.0,5.0,14.0,11.0,29.0,25.0,23.0,10.0,12.0,2.0,16.0,44.0,7.0,30.0,20.0,6.0,18.0,19.0,15.0,60.0,47.0,24.0,26.0,52.0,13.0,3.0,22.0
2769,1.0,6.0,15.0,5.0,2.0,0.0,18.0,7.0,63.0,48.0,25.0,9.0,16.0,56.0,31.0,4.0,3.0,8.0,10.0,40.0,45.0,24.0,42.0,23.0,13.0,34.0,61.0,14.0,11.0,12.0
2818,3.0,4.0,8.0,1.0,2.0,7.0,12.0,9.0,52.0,35.0,27.0,0.0,6.0,16.0,17.0,15.0,40.0,5.0,55.0,39.0,23.0,19.0,56.0,30.0,34.0,10.0,36.0,20.0,29.0,37.0
2867,3.0,2.0,30.0,0.0,20.0,13.0,11.0,1.0,12.0,42.0,14.0,6.0,9.0,19.0,25.0,7.0,16.0,35.0,28.0,15.0,21.0,45.0,17.0,8.0,5.0,38.0,52.0,49.0,29.0,48.0
2916,3.0,7.0,18.0,6.0,8.0,2.0,14.0,5.0,1.0,55.0,11.0,0.0,16.0,44.0,43.0,4.0,13.0,64.0,37.0,19.0,27.0,10.0,9.0,31.0,25.0,20.0,52.0,34.0,29.0,45.0
2965,1.0,20.0,5.0,2.0,18.0,9.0,11.0,10.0,4.0,6.0,40.0,22.0,0.0,7.0,50.0,16.0,12.0,34.0,3.0,28.0,21.0,25.0,8.0,32.0,43.0,17.0,14.0,15.0,55.0,37.0
3014,16.0,25.0,15.0,14.0,37.0,17.0,4.0,21.0,11.0,1.0,3.0,48.0,0.0,8.0,52.0,24.0,2.0,22.0,5.0,54.0,10.0,19.0,12.0,13.0,7.0,6.0,20.0,29.0,35.0,32.0
3063,1.0,6.0,0.0,44.0,22.0,10.0,4.0,45.0,12.0,2.0,15.0,33.0,9.0,39.0,47.0,25.0,3.0,5.0,21.0,16.0,11.0,49.0,17.0,28.0,19.0,8.0,13.0,36.0,26.0,18.0
3112,0.0,8.0,19.0,54.0,3.0,11.0,1.0,18.0,16.0,9.0,4.0,27.0,21.0,5.0,12.0,15.0,2.0,25.0,30.0,14.0,28.0,26.0,17.0,50.0,51.0,13.0,7.0,33.0,23.0,66.0
3161,0.0,8.0,16.0,1.0,26.0,7.0,23.0,15.0,13.0,6.0,5.0,29.0,2.0,34.0,18.0,4.0,12.0,10.0,56.0,63.0,35.0,9.0,14.0,52.0,30.0,37.0,21.0,3.0,11.0,39.0
3210,0.0,11.0,21.0,13.0,1.0,5.0,8.0,24.0,9.0,6.0,4.0,20.0,14.0,2.0,12.0,10.0,3.0,23.0,15.0,53.0,42.0,28.0,22.0,27.0,17.0,43.0,18.0,7.0,16.0,29.0
3259,0.0,2.0,25.0,1.0,16.0,7.0,12.0,11.0,33.0,8.0,4.0,20.0,14.0,39.0,15.0,5.0,9.0,19.0,46.0,43.0,10.0,50.0,18.0,24.0,6.0,3.0,26.0,30.0,29.0,45.0
3308,0.0,36.0,5.0,2.0,6.0,14.0,15.0,12.0,28.0,10.0,3.0,58.0,1.0,7.0,39.0,16.0,9.0,11.0,17.0,22.0,55.0,41.0,18.0,44.0,4.0,42.0,8.0,20.0,49.0,43.0
3357,1.0,4.0,8.0,21.0,2.0,6.0,0.0,30.0,47.0,9.0,16.0,42.0,28.0,55.0,11.0,10.0,3.0,14.0,25.0,18.0,34.0,15.0,7.0,39.0,20.0,19.0,12.0,35.0,36.0,44.0
3406,2.0,10.0,4.0,51.0,7.0,5.0,6.0,21.0,12.0,0.0,20.0,43.0,9.0,19.0,11.0,3.0,1.0,14.0,59.0,41.0,15.0,23.0,8.0,33.0,63.0,39.0,34.0,40.0,17.0,13.0
3455,4.0,5.0,11.0,6.0,2.0,1.0,8.0,28.0,10.0,24.0,23.0,38.0,36.0,30.0,15.0,12.0,0.0,55.0,21.0,50.0,16.0,14.0,56.0,29.0,22.0,31.0,33.0,13.0,27.0,18.0
3504,8.0,1.0,19.0,0.0,6.0,7.0,2.0,17.0,10.0,11.0,31.0,25.0,51.0,16.0,34.0,21.0,26.0,32.0,14.0,5.0,12.0,15.0,35.0,30.0,3.0,20.0,49.0,13.0,58.0,28.0
3553,0.0,1.0,27.0,7.0,4.0,2.0,3.0,8.0,41.0,54.0,52.0,11.0,40.0,15.0,6.0,5.0,10.0,38.0,13.0,23.0,18.0,28.0,22.0,25.0,16.0,66.0,37.0,34.0,49.0,44.0
3602,0.0,12.0,20.0,4.0,16.0,9.0,1.0,10.0,13.0,49.0,22.0,7.0,50.0,2.0,3.0,5.0,48.0,19.0,28.0,30.0,31.0,55.0,17.0,8.0,23.0,11.0,41.0,38.0,25.0,14.0
3651,15.0,13.0,23.0,0.0,1.0,12.0,2.0,21.0,5.0,3.0,7.0,10.0,46.0,22.0,14.0,4.0,16.0,9.0,20.0,8.0,44.0,41.0,6.0,57.0,17.0,26.0,48.0,18.0,36.0,47.0
3700,1.0,18.0,9.0,19.0,10.0,0.0,2.0,16.0,11.0,7.0,14.0,22.0,30.0,40.0,21.0,8.0,6.0,39.0,5.0,35.0,27.0,63.0,28.0,12.0,4.0,24.0,43.0,34.0,23.0,31.0
3749,1.0,9.0,26.0,0.0,5.0,2.0,3.0,30.0,10.0,4.0,58.0,18.0,17.0,6.0,31.0,24.0,11.0,13.0,61.0,42.0,39.0,51.0,49.0,45.0,12.0,20.0,50.0,7.0,21.0,15.0
3798,0.0,19.0,22.0,10.0,3.0,2.0,11.0,9.0,7.0,28.0,16.0,25.0,24.0,14.0,5.0,23.0,43.0,8.0,1.0,6.0,27.0,46.0,30.0,34.0,35.0,53.0,48.0,21.0,40.0,12.0
3847,1.0,17.0,2.0,0.0,19.0,18.0,4.0,12.0,43.0,6.0,28.0,34.0,22.0,11.0,26.0,13.0,8.0,24.0,16.0,3.0,14.0,33.0,52.0,47.0,53.0,15.0,36.0,37.0,7.0,10.0
3896,0.0,32.0,2.0,19.0,14.0,10.0,11.0,12.0,1.0,6.0,48.0,4.0,30.0,28.0,25.0,8.0,3.0,15.0,9.0,43.0,20.0,16.0,52.0,5.0,23.0,13.0,53.0,26.0,17.0,38.0
3945,3.0,0.0,4.0,25.0,14.0,2.0,27.0,1.0,12.0,10.0,30.0,17.0,7.0,8.0,18.0,6.0,29.0,19.0,9.0,5.0,22.0,35.0,23.0,16.0,51.0,15.0,28.0,32.0,36.0,58.0
3994,20.0,4.0,0.0,31.0,1.0,3.0,30.0,5.0,13.0,7.0,25.0,39.0,2.0,8.0,21.0,18.0,45.0,24.0,15.0,12.0,37.0,10.0,6.0,41.0,17.0,59.0,28.0,9.0,11.0,55.0
4043,3.0,2.0,0.0,25.0,14.0,1.0,15.0,17.0,48.0,4.0,13.0,23.0,7.0,19.0,22.0,11.0,34.0,18.0,12.0,31.0,28.0,29.0,42.0,30.0,36.0,10.0,41.0,21.0,40.0,35.0
4092,0.0,4.0,3.0,7.0,10.0,1.0,50.0,5.0,6.0,13.0,23.0,43.0,2.0,14.0,29.0,39.0,24.0,37.0,25.0,22.0,15.0,34.0,26.0,20.0,65.0,27.0,54.0,35.0,12.0,8.0
4141,3.0,2.0,26.0,10.0,52.0,0.0,20.0,6.0,38.0,27.0,1.0,45.0,4.0,8.0,36.0,59.0,31.0,16.0,5.0,14.0,9.0,7.0,30.0,17.0,22.0,25.0,12.0,15.0,51.0,24.0
4190,2.0,1.0,0.0,13.0,33.0,6.0,34.0,3.0,5.0,18.0,10.0,57.0,28.0,7.0,4.0,46.0,35.0,25.0,21.0,22.0,50.0,12.0,17.0,19.0,26.0,8.0,23.0,9.0,53.0,32.0
4239,1.0,0.0,2.0,22.0,11.0,4.0,20.0,7.0,8.0,16.0,47.0,31.0,3.0,17.0,34.0,29.0,12.0,13.0,28.0,24.0,49.0,18.0,38.0,5.0,45.0,9.0,46.0,26.0,32.0,56.0
4288,0.0,11.0,1.0,25.0,3.0,12.0,28.0,8.0,14.0,52.0,18.0,24.0,31.0,43.0,17.0,54.0,9.0,33.0,2.0,32.0,41.0,5.0,13.0,10.0,27.0,48.0,35.0,6.0,15.0,53.0
4337,1.0,0.0,33.0,21.0,8.0,5.0,43.0,2.0,12.0,10.0,22.0,18.0,13.0,17.0,27.0,49.0,39.0,9.0,15.0,24.0,44.0,32.0,19.0,36.0,50.0,3.0,25.0,29.0,34.0,41.0
4386,0.0,6.0,3.0,27.0,7.0,4.0,17.0,1.0,2.0,19.0,9.0,46.0,22.0,47.0,20.0,33.0,34.0,8.0,5.0,13.0,32.0,16.0,49.0,12.0,41.0,10.0,14.0,18.0,30.0,24.0
4435,3.0,2.0,0.0,13.0,11.0,1.0,5.0,8.0,17.0,15.0,6.0,12.0,19.0,4.0,10.0,35.0,44.0,9.0,25.0,14.0,28.0,23.0,27.0,39.0,16.0,54.0,26.0,7.0,52.0,21.0
4484,5.0,0.0,6.0,2.0,4.0,18.0,32.0,10.0,12.0,13.0,19.0,25.0,1.0,8.0,3.0,45.0,63.0,9.0,29.0,39.0,26.0,15.0,27.0,47.0,37.0,55.0,53.0,7.0,17.0,22.0
4533,9.0,13.0,6.0,0.0,10.0,2.0,31.0,32.0,40.0,55.0,3.0,15.0,35.0,16.0,20.0,24.0,44.0,25.0,4.0,43.0,1.0,11.0,33.0,61.0,42.0,38.0,5.0,12.0,34.0,27.0
4582,0.0,8.0,3.0,11.0,5.0,23.0,34.0,4.0,28.0,12.0,17.0,15.0,27.0,19.0,2.0,9.0,54.0,38.0,10.0,25.0,1.0,41.0,14.0,33.0,6.0,53.0,43.0,13.0,51.0,7.0
4631,20.0,0.0,7.0,10.0,2.0,13.0,8.0,22.0,32.0,36.0,11.0,12.0,18.0,4.0,6.0,14.0,25.0,26.0,29.0,46.0,33.0,1.0,16.0,40.0,23.0,17.0,24.0,3.0,43.0,27.0
4680,0.0,1.0,2.0,4.0,10.0,21.0,13.0,3.0,29.0,40.0,14.0,12.0,16.0,8.0,28.0,7.0,11.0,61.0,5.0,19.0,9.0,30.0,25.0,56.0,38.0,27.0,37.0,31.0,23.0,6.0
4729,6.0,2.0,14.0,0.0,27.0,9.0,26.0,13.0,1.0,45.0,19.0,8.0,11.0,5.0,4.0,37.0,35.0,12.0,44.0,30.0,15.0,16.0,7.0,60.0,61.0,57.0,17.0,3.0,55.0,33.0
4778,4.0,0.0,8.0,3.0,1.0,2.0,47.0,15.0,41.0,44.0,7.0,14.0,6.0,10.0,17.0,16.0,32.0,11.0,23.0,12.0,18.0,9.0,5.0,63.0,31.0,20.0,35.0,21.0,33.0,24.0
4827,2.0,1.0,7.0,6.0,35.0,4.0,10.0,23.0,5.0,11.0,17.0,9.0,0.0,37.0,15.0,26.0,62.0,16.0,3.0,56.0,14.0,19.0,8.0,49.0,42.0,44.0,18.0,13.0,50.0,12.0
4876,24.0,12.0,1.0,0.0,3.0,9.0,36.0,20.0,30.0,38.0,4.0,11.0,26.0,34.0,6.0,14.0,41.0,19.0,2.0,21.0,27.0,32.0,23.0,66.0,15.0,47.0,44.0,37.0,29.0,10.0
