,hsa-miR-222,hsa-miR-34a,hsa-miR-223,hsa-miR-582-5p,hsa-miR-135b,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1252,hsa-miR-132,hsa-miR-30d,hsa-miR-508-3p,hsa-miR-383,hsa-miR-204,hsa-miR-584,hsa-miR-662,hsa-miR-1307,hsa-miR-219-2-3p,hsa-miR-205,hsa-miR-412,hsa-miR-34c-5p,hsa-miR-1276,hsa-miR-711,hsa-miR-612,hsa-miR-1282,hsa-miR-616,hsa-miR-26a,hsa-miR-298,hsa-miR-654-3p,hsa-miR-192,hsa-miR-186
507,1.0,0.0,3.0,2.0,5.0,7.0,16.0,4.0,6.0,8.0,25.0,11.0,12.0,24.0,21.0,23.0,41.0,68.0,10.0,9.0,26.0,53.0,82.0,22.0,19.0,44.0,39.0,66.0,17.0,28.0
556,0.0,1.0,2.0,3.0,4.0,5.0,14.0,6.0,15.0,11.0,13.0,10.0,9.0,19.0,46.0,66.0,17.0,27.0,28.0,8.0,7.0,72.0,23.0,26.0,16.0,50.0,71.0,43.0,22.0,24.0
605,0.0,1.0,2.0,3.0,5.0,10.0,6.0,14.0,4.0,7.0,17.0,9.0,11.0,35.0,31.0,12.0,32.0,325.0,13.0,24.0,42.0,53.0,41.0,86.0,37.0,82.0,18.0,85.0,15.0,29.0
654,1.0,0.0,2.0,4.0,3.0,8.0,5.0,9.0,11.0,6.0,16.0,15.0,12.0,27.0,58.0,40.0,31.0,51.0,7.0,10.0,24.0,13.0,25.0,87.0,36.0,61.0,22.0,45.0,43.0,34.0
703,0.0,1.0,2.0,3.0,15.0,5.0,9.0,6.0,7.0,4.0,11.0,10.0,13.0,21.0,8.0,57.0,31.0,43.0,28.0,18.0,58.0,14.0,16.0,372.0,77.0,50.0,32.0,83.0,23.0,26.0
752,0.0,1.0,2.0,5.0,4.0,3.0,6.0,8.0,9.0,15.0,32.0,14.0,11.0,30.0,18.0,19.0,33.0,83.0,7.0,13.0,27.0,16.0,20.0,60.0,21.0,44.0,51.0,117.0,52.0,50.0
801,0.0,1.0,3.0,5.0,2.0,10.0,12.0,7.0,8.0,4.0,30.0,19.0,6.0,32.0,58.0,18.0,62.0,33.0,36.0,22.0,17.0,89.0,23.0,44.0,107.0,49.0,27.0,123.0,13.0,11.0
850,0.0,1.0,2.0,4.0,5.0,3.0,7.0,8.0,6.0,9.0,16.0,18.0,11.0,48.0,43.0,13.0,40.0,21.0,12.0,15.0,32.0,19.0,47.0,17.0,91.0,62.0,22.0,49.0,66.0,28.0
899,0.0,2.0,1.0,4.0,5.0,3.0,7.0,23.0,11.0,6.0,13.0,9.0,12.0,14.0,32.0,24.0,15.0,86.0,8.0,10.0,36.0,75.0,41.0,110.0,38.0,58.0,22.0,81.0,16.0,20.0
948,0.0,1.0,2.0,3.0,4.0,7.0,6.0,26.0,5.0,8.0,17.0,9.0,19.0,20.0,32.0,12.0,31.0,22.0,14.0,11.0,21.0,98.0,40.0,55.0,25.0,36.0,43.0,58.0,47.0,39.0
997,1.0,0.0,7.0,2.0,3.0,4.0,13.0,8.0,5.0,29.0,6.0,15.0,22.0,33.0,14.0,16.0,10.0,24.0,9.0,23.0,32.0,11.0,18.0,48.0,20.0,39.0,60.0,46.0,52.0,19.0
1046,1.0,0.0,10.0,2.0,6.0,3.0,4.0,32.0,5.0,14.0,7.0,23.0,37.0,17.0,8.0,16.0,36.0,80.0,18.0,12.0,47.0,9.0,34.0,13.0,15.0,19.0,57.0,40.0,43.0,28.0
1095,0.0,1.0,4.0,2.0,3.0,5.0,49.0,8.0,21.0,24.0,11.0,17.0,18.0,12.0,9.0,10.0,13.0,26.0,28.0,23.0,22.0,14.0,44.0,64.0,54.0,61.0,36.0,81.0,47.0,46.0
1144,0.0,1.0,5.0,2.0,4.0,3.0,7.0,18.0,8.0,65.0,6.0,34.0,10.0,12.0,13.0,9.0,20.0,40.0,11.0,37.0,26.0,31.0,22.0,21.0,27.0,55.0,105.0,39.0,351.0,62.0
1193,1.0,0.0,7.0,2.0,8.0,3.0,6.0,5.0,4.0,20.0,9.0,18.0,41.0,35.0,10.0,11.0,29.0,102.0,14.0,26.0,49.0,28.0,58.0,15.0,52.0,23.0,27.0,86.0,54.0,40.0
1242,0.0,1.0,9.0,2.0,6.0,5.0,12.0,13.0,3.0,19.0,10.0,18.0,20.0,11.0,8.0,4.0,15.0,47.0,7.0,21.0,41.0,23.0,95.0,16.0,39.0,26.0,61.0,33.0,72.0,31.0
1291,0.0,1.0,4.0,2.0,11.0,3.0,14.0,7.0,5.0,34.0,29.0,33.0,26.0,9.0,28.0,10.0,8.0,19.0,23.0,48.0,27.0,6.0,18.0,30.0,46.0,22.0,65.0,24.0,41.0,85.0
1340,0.0,1.0,4.0,2.0,8.0,3.0,6.0,11.0,5.0,24.0,9.0,15.0,26.0,32.0,10.0,7.0,20.0,17.0,47.0,28.0,77.0,12.0,34.0,23.0,27.0,16.0,14.0,25.0,48.0,33.0
1389,0.0,1.0,8.0,3.0,4.0,2.0,9.0,7.0,6.0,17.0,5.0,12.0,23.0,18.0,26.0,14.0,32.0,33.0,11.0,24.0,21.0,16.0,22.0,13.0,55.0,62.0,80.0,15.0,89.0,65.0
1438,0.0,1.0,4.0,2.0,9.0,3.0,6.0,13.0,7.0,57.0,5.0,20.0,49.0,16.0,35.0,11.0,10.0,15.0,8.0,31.0,87.0,12.0,17.0,41.0,39.0,40.0,72.0,23.0,98.0,28.0
1487,1.0,0.0,3.0,4.0,11.0,2.0,5.0,17.0,6.0,32.0,7.0,49.0,34.0,8.0,13.0,30.0,12.0,42.0,16.0,70.0,53.0,31.0,83.0,23.0,25.0,22.0,468.0,14.0,9.0,350.0
1536,1.0,0.0,2.0,4.0,6.0,3.0,10.0,7.0,12.0,30.0,5.0,9.0,14.0,20.0,54.0,37.0,13.0,39.0,94.0,15.0,51.0,19.0,99.0,83.0,21.0,45.0,56.0,18.0,36.0,95.0
1585,1.0,0.0,4.0,2.0,5.0,3.0,43.0,27.0,6.0,21.0,8.0,66.0,9.0,10.0,20.0,35.0,14.0,39.0,69.0,42.0,25.0,11.0,26.0,49.0,18.0,74.0,91.0,62.0,58.0,47.0
1634,1.0,0.0,4.0,3.0,5.0,2.0,13.0,10.0,14.0,44.0,15.0,9.0,33.0,20.0,6.0,26.0,11.0,50.0,54.0,27.0,29.0,12.0,46.0,35.0,19.0,60.0,106.0,96.0,30.0,62.0
1683,0.0,1.0,4.0,3.0,5.0,2.0,17.0,8.0,7.0,47.0,6.0,20.0,27.0,10.0,14.0,26.0,11.0,25.0,35.0,58.0,64.0,21.0,37.0,77.0,19.0,52.0,89.0,92.0,91.0,70.0
1732,1.0,0.0,3.0,5.0,9.0,2.0,6.0,23.0,4.0,54.0,7.0,13.0,12.0,17.0,8.0,32.0,10.0,25.0,39.0,20.0,28.0,11.0,214.0,401.0,16.0,43.0,73.0,33.0,94.0,74.0
1781,1.0,0.0,2.0,3.0,6.0,4.0,5.0,18.0,21.0,24.0,9.0,13.0,16.0,7.0,11.0,42.0,20.0,32.0,97.0,8.0,41.0,14.0,19.0,371.0,12.0,47.0,31.0,78.0,61.0,318.0
1830,1.0,0.0,3.0,4.0,6.0,2.0,10.0,14.0,7.0,12.0,5.0,22.0,19.0,35.0,13.0,17.0,8.0,24.0,62.0,53.0,40.0,9.0,36.0,58.0,18.0,75.0,487.0,52.0,295.0,78.0
1879,1.0,3.0,4.0,2.0,7.0,0.0,6.0,5.0,10.0,28.0,9.0,21.0,72.0,15.0,43.0,27.0,11.0,14.0,56.0,48.0,47.0,17.0,70.0,51.0,12.0,16.0,490.0,65.0,61.0,50.0
1928,1.0,0.0,6.0,3.0,4.0,2.0,7.0,8.0,5.0,20.0,14.0,28.0,12.0,15.0,11.0,39.0,9.0,29.0,76.0,77.0,36.0,13.0,16.0,50.0,25.0,31.0,47.0,24.0,41.0,94.0
1977,0.0,1.0,3.0,2.0,5.0,6.0,34.0,4.0,20.0,7.0,55.0,33.0,51.0,11.0,86.0,9.0,17.0,12.0,64.0,78.0,22.0,67.0,29.0,8.0,25.0,27.0,66.0,14.0,48.0,19.0
2026,0.0,1.0,2.0,3.0,8.0,4.0,36.0,7.0,32.0,5.0,11.0,20.0,13.0,12.0,24.0,10.0,37.0,18.0,17.0,67.0,30.0,38.0,104.0,16.0,35.0,51.0,40.0,22.0,54.0,6.0
2075,0.0,3.0,2.0,1.0,10.0,4.0,14.0,7.0,6.0,5.0,23.0,54.0,18.0,16.0,29.0,24.0,108.0,62.0,28.0,17.0,66.0,97.0,55.0,21.0,9.0,60.0,75.0,63.0,81.0,8.0
2124,0.0,2.0,3.0,1.0,6.0,4.0,30.0,13.0,14.0,5.0,17.0,44.0,33.0,16.0,23.0,51.0,19.0,10.0,32.0,8.0,57.0,70.0,36.0,11.0,40.0,22.0,52.0,35.0,26.0,9.0
2173,2.0,0.0,3.0,1.0,4.0,8.0,15.0,12.0,23.0,6.0,17.0,57.0,30.0,35.0,13.0,27.0,22.0,7.0,10.0,31.0,79.0,302.0,29.0,18.0,49.0,33.0,21.0,50.0,34.0,11.0
2222,1.0,0.0,3.0,2.0,5.0,6.0,15.0,21.0,14.0,4.0,26.0,34.0,11.0,22.0,8.0,18.0,12.0,9.0,27.0,23.0,45.0,204.0,43.0,10.0,36.0,29.0,71.0,20.0,24.0,7.0
2271,0.0,2.0,5.0,1.0,3.0,7.0,26.0,10.0,24.0,4.0,19.0,41.0,29.0,6.0,13.0,27.0,34.0,30.0,38.0,11.0,21.0,100.0,28.0,22.0,23.0,18.0,66.0,59.0,31.0,12.0
2320,0.0,4.0,2.0,1.0,13.0,5.0,32.0,23.0,17.0,3.0,8.0,16.0,27.0,11.0,6.0,14.0,15.0,24.0,37.0,18.0,61.0,33.0,31.0,26.0,79.0,28.0,48.0,50.0,29.0,7.0
2369,0.0,2.0,3.0,1.0,5.0,4.0,21.0,8.0,35.0,6.0,36.0,97.0,33.0,19.0,25.0,24.0,11.0,9.0,48.0,7.0,40.0,38.0,15.0,22.0,63.0,23.0,58.0,17.0,13.0,12.0
2418,0.0,1.0,3.0,2.0,13.0,4.0,31.0,17.0,7.0,5.0,15.0,59.0,24.0,18.0,12.0,50.0,32.0,11.0,30.0,56.0,37.0,66.0,14.0,6.0,94.0,44.0,52.0,8.0,65.0,16.0
2467,0.0,1.0,9.0,3.0,7.0,5.0,8.0,4.0,2.0,17.0,35.0,10.0,30.0,22.0,33.0,67.0,11.0,40.0,51.0,27.0,6.0,13.0,26.0,12.0,20.0,32.0,15.0,60.0,16.0,65.0
2516,0.0,1.0,5.0,2.0,8.0,4.0,14.0,3.0,6.0,7.0,21.0,9.0,39.0,26.0,11.0,72.0,16.0,38.0,86.0,17.0,32.0,12.0,19.0,18.0,62.0,37.0,28.0,68.0,10.0,53.0
2565,0.0,1.0,2.0,11.0,3.0,14.0,4.0,7.0,13.0,6.0,17.0,8.0,10.0,19.0,31.0,87.0,18.0,37.0,77.0,20.0,5.0,44.0,16.0,24.0,43.0,36.0,12.0,60.0,23.0,52.0
2614,0.0,1.0,3.0,2.0,4.0,7.0,10.0,9.0,8.0,12.0,31.0,6.0,28.0,29.0,5.0,107.0,13.0,11.0,53.0,20.0,17.0,59.0,16.0,19.0,22.0,33.0,14.0,45.0,15.0,25.0
2663,0.0,1.0,7.0,2.0,4.0,3.0,11.0,5.0,20.0,6.0,32.0,8.0,15.0,16.0,10.0,47.0,13.0,26.0,54.0,65.0,9.0,90.0,14.0,17.0,44.0,33.0,12.0,86.0,30.0,37.0
2712,0.0,1.0,2.0,3.0,4.0,5.0,10.0,6.0,8.0,7.0,25.0,9.0,23.0,14.0,13.0,56.0,18.0,26.0,12.0,35.0,27.0,36.0,48.0,17.0,55.0,42.0,16.0,43.0,15.0,33.0
2761,0.0,1.0,3.0,4.0,6.0,2.0,10.0,7.0,17.0,11.0,23.0,5.0,9.0,36.0,12.0,67.0,18.0,22.0,95.0,114.0,13.0,34.0,15.0,29.0,21.0,31.0,8.0,27.0,26.0,70.0
2810,0.0,1.0,3.0,2.0,9.0,8.0,11.0,4.0,13.0,5.0,26.0,18.0,20.0,23.0,6.0,39.0,33.0,56.0,65.0,31.0,14.0,96.0,12.0,10.0,24.0,67.0,28.0,57.0,17.0,22.0
2859,0.0,1.0,5.0,2.0,10.0,11.0,8.0,9.0,4.0,6.0,20.0,7.0,40.0,17.0,3.0,18.0,16.0,14.0,23.0,31.0,12.0,59.0,50.0,15.0,22.0,25.0,13.0,82.0,21.0,45.0
2908,0.0,1.0,5.0,2.0,3.0,11.0,4.0,8.0,6.0,14.0,43.0,7.0,17.0,46.0,10.0,44.0,18.0,12.0,32.0,37.0,9.0,50.0,16.0,33.0,24.0,15.0,19.0,71.0,41.0,30.0
2957,0.0,1.0,2.0,3.0,4.0,6.0,8.0,13.0,7.0,11.0,10.0,14.0,18.0,9.0,15.0,5.0,16.0,33.0,46.0,34.0,76.0,61.0,280.0,416.0,48.0,42.0,75.0,54.0,20.0,30.0
3006,1.0,2.0,0.0,4.0,3.0,10.0,7.0,24.0,29.0,9.0,11.0,19.0,8.0,6.0,36.0,5.0,14.0,28.0,12.0,16.0,35.0,58.0,43.0,102.0,40.0,93.0,96.0,13.0,98.0,323.0
3055,0.0,2.0,1.0,14.0,3.0,15.0,4.0,17.0,28.0,8.0,5.0,27.0,6.0,20.0,30.0,7.0,11.0,10.0,19.0,31.0,13.0,29.0,22.0,63.0,271.0,81.0,35.0,16.0,77.0,53.0
3104,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,9.0,19.0,10.0,11.0,13.0,16.0,28.0,8.0,12.0,73.0,17.0,29.0,35.0,15.0,20.0,39.0,33.0,41.0,24.0,21.0,319.0,42.0
3153,0.0,2.0,1.0,3.0,5.0,12.0,6.0,24.0,7.0,16.0,27.0,15.0,47.0,23.0,13.0,4.0,8.0,17.0,9.0,37.0,122.0,31.0,44.0,61.0,14.0,25.0,68.0,18.0,33.0,50.0
3202,1.0,0.0,4.0,3.0,2.0,10.0,7.0,44.0,18.0,22.0,20.0,13.0,6.0,17.0,30.0,5.0,9.0,15.0,50.0,47.0,31.0,14.0,11.0,34.0,24.0,12.0,49.0,19.0,106.0,35.0
3251,0.0,1.0,2.0,7.0,3.0,8.0,6.0,26.0,12.0,9.0,16.0,21.0,10.0,14.0,52.0,4.0,5.0,15.0,13.0,100.0,36.0,25.0,102.0,120.0,56.0,17.0,19.0,18.0,332.0,23.0
3300,0.0,1.0,3.0,4.0,2.0,19.0,8.0,6.0,51.0,9.0,18.0,27.0,5.0,15.0,117.0,7.0,14.0,17.0,12.0,52.0,11.0,23.0,70.0,81.0,41.0,32.0,25.0,29.0,78.0,36.0
3349,0.0,1.0,2.0,3.0,4.0,6.0,15.0,18.0,10.0,13.0,14.0,16.0,9.0,22.0,95.0,5.0,7.0,50.0,19.0,63.0,21.0,31.0,58.0,429.0,48.0,28.0,40.0,8.0,370.0,30.0
3398,1.0,0.0,2.0,3.0,4.0,7.0,41.0,21.0,8.0,28.0,9.0,18.0,10.0,5.0,11.0,6.0,42.0,17.0,12.0,67.0,64.0,54.0,40.0,83.0,57.0,25.0,14.0,34.0,92.0,74.0
3447,0.0,1.0,2.0,3.0,4.0,11.0,5.0,18.0,16.0,13.0,28.0,17.0,6.0,8.0,9.0,14.0,31.0,19.0,30.0,23.0,26.0,10.0,21.0,32.0,15.0,37.0,22.0,35.0,53.0,58.0
3496,0.0,1.0,2.0,4.0,7.0,3.0,6.0,31.0,16.0,12.0,17.0,33.0,11.0,5.0,9.0,14.0,21.0,13.0,24.0,19.0,54.0,18.0,8.0,50.0,15.0,29.0,22.0,58.0,20.0,25.0
3545,0.0,1.0,2.0,3.0,4.0,8.0,10.0,42.0,27.0,15.0,11.0,35.0,6.0,9.0,7.0,26.0,18.0,5.0,32.0,67.0,38.0,24.0,13.0,80.0,45.0,39.0,40.0,19.0,29.0,16.0
3594,0.0,1.0,2.0,3.0,4.0,10.0,6.0,40.0,12.0,14.0,23.0,11.0,9.0,8.0,19.0,16.0,35.0,7.0,24.0,18.0,17.0,15.0,33.0,65.0,37.0,22.0,51.0,32.0,88.0,79.0
3643,1.0,0.0,2.0,3.0,4.0,8.0,12.0,9.0,29.0,7.0,10.0,17.0,5.0,11.0,69.0,36.0,20.0,35.0,26.0,30.0,15.0,6.0,54.0,50.0,23.0,45.0,28.0,19.0,111.0,46.0
3692,0.0,1.0,6.0,2.0,3.0,8.0,7.0,27.0,13.0,12.0,25.0,15.0,5.0,4.0,10.0,41.0,30.0,18.0,46.0,19.0,28.0,16.0,9.0,63.0,20.0,32.0,44.0,34.0,49.0,61.0
3741,0.0,1.0,4.0,3.0,2.0,5.0,9.0,25.0,10.0,27.0,15.0,21.0,11.0,7.0,6.0,36.0,49.0,18.0,17.0,78.0,8.0,12.0,64.0,46.0,68.0,51.0,40.0,34.0,37.0,43.0
3790,0.0,1.0,3.0,2.0,6.0,8.0,7.0,18.0,12.0,17.0,10.0,29.0,5.0,4.0,16.0,28.0,22.0,20.0,13.0,42.0,43.0,55.0,11.0,63.0,37.0,33.0,9.0,59.0,102.0,53.0
3839,0.0,1.0,2.0,3.0,4.0,9.0,6.0,20.0,21.0,12.0,10.0,17.0,5.0,7.0,18.0,11.0,35.0,30.0,55.0,16.0,19.0,53.0,39.0,38.0,42.0,27.0,45.0,52.0,355.0,13.0
3888,0.0,1.0,2.0,5.0,3.0,16.0,6.0,25.0,15.0,11.0,10.0,9.0,14.0,4.0,8.0,17.0,28.0,18.0,26.0,27.0,49.0,86.0,21.0,78.0,20.0,74.0,36.0,43.0,73.0,44.0
3937,0.0,2.0,3.0,5.0,4.0,1.0,14.0,42.0,10.0,17.0,23.0,13.0,39.0,25.0,6.0,8.0,18.0,34.0,11.0,21.0,15.0,41.0,65.0,63.0,40.0,46.0,113.0,33.0,59.0,12.0
3986,0.0,1.0,4.0,8.0,2.0,7.0,5.0,23.0,6.0,13.0,19.0,11.0,50.0,20.0,3.0,16.0,32.0,91.0,17.0,14.0,31.0,39.0,21.0,10.0,70.0,29.0,64.0,15.0,38.0,25.0
4035,0.0,1.0,2.0,8.0,3.0,4.0,5.0,20.0,6.0,22.0,38.0,13.0,32.0,40.0,7.0,14.0,12.0,25.0,10.0,15.0,24.0,73.0,17.0,16.0,19.0,33.0,54.0,18.0,330.0,29.0
4084,0.0,1.0,2.0,4.0,5.0,12.0,6.0,31.0,3.0,13.0,11.0,22.0,18.0,20.0,10.0,7.0,9.0,69.0,16.0,35.0,14.0,36.0,102.0,17.0,62.0,55.0,81.0,29.0,356.0,23.0
4133,0.0,1.0,2.0,10.0,3.0,4.0,5.0,29.0,6.0,9.0,18.0,39.0,24.0,19.0,14.0,11.0,13.0,71.0,28.0,12.0,17.0,21.0,46.0,22.0,40.0,85.0,467.0,8.0,112.0,35.0
4182,0.0,1.0,2.0,17.0,6.0,3.0,14.0,22.0,15.0,28.0,9.0,5.0,19.0,23.0,30.0,7.0,16.0,101.0,11.0,18.0,40.0,33.0,52.0,49.0,35.0,32.0,99.0,4.0,54.0,38.0
4231,0.0,1.0,3.0,5.0,4.0,2.0,15.0,7.0,8.0,19.0,12.0,13.0,30.0,20.0,23.0,14.0,24.0,43.0,9.0,28.0,6.0,10.0,287.0,11.0,18.0,357.0,487.0,17.0,354.0,41.0
4280,0.0,1.0,2.0,5.0,10.0,8.0,7.0,12.0,4.0,16.0,9.0,25.0,21.0,26.0,11.0,30.0,6.0,24.0,13.0,17.0,20.0,54.0,53.0,22.0,18.0,33.0,68.0,14.0,93.0,55.0
4329,0.0,1.0,3.0,6.0,2.0,7.0,10.0,37.0,4.0,27.0,16.0,11.0,14.0,28.0,5.0,8.0,19.0,30.0,12.0,25.0,13.0,18.0,62.0,26.0,42.0,21.0,58.0,17.0,485.0,22.0
4378,0.0,1.0,2.0,9.0,6.0,3.0,14.0,11.0,4.0,44.0,7.0,12.0,29.0,59.0,25.0,92.0,28.0,10.0,22.0,13.0,15.0,27.0,19.0,20.0,53.0,24.0,90.0,8.0,67.0,52.0
4427,0.0,1.0,3.0,2.0,4.0,6.0,39.0,5.0,15.0,31.0,11.0,25.0,8.0,9.0,17.0,86.0,30.0,7.0,18.0,43.0,42.0,23.0,84.0,20.0,274.0,58.0,10.0,309.0,13.0,335.0
4476,0.0,1.0,4.0,2.0,3.0,15.0,6.0,5.0,13.0,8.0,20.0,26.0,9.0,14.0,10.0,19.0,28.0,21.0,73.0,98.0,30.0,31.0,70.0,24.0,279.0,66.0,7.0,88.0,22.0,61.0
4525,0.0,1.0,3.0,5.0,2.0,9.0,17.0,4.0,19.0,7.0,11.0,6.0,20.0,12.0,114.0,14.0,31.0,13.0,33.0,52.0,15.0,42.0,74.0,28.0,77.0,422.0,18.0,62.0,16.0,96.0
4574,0.0,1.0,3.0,4.0,2.0,8.0,32.0,5.0,10.0,6.0,9.0,20.0,12.0,7.0,35.0,19.0,29.0,14.0,21.0,460.0,42.0,34.0,59.0,51.0,103.0,68.0,25.0,147.0,31.0,40.0
4623,0.0,1.0,4.0,3.0,2.0,13.0,60.0,5.0,9.0,6.0,11.0,25.0,18.0,7.0,22.0,36.0,16.0,15.0,77.0,26.0,40.0,10.0,61.0,23.0,107.0,34.0,63.0,84.0,14.0,47.0
4672,0.0,1.0,4.0,2.0,3.0,5.0,24.0,6.0,28.0,8.0,29.0,10.0,16.0,12.0,13.0,18.0,39.0,20.0,30.0,439.0,57.0,11.0,87.0,38.0,55.0,42.0,17.0,89.0,15.0,58.0
4721,0.0,1.0,4.0,2.0,5.0,3.0,29.0,6.0,12.0,9.0,11.0,17.0,8.0,16.0,50.0,18.0,65.0,37.0,32.0,69.0,20.0,10.0,81.0,22.0,274.0,68.0,39.0,74.0,21.0,371.0
4770,0.0,1.0,3.0,2.0,4.0,11.0,31.0,6.0,9.0,13.0,7.0,8.0,12.0,14.0,25.0,52.0,16.0,15.0,38.0,43.0,10.0,5.0,99.0,19.0,205.0,494.0,29.0,103.0,22.0,71.0
4819,0.0,1.0,4.0,3.0,2.0,5.0,26.0,6.0,12.0,9.0,8.0,14.0,7.0,13.0,15.0,33.0,22.0,11.0,48.0,54.0,27.0,37.0,67.0,53.0,283.0,431.0,32.0,64.0,24.0,69.0
4868,0.0,1.0,4.0,2.0,3.0,9.0,11.0,5.0,35.0,7.0,14.0,13.0,8.0,6.0,26.0,77.0,66.0,16.0,51.0,23.0,46.0,15.0,10.0,33.0,280.0,63.0,17.0,125.0,25.0,339.0
