,C34:4 PC,uracil,inositol,2-deoxycytidine,uridine,GABA,beta-alanine,N-carbamoyl-beta-alanine,serotonin,malondialdehyde,creatine,phosphocreatine,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,urate,glutamine,palmitoylcarnitine,C22:6 CE,1-methylnicotinamide,creatinine,isocitrate,hypoxanthine,C16:0 LPE,acetylcholine,3-phosphoglycerate,C56:5 TAG,hexoses (HILIC neg),2-deoxyadenosine,cystathionine,DHAP/glyceraldehyde 3P
1152,11.0,27.0,1.0,5.0,2.0,4.0,3.0,0.0,12.0,10.0,16.0,24.0,13.0,8.0,6.0,48.0,23.0,31.0,46.0,61.0,25.0,20.0,44.0,37.0,21.0,19.0,7.0,41.0,9.0,18.0
1201,0.0,10.0,3.0,2.0,5.0,14.0,4.0,23.0,1.0,8.0,27.0,55.0,12.0,28.0,16.0,15.0,32.0,47.0,40.0,18.0,21.0,30.0,35.0,20.0,57.0,7.0,25.0,9.0,38.0,26.0
1250,3.0,0.0,5.0,2.0,9.0,14.0,4.0,13.0,20.0,1.0,19.0,25.0,33.0,26.0,8.0,24.0,17.0,37.0,21.0,35.0,27.0,16.0,12.0,18.0,29.0,7.0,32.0,10.0,57.0,56.0
1299,1.0,13.0,2.0,9.0,4.0,12.0,6.0,0.0,16.0,7.0,8.0,24.0,41.0,3.0,26.0,14.0,59.0,34.0,17.0,38.0,15.0,25.0,29.0,5.0,21.0,19.0,11.0,54.0,35.0,52.0
1348,4.0,21.0,0.0,6.0,17.0,41.0,1.0,3.0,5.0,2.0,13.0,63.0,11.0,32.0,8.0,24.0,15.0,10.0,33.0,51.0,30.0,18.0,19.0,9.0,7.0,20.0,42.0,38.0,40.0,23.0
1397,2.0,6.0,4.0,28.0,5.0,10.0,26.0,8.0,1.0,0.0,32.0,14.0,27.0,15.0,42.0,36.0,37.0,41.0,23.0,19.0,33.0,9.0,3.0,18.0,11.0,21.0,22.0,25.0,38.0,12.0
1446,1.0,12.0,9.0,4.0,0.0,10.0,11.0,40.0,2.0,18.0,6.0,35.0,3.0,8.0,5.0,22.0,43.0,24.0,38.0,15.0,23.0,39.0,20.0,21.0,44.0,14.0,29.0,30.0,27.0,59.0
1495,3.0,1.0,36.0,2.0,7.0,40.0,19.0,4.0,16.0,27.0,9.0,0.0,29.0,26.0,17.0,45.0,8.0,28.0,22.0,5.0,24.0,21.0,14.0,6.0,41.0,12.0,25.0,38.0,42.0,31.0
1544,2.0,1.0,3.0,0.0,15.0,4.0,11.0,30.0,31.0,9.0,36.0,5.0,7.0,42.0,53.0,25.0,12.0,24.0,14.0,21.0,33.0,65.0,27.0,37.0,39.0,8.0,6.0,26.0,19.0,10.0
1593,1.0,3.0,5.0,4.0,10.0,7.0,2.0,8.0,24.0,6.0,20.0,0.0,15.0,42.0,19.0,46.0,18.0,23.0,33.0,12.0,25.0,60.0,17.0,13.0,38.0,9.0,11.0,50.0,58.0,34.0
