,XAGE1E,CCND2,GPX3,STEAP1B,CGREF1,MAGEA1,NDN,CKB,LINC00942,LEPREL4,C1orf233,CA8,GUSB,KCNK15,TNFSF12,PHACTR2,RP11-90B9.2,DUSP23,PAPSS2,FAM109B,HMGA2,NT5E,RP11-400N13.2,PCDHA11,IGSF3,PLCD1,KCNIP2-AS1,RP11-197K6.1,CTB-60B18.10,CTD-2201E18.3
498,11.0,13.0,10.0,1.0,3.0,1679.0,0.0,5.0,26.0,124.0,18.0,7.0,108.0,12.0,6.0,20.0,25.0,28.0,4.0,16.0,1024.0,73.0,338.0,42.0,98.0,22.0,120.0,2.0,311.0,50.0
547,4.0,6.0,0.0,22.0,1.0,259.0,25.0,51.0,34.0,67.0,98.0,238.0,10.0,24.0,3.0,9.0,49.0,8.0,19.0,318.0,223.0,7.0,561.0,96.0,20.0,2.0,143.0,109.0,47.0,42.0
596,10.0,7.0,1.0,4.0,3.0,196.0,2.0,5.0,154.0,71.0,104.0,0.0,114.0,66.0,26.0,15.0,30.0,70.0,18.0,73.0,92.0,397.0,905.0,38.0,29.0,20.0,55.0,95.0,143.0,160.0
645,11.0,14.0,24.0,0.0,2.0,79.0,3.0,4.0,676.0,31.0,20.0,123.0,30.0,25.0,289.0,7.0,66.0,10.0,1.0,494.0,117.0,5.0,258.0,187.0,39.0,12.0,52.0,18.0,55.0,96.0
694,1.0,6.0,0.0,3.0,9.0,358.0,2.0,16.0,76.0,14.0,391.0,22.0,20.0,7.0,1643.0,11.0,44.0,50.0,37.0,167.0,431.0,51.0,785.0,83.0,13.0,31.0,173.0,102.0,55.0,109.0
743,5.0,10.0,4.0,0.0,2.0,1018.0,3.0,1.0,42.0,46.0,80.0,12.0,77.0,72.0,53.0,11.0,14.0,74.0,9.0,41.0,1774.0,26.0,76.0,242.0,15.0,13.0,108.0,6.0,61.0,39.0
792,19.0,13.0,1.0,7.0,29.0,38.0,0.0,9.0,24.0,33.0,111.0,14.0,23.0,229.0,17.0,2.0,34.0,4.0,11.0,37.0,159.0,20.0,166.0,94.0,49.0,10.0,40.0,31.0,57.0,155.0
841,1.0,4.0,7.0,0.0,2.0,45.0,3.0,5.0,30.0,22.0,26.0,11.0,15.0,24.0,67.0,8.0,48.0,9.0,10.0,297.0,175.0,27.0,478.0,31.0,35.0,21.0,98.0,34.0,238.0,32.0
890,0.0,1.0,14.0,3.0,10.0,49.0,7.0,9.0,77.0,40.0,63.0,6.0,26.0,21.0,2.0,23.0,27.0,13.0,15.0,12.0,48.0,94.0,383.0,208.0,25.0,8.0,37.0,58.0,24.0,159.0
939,6.0,1.0,2.0,16.0,5.0,123.0,0.0,11.0,39.0,32.0,99.0,3.0,69.0,12.0,37.0,36.0,21.0,10.0,8.0,9.0,765.0,121.0,20.0,29.0,72.0,28.0,89.0,166.0,265.0,24.0
988,2.0,0.0,5.0,12.0,7.0,3.0,66.0,4.0,83.0,175.0,13.0,6.0,104.0,176.0,1.0,23.0,19.0,344.0,20.0,39.0,90.0,64.0,36.0,77.0,151.0,129.0,48.0,14.0,56.0,18.0
1037,0.0,4.0,6.0,29.0,3.0,1.0,2.0,40.0,51.0,43.0,24.0,18.0,14.0,153.0,15.0,11.0,89.0,34.0,90.0,202.0,10.0,5.0,20.0,46.0,351.0,362.0,129.0,37.0,17.0,245.0
1086,1.0,0.0,7.0,4.0,11.0,58.0,220.0,176.0,13.0,106.0,25.0,59.0,182.0,35.0,3.0,55.0,78.0,12.0,32.0,41.0,42.0,193.0,26.0,162.0,62.0,99.0,24.0,88.0,6.0,173.0
1135,8.0,1.0,0.0,32.0,6.0,20.0,170.0,64.0,5.0,150.0,213.0,47.0,14.0,26.0,3.0,66.0,52.0,101.0,50.0,2.0,19.0,75.0,57.0,473.0,226.0,104.0,82.0,217.0,24.0,18.0
1184,0.0,2.0,62.0,37.0,5.0,1.0,43.0,6.0,82.0,113.0,116.0,111.0,136.0,35.0,3.0,34.0,96.0,18.0,7.0,257.0,376.0,15.0,56.0,294.0,48.0,240.0,665.0,4.0,60.0,44.0
1233,0.0,2.0,5.0,6.0,18.0,21.0,67.0,23.0,12.0,420.0,8.0,4.0,166.0,13.0,3.0,39.0,20.0,135.0,27.0,52.0,11.0,25.0,15.0,225.0,391.0,98.0,91.0,22.0,85.0,177.0
1282,3.0,4.0,2.0,1.0,0.0,5.0,27.0,16.0,33.0,161.0,94.0,63.0,146.0,34.0,54.0,13.0,42.0,31.0,23.0,12.0,20.0,14.0,8.0,134.0,102.0,48.0,44.0,114.0,85.0,6.0
1331,4.0,1.0,2.0,20.0,0.0,25.0,14.0,29.0,15.0,289.0,13.0,11.0,51.0,27.0,7.0,10.0,31.0,28.0,19.0,9.0,35.0,50.0,12.0,170.0,143.0,61.0,182.0,6.0,52.0,72.0
1380,0.0,3.0,9.0,278.0,105.0,15.0,195.0,47.0,21.0,81.0,56.0,528.0,25.0,65.0,2.0,178.0,20.0,54.0,33.0,32.0,59.0,14.0,1.0,45.0,67.0,95.0,111.0,74.0,176.0,88.0
1429,0.0,1.0,3.0,2.0,8.0,15.0,23.0,18.0,16.0,217.0,12.0,326.0,61.0,6.0,9.0,17.0,68.0,5.0,10.0,113.0,22.0,75.0,86.0,50.0,77.0,111.0,344.0,65.0,396.0,59.0
1478,0.0,8.0,4.0,42.0,39.0,5.0,40.0,29.0,13.0,10.0,53.0,455.0,3.0,27.0,43.0,46.0,35.0,28.0,2124.0,227.0,56.0,71.0,6.0,7.0,55.0,242.0,21.0,78.0,18.0,74.0
1527,0.0,1.0,19.0,25.0,4.0,3.0,73.0,16.0,13.0,9.0,92.0,78.0,11.0,62.0,23.0,260.0,50.0,94.0,705.0,375.0,182.0,42.0,15.0,24.0,32.0,537.0,63.0,232.0,26.0,37.0
1576,0.0,3.0,1.0,20.0,21.0,10.0,201.0,39.0,13.0,7.0,130.0,216.0,9.0,109.0,36.0,281.0,34.0,43.0,320.0,42.0,88.0,56.0,4.0,77.0,40.0,63.0,61.0,203.0,6.0,142.0
1625,0.0,10.0,1.0,152.0,32.0,2.0,660.0,24.0,3.0,8.0,52.0,222.0,11.0,40.0,38.0,472.0,48.0,69.0,606.0,252.0,528.0,66.0,30.0,7.0,9.0,118.0,35.0,91.0,19.0,33.0
1674,0.0,7.0,1.0,465.0,8.0,10.0,35.0,19.0,24.0,5.0,72.0,1175.0,3.0,124.0,31.0,146.0,36.0,78.0,414.0,957.0,180.0,142.0,4.0,37.0,14.0,108.0,122.0,56.0,38.0,23.0
1723,1.0,13.0,0.0,146.0,4.0,3.0,5.0,30.0,15.0,12.0,56.0,112.0,10.0,71.0,6.0,77.0,22.0,90.0,434.0,379.0,66.0,222.0,23.0,9.0,57.0,42.0,24.0,171.0,21.0,557.0
1772,0.0,1.0,8.0,72.0,74.0,2.0,40.0,11.0,10.0,54.0,68.0,215.0,7.0,95.0,5.0,92.0,60.0,18.0,129.0,699.0,191.0,42.0,9.0,17.0,26.0,102.0,12.0,115.0,25.0,49.0
1821,0.0,4.0,3.0,34.0,157.0,1.0,20.0,12.0,52.0,2.0,87.0,138.0,14.0,70.0,16.0,112.0,31.0,38.0,1013.0,24.0,29.0,26.0,7.0,11.0,13.0,62.0,46.0,39.0,21.0,15.0
1870,0.0,1.0,2.0,73.0,17.0,16.0,48.0,3.0,4.0,35.0,377.0,928.0,5.0,41.0,7.0,72.0,91.0,36.0,786.0,9.0,49.0,45.0,98.0,78.0,32.0,69.0,38.0,263.0,15.0,26.0
1919,0.0,3.0,1.0,13.0,137.0,2.0,86.0,9.0,43.0,6.0,707.0,771.0,21.0,66.0,4.0,45.0,91.0,60.0,244.0,182.0,964.0,28.0,22.0,33.0,10.0,93.0,48.0,49.0,85.0,25.0
1968,2.0,15.0,4.0,6.0,1.0,14.0,7.0,5.0,8.0,52.0,12.0,65.0,17.0,22.0,13.0,10.0,37.0,3.0,11.0,40.0,68.0,44.0,28.0,132.0,50.0,9.0,70.0,19.0,83.0,33.0
2017,1.0,2.0,56.0,0.0,4.0,3.0,48.0,7.0,23.0,9.0,8.0,83.0,70.0,28.0,124.0,112.0,29.0,12.0,14.0,104.0,38.0,78.0,10.0,75.0,79.0,20.0,25.0,189.0,188.0,51.0
2066,0.0,5.0,43.0,2.0,4.0,7.0,3.0,1.0,15.0,28.0,9.0,168.0,33.0,29.0,8.0,18.0,95.0,10.0,23.0,45.0,25.0,24.0,47.0,110.0,68.0,12.0,40.0,16.0,93.0,82.0
2115,0.0,1.0,106.0,2.0,3.0,4.0,57.0,10.0,13.0,28.0,20.0,37.0,23.0,36.0,19.0,42.0,51.0,32.0,89.0,39.0,102.0,50.0,5.0,74.0,87.0,30.0,52.0,49.0,40.0,72.0
2164,0.0,3.0,22.0,2.0,4.0,5.0,1.0,7.0,54.0,15.0,16.0,172.0,39.0,25.0,12.0,46.0,33.0,6.0,18.0,87.0,26.0,9.0,8.0,67.0,56.0,21.0,27.0,28.0,32.0,71.0
2213,2.0,16.0,5.0,1.0,0.0,3.0,6.0,13.0,4.0,26.0,18.0,466.0,32.0,97.0,133.0,7.0,70.0,116.0,33.0,8.0,168.0,19.0,11.0,288.0,54.0,25.0,143.0,12.0,29.0,41.0
2262,5.0,0.0,19.0,13.0,1.0,61.0,2.0,18.0,210.0,12.0,80.0,64.0,36.0,75.0,14.0,11.0,53.0,17.0,3.0,342.0,352.0,10.0,116.0,510.0,44.0,22.0,40.0,89.0,24.0,191.0
2311,1.0,0.0,61.0,2.0,4.0,14.0,17.0,8.0,31.0,28.0,3.0,3844.0,60.0,27.0,9.0,67.0,40.0,10.0,15.0,494.0,21.0,38.0,142.0,104.0,22.0,47.0,137.0,83.0,41.0,175.0
2360,1.0,0.0,85.0,3.0,2.0,8.0,15.0,6.0,21.0,17.0,26.0,392.0,38.0,12.0,40.0,274.0,126.0,5.0,7.0,77.0,92.0,31.0,18.0,39.0,13.0,4.0,53.0,9.0,16.0,56.0
2409,1.0,0.0,4.0,30.0,21.0,25.0,17.0,2.0,15.0,11.0,13.0,3.0,46.0,23.0,22.0,108.0,87.0,792.0,31.0,36.0,153.0,183.0,19.0,446.0,27.0,8.0,38.0,7.0,261.0,421.0
2458,0.0,4.0,1.0,2.0,10.0,7.0,1049.0,34.0,31.0,16.0,25.0,5.0,24.0,26.0,9.0,22.0,28.0,183.0,105.0,27.0,58.0,166.0,391.0,23.0,13.0,181.0,11.0,56.0,53.0,338.0
2507,0.0,6.0,11.0,1.0,4.0,2.0,43.0,125.0,12.0,52.0,7.0,16.0,15.0,53.0,39.0,24.0,51.0,117.0,187.0,511.0,35.0,164.0,160.0,34.0,54.0,129.0,20.0,21.0,206.0,61.0
2556,0.0,4.0,3.0,2.0,6.0,11.0,284.0,44.0,15.0,30.0,27.0,5.0,76.0,90.0,29.0,23.0,93.0,148.0,198.0,32.0,91.0,79.0,2679.0,60.0,13.0,227.0,12.0,65.0,31.0,87.0
2605,1.0,2.0,44.0,24.0,30.0,4.0,184.0,232.0,8.0,46.0,5.0,35.0,29.0,48.0,7.0,115.0,36.0,21.0,296.0,92.0,15.0,6.0,413.0,10.0,20.0,671.0,16.0,51.0,375.0,1074.0
2654,0.0,6.0,43.0,4.0,5.0,1.0,31.0,56.0,18.0,45.0,8.0,2.0,14.0,54.0,10.0,50.0,17.0,34.0,37.0,29.0,25.0,11.0,23.0,22.0,101.0,212.0,12.0,13.0,68.0,67.0
2703,0.0,2.0,6.0,3.0,25.0,1.0,62.0,29.0,7.0,38.0,8.0,10.0,22.0,28.0,33.0,27.0,23.0,117.0,78.0,12.0,64.0,48.0,90.0,55.0,47.0,53.0,15.0,21.0,46.0,70.0
2752,0.0,2.0,17.0,3.0,47.0,1.0,27.0,32.0,10.0,59.0,5.0,42.0,36.0,89.0,7.0,21.0,57.0,38.0,107.0,19.0,33.0,44.0,144.0,63.0,71.0,85.0,11.0,75.0,41.0,67.0
2801,0.0,83.0,13.0,2.0,7.0,8.0,3.0,44.0,15.0,35.0,1.0,9.0,33.0,16.0,54.0,21.0,27.0,552.0,144.0,39.0,34.0,160.0,196.0,12.0,69.0,59.0,31.0,5.0,240.0,51.0
2850,0.0,1.0,19.0,5.0,15.0,2.0,49.0,50.0,3.0,13.0,6.0,18.0,12.0,20.0,9.0,25.0,48.0,78.0,45.0,23.0,52.0,57.0,91.0,8.0,17.0,212.0,22.0,16.0,672.0,109.0
2899,0.0,1.0,17.0,3.0,12.0,5.0,33.0,161.0,51.0,13.0,102.0,48.0,91.0,15.0,11.0,22.0,56.0,36.0,37.0,9.0,152.0,428.0,1252.0,87.0,27.0,18.0,58.0,76.0,294.0,32.0
2948,6.0,1.0,2.0,196.0,111.0,36.0,2749.0,8.0,9.0,22.0,23.0,71.0,10.0,314.0,27.0,121.0,60.0,68.0,641.0,7.0,11.0,67.0,51.0,20.0,13.0,37.0,32.0,175.0,43.0,140.0
2997,13.0,39.0,1.0,26.0,91.0,18.0,186.0,30.0,3.0,6.0,65.0,53.0,40.0,99.0,148.0,92.0,31.0,214.0,361.0,0.0,34.0,112.0,93.0,33.0,47.0,44.0,8.0,2.0,32.0,7.0
3046,0.0,17.0,1.0,18.0,274.0,7.0,29.0,3.0,23.0,2.0,115.0,137.0,64.0,222.0,78.0,85.0,15.0,72.0,88.0,16.0,20.0,25.0,28.0,169.0,12.0,8.0,60.0,9.0,43.0,13.0
3095,2.0,3.0,0.0,12.0,113.0,31.0,39.0,7.0,13.0,64.0,34.0,18.0,68.0,137.0,81.0,20.0,17.0,19.0,104.0,1.0,47.0,16.0,9.0,11.0,178.0,59.0,41.0,4.0,48.0,354.0
3144,13.0,0.0,1.0,22.0,138.0,24.0,53.0,8.0,47.0,99.0,226.0,51.0,71.0,243.0,93.0,75.0,79.0,19.0,54.0,2.0,59.0,23.0,10.0,58.0,38.0,15.0,28.0,16.0,124.0,183.0
3193,7.0,20.0,1.0,2.0,148.0,133.0,8.0,0.0,16.0,11.0,34.0,9.0,66.0,170.0,1687.0,166.0,77.0,71.0,187.0,14.0,44.0,21.0,6.0,59.0,19.0,45.0,35.0,12.0,30.0,74.0
3242,4.0,2.0,0.0,3.0,273.0,77.0,21.0,1.0,38.0,22.0,18.0,7.0,23.0,176.0,319.0,56.0,132.0,19.0,62.0,29.0,15.0,11.0,70.0,12.0,27.0,32.0,43.0,6.0,161.0,244.0
3291,2.0,4.0,1.0,13.0,963.0,133.0,28.0,3.0,18.0,7.0,124.0,41.0,53.0,162.0,24.0,72.0,11.0,31.0,42.0,14.0,33.0,68.0,12.0,9.0,66.0,34.0,45.0,0.0,140.0,178.0
3340,1.0,0.0,4.0,52.0,516.0,20.0,17.0,12.0,19.0,10.0,40.0,14.0,46.0,149.0,219.0,109.0,54.0,117.0,210.0,2.0,3.0,8.0,101.0,37.0,41.0,44.0,53.0,25.0,129.0,34.0
3389,2.0,7.0,13.0,5.0,26.0,0.0,8.0,4.0,17.0,18.0,161.0,32.0,30.0,961.0,1336.0,48.0,45.0,37.0,423.0,108.0,6.0,12.0,122.0,65.0,393.0,44.0,193.0,1.0,20.0,51.0
3438,1.0,41.0,319.0,5.0,68.0,16.0,0.0,27.0,14.0,28.0,3.0,4.0,32.0,38.0,17.0,9.0,85.0,23.0,30.0,571.0,15.0,44.0,339.0,128.0,686.0,48.0,37.0,13.0,66.0,95.0
3487,0.0,19.0,25.0,18.0,35.0,10.0,1.0,30.0,251.0,17.0,22.0,20.0,56.0,83.0,164.0,36.0,4.0,29.0,32.0,949.0,3.0,107.0,137.0,34.0,651.0,89.0,57.0,11.0,9.0,93.0
3536,1.0,62.0,219.0,25.0,9.0,65.0,0.0,4.0,49.0,48.0,11.0,14.0,7.0,72.0,39.0,15.0,33.0,22.0,2.0,10.0,23.0,28.0,92.0,249.0,720.0,26.0,192.0,114.0,18.0,111.0
3585,1.0,5.0,281.0,4.0,51.0,26.0,0.0,18.0,700.0,23.0,101.0,8.0,15.0,34.0,44.0,6.0,66.0,13.0,59.0,86.0,2.0,21.0,175.0,173.0,2061.0,52.0,20.0,3.0,53.0,269.0
3634,1.0,27.0,50.0,8.0,10.0,5.0,0.0,3.0,136.0,93.0,2.0,25.0,97.0,44.0,40.0,4.0,92.0,63.0,71.0,26.0,7.0,35.0,293.0,87.0,332.0,33.0,99.0,13.0,62.0,28.0
3683,0.0,74.0,9.0,10.0,4.0,549.0,1.0,15.0,89.0,30.0,6.0,107.0,7.0,222.0,2.0,12.0,116.0,11.0,84.0,3311.0,3.0,22.0,86.0,26.0,264.0,41.0,56.0,177.0,29.0,46.0
3732,1.0,94.0,119.0,8.0,16.0,38.0,0.0,13.0,136.0,14.0,24.0,19.0,7.0,93.0,57.0,6.0,65.0,121.0,33.0,509.0,2.0,178.0,108.0,21.0,256.0,147.0,83.0,44.0,5.0,1727.0
3781,1.0,42.0,128.0,9.0,47.0,13.0,0.0,10.0,188.0,14.0,29.0,7.0,16.0,19.0,166.0,31.0,44.0,52.0,86.0,39.0,6.0,57.0,24.0,61.0,2074.0,92.0,87.0,8.0,28.0,54.0
3830,0.0,112.0,25.0,2.0,54.0,153.0,1.0,10.0,103.0,36.0,45.0,4.0,12.0,9.0,8.0,5.0,28.0,29.0,68.0,207.0,16.0,46.0,83.0,69.0,743.0,106.0,84.0,23.0,27.0,56.0
3879,1.0,15.0,339.0,63.0,208.0,20.0,0.0,5.0,90.0,103.0,2.0,4.0,17.0,181.0,32.0,40.0,35.0,3.0,13.0,359.0,23.0,110.0,73.0,25.0,1119.0,412.0,53.0,158.0,97.0,414.0
3928,2.0,14.0,8.0,0.0,15.0,1270.0,89.0,9.0,4.0,3.0,425.0,10.0,49.0,22.0,552.0,81.0,7.0,7448.0,165.0,20.0,152.0,79.0,23.0,110.0,39.0,37.0,45.0,65.0,120.0,40.0
3977,0.0,7.0,16.0,1.0,170.0,30.0,53.0,231.0,3.0,5.0,100.0,33.0,50.0,189.0,9.0,77.0,12.0,517.0,446.0,212.0,24.0,6.0,85.0,285.0,22.0,40.0,4.0,11.0,21.0,23.0
4026,1.0,4.0,21.0,0.0,17.0,24.0,2.0,47.0,40.0,20.0,72.0,11.0,14.0,15.0,75.0,42.0,10.0,55.0,256.0,187.0,61.0,13.0,28.0,5.0,16.0,18.0,86.0,23.0,73.0,152.0
4075,1.0,3.0,10.0,0.0,11.0,63.0,8.0,31.0,219.0,9.0,1010.0,67.0,32.0,14.0,43.0,26.0,74.0,667.0,68.0,24.0,23.0,50.0,45.0,46.0,7.0,121.0,80.0,77.0,48.0,56.0
4124,1.0,4.0,3.0,0.0,18.0,17.0,50.0,6.0,21.0,5.0,217.0,34.0,26.0,60.0,373.0,35.0,31.0,192.0,232.0,11.0,30.0,7.0,47.0,24.0,9.0,76.0,52.0,27.0,19.0,28.0
4173,0.0,3.0,4.0,2.0,8.0,10.0,13.0,9.0,11.0,16.0,136.0,21.0,89.0,12.0,49.0,56.0,45.0,159.0,105.0,79.0,72.0,18.0,59.0,67.0,6.0,17.0,19.0,85.0,37.0,5.0
4222,9.0,2.0,1.0,4.0,3.0,24.0,39.0,27.0,0.0,10.0,73.0,93.0,18.0,42.0,109.0,13.0,30.0,665.0,157.0,11.0,67.0,116.0,37.0,12.0,41.0,48.0,65.0,7.0,16.0,5.0
4271,2.0,0.0,3.0,1.0,21.0,5.0,103.0,18.0,7.0,15.0,48.0,6.0,58.0,117.0,131.0,163.0,71.0,44.0,62.0,73.0,32.0,8.0,12.0,108.0,19.0,35.0,24.0,20.0,110.0,93.0
4320,0.0,1.0,3.0,16.0,15.0,14.0,1283.0,10.0,66.0,17.0,47.0,1410.0,20.0,219.0,45.0,39.0,84.0,205.0,391.0,231.0,44.0,2.0,22.0,26.0,18.0,113.0,149.0,51.0,173.0,34.0
4369,1.0,0.0,4.0,8.0,30.0,65.0,12.0,7.0,3.0,28.0,19.0,16.0,39.0,140.0,116.0,34.0,111.0,599.0,343.0,2.0,144.0,41.0,40.0,100.0,22.0,26.0,49.0,14.0,99.0,35.0
4418,0.0,11.0,4.0,2.0,9.0,27.0,8.0,60.0,53.0,36.0,1.0,29.0,57.0,15.0,217.0,22.0,5.0,6.0,7.0,67.0,13.0,16.0,47.0,17.0,26.0,81.0,3.0,266.0,12.0,14.0
4467,0.0,22.0,1.0,6.0,4.0,56.0,30.0,87.0,58.0,65.0,2.0,119.0,126.0,5.0,80.0,16.0,13.0,10.0,25.0,214.0,34.0,9.0,27.0,48.0,120.0,32.0,11.0,15.0,17.0,12.0
4516,0.0,30.0,10.0,8.0,16.0,4.0,61.0,65.0,5.0,33.0,1.0,35.0,186.0,31.0,52.0,42.0,13.0,2.0,24.0,133.0,92.0,6.0,15.0,11.0,115.0,145.0,23.0,97.0,28.0,9.0
4565,0.0,18.0,1.0,3.0,28.0,19.0,7.0,44.0,35.0,11.0,5.0,60.0,32.0,6.0,209.0,9.0,13.0,24.0,14.0,4.0,101.0,23.0,75.0,2.0,67.0,100.0,12.0,367.0,50.0,10.0
4614,5.0,43.0,2.0,15.0,12.0,51.0,2509.0,65.0,7.0,136.0,0.0,165.0,171.0,20.0,8.0,205.0,14.0,3.0,92.0,31.0,49.0,47.0,52.0,10.0,18.0,83.0,9.0,22.0,26.0,1.0
4663,0.0,18.0,1.0,3.0,6.0,9.0,4.0,53.0,25.0,23.0,2.0,12.0,67.0,16.0,166.0,48.0,10.0,8.0,7.0,73.0,35.0,11.0,30.0,5.0,27.0,20.0,15.0,56.0,17.0,33.0
4712,0.0,34.0,2.0,3.0,8.0,10.0,9.0,50.0,22.0,43.0,1.0,123.0,499.0,35.0,15.0,20.0,5.0,7.0,11.0,44.0,38.0,26.0,114.0,4.0,23.0,29.0,16.0,64.0,33.0,14.0
4761,0.0,11.0,1.0,4.0,17.0,2.0,9.0,293.0,73.0,42.0,19.0,25.0,40.0,16.0,34.0,38.0,27.0,5.0,14.0,3.0,26.0,22.0,6.0,20.0,77.0,44.0,32.0,95.0,83.0,7.0
4810,0.0,9.0,1.0,2.0,12.0,16.0,11.0,22.0,23.0,31.0,3.0,17.0,150.0,62.0,48.0,46.0,20.0,14.0,5.0,10.0,78.0,19.0,39.0,98.0,38.0,67.0,7.0,45.0,41.0,6.0
4859,0.0,19.0,16.0,2.0,3.0,24.0,60.0,228.0,50.0,11.0,10.0,81.0,144.0,1.0,52.0,23.0,12.0,165.0,21.0,17.0,41.0,404.0,34.0,38.0,46.0,93.0,9.0,8.0,27.0,4.0
