,NERVOUS,OVARY,HAEMATOPOIETIC,PROSTATE,THYROID,SKIN,PLEURA,KIDNEY,SOFT_TISSUE,GANGLIA,ENDOMETRIUM,BONE,BILIARY,SALIVARY,URINARY,STOMACH,BREAST,PANCREAS,AERODIGESTIVE,LARGE_INTESTINE,OESOPHAGUS,LIVER,LUNG
533,0.0,1.0,2.0,6.0,3.0,4.0,5.0,8.0,11.0,9.0,7.0,14.0,10.0,12.0,15.0,20.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
582,2.0,3.0,4.0,0.0,6.0,7.0,9.0,5.0,8.0,10.0,1.0,14.0,11.0,12.0,17.0,13.0,18.0,19.0,20.0,15.0,16.0,21.0,22.0
631,3.0,0.0,1.0,5.0,7.0,4.0,2.0,6.0,8.0,9.0,10.0,14.0,11.0,12.0,13.0,19.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
680,11.0,3.0,4.0,0.0,6.0,7.0,2.0,5.0,8.0,9.0,1.0,15.0,10.0,13.0,16.0,12.0,17.0,18.0,19.0,20.0,21.0,14.0,22.0
729,0.0,6.0,7.0,9.0,2.0,3.0,8.0,1.0,4.0,10.0,5.0,11.0,12.0,13.0,17.0,14.0,18.0,15.0,19.0,16.0,20.0,21.0,22.0
778,2.0,3.0,4.0,0.0,6.0,7.0,10.0,5.0,8.0,11.0,9.0,15.0,13.0,14.0,20.0,1.0,17.0,12.0,18.0,19.0,21.0,16.0,22.0
827,2.0,7.0,8.0,0.0,4.0,5.0,9.0,3.0,6.0,10.0,1.0,14.0,11.0,12.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
876,2.0,3.0,4.0,0.0,6.0,7.0,9.0,5.0,13.0,10.0,8.0,14.0,11.0,12.0,20.0,1.0,17.0,18.0,19.0,15.0,16.0,21.0,22.0
925,3.0,4.0,5.0,0.0,7.0,8.0,2.0,6.0,9.0,20.0,1.0,14.0,10.0,12.0,15.0,11.0,16.0,17.0,18.0,19.0,21.0,13.0,22.0
974,1.0,2.0,8.0,0.0,4.0,9.0,3.0,11.0,5.0,6.0,7.0,14.0,10.0,13.0,12.0,17.0,19.0,15.0,20.0,16.0,21.0,18.0,22.0
1023,1.0,2.0,3.0,9.0,4.0,5.0,6.0,7.0,8.0,19.0,0.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1072,1.0,2.0,3.0,9.0,5.0,6.0,8.0,4.0,7.0,10.0,0.0,14.0,11.0,12.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1121,0.0,1.0,2.0,8.0,7.0,3.0,5.0,6.0,11.0,22.0,4.0,9.0,10.0,13.0,14.0,12.0,15.0,21.0,16.0,17.0,18.0,20.0,19.0
1170,0.0,1.0,2.0,8.0,3.0,4.0,10.0,6.0,7.0,9.0,5.0,11.0,12.0,13.0,14.0,19.0,16.0,15.0,17.0,18.0,20.0,21.0,22.0
1219,0.0,1.0,2.0,8.0,3.0,7.0,5.0,6.0,11.0,17.0,4.0,9.0,10.0,13.0,14.0,12.0,15.0,21.0,22.0,16.0,18.0,20.0,19.0
1268,5.0,0.0,6.0,9.0,1.0,2.0,3.0,7.0,8.0,20.0,11.0,4.0,12.0,13.0,15.0,14.0,17.0,18.0,19.0,10.0,16.0,21.0,22.0
1317,2.0,3.0,4.0,9.0,6.0,7.0,1.0,5.0,8.0,19.0,0.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
