,OVARY,THYROID,HAEMATOPOIETIC,SKIN,PLEURA,NERVOUS,PROSTATE,KIDNEY,SOFT_TISSUE,BILIARY,SALIVARY,BONE,ENDOMETRIUM,GANGLIA,STOMACH,LARGE_INTESTINE,URINARY,BREAST,PANCREAS,OESOPHAGUS,LUNG,LIVER,AERODIGESTIVE
3425,0.0,1.0,3.0,7.0,2.0,8.0,4.0,5.0,6.0,10.0,9.0,14.0,12.0,15.0,17.0,16.0,13.0,19.0,20.0,18.0,21.0,11.0,22.0
3474,0.0,3.0,1.0,4.0,8.0,2.0,5.0,6.0,7.0,10.0,11.0,9.0,12.0,14.0,13.0,18.0,16.0,17.0,19.0,15.0,20.0,22.0,21.0
3523,0.0,1.0,3.0,7.0,4.0,2.0,5.0,6.0,11.0,10.0,9.0,12.0,15.0,16.0,8.0,13.0,22.0,20.0,18.0,19.0,17.0,14.0,21.0
3572,0.0,6.0,2.0,3.0,7.0,1.0,4.0,5.0,17.0,9.0,8.0,13.0,11.0,14.0,10.0,16.0,20.0,15.0,12.0,22.0,18.0,19.0,21.0
3621,0.0,2.0,4.0,7.0,3.0,1.0,5.0,6.0,10.0,9.0,8.0,11.0,15.0,16.0,14.0,12.0,20.0,13.0,19.0,17.0,18.0,21.0,22.0
3670,0.0,1.0,2.0,7.0,4.0,3.0,5.0,6.0,11.0,9.0,8.0,12.0,14.0,10.0,13.0,15.0,18.0,20.0,16.0,21.0,22.0,19.0,17.0
3719,0.0,2.0,7.0,4.0,3.0,1.0,5.0,6.0,11.0,10.0,9.0,8.0,14.0,15.0,13.0,18.0,21.0,12.0,17.0,16.0,19.0,20.0,22.0
3768,0.0,1.0,3.0,4.0,5.0,2.0,6.0,7.0,10.0,9.0,8.0,14.0,12.0,15.0,20.0,11.0,13.0,18.0,16.0,19.0,17.0,21.0,22.0
3817,0.0,3.0,1.0,5.0,4.0,2.0,6.0,7.0,10.0,11.0,12.0,8.0,13.0,9.0,17.0,14.0,20.0,16.0,22.0,18.0,15.0,19.0,21.0
3866,0.0,6.0,2.0,3.0,4.0,1.0,5.0,9.0,10.0,8.0,7.0,11.0,13.0,15.0,14.0,16.0,18.0,20.0,12.0,19.0,17.0,22.0,21.0
3915,0.0,4.0,3.0,5.0,1.0,2.0,7.0,6.0,10.0,9.0,8.0,12.0,11.0,21.0,14.0,13.0,22.0,15.0,20.0,17.0,19.0,18.0,16.0
3964,0.0,2.0,4.0,1.0,5.0,3.0,6.0,7.0,8.0,11.0,12.0,9.0,10.0,14.0,13.0,18.0,16.0,21.0,19.0,15.0,20.0,17.0,22.0
4013,0.0,2.0,1.0,10.0,4.0,3.0,5.0,6.0,8.0,12.0,13.0,9.0,11.0,7.0,17.0,15.0,16.0,20.0,21.0,14.0,18.0,19.0,22.0
4062,0.0,1.0,3.0,5.0,9.0,2.0,6.0,7.0,10.0,11.0,12.0,8.0,4.0,14.0,18.0,13.0,17.0,16.0,20.0,15.0,21.0,19.0,22.0
4111,2.0,1.0,3.0,4.0,7.0,0.0,5.0,6.0,8.0,11.0,12.0,9.0,10.0,14.0,17.0,21.0,16.0,15.0,20.0,13.0,19.0,18.0,22.0
4160,0.0,6.0,3.0,2.0,4.0,1.0,10.0,5.0,7.0,11.0,12.0,8.0,9.0,13.0,18.0,16.0,14.0,19.0,20.0,15.0,21.0,17.0,22.0
4209,2.0,1.0,4.0,3.0,5.0,0.0,6.0,11.0,12.0,10.0,9.0,7.0,8.0,13.0,14.0,16.0,21.0,18.0,19.0,15.0,17.0,20.0,22.0
4258,0.0,2.0,3.0,1.0,4.0,5.0,6.0,7.0,10.0,11.0,12.0,13.0,9.0,8.0,18.0,15.0,17.0,20.0,16.0,14.0,21.0,19.0,22.0
4307,1.0,3.0,7.0,4.0,2.0,0.0,5.0,6.0,8.0,11.0,12.0,9.0,10.0,13.0,22.0,21.0,14.0,16.0,18.0,15.0,19.0,20.0,17.0
4356,0.0,6.0,2.0,8.0,3.0,1.0,4.0,5.0,7.0,11.0,12.0,9.0,10.0,14.0,21.0,18.0,17.0,13.0,16.0,15.0,19.0,22.0,20.0
4405,1.0,3.0,4.0,2.0,5.0,0.0,6.0,7.0,9.0,10.0,11.0,8.0,14.0,12.0,13.0,15.0,19.0,21.0,17.0,16.0,20.0,18.0,22.0
4454,0.0,5.0,3.0,2.0,6.0,1.0,4.0,11.0,9.0,10.0,12.0,7.0,15.0,8.0,19.0,16.0,14.0,13.0,18.0,17.0,20.0,22.0,21.0
4503,0.0,6.0,1.0,2.0,7.0,3.0,5.0,11.0,9.0,10.0,12.0,8.0,14.0,15.0,4.0,17.0,16.0,18.0,19.0,13.0,20.0,21.0,22.0
4552,0.0,12.0,1.0,2.0,5.0,3.0,4.0,11.0,7.0,10.0,9.0,6.0,15.0,8.0,14.0,13.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0
4601,1.0,6.0,3.0,4.0,7.0,0.0,5.0,11.0,9.0,10.0,12.0,8.0,15.0,2.0,14.0,19.0,13.0,18.0,20.0,16.0,17.0,21.0,22.0
4650,0.0,4.0,1.0,3.0,5.0,2.0,10.0,13.0,6.0,11.0,12.0,7.0,9.0,8.0,14.0,19.0,16.0,18.0,17.0,15.0,20.0,22.0,21.0
4699,0.0,4.0,2.0,1.0,6.0,5.0,3.0,10.0,11.0,9.0,8.0,7.0,15.0,12.0,14.0,13.0,17.0,20.0,18.0,16.0,21.0,19.0,22.0
4748,0.0,5.0,2.0,1.0,10.0,3.0,4.0,13.0,6.0,11.0,12.0,7.0,19.0,8.0,16.0,14.0,15.0,18.0,17.0,9.0,21.0,20.0,22.0
4797,0.0,6.0,2.0,3.0,8.0,7.0,4.0,11.0,1.0,10.0,9.0,5.0,16.0,12.0,15.0,14.0,19.0,18.0,13.0,17.0,20.0,21.0,22.0
4846,0.0,5.0,1.0,2.0,8.0,3.0,4.0,11.0,6.0,10.0,12.0,9.0,7.0,16.0,18.0,15.0,13.0,14.0,21.0,17.0,19.0,20.0,22.0
4895,0.0,6.0,2.0,1.0,3.0,4.0,5.0,11.0,8.0,10.0,9.0,7.0,14.0,12.0,13.0,19.0,15.0,20.0,18.0,21.0,17.0,16.0,22.0
