,Caveolin-1,RAD51,Rb,FRA1,Beclin,Transglutaminase,beta-Catenin,VEGFR2,INPP4B,Cyclin_E1,PRDX1,Paxillin,p14 Arf(BetA300-340A),p27_pT157,GSK3_pS9,PEA15,Rictor_pT1135,Lck,HSP70,Cyclin_D1,PI3K-p85,PAI-1,MYH11,GSK3-alpha-beta_pS21_S9,PDCD4,Smad4,Src_pY527,VAV1,P-Cadherin,CD31
985,1.0,9.0,16.0,81.0,152.0,112.0,8.0,35.0,57.0,51.0,36.0,7.0,17.0,65.0,56.0,41.0,75.0,30.0,20.0,68.0,73.0,18.0,45.0,141.0,11.0,27.0,48.0,13.0,39.0,78.0
1034,0.0,17.0,14.0,26.0,46.0,42.0,18.0,50.0,25.0,20.0,7.0,22.0,49.0,30.0,148.0,2.0,48.0,31.0,36.0,23.0,29.0,55.0,39.0,72.0,19.0,105.0,32.0,125.0,64.0,51.0
1083,0.0,19.0,16.0,11.0,133.0,32.0,39.0,45.0,106.0,30.0,20.0,12.0,48.0,46.0,4.0,49.0,36.0,21.0,27.0,6.0,154.0,43.0,58.0,81.0,68.0,108.0,60.0,65.0,98.0,33.0
1132,0.0,26.0,18.0,40.0,78.0,31.0,52.0,19.0,7.0,37.0,62.0,38.0,22.0,14.0,147.0,48.0,46.0,137.0,39.0,74.0,64.0,75.0,57.0,76.0,24.0,111.0,36.0,126.0,13.0,2.0
1181,0.0,9.0,21.0,22.0,53.0,8.0,163.0,33.0,51.0,43.0,42.0,64.0,66.0,140.0,32.0,14.0,39.0,15.0,160.0,61.0,36.0,34.0,86.0,44.0,10.0,63.0,28.0,18.0,20.0,1.0
1230,1.0,24.0,6.0,10.0,38.0,4.0,7.0,41.0,29.0,46.0,15.0,57.0,33.0,27.0,0.0,71.0,55.0,11.0,45.0,42.0,153.0,16.0,90.0,80.0,52.0,118.0,28.0,14.0,25.0,19.0
1279,0.0,17.0,18.0,3.0,94.0,31.0,149.0,27.0,80.0,24.0,116.0,154.0,66.0,57.0,38.0,39.0,48.0,13.0,46.0,47.0,148.0,20.0,26.0,4.0,5.0,9.0,35.0,42.0,53.0,21.0
1328,0.0,14.0,9.0,21.0,13.0,79.0,32.0,50.0,23.0,131.0,16.0,3.0,33.0,43.0,45.0,64.0,28.0,15.0,26.0,29.0,30.0,143.0,135.0,56.0,93.0,75.0,115.0,41.0,44.0,34.0
1377,0.0,42.0,14.0,144.0,12.0,35.0,135.0,22.0,8.0,32.0,115.0,29.0,154.0,68.0,39.0,18.0,62.0,26.0,19.0,83.0,13.0,52.0,92.0,31.0,103.0,111.0,25.0,21.0,155.0,3.0
1426,0.0,10.0,21.0,2.0,51.0,36.0,8.0,55.0,18.0,140.0,26.0,156.0,70.0,29.0,1.0,58.0,66.0,72.0,12.0,76.0,75.0,163.0,61.0,16.0,103.0,100.0,27.0,3.0,52.0,146.0
1475,0.0,16.0,5.0,4.0,14.0,9.0,100.0,36.0,24.0,161.0,33.0,146.0,8.0,40.0,25.0,81.0,42.0,37.0,97.0,21.0,46.0,19.0,53.0,10.0,29.0,77.0,11.0,118.0,26.0,31.0
1524,0.0,23.0,10.0,85.0,32.0,38.0,7.0,50.0,6.0,112.0,14.0,41.0,70.0,52.0,90.0,28.0,42.0,49.0,11.0,121.0,25.0,19.0,21.0,27.0,37.0,120.0,130.0,113.0,56.0,67.0
1573,0.0,9.0,23.0,6.0,14.0,46.0,8.0,57.0,30.0,151.0,4.0,10.0,35.0,68.0,83.0,85.0,61.0,65.0,63.0,53.0,33.0,34.0,51.0,24.0,93.0,52.0,42.0,128.0,54.0,158.0
1622,0.0,6.0,16.0,102.0,15.0,18.0,1.0,24.0,10.0,31.0,4.0,159.0,42.0,8.0,81.0,43.0,30.0,74.0,75.0,14.0,48.0,59.0,84.0,60.0,11.0,36.0,58.0,9.0,54.0,88.0
1671,0.0,7.0,40.0,1.0,46.0,18.0,128.0,21.0,10.0,6.0,13.0,144.0,54.0,90.0,55.0,75.0,33.0,41.0,25.0,59.0,11.0,31.0,63.0,35.0,39.0,72.0,38.0,115.0,79.0,4.0
1720,0.0,7.0,10.0,3.0,21.0,17.0,140.0,126.0,22.0,16.0,156.0,50.0,13.0,61.0,67.0,30.0,32.0,132.0,2.0,27.0,52.0,35.0,40.0,88.0,23.0,95.0,33.0,34.0,68.0,109.0
1769,0.0,10.0,7.0,71.0,6.0,20.0,37.0,53.0,32.0,36.0,13.0,100.0,33.0,24.0,8.0,73.0,51.0,60.0,26.0,75.0,157.0,5.0,91.0,66.0,88.0,63.0,23.0,128.0,34.0,132.0
1818,0.0,11.0,14.0,2.0,24.0,12.0,31.0,63.0,35.0,25.0,49.0,68.0,29.0,64.0,56.0,58.0,44.0,51.0,10.0,16.0,15.0,59.0,93.0,4.0,37.0,21.0,57.0,113.0,34.0,158.0
1867,0.0,19.0,16.0,24.0,48.0,31.0,10.0,33.0,148.0,23.0,13.0,156.0,34.0,30.0,53.0,60.0,46.0,25.0,22.0,4.0,3.0,70.0,39.0,11.0,45.0,83.0,9.0,118.0,73.0,15.0
1916,0.0,14.0,9.0,3.0,134.0,125.0,57.0,33.0,32.0,8.0,12.0,23.0,24.0,74.0,36.0,66.0,39.0,22.0,6.0,20.0,65.0,7.0,37.0,16.0,28.0,55.0,19.0,49.0,40.0,10.0
1965,0.0,19.0,49.0,9.0,29.0,68.0,144.0,15.0,132.0,44.0,23.0,1.0,58.0,71.0,32.0,50.0,31.0,30.0,77.0,127.0,40.0,97.0,8.0,25.0,22.0,67.0,113.0,124.0,52.0,65.0
2014,0.0,9.0,10.0,62.0,47.0,48.0,8.0,38.0,72.0,12.0,50.0,2.0,32.0,40.0,55.0,43.0,22.0,33.0,24.0,42.0,35.0,91.0,133.0,27.0,49.0,81.0,124.0,107.0,57.0,26.0
2063,0.0,61.0,8.0,21.0,59.0,95.0,9.0,31.0,35.0,26.0,156.0,54.0,18.0,75.0,47.0,66.0,37.0,3.0,6.0,51.0,86.0,14.0,39.0,83.0,40.0,28.0,23.0,27.0,32.0,1.0
2112,0.0,6.0,15.0,53.0,37.0,38.0,36.0,33.0,35.0,16.0,14.0,3.0,152.0,27.0,40.0,144.0,11.0,28.0,81.0,9.0,12.0,61.0,73.0,20.0,24.0,48.0,102.0,19.0,72.0,125.0
2161,0.0,8.0,33.0,61.0,34.0,73.0,19.0,45.0,44.0,46.0,149.0,11.0,67.0,28.0,22.0,30.0,49.0,68.0,10.0,135.0,56.0,87.0,60.0,24.0,25.0,36.0,114.0,32.0,80.0,81.0
2210,0.0,3.0,13.0,25.0,34.0,61.0,64.0,28.0,7.0,114.0,151.0,155.0,139.0,20.0,42.0,30.0,38.0,19.0,36.0,47.0,24.0,50.0,70.0,49.0,148.0,80.0,119.0,75.0,54.0,16.0
2259,0.0,20.0,16.0,15.0,78.0,10.0,8.0,40.0,67.0,59.0,161.0,151.0,21.0,85.0,147.0,72.0,43.0,50.0,23.0,57.0,12.0,44.0,60.0,24.0,33.0,13.0,70.0,53.0,84.0,105.0
2308,157.0,1.0,77.0,57.0,4.0,8.0,6.0,25.0,2.0,34.0,150.0,15.0,29.0,63.0,23.0,76.0,38.0,19.0,80.0,33.0,32.0,20.0,55.0,14.0,0.0,73.0,124.0,24.0,11.0,158.0
2357,0.0,5.0,12.0,66.0,15.0,82.0,42.0,27.0,44.0,130.0,21.0,8.0,57.0,39.0,72.0,63.0,18.0,36.0,90.0,43.0,55.0,45.0,34.0,41.0,20.0,96.0,98.0,122.0,10.0,13.0
2406,2.0,3.0,22.0,115.0,12.0,7.0,156.0,17.0,86.0,57.0,38.0,37.0,16.0,43.0,74.0,31.0,36.0,48.0,76.0,34.0,64.0,32.0,132.0,24.0,0.0,53.0,47.0,112.0,46.0,83.0
2455,0.0,4.0,55.0,15.0,38.0,12.0,11.0,16.0,26.0,68.0,153.0,146.0,30.0,137.0,88.0,22.0,52.0,133.0,63.0,47.0,14.0,145.0,29.0,91.0,82.0,43.0,62.0,125.0,13.0,8.0
2504,0.0,19.0,17.0,35.0,55.0,27.0,9.0,51.0,83.0,140.0,66.0,76.0,142.0,40.0,68.0,20.0,64.0,56.0,62.0,95.0,28.0,41.0,45.0,23.0,79.0,44.0,116.0,80.0,29.0,16.0
2553,0.0,5.0,11.0,26.0,22.0,12.0,77.0,28.0,57.0,56.0,156.0,27.0,3.0,23.0,70.0,31.0,49.0,32.0,44.0,42.0,4.0,143.0,53.0,35.0,85.0,18.0,116.0,46.0,7.0,160.0
2602,9.0,1.0,31.0,82.0,26.0,4.0,16.0,68.0,73.0,52.0,164.0,8.0,14.0,30.0,32.0,57.0,24.0,156.0,35.0,0.0,150.0,59.0,45.0,46.0,7.0,63.0,114.0,36.0,5.0,51.0
2651,0.0,3.0,6.0,19.0,15.0,5.0,88.0,67.0,45.0,61.0,1.0,95.0,43.0,8.0,28.0,29.0,34.0,76.0,143.0,20.0,59.0,160.0,69.0,140.0,7.0,32.0,84.0,41.0,2.0,71.0
2700,0.0,4.0,6.0,7.0,86.0,10.0,94.0,32.0,141.0,37.0,21.0,38.0,67.0,51.0,27.0,72.0,81.0,13.0,106.0,22.0,87.0,158.0,55.0,91.0,12.0,36.0,31.0,47.0,11.0,147.0
2749,0.0,7.0,9.0,15.0,17.0,54.0,57.0,82.0,34.0,70.0,4.0,157.0,20.0,30.0,23.0,12.0,48.0,141.0,13.0,69.0,150.0,158.0,137.0,65.0,25.0,21.0,113.0,122.0,16.0,74.0
2798,0.0,13.0,7.0,40.0,39.0,12.0,128.0,50.0,143.0,22.0,150.0,20.0,105.0,15.0,68.0,10.0,38.0,141.0,3.0,73.0,48.0,82.0,23.0,57.0,16.0,59.0,118.0,44.0,5.0,56.0
2847,0.0,4.0,6.0,13.0,46.0,14.0,114.0,76.0,49.0,100.0,91.0,151.0,30.0,11.0,140.0,32.0,60.0,61.0,103.0,155.0,94.0,44.0,50.0,51.0,19.0,88.0,120.0,117.0,15.0,17.0
2896,0.0,8.0,7.0,19.0,11.0,14.0,64.0,56.0,47.0,16.0,4.0,51.0,31.0,39.0,130.0,92.0,35.0,44.0,134.0,24.0,45.0,57.0,49.0,50.0,23.0,37.0,120.0,2.0,158.0,132.0
2945,1.0,4.0,16.0,92.0,17.0,7.0,34.0,41.0,21.0,159.0,71.0,48.0,5.0,82.0,31.0,155.0,40.0,47.0,6.0,158.0,73.0,60.0,12.0,10.0,15.0,46.0,37.0,32.0,51.0,125.0
2994,0.0,15.0,70.0,76.0,47.0,36.0,3.0,73.0,16.0,82.0,40.0,152.0,160.0,158.0,5.0,38.0,81.0,22.0,54.0,95.0,56.0,35.0,39.0,41.0,59.0,20.0,104.0,110.0,88.0,25.0
3043,0.0,7.0,19.0,136.0,8.0,10.0,106.0,28.0,3.0,163.0,25.0,6.0,144.0,67.0,11.0,1.0,66.0,47.0,36.0,63.0,27.0,52.0,42.0,57.0,97.0,72.0,99.0,2.0,37.0,5.0
3092,0.0,5.0,23.0,43.0,22.0,19.0,6.0,49.0,142.0,72.0,163.0,36.0,13.0,51.0,38.0,153.0,55.0,34.0,21.0,58.0,39.0,48.0,26.0,76.0,83.0,16.0,15.0,24.0,81.0,160.0
3141,0.0,18.0,4.0,1.0,16.0,31.0,44.0,76.0,133.0,78.0,6.0,21.0,162.0,68.0,24.0,56.0,61.0,74.0,19.0,41.0,23.0,40.0,12.0,138.0,30.0,69.0,8.0,14.0,146.0,46.0
3190,1.0,11.0,15.0,89.0,7.0,13.0,3.0,60.0,142.0,103.0,36.0,159.0,25.0,8.0,52.0,6.0,21.0,50.0,71.0,38.0,153.0,4.0,33.0,80.0,58.0,57.0,62.0,54.0,78.0,120.0
3239,0.0,11.0,13.0,81.0,27.0,6.0,37.0,32.0,1.0,31.0,48.0,103.0,24.0,9.0,72.0,21.0,2.0,18.0,43.0,148.0,70.0,26.0,41.0,42.0,29.0,30.0,99.0,96.0,56.0,47.0
3288,0.0,15.0,4.0,1.0,108.0,72.0,6.0,29.0,5.0,139.0,71.0,140.0,34.0,116.0,13.0,144.0,59.0,21.0,9.0,40.0,52.0,7.0,10.0,27.0,77.0,30.0,117.0,69.0,106.0,46.0
3337,0.0,11.0,9.0,89.0,57.0,30.0,2.0,36.0,14.0,8.0,105.0,46.0,58.0,72.0,1.0,141.0,70.0,47.0,12.0,80.0,25.0,144.0,24.0,59.0,65.0,109.0,116.0,6.0,43.0,142.0
3386,0.0,10.0,12.0,147.0,13.0,3.0,21.0,78.0,42.0,72.0,17.0,66.0,39.0,27.0,16.0,155.0,43.0,57.0,24.0,36.0,28.0,7.0,52.0,55.0,63.0,62.0,116.0,47.0,67.0,141.0
3435,0.0,34.0,11.0,36.0,41.0,116.0,1.0,21.0,15.0,9.0,37.0,3.0,71.0,27.0,64.0,151.0,96.0,52.0,69.0,145.0,19.0,26.0,81.0,22.0,155.0,58.0,51.0,86.0,20.0,24.0
3484,0.0,17.0,19.0,34.0,18.0,37.0,150.0,43.0,32.0,131.0,14.0,5.0,57.0,55.0,58.0,28.0,52.0,48.0,83.0,31.0,61.0,27.0,29.0,46.0,22.0,71.0,6.0,59.0,68.0,50.0
3533,0.0,14.0,48.0,6.0,17.0,53.0,41.0,47.0,15.0,90.0,160.0,1.0,22.0,51.0,19.0,100.0,23.0,82.0,4.0,27.0,32.0,8.0,43.0,35.0,29.0,50.0,7.0,54.0,92.0,91.0
3582,0.0,15.0,8.0,3.0,26.0,48.0,14.0,18.0,43.0,129.0,25.0,19.0,54.0,28.0,65.0,2.0,10.0,21.0,27.0,144.0,152.0,31.0,46.0,53.0,16.0,97.0,49.0,122.0,73.0,36.0
3631,0.0,20.0,6.0,15.0,54.0,14.0,32.0,27.0,46.0,30.0,56.0,58.0,91.0,77.0,11.0,1.0,37.0,126.0,5.0,50.0,21.0,164.0,76.0,62.0,84.0,82.0,51.0,108.0,66.0,17.0
3680,0.0,12.0,9.0,18.0,26.0,36.0,39.0,28.0,143.0,137.0,42.0,7.0,30.0,17.0,11.0,15.0,63.0,71.0,4.0,74.0,33.0,160.0,37.0,25.0,16.0,117.0,31.0,53.0,90.0,76.0
3729,0.0,25.0,16.0,4.0,15.0,105.0,5.0,31.0,74.0,139.0,19.0,144.0,33.0,7.0,8.0,119.0,58.0,155.0,26.0,36.0,14.0,94.0,76.0,12.0,48.0,23.0,47.0,115.0,78.0,27.0
3778,0.0,11.0,7.0,20.0,28.0,26.0,53.0,19.0,89.0,21.0,66.0,3.0,48.0,5.0,8.0,158.0,34.0,67.0,58.0,35.0,75.0,27.0,32.0,37.0,18.0,15.0,49.0,31.0,22.0,14.0
3827,0.0,40.0,25.0,12.0,5.0,88.0,3.0,26.0,57.0,132.0,4.0,17.0,30.0,72.0,51.0,92.0,50.0,131.0,86.0,27.0,43.0,155.0,61.0,34.0,153.0,6.0,62.0,106.0,162.0,46.0
3876,0.0,21.0,11.0,3.0,44.0,64.0,39.0,17.0,50.0,121.0,58.0,60.0,53.0,103.0,25.0,77.0,67.0,4.0,10.0,62.0,47.0,85.0,76.0,14.0,89.0,119.0,28.0,75.0,68.0,157.0
3925,7.0,3.0,32.0,20.0,55.0,101.0,131.0,30.0,84.0,51.0,159.0,148.0,81.0,45.0,49.0,150.0,37.0,59.0,46.0,67.0,19.0,14.0,73.0,70.0,22.0,92.0,118.0,53.0,52.0,13.0
3974,0.0,5.0,13.0,29.0,12.0,24.0,132.0,64.0,40.0,75.0,41.0,148.0,17.0,28.0,81.0,103.0,66.0,55.0,84.0,76.0,108.0,26.0,30.0,15.0,96.0,106.0,10.0,110.0,151.0,80.0
4023,0.0,8.0,23.0,12.0,27.0,124.0,24.0,9.0,17.0,13.0,5.0,32.0,41.0,21.0,29.0,85.0,26.0,30.0,92.0,46.0,91.0,143.0,37.0,58.0,14.0,114.0,1.0,52.0,59.0,81.0
4072,1.0,5.0,13.0,89.0,16.0,37.0,3.0,27.0,140.0,58.0,7.0,77.0,52.0,34.0,50.0,25.0,69.0,24.0,72.0,159.0,151.0,23.0,39.0,20.0,90.0,112.0,10.0,22.0,11.0,14.0
4121,0.0,3.0,8.0,5.0,9.0,23.0,108.0,42.0,15.0,158.0,6.0,38.0,131.0,32.0,140.0,36.0,61.0,49.0,54.0,157.0,12.0,16.0,51.0,19.0,74.0,87.0,109.0,55.0,97.0,151.0
4170,0.0,4.0,6.0,12.0,68.0,50.0,99.0,76.0,33.0,11.0,164.0,70.0,62.0,26.0,139.0,66.0,77.0,29.0,84.0,146.0,47.0,18.0,27.0,25.0,160.0,89.0,126.0,67.0,134.0,157.0
4219,0.0,9.0,12.0,26.0,117.0,118.0,10.0,43.0,52.0,31.0,37.0,6.0,24.0,42.0,90.0,150.0,109.0,46.0,86.0,40.0,39.0,85.0,30.0,13.0,148.0,22.0,1.0,16.0,56.0,53.0
4268,0.0,13.0,9.0,45.0,104.0,121.0,36.0,38.0,76.0,5.0,79.0,34.0,18.0,37.0,137.0,149.0,56.0,16.0,28.0,163.0,30.0,144.0,22.0,7.0,61.0,24.0,4.0,125.0,99.0,132.0
4317,1.0,7.0,16.0,8.0,37.0,19.0,32.0,29.0,53.0,21.0,149.0,36.0,70.0,77.0,26.0,84.0,95.0,22.0,60.0,12.0,28.0,147.0,73.0,47.0,20.0,15.0,97.0,122.0,23.0,51.0
4366,7.0,1.0,19.0,18.0,63.0,91.0,21.0,70.0,25.0,11.0,52.0,101.0,80.0,10.0,143.0,13.0,61.0,56.0,85.0,73.0,66.0,159.0,82.0,53.0,87.0,55.0,118.0,123.0,57.0,79.0
4415,0.0,13.0,2.0,134.0,26.0,71.0,27.0,17.0,7.0,12.0,78.0,159.0,131.0,35.0,20.0,18.0,64.0,65.0,55.0,68.0,44.0,160.0,87.0,16.0,80.0,86.0,37.0,73.0,31.0,45.0
4464,0.0,10.0,3.0,5.0,1.0,52.0,8.0,25.0,31.0,6.0,41.0,21.0,71.0,20.0,112.0,34.0,38.0,22.0,57.0,36.0,153.0,160.0,45.0,111.0,53.0,37.0,93.0,114.0,46.0,76.0
4513,0.0,4.0,5.0,126.0,34.0,24.0,27.0,13.0,18.0,30.0,77.0,158.0,130.0,65.0,25.0,7.0,36.0,15.0,3.0,132.0,33.0,80.0,61.0,152.0,81.0,60.0,113.0,17.0,91.0,14.0
4562,0.0,9.0,27.0,1.0,120.0,20.0,126.0,21.0,18.0,129.0,93.0,163.0,48.0,15.0,36.0,23.0,28.0,19.0,137.0,62.0,49.0,26.0,69.0,142.0,155.0,32.0,64.0,54.0,51.0,66.0
4611,0.0,13.0,1.0,18.0,101.0,108.0,35.0,28.0,79.0,145.0,2.0,154.0,34.0,10.0,27.0,39.0,47.0,31.0,45.0,21.0,58.0,32.0,43.0,54.0,24.0,76.0,42.0,50.0,19.0,5.0
4660,0.0,17.0,3.0,18.0,148.0,27.0,4.0,44.0,41.0,12.0,97.0,71.0,36.0,5.0,35.0,28.0,68.0,21.0,9.0,13.0,79.0,1.0,57.0,63.0,20.0,25.0,49.0,80.0,85.0,46.0
4709,0.0,8.0,7.0,12.0,23.0,15.0,4.0,33.0,11.0,131.0,38.0,87.0,161.0,1.0,137.0,77.0,47.0,22.0,73.0,2.0,42.0,153.0,68.0,60.0,24.0,54.0,52.0,62.0,66.0,64.0
4758,0.0,17.0,22.0,6.0,4.0,24.0,105.0,21.0,23.0,9.0,72.0,3.0,52.0,50.0,41.0,157.0,33.0,129.0,55.0,1.0,34.0,92.0,75.0,89.0,46.0,53.0,18.0,20.0,26.0,57.0
4807,0.0,17.0,9.0,127.0,29.0,22.0,8.0,70.0,97.0,15.0,46.0,28.0,104.0,49.0,50.0,41.0,56.0,18.0,11.0,32.0,31.0,6.0,91.0,60.0,14.0,45.0,55.0,43.0,67.0,101.0
4856,0.0,9.0,2.0,66.0,7.0,6.0,90.0,18.0,130.0,10.0,21.0,124.0,14.0,40.0,57.0,13.0,39.0,127.0,48.0,31.0,60.0,55.0,11.0,56.0,46.0,27.0,44.0,4.0,5.0,15.0
