,1-methylnicotinamide,C22:6 CE,urate,oxalate,creatinine,C20:4 CE,C56:5 TAG,dCMP,PEP,leucine,malondialdehyde,C16:0 LPE,C18:0 LPC,cotinine,UMP,uracil,C18:0 LPE,alpha-glycerophosphate,palmitoylcarnitine,niacinamide,pantothenate,C22:6 LPE,3-phosphoglycerate,phosphocreatine,C36:1 DAG,C34:4 PC,GABA,cytidine,inositol,SDMA/ADMA
511,0.0,1.0,29.0,11.0,15.0,2.0,9.0,16.0,3.0,8.0,24.0,4.0,6.0,25.0,5.0,21.0,13.0,26.0,17.0,23.0,30.0,10.0,7.0,28.0,44.0,18.0,12.0,32.0,19.0,37.0
560,0.0,1.0,9.0,8.0,19.0,4.0,20.0,21.0,2.0,3.0,36.0,14.0,7.0,25.0,11.0,10.0,16.0,24.0,15.0,27.0,22.0,6.0,5.0,37.0,34.0,18.0,31.0,29.0,48.0,43.0
609,0.0,1.0,12.0,4.0,7.0,3.0,13.0,5.0,14.0,9.0,17.0,2.0,11.0,30.0,26.0,6.0,21.0,25.0,33.0,10.0,18.0,19.0,8.0,27.0,29.0,40.0,15.0,22.0,35.0,59.0
658,0.0,1.0,5.0,6.0,7.0,3.0,8.0,22.0,2.0,20.0,32.0,12.0,4.0,24.0,36.0,10.0,15.0,17.0,47.0,31.0,16.0,11.0,13.0,27.0,54.0,25.0,28.0,18.0,21.0,26.0
707,0.0,1.0,7.0,9.0,4.0,2.0,3.0,24.0,17.0,16.0,27.0,13.0,5.0,50.0,38.0,26.0,49.0,10.0,14.0,41.0,44.0,12.0,6.0,40.0,23.0,20.0,15.0,29.0,18.0,30.0
756,0.0,2.0,4.0,5.0,10.0,1.0,3.0,44.0,9.0,11.0,18.0,7.0,22.0,40.0,21.0,19.0,32.0,15.0,25.0,34.0,13.0,20.0,8.0,30.0,57.0,35.0,37.0,17.0,27.0,12.0
805,0.0,1.0,6.0,5.0,3.0,2.0,10.0,7.0,12.0,13.0,29.0,8.0,9.0,18.0,14.0,16.0,17.0,33.0,22.0,28.0,35.0,11.0,4.0,25.0,59.0,21.0,30.0,49.0,65.0,54.0
854,0.0,1.0,3.0,8.0,4.0,2.0,10.0,7.0,12.0,6.0,23.0,13.0,9.0,16.0,26.0,15.0,17.0,20.0,37.0,11.0,43.0,47.0,5.0,31.0,62.0,27.0,28.0,19.0,54.0,24.0
903,0.0,2.0,7.0,9.0,4.0,3.0,5.0,17.0,11.0,12.0,29.0,1.0,8.0,14.0,13.0,21.0,15.0,24.0,50.0,19.0,28.0,6.0,10.0,20.0,46.0,18.0,35.0,26.0,42.0,38.0
952,0.0,1.0,7.0,10.0,8.0,3.0,2.0,26.0,4.0,17.0,11.0,6.0,9.0,15.0,12.0,23.0,22.0,18.0,16.0,21.0,35.0,13.0,5.0,39.0,43.0,29.0,20.0,37.0,44.0,56.0
1001,0.0,1.0,3.0,9.0,8.0,6.0,2.0,5.0,7.0,16.0,4.0,10.0,34.0,15.0,25.0,19.0,14.0,17.0,24.0,22.0,46.0,11.0,18.0,13.0,20.0,28.0,32.0,43.0,53.0,47.0
1050,0.0,1.0,14.0,19.0,3.0,9.0,2.0,32.0,5.0,6.0,4.0,11.0,28.0,36.0,30.0,13.0,7.0,20.0,18.0,24.0,12.0,17.0,10.0,27.0,8.0,26.0,35.0,21.0,54.0,53.0
1099,0.0,1.0,5.0,4.0,7.0,11.0,2.0,9.0,6.0,12.0,3.0,31.0,10.0,21.0,43.0,16.0,45.0,14.0,13.0,33.0,28.0,19.0,8.0,24.0,22.0,25.0,53.0,61.0,42.0,52.0
1148,0.0,1.0,6.0,2.0,15.0,11.0,4.0,13.0,3.0,10.0,8.0,17.0,5.0,21.0,18.0,22.0,12.0,9.0,31.0,34.0,36.0,14.0,7.0,26.0,16.0,19.0,33.0,23.0,54.0,56.0
1197,0.0,1.0,10.0,4.0,9.0,5.0,3.0,17.0,7.0,24.0,2.0,43.0,6.0,21.0,33.0,11.0,13.0,25.0,14.0,26.0,15.0,8.0,28.0,35.0,19.0,12.0,20.0,32.0,58.0,42.0
1246,0.0,1.0,3.0,17.0,2.0,7.0,4.0,6.0,14.0,11.0,15.0,20.0,9.0,16.0,26.0,44.0,5.0,21.0,13.0,27.0,10.0,19.0,23.0,33.0,8.0,12.0,32.0,50.0,59.0,34.0
1295,0.0,1.0,8.0,3.0,4.0,2.0,7.0,5.0,9.0,30.0,20.0,10.0,6.0,34.0,42.0,15.0,14.0,22.0,13.0,24.0,11.0,17.0,23.0,28.0,19.0,52.0,35.0,40.0,54.0,65.0
1344,0.0,1.0,3.0,2.0,4.0,12.0,6.0,5.0,21.0,28.0,10.0,8.0,7.0,34.0,27.0,24.0,18.0,17.0,16.0,29.0,46.0,9.0,59.0,15.0,26.0,14.0,13.0,61.0,64.0,20.0
1393,0.0,1.0,3.0,20.0,2.0,6.0,5.0,10.0,16.0,9.0,8.0,14.0,4.0,30.0,48.0,22.0,7.0,47.0,13.0,46.0,64.0,56.0,24.0,23.0,15.0,36.0,61.0,28.0,41.0,11.0
1442,0.0,1.0,3.0,9.0,2.0,7.0,4.0,5.0,19.0,13.0,8.0,35.0,12.0,45.0,23.0,32.0,11.0,6.0,17.0,28.0,21.0,47.0,36.0,15.0,10.0,27.0,26.0,62.0,29.0,60.0
1491,0.0,1.0,2.0,4.0,9.0,15.0,7.0,3.0,5.0,38.0,16.0,28.0,6.0,10.0,8.0,12.0,49.0,13.0,18.0,21.0,47.0,14.0,11.0,52.0,27.0,20.0,22.0,32.0,26.0,31.0
1540,0.0,2.0,6.0,3.0,9.0,44.0,1.0,7.0,35.0,19.0,17.0,11.0,8.0,14.0,13.0,4.0,5.0,21.0,48.0,24.0,65.0,10.0,23.0,32.0,30.0,28.0,26.0,31.0,16.0,18.0
1589,0.0,5.0,6.0,1.0,9.0,16.0,2.0,4.0,28.0,13.0,7.0,23.0,10.0,3.0,20.0,21.0,12.0,37.0,19.0,8.0,26.0,11.0,36.0,30.0,18.0,53.0,15.0,40.0,31.0,14.0
1638,0.0,1.0,5.0,11.0,6.0,36.0,3.0,10.0,8.0,16.0,14.0,7.0,15.0,12.0,2.0,4.0,9.0,24.0,13.0,60.0,22.0,34.0,21.0,17.0,27.0,40.0,23.0,29.0,57.0,30.0
1687,0.0,1.0,3.0,5.0,9.0,8.0,2.0,6.0,17.0,4.0,31.0,15.0,18.0,16.0,20.0,7.0,12.0,42.0,28.0,22.0,19.0,58.0,27.0,35.0,45.0,29.0,54.0,38.0,13.0,23.0
1736,0.0,1.0,6.0,4.0,15.0,7.0,3.0,10.0,14.0,2.0,23.0,13.0,8.0,5.0,12.0,37.0,19.0,11.0,21.0,48.0,47.0,20.0,39.0,17.0,26.0,43.0,30.0,33.0,9.0,16.0
1785,0.0,1.0,4.0,2.0,5.0,14.0,3.0,7.0,12.0,6.0,35.0,34.0,19.0,11.0,9.0,8.0,18.0,10.0,24.0,50.0,20.0,28.0,54.0,42.0,15.0,46.0,16.0,37.0,17.0,13.0
1834,0.0,1.0,6.0,3.0,17.0,24.0,11.0,7.0,21.0,4.0,10.0,25.0,8.0,29.0,2.0,22.0,5.0,12.0,43.0,23.0,16.0,14.0,18.0,26.0,40.0,38.0,15.0,13.0,44.0,54.0
1883,0.0,1.0,33.0,4.0,15.0,10.0,2.0,7.0,19.0,12.0,16.0,13.0,11.0,3.0,5.0,25.0,8.0,17.0,18.0,14.0,26.0,41.0,38.0,23.0,20.0,52.0,55.0,29.0,27.0,30.0
1932,0.0,2.0,9.0,3.0,14.0,17.0,1.0,6.0,8.0,5.0,10.0,20.0,39.0,13.0,7.0,12.0,19.0,27.0,30.0,4.0,22.0,40.0,41.0,37.0,36.0,63.0,26.0,43.0,18.0,11.0
1981,0.0,1.0,5.0,8.0,7.0,13.0,2.0,17.0,11.0,3.0,4.0,10.0,27.0,24.0,16.0,9.0,26.0,34.0,51.0,50.0,15.0,28.0,20.0,22.0,30.0,18.0,35.0,53.0,6.0,49.0
2030,0.0,1.0,5.0,10.0,3.0,4.0,6.0,7.0,14.0,2.0,27.0,11.0,15.0,20.0,12.0,9.0,21.0,18.0,45.0,60.0,38.0,52.0,31.0,19.0,24.0,13.0,39.0,44.0,16.0,47.0
2079,0.0,1.0,3.0,5.0,6.0,9.0,2.0,8.0,14.0,4.0,11.0,12.0,23.0,31.0,22.0,7.0,20.0,45.0,44.0,24.0,19.0,17.0,38.0,10.0,13.0,33.0,50.0,59.0,30.0,60.0
2128,0.0,1.0,4.0,5.0,7.0,10.0,3.0,6.0,20.0,2.0,8.0,27.0,39.0,12.0,11.0,9.0,17.0,21.0,31.0,33.0,22.0,32.0,45.0,25.0,13.0,35.0,18.0,29.0,37.0,26.0
2177,0.0,1.0,28.0,6.0,11.0,3.0,2.0,8.0,59.0,4.0,5.0,9.0,20.0,7.0,31.0,10.0,19.0,25.0,26.0,33.0,13.0,54.0,41.0,14.0,15.0,21.0,22.0,32.0,23.0,38.0
2226,0.0,1.0,6.0,4.0,14.0,8.0,2.0,5.0,13.0,3.0,7.0,9.0,25.0,26.0,27.0,10.0,24.0,11.0,16.0,47.0,19.0,20.0,53.0,12.0,17.0,50.0,34.0,23.0,54.0,56.0
2275,0.0,2.0,4.0,12.0,15.0,8.0,1.0,3.0,14.0,5.0,6.0,54.0,31.0,9.0,7.0,11.0,13.0,22.0,20.0,24.0,50.0,58.0,37.0,18.0,29.0,30.0,51.0,17.0,23.0,39.0
2324,0.0,4.0,2.0,7.0,24.0,14.0,3.0,5.0,9.0,1.0,6.0,19.0,37.0,16.0,15.0,8.0,11.0,13.0,10.0,32.0,20.0,44.0,21.0,29.0,12.0,26.0,41.0,18.0,33.0,46.0
2373,0.0,1.0,3.0,9.0,6.0,14.0,2.0,7.0,31.0,11.0,5.0,10.0,22.0,13.0,23.0,4.0,44.0,25.0,28.0,52.0,20.0,24.0,62.0,16.0,17.0,12.0,33.0,18.0,15.0,57.0
2422,0.0,1.0,2.0,9.0,16.0,17.0,3.0,6.0,25.0,5.0,4.0,10.0,46.0,7.0,30.0,8.0,12.0,13.0,14.0,32.0,23.0,37.0,33.0,36.0,20.0,28.0,21.0,26.0,40.0,19.0
2471,0.0,1.0,6.0,8.0,21.0,3.0,5.0,7.0,22.0,10.0,2.0,24.0,33.0,38.0,39.0,17.0,4.0,9.0,15.0,14.0,12.0,23.0,25.0,18.0,42.0,41.0,51.0,27.0,16.0,58.0
2520,0.0,1.0,6.0,7.0,18.0,5.0,11.0,2.0,20.0,12.0,3.0,16.0,13.0,27.0,21.0,29.0,51.0,4.0,23.0,17.0,8.0,22.0,10.0,14.0,40.0,9.0,61.0,26.0,15.0,39.0
2569,0.0,1.0,5.0,2.0,8.0,3.0,4.0,6.0,9.0,19.0,16.0,11.0,13.0,10.0,18.0,7.0,26.0,14.0,25.0,23.0,12.0,15.0,34.0,32.0,39.0,40.0,46.0,22.0,56.0,44.0
2618,0.0,3.0,4.0,1.0,14.0,6.0,5.0,7.0,11.0,30.0,2.0,15.0,21.0,12.0,50.0,26.0,8.0,18.0,10.0,29.0,23.0,9.0,16.0,35.0,20.0,17.0,38.0,40.0,13.0,24.0
2667,0.0,1.0,5.0,4.0,11.0,6.0,3.0,2.0,31.0,9.0,7.0,17.0,25.0,15.0,23.0,40.0,19.0,10.0,12.0,22.0,8.0,20.0,35.0,24.0,49.0,18.0,13.0,58.0,27.0,16.0
2716,0.0,1.0,7.0,6.0,10.0,9.0,3.0,11.0,15.0,28.0,4.0,8.0,22.0,2.0,21.0,36.0,29.0,18.0,20.0,5.0,16.0,17.0,14.0,57.0,47.0,23.0,27.0,25.0,12.0,13.0
2765,0.0,1.0,5.0,3.0,4.0,2.0,10.0,6.0,15.0,13.0,8.0,12.0,17.0,20.0,31.0,54.0,7.0,14.0,35.0,18.0,9.0,11.0,21.0,34.0,33.0,44.0,16.0,36.0,26.0,42.0
2814,0.0,1.0,6.0,5.0,8.0,2.0,7.0,3.0,4.0,10.0,14.0,11.0,26.0,19.0,15.0,16.0,9.0,13.0,28.0,29.0,17.0,35.0,22.0,31.0,27.0,32.0,20.0,23.0,18.0,34.0
2863,0.0,1.0,4.0,2.0,20.0,6.0,9.0,11.0,13.0,18.0,5.0,22.0,3.0,10.0,16.0,23.0,15.0,12.0,21.0,24.0,7.0,14.0,25.0,50.0,55.0,32.0,8.0,17.0,30.0,34.0
2912,0.0,1.0,2.0,3.0,21.0,12.0,8.0,10.0,4.0,17.0,5.0,23.0,11.0,7.0,6.0,25.0,15.0,13.0,22.0,16.0,9.0,18.0,14.0,24.0,20.0,47.0,28.0,32.0,37.0,48.0
2961,0.0,1.0,8.0,4.0,3.0,5.0,13.0,20.0,7.0,2.0,6.0,19.0,23.0,10.0,17.0,33.0,31.0,15.0,25.0,14.0,9.0,45.0,64.0,39.0,37.0,11.0,34.0,35.0,16.0,27.0
3010,0.0,1.0,2.0,4.0,6.0,12.0,20.0,3.0,5.0,30.0,10.0,14.0,7.0,36.0,9.0,13.0,25.0,21.0,49.0,15.0,8.0,48.0,17.0,37.0,19.0,11.0,63.0,18.0,27.0,35.0
3059,0.0,1.0,3.0,13.0,2.0,11.0,5.0,9.0,18.0,16.0,42.0,14.0,7.0,32.0,6.0,8.0,21.0,34.0,22.0,4.0,31.0,49.0,20.0,10.0,30.0,23.0,45.0,51.0,36.0,29.0
3108,0.0,1.0,3.0,9.0,2.0,5.0,4.0,8.0,41.0,20.0,24.0,15.0,32.0,12.0,6.0,25.0,10.0,36.0,16.0,17.0,14.0,58.0,19.0,21.0,43.0,47.0,48.0,40.0,11.0,51.0
3157,0.0,1.0,3.0,5.0,2.0,31.0,19.0,6.0,13.0,7.0,10.0,14.0,26.0,12.0,4.0,49.0,15.0,11.0,36.0,8.0,9.0,41.0,21.0,32.0,30.0,35.0,27.0,44.0,17.0,52.0
3206,0.0,1.0,2.0,4.0,7.0,8.0,12.0,5.0,13.0,14.0,38.0,19.0,17.0,22.0,3.0,6.0,27.0,29.0,11.0,9.0,36.0,45.0,24.0,18.0,61.0,33.0,20.0,47.0,15.0,51.0
3255,0.0,1.0,3.0,7.0,2.0,19.0,8.0,16.0,5.0,13.0,22.0,45.0,14.0,25.0,11.0,17.0,6.0,26.0,39.0,4.0,12.0,35.0,58.0,50.0,55.0,37.0,38.0,60.0,36.0,30.0
3304,0.0,1.0,2.0,5.0,14.0,6.0,9.0,11.0,40.0,15.0,24.0,8.0,16.0,13.0,3.0,12.0,7.0,18.0,19.0,4.0,27.0,53.0,62.0,54.0,64.0,26.0,35.0,42.0,39.0,17.0
3353,0.0,1.0,3.0,16.0,2.0,6.0,12.0,11.0,24.0,10.0,17.0,4.0,13.0,40.0,7.0,27.0,5.0,28.0,14.0,15.0,19.0,36.0,59.0,21.0,35.0,43.0,31.0,32.0,46.0,41.0
3402,0.0,1.0,2.0,41.0,6.0,8.0,5.0,29.0,20.0,40.0,4.0,7.0,27.0,9.0,12.0,14.0,3.0,46.0,22.0,10.0,39.0,44.0,32.0,24.0,21.0,13.0,28.0,48.0,15.0,11.0
3451,0.0,1.0,2.0,4.0,6.0,3.0,11.0,7.0,52.0,8.0,33.0,37.0,48.0,5.0,13.0,10.0,30.0,34.0,9.0,18.0,22.0,16.0,53.0,14.0,50.0,57.0,45.0,19.0,23.0,17.0
3500,0.0,1.0,4.0,3.0,2.0,6.0,17.0,15.0,12.0,7.0,14.0,5.0,22.0,8.0,23.0,13.0,9.0,18.0,10.0,36.0,21.0,16.0,42.0,39.0,47.0,25.0,33.0,38.0,29.0,19.0
3549,0.0,2.0,1.0,5.0,8.0,6.0,7.0,12.0,11.0,4.0,19.0,3.0,35.0,10.0,18.0,17.0,21.0,13.0,14.0,15.0,25.0,29.0,20.0,28.0,39.0,31.0,26.0,24.0,9.0,16.0
3598,0.0,3.0,1.0,2.0,4.0,13.0,10.0,16.0,18.0,5.0,26.0,25.0,32.0,7.0,42.0,19.0,24.0,6.0,9.0,27.0,12.0,22.0,20.0,40.0,35.0,33.0,15.0,57.0,31.0,8.0
3647,0.0,2.0,13.0,4.0,1.0,3.0,24.0,12.0,30.0,10.0,8.0,18.0,5.0,7.0,28.0,43.0,21.0,33.0,9.0,35.0,23.0,6.0,37.0,53.0,14.0,57.0,25.0,38.0,51.0,11.0
3696,0.0,1.0,4.0,9.0,2.0,5.0,26.0,6.0,11.0,13.0,21.0,8.0,10.0,3.0,14.0,7.0,16.0,24.0,18.0,19.0,34.0,12.0,57.0,27.0,54.0,46.0,39.0,58.0,29.0,17.0
3745,0.0,1.0,4.0,6.0,3.0,2.0,21.0,14.0,13.0,5.0,7.0,11.0,25.0,34.0,16.0,28.0,8.0,9.0,17.0,15.0,19.0,33.0,18.0,62.0,20.0,48.0,29.0,57.0,32.0,30.0
3794,0.0,1.0,5.0,8.0,4.0,3.0,21.0,7.0,22.0,2.0,19.0,17.0,11.0,16.0,15.0,31.0,18.0,10.0,13.0,9.0,12.0,6.0,33.0,58.0,66.0,48.0,27.0,55.0,39.0,28.0
3843,0.0,2.0,3.0,14.0,1.0,6.0,60.0,7.0,5.0,4.0,13.0,37.0,10.0,9.0,56.0,11.0,18.0,15.0,12.0,17.0,44.0,19.0,32.0,38.0,55.0,64.0,30.0,63.0,24.0,41.0
3892,0.0,6.0,2.0,3.0,1.0,7.0,32.0,12.0,13.0,4.0,20.0,19.0,16.0,14.0,8.0,22.0,5.0,9.0,15.0,27.0,17.0,10.0,45.0,40.0,23.0,24.0,26.0,25.0,35.0,33.0
3941,0.0,2.0,1.0,10.0,4.0,12.0,11.0,14.0,7.0,6.0,5.0,13.0,17.0,3.0,21.0,18.0,8.0,16.0,38.0,22.0,15.0,40.0,20.0,19.0,30.0,62.0,50.0,24.0,37.0,9.0
3990,0.0,1.0,3.0,23.0,4.0,6.0,5.0,8.0,30.0,10.0,9.0,7.0,2.0,17.0,52.0,18.0,19.0,27.0,15.0,11.0,13.0,34.0,24.0,40.0,28.0,16.0,46.0,20.0,12.0,32.0
4039,0.0,1.0,2.0,23.0,4.0,9.0,11.0,10.0,8.0,6.0,3.0,19.0,12.0,18.0,38.0,7.0,16.0,13.0,17.0,5.0,33.0,26.0,29.0,15.0,21.0,22.0,25.0,30.0,14.0,41.0
4088,0.0,2.0,1.0,27.0,8.0,5.0,9.0,4.0,6.0,18.0,3.0,20.0,11.0,24.0,12.0,13.0,16.0,17.0,32.0,33.0,10.0,22.0,45.0,7.0,14.0,23.0,55.0,30.0,19.0,43.0
4137,0.0,4.0,1.0,7.0,3.0,5.0,11.0,20.0,2.0,13.0,6.0,25.0,10.0,17.0,33.0,18.0,28.0,15.0,21.0,8.0,22.0,49.0,23.0,24.0,16.0,27.0,55.0,32.0,14.0,54.0
4186,0.0,1.0,2.0,7.0,4.0,8.0,6.0,3.0,21.0,18.0,19.0,10.0,17.0,23.0,14.0,22.0,13.0,9.0,36.0,15.0,12.0,16.0,32.0,5.0,30.0,26.0,31.0,27.0,29.0,49.0
4235,0.0,4.0,1.0,2.0,10.0,29.0,17.0,6.0,20.0,18.0,5.0,33.0,8.0,14.0,62.0,15.0,13.0,3.0,49.0,12.0,21.0,11.0,46.0,9.0,39.0,45.0,34.0,27.0,30.0,42.0
4284,0.0,2.0,3.0,7.0,1.0,13.0,17.0,6.0,12.0,27.0,8.0,11.0,5.0,4.0,32.0,16.0,10.0,26.0,23.0,22.0,20.0,28.0,30.0,21.0,60.0,15.0,33.0,35.0,43.0,64.0
4333,0.0,2.0,1.0,14.0,4.0,12.0,5.0,6.0,3.0,16.0,27.0,63.0,18.0,10.0,30.0,11.0,9.0,13.0,32.0,29.0,7.0,20.0,15.0,26.0,43.0,33.0,17.0,42.0,21.0,40.0
4382,0.0,16.0,8.0,5.0,1.0,7.0,4.0,9.0,2.0,34.0,6.0,47.0,10.0,3.0,22.0,18.0,37.0,35.0,12.0,17.0,15.0,19.0,11.0,13.0,30.0,33.0,52.0,36.0,38.0,51.0
4431,0.0,2.0,26.0,1.0,3.0,8.0,7.0,5.0,16.0,13.0,12.0,15.0,9.0,39.0,11.0,29.0,19.0,14.0,25.0,4.0,18.0,6.0,27.0,10.0,42.0,55.0,45.0,49.0,44.0,22.0
4480,0.0,1.0,18.0,10.0,2.0,12.0,9.0,3.0,6.0,14.0,11.0,16.0,17.0,30.0,4.0,5.0,36.0,22.0,23.0,8.0,44.0,7.0,28.0,20.0,24.0,46.0,13.0,56.0,48.0,42.0
4529,0.0,1.0,18.0,3.0,2.0,12.0,10.0,4.0,8.0,22.0,6.0,11.0,5.0,19.0,9.0,14.0,27.0,30.0,33.0,7.0,29.0,28.0,17.0,23.0,24.0,39.0,32.0,42.0,64.0,38.0
4578,0.0,1.0,4.0,8.0,3.0,12.0,9.0,2.0,13.0,14.0,30.0,6.0,20.0,36.0,7.0,10.0,25.0,52.0,19.0,5.0,15.0,17.0,46.0,38.0,22.0,27.0,16.0,53.0,33.0,11.0
4627,0.0,1.0,29.0,6.0,2.0,5.0,8.0,3.0,22.0,28.0,12.0,34.0,14.0,31.0,16.0,11.0,24.0,26.0,15.0,4.0,21.0,10.0,36.0,19.0,39.0,58.0,17.0,32.0,52.0,9.0
4676,0.0,2.0,33.0,5.0,1.0,10.0,12.0,4.0,9.0,6.0,13.0,15.0,7.0,11.0,8.0,3.0,18.0,44.0,19.0,14.0,45.0,21.0,39.0,16.0,22.0,40.0,24.0,17.0,51.0,27.0
4725,0.0,1.0,21.0,4.0,2.0,17.0,7.0,5.0,13.0,15.0,6.0,11.0,27.0,19.0,8.0,59.0,29.0,20.0,16.0,3.0,40.0,14.0,30.0,28.0,46.0,60.0,22.0,9.0,34.0,25.0
4774,0.0,2.0,5.0,3.0,6.0,7.0,4.0,1.0,21.0,46.0,17.0,12.0,11.0,18.0,8.0,19.0,27.0,34.0,31.0,14.0,13.0,35.0,30.0,63.0,20.0,54.0,42.0,23.0,45.0,9.0
4823,0.0,2.0,8.0,1.0,6.0,18.0,10.0,3.0,9.0,5.0,4.0,7.0,11.0,37.0,12.0,34.0,22.0,13.0,16.0,32.0,23.0,25.0,14.0,20.0,54.0,29.0,39.0,42.0,17.0,35.0
4872,0.0,3.0,5.0,21.0,6.0,10.0,2.0,4.0,7.0,8.0,25.0,14.0,19.0,13.0,1.0,12.0,11.0,35.0,33.0,22.0,9.0,64.0,24.0,23.0,16.0,27.0,47.0,15.0,53.0,56.0
