,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
1475,59.0,33.0,18.0,1.0,38.0,3.0,20.0,91.0,21.0,15.0,118.0,43.0,14.0,67.0,22.0,6.0,54.0,44.0,49.0,53.0,73.0,40.0,31.0,28.0,50.0,95.0,56.0,48.0,120.0,37.0
1524,15.0,11.0,13.0,23.0,75.0,7.0,8.0,79.0,26.0,44.0,37.0,27.0,43.0,40.0,3.0,31.0,32.0,9.0,92.0,65.0,53.0,18.0,84.0,33.0,1.0,91.0,50.0,66.0,117.0,22.0
1573,10.0,31.0,14.0,129.0,48.0,28.0,24.0,57.0,18.0,45.0,120.0,32.0,59.0,71.0,133.0,42.0,20.0,1.0,102.0,26.0,92.0,64.0,47.0,144.0,36.0,131.0,49.0,91.0,23.0,85.0
1622,22.0,29.0,27.0,63.0,12.0,5.0,47.0,43.0,37.0,31.0,14.0,52.0,46.0,88.0,115.0,65.0,90.0,141.0,98.0,35.0,100.0,69.0,39.0,158.0,7.0,91.0,97.0,55.0,3.0,121.0
1671,34.0,30.0,37.0,18.0,45.0,15.0,61.0,13.0,38.0,25.0,91.0,47.0,16.0,88.0,52.0,60.0,58.0,56.0,11.0,50.0,21.0,20.0,71.0,67.0,7.0,94.0,103.0,69.0,101.0,95.0
1720,45.0,18.0,48.0,57.0,23.0,11.0,25.0,95.0,67.0,8.0,74.0,73.0,37.0,91.0,15.0,33.0,52.0,12.0,76.0,86.0,99.0,4.0,54.0,47.0,5.0,17.0,70.0,82.0,85.0,35.0
1769,20.0,54.0,0.0,55.0,41.0,17.0,15.0,69.0,21.0,50.0,11.0,13.0,53.0,28.0,124.0,46.0,58.0,6.0,16.0,160.0,157.0,14.0,29.0,156.0,45.0,98.0,65.0,52.0,72.0,64.0
1818,43.0,62.0,11.0,121.0,36.0,2.0,50.0,54.0,4.0,56.0,5.0,41.0,8.0,116.0,1.0,18.0,37.0,26.0,59.0,40.0,65.0,114.0,51.0,66.0,87.0,6.0,10.0,69.0,129.0,53.0
1867,35.0,46.0,58.0,5.0,44.0,29.0,14.0,72.0,8.0,9.0,66.0,54.0,50.0,88.0,4.0,34.0,33.0,20.0,125.0,116.0,74.0,145.0,62.0,37.0,1.0,43.0,18.0,15.0,132.0,30.0
1916,26.0,31.0,10.0,143.0,22.0,7.0,138.0,74.0,46.0,53.0,132.0,52.0,19.0,43.0,44.0,96.0,61.0,15.0,28.0,41.0,65.0,121.0,51.0,129.0,8.0,67.0,163.0,50.0,81.0,79.0
1965,10.0,6.0,36.0,0.0,22.0,11.0,42.0,46.0,65.0,59.0,12.0,48.0,43.0,157.0,53.0,63.0,44.0,139.0,40.0,2.0,57.0,159.0,73.0,52.0,38.0,70.0,58.0,85.0,5.0,35.0
2014,12.0,30.0,71.0,127.0,70.0,48.0,52.0,125.0,19.0,25.0,75.0,105.0,33.0,112.0,14.0,41.0,34.0,6.0,8.0,7.0,10.0,0.0,58.0,94.0,3.0,38.0,46.0,26.0,57.0,81.0
2063,23.0,59.0,45.0,120.0,66.0,40.0,25.0,57.0,43.0,51.0,14.0,36.0,46.0,68.0,21.0,48.0,30.0,19.0,109.0,29.0,38.0,70.0,54.0,22.0,27.0,79.0,163.0,16.0,41.0,67.0
2112,13.0,32.0,18.0,19.0,61.0,30.0,1.0,24.0,64.0,23.0,12.0,53.0,60.0,148.0,47.0,107.0,35.0,10.0,102.0,136.0,77.0,33.0,51.0,163.0,161.0,14.0,15.0,76.0,20.0,27.0
2161,7.0,12.0,55.0,13.0,15.0,36.0,26.0,23.0,72.0,42.0,27.0,66.0,64.0,6.0,10.0,59.0,38.0,83.0,20.0,3.0,163.0,119.0,40.0,30.0,141.0,44.0,71.0,47.0,8.0,28.0
2210,16.0,31.0,41.0,124.0,26.0,46.0,38.0,11.0,62.0,52.0,9.0,40.0,15.0,101.0,27.0,42.0,17.0,7.0,67.0,33.0,61.0,34.0,32.0,23.0,71.0,68.0,70.0,98.0,30.0,90.0
