,CORO2A,TSTD1,AKR1E2,C1orf186,ZBED6CL,SLFN13,OCIAD2,FZD6,RP11-390F4.3,RAB3D,PLAGL1,ADRB2,ZNF185,LXN,RP11-2B6.3,SYTL1,XDH,S100A2,GALNT14,LAMB3,RP11-330L19.1,CCDC120,ZDHHC12,PRSS16,APOL1,HNF1B,ANKS6,PTPN3,MLK4,RIN2
4419,0.0,9.0,1.0,16.0,7.0,5.0,3.0,63.0,214.0,15.0,40.0,33.0,8.0,12.0,23.0,27.0,29.0,6.0,2.0,51.0,93.0,106.0,213.0,17.0,150.0,77.0,78.0,56.0,90.0,22.0
4468,0.0,4.0,5.0,28.0,1.0,3.0,10.0,2.0,66.0,19.0,30.0,9.0,75.0,113.0,16.0,80.0,519.0,25.0,23.0,31.0,46.0,109.0,105.0,22.0,42.0,103.0,29.0,47.0,38.0,91.0
4517,0.0,6.0,1.0,11.0,2.0,3.0,10.0,13.0,18.0,12.0,34.0,49.0,7.0,14.0,16.0,130.0,64.0,5.0,81.0,15.0,196.0,174.0,95.0,26.0,50.0,38.0,56.0,221.0,9.0,60.0
4566,0.0,17.0,2.0,9.0,4.0,1.0,11.0,3.0,633.0,32.0,77.0,5.0,49.0,12.0,25.0,30.0,14.0,51.0,13.0,47.0,18.0,66.0,110.0,26.0,36.0,54.0,15.0,43.0,29.0,55.0
4615,1.0,7.0,4.0,5.0,13.0,0.0,9.0,15.0,106.0,75.0,16.0,17.0,18.0,32.0,3.0,19.0,8.0,2.0,10.0,31.0,22.0,114.0,139.0,40.0,52.0,39.0,44.0,142.0,29.0,53.0
4664,0.0,11.0,55.0,5.0,1.0,3.0,13.0,17.0,68.0,10.0,41.0,25.0,21.0,15.0,93.0,61.0,23.0,2.0,4.0,8.0,77.0,173.0,48.0,72.0,14.0,31.0,34.0,237.0,33.0,42.0
4713,0.0,7.0,9.0,8.0,2.0,1.0,6.0,12.0,26.0,46.0,45.0,4.0,11.0,123.0,14.0,13.0,47.0,5.0,30.0,29.0,120.0,144.0,116.0,36.0,57.0,16.0,44.0,291.0,48.0,25.0
4762,1.0,11.0,0.0,16.0,6.0,13.0,9.0,19.0,131.0,21.0,15.0,51.0,162.0,8.0,36.0,27.0,146.0,12.0,2.0,17.0,35.0,40.0,201.0,42.0,172.0,50.0,14.0,150.0,49.0,123.0
4811,1.0,10.0,0.0,3.0,8.0,9.0,5.0,7.0,89.0,17.0,4.0,33.0,22.0,55.0,34.0,26.0,28.0,14.0,2.0,31.0,43.0,129.0,241.0,15.0,94.0,71.0,11.0,90.0,56.0,185.0
4860,0.0,5.0,7.0,4.0,3.0,1.0,11.0,6.0,124.0,34.0,667.0,60.0,13.0,26.0,47.0,89.0,20.0,10.0,8.0,94.0,92.0,53.0,71.0,43.0,30.0,9.0,56.0,138.0,104.0,58.0
