,MSH6,Akt_pS473,HER3,PRAS40_pT246,AR,YB-1_pS102,CDK1,Acetyl-a-Tubulin (Lys40),FRA1,INPP4B,BRCA2,C-Raf(MP05-739),MEK1_pS217_S221,JNK2,IGFBP2,PRDX1,14-3-3_zeta,RSK1-2-3,TFRC,Caspase-7_cleavedD198,PKC-pan_BetaII_pS660,Heregulin,PDK1_pS241,TIGAR,MIG-6,RBM15,Chk2_pT68,c-Jun_pS73,Src_pY527,Lck
1573,0.0,10.0,13.0,34.0,6.0,33.0,40.0,24.0,76.0,130.0,14.0,70.0,146.0,28.0,60.0,32.0,86.0,8.0,26.0,84.0,72.0,37.0,27.0,46.0,162.0,20.0,38.0,35.0,69.0,12.0
1622,110.0,18.0,28.0,1.0,143.0,36.0,37.0,59.0,15.0,10.0,25.0,54.0,44.0,42.0,55.0,30.0,45.0,63.0,67.0,38.0,75.0,5.0,62.0,84.0,16.0,4.0,34.0,51.0,22.0,47.0
1671,1.0,2.0,28.0,27.0,81.0,13.0,23.0,33.0,21.0,130.0,80.0,114.0,39.0,43.0,42.0,45.0,109.0,11.0,29.0,57.0,50.0,18.0,149.0,30.0,9.0,3.0,47.0,38.0,40.0,10.0
1720,129.0,5.0,33.0,8.0,64.0,11.0,17.0,50.0,34.0,12.0,123.0,16.0,46.0,135.0,28.0,26.0,6.0,10.0,52.0,47.0,148.0,21.0,32.0,117.0,41.0,29.0,30.0,39.0,3.0,133.0
1769,138.0,14.0,9.0,3.0,141.0,24.0,33.0,22.0,74.0,8.0,95.0,68.0,36.0,7.0,43.0,80.0,28.0,65.0,19.0,53.0,69.0,21.0,15.0,123.0,59.0,92.0,48.0,5.0,4.0,44.0
1818,0.0,7.0,89.0,9.0,66.0,22.0,14.0,42.0,46.0,140.0,110.0,30.0,70.0,59.0,35.0,23.0,12.0,105.0,31.0,82.0,27.0,17.0,67.0,62.0,8.0,18.0,52.0,26.0,71.0,144.0
1867,10.0,4.0,87.0,6.0,51.0,16.0,8.0,32.0,40.0,42.0,20.0,48.0,31.0,47.0,55.0,14.0,15.0,2.0,30.0,39.0,52.0,57.0,53.0,77.0,7.0,9.0,26.0,23.0,58.0,156.0
1916,3.0,5.0,11.0,12.0,44.0,36.0,53.0,42.0,31.0,39.0,27.0,47.0,17.0,134.0,73.0,56.0,33.0,22.0,16.0,32.0,67.0,81.0,14.0,76.0,49.0,114.0,21.0,4.0,26.0,7.0
1965,3.0,15.0,13.0,2.0,28.0,35.0,36.0,25.0,10.0,12.0,8.0,73.0,34.0,72.0,57.0,68.0,118.0,32.0,41.0,9.0,65.0,27.0,63.0,0.0,135.0,78.0,62.0,16.0,17.0,79.0
2014,0.0,6.0,8.0,10.0,11.0,25.0,17.0,55.0,12.0,129.0,67.0,23.0,53.0,13.0,20.0,114.0,1.0,48.0,35.0,18.0,28.0,36.0,19.0,50.0,133.0,62.0,66.0,22.0,24.0,26.0
2063,0.0,5.0,15.0,3.0,12.0,13.0,50.0,55.0,26.0,54.0,70.0,20.0,62.0,48.0,33.0,88.0,108.0,110.0,22.0,58.0,30.0,142.0,8.0,7.0,159.0,42.0,36.0,68.0,75.0,162.0
2112,0.0,7.0,8.0,5.0,47.0,44.0,31.0,29.0,58.0,84.0,131.0,30.0,74.0,46.0,75.0,56.0,60.0,50.0,54.0,39.0,43.0,67.0,18.0,9.0,153.0,91.0,57.0,41.0,24.0,65.0
2161,2.0,8.0,4.0,7.0,10.0,16.0,62.0,64.0,67.0,70.0,91.0,53.0,93.0,48.0,58.0,11.0,56.0,1.0,57.0,54.0,80.0,76.0,28.0,20.0,139.0,81.0,36.0,55.0,49.0,89.0
2210,0.0,6.0,20.0,23.0,3.0,31.0,12.0,63.0,58.0,126.0,30.0,19.0,93.0,41.0,42.0,29.0,65.0,56.0,11.0,54.0,53.0,88.0,5.0,25.0,50.0,81.0,47.0,10.0,60.0,55.0
2259,0.0,11.0,12.0,8.0,30.0,46.0,14.0,59.0,43.0,129.0,52.0,29.0,67.0,44.0,55.0,163.0,17.0,57.0,42.0,18.0,35.0,76.0,3.0,60.0,21.0,16.0,75.0,9.0,94.0,74.0
2308,0.0,4.0,39.0,5.0,14.0,63.0,18.0,86.0,25.0,52.0,3.0,41.0,16.0,50.0,87.0,24.0,29.0,70.0,38.0,62.0,49.0,72.0,65.0,17.0,143.0,89.0,60.0,7.0,92.0,67.0
2357,0.0,2.0,82.0,21.0,16.0,40.0,12.0,52.0,64.0,140.0,56.0,10.0,103.0,79.0,80.0,23.0,57.0,92.0,43.0,61.0,69.0,91.0,7.0,20.0,77.0,114.0,73.0,33.0,130.0,75.0
2406,0.0,5.0,10.0,12.0,11.0,80.0,45.0,61.0,71.0,32.0,117.0,56.0,47.0,21.0,40.0,148.0,39.0,95.0,18.0,28.0,49.0,25.0,30.0,6.0,36.0,78.0,29.0,13.0,111.0,7.0
2455,70.0,4.0,1.0,6.0,20.0,77.0,84.0,34.0,48.0,73.0,0.0,51.0,42.0,8.0,56.0,19.0,64.0,3.0,2.0,60.0,32.0,59.0,86.0,28.0,103.0,72.0,57.0,85.0,87.0,44.0
2504,1.0,0.0,5.0,23.0,24.0,40.0,84.0,25.0,22.0,161.0,36.0,28.0,52.0,35.0,34.0,38.0,80.0,7.0,59.0,53.0,47.0,19.0,145.0,116.0,98.0,26.0,85.0,17.0,10.0,160.0
2553,49.0,4.0,11.0,7.0,13.0,19.0,35.0,31.0,40.0,79.0,28.0,17.0,9.0,16.0,48.0,122.0,34.0,25.0,20.0,32.0,81.0,24.0,152.0,72.0,10.0,1.0,73.0,8.0,59.0,64.0
2602,31.0,3.0,0.0,4.0,19.0,57.0,28.0,23.0,73.0,10.0,125.0,24.0,7.0,13.0,26.0,1.0,9.0,112.0,53.0,11.0,48.0,37.0,36.0,6.0,43.0,16.0,79.0,20.0,38.0,30.0
2651,32.0,4.0,9.0,50.0,31.0,51.0,16.0,36.0,66.0,10.0,97.0,38.0,63.0,12.0,47.0,5.0,98.0,44.0,41.0,30.0,25.0,17.0,76.0,117.0,21.0,0.0,81.0,23.0,29.0,131.0
2700,1.0,7.0,22.0,5.0,2.0,11.0,55.0,43.0,33.0,134.0,150.0,27.0,4.0,97.0,39.0,127.0,91.0,29.0,57.0,14.0,83.0,21.0,152.0,66.0,50.0,100.0,129.0,28.0,51.0,3.0
2749,3.0,2.0,0.0,20.0,37.0,12.0,33.0,56.0,50.0,1.0,15.0,29.0,32.0,41.0,23.0,35.0,7.0,104.0,90.0,52.0,73.0,19.0,66.0,11.0,85.0,45.0,42.0,36.0,31.0,141.0
2798,0.0,8.0,4.0,18.0,11.0,39.0,65.0,55.0,67.0,142.0,3.0,9.0,31.0,30.0,49.0,45.0,111.0,42.0,43.0,161.0,97.0,61.0,7.0,22.0,73.0,71.0,92.0,27.0,26.0,79.0
2847,0.0,2.0,9.0,14.0,17.0,25.0,85.0,8.0,63.0,40.0,6.0,93.0,10.0,70.0,59.0,5.0,3.0,88.0,87.0,27.0,96.0,83.0,20.0,47.0,21.0,55.0,62.0,26.0,24.0,4.0
2896,6.0,5.0,1.0,16.0,35.0,164.0,49.0,54.0,50.0,148.0,30.0,23.0,8.0,89.0,17.0,147.0,2.0,28.0,40.0,75.0,79.0,39.0,157.0,124.0,138.0,15.0,43.0,25.0,66.0,142.0
2945,0.0,8.0,23.0,9.0,7.0,1.0,42.0,33.0,22.0,140.0,16.0,72.0,67.0,74.0,54.0,59.0,10.0,41.0,44.0,26.0,35.0,37.0,153.0,122.0,27.0,40.0,61.0,124.0,20.0,145.0
2994,162.0,5.0,0.0,16.0,41.0,13.0,44.0,33.0,42.0,122.0,3.0,23.0,62.0,56.0,20.0,156.0,55.0,6.0,83.0,28.0,15.0,39.0,45.0,32.0,48.0,86.0,58.0,14.0,10.0,11.0
3043,129.0,6.0,12.0,14.0,21.0,9.0,46.0,52.0,39.0,15.0,8.0,5.0,32.0,20.0,48.0,94.0,4.0,70.0,56.0,41.0,53.0,33.0,28.0,126.0,35.0,51.0,71.0,65.0,84.0,149.0
3092,72.0,19.0,24.0,2.0,11.0,14.0,40.0,30.0,1.0,133.0,8.0,18.0,85.0,103.0,44.0,67.0,121.0,60.0,51.0,12.0,28.0,41.0,152.0,27.0,37.0,17.0,71.0,79.0,33.0,77.0
3141,162.0,12.0,49.0,4.0,18.0,3.0,54.0,32.0,15.0,52.0,33.0,5.0,26.0,21.0,37.0,73.0,0.0,13.0,59.0,28.0,27.0,20.0,2.0,25.0,17.0,34.0,53.0,148.0,30.0,80.0
3190,0.0,4.0,18.0,12.0,19.0,10.0,37.0,22.0,20.0,33.0,16.0,17.0,50.0,68.0,26.0,44.0,8.0,23.0,41.0,29.0,60.0,25.0,31.0,121.0,93.0,59.0,64.0,75.0,73.0,132.0
3239,0.0,3.0,6.0,19.0,31.0,24.0,29.0,59.0,5.0,63.0,4.0,16.0,87.0,11.0,47.0,86.0,110.0,17.0,26.0,18.0,33.0,35.0,9.0,124.0,12.0,36.0,80.0,83.0,69.0,49.0
3288,143.0,7.0,4.0,13.0,12.0,17.0,57.0,31.0,15.0,5.0,23.0,52.0,19.0,79.0,22.0,86.0,3.0,34.0,98.0,82.0,42.0,69.0,67.0,28.0,36.0,73.0,80.0,64.0,29.0,1.0
3337,42.0,3.0,15.0,8.0,7.0,28.0,9.0,33.0,1.0,18.0,5.0,34.0,60.0,36.0,16.0,21.0,13.0,26.0,39.0,70.0,19.0,45.0,59.0,30.0,40.0,111.0,57.0,93.0,100.0,52.0
3386,0.0,3.0,2.0,13.0,11.0,10.0,57.0,28.0,36.0,4.0,16.0,30.0,29.0,47.0,50.0,66.0,138.0,41.0,53.0,37.0,49.0,39.0,119.0,115.0,153.0,77.0,140.0,124.0,12.0,155.0
3435,5.0,18.0,9.0,6.0,96.0,34.0,65.0,37.0,77.0,45.0,16.0,14.0,57.0,95.0,36.0,107.0,12.0,91.0,101.0,63.0,55.0,39.0,10.0,41.0,85.0,43.0,53.0,120.0,44.0,23.0
3484,0.0,5.0,28.0,18.0,33.0,63.0,3.0,66.0,30.0,27.0,72.0,61.0,65.0,26.0,78.0,12.0,43.0,35.0,119.0,23.0,19.0,49.0,20.0,36.0,55.0,38.0,67.0,16.0,22.0,42.0
3533,0.0,7.0,35.0,15.0,46.0,8.0,30.0,37.0,39.0,26.0,33.0,21.0,77.0,27.0,49.0,13.0,120.0,2.0,61.0,29.0,72.0,25.0,36.0,124.0,87.0,38.0,19.0,48.0,5.0,23.0
3582,149.0,5.0,6.0,14.0,23.0,51.0,24.0,25.0,74.0,19.0,35.0,49.0,48.0,33.0,22.0,8.0,18.0,50.0,66.0,21.0,32.0,65.0,17.0,30.0,150.0,41.0,12.0,120.0,72.0,29.0
3631,0.0,12.0,30.0,5.0,60.0,38.0,27.0,47.0,21.0,96.0,20.0,79.0,43.0,46.0,71.0,50.0,59.0,49.0,42.0,24.0,69.0,76.0,123.0,17.0,58.0,26.0,40.0,105.0,62.0,35.0
3680,28.0,2.0,7.0,4.0,35.0,58.0,75.0,36.0,24.0,10.0,25.0,54.0,5.0,27.0,47.0,21.0,136.0,42.0,105.0,16.0,34.0,68.0,51.0,15.0,78.0,56.0,118.0,18.0,26.0,11.0
3729,10.0,9.0,5.0,8.0,16.0,0.0,20.0,59.0,46.0,36.0,57.0,37.0,156.0,28.0,84.0,80.0,96.0,51.0,12.0,24.0,53.0,75.0,27.0,33.0,2.0,48.0,61.0,22.0,55.0,92.0
3778,0.0,8.0,23.0,3.0,16.0,7.0,4.0,60.0,51.0,159.0,10.0,43.0,19.0,64.0,73.0,17.0,5.0,45.0,12.0,125.0,21.0,75.0,118.0,27.0,154.0,25.0,57.0,24.0,46.0,157.0
3827,26.0,1.0,0.0,38.0,85.0,22.0,4.0,71.0,24.0,8.0,65.0,3.0,68.0,33.0,44.0,62.0,112.0,42.0,114.0,15.0,11.0,50.0,40.0,6.0,5.0,63.0,58.0,19.0,61.0,60.0
3876,162.0,2.0,5.0,9.0,10.0,30.0,12.0,39.0,20.0,1.0,11.0,49.0,44.0,6.0,64.0,86.0,43.0,71.0,66.0,29.0,21.0,89.0,147.0,13.0,15.0,61.0,25.0,36.0,55.0,17.0
3925,146.0,3.0,100.0,17.0,6.0,11.0,51.0,31.0,37.0,134.0,88.0,44.0,15.0,25.0,19.0,128.0,38.0,84.0,53.0,98.0,48.0,12.0,23.0,115.0,40.0,9.0,20.0,155.0,120.0,130.0
3974,0.0,10.0,1.0,59.0,14.0,39.0,43.0,27.0,19.0,67.0,44.0,20.0,12.0,46.0,11.0,109.0,24.0,51.0,73.0,74.0,55.0,72.0,151.0,117.0,22.0,58.0,35.0,89.0,5.0,29.0
4023,0.0,4.0,11.0,14.0,10.0,32.0,80.0,57.0,73.0,95.0,49.0,22.0,3.0,31.0,7.0,17.0,18.0,68.0,43.0,36.0,35.0,27.0,152.0,58.0,48.0,50.0,39.0,40.0,116.0,146.0
4072,3.0,7.0,32.0,27.0,61.0,18.0,72.0,22.0,70.0,13.0,52.0,66.0,5.0,40.0,43.0,20.0,12.0,38.0,83.0,74.0,59.0,14.0,90.0,126.0,149.0,35.0,47.0,24.0,30.0,152.0
4121,0.0,7.0,3.0,11.0,4.0,13.0,25.0,55.0,72.0,14.0,12.0,26.0,60.0,17.0,33.0,69.0,40.0,111.0,27.0,70.0,29.0,90.0,10.0,83.0,18.0,42.0,28.0,77.0,53.0,153.0
4170,3.0,13.0,7.0,22.0,89.0,21.0,82.0,20.0,38.0,136.0,133.0,71.0,16.0,51.0,48.0,56.0,44.0,36.0,88.0,42.0,46.0,50.0,99.0,107.0,66.0,11.0,58.0,98.0,68.0,134.0
4219,0.0,6.0,40.0,29.0,9.0,31.0,13.0,24.0,98.0,145.0,142.0,28.0,14.0,35.0,17.0,2.0,124.0,76.0,45.0,34.0,11.0,48.0,85.0,19.0,12.0,73.0,27.0,141.0,82.0,146.0
4268,12.0,3.0,28.0,23.0,63.0,14.0,15.0,34.0,83.0,51.0,124.0,38.0,150.0,84.0,31.0,36.0,5.0,58.0,43.0,79.0,45.0,9.0,65.0,16.0,149.0,13.0,37.0,85.0,60.0,151.0
4317,0.0,8.0,44.0,14.0,13.0,28.0,26.0,43.0,121.0,33.0,6.0,9.0,38.0,52.0,58.0,57.0,47.0,12.0,99.0,68.0,37.0,82.0,50.0,64.0,22.0,56.0,45.0,83.0,27.0,51.0
4366,1.0,16.0,14.0,6.0,28.0,12.0,48.0,34.0,79.0,145.0,11.0,52.0,44.0,29.0,75.0,40.0,56.0,9.0,59.0,81.0,15.0,26.0,149.0,78.0,33.0,46.0,31.0,102.0,54.0,10.0
4415,0.0,2.0,8.0,9.0,82.0,53.0,15.0,46.0,38.0,1.0,14.0,143.0,70.0,51.0,57.0,6.0,124.0,90.0,29.0,20.0,42.0,18.0,156.0,41.0,39.0,111.0,19.0,103.0,106.0,68.0
4464,1.0,2.0,24.0,20.0,10.0,19.0,21.0,29.0,74.0,12.0,146.0,73.0,11.0,45.0,61.0,48.0,120.0,115.0,17.0,60.0,36.0,7.0,92.0,85.0,30.0,51.0,50.0,154.0,116.0,27.0
4513,0.0,2.0,27.0,5.0,158.0,34.0,15.0,57.0,22.0,6.0,26.0,61.0,80.0,74.0,31.0,32.0,20.0,18.0,110.0,46.0,43.0,122.0,7.0,8.0,159.0,111.0,67.0,19.0,72.0,12.0
4562,0.0,10.0,24.0,19.0,48.0,37.0,3.0,41.0,33.0,12.0,123.0,122.0,70.0,30.0,28.0,22.0,137.0,7.0,31.0,50.0,1.0,78.0,84.0,49.0,21.0,96.0,20.0,58.0,64.0,2.0
4611,0.0,5.0,24.0,29.0,93.0,28.0,27.0,26.0,35.0,12.0,123.0,127.0,8.0,44.0,66.0,62.0,57.0,68.0,36.0,45.0,21.0,73.0,4.0,33.0,22.0,86.0,34.0,10.0,115.0,130.0
4660,0.0,4.0,47.0,11.0,50.0,19.0,10.0,83.0,38.0,81.0,135.0,138.0,40.0,35.0,5.0,18.0,73.0,108.0,36.0,15.0,25.0,58.0,53.0,31.0,161.0,107.0,28.0,34.0,104.0,143.0
4709,14.0,19.0,8.0,2.0,59.0,43.0,22.0,23.0,79.0,160.0,48.0,148.0,32.0,74.0,39.0,35.0,7.0,52.0,49.0,70.0,37.0,67.0,55.0,6.0,87.0,114.0,33.0,28.0,46.0,34.0
4758,0.0,5.0,23.0,12.0,80.0,32.0,15.0,33.0,39.0,53.0,141.0,138.0,161.0,55.0,35.0,73.0,96.0,98.0,64.0,20.0,13.0,91.0,148.0,120.0,57.0,104.0,43.0,140.0,41.0,163.0
4807,4.0,2.0,6.0,15.0,34.0,46.0,29.0,37.0,33.0,44.0,8.0,59.0,62.0,67.0,56.0,45.0,11.0,43.0,47.0,17.0,51.0,12.0,48.0,82.0,64.0,71.0,53.0,36.0,108.0,52.0
4856,0.0,1.0,23.0,37.0,83.0,32.0,41.0,45.0,28.0,24.0,40.0,54.0,14.0,39.0,20.0,65.0,3.0,16.0,29.0,59.0,18.0,75.0,8.0,33.0,80.0,96.0,35.0,17.0,110.0,68.0
