,EGFR,TAZ,Rb,VEGFR2,Annexin 1,MDMX_MDM4(BetIHC-00108),MAPK_pT202_Y204,IGFBP2,Src_pY416,Bax,YAP_pS127,beta-Catenin_pT41_S45,4E-BP1,Bap1 c-4,Akt_pS473,RAD51,Tuberin_pT1462,c-Jun_pS73,Caveolin-1,YB-1_pS102,p21,Heregulin,Rb_pS807_S811,AMPK_pT172,Annexin_VII,G6PD,GATA3,MSH6,FRA1,Cyclin_E1
593,2.0,0.0,75.0,126.0,26.0,40.0,6.0,19.0,73.0,21.0,82.0,43.0,3.0,67.0,34.0,31.0,18.0,25.0,13.0,5.0,11.0,56.0,17.0,53.0,105.0,61.0,30.0,148.0,107.0,45.0
642,6.0,5.0,28.0,59.0,7.0,18.0,3.0,160.0,44.0,0.0,2.0,67.0,15.0,34.0,57.0,91.0,76.0,20.0,1.0,164.0,27.0,45.0,116.0,92.0,33.0,89.0,53.0,10.0,130.0,80.0
691,0.0,7.0,1.0,51.0,43.0,13.0,3.0,106.0,24.0,12.0,52.0,46.0,42.0,9.0,55.0,44.0,112.0,61.0,39.0,14.0,58.0,48.0,53.0,111.0,114.0,16.0,41.0,134.0,45.0,34.0
740,1.0,2.0,18.0,49.0,47.0,37.0,14.0,159.0,7.0,134.0,31.0,33.0,5.0,135.0,44.0,52.0,19.0,39.0,23.0,164.0,3.0,30.0,8.0,50.0,9.0,57.0,55.0,97.0,81.0,58.0
789,0.0,3.0,15.0,17.0,6.0,30.0,2.0,26.0,117.0,44.0,56.0,38.0,34.0,11.0,7.0,63.0,87.0,16.0,48.0,62.0,4.0,28.0,51.0,24.0,36.0,43.0,49.0,93.0,14.0,52.0
838,0.0,4.0,48.0,44.0,32.0,20.0,1.0,27.0,117.0,12.0,55.0,7.0,138.0,31.0,61.0,28.0,3.0,18.0,36.0,15.0,24.0,62.0,105.0,19.0,136.0,2.0,42.0,60.0,80.0,58.0
887,2.0,3.0,7.0,110.0,46.0,35.0,1.0,8.0,19.0,104.0,18.0,24.0,4.0,61.0,27.0,36.0,59.0,5.0,22.0,25.0,15.0,53.0,21.0,11.0,44.0,140.0,43.0,52.0,91.0,66.0
936,1.0,0.0,3.0,118.0,17.0,20.0,7.0,99.0,13.0,4.0,11.0,43.0,140.0,35.0,74.0,70.0,75.0,2.0,66.0,10.0,152.0,24.0,85.0,9.0,137.0,25.0,59.0,60.0,144.0,81.0
985,0.0,5.0,39.0,37.0,4.0,7.0,6.0,16.0,35.0,15.0,50.0,43.0,17.0,12.0,58.0,34.0,30.0,9.0,82.0,45.0,154.0,28.0,41.0,121.0,101.0,131.0,62.0,159.0,20.0,51.0
1034,0.0,58.0,9.0,5.0,2.0,10.0,12.0,3.0,6.0,15.0,52.0,53.0,82.0,14.0,31.0,19.0,91.0,94.0,51.0,164.0,36.0,54.0,109.0,22.0,25.0,98.0,29.0,79.0,140.0,48.0
1083,2.0,21.0,28.0,57.0,11.0,8.0,74.0,10.0,5.0,13.0,7.0,25.0,51.0,23.0,53.0,87.0,1.0,17.0,32.0,70.0,58.0,45.0,31.0,33.0,109.0,16.0,61.0,38.0,113.0,83.0
1132,0.0,83.0,20.0,1.0,11.0,24.0,92.0,6.0,13.0,15.0,18.0,17.0,132.0,8.0,38.0,16.0,26.0,46.0,14.0,32.0,119.0,44.0,161.0,4.0,60.0,56.0,80.0,21.0,116.0,48.0
1181,1.0,85.0,12.0,13.0,17.0,47.0,11.0,6.0,100.0,22.0,66.0,42.0,53.0,29.0,58.0,21.0,8.0,3.0,45.0,164.0,117.0,31.0,40.0,38.0,120.0,80.0,59.0,23.0,41.0,79.0
1230,1.0,34.0,8.0,10.0,5.0,18.0,149.0,35.0,66.0,42.0,47.0,65.0,27.0,57.0,13.0,21.0,0.0,3.0,70.0,101.0,136.0,73.0,4.0,69.0,7.0,32.0,50.0,20.0,158.0,71.0
1279,0.0,54.0,7.0,19.0,52.0,27.0,3.0,18.0,39.0,127.0,26.0,43.0,1.0,8.0,24.0,70.0,125.0,2.0,5.0,48.0,148.0,32.0,133.0,4.0,62.0,81.0,59.0,97.0,158.0,66.0
1328,3.0,73.0,29.0,0.0,6.0,27.0,132.0,14.0,38.0,15.0,53.0,56.0,31.0,12.0,36.0,95.0,4.0,113.0,47.0,164.0,71.0,42.0,163.0,101.0,49.0,2.0,60.0,30.0,146.0,81.0
1377,1.0,69.0,2.0,3.0,16.0,9.0,55.0,8.0,4.0,5.0,17.0,31.0,38.0,132.0,54.0,27.0,15.0,57.0,23.0,43.0,12.0,102.0,111.0,161.0,29.0,127.0,26.0,30.0,93.0,51.0
1426,72.0,41.0,24.0,129.0,3.0,10.0,104.0,16.0,6.0,44.0,9.0,57.0,61.0,4.0,40.0,79.0,92.0,49.0,34.0,7.0,25.0,55.0,52.0,27.0,161.0,113.0,56.0,26.0,119.0,96.0
1475,1.0,11.0,133.0,4.0,16.0,32.0,0.0,23.0,29.0,12.0,33.0,26.0,27.0,88.0,53.0,70.0,47.0,58.0,24.0,164.0,37.0,38.0,163.0,110.0,127.0,5.0,20.0,52.0,22.0,10.0
1524,0.0,3.0,119.0,116.0,21.0,17.0,18.0,9.0,37.0,6.0,55.0,7.0,60.0,27.0,63.0,47.0,1.0,4.0,2.0,164.0,62.0,38.0,31.0,95.0,39.0,93.0,12.0,33.0,22.0,25.0
1573,0.0,2.0,43.0,41.0,11.0,14.0,1.0,70.0,22.0,3.0,109.0,13.0,81.0,47.0,45.0,40.0,73.0,77.0,49.0,12.0,26.0,58.0,123.0,19.0,38.0,135.0,16.0,79.0,143.0,85.0
1622,6.0,1.0,71.0,77.0,15.0,7.0,96.0,32.0,3.0,35.0,12.0,43.0,8.0,27.0,41.0,63.0,21.0,123.0,52.0,48.0,22.0,24.0,0.0,19.0,145.0,9.0,65.0,11.0,20.0,60.0
1671,3.0,39.0,5.0,26.0,11.0,28.0,18.0,31.0,89.0,27.0,47.0,50.0,40.0,8.0,52.0,22.0,20.0,87.0,0.0,164.0,30.0,21.0,120.0,59.0,90.0,14.0,64.0,36.0,17.0,92.0
1720,0.0,4.0,129.0,116.0,7.0,3.0,137.0,12.0,126.0,18.0,39.0,63.0,9.0,84.0,24.0,71.0,2.0,44.0,31.0,48.0,8.0,57.0,125.0,52.0,66.0,73.0,56.0,49.0,14.0,10.0
1769,0.0,4.0,2.0,61.0,16.0,21.0,153.0,40.0,15.0,89.0,20.0,67.0,24.0,71.0,49.0,27.0,45.0,68.0,12.0,59.0,9.0,52.0,19.0,51.0,135.0,142.0,32.0,34.0,3.0,64.0
1818,0.0,29.0,59.0,133.0,16.0,12.0,1.0,33.0,99.0,38.0,75.0,21.0,96.0,8.0,64.0,9.0,15.0,17.0,5.0,13.0,7.0,94.0,158.0,3.0,6.0,107.0,55.0,73.0,20.0,90.0
1867,3.0,0.0,14.0,16.0,9.0,30.0,74.0,18.0,27.0,120.0,44.0,40.0,67.0,34.0,38.0,25.0,7.0,19.0,28.0,31.0,24.0,48.0,6.0,41.0,12.0,153.0,33.0,55.0,152.0,76.0
1916,0.0,4.0,10.0,31.0,17.0,26.0,143.0,8.0,34.0,19.0,35.0,13.0,64.0,7.0,74.0,9.0,3.0,6.0,21.0,18.0,2.0,15.0,131.0,124.0,132.0,41.0,63.0,60.0,57.0,101.0
1965,0.0,10.0,1.0,9.0,80.0,22.0,3.0,36.0,76.0,32.0,71.0,45.0,102.0,108.0,19.0,26.0,99.0,12.0,85.0,98.0,54.0,47.0,42.0,28.0,114.0,5.0,70.0,39.0,88.0,27.0
2014,1.0,22.0,6.0,4.0,7.0,9.0,3.0,17.0,8.0,58.0,57.0,50.0,26.0,135.0,27.0,14.0,54.0,30.0,35.0,74.0,70.0,23.0,11.0,19.0,134.0,81.0,45.0,13.0,12.0,32.0
2063,0.0,89.0,5.0,3.0,35.0,31.0,1.0,76.0,19.0,9.0,43.0,59.0,34.0,81.0,23.0,11.0,38.0,78.0,127.0,164.0,148.0,41.0,18.0,86.0,7.0,14.0,51.0,29.0,97.0,30.0
2112,0.0,7.0,2.0,6.0,43.0,12.0,1.0,19.0,63.0,68.0,14.0,62.0,49.0,59.0,23.0,57.0,48.0,18.0,126.0,32.0,25.0,35.0,102.0,134.0,60.0,135.0,38.0,66.0,24.0,27.0
2161,0.0,6.0,24.0,112.0,4.0,1.0,2.0,12.0,119.0,19.0,29.0,44.0,30.0,101.0,35.0,15.0,93.0,13.0,68.0,55.0,20.0,22.0,56.0,9.0,66.0,7.0,59.0,25.0,57.0,80.0
2210,0.0,4.0,12.0,34.0,16.0,26.0,5.0,27.0,57.0,15.0,31.0,87.0,8.0,11.0,20.0,36.0,64.0,24.0,22.0,48.0,13.0,44.0,104.0,119.0,2.0,37.0,75.0,141.0,30.0,33.0
2259,0.0,73.0,1.0,4.0,27.0,10.0,5.0,11.0,7.0,35.0,20.0,58.0,38.0,39.0,49.0,31.0,100.0,29.0,84.0,17.0,33.0,25.0,40.0,13.0,46.0,60.0,55.0,14.0,28.0,69.0
2308,1.0,14.0,15.0,12.0,5.0,7.0,3.0,17.0,41.0,9.0,50.0,26.0,111.0,126.0,21.0,22.0,19.0,81.0,51.0,82.0,45.0,46.0,59.0,120.0,121.0,156.0,38.0,52.0,35.0,73.0
2357,2.0,30.0,7.0,5.0,1.0,8.0,0.0,13.0,14.0,9.0,80.0,50.0,70.0,25.0,23.0,41.0,32.0,45.0,54.0,102.0,43.0,61.0,16.0,39.0,63.0,155.0,27.0,89.0,38.0,35.0
2406,0.0,12.0,30.0,3.0,69.0,46.0,4.0,8.0,18.0,36.0,32.0,51.0,60.0,111.0,26.0,33.0,6.0,40.0,47.0,44.0,56.0,35.0,63.0,48.0,66.0,98.0,34.0,22.0,5.0,11.0
2455,3.0,10.0,33.0,0.0,15.0,38.0,155.0,11.0,64.0,129.0,54.0,23.0,137.0,34.0,43.0,13.0,109.0,44.0,2.0,164.0,52.0,71.0,6.0,25.0,50.0,17.0,83.0,152.0,16.0,35.0
2504,0.0,12.0,6.0,14.0,5.0,16.0,3.0,96.0,55.0,9.0,62.0,36.0,2.0,52.0,32.0,40.0,106.0,20.0,47.0,27.0,13.0,28.0,37.0,22.0,18.0,10.0,69.0,86.0,157.0,39.0
2553,20.0,1.0,23.0,9.0,24.0,28.0,15.0,29.0,41.0,44.0,58.0,17.0,8.0,52.0,35.0,75.0,116.0,25.0,6.0,90.0,32.0,68.0,12.0,27.0,39.0,154.0,30.0,149.0,153.0,14.0
2602,10.0,2.0,14.0,1.0,5.0,28.0,9.0,42.0,23.0,46.0,17.0,38.0,118.0,39.0,55.0,70.0,129.0,19.0,61.0,29.0,41.0,67.0,8.0,58.0,90.0,31.0,69.0,22.0,62.0,18.0
2651,2.0,3.0,8.0,0.0,11.0,14.0,1.0,17.0,6.0,32.0,21.0,30.0,20.0,75.0,23.0,19.0,98.0,37.0,10.0,164.0,16.0,43.0,31.0,66.0,44.0,163.0,68.0,15.0,140.0,58.0
2700,18.0,9.0,3.0,0.0,86.0,11.0,66.0,105.0,29.0,45.0,98.0,20.0,16.0,64.0,62.0,27.0,19.0,108.0,13.0,164.0,56.0,28.0,24.0,79.0,133.0,143.0,75.0,102.0,107.0,32.0
2749,2.0,3.0,1.0,4.0,26.0,59.0,11.0,88.0,15.0,129.0,42.0,25.0,36.0,130.0,52.0,55.0,50.0,6.0,44.0,13.0,40.0,28.0,10.0,21.0,45.0,5.0,81.0,151.0,82.0,18.0
2798,19.0,0.0,14.0,6.0,36.0,38.0,155.0,66.0,12.0,125.0,23.0,20.0,137.0,51.0,53.0,25.0,44.0,11.0,7.0,164.0,62.0,46.0,21.0,5.0,130.0,54.0,50.0,153.0,91.0,35.0
2847,13.0,0.0,1.0,4.0,3.0,9.0,2.0,86.0,10.0,27.0,59.0,35.0,15.0,126.0,26.0,60.0,11.0,46.0,48.0,164.0,61.0,16.0,78.0,71.0,129.0,19.0,75.0,147.0,96.0,65.0
2896,0.0,8.0,2.0,6.0,11.0,16.0,1.0,23.0,7.0,33.0,38.0,26.0,19.0,31.0,25.0,90.0,22.0,35.0,51.0,164.0,21.0,24.0,43.0,77.0,61.0,13.0,62.0,82.0,48.0,64.0
2945,0.0,56.0,20.0,1.0,17.0,6.0,92.0,10.0,31.0,41.0,47.0,14.0,35.0,147.0,33.0,18.0,106.0,162.0,132.0,32.0,12.0,50.0,38.0,73.0,43.0,24.0,77.0,143.0,135.0,72.0
2994,2.0,1.0,24.0,4.0,15.0,22.0,34.0,141.0,18.0,28.0,35.0,31.0,125.0,37.0,41.0,26.0,20.0,112.0,127.0,12.0,164.0,30.0,14.0,157.0,13.0,6.0,76.0,43.0,11.0,65.0
3043,0.0,6.0,28.0,108.0,4.0,20.0,3.0,26.0,22.0,56.0,31.0,15.0,138.0,17.0,70.0,5.0,1.0,121.0,47.0,164.0,87.0,14.0,13.0,133.0,132.0,9.0,55.0,34.0,27.0,82.0
3092,31.0,1.0,14.0,0.0,18.0,15.0,16.0,158.0,35.0,10.0,13.0,22.0,30.0,3.0,40.0,51.0,25.0,74.0,65.0,11.0,70.0,45.0,61.0,143.0,151.0,33.0,56.0,55.0,20.0,26.0
3141,48.0,1.0,11.0,9.0,5.0,6.0,65.0,7.0,10.0,56.0,23.0,18.0,59.0,66.0,73.0,71.0,44.0,57.0,2.0,4.0,39.0,55.0,22.0,47.0,136.0,40.0,13.0,21.0,143.0,14.0
3190,2.0,16.0,1.0,0.0,13.0,26.0,11.0,138.0,29.0,24.0,14.0,31.0,8.0,98.0,54.0,23.0,3.0,35.0,74.0,18.0,146.0,78.0,57.0,63.0,120.0,40.0,50.0,36.0,44.0,85.0
3239,0.0,12.0,14.0,2.0,15.0,5.0,18.0,106.0,16.0,24.0,30.0,31.0,81.0,40.0,28.0,7.0,27.0,146.0,9.0,8.0,25.0,50.0,93.0,107.0,26.0,127.0,46.0,138.0,43.0,65.0
3288,4.0,1.0,12.0,14.0,44.0,24.0,20.0,82.0,26.0,145.0,41.0,42.0,57.0,22.0,65.0,132.0,6.0,153.0,23.0,7.0,17.0,68.0,29.0,131.0,16.0,33.0,37.0,89.0,159.0,94.0
3337,22.0,0.0,11.0,120.0,6.0,47.0,8.0,7.0,58.0,63.0,45.0,19.0,117.0,44.0,50.0,69.0,84.0,163.0,53.0,3.0,137.0,52.0,25.0,70.0,36.0,32.0,20.0,83.0,29.0,43.0
3386,4.0,0.0,11.0,84.0,10.0,17.0,9.0,8.0,23.0,24.0,21.0,33.0,27.0,28.0,29.0,39.0,7.0,147.0,70.0,6.0,18.0,48.0,101.0,71.0,20.0,14.0,53.0,36.0,104.0,30.0
3435,0.0,12.0,8.0,63.0,2.0,16.0,11.0,7.0,43.0,41.0,52.0,26.0,33.0,1.0,65.0,22.0,14.0,17.0,106.0,91.0,30.0,23.0,163.0,6.0,116.0,68.0,78.0,100.0,53.0,96.0
3484,0.0,13.0,6.0,1.0,16.0,9.0,3.0,20.0,62.0,23.0,68.0,18.0,26.0,79.0,58.0,17.0,72.0,11.0,27.0,33.0,41.0,35.0,2.0,19.0,34.0,83.0,50.0,49.0,5.0,60.0
3533,37.0,2.0,5.0,0.0,4.0,26.0,52.0,31.0,98.0,50.0,41.0,100.0,22.0,83.0,28.0,15.0,77.0,23.0,135.0,12.0,44.0,19.0,120.0,69.0,38.0,33.0,60.0,47.0,27.0,9.0
3582,3.0,16.0,13.0,129.0,29.0,11.0,18.0,56.0,63.0,67.0,96.0,33.0,52.0,130.0,92.0,162.0,19.0,10.0,2.0,1.0,94.0,8.0,6.0,0.0,28.0,78.0,71.0,12.0,34.0,70.0
3631,0.0,19.0,4.0,14.0,1.0,11.0,10.0,23.0,48.0,131.0,5.0,57.0,17.0,15.0,29.0,31.0,30.0,35.0,52.0,164.0,66.0,82.0,3.0,22.0,6.0,28.0,60.0,18.0,53.0,64.0
3680,53.0,8.0,6.0,1.0,0.0,12.0,86.0,26.0,27.0,56.0,39.0,22.0,139.0,5.0,40.0,3.0,37.0,45.0,51.0,20.0,43.0,76.0,16.0,83.0,98.0,162.0,47.0,58.0,28.0,91.0
3729,0.0,2.0,19.0,4.0,6.0,9.0,32.0,12.0,46.0,76.0,38.0,21.0,41.0,26.0,63.0,15.0,8.0,30.0,143.0,17.0,31.0,37.0,44.0,18.0,45.0,134.0,61.0,67.0,35.0,140.0
3778,127.0,3.0,69.0,1.0,2.0,18.0,22.0,15.0,47.0,14.0,57.0,63.0,75.0,25.0,36.0,76.0,23.0,91.0,17.0,21.0,37.0,93.0,119.0,131.0,124.0,125.0,38.0,64.0,55.0,4.0
3827,0.0,19.0,51.0,129.0,55.0,4.0,50.0,155.0,47.0,87.0,16.0,13.0,71.0,122.0,32.0,2.0,5.0,43.0,66.0,164.0,65.0,3.0,162.0,7.0,73.0,56.0,48.0,23.0,37.0,79.0
3876,0.0,15.0,13.0,1.0,4.0,9.0,10.0,31.0,57.0,52.0,76.0,46.0,11.0,8.0,35.0,53.0,19.0,54.0,18.0,164.0,65.0,20.0,32.0,23.0,36.0,55.0,97.0,160.0,21.0,106.0
3925,1.0,35.0,20.0,3.0,67.0,12.0,4.0,157.0,58.0,16.0,136.0,7.0,33.0,162.0,24.0,56.0,131.0,109.0,13.0,15.0,74.0,31.0,49.0,25.0,42.0,139.0,73.0,111.0,62.0,65.0
3974,14.0,1.0,29.0,117.0,18.0,7.0,147.0,156.0,2.0,62.0,0.0,23.0,25.0,43.0,24.0,41.0,55.0,51.0,47.0,13.0,4.0,31.0,89.0,3.0,5.0,30.0,76.0,91.0,9.0,40.0
4023,57.0,0.0,36.0,14.0,42.0,32.0,143.0,27.0,21.0,5.0,11.0,47.0,107.0,147.0,50.0,43.0,109.0,44.0,12.0,48.0,8.0,45.0,100.0,6.0,34.0,80.0,70.0,65.0,19.0,41.0
4072,152.0,1.0,24.0,48.0,43.0,25.0,136.0,46.0,10.0,23.0,8.0,50.0,0.0,22.0,35.0,45.0,113.0,55.0,16.0,7.0,2.0,21.0,105.0,19.0,117.0,52.0,40.0,85.0,17.0,75.0
4121,0.0,12.0,9.0,8.0,16.0,11.0,89.0,95.0,36.0,73.0,1.0,39.0,121.0,58.0,60.0,43.0,7.0,57.0,22.0,20.0,158.0,42.0,49.0,44.0,3.0,21.0,47.0,67.0,137.0,68.0
4170,47.0,0.0,10.0,126.0,14.0,26.0,147.0,66.0,18.0,116.0,12.0,86.0,56.0,25.0,33.0,49.0,51.0,90.0,62.0,40.0,19.0,30.0,21.0,1.0,48.0,132.0,69.0,81.0,41.0,22.0
4219,7.0,12.0,18.0,20.0,40.0,15.0,10.0,19.0,11.0,38.0,1.0,70.0,32.0,37.0,28.0,71.0,79.0,76.0,14.0,92.0,25.0,34.0,49.0,2.0,36.0,51.0,42.0,61.0,57.0,44.0
4268,13.0,0.0,31.0,4.0,8.0,35.0,43.0,56.0,40.0,24.0,16.0,30.0,36.0,58.0,47.0,28.0,117.0,89.0,32.0,164.0,135.0,10.0,70.0,44.0,9.0,137.0,48.0,21.0,17.0,76.0
4317,117.0,0.0,58.0,90.0,21.0,23.0,157.0,159.0,3.0,107.0,18.0,36.0,20.0,155.0,43.0,44.0,128.0,40.0,83.0,27.0,93.0,17.0,4.0,56.0,74.0,7.0,29.0,35.0,15.0,34.0
4366,0.0,16.0,3.0,61.0,18.0,13.0,136.0,22.0,50.0,39.0,1.0,53.0,111.0,82.0,7.0,71.0,124.0,151.0,11.0,69.0,65.0,49.0,74.0,2.0,14.0,140.0,47.0,103.0,21.0,95.0
4415,0.0,15.0,6.0,114.0,46.0,23.0,1.0,59.0,123.0,61.0,33.0,28.0,7.0,108.0,44.0,58.0,116.0,5.0,39.0,22.0,38.0,35.0,84.0,66.0,11.0,19.0,48.0,60.0,95.0,47.0
4464,1.0,21.0,10.0,129.0,31.0,33.0,0.0,66.0,28.0,57.0,41.0,22.0,9.0,81.0,42.0,160.0,97.0,44.0,75.0,17.0,7.0,46.0,135.0,127.0,6.0,15.0,34.0,48.0,37.0,20.0
4513,0.0,3.0,10.0,9.0,34.0,39.0,143.0,45.0,12.0,163.0,2.0,8.0,19.0,31.0,29.0,40.0,38.0,25.0,90.0,32.0,158.0,47.0,20.0,1.0,13.0,27.0,57.0,70.0,46.0,24.0
4562,1.0,37.0,17.0,100.0,18.0,30.0,13.0,6.0,121.0,27.0,53.0,16.0,12.0,29.0,38.0,22.0,21.0,26.0,158.0,74.0,161.0,39.0,97.0,116.0,119.0,139.0,31.0,2.0,20.0,5.0
4611,0.0,2.0,13.0,62.0,20.0,23.0,107.0,12.0,10.0,35.0,118.0,63.0,78.0,68.0,52.0,82.0,6.0,26.0,58.0,164.0,73.0,61.0,41.0,28.0,1.0,29.0,21.0,44.0,157.0,25.0
4660,0.0,3.0,2.0,125.0,21.0,47.0,24.0,1.0,12.0,37.0,43.0,48.0,87.0,34.0,68.0,63.0,123.0,92.0,38.0,10.0,52.0,57.0,44.0,129.0,9.0,32.0,17.0,67.0,41.0,31.0
4709,0.0,1.0,9.0,118.0,20.0,38.0,95.0,2.0,80.0,39.0,4.0,31.0,17.0,78.0,19.0,56.0,59.0,8.0,91.0,41.0,7.0,30.0,129.0,72.0,70.0,51.0,15.0,61.0,62.0,22.0
4758,0.0,3.0,5.0,117.0,57.0,14.0,23.0,2.0,21.0,132.0,1.0,33.0,39.0,128.0,32.0,77.0,95.0,70.0,80.0,12.0,123.0,28.0,118.0,8.0,54.0,16.0,19.0,31.0,34.0,11.0
4807,1.0,2.0,12.0,107.0,31.0,23.0,157.0,80.0,34.0,9.0,104.0,16.0,48.0,163.0,36.0,57.0,92.0,5.0,76.0,164.0,150.0,55.0,115.0,35.0,7.0,13.0,20.0,17.0,19.0,21.0
4856,0.0,8.0,18.0,70.0,28.0,14.0,133.0,2.0,114.0,24.0,128.0,64.0,31.0,30.0,44.0,52.0,1.0,9.0,63.0,25.0,69.0,34.0,56.0,27.0,4.0,17.0,51.0,84.0,131.0,7.0
