,MAGEA1,NGEF,GPX3,ACKR3,TNNI3K,BTBD11,LINC00942,FAM21B,RP11-157G21.2,MYEF2,VAMP5,PTEN,SLC12A7,IGF1R,MGC10955,TAF7,HTATSF1P2,SLC2A12,RP4-605O3.4,IGF2,PDE9A,PDLIM4,GREM1,SPAST,SGK1,ITGA9,MBOAT1,TMPRSS11E,ZNF502,GLB1L2
499,2.0,8.0,49.0,18.0,9.0,37.0,27.0,585.0,1450.0,21.0,1.0,17.0,105.0,34.0,13.0,19.0,939.0,12.0,210.0,20.0,25.0,146.0,300.0,63.0,80.0,42.0,10.0,23.0,117.0,276.0
548,39.0,1.0,3.0,5.0,6.0,97.0,12.0,452.0,207.0,21.0,0.0,75.0,19.0,15.0,25.0,98.0,35.0,8.0,51.0,4.0,61.0,131.0,151.0,33.0,29.0,77.0,13.0,407.0,858.0,24.0
597,8.0,12.0,11.0,27.0,75.0,652.0,77.0,1137.0,257.0,4.0,2.0,19.0,24.0,13.0,16.0,9.0,1249.0,25.0,206.0,1.0,36.0,6.0,67.0,33.0,30.0,22.0,15.0,203.0,264.0,31.0
646,5.0,24.0,0.0,15.0,19.0,14.0,132.0,650.0,465.0,3.0,7.0,163.0,54.0,22.0,68.0,178.0,1370.0,73.0,31.0,4.0,26.0,8.0,83.0,90.0,179.0,28.0,101.0,51.0,4395.0,111.0
695,2.0,5.0,1.0,0.0,13.0,106.0,15.0,3659.0,218.0,3.0,6.0,18.0,17.0,34.0,8.0,7.0,224.0,24.0,62.0,107.0,60.0,44.0,278.0,25.0,142.0,166.0,54.0,201.0,1967.0,227.0
744,28.0,0.0,2.0,4.0,14.0,71.0,10.0,403.0,140.0,11.0,1.0,15.0,34.0,77.0,70.0,37.0,163.0,33.0,242.0,27.0,409.0,469.0,13.0,35.0,20.0,203.0,30.0,231.0,94.0,45.0
793,4.0,6.0,2.0,14.0,23.0,41.0,5.0,2538.0,112.0,1.0,0.0,31.0,28.0,47.0,25.0,19.0,167.0,17.0,398.0,21.0,187.0,16.0,85.0,68.0,33.0,71.0,96.0,83.0,780.0,181.0
842,5.0,0.0,25.0,18.0,141.0,120.0,48.0,62.0,106.0,24.0,8.0,21.0,4.0,7.0,6.0,1.0,844.0,75.0,150.0,19.0,44.0,3.0,1398.0,222.0,30.0,52.0,23.0,63.0,69.0,422.0
891,9.0,3.0,2.0,1.0,73.0,106.0,23.0,4.0,39.0,5.0,6.0,68.0,98.0,15.0,11.0,14.0,264.0,17.0,59.0,18.0,318.0,0.0,128.0,31.0,8.0,38.0,44.0,12.0,467.0,83.0
940,4.0,1.0,2.0,95.0,23.0,219.0,6.0,3946.0,123.0,25.0,14.0,201.0,13.0,115.0,3.0,32.0,150.0,44.0,41.0,83.0,300.0,16.0,57.0,28.0,45.0,51.0,22.0,75.0,164.0,215.0
989,2.0,1.0,52.0,4.0,42.0,12.0,36.0,19.0,11.0,9.0,26.0,0.0,15.0,14.0,73.0,8.0,40.0,22.0,55.0,83.0,184.0,48.0,92.0,74.0,33.0,63.0,57.0,79.0,16.0,59.0
1038,8.0,3.0,210.0,1.0,76.0,21.0,82.0,177.0,50.0,22.0,20.0,2.0,5.0,10.0,31.0,29.0,6.0,58.0,17.0,96.0,18.0,26.0,106.0,49.0,24.0,91.0,53.0,102.0,11.0,88.0
1087,30.0,0.0,34.0,4.0,98.0,15.0,10.0,60.0,19.0,12.0,62.0,1.0,40.0,6.0,16.0,100.0,93.0,8.0,18.0,103.0,317.0,41.0,27.0,26.0,75.0,13.0,22.0,45.0,64.0,33.0
1136,5.0,1.0,12.0,14.0,48.0,17.0,6.0,0.0,19.0,121.0,58.0,11.0,23.0,3.0,45.0,18.0,22.0,36.0,28.0,33.0,2.0,9.0,162.0,168.0,190.0,61.0,26.0,24.0,21.0,29.0
1185,17.0,2.0,34.0,13.0,36.0,1.0,47.0,8.0,5.0,10.0,35.0,3.0,9.0,21.0,147.0,64.0,29.0,27.0,102.0,23.0,48.0,664.0,51.0,53.0,12.0,119.0,184.0,56.0,0.0,69.0
1234,1.0,29.0,81.0,7.0,77.0,20.0,165.0,0.0,9.0,14.0,597.0,3.0,25.0,6.0,38.0,19.0,224.0,13.0,2.0,51.0,16.0,56.0,343.0,67.0,48.0,84.0,36.0,47.0,10.0,113.0
1283,34.0,2.0,59.0,1.0,15.0,22.0,14.0,12.0,6.0,108.0,3.0,0.0,5.0,25.0,151.0,42.0,4.0,36.0,27.0,335.0,157.0,37.0,8.0,64.0,10.0,43.0,474.0,30.0,44.0,497.0
1332,2.0,3.0,95.0,18.0,72.0,29.0,41.0,92.0,0.0,1.0,5.0,4.0,36.0,23.0,39.0,42.0,8.0,133.0,80.0,121.0,533.0,498.0,510.0,24.0,157.0,64.0,191.0,6.0,17.0,53.0
1381,83.0,10.0,40.0,1.0,57.0,109.0,65.0,531.0,42.0,21.0,68.0,2.0,6.0,8.0,16.0,11.0,179.0,7.0,30.0,92.0,4.0,193.0,44.0,39.0,9.0,56.0,64.0,23.0,3.0,152.0
1430,16.0,26.0,31.0,53.0,72.0,6.0,153.0,110.0,78.0,11.0,24.0,9.0,4.0,42.0,7.0,107.0,69.0,382.0,46.0,77.0,828.0,173.0,22.0,14.0,25.0,30.0,12.0,13.0,34.0,10.0
1479,0.0,3.0,1.0,2.0,61.0,56.0,374.0,109.0,54.0,273.0,153.0,99.0,266.0,297.0,39.0,27.0,12.0,319.0,165.0,5.0,123.0,7.0,160.0,31.0,161.0,120.0,40.0,72.0,86.0,76.0
1528,20.0,14.0,5.0,2.0,77.0,18.0,197.0,123.0,39.0,245.0,3.0,72.0,10.0,263.0,81.0,171.0,101.0,210.0,297.0,82.0,24.0,38.0,19.0,54.0,42.0,37.0,32.0,25.0,4.0,58.0
1577,4.0,1.0,7.0,10.0,56.0,27.0,13.0,81.0,118.0,335.0,44.0,39.0,3.0,28.0,104.0,145.0,26.0,180.0,272.0,40.0,87.0,82.0,72.0,23.0,38.0,11.0,25.0,17.0,188.0,48.0
1626,1.0,397.0,6.0,20.0,42.0,14.0,44.0,66.0,150.0,21.0,79.0,39.0,83.0,249.0,7.0,198.0,16.0,506.0,582.0,29.0,438.0,454.0,115.0,4.0,37.0,107.0,27.0,17.0,80.0,43.0
1675,69.0,4.0,1.0,8.0,158.0,15.0,489.0,55.0,76.0,67.0,110.0,42.0,10.0,36.0,81.0,37.0,362.0,19.0,678.0,140.0,295.0,26.0,13.0,12.0,29.0,50.0,31.0,17.0,21.0,96.0
1724,8.0,20.0,0.0,12.0,10.0,38.0,59.0,233.0,285.0,37.0,2.0,32.0,22.0,79.0,5.0,115.0,132.0,33.0,766.0,31.0,694.0,3.0,125.0,62.0,36.0,44.0,24.0,35.0,96.0,222.0
1773,1.0,3.0,5.0,77.0,9.0,11.0,38.0,409.0,75.0,6.0,20.0,66.0,45.0,288.0,37.0,149.0,25.0,154.0,207.0,59.0,420.0,1106.0,41.0,14.0,167.0,29.0,18.0,26.0,64.0,116.0
1822,4.0,1.0,0.0,7.0,13.0,40.0,22.0,84.0,21.0,17.0,29.0,27.0,57.0,985.0,59.0,77.0,11.0,255.0,375.0,122.0,477.0,5.0,26.0,14.0,101.0,35.0,6.0,47.0,114.0,70.0
1871,3.0,12.0,0.0,2.0,29.0,37.0,11.0,58.0,84.0,112.0,1.0,56.0,13.0,108.0,657.0,53.0,65.0,134.0,155.0,59.0,133.0,118.0,184.0,60.0,270.0,23.0,21.0,9.0,26.0,86.0
1920,1.0,0.0,7.0,5.0,28.0,645.0,39.0,14.0,67.0,62.0,12.0,36.0,57.0,25.0,50.0,104.0,84.0,489.0,227.0,11.0,37.0,22.0,904.0,66.0,177.0,19.0,59.0,18.0,6.0,79.0
1969,51.0,9.0,6.0,2.0,3.0,37.0,178.0,0.0,8.0,10.0,1.0,48.0,36.0,24.0,245.0,18.0,14.0,133.0,39.0,105.0,40.0,188.0,16.0,253.0,7.0,32.0,104.0,13.0,30.0,79.0
2018,74.0,4.0,1.0,6.0,7.0,23.0,170.0,0.0,21.0,5.0,3.0,64.0,18.0,65.0,30.0,15.0,28.0,200.0,27.0,29.0,100.0,1070.0,94.0,70.0,11.0,46.0,71.0,10.0,84.0,147.0
2067,4.0,1.0,40.0,110.0,24.0,5.0,144.0,0.0,3.0,2.0,17.0,56.0,205.0,25.0,96.0,15.0,61.0,23.0,22.0,46.0,168.0,41.0,130.0,175.0,20.0,132.0,51.0,8.0,19.0,309.0
2116,53.0,1.0,18.0,72.0,73.0,8.0,128.0,0.0,27.0,10.0,11.0,20.0,9.0,138.0,13.0,4.0,563.0,14.0,30.0,56.0,85.0,407.0,52.0,143.0,26.0,45.0,17.0,40.0,69.0,472.0
2165,14.0,0.0,9.0,18.0,7.0,6.0,86.0,4.0,1.0,2.0,43.0,60.0,20.0,26.0,27.0,23.0,12.0,149.0,34.0,77.0,62.0,105.0,121.0,218.0,177.0,25.0,28.0,15.0,256.0,110.0
2214,54.0,3.0,15.0,2.0,23.0,27.0,58.0,0.0,4.0,1.0,8.0,60.0,55.0,46.0,124.0,5.0,50.0,73.0,12.0,240.0,184.0,962.0,86.0,24.0,22.0,13.0,88.0,9.0,14.0,366.0
2263,14.0,7.0,19.0,62.0,4.0,16.0,145.0,6.0,13.0,23.0,18.0,15.0,78.0,20.0,33.0,5.0,456.0,8.0,11.0,17.0,55.0,2.0,995.0,227.0,24.0,88.0,131.0,12.0,44.0,164.0
2312,134.0,56.0,6.0,22.0,2.0,21.0,185.0,0.0,5.0,18.0,14.0,44.0,72.0,24.0,147.0,58.0,155.0,127.0,3.0,163.0,4.0,5953.0,8.0,229.0,28.0,190.0,64.0,88.0,11.0,16.0
2361,18.0,9.0,14.0,79.0,8.0,7.0,324.0,2.0,0.0,11.0,5.0,152.0,110.0,24.0,29.0,4.0,239.0,13.0,55.0,31.0,155.0,2264.0,51.0,166.0,15.0,59.0,67.0,12.0,17.0,70.0
2410,0.0,25.0,12.0,4.0,57.0,635.0,115.0,3.0,18.0,1.0,24.0,193.0,186.0,14.0,13.0,6.0,312.0,149.0,8.0,17.0,97.0,302.0,431.0,350.0,23.0,362.0,70.0,5.0,55.0,62.0
2459,6.0,2.0,4.0,0.0,7.0,5.0,1.0,49.0,9.0,14.0,29.0,42.0,10.0,137.0,22.0,238.0,3.0,31.0,158.0,156.0,18.0,11.0,56.0,62.0,759.0,35.0,127.0,26.0,25.0,32.0
2508,98.0,9.0,20.0,0.0,51.0,6.0,4.0,2.0,15.0,36.0,94.0,28.0,10.0,162.0,106.0,140.0,5.0,19.0,185.0,57.0,49.0,44.0,16.0,40.0,173.0,150.0,119.0,14.0,12.0,81.0
2557,2.0,12.0,16.0,9.0,8.0,15.0,0.0,25.0,1.0,44.0,13.0,119.0,11.0,90.0,89.0,109.0,10.0,76.0,40.0,18.0,65.0,7.0,671.0,124.0,174.0,50.0,229.0,26.0,20.0,150.0
2606,16.0,7.0,44.0,4.0,18.0,28.0,0.0,123.0,5.0,6.0,66.0,52.0,279.0,357.0,1.0,75.0,2.0,13.0,57.0,116.0,111.0,91.0,125.0,14.0,49.0,147.0,21.0,40.0,151.0,59.0
2655,1.0,35.0,6.0,0.0,24.0,19.0,7.0,12.0,8.0,196.0,65.0,86.0,27.0,41.0,246.0,916.0,39.0,38.0,25.0,13.0,3.0,164.0,74.0,32.0,181.0,63.0,97.0,23.0,50.0,2.0
2704,9.0,1.0,3.0,23.0,5.0,46.0,0.0,102.0,12.0,55.0,164.0,47.0,21.0,390.0,14.0,249.0,2.0,39.0,215.0,36.0,321.0,220.0,30.0,20.0,503.0,109.0,98.0,10.0,6.0,18.0
2753,101.0,82.0,0.0,33.0,8.0,6.0,32.0,2.0,103.0,175.0,1301.0,60.0,127.0,116.0,46.0,143.0,265.0,11.0,34.0,9.0,17.0,90.0,471.0,3.0,180.0,139.0,95.0,1.0,10.0,15.0
2802,46.0,13.0,7.0,3.0,20.0,5.0,2.0,25.0,0.0,18.0,77.0,22.0,31.0,127.0,12.0,176.0,39.0,40.0,147.0,23.0,53.0,16.0,154.0,32.0,292.0,107.0,52.0,21.0,4.0,43.0
2851,21.0,212.0,2.0,0.0,30.0,191.0,1.0,10.0,3.0,69.0,169.0,129.0,372.0,224.0,11.0,66.0,6.0,71.0,58.0,31.0,163.0,9.0,13.0,12.0,451.0,106.0,123.0,206.0,8.0,216.0
2900,147.0,10.0,1.0,4.0,12.0,2.0,0.0,19.0,6.0,16.0,49.0,11.0,126.0,164.0,358.0,836.0,34.0,50.0,48.0,18.0,41.0,82.0,30.0,99.0,292.0,46.0,318.0,127.0,23.0,21.0
2949,1.0,0.0,8.0,12.0,3.0,80.0,2.0,9.0,283.0,31.0,23.0,60.0,81.0,6.0,57.0,18.0,1364.0,16.0,38.0,40.0,39.0,20.0,144.0,58.0,14.0,43.0,73.0,26.0,74.0,36.0
2998,4.0,0.0,6.0,15.0,24.0,19.0,1.0,3.0,12.0,25.0,14.0,31.0,117.0,26.0,200.0,10.0,61.0,8.0,49.0,384.0,45.0,62.0,52.0,55.0,29.0,44.0,110.0,33.0,433.0,463.0
3047,2.0,0.0,1.0,76.0,3.0,6.0,10.0,153.0,23.0,64.0,16.0,47.0,17.0,89.0,4.0,87.0,43.0,317.0,69.0,25.0,341.0,8.0,90.0,105.0,35.0,40.0,109.0,187.0,132.0,51.0
3096,11.0,0.0,13.0,25.0,107.0,7.0,8.0,2.0,26.0,67.0,17.0,4.0,34.0,14.0,80.0,45.0,905.0,19.0,6.0,258.0,44.0,51.0,27.0,10.0,66.0,33.0,46.0,48.0,35.0,399.0
3145,13.0,0.0,1.0,4.0,14.0,10.0,5.0,12.0,39.0,209.0,9.0,62.0,101.0,158.0,72.0,47.0,182.0,53.0,66.0,175.0,23.0,352.0,46.0,44.0,242.0,43.0,213.0,346.0,8.0,815.0
3194,8.0,2.0,4.0,6.0,81.0,160.0,5.0,1.0,14.0,342.0,71.0,25.0,183.0,7.0,151.0,27.0,245.0,34.0,10.0,88.0,19.0,0.0,181.0,72.0,60.0,21.0,40.0,380.0,117.0,61.0
3243,1.0,0.0,5.0,336.0,7.0,13.0,31.0,3.0,2.0,59.0,12.0,19.0,38.0,24.0,441.0,28.0,66.0,4.0,23.0,167.0,49.0,8.0,61.0,50.0,111.0,34.0,91.0,117.0,148.0,45.0
3292,0.0,3.0,5.0,42.0,7.0,91.0,6.0,12.0,59.0,76.0,79.0,128.0,61.0,30.0,105.0,16.0,313.0,48.0,47.0,75.0,21.0,26.0,35.0,36.0,23.0,34.0,44.0,172.0,81.0,14.0
3341,6.0,0.0,13.0,8.0,10.0,5.0,3.0,4.0,24.0,83.0,16.0,58.0,164.0,20.0,166.0,23.0,266.0,7.0,12.0,36.0,32.0,31.0,113.0,29.0,101.0,22.0,61.0,43.0,56.0,33.0
3390,4.0,3.0,6.0,15.0,24.0,36.0,10.0,2.0,11.0,297.0,55.0,28.0,596.0,23.0,17.0,66.0,2211.0,5.0,35.0,81.0,19.0,367.0,50.0,43.0,14.0,274.0,156.0,136.0,26.0,65.0
3439,2.0,228.0,6.0,1.0,4.0,149.0,40.0,109.0,97.0,73.0,184.0,115.0,32.0,13.0,24.0,31.0,82.0,52.0,18.0,238.0,20.0,582.0,319.0,25.0,189.0,45.0,129.0,23.0,214.0,15.0
3488,5.0,37.0,3.0,0.0,11.0,29.0,8.0,12.0,18.0,25.0,85.0,13.0,146.0,47.0,23.0,63.0,7.0,2.0,9.0,35.0,38.0,21.0,4.0,93.0,120.0,78.0,19.0,55.0,6.0,111.0
3537,2.0,73.0,4.0,11.0,56.0,16.0,19.0,74.0,75.0,23.0,310.0,6.0,86.0,58.0,8.0,82.0,42.0,1.0,20.0,178.0,15.0,2489.0,13.0,14.0,52.0,207.0,25.0,67.0,10.0,160.0
3586,7.0,115.0,13.0,8.0,11.0,14.0,142.0,738.0,23.0,82.0,44.0,4.0,108.0,149.0,2.0,83.0,12.0,1.0,22.0,307.0,0.0,2294.0,20.0,48.0,114.0,90.0,32.0,53.0,9.0,98.0
3635,1.0,69.0,16.0,7.0,40.0,446.0,41.0,924.0,145.0,353.0,12.0,6.0,48.0,23.0,10.0,68.0,4.0,14.0,88.0,409.0,13.0,50.0,44.0,31.0,74.0,30.0,71.0,17.0,456.0,107.0
3684,0.0,2.0,9.0,12.0,3.0,8.0,6.0,118.0,42.0,41.0,64.0,14.0,85.0,55.0,66.0,124.0,5.0,7.0,60.0,1438.0,17.0,294.0,74.0,43.0,86.0,206.0,98.0,146.0,23.0,10.0
3733,0.0,2.0,1.0,12.0,19.0,38.0,50.0,13.0,18.0,20.0,78.0,15.0,98.0,73.0,16.0,74.0,8.0,3.0,9.0,390.0,5.0,7.0,52.0,35.0,130.0,84.0,4.0,28.0,86.0,24.0
3782,0.0,67.0,1.0,3.0,13.0,59.0,5.0,620.0,114.0,40.0,17.0,12.0,68.0,18.0,2.0,22.0,86.0,6.0,32.0,492.0,10.0,4.0,42.0,53.0,36.0,61.0,14.0,98.0,21.0,25.0
3831,1.0,16.0,0.0,3.0,2.0,35.0,4.0,858.0,23.0,53.0,47.0,14.0,19.0,39.0,15.0,24.0,25.0,10.0,32.0,67.0,9.0,5.0,126.0,52.0,215.0,116.0,48.0,108.0,21.0,101.0
3880,23.0,1.0,0.0,45.0,32.0,12.0,17.0,14.0,85.0,104.0,39.0,11.0,139.0,46.0,37.0,84.0,3.0,79.0,4.0,516.0,6.0,164.0,5.0,42.0,65.0,28.0,8.0,134.0,7.0,2.0
3929,2.0,4.0,1.0,8.0,0.0,3.0,28.0,32.0,44.0,31.0,90.0,25.0,6.0,11.0,202.0,9.0,43.0,7.0,37.0,64.0,154.0,760.0,50.0,47.0,40.0,74.0,131.0,49.0,1284.0,26.0
3978,0.0,1.0,2.0,4.0,3.0,31.0,6.0,22.0,11.0,1365.0,16.0,9.0,8.0,18.0,715.0,17.0,19.0,754.0,29.0,15.0,184.0,14.0,96.0,57.0,180.0,165.0,183.0,468.0,39.0,40.0
4027,1.0,2.0,0.0,5.0,4.0,3.0,27.0,8.0,26.0,13.0,25.0,20.0,92.0,23.0,309.0,28.0,39.0,95.0,21.0,47.0,155.0,1119.0,44.0,40.0,256.0,1511.0,559.0,133.0,384.0,75.0
4076,1.0,5.0,0.0,14.0,2.0,3.0,15.0,19.0,4.0,123.0,37.0,6.0,22.0,11.0,466.0,49.0,13.0,99.0,25.0,27.0,24.0,671.0,34.0,260.0,74.0,184.0,38.0,230.0,334.0,82.0
4125,2.0,10.0,0.0,107.0,3.0,1.0,5.0,63.0,15.0,14.0,53.0,6.0,93.0,27.0,56.0,8.0,12.0,44.0,47.0,11.0,39.0,400.0,33.0,119.0,38.0,124.0,31.0,381.0,356.0,241.0
4174,4.0,1.0,0.0,34.0,8.0,10.0,15.0,38.0,17.0,25.0,12.0,13.0,2.0,19.0,278.0,28.0,9.0,70.0,114.0,101.0,193.0,2224.0,5.0,41.0,50.0,297.0,63.0,364.0,78.0,35.0
4223,1.0,23.0,0.0,12.0,6.0,3.0,8.0,32.0,40.0,496.0,69.0,67.0,4.0,38.0,1288.0,47.0,5.0,293.0,54.0,17.0,13.0,7210.0,100.0,71.0,279.0,618.0,182.0,161.0,164.0,136.0
4272,1.0,6.0,0.0,32.0,2.0,16.0,7.0,212.0,5.0,65.0,8.0,14.0,309.0,37.0,386.0,27.0,76.0,33.0,17.0,104.0,337.0,173.0,11.0,119.0,35.0,130.0,36.0,453.0,199.0,86.0
4321,0.0,4.0,1.0,26.0,3.0,14.0,12.0,7.0,9.0,11.0,90.0,15.0,21.0,19.0,886.0,30.0,2.0,66.0,6.0,71.0,68.0,377.0,27.0,107.0,23.0,213.0,41.0,440.0,355.0,33.0
4370,0.0,4.0,1.0,10.0,3.0,11.0,6.0,97.0,7.0,37.0,60.0,27.0,16.0,12.0,355.0,86.0,15.0,21.0,43.0,90.0,541.0,481.0,49.0,18.0,129.0,170.0,111.0,304.0,630.0,114.0
4419,1.0,227.0,4.0,341.0,3.0,36.0,218.0,195.0,5.0,6.0,688.0,38.0,14.0,134.0,2.0,17.0,258.0,41.0,145.0,27.0,106.0,200.0,45.0,94.0,10.0,190.0,25.0,113.0,8.0,13.0
4468,1.0,50.0,2.0,19.0,6.0,20.0,217.0,147.0,14.0,115.0,86.0,85.0,0.0,18.0,4.0,41.0,31.0,130.0,55.0,71.0,67.0,17.0,36.0,106.0,3.0,12.0,7.0,190.0,1063.0,22.0
4517,46.0,41.0,0.0,63.0,9.0,4.0,179.0,18.0,1.0,5.0,52.0,208.0,3.0,108.0,13.0,49.0,11.0,474.0,101.0,25.0,43.0,87.0,28.0,172.0,59.0,16.0,78.0,121.0,40.0,12.0
4566,4.0,891.0,38.0,79.0,11.0,240.0,693.0,9.0,14.0,12.0,323.0,34.0,18.0,20.0,0.0,96.0,2.0,51.0,223.0,15.0,27.0,83.0,6.0,24.0,5.0,57.0,43.0,95.0,122.0,19.0
4615,5.0,68.0,104.0,46.0,11.0,1.0,1245.0,10.0,0.0,4.0,82.0,93.0,7.0,13.0,25.0,53.0,49.0,40.0,71.0,35.0,140.0,204.0,114.0,106.0,32.0,29.0,33.0,157.0,8.0,141.0
4664,21.0,52.0,1.0,64.0,0.0,6.0,100.0,220.0,7.0,11.0,75.0,86.0,5.0,60.0,3.0,29.0,43.0,155.0,38.0,2.0,44.0,20.0,26.0,258.0,19.0,14.0,9.0,55.0,15.0,46.0
4713,34.0,68.0,8.0,9.0,7.0,11.0,1257.0,767.0,10.0,16.0,27.0,108.0,6.0,23.0,0.0,58.0,50.0,15.0,147.0,21.0,193.0,13.0,12.0,61.0,5.0,55.0,19.0,166.0,73.0,14.0
4762,1.0,68.0,2.0,29.0,3.0,80.0,264.0,10.0,12.0,124.0,253.0,176.0,15.0,86.0,0.0,196.0,35.0,76.0,110.0,26.0,20.0,36.0,19.0,118.0,40.0,31.0,120.0,55.0,105.0,37.0
4811,5.0,99.0,9.0,20.0,3.0,7.0,139.0,13.0,0.0,4.0,324.0,144.0,6.0,15.0,8.0,72.0,2.0,91.0,54.0,42.0,48.0,71.0,1065.0,322.0,32.0,55.0,83.0,57.0,11.0,45.0
4860,22.0,7.0,15.0,391.0,11.0,4.0,740.0,119.0,5.0,38.0,14.0,31.0,0.0,157.0,9.0,105.0,6.0,33.0,144.0,74.0,261.0,477.0,30.0,100.0,17.0,57.0,25.0,70.0,13.0,29.0
