,leucine,inosine,uracil,cis/trans-hydroxyproline,asparagine,alpha-glycerophosphate,putrescine,DHAP/glyceraldehyde 3P,beta-alanine,hexoses (HILIC neg),C22:6 LPC,C22:6 LPE,pantothenate,alpha-hydroxybutyrate,alpha-glycerophosphocholine,serotonin,5-HIAA,2-deoxyadenosine,uridine,dCMP,2-deoxycytidine,C34:4 PC,hypoxanthine,adenosine,glutamine,valerylcarnitine,C16:0 LPE,sarcosine,taurodeoxycholate,inositol
712,57.0,28.0,9.0,14.0,3.0,5.0,30.0,16.0,11.0,22.0,44.0,19.0,46.0,63.0,48.0,0.0,12.0,35.0,8.0,34.0,15.0,41.0,1.0,13.0,66.0,42.0,38.0,26.0,36.0,2.0
761,19.0,27.0,14.0,13.0,10.0,49.0,54.0,12.0,24.0,37.0,6.0,39.0,26.0,1.0,0.0,45.0,38.0,23.0,42.0,56.0,20.0,48.0,9.0,15.0,8.0,43.0,41.0,2.0,11.0,25.0
810,12.0,18.0,30.0,17.0,19.0,16.0,52.0,1.0,38.0,63.0,15.0,46.0,20.0,8.0,36.0,13.0,21.0,44.0,7.0,27.0,24.0,9.0,5.0,61.0,31.0,22.0,25.0,57.0,34.0,41.0
859,20.0,63.0,4.0,2.0,53.0,37.0,7.0,3.0,13.0,30.0,11.0,50.0,25.0,0.0,10.0,15.0,9.0,6.0,17.0,12.0,14.0,44.0,5.0,18.0,46.0,34.0,27.0,61.0,47.0,33.0
908,17.0,5.0,9.0,48.0,13.0,20.0,43.0,1.0,15.0,42.0,3.0,46.0,36.0,65.0,23.0,31.0,8.0,39.0,6.0,29.0,11.0,2.0,56.0,7.0,30.0,38.0,41.0,34.0,59.0,52.0
957,3.0,65.0,23.0,7.0,44.0,34.0,45.0,1.0,5.0,15.0,18.0,39.0,21.0,42.0,33.0,6.0,13.0,16.0,36.0,57.0,37.0,35.0,46.0,58.0,30.0,12.0,29.0,56.0,53.0,20.0
1006,39.0,2.0,25.0,52.0,7.0,14.0,17.0,19.0,6.0,1.0,24.0,45.0,3.0,21.0,4.0,42.0,29.0,32.0,38.0,12.0,44.0,46.0,60.0,28.0,10.0,0.0,22.0,55.0,51.0,53.0
1055,26.0,2.0,11.0,25.0,29.0,19.0,5.0,60.0,42.0,1.0,39.0,41.0,14.0,10.0,17.0,6.0,23.0,35.0,33.0,7.0,27.0,49.0,4.0,36.0,55.0,28.0,22.0,43.0,8.0,44.0
1104,50.0,3.0,25.0,2.0,28.0,57.0,23.0,12.0,7.0,5.0,20.0,32.0,13.0,29.0,6.0,9.0,42.0,18.0,39.0,21.0,1.0,17.0,55.0,48.0,15.0,19.0,31.0,64.0,10.0,14.0
1153,41.0,5.0,8.0,35.0,40.0,27.0,3.0,14.0,18.0,4.0,49.0,20.0,0.0,9.0,10.0,1.0,11.0,6.0,31.0,47.0,22.0,21.0,54.0,39.0,57.0,15.0,26.0,65.0,24.0,63.0
1202,18.0,41.0,11.0,14.0,30.0,15.0,29.0,28.0,13.0,7.0,16.0,48.0,4.0,59.0,6.0,9.0,34.0,45.0,25.0,44.0,51.0,52.0,49.0,1.0,57.0,26.0,50.0,10.0,22.0,3.0
1251,37.0,0.0,25.0,11.0,52.0,44.0,2.0,3.0,17.0,4.0,14.0,59.0,54.0,66.0,32.0,55.0,28.0,57.0,19.0,40.0,7.0,29.0,12.0,38.0,27.0,36.0,30.0,63.0,6.0,18.0
1300,2.0,1.0,41.0,23.0,42.0,25.0,14.0,9.0,15.0,11.0,16.0,21.0,5.0,65.0,8.0,10.0,6.0,12.0,32.0,26.0,19.0,28.0,34.0,24.0,62.0,18.0,30.0,58.0,7.0,54.0
1349,33.0,19.0,21.0,12.0,22.0,7.0,47.0,15.0,4.0,14.0,5.0,56.0,41.0,36.0,30.0,51.0,16.0,55.0,11.0,31.0,63.0,26.0,64.0,1.0,25.0,45.0,20.0,39.0,32.0,38.0
1398,12.0,3.0,16.0,5.0,34.0,31.0,0.0,11.0,2.0,9.0,33.0,24.0,63.0,25.0,7.0,4.0,20.0,54.0,39.0,19.0,13.0,44.0,59.0,37.0,58.0,30.0,26.0,49.0,15.0,1.0
1447,37.0,0.0,46.0,9.0,22.0,34.0,2.0,4.0,1.0,13.0,5.0,7.0,25.0,66.0,10.0,15.0,23.0,30.0,35.0,20.0,36.0,8.0,17.0,3.0,54.0,39.0,24.0,49.0,51.0,56.0
1496,39.0,14.0,47.0,7.0,5.0,12.0,60.0,13.0,1.0,27.0,2.0,30.0,4.0,20.0,44.0,29.0,18.0,52.0,16.0,38.0,24.0,28.0,55.0,9.0,10.0,22.0,50.0,25.0,36.0,43.0
1545,3.0,6.0,15.0,13.0,5.0,16.0,8.0,39.0,25.0,31.0,1.0,18.0,7.0,26.0,58.0,54.0,29.0,50.0,49.0,64.0,46.0,17.0,11.0,2.0,4.0,44.0,65.0,56.0,21.0,24.0
1594,36.0,1.0,18.0,25.0,17.0,7.0,28.0,9.0,19.0,4.0,11.0,27.0,26.0,39.0,10.0,52.0,33.0,38.0,29.0,13.0,56.0,41.0,16.0,53.0,5.0,6.0,35.0,43.0,12.0,15.0
1643,1.0,60.0,24.0,5.0,2.0,11.0,19.0,10.0,28.0,37.0,36.0,18.0,8.0,0.0,4.0,32.0,34.0,58.0,13.0,39.0,52.0,31.0,50.0,7.0,12.0,17.0,35.0,46.0,20.0,6.0
1692,0.0,6.0,35.0,61.0,7.0,3.0,62.0,46.0,43.0,31.0,59.0,11.0,10.0,50.0,49.0,21.0,22.0,39.0,8.0,65.0,24.0,19.0,13.0,1.0,5.0,29.0,16.0,28.0,45.0,32.0
1741,0.0,36.0,44.0,47.0,22.0,21.0,27.0,41.0,19.0,50.0,3.0,15.0,43.0,13.0,28.0,8.0,46.0,38.0,25.0,4.0,37.0,59.0,12.0,32.0,18.0,2.0,30.0,6.0,20.0,16.0
1790,14.0,31.0,20.0,50.0,1.0,7.0,29.0,19.0,9.0,40.0,16.0,21.0,2.0,23.0,28.0,53.0,45.0,41.0,18.0,22.0,17.0,35.0,38.0,6.0,8.0,25.0,51.0,48.0,34.0,32.0
1839,4.0,18.0,51.0,54.0,1.0,58.0,20.0,8.0,21.0,23.0,5.0,37.0,12.0,55.0,16.0,63.0,19.0,49.0,26.0,11.0,29.0,52.0,17.0,7.0,10.0,46.0,59.0,3.0,22.0,24.0
1888,14.0,11.0,44.0,36.0,4.0,26.0,8.0,18.0,0.0,2.0,5.0,31.0,1.0,64.0,39.0,30.0,27.0,16.0,12.0,49.0,42.0,33.0,43.0,17.0,3.0,15.0,45.0,22.0,48.0,57.0
1937,5.0,12.0,25.0,40.0,35.0,10.0,49.0,61.0,27.0,30.0,2.0,15.0,4.0,65.0,20.0,8.0,38.0,51.0,23.0,59.0,6.0,47.0,14.0,7.0,44.0,11.0,16.0,64.0,22.0,46.0
1986,13.0,9.0,22.0,24.0,12.0,43.0,65.0,62.0,10.0,21.0,2.0,27.0,28.0,11.0,31.0,6.0,8.0,14.0,37.0,18.0,7.0,1.0,35.0,15.0,60.0,49.0,30.0,41.0,29.0,33.0
2035,62.0,19.0,21.0,5.0,13.0,8.0,1.0,25.0,39.0,31.0,20.0,22.0,42.0,0.0,14.0,35.0,23.0,3.0,17.0,24.0,15.0,18.0,47.0,54.0,29.0,6.0,49.0,12.0,28.0,53.0
2084,54.0,55.0,14.0,41.0,23.0,12.0,10.0,8.0,7.0,25.0,36.0,19.0,21.0,46.0,50.0,9.0,17.0,39.0,40.0,37.0,62.0,11.0,53.0,43.0,61.0,64.0,29.0,27.0,18.0,24.0
2133,3.0,22.0,8.0,4.0,28.0,49.0,13.0,19.0,9.0,24.0,44.0,25.0,26.0,1.0,59.0,11.0,29.0,36.0,51.0,18.0,17.0,47.0,23.0,56.0,52.0,7.0,46.0,32.0,45.0,58.0
2182,39.0,0.0,35.0,4.0,40.0,10.0,1.0,57.0,30.0,8.0,34.0,12.0,53.0,9.0,16.0,50.0,3.0,18.0,28.0,25.0,48.0,54.0,2.0,27.0,41.0,26.0,37.0,17.0,14.0,29.0
2231,2.0,56.0,5.0,1.0,22.0,35.0,12.0,40.0,9.0,17.0,19.0,36.0,16.0,0.0,27.0,3.0,15.0,8.0,20.0,26.0,57.0,37.0,6.0,7.0,21.0,59.0,44.0,29.0,42.0,51.0
2280,50.0,43.0,8.0,3.0,12.0,6.0,61.0,20.0,39.0,28.0,44.0,23.0,15.0,10.0,30.0,5.0,9.0,18.0,2.0,31.0,37.0,32.0,56.0,34.0,48.0,33.0,47.0,22.0,63.0,25.0
2329,36.0,4.0,8.0,52.0,11.0,22.0,0.0,25.0,31.0,9.0,37.0,21.0,30.0,3.0,33.0,12.0,58.0,13.0,27.0,17.0,60.0,32.0,53.0,54.0,46.0,51.0,16.0,66.0,35.0,7.0
2378,64.0,44.0,3.0,8.0,38.0,16.0,41.0,48.0,34.0,19.0,56.0,27.0,25.0,11.0,13.0,61.0,14.0,23.0,21.0,51.0,42.0,39.0,53.0,37.0,18.0,15.0,46.0,29.0,9.0,6.0
2427,49.0,5.0,11.0,45.0,56.0,8.0,14.0,28.0,32.0,0.0,15.0,19.0,17.0,10.0,25.0,7.0,24.0,50.0,27.0,34.0,52.0,22.0,9.0,6.0,47.0,23.0,44.0,65.0,3.0,60.0
2476,2.0,17.0,55.0,9.0,0.0,8.0,43.0,28.0,37.0,18.0,12.0,7.0,10.0,6.0,57.0,59.0,25.0,16.0,50.0,54.0,27.0,48.0,29.0,41.0,63.0,32.0,21.0,33.0,23.0,51.0
2525,1.0,11.0,43.0,8.0,14.0,10.0,0.0,15.0,3.0,53.0,19.0,13.0,45.0,2.0,21.0,39.0,20.0,37.0,9.0,7.0,51.0,18.0,4.0,63.0,12.0,47.0,40.0,31.0,23.0,34.0
2574,0.0,61.0,60.0,10.0,34.0,8.0,3.0,7.0,5.0,35.0,9.0,20.0,28.0,41.0,6.0,17.0,37.0,57.0,54.0,39.0,43.0,23.0,4.0,2.0,15.0,32.0,25.0,18.0,21.0,56.0
2623,8.0,3.0,45.0,2.0,57.0,5.0,12.0,19.0,22.0,29.0,43.0,25.0,36.0,0.0,34.0,64.0,52.0,32.0,21.0,20.0,49.0,51.0,15.0,63.0,26.0,7.0,48.0,27.0,39.0,47.0
2672,11.0,6.0,31.0,18.0,9.0,41.0,2.0,17.0,13.0,42.0,12.0,22.0,33.0,40.0,16.0,34.0,29.0,10.0,54.0,50.0,51.0,19.0,4.0,24.0,37.0,45.0,55.0,1.0,7.0,39.0
2721,5.0,2.0,12.0,9.0,3.0,36.0,1.0,0.0,54.0,46.0,17.0,29.0,24.0,6.0,31.0,19.0,22.0,44.0,7.0,35.0,47.0,21.0,66.0,15.0,33.0,42.0,45.0,27.0,34.0,40.0
2770,35.0,57.0,17.0,1.0,44.0,12.0,3.0,7.0,26.0,22.0,28.0,21.0,16.0,5.0,52.0,47.0,18.0,9.0,43.0,8.0,46.0,11.0,63.0,27.0,60.0,50.0,51.0,6.0,36.0,37.0
2819,14.0,31.0,9.0,52.0,1.0,45.0,15.0,8.0,57.0,34.0,20.0,18.0,3.0,0.0,48.0,4.0,35.0,51.0,12.0,17.0,16.0,24.0,40.0,13.0,54.0,21.0,19.0,46.0,47.0,32.0
2868,49.0,7.0,10.0,32.0,2.0,17.0,0.0,5.0,12.0,38.0,62.0,28.0,46.0,4.0,27.0,6.0,20.0,3.0,52.0,11.0,16.0,15.0,66.0,21.0,36.0,55.0,41.0,13.0,26.0,50.0
2917,2.0,42.0,34.0,15.0,4.0,35.0,13.0,16.0,21.0,8.0,3.0,27.0,39.0,1.0,29.0,32.0,25.0,48.0,33.0,19.0,58.0,38.0,31.0,46.0,55.0,52.0,36.0,10.0,5.0,17.0
2966,0.0,3.0,16.0,23.0,5.0,4.0,18.0,12.0,37.0,19.0,1.0,14.0,20.0,32.0,39.0,34.0,27.0,24.0,15.0,25.0,10.0,11.0,17.0,7.0,6.0,8.0,13.0,57.0,36.0,33.0
3015,7.0,9.0,44.0,5.0,27.0,10.0,0.0,2.0,38.0,41.0,25.0,19.0,26.0,35.0,21.0,16.0,34.0,18.0,17.0,36.0,22.0,15.0,1.0,4.0,57.0,53.0,30.0,31.0,50.0,12.0
3064,0.0,64.0,47.0,25.0,2.0,24.0,44.0,18.0,6.0,8.0,19.0,22.0,5.0,33.0,1.0,31.0,49.0,7.0,32.0,3.0,13.0,10.0,45.0,42.0,4.0,15.0,23.0,60.0,27.0,14.0
3113,2.0,9.0,11.0,30.0,0.0,20.0,52.0,16.0,8.0,6.0,3.0,18.0,5.0,37.0,4.0,53.0,17.0,7.0,25.0,60.0,24.0,12.0,56.0,21.0,15.0,51.0,22.0,58.0,28.0,43.0
3162,0.0,1.0,23.0,2.0,4.0,8.0,38.0,33.0,20.0,5.0,29.0,24.0,3.0,40.0,32.0,13.0,6.0,28.0,9.0,18.0,34.0,12.0,55.0,57.0,14.0,22.0,17.0,30.0,25.0,59.0
3211,1.0,30.0,23.0,7.0,20.0,16.0,61.0,27.0,42.0,62.0,14.0,6.0,13.0,10.0,15.0,39.0,55.0,3.0,17.0,4.0,19.0,9.0,49.0,44.0,47.0,11.0,35.0,31.0,43.0,25.0
3260,15.0,16.0,30.0,9.0,1.0,27.0,18.0,24.0,46.0,0.0,54.0,29.0,12.0,32.0,14.0,34.0,11.0,5.0,20.0,61.0,42.0,17.0,51.0,26.0,7.0,56.0,41.0,10.0,21.0,35.0
3309,16.0,2.0,9.0,14.0,32.0,5.0,37.0,56.0,11.0,13.0,0.0,12.0,27.0,52.0,6.0,53.0,3.0,23.0,44.0,28.0,42.0,31.0,43.0,22.0,10.0,8.0,29.0,66.0,46.0,34.0
3358,0.0,20.0,25.0,7.0,1.0,33.0,15.0,27.0,2.0,13.0,63.0,34.0,14.0,23.0,22.0,58.0,43.0,10.0,24.0,12.0,49.0,21.0,39.0,16.0,6.0,42.0,37.0,60.0,40.0,41.0
3407,9.0,36.0,23.0,21.0,16.0,18.0,2.0,7.0,35.0,28.0,31.0,33.0,12.0,13.0,3.0,40.0,26.0,29.0,15.0,60.0,25.0,20.0,57.0,14.0,5.0,38.0,49.0,52.0,41.0,43.0
3456,3.0,10.0,46.0,4.0,56.0,17.0,36.0,30.0,19.0,32.0,33.0,27.0,0.0,40.0,31.0,1.0,22.0,20.0,49.0,42.0,21.0,7.0,9.0,59.0,2.0,53.0,16.0,24.0,25.0,43.0
3505,0.0,14.0,36.0,9.0,24.0,16.0,48.0,27.0,2.0,60.0,44.0,19.0,18.0,29.0,32.0,41.0,5.0,37.0,61.0,30.0,49.0,15.0,1.0,28.0,26.0,6.0,40.0,4.0,34.0,20.0
3554,0.0,5.0,23.0,10.0,12.0,3.0,13.0,7.0,18.0,42.0,45.0,15.0,1.0,8.0,35.0,27.0,43.0,30.0,17.0,61.0,20.0,21.0,25.0,9.0,4.0,49.0,26.0,22.0,36.0,24.0
3603,21.0,33.0,27.0,20.0,9.0,10.0,42.0,38.0,37.0,23.0,12.0,22.0,29.0,65.0,52.0,18.0,57.0,41.0,14.0,43.0,6.0,31.0,35.0,17.0,46.0,5.0,8.0,24.0,28.0,47.0
3652,36.0,45.0,3.0,13.0,40.0,22.0,5.0,6.0,10.0,57.0,28.0,25.0,17.0,2.0,56.0,20.0,16.0,15.0,60.0,39.0,47.0,31.0,12.0,32.0,52.0,0.0,53.0,11.0,7.0,19.0
3701,3.0,11.0,22.0,13.0,1.0,5.0,58.0,39.0,16.0,44.0,23.0,19.0,4.0,52.0,21.0,7.0,0.0,10.0,43.0,17.0,29.0,14.0,28.0,27.0,9.0,30.0,20.0,34.0,2.0,36.0
3750,42.0,51.0,20.0,14.0,18.0,0.0,36.0,29.0,2.0,22.0,7.0,17.0,8.0,19.0,44.0,66.0,16.0,12.0,41.0,27.0,56.0,28.0,3.0,53.0,21.0,39.0,32.0,13.0,45.0,11.0
3799,0.0,12.0,43.0,17.0,11.0,2.0,4.0,22.0,42.0,32.0,16.0,10.0,26.0,51.0,64.0,48.0,25.0,33.0,60.0,58.0,14.0,24.0,49.0,63.0,50.0,3.0,13.0,6.0,61.0,57.0
3848,4.0,12.0,10.0,0.0,22.0,11.0,63.0,34.0,66.0,56.0,38.0,16.0,3.0,26.0,28.0,36.0,18.0,13.0,21.0,25.0,59.0,24.0,23.0,19.0,5.0,60.0,15.0,29.0,42.0,6.0
3897,16.0,9.0,13.0,5.0,37.0,24.0,54.0,3.0,7.0,22.0,44.0,40.0,6.0,0.0,58.0,57.0,28.0,1.0,34.0,39.0,27.0,25.0,26.0,64.0,11.0,45.0,14.0,8.0,18.0,33.0
3946,20.0,0.0,1.0,9.0,8.0,10.0,54.0,56.0,63.0,66.0,36.0,23.0,17.0,57.0,47.0,25.0,50.0,16.0,6.0,15.0,34.0,21.0,11.0,12.0,7.0,22.0,37.0,38.0,26.0,24.0
3995,25.0,16.0,5.0,33.0,3.0,52.0,23.0,62.0,45.0,10.0,15.0,47.0,4.0,60.0,19.0,27.0,8.0,32.0,6.0,12.0,7.0,29.0,28.0,39.0,22.0,24.0,46.0,37.0,48.0,42.0
4044,10.0,16.0,9.0,29.0,25.0,27.0,8.0,0.0,38.0,4.0,24.0,26.0,50.0,59.0,28.0,35.0,54.0,23.0,19.0,13.0,7.0,49.0,20.0,33.0,36.0,18.0,15.0,6.0,43.0,17.0
4093,4.0,5.0,13.0,24.0,0.0,33.0,23.0,7.0,36.0,30.0,59.0,35.0,44.0,65.0,9.0,10.0,42.0,27.0,12.0,6.0,16.0,21.0,18.0,3.0,1.0,19.0,28.0,2.0,57.0,55.0
4142,30.0,11.0,9.0,25.0,32.0,34.0,7.0,2.0,66.0,0.0,36.0,41.0,47.0,14.0,29.0,63.0,50.0,35.0,15.0,6.0,19.0,46.0,3.0,42.0,10.0,4.0,23.0,17.0,39.0,45.0
4191,35.0,23.0,10.0,41.0,32.0,15.0,4.0,1.0,44.0,7.0,51.0,9.0,25.0,6.0,54.0,55.0,56.0,36.0,22.0,31.0,21.0,13.0,14.0,5.0,8.0,3.0,40.0,26.0,29.0,33.0
4240,2.0,23.0,5.0,14.0,17.0,39.0,19.0,56.0,30.0,26.0,36.0,41.0,49.0,6.0,42.0,55.0,46.0,22.0,10.0,4.0,12.0,1.0,34.0,65.0,29.0,7.0,57.0,18.0,25.0,20.0
4289,59.0,7.0,1.0,0.0,8.0,6.0,34.0,11.0,5.0,30.0,56.0,16.0,3.0,64.0,62.0,28.0,23.0,22.0,13.0,35.0,19.0,12.0,38.0,26.0,4.0,54.0,33.0,58.0,32.0,29.0
4338,16.0,32.0,2.0,6.0,8.0,30.0,23.0,36.0,52.0,3.0,10.0,34.0,38.0,63.0,14.0,51.0,26.0,7.0,28.0,57.0,5.0,43.0,17.0,42.0,4.0,24.0,35.0,13.0,47.0,53.0
4387,4.0,6.0,15.0,47.0,5.0,10.0,16.0,19.0,0.0,8.0,20.0,23.0,9.0,66.0,28.0,3.0,51.0,7.0,34.0,14.0,12.0,40.0,2.0,57.0,39.0,45.0,11.0,32.0,50.0,61.0
4436,21.0,5.0,8.0,47.0,1.0,39.0,0.0,11.0,42.0,4.0,35.0,37.0,23.0,53.0,24.0,33.0,12.0,7.0,14.0,46.0,15.0,34.0,66.0,48.0,22.0,27.0,32.0,26.0,40.0,13.0
4485,24.0,61.0,7.0,18.0,36.0,16.0,5.0,34.0,1.0,12.0,22.0,42.0,59.0,60.0,19.0,25.0,29.0,37.0,57.0,32.0,17.0,48.0,62.0,4.0,39.0,14.0,35.0,2.0,27.0,10.0
4534,7.0,33.0,12.0,43.0,1.0,27.0,10.0,16.0,9.0,55.0,22.0,17.0,32.0,35.0,29.0,61.0,40.0,8.0,62.0,18.0,36.0,41.0,54.0,20.0,57.0,13.0,21.0,3.0,34.0,52.0
4583,59.0,31.0,3.0,41.0,1.0,57.0,30.0,61.0,15.0,10.0,17.0,38.0,23.0,21.0,12.0,13.0,55.0,42.0,22.0,8.0,27.0,54.0,6.0,58.0,63.0,51.0,34.0,40.0,25.0,29.0
4632,2.0,6.0,5.0,18.0,63.0,13.0,3.0,32.0,56.0,15.0,60.0,55.0,40.0,4.0,23.0,17.0,39.0,21.0,49.0,46.0,29.0,45.0,22.0,47.0,53.0,38.0,52.0,11.0,50.0,24.0
4681,56.0,1.0,3.0,35.0,43.0,48.0,0.0,23.0,27.0,7.0,4.0,26.0,57.0,32.0,33.0,53.0,22.0,11.0,50.0,14.0,16.0,44.0,9.0,64.0,24.0,47.0,13.0,63.0,19.0,12.0
4730,0.0,39.0,6.0,46.0,5.0,12.0,2.0,50.0,11.0,8.0,63.0,45.0,58.0,52.0,25.0,23.0,22.0,48.0,47.0,15.0,43.0,34.0,13.0,9.0,32.0,24.0,16.0,27.0,37.0,18.0
4779,23.0,61.0,1.0,7.0,58.0,6.0,0.0,53.0,8.0,12.0,34.0,14.0,22.0,65.0,2.0,4.0,3.0,33.0,55.0,42.0,45.0,9.0,66.0,13.0,26.0,10.0,19.0,28.0,36.0,5.0
4828,32.0,4.0,6.0,13.0,7.0,3.0,1.0,30.0,35.0,0.0,29.0,11.0,8.0,26.0,17.0,22.0,14.0,40.0,31.0,53.0,28.0,54.0,23.0,62.0,27.0,41.0,16.0,39.0,21.0,9.0
4877,4.0,12.0,35.0,11.0,9.0,6.0,38.0,49.0,22.0,17.0,15.0,30.0,56.0,43.0,8.0,5.0,54.0,28.0,36.0,52.0,65.0,10.0,26.0,13.0,1.0,16.0,39.0,3.0,24.0,2.0
