,GSK3-alpha-beta,GATA3,Lck,PREX1,Collagen_VI,alpha-Catenin,PAI-1,RAD51,Claudin-7,MDMX_MDM4(BetIHC-00108),Caspase-7_cleavedD198,Cyclin_B1,Chk2,XBP1,Gab2,4E-BP1_pT37_T46,Raptor,YB-1_pS102,Chk1_pS345,Porin,Cyclin_E1,Bap1 c-4,p90RSK_pT359_S363,p27_pT157,PDCD4,PDK1_pS241,NDRG1_pT346,ACC_pS79,CDK1,PKC-pan_BetaII_pS660
638,3.0,0.0,13.0,1.0,37.0,6.0,49.0,22.0,11.0,7.0,26.0,39.0,10.0,32.0,8.0,4.0,24.0,5.0,60.0,27.0,29.0,34.0,14.0,41.0,17.0,20.0,102.0,25.0,18.0,21.0
687,10.0,6.0,0.0,8.0,1.0,5.0,21.0,44.0,9.0,37.0,53.0,19.0,48.0,12.0,3.0,51.0,29.0,39.0,97.0,2.0,63.0,20.0,41.0,7.0,17.0,59.0,95.0,49.0,31.0,32.0
736,0.0,2.0,1.0,6.0,14.0,4.0,20.0,31.0,16.0,42.0,3.0,8.0,5.0,17.0,25.0,13.0,33.0,18.0,70.0,21.0,26.0,32.0,76.0,11.0,30.0,28.0,19.0,12.0,36.0,29.0
785,0.0,3.0,5.0,2.0,4.0,22.0,10.0,13.0,24.0,9.0,19.0,43.0,8.0,33.0,25.0,14.0,12.0,57.0,6.0,15.0,11.0,1.0,17.0,7.0,28.0,66.0,40.0,32.0,23.0,26.0
834,18.0,0.0,4.0,6.0,5.0,1.0,19.0,28.0,52.0,12.0,27.0,8.0,11.0,13.0,15.0,2.0,22.0,7.0,49.0,16.0,20.0,31.0,30.0,3.0,14.0,58.0,76.0,9.0,26.0,32.0
883,5.0,1.0,12.0,0.0,6.0,2.0,17.0,54.0,19.0,11.0,59.0,14.0,24.0,7.0,3.0,4.0,29.0,13.0,95.0,41.0,76.0,21.0,15.0,10.0,18.0,25.0,57.0,22.0,23.0,39.0
932,3.0,0.0,4.0,1.0,6.0,2.0,10.0,69.0,21.0,13.0,61.0,19.0,7.0,12.0,16.0,17.0,25.0,28.0,49.0,39.0,24.0,35.0,37.0,9.0,15.0,43.0,31.0,29.0,11.0,82.0
981,0.0,11.0,1.0,2.0,3.0,4.0,8.0,22.0,15.0,10.0,23.0,32.0,5.0,17.0,31.0,16.0,18.0,14.0,13.0,21.0,9.0,19.0,7.0,48.0,99.0,29.0,50.0,33.0,34.0,35.0
1030,3.0,11.0,2.0,0.0,4.0,51.0,21.0,12.0,35.0,20.0,36.0,9.0,15.0,23.0,73.0,27.0,1.0,69.0,7.0,46.0,8.0,25.0,56.0,34.0,19.0,22.0,31.0,24.0,5.0,65.0
1079,5.0,14.0,4.0,3.0,0.0,17.0,1.0,40.0,6.0,10.0,50.0,65.0,42.0,36.0,2.0,39.0,9.0,34.0,12.0,49.0,7.0,21.0,18.0,27.0,55.0,30.0,57.0,15.0,84.0,47.0
1128,0.0,9.0,6.0,4.0,3.0,19.0,2.0,25.0,1.0,27.0,23.0,39.0,20.0,18.0,37.0,10.0,5.0,26.0,29.0,34.0,7.0,12.0,8.0,28.0,84.0,14.0,104.0,35.0,40.0,11.0
1177,0.0,1.0,3.0,5.0,7.0,11.0,6.0,32.0,4.0,2.0,42.0,12.0,30.0,23.0,22.0,9.0,19.0,18.0,41.0,29.0,20.0,48.0,25.0,47.0,21.0,13.0,85.0,14.0,26.0,44.0
1226,3.0,1.0,11.0,7.0,0.0,27.0,6.0,41.0,9.0,18.0,24.0,56.0,39.0,10.0,2.0,19.0,17.0,30.0,36.0,84.0,12.0,47.0,5.0,51.0,21.0,14.0,45.0,29.0,20.0,15.0
1275,1.0,41.0,3.0,20.0,0.0,8.0,2.0,36.0,9.0,13.0,42.0,32.0,23.0,46.0,26.0,25.0,51.0,4.0,16.0,10.0,11.0,5.0,30.0,24.0,37.0,34.0,58.0,18.0,38.0,63.0
1324,3.0,5.0,4.0,0.0,2.0,1.0,9.0,24.0,11.0,27.0,12.0,35.0,23.0,20.0,15.0,10.0,18.0,77.0,8.0,43.0,47.0,16.0,14.0,19.0,30.0,29.0,59.0,31.0,28.0,34.0
1373,2.0,3.0,6.0,15.0,1.0,10.0,8.0,62.0,0.0,20.0,72.0,66.0,12.0,16.0,4.0,13.0,17.0,5.0,9.0,19.0,25.0,28.0,59.0,34.0,43.0,22.0,37.0,47.0,33.0,18.0
1422,0.0,4.0,3.0,8.0,1.0,21.0,2.0,27.0,7.0,9.0,34.0,26.0,38.0,43.0,41.0,16.0,17.0,60.0,13.0,19.0,33.0,5.0,11.0,22.0,72.0,42.0,57.0,12.0,58.0,54.0
1471,0.0,2.0,3.0,1.0,25.0,4.0,18.0,15.0,12.0,43.0,30.0,14.0,10.0,35.0,57.0,42.0,5.0,7.0,23.0,9.0,22.0,13.0,69.0,11.0,52.0,39.0,6.0,19.0,54.0,41.0
1520,0.0,9.0,1.0,3.0,6.0,13.0,2.0,4.0,31.0,44.0,25.0,5.0,7.0,50.0,79.0,19.0,34.0,10.0,28.0,8.0,14.0,35.0,24.0,16.0,70.0,32.0,11.0,26.0,21.0,66.0
1569,0.0,1.0,2.0,3.0,10.0,94.0,31.0,14.0,13.0,43.0,18.0,9.0,24.0,7.0,11.0,40.0,21.0,19.0,15.0,17.0,27.0,32.0,6.0,4.0,20.0,36.0,8.0,70.0,42.0,85.0
1618,5.0,3.0,4.0,0.0,18.0,10.0,11.0,12.0,7.0,36.0,27.0,16.0,8.0,26.0,19.0,43.0,23.0,2.0,33.0,17.0,38.0,29.0,15.0,22.0,58.0,20.0,13.0,14.0,42.0,49.0
1667,3.0,6.0,1.0,2.0,4.0,34.0,5.0,13.0,8.0,90.0,57.0,66.0,50.0,24.0,12.0,48.0,7.0,17.0,53.0,0.0,59.0,18.0,25.0,11.0,63.0,36.0,14.0,19.0,38.0,42.0
1716,0.0,2.0,4.0,1.0,10.0,7.0,25.0,23.0,5.0,20.0,21.0,17.0,12.0,39.0,13.0,42.0,51.0,8.0,26.0,9.0,50.0,3.0,22.0,11.0,63.0,40.0,6.0,16.0,43.0,34.0
1765,0.0,2.0,13.0,1.0,10.0,7.0,24.0,4.0,3.0,14.0,9.0,30.0,11.0,17.0,12.0,50.0,37.0,5.0,22.0,16.0,25.0,8.0,45.0,28.0,94.0,19.0,21.0,15.0,47.0,18.0
1814,1.0,0.0,12.0,6.0,18.0,14.0,15.0,10.0,4.0,17.0,50.0,11.0,13.0,65.0,30.0,54.0,16.0,19.0,7.0,2.0,72.0,3.0,22.0,5.0,85.0,23.0,8.0,28.0,39.0,70.0
1863,0.0,1.0,6.0,2.0,12.0,11.0,8.0,37.0,4.0,18.0,16.0,7.0,14.0,24.0,65.0,45.0,22.0,3.0,10.0,23.0,13.0,28.0,43.0,15.0,20.0,29.0,27.0,9.0,35.0,42.0
1912,2.0,1.0,3.0,4.0,9.0,10.0,17.0,23.0,0.0,32.0,25.0,39.0,12.0,29.0,6.0,45.0,51.0,18.0,8.0,49.0,35.0,14.0,20.0,13.0,56.0,19.0,5.0,11.0,43.0,59.0
1961,1.0,2.0,4.0,0.0,3.0,15.0,13.0,6.0,17.0,16.0,14.0,23.0,7.0,42.0,31.0,11.0,27.0,35.0,5.0,24.0,8.0,44.0,30.0,94.0,41.0,20.0,43.0,25.0,10.0,37.0
2010,0.0,3.0,2.0,1.0,8.0,10.0,11.0,7.0,6.0,28.0,13.0,14.0,5.0,9.0,31.0,27.0,32.0,18.0,22.0,19.0,4.0,25.0,91.0,76.0,51.0,20.0,26.0,33.0,17.0,43.0
2059,0.0,3.0,1.0,5.0,17.0,2.0,13.0,10.0,25.0,19.0,12.0,8.0,4.0,24.0,21.0,14.0,16.0,54.0,20.0,55.0,11.0,18.0,66.0,100.0,31.0,42.0,41.0,39.0,23.0,35.0
2108,0.0,6.0,1.0,5.0,3.0,14.0,7.0,22.0,54.0,8.0,9.0,17.0,4.0,33.0,25.0,15.0,88.0,16.0,18.0,13.0,2.0,91.0,112.0,87.0,34.0,27.0,11.0,55.0,28.0,39.0
2157,0.0,11.0,15.0,2.0,4.0,12.0,6.0,10.0,5.0,55.0,14.0,67.0,7.0,13.0,3.0,19.0,22.0,24.0,26.0,57.0,27.0,63.0,58.0,77.0,85.0,25.0,82.0,61.0,16.0,42.0
2206,0.0,16.0,5.0,1.0,13.0,2.0,11.0,4.0,22.0,36.0,15.0,14.0,3.0,31.0,19.0,17.0,42.0,51.0,28.0,8.0,6.0,9.0,34.0,37.0,23.0,26.0,38.0,20.0,24.0,35.0
2255,0.0,6.0,3.0,7.0,4.0,1.0,27.0,22.0,68.0,40.0,29.0,16.0,5.0,33.0,17.0,2.0,70.0,46.0,18.0,9.0,8.0,13.0,41.0,86.0,49.0,35.0,51.0,50.0,19.0,30.0
2304,0.0,1.0,6.0,3.0,8.0,4.0,5.0,21.0,20.0,22.0,9.0,12.0,7.0,43.0,31.0,14.0,34.0,66.0,28.0,30.0,10.0,2.0,64.0,92.0,18.0,27.0,39.0,36.0,11.0,17.0
2353,0.0,5.0,4.0,2.0,3.0,1.0,9.0,13.0,11.0,21.0,7.0,19.0,10.0,17.0,12.0,15.0,49.0,44.0,20.0,22.0,6.0,8.0,53.0,86.0,46.0,24.0,38.0,32.0,14.0,34.0
2402,0.0,9.0,1.0,2.0,4.0,8.0,11.0,7.0,21.0,33.0,15.0,17.0,5.0,3.0,58.0,14.0,60.0,18.0,31.0,56.0,12.0,13.0,54.0,87.0,53.0,22.0,24.0,69.0,16.0,30.0
2451,2.0,7.0,5.0,0.0,11.0,1.0,24.0,16.0,30.0,9.0,14.0,25.0,58.0,13.0,106.0,15.0,6.0,29.0,10.0,4.0,3.0,84.0,22.0,59.0,28.0,19.0,67.0,40.0,31.0,17.0
2500,4.0,9.0,7.0,0.0,1.0,12.0,10.0,11.0,6.0,14.0,8.0,48.0,26.0,3.0,34.0,32.0,2.0,19.0,15.0,51.0,5.0,22.0,25.0,85.0,44.0,18.0,59.0,56.0,55.0,20.0
2549,7.0,4.0,5.0,9.0,3.0,1.0,12.0,15.0,0.0,48.0,41.0,11.0,28.0,6.0,35.0,22.0,8.0,42.0,18.0,25.0,2.0,14.0,20.0,27.0,86.0,21.0,38.0,29.0,51.0,31.0
2598,16.0,10.0,4.0,0.0,13.0,1.0,20.0,7.0,5.0,11.0,24.0,8.0,61.0,9.0,49.0,18.0,2.0,57.0,19.0,74.0,12.0,40.0,15.0,101.0,14.0,22.0,59.0,34.0,78.0,31.0
2647,4.0,5.0,0.0,7.0,9.0,2.0,22.0,10.0,3.0,24.0,13.0,17.0,34.0,18.0,52.0,21.0,12.0,61.0,47.0,25.0,6.0,53.0,68.0,62.0,50.0,14.0,82.0,41.0,30.0,29.0
2696,5.0,22.0,1.0,0.0,4.0,6.0,17.0,15.0,9.0,12.0,18.0,3.0,38.0,11.0,63.0,19.0,21.0,70.0,14.0,26.0,2.0,8.0,7.0,44.0,28.0,32.0,92.0,27.0,67.0,30.0
2745,20.0,18.0,2.0,4.0,11.0,1.0,12.0,26.0,10.0,23.0,8.0,5.0,40.0,0.0,25.0,49.0,17.0,58.0,42.0,48.0,3.0,15.0,28.0,34.0,35.0,19.0,74.0,24.0,50.0,31.0
2794,5.0,46.0,0.0,1.0,3.0,2.0,15.0,4.0,6.0,17.0,14.0,22.0,34.0,8.0,25.0,30.0,21.0,75.0,11.0,37.0,16.0,7.0,33.0,63.0,27.0,23.0,128.0,39.0,45.0,29.0
2843,5.0,6.0,3.0,0.0,2.0,4.0,14.0,15.0,16.0,9.0,17.0,13.0,29.0,18.0,58.0,33.0,7.0,26.0,25.0,72.0,8.0,21.0,10.0,44.0,12.0,23.0,103.0,35.0,39.0,49.0
2892,12.0,23.0,3.0,0.0,1.0,2.0,9.0,28.0,6.0,25.0,45.0,11.0,21.0,5.0,66.0,40.0,13.0,99.0,70.0,47.0,4.0,16.0,8.0,71.0,18.0,39.0,86.0,22.0,68.0,36.0
2941,3.0,1.0,6.0,43.0,0.0,48.0,19.0,13.0,22.0,10.0,51.0,50.0,24.0,64.0,2.0,21.0,4.0,29.0,12.0,26.0,20.0,16.0,86.0,36.0,15.0,75.0,42.0,73.0,5.0,45.0
2990,3.0,0.0,13.0,15.0,4.0,126.0,49.0,46.0,24.0,8.0,21.0,17.0,40.0,11.0,10.0,31.0,6.0,28.0,30.0,69.0,29.0,86.0,12.0,27.0,2.0,76.0,1.0,71.0,38.0,33.0
3039,1.0,0.0,6.0,3.0,8.0,51.0,40.0,44.0,43.0,21.0,58.0,14.0,11.0,20.0,52.0,32.0,5.0,12.0,17.0,34.0,27.0,31.0,45.0,24.0,9.0,38.0,2.0,13.0,7.0,60.0
3088,2.0,0.0,24.0,5.0,25.0,46.0,55.0,9.0,11.0,33.0,21.0,30.0,4.0,16.0,29.0,53.0,18.0,10.0,6.0,82.0,3.0,34.0,12.0,23.0,69.0,38.0,14.0,83.0,32.0,36.0
3137,10.0,15.0,4.0,1.0,0.0,106.0,23.0,35.0,55.0,42.0,31.0,19.0,67.0,40.0,16.0,41.0,2.0,27.0,12.0,77.0,36.0,57.0,91.0,13.0,11.0,98.0,24.0,101.0,5.0,38.0
3186,3.0,1.0,2.0,5.0,17.0,113.0,14.0,32.0,10.0,19.0,8.0,40.0,35.0,27.0,13.0,29.0,0.0,34.0,7.0,73.0,12.0,62.0,65.0,42.0,9.0,55.0,20.0,31.0,6.0,30.0
3235,1.0,4.0,2.0,12.0,17.0,84.0,60.0,33.0,25.0,13.0,22.0,11.0,16.0,55.0,3.0,6.0,7.0,5.0,18.0,75.0,24.0,35.0,34.0,41.0,43.0,74.0,0.0,85.0,27.0,15.0
3284,0.0,1.0,18.0,20.0,2.0,93.0,12.0,28.0,30.0,19.0,7.0,10.0,29.0,40.0,14.0,36.0,5.0,31.0,3.0,72.0,22.0,8.0,21.0,11.0,6.0,71.0,4.0,57.0,16.0,55.0
3333,4.0,1.0,43.0,5.0,0.0,53.0,40.0,42.0,52.0,6.0,46.0,23.0,13.0,58.0,21.0,20.0,9.0,7.0,12.0,54.0,48.0,61.0,15.0,30.0,8.0,47.0,3.0,59.0,18.0,51.0
3382,10.0,0.0,14.0,5.0,1.0,113.0,35.0,15.0,26.0,33.0,40.0,23.0,21.0,27.0,2.0,29.0,36.0,12.0,7.0,18.0,42.0,24.0,6.0,38.0,44.0,52.0,3.0,43.0,30.0,83.0
3431,2.0,1.0,25.0,3.0,10.0,0.0,59.0,4.0,78.0,5.0,16.0,17.0,62.0,28.0,6.0,15.0,22.0,14.0,23.0,12.0,70.0,9.0,21.0,11.0,24.0,39.0,50.0,7.0,38.0,27.0
3480,2.0,8.0,11.0,0.0,16.0,5.0,49.0,1.0,84.0,3.0,6.0,21.0,18.0,10.0,4.0,35.0,32.0,7.0,34.0,22.0,53.0,33.0,39.0,37.0,43.0,20.0,14.0,26.0,19.0,9.0
3529,2.0,6.0,8.0,0.0,19.0,1.0,50.0,12.0,58.0,18.0,17.0,30.0,4.0,15.0,5.0,20.0,23.0,3.0,75.0,14.0,31.0,44.0,9.0,21.0,52.0,27.0,26.0,10.0,71.0,42.0
3578,2.0,12.0,5.0,0.0,31.0,1.0,7.0,4.0,51.0,16.0,9.0,43.0,19.0,17.0,10.0,13.0,27.0,14.0,35.0,8.0,60.0,11.0,3.0,21.0,30.0,37.0,42.0,6.0,18.0,20.0
3627,6.0,4.0,5.0,0.0,2.0,39.0,15.0,3.0,56.0,16.0,7.0,26.0,34.0,68.0,1.0,13.0,9.0,10.0,61.0,8.0,89.0,21.0,19.0,12.0,57.0,32.0,74.0,11.0,30.0,36.0
3676,0.0,5.0,14.0,1.0,6.0,16.0,34.0,4.0,42.0,2.0,53.0,58.0,19.0,17.0,3.0,18.0,10.0,9.0,38.0,24.0,39.0,15.0,11.0,22.0,28.0,33.0,7.0,12.0,23.0,50.0
3725,2.0,6.0,5.0,0.0,8.0,1.0,51.0,11.0,58.0,7.0,34.0,10.0,9.0,26.0,4.0,22.0,13.0,3.0,31.0,23.0,35.0,14.0,12.0,32.0,38.0,24.0,18.0,49.0,41.0,19.0
3774,0.0,15.0,8.0,1.0,24.0,2.0,46.0,10.0,66.0,21.0,5.0,9.0,11.0,45.0,6.0,16.0,35.0,12.0,27.0,23.0,53.0,4.0,30.0,57.0,28.0,31.0,25.0,13.0,33.0,39.0
3823,1.0,25.0,3.0,0.0,14.0,5.0,21.0,9.0,18.0,16.0,11.0,27.0,29.0,15.0,8.0,33.0,42.0,6.0,7.0,12.0,35.0,17.0,2.0,26.0,46.0,19.0,13.0,10.0,34.0,44.0
3872,2.0,5.0,4.0,0.0,12.0,1.0,44.0,3.0,47.0,9.0,24.0,41.0,11.0,28.0,7.0,16.0,10.0,32.0,51.0,6.0,17.0,18.0,20.0,37.0,29.0,19.0,25.0,13.0,33.0,14.0
3921,0.0,16.0,4.0,14.0,34.0,2.0,7.0,6.0,11.0,40.0,3.0,5.0,9.0,1.0,26.0,58.0,93.0,28.0,36.0,24.0,49.0,65.0,47.0,17.0,10.0,13.0,8.0,39.0,37.0,25.0
3970,7.0,47.0,0.0,4.0,1.0,17.0,14.0,8.0,6.0,60.0,2.0,30.0,10.0,9.0,24.0,36.0,21.0,15.0,81.0,58.0,52.0,49.0,45.0,12.0,33.0,68.0,32.0,62.0,50.0,13.0
4019,0.0,12.0,6.0,3.0,28.0,1.0,30.0,9.0,13.0,14.0,32.0,10.0,7.0,2.0,34.0,48.0,46.0,15.0,39.0,29.0,5.0,60.0,4.0,17.0,21.0,42.0,41.0,26.0,58.0,16.0
4068,0.0,6.0,2.0,10.0,22.0,47.0,26.0,1.0,5.0,14.0,3.0,7.0,15.0,21.0,30.0,81.0,13.0,4.0,70.0,27.0,57.0,49.0,77.0,40.0,8.0,23.0,11.0,16.0,33.0,42.0
4117,0.0,3.0,9.0,7.0,1.0,25.0,19.0,18.0,8.0,26.0,2.0,29.0,17.0,10.0,13.0,81.0,6.0,44.0,23.0,91.0,28.0,33.0,11.0,30.0,15.0,61.0,31.0,38.0,56.0,20.0
4166,0.0,12.0,4.0,9.0,18.0,31.0,36.0,15.0,3.0,11.0,10.0,16.0,7.0,8.0,14.0,84.0,101.0,5.0,23.0,27.0,6.0,40.0,22.0,46.0,1.0,47.0,2.0,34.0,77.0,49.0
4215,0.0,6.0,5.0,4.0,43.0,10.0,17.0,21.0,9.0,33.0,3.0,2.0,7.0,8.0,39.0,77.0,16.0,15.0,61.0,55.0,20.0,24.0,22.0,34.0,12.0,26.0,1.0,30.0,68.0,28.0
4264,0.0,6.0,7.0,1.0,5.0,9.0,15.0,2.0,22.0,25.0,4.0,17.0,13.0,10.0,24.0,61.0,59.0,19.0,35.0,18.0,27.0,23.0,33.0,37.0,31.0,21.0,8.0,3.0,26.0,16.0
4313,0.0,4.0,2.0,7.0,1.0,11.0,15.0,6.0,17.0,14.0,13.0,8.0,18.0,9.0,49.0,43.0,27.0,35.0,38.0,28.0,53.0,5.0,37.0,12.0,3.0,34.0,16.0,21.0,26.0,30.0
4362,0.0,1.0,4.0,7.0,20.0,3.0,22.0,10.0,2.0,16.0,8.0,5.0,11.0,27.0,57.0,54.0,34.0,18.0,25.0,32.0,43.0,30.0,12.0,15.0,23.0,28.0,17.0,36.0,44.0,19.0
4411,1.0,2.0,16.0,5.0,0.0,100.0,13.0,26.0,6.0,3.0,61.0,12.0,52.0,17.0,4.0,19.0,11.0,62.0,46.0,44.0,64.0,48.0,9.0,8.0,14.0,70.0,68.0,35.0,80.0,10.0
4460,1.0,0.0,10.0,11.0,14.0,17.0,49.0,22.0,8.0,3.0,4.0,12.0,73.0,28.0,6.0,29.0,19.0,38.0,5.0,2.0,33.0,44.0,25.0,46.0,20.0,42.0,41.0,63.0,65.0,26.0
4509,7.0,0.0,1.0,6.0,3.0,29.0,56.0,26.0,61.0,4.0,12.0,9.0,118.0,22.0,65.0,17.0,5.0,48.0,64.0,23.0,16.0,30.0,10.0,39.0,13.0,104.0,67.0,69.0,100.0,24.0
4558,1.0,0.0,10.0,5.0,2.0,81.0,43.0,8.0,54.0,4.0,3.0,13.0,85.0,55.0,12.0,37.0,42.0,22.0,11.0,20.0,36.0,48.0,23.0,44.0,6.0,86.0,16.0,100.0,33.0,7.0
4607,0.0,1.0,4.0,8.0,6.0,10.0,27.0,12.0,33.0,2.0,13.0,21.0,79.0,48.0,9.0,19.0,5.0,60.0,42.0,25.0,34.0,40.0,26.0,14.0,7.0,58.0,45.0,61.0,77.0,22.0
4656,0.0,1.0,15.0,2.0,3.0,19.0,20.0,22.0,25.0,4.0,9.0,5.0,130.0,26.0,6.0,48.0,7.0,38.0,24.0,12.0,39.0,32.0,8.0,23.0,10.0,86.0,44.0,55.0,54.0,28.0
4705,1.0,0.0,6.0,4.0,5.0,24.0,43.0,20.0,8.0,11.0,67.0,27.0,72.0,51.0,10.0,15.0,19.0,28.0,58.0,7.0,30.0,63.0,3.0,40.0,18.0,92.0,34.0,117.0,77.0,22.0
4754,3.0,0.0,24.0,1.0,4.0,12.0,41.0,52.0,14.0,2.0,26.0,22.0,78.0,28.0,6.0,44.0,16.0,53.0,46.0,13.0,19.0,37.0,18.0,21.0,8.0,57.0,20.0,51.0,54.0,7.0
4803,3.0,0.0,4.0,7.0,2.0,19.0,9.0,37.0,39.0,1.0,18.0,23.0,110.0,17.0,41.0,13.0,16.0,74.0,14.0,8.0,27.0,46.0,11.0,21.0,10.0,73.0,24.0,42.0,108.0,15.0
4852,0.0,3.0,6.0,4.0,2.0,87.0,17.0,22.0,19.0,14.0,10.0,15.0,75.0,78.0,5.0,44.0,9.0,45.0,42.0,1.0,52.0,25.0,7.0,21.0,16.0,70.0,73.0,76.0,65.0,8.0
