,LARGE_INTESTINE,GANGLIA,HAEMATOPOIETIC,BONE,OESOPHAGUS,THYROID,PANCREAS,SKIN,KIDNEY,SOFT_TISSUE,PLEURA,LUNG,STOMACH,LIVER,URINARY,PROSTATE,SALIVARY,BILIARY,ENDOMETRIUM,AERODIGESTIVE,BREAST,OVARY,NERVOUS
2396,1.0,0.0,3.0,4.0,7.0,2.0,5.0,11.0,10.0,8.0,17.0,13.0,9.0,12.0,6.0,16.0,18.0,19.0,22.0,14.0,20.0,21.0,15.0
2445,0.0,1.0,3.0,7.0,4.0,6.0,8.0,2.0,5.0,10.0,15.0,12.0,18.0,11.0,9.0,14.0,16.0,17.0,22.0,13.0,20.0,21.0,19.0
2494,0.0,1.0,2.0,6.0,4.0,3.0,5.0,7.0,10.0,15.0,11.0,14.0,12.0,13.0,16.0,8.0,17.0,9.0,18.0,19.0,20.0,22.0,21.0
2543,0.0,1.0,2.0,6.0,4.0,3.0,7.0,12.0,5.0,10.0,9.0,11.0,15.0,13.0,14.0,8.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
2592,0.0,1.0,2.0,5.0,6.0,4.0,3.0,7.0,9.0,12.0,10.0,14.0,11.0,13.0,15.0,8.0,16.0,17.0,20.0,18.0,19.0,22.0,21.0
2641,0.0,1.0,3.0,7.0,4.0,2.0,6.0,5.0,10.0,12.0,11.0,14.0,9.0,13.0,15.0,8.0,16.0,17.0,21.0,18.0,19.0,22.0,20.0
2690,0.0,1.0,3.0,5.0,2.0,4.0,9.0,7.0,11.0,8.0,12.0,14.0,6.0,13.0,16.0,10.0,18.0,19.0,15.0,17.0,21.0,22.0,20.0
2739,0.0,1.0,4.0,5.0,3.0,2.0,12.0,6.0,9.0,14.0,10.0,13.0,11.0,7.0,15.0,8.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
2788,0.0,1.0,2.0,6.0,4.0,3.0,5.0,12.0,8.0,15.0,9.0,13.0,11.0,14.0,10.0,7.0,17.0,18.0,19.0,16.0,21.0,22.0,20.0
2837,0.0,1.0,2.0,7.0,3.0,5.0,8.0,9.0,11.0,4.0,6.0,14.0,12.0,13.0,15.0,10.0,16.0,17.0,19.0,18.0,22.0,20.0,21.0
2886,0.0,1.0,4.0,5.0,3.0,2.0,6.0,13.0,15.0,11.0,16.0,9.0,10.0,12.0,14.0,7.0,8.0,17.0,20.0,19.0,21.0,22.0,18.0
2935,0.0,1.0,2.0,5.0,4.0,3.0,6.0,8.0,10.0,13.0,11.0,14.0,12.0,7.0,15.0,9.0,16.0,17.0,18.0,19.0,21.0,22.0,20.0
2984,2.0,3.0,5.0,0.0,1.0,4.0,7.0,6.0,9.0,13.0,10.0,12.0,21.0,11.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,22.0,20.0
3033,3.0,1.0,4.0,2.0,0.0,5.0,6.0,7.0,9.0,11.0,10.0,13.0,21.0,12.0,14.0,16.0,15.0,8.0,19.0,17.0,20.0,22.0,18.0
3082,0.0,3.0,6.0,1.0,2.0,4.0,5.0,8.0,9.0,7.0,10.0,13.0,19.0,12.0,18.0,11.0,15.0,16.0,14.0,17.0,20.0,22.0,21.0
3131,0.0,2.0,5.0,1.0,3.0,4.0,7.0,11.0,6.0,8.0,10.0,14.0,21.0,9.0,12.0,15.0,16.0,17.0,18.0,13.0,20.0,22.0,19.0
3180,0.0,2.0,5.0,1.0,3.0,4.0,6.0,7.0,10.0,9.0,11.0,12.0,20.0,8.0,13.0,16.0,17.0,18.0,15.0,14.0,21.0,22.0,19.0
3229,0.0,1.0,5.0,2.0,3.0,6.0,4.0,7.0,9.0,12.0,8.0,16.0,20.0,11.0,14.0,17.0,10.0,18.0,15.0,13.0,19.0,22.0,21.0
3278,0.0,1.0,4.0,2.0,3.0,6.0,5.0,8.0,10.0,9.0,7.0,12.0,21.0,11.0,13.0,16.0,17.0,18.0,15.0,20.0,14.0,22.0,19.0
3327,0.0,1.0,5.0,2.0,3.0,4.0,6.0,7.0,8.0,10.0,9.0,13.0,20.0,11.0,14.0,15.0,16.0,17.0,12.0,18.0,22.0,21.0,19.0
3376,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,7.0,16.0,12.0,19.0,11.0,9.0,14.0,15.0,17.0,13.0,18.0,21.0,22.0,20.0
3425,0.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,15.0,11.0,8.0,9.0,20.0,10.0,13.0,14.0,16.0,17.0,12.0,18.0,19.0,22.0,21.0
3474,0.0,1.0,2.0,4.0,5.0,6.0,3.0,8.0,10.0,13.0,11.0,14.0,12.0,7.0,15.0,18.0,17.0,9.0,21.0,16.0,19.0,20.0,22.0
3523,0.0,1.0,5.0,4.0,6.0,3.0,2.0,13.0,10.0,7.0,9.0,14.0,12.0,8.0,15.0,16.0,17.0,18.0,19.0,11.0,20.0,22.0,21.0
3572,0.0,1.0,3.0,6.0,5.0,2.0,4.0,8.0,16.0,7.0,10.0,12.0,11.0,13.0,14.0,9.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
3621,0.0,1.0,6.0,5.0,4.0,3.0,2.0,12.0,8.0,7.0,10.0,13.0,14.0,11.0,19.0,15.0,16.0,17.0,18.0,9.0,20.0,22.0,21.0
3670,0.0,1.0,3.0,6.0,9.0,2.0,4.0,5.0,11.0,8.0,12.0,18.0,7.0,14.0,13.0,16.0,10.0,17.0,19.0,15.0,20.0,22.0,21.0
