,hsa-miR-631,hsa-miR-205,hsa-miR-296-5p,hsa-miR-944,hsa-miR-517b,hsa-miR-1307,hsa-miR-24,hsa-miR-31,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-323-5p,hsa-miR-451,hsa-miR-1910,hsa-miR-30a,hcmv-miR-UL70-5p,hsa-miR-1913,hsa-miR-513b,hsa-miR-320d,hsa-miR-136,hsa-miR-216a,hsa-miR-302a,hsa-miR-604,hsa-miR-153,hsa-miR-616,hsa-miR-891a,hsa-miR-2054,hsa-miR-1179,hsa-miR-122,hsa-miR-766,ebv-miR-BART12,hsa-miR-1282
3689,0.0,1.0,55.0,49.0,5.0,4.0,80.0,33.0,21.0,23.0,2.0,413.0,505.0,170.0,43.0,512.0,22.0,13.0,6.0,398.0,39.0,77.0,138.0,70.0,10.0,355.0,47.0,134.0,336.0,117.0
3738,0.0,2.0,8.0,7.0,38.0,1.0,77.0,201.0,14.0,70.0,3.0,57.0,85.0,19.0,16.0,192.0,24.0,4.0,49.0,81.0,41.0,130.0,407.0,463.0,74.0,490.0,185.0,330.0,54.0,107.0
3787,0.0,4.0,8.0,354.0,11.0,1.0,16.0,14.0,9.0,135.0,7.0,174.0,30.0,3.0,104.0,138.0,41.0,83.0,34.0,154.0,49.0,81.0,237.0,84.0,242.0,575.0,12.0,52.0,85.0,10.0
3836,0.0,1.0,9.0,94.0,15.0,47.0,144.0,10.0,11.0,166.0,2.0,29.0,34.0,6.0,36.0,12.0,175.0,75.0,31.0,302.0,107.0,98.0,336.0,498.0,46.0,115.0,62.0,17.0,234.0,301.0
3885,0.0,1.0,21.0,627.0,13.0,15.0,62.0,28.0,23.0,318.0,9.0,8.0,199.0,75.0,5.0,3.0,163.0,49.0,14.0,34.0,411.0,72.0,262.0,423.0,90.0,380.0,127.0,45.0,168.0,51.0
3934,1.0,13.0,41.0,28.0,181.0,32.0,2.0,88.0,16.0,65.0,4.0,423.0,11.0,5.0,159.0,383.0,238.0,89.0,131.0,245.0,202.0,107.0,52.0,260.0,37.0,251.0,195.0,213.0,75.0,21.0
3983,1.0,2.0,7.0,36.0,239.0,12.0,22.0,24.0,0.0,74.0,161.0,93.0,210.0,13.0,20.0,62.0,48.0,18.0,65.0,50.0,154.0,16.0,3.0,43.0,170.0,26.0,19.0,243.0,41.0,187.0
4032,8.0,0.0,2.0,11.0,23.0,17.0,9.0,5.0,7.0,33.0,1.0,39.0,55.0,301.0,502.0,414.0,66.0,71.0,18.0,220.0,112.0,12.0,167.0,13.0,52.0,132.0,136.0,79.0,186.0,267.0
4081,1.0,0.0,22.0,4.0,5.0,312.0,3.0,380.0,59.0,145.0,42.0,111.0,112.0,132.0,148.0,73.0,2.0,29.0,9.0,147.0,11.0,65.0,161.0,7.0,37.0,43.0,47.0,270.0,116.0,85.0
4130,0.0,1.0,15.0,12.0,28.0,33.0,7.0,36.0,421.0,6.0,8.0,5.0,274.0,3.0,245.0,69.0,48.0,13.0,437.0,468.0,2.0,156.0,72.0,34.0,64.0,111.0,190.0,43.0,21.0,306.0
4179,0.0,3.0,8.0,14.0,2.0,35.0,1.0,63.0,128.0,51.0,68.0,90.0,34.0,179.0,22.0,152.0,6.0,16.0,21.0,232.0,39.0,26.0,15.0,11.0,4.0,87.0,554.0,112.0,5.0,93.0
