,dCMP,cotinine,creatine,C34:2 DAG,hypoxanthine,C36:1 DAG,niacinamide,C56:3 TAG,C18:0 LPC,C56:5 TAG,carnitine,glutamine,taurodeoxycholate,NADP,phosphocreatine,malondialdehyde,butyrylcarnitine/isobutyrylcarnitine,homocysteine,guanosine,adenosine,acetylcholine,2-deoxycytidine,C36:4 PC-B,isocitrate,pyroglutamic acid,C22:6 CE,alpha-hydroxybutyrate,N-carbamoyl-beta-alanine,alpha-glycerophosphate,C16:0 LPE
2574,14.0,6.0,33.0,22.0,25.0,18.0,4.0,1.0,20.0,29.0,19.0,42.0,8.0,49.0,44.0,16.0,53.0,54.0,45.0,48.0,24.0,52.0,64.0,56.0,2.0,3.0,12.0,11.0,32.0,43.0
2623,11.0,8.0,49.0,26.0,54.0,15.0,27.0,20.0,23.0,10.0,37.0,22.0,25.0,1.0,62.0,42.0,39.0,53.0,32.0,4.0,36.0,30.0,40.0,16.0,7.0,35.0,5.0,46.0,55.0,9.0
2672,7.0,5.0,15.0,8.0,4.0,29.0,1.0,22.0,12.0,52.0,47.0,55.0,11.0,6.0,59.0,13.0,37.0,26.0,38.0,36.0,46.0,18.0,2.0,31.0,65.0,54.0,20.0,23.0,10.0,34.0
2721,5.0,23.0,22.0,10.0,21.0,14.0,12.0,6.0,48.0,8.0,13.0,64.0,16.0,27.0,7.0,24.0,20.0,39.0,33.0,50.0,4.0,3.0,30.0,9.0,1.0,55.0,61.0,43.0,52.0,42.0
2770,14.0,26.0,66.0,5.0,1.0,22.0,6.0,19.0,37.0,15.0,2.0,3.0,60.0,31.0,46.0,17.0,10.0,28.0,12.0,42.0,4.0,36.0,65.0,34.0,0.0,13.0,8.0,20.0,39.0,9.0
2819,0.0,9.0,64.0,13.0,2.0,42.0,58.0,15.0,18.0,1.0,22.0,44.0,24.0,26.0,27.0,49.0,20.0,47.0,21.0,54.0,59.0,6.0,10.0,43.0,19.0,11.0,5.0,53.0,45.0,25.0
2868,10.0,3.0,53.0,4.0,1.0,15.0,7.0,36.0,33.0,12.0,32.0,21.0,30.0,25.0,20.0,11.0,24.0,58.0,6.0,17.0,48.0,41.0,46.0,52.0,62.0,26.0,18.0,55.0,8.0,23.0
2917,2.0,1.0,62.0,19.0,12.0,14.0,37.0,15.0,6.0,8.0,26.0,59.0,7.0,5.0,25.0,31.0,36.0,42.0,49.0,10.0,63.0,21.0,0.0,4.0,51.0,57.0,29.0,46.0,56.0,53.0
2966,0.0,7.0,20.0,12.0,6.0,11.0,28.0,27.0,16.0,3.0,26.0,25.0,50.0,36.0,31.0,18.0,9.0,41.0,32.0,58.0,13.0,1.0,56.0,30.0,19.0,24.0,55.0,15.0,47.0,51.0
3015,2.0,11.0,10.0,27.0,13.0,40.0,32.0,56.0,46.0,21.0,7.0,3.0,9.0,26.0,18.0,35.0,38.0,42.0,23.0,28.0,25.0,12.0,0.0,62.0,44.0,5.0,61.0,16.0,41.0,22.0
3064,42.0,0.0,5.0,22.0,6.0,3.0,45.0,25.0,59.0,64.0,55.0,4.0,43.0,26.0,36.0,16.0,33.0,39.0,40.0,13.0,14.0,30.0,62.0,18.0,31.0,41.0,35.0,10.0,1.0,63.0
3113,12.0,6.0,13.0,21.0,18.0,22.0,42.0,7.0,45.0,3.0,17.0,9.0,1.0,11.0,65.0,31.0,4.0,26.0,41.0,58.0,32.0,23.0,8.0,10.0,57.0,5.0,47.0,61.0,33.0,60.0
3162,2.0,4.0,21.0,13.0,11.0,7.0,6.0,51.0,36.0,14.0,23.0,17.0,1.0,39.0,9.0,26.0,34.0,49.0,22.0,10.0,43.0,31.0,3.0,20.0,33.0,55.0,25.0,47.0,19.0,53.0
3211,2.0,34.0,25.0,7.0,1.0,3.0,4.0,59.0,15.0,52.0,31.0,8.0,36.0,60.0,0.0,29.0,16.0,12.0,35.0,17.0,19.0,42.0,64.0,6.0,40.0,48.0,11.0,20.0,37.0,57.0
3260,37.0,9.0,11.0,16.0,27.0,14.0,3.0,57.0,2.0,60.0,5.0,42.0,13.0,25.0,62.0,6.0,8.0,15.0,26.0,33.0,39.0,0.0,58.0,45.0,64.0,36.0,49.0,7.0,12.0,35.0
3309,21.0,19.0,5.0,27.0,55.0,14.0,9.0,17.0,52.0,60.0,51.0,37.0,41.0,10.0,3.0,16.0,47.0,59.0,48.0,29.0,0.0,4.0,12.0,44.0,11.0,18.0,26.0,22.0,13.0,50.0
3358,14.0,45.0,2.0,27.0,34.0,33.0,29.0,11.0,13.0,1.0,42.0,54.0,25.0,8.0,6.0,44.0,15.0,50.0,30.0,51.0,38.0,32.0,17.0,66.0,20.0,60.0,21.0,18.0,19.0,22.0
3407,0.0,1.0,34.0,16.0,20.0,11.0,32.0,63.0,64.0,4.0,12.0,10.0,23.0,51.0,40.0,25.0,30.0,3.0,18.0,45.0,13.0,33.0,55.0,26.0,66.0,24.0,49.0,15.0,43.0,9.0
3456,23.0,15.0,36.0,5.0,3.0,2.0,25.0,45.0,24.0,6.0,28.0,7.0,16.0,34.0,47.0,48.0,49.0,18.0,42.0,17.0,4.0,12.0,51.0,37.0,27.0,11.0,13.0,30.0,65.0,52.0
3505,25.0,4.0,3.0,9.0,0.0,32.0,10.0,50.0,53.0,5.0,11.0,12.0,13.0,16.0,47.0,33.0,34.0,17.0,55.0,45.0,24.0,56.0,51.0,28.0,22.0,7.0,49.0,29.0,58.0,6.0
3554,5.0,7.0,12.0,24.0,45.0,32.0,4.0,8.0,51.0,26.0,15.0,18.0,9.0,62.0,13.0,36.0,19.0,47.0,3.0,6.0,2.0,59.0,10.0,34.0,1.0,33.0,56.0,20.0,49.0,16.0
3603,4.0,2.0,62.0,12.0,64.0,6.0,50.0,38.0,8.0,27.0,36.0,1.0,5.0,3.0,58.0,20.0,40.0,21.0,18.0,10.0,39.0,24.0,15.0,57.0,65.0,26.0,59.0,32.0,0.0,44.0
3652,5.0,16.0,10.0,7.0,0.0,34.0,32.0,26.0,20.0,66.0,22.0,46.0,37.0,35.0,51.0,57.0,8.0,47.0,4.0,41.0,29.0,50.0,1.0,59.0,53.0,58.0,21.0,63.0,12.0,49.0
3701,31.0,58.0,9.0,14.0,0.0,44.0,7.0,43.0,19.0,3.0,2.0,53.0,29.0,20.0,17.0,15.0,18.0,13.0,34.0,47.0,11.0,26.0,4.0,23.0,1.0,22.0,41.0,25.0,63.0,60.0
3750,4.0,12.0,54.0,13.0,63.0,17.0,21.0,31.0,42.0,61.0,30.0,6.0,18.0,38.0,62.0,45.0,9.0,10.0,15.0,23.0,5.0,43.0,53.0,32.0,3.0,8.0,24.0,16.0,49.0,22.0
3799,2.0,8.0,34.0,48.0,40.0,18.0,26.0,55.0,59.0,5.0,11.0,3.0,4.0,63.0,15.0,23.0,47.0,7.0,38.0,22.0,41.0,36.0,12.0,13.0,39.0,20.0,51.0,50.0,17.0,28.0
3848,1.0,6.0,26.0,16.0,3.0,12.0,21.0,5.0,59.0,7.0,10.0,38.0,35.0,42.0,48.0,20.0,40.0,18.0,13.0,28.0,31.0,9.0,39.0,22.0,45.0,14.0,55.0,30.0,8.0,52.0
3897,2.0,10.0,15.0,19.0,13.0,7.0,1.0,49.0,9.0,47.0,11.0,35.0,62.0,12.0,23.0,20.0,18.0,5.0,48.0,28.0,0.0,33.0,57.0,4.0,63.0,17.0,38.0,14.0,58.0,24.0
3946,42.0,11.0,5.0,26.0,24.0,4.0,1.0,3.0,29.0,8.0,28.0,44.0,39.0,20.0,65.0,7.0,27.0,17.0,19.0,35.0,31.0,9.0,33.0,36.0,62.0,53.0,25.0,49.0,10.0,60.0
3995,9.0,29.0,1.0,6.0,34.0,14.0,7.0,55.0,15.0,3.0,25.0,8.0,4.0,5.0,16.0,11.0,10.0,0.0,65.0,17.0,57.0,26.0,28.0,33.0,46.0,51.0,37.0,23.0,40.0,30.0
4044,54.0,30.0,5.0,9.0,32.0,51.0,3.0,6.0,13.0,62.0,27.0,18.0,37.0,41.0,2.0,48.0,43.0,36.0,11.0,35.0,20.0,26.0,34.0,8.0,1.0,23.0,22.0,10.0,44.0,38.0
4093,13.0,9.0,22.0,3.0,0.0,10.0,4.0,6.0,30.0,12.0,36.0,47.0,27.0,29.0,2.0,20.0,54.0,19.0,59.0,23.0,15.0,14.0,1.0,35.0,53.0,56.0,5.0,33.0,8.0,40.0
4142,21.0,28.0,16.0,39.0,8.0,18.0,12.0,41.0,9.0,50.0,15.0,60.0,29.0,62.0,2.0,35.0,38.0,47.0,5.0,36.0,45.0,1.0,27.0,43.0,7.0,17.0,22.0,26.0,61.0,54.0
4191,10.0,21.0,41.0,16.0,2.0,27.0,0.0,4.0,35.0,59.0,22.0,20.0,25.0,9.0,17.0,47.0,34.0,31.0,48.0,15.0,61.0,11.0,8.0,44.0,5.0,14.0,42.0,37.0,32.0,33.0
4240,1.0,4.0,6.0,20.0,30.0,14.0,2.0,0.0,19.0,3.0,25.0,57.0,39.0,23.0,9.0,31.0,48.0,41.0,8.0,45.0,11.0,12.0,28.0,10.0,15.0,53.0,35.0,16.0,40.0,46.0
4289,25.0,40.0,2.0,6.0,0.0,8.0,31.0,41.0,21.0,5.0,10.0,45.0,24.0,53.0,14.0,56.0,49.0,9.0,58.0,32.0,29.0,59.0,23.0,20.0,46.0,51.0,16.0,48.0,62.0,15.0
4338,22.0,21.0,27.0,2.0,41.0,18.0,23.0,65.0,14.0,66.0,31.0,11.0,36.0,5.0,16.0,7.0,33.0,13.0,40.0,10.0,4.0,29.0,39.0,63.0,0.0,28.0,44.0,6.0,51.0,25.0
4387,22.0,56.0,2.0,10.0,34.0,8.0,3.0,63.0,5.0,25.0,26.0,37.0,47.0,13.0,6.0,21.0,50.0,41.0,1.0,11.0,15.0,39.0,0.0,51.0,49.0,23.0,48.0,27.0,16.0,17.0
4436,25.0,29.0,12.0,17.0,3.0,41.0,11.0,9.0,26.0,27.0,14.0,65.0,7.0,46.0,2.0,13.0,44.0,15.0,8.0,36.0,23.0,6.0,5.0,57.0,0.0,38.0,31.0,18.0,66.0,21.0
4485,26.0,55.0,17.0,9.0,39.0,36.0,32.0,0.0,4.0,13.0,35.0,11.0,33.0,6.0,48.0,34.0,30.0,44.0,22.0,41.0,59.0,25.0,43.0,31.0,45.0,29.0,58.0,24.0,7.0,49.0
4534,0.0,11.0,25.0,46.0,16.0,27.0,24.0,21.0,22.0,10.0,40.0,41.0,6.0,38.0,58.0,33.0,31.0,1.0,29.0,9.0,44.0,50.0,17.0,43.0,66.0,12.0,59.0,35.0,23.0,32.0
4583,5.0,24.0,11.0,19.0,34.0,23.0,53.0,6.0,17.0,28.0,13.0,18.0,9.0,64.0,20.0,21.0,41.0,12.0,22.0,26.0,43.0,49.0,10.0,29.0,1.0,62.0,4.0,44.0,33.0,7.0
4632,32.0,54.0,14.0,26.0,8.0,51.0,19.0,16.0,1.0,46.0,3.0,18.0,50.0,33.0,28.0,17.0,6.0,21.0,42.0,52.0,65.0,12.0,40.0,10.0,2.0,41.0,24.0,23.0,45.0,20.0
4681,29.0,9.0,0.0,11.0,15.0,1.0,16.0,7.0,23.0,63.0,49.0,26.0,8.0,4.0,44.0,10.0,24.0,28.0,64.0,20.0,33.0,27.0,50.0,39.0,65.0,21.0,17.0,40.0,41.0,22.0
4730,12.0,46.0,0.0,11.0,28.0,53.0,3.0,62.0,27.0,22.0,20.0,34.0,6.0,1.0,66.0,19.0,15.0,29.0,10.0,36.0,18.0,25.0,52.0,40.0,41.0,55.0,21.0,49.0,9.0,51.0
4779,11.0,6.0,50.0,28.0,8.0,31.0,34.0,5.0,25.0,54.0,21.0,27.0,63.0,46.0,7.0,29.0,26.0,47.0,0.0,30.0,39.0,4.0,12.0,60.0,13.0,17.0,61.0,37.0,14.0,35.0
4828,39.0,26.0,3.0,20.0,45.0,28.0,6.0,9.0,43.0,30.0,21.0,66.0,17.0,5.0,2.0,46.0,19.0,8.0,14.0,35.0,4.0,24.0,23.0,48.0,29.0,34.0,50.0,61.0,58.0,15.0
4877,32.0,4.0,21.0,24.0,18.0,26.0,8.0,49.0,15.0,30.0,28.0,11.0,40.0,54.0,17.0,5.0,34.0,7.0,25.0,44.0,3.0,12.0,29.0,14.0,61.0,2.0,50.0,22.0,16.0,1.0
