,hsa-miR-582-5p,hsa-miR-579,hsa-miR-205,hsa-miR-499-3p,hsa-miR-638,hsa-miR-744,hsa-miR-548a-3p,hsa-miR-140-5p,ebv-miR-BART16,hsa-miR-1979,hsa-miR-583,hsa-miR-1197,hsv1-miR-H8,hsa-miR-1257,hsa-miR-612,hsv1-miR-H7,hsa-miR-924,hsa-miR-620,hsa-miR-1977,hsa-miR-31,hsa-miR-34a,hsa-miR-1276,kshv-miR-K12-4-3p,hsa-miR-657,hsa-miR-551b,hsa-miR-770-5p,hsa-miR-651,kshv-miR-K12-8,hsa-miR-604,kshv-miR-K12-6-5p
3251,0.0,1.0,9.0,3.0,14.0,39.0,18.0,5.0,15.0,4.0,46.0,10.0,24.0,7.0,82.0,20.0,38.0,53.0,45.0,17.0,76.0,72.0,21.0,16.0,8.0,11.0,22.0,49.0,25.0,23.0
3300,1.0,0.0,2.0,16.0,6.0,17.0,4.0,7.0,24.0,19.0,5.0,10.0,47.0,36.0,34.0,8.0,12.0,56.0,99.0,85.0,18.0,63.0,38.0,3.0,77.0,11.0,106.0,123.0,35.0,15.0
3349,1.0,0.0,26.0,16.0,2.0,8.0,6.0,12.0,10.0,27.0,5.0,3.0,17.0,11.0,76.0,58.0,30.0,309.0,125.0,14.0,15.0,44.0,22.0,45.0,7.0,34.0,29.0,191.0,21.0,13.0
3398,0.0,1.0,48.0,33.0,4.0,11.0,39.0,12.0,16.0,7.0,20.0,8.0,14.0,24.0,9.0,10.0,59.0,78.0,56.0,51.0,17.0,73.0,34.0,15.0,2.0,5.0,19.0,55.0,3.0,37.0
3447,0.0,1.0,44.0,5.0,3.0,7.0,6.0,9.0,14.0,32.0,10.0,31.0,22.0,54.0,42.0,43.0,99.0,97.0,11.0,28.0,74.0,27.0,30.0,4.0,16.0,48.0,39.0,116.0,26.0,128.0
3496,1.0,0.0,44.0,3.0,4.0,8.0,36.0,20.0,19.0,43.0,11.0,61.0,17.0,16.0,82.0,6.0,23.0,95.0,15.0,7.0,25.0,423.0,9.0,29.0,125.0,42.0,5.0,37.0,21.0,207.0
3545,1.0,0.0,14.0,4.0,3.0,9.0,2.0,7.0,13.0,22.0,23.0,88.0,26.0,27.0,75.0,15.0,20.0,73.0,30.0,24.0,32.0,8.0,57.0,21.0,19.0,12.0,10.0,47.0,80.0,39.0
3594,0.0,1.0,3.0,14.0,11.0,5.0,6.0,2.0,8.0,31.0,10.0,68.0,41.0,32.0,86.0,34.0,35.0,30.0,23.0,38.0,9.0,56.0,59.0,13.0,72.0,53.0,7.0,48.0,40.0,120.0
3643,0.0,2.0,5.0,9.0,3.0,75.0,1.0,7.0,27.0,86.0,45.0,502.0,16.0,6.0,217.0,13.0,52.0,133.0,53.0,11.0,28.0,30.0,8.0,25.0,193.0,19.0,4.0,54.0,104.0,120.0
3692,0.0,1.0,48.0,3.0,13.0,6.0,4.0,2.0,14.0,5.0,18.0,81.0,17.0,8.0,111.0,9.0,22.0,25.0,40.0,15.0,101.0,10.0,39.0,38.0,44.0,104.0,16.0,7.0,28.0,47.0
3741,1.0,0.0,33.0,7.0,11.0,4.0,10.0,2.0,16.0,17.0,13.0,107.0,14.0,61.0,47.0,31.0,18.0,30.0,9.0,99.0,5.0,3.0,45.0,15.0,57.0,27.0,34.0,46.0,20.0,58.0
3790,0.0,1.0,6.0,7.0,4.0,3.0,9.0,35.0,30.0,15.0,2.0,32.0,22.0,33.0,110.0,8.0,53.0,27.0,41.0,31.0,17.0,13.0,40.0,5.0,91.0,59.0,21.0,44.0,38.0,99.0
3839,1.0,0.0,13.0,21.0,3.0,6.0,4.0,14.0,77.0,15.0,7.0,80.0,8.0,20.0,268.0,9.0,69.0,50.0,24.0,116.0,2.0,11.0,22.0,19.0,150.0,12.0,18.0,25.0,102.0,195.0
3888,0.0,1.0,3.0,22.0,2.0,18.0,10.0,5.0,11.0,12.0,20.0,30.0,15.0,6.0,279.0,7.0,37.0,8.0,4.0,19.0,41.0,63.0,14.0,16.0,98.0,21.0,23.0,50.0,13.0,97.0
3937,1.0,0.0,9.0,52.0,2.0,28.0,3.0,54.0,24.0,14.0,10.0,16.0,6.0,18.0,32.0,5.0,7.0,8.0,36.0,45.0,435.0,23.0,27.0,96.0,85.0,19.0,22.0,13.0,35.0,29.0
3986,0.0,1.0,6.0,17.0,5.0,2.0,7.0,18.0,34.0,10.0,37.0,44.0,13.0,3.0,60.0,4.0,11.0,8.0,56.0,27.0,452.0,38.0,47.0,307.0,102.0,33.0,16.0,20.0,66.0,19.0
4035,0.0,3.0,55.0,13.0,1.0,26.0,10.0,46.0,34.0,2.0,19.0,27.0,8.0,4.0,56.0,5.0,14.0,15.0,6.0,31.0,465.0,88.0,63.0,41.0,22.0,17.0,11.0,30.0,18.0,32.0
