,CD49b,Caspase-7_cleavedD198,Transglutaminase,Porin,eEF2,C-Raf_pS338,GATA3,Src,VAV1,p90RSK_pT359_S363,TTF1,Akt_pS473,Acetyl-a-Tubulin (Lys40),STAT5-alpha,Beclin,RAD51,AMPK_pT172,p27_pT157,ADAR1,AR,Rad50,Rb_pS807_S811,p21,A-Raf_pS299,P-Cadherin,Cyclin_E2,Chk1_pS345,4E-BP1_pT70,B-Raf,alpha-Catenin
490,13.0,33.0,2.0,15.0,1.0,5.0,83.0,8.0,76.0,14.0,0.0,3.0,27.0,11.0,57.0,4.0,55.0,66.0,10.0,35.0,22.0,107.0,77.0,72.0,126.0,50.0,37.0,135.0,36.0,95.0
539,0.0,3.0,5.0,14.0,10.0,7.0,2.0,8.0,23.0,68.0,1.0,11.0,21.0,89.0,78.0,22.0,6.0,41.0,33.0,55.0,43.0,35.0,121.0,42.0,29.0,152.0,66.0,77.0,18.0,50.0
588,1.0,8.0,4.0,11.0,15.0,14.0,2.0,23.0,6.0,28.0,0.0,13.0,37.0,25.0,72.0,7.0,58.0,50.0,47.0,42.0,20.0,21.0,17.0,90.0,114.0,120.0,32.0,88.0,16.0,102.0
637,0.0,5.0,2.0,33.0,26.0,48.0,1.0,4.0,37.0,54.0,3.0,9.0,57.0,20.0,159.0,6.0,8.0,19.0,24.0,118.0,38.0,77.0,147.0,27.0,12.0,7.0,15.0,120.0,116.0,44.0
686,0.0,30.0,3.0,19.0,2.0,54.0,8.0,9.0,57.0,113.0,1.0,4.0,32.0,18.0,46.0,6.0,55.0,38.0,26.0,36.0,24.0,98.0,118.0,17.0,59.0,16.0,146.0,147.0,132.0,63.0
735,6.0,13.0,0.0,2.0,11.0,90.0,5.0,9.0,33.0,27.0,12.0,3.0,10.0,7.0,71.0,1.0,22.0,72.0,28.0,19.0,76.0,73.0,153.0,8.0,101.0,17.0,119.0,88.0,54.0,96.0
784,0.0,45.0,4.0,1.0,12.0,8.0,21.0,15.0,9.0,65.0,3.0,5.0,78.0,69.0,6.0,30.0,16.0,35.0,73.0,149.0,34.0,74.0,28.0,92.0,43.0,19.0,121.0,110.0,99.0,60.0
833,0.0,24.0,1.0,4.0,25.0,128.0,11.0,18.0,5.0,21.0,3.0,20.0,14.0,97.0,126.0,10.0,16.0,153.0,8.0,60.0,53.0,147.0,54.0,22.0,150.0,15.0,132.0,49.0,110.0,29.0
882,1.0,13.0,3.0,6.0,2.0,5.0,8.0,14.0,7.0,10.0,0.0,26.0,66.0,110.0,12.0,128.0,23.0,24.0,29.0,16.0,63.0,114.0,32.0,58.0,46.0,15.0,25.0,69.0,40.0,39.0
931,0.0,2.0,5.0,4.0,3.0,27.0,15.0,21.0,11.0,1.0,9.0,7.0,13.0,46.0,8.0,14.0,142.0,33.0,125.0,69.0,18.0,31.0,160.0,10.0,93.0,12.0,47.0,88.0,16.0,70.0
980,3.0,0.0,6.0,9.0,2.0,25.0,1.0,40.0,50.0,38.0,63.0,8.0,49.0,29.0,46.0,56.0,12.0,76.0,37.0,4.0,24.0,75.0,33.0,65.0,95.0,163.0,44.0,28.0,18.0,82.0
1029,2.0,0.0,6.0,4.0,27.0,103.0,13.0,55.0,19.0,1.0,26.0,86.0,102.0,65.0,79.0,39.0,9.0,141.0,17.0,5.0,20.0,21.0,92.0,35.0,75.0,68.0,71.0,58.0,50.0,24.0
1078,6.0,2.0,0.0,4.0,3.0,23.0,7.0,14.0,71.0,1.0,21.0,76.0,30.0,63.0,111.0,54.0,81.0,87.0,73.0,5.0,151.0,32.0,52.0,65.0,19.0,91.0,78.0,51.0,46.0,67.0
1127,10.0,1.0,0.0,7.0,12.0,5.0,40.0,19.0,44.0,6.0,31.0,60.0,8.0,3.0,113.0,23.0,92.0,75.0,57.0,2.0,115.0,143.0,132.0,81.0,33.0,152.0,15.0,22.0,42.0,16.0
1176,1.0,0.0,6.0,17.0,31.0,109.0,2.0,11.0,23.0,21.0,10.0,15.0,41.0,72.0,63.0,76.0,45.0,32.0,8.0,5.0,47.0,3.0,66.0,73.0,20.0,25.0,16.0,35.0,117.0,39.0
1225,0.0,4.0,10.0,5.0,2.0,107.0,8.0,15.0,6.0,13.0,3.0,27.0,20.0,38.0,26.0,77.0,34.0,54.0,18.0,9.0,43.0,29.0,31.0,25.0,37.0,65.0,66.0,69.0,39.0,14.0
1274,0.0,1.0,2.0,21.0,13.0,57.0,6.0,14.0,33.0,16.0,8.0,79.0,4.0,23.0,161.0,17.0,46.0,24.0,59.0,5.0,143.0,10.0,43.0,18.0,52.0,42.0,9.0,113.0,7.0,11.0
1323,3.0,5.0,4.0,12.0,0.0,59.0,33.0,24.0,2.0,7.0,67.0,161.0,29.0,9.0,115.0,56.0,16.0,135.0,38.0,1.0,94.0,36.0,20.0,43.0,81.0,140.0,32.0,14.0,55.0,107.0
1372,5.0,1.0,0.0,41.0,4.0,88.0,13.0,2.0,77.0,17.0,53.0,23.0,19.0,18.0,42.0,35.0,12.0,46.0,39.0,8.0,94.0,3.0,9.0,129.0,84.0,65.0,21.0,78.0,26.0,14.0
1421,2.0,0.0,1.0,6.0,4.0,13.0,3.0,7.0,56.0,16.0,17.0,89.0,22.0,95.0,69.0,54.0,36.0,124.0,14.0,8.0,81.0,50.0,38.0,29.0,73.0,37.0,12.0,115.0,21.0,42.0
1470,5.0,2.0,1.0,42.0,86.0,6.0,51.0,0.0,94.0,8.0,48.0,65.0,155.0,3.0,57.0,61.0,49.0,14.0,59.0,20.0,60.0,10.0,16.0,35.0,89.0,56.0,68.0,22.0,141.0,47.0
1519,3.0,0.0,2.0,53.0,13.0,8.0,27.0,26.0,22.0,1.0,17.0,48.0,103.0,14.0,18.0,91.0,7.0,50.0,28.0,20.0,19.0,116.0,24.0,37.0,21.0,126.0,161.0,35.0,74.0,6.0
1568,27.0,0.0,1.0,7.0,63.0,23.0,31.0,17.0,8.0,12.0,24.0,143.0,104.0,2.0,85.0,80.0,66.0,4.0,38.0,62.0,20.0,10.0,57.0,49.0,30.0,16.0,58.0,5.0,47.0,34.0
1617,74.0,0.0,2.0,3.0,16.0,11.0,95.0,5.0,25.0,1.0,8.0,26.0,66.0,6.0,96.0,29.0,80.0,4.0,98.0,30.0,17.0,45.0,147.0,40.0,10.0,32.0,81.0,23.0,68.0,22.0
1666,61.0,1.0,2.0,7.0,70.0,4.0,9.0,0.0,5.0,27.0,160.0,91.0,141.0,41.0,34.0,17.0,19.0,95.0,21.0,16.0,8.0,10.0,36.0,14.0,113.0,15.0,30.0,45.0,44.0,67.0
1715,9.0,2.0,6.0,1.0,10.0,24.0,80.0,0.0,30.0,43.0,53.0,51.0,38.0,103.0,41.0,57.0,17.0,4.0,13.0,112.0,26.0,36.0,40.0,64.0,106.0,7.0,140.0,5.0,29.0,3.0
1764,0.0,6.0,4.0,2.0,55.0,3.0,36.0,1.0,86.0,73.0,72.0,87.0,144.0,44.0,15.0,111.0,151.0,67.0,9.0,14.0,11.0,8.0,65.0,53.0,142.0,41.0,60.0,130.0,104.0,63.0
1813,0.0,1.0,2.0,3.0,39.0,4.0,70.0,13.0,7.0,20.0,64.0,34.0,56.0,32.0,12.0,8.0,65.0,15.0,5.0,16.0,153.0,19.0,69.0,134.0,54.0,21.0,130.0,113.0,138.0,18.0
1862,2.0,0.0,5.0,3.0,21.0,40.0,45.0,1.0,6.0,17.0,9.0,84.0,156.0,13.0,33.0,86.0,122.0,10.0,14.0,30.0,82.0,7.0,25.0,58.0,34.0,32.0,47.0,72.0,109.0,36.0
1911,11.0,21.0,0.0,4.0,24.0,3.0,2.0,1.0,6.0,69.0,66.0,67.0,19.0,5.0,22.0,29.0,47.0,60.0,9.0,136.0,121.0,15.0,36.0,91.0,135.0,54.0,115.0,126.0,12.0,16.0
1960,30.0,3.0,13.0,44.0,0.0,17.0,4.0,1.0,31.0,23.0,5.0,19.0,6.0,155.0,101.0,133.0,8.0,95.0,50.0,87.0,24.0,9.0,25.0,12.0,29.0,127.0,47.0,10.0,107.0,21.0
2009,1.0,2.0,15.0,3.0,0.0,8.0,4.0,9.0,19.0,6.0,12.0,161.0,26.0,7.0,11.0,74.0,23.0,25.0,137.0,43.0,48.0,13.0,67.0,132.0,29.0,33.0,31.0,27.0,21.0,49.0
2058,2.0,0.0,4.0,8.0,5.0,28.0,1.0,20.0,3.0,95.0,14.0,98.0,94.0,7.0,48.0,9.0,11.0,19.0,99.0,67.0,129.0,29.0,51.0,68.0,47.0,30.0,12.0,144.0,6.0,158.0
2107,35.0,0.0,2.0,33.0,13.0,15.0,70.0,4.0,3.0,9.0,8.0,7.0,145.0,80.0,116.0,27.0,19.0,1.0,161.0,111.0,91.0,11.0,18.0,5.0,32.0,44.0,10.0,55.0,137.0,50.0
2156,5.0,0.0,11.0,29.0,1.0,8.0,20.0,4.0,3.0,41.0,2.0,96.0,17.0,25.0,31.0,36.0,9.0,26.0,123.0,53.0,57.0,137.0,7.0,15.0,19.0,14.0,42.0,104.0,67.0,88.0
2205,0.0,1.0,4.0,43.0,2.0,6.0,3.0,41.0,45.0,38.0,5.0,62.0,19.0,26.0,23.0,8.0,24.0,18.0,76.0,88.0,7.0,22.0,139.0,13.0,48.0,120.0,15.0,42.0,81.0,50.0
2254,5.0,0.0,12.0,6.0,10.0,18.0,8.0,16.0,20.0,67.0,30.0,50.0,27.0,2.0,95.0,55.0,37.0,14.0,22.0,36.0,133.0,85.0,43.0,91.0,144.0,7.0,17.0,13.0,98.0,101.0
2303,7.0,0.0,14.0,23.0,20.0,34.0,10.0,4.0,2.0,32.0,22.0,5.0,11.0,21.0,161.0,17.0,3.0,25.0,37.0,89.0,26.0,15.0,24.0,1.0,13.0,53.0,12.0,60.0,45.0,16.0
2352,13.0,0.0,2.0,7.0,4.0,27.0,3.0,39.0,15.0,12.0,10.0,62.0,24.0,5.0,68.0,58.0,33.0,55.0,1.0,53.0,9.0,8.0,49.0,28.0,6.0,11.0,47.0,97.0,133.0,92.0
2401,0.0,6.0,44.0,1.0,2.0,28.0,12.0,5.0,18.0,65.0,8.0,39.0,46.0,10.0,4.0,109.0,93.0,81.0,16.0,95.0,43.0,31.0,45.0,25.0,11.0,26.0,7.0,24.0,52.0,84.0
2450,2.0,14.0,5.0,8.0,6.0,17.0,25.0,77.0,41.0,33.0,1.0,125.0,22.0,12.0,59.0,4.0,13.0,0.0,78.0,84.0,44.0,156.0,16.0,26.0,105.0,85.0,60.0,64.0,121.0,36.0
2499,6.0,2.0,54.0,25.0,1.0,26.0,5.0,31.0,23.0,46.0,28.0,9.0,4.0,71.0,8.0,11.0,14.0,15.0,45.0,44.0,52.0,40.0,34.0,67.0,62.0,60.0,122.0,109.0,94.0,13.0
2548,2.0,0.0,18.0,1.0,32.0,5.0,6.0,81.0,10.0,4.0,3.0,99.0,76.0,45.0,11.0,7.0,38.0,9.0,15.0,22.0,13.0,59.0,97.0,53.0,86.0,143.0,125.0,89.0,128.0,21.0
2597,0.0,4.0,40.0,44.0,12.0,16.0,1.0,6.0,46.0,38.0,2.0,30.0,19.0,43.0,25.0,5.0,18.0,63.0,33.0,9.0,22.0,37.0,76.0,72.0,150.0,110.0,122.0,55.0,36.0,14.0
2646,15.0,0.0,4.0,14.0,10.0,19.0,40.0,13.0,76.0,25.0,8.0,120.0,2.0,153.0,6.0,97.0,28.0,1.0,12.0,61.0,38.0,93.0,86.0,158.0,26.0,130.0,46.0,5.0,29.0,52.0
2695,3.0,13.0,0.0,38.0,30.0,1.0,4.0,19.0,6.0,137.0,52.0,127.0,23.0,115.0,14.0,20.0,18.0,5.0,90.0,41.0,17.0,8.0,94.0,15.0,57.0,118.0,50.0,26.0,31.0,7.0
2744,0.0,32.0,3.0,41.0,9.0,27.0,1.0,13.0,35.0,6.0,20.0,115.0,5.0,134.0,11.0,39.0,14.0,8.0,45.0,53.0,7.0,105.0,12.0,118.0,98.0,30.0,75.0,38.0,96.0,19.0
2793,1.0,6.0,73.0,9.0,4.0,0.0,5.0,22.0,52.0,15.0,2.0,33.0,124.0,31.0,14.0,25.0,69.0,3.0,49.0,56.0,86.0,80.0,27.0,44.0,12.0,17.0,88.0,111.0,11.0,82.0
2842,0.0,22.0,8.0,1.0,7.0,61.0,2.0,57.0,26.0,9.0,5.0,86.0,10.0,108.0,13.0,20.0,18.0,6.0,12.0,44.0,21.0,138.0,15.0,16.0,128.0,114.0,45.0,87.0,4.0,40.0
2891,3.0,114.0,1.0,6.0,14.0,38.0,5.0,51.0,67.0,160.0,57.0,101.0,48.0,124.0,31.0,0.0,15.0,2.0,95.0,17.0,41.0,53.0,36.0,27.0,26.0,64.0,104.0,8.0,7.0,70.0
2940,0.0,2.0,12.0,88.0,4.0,7.0,22.0,21.0,6.0,132.0,73.0,35.0,1.0,108.0,33.0,52.0,67.0,16.0,122.0,39.0,19.0,97.0,30.0,68.0,11.0,5.0,8.0,129.0,27.0,3.0
2989,1.0,14.0,11.0,22.0,5.0,15.0,48.0,4.0,6.0,106.0,43.0,17.0,27.0,108.0,7.0,79.0,36.0,37.0,98.0,12.0,13.0,138.0,20.0,69.0,2.0,0.0,33.0,81.0,8.0,3.0
3038,0.0,3.0,77.0,40.0,1.0,30.0,109.0,61.0,17.0,20.0,6.0,47.0,2.0,130.0,134.0,69.0,15.0,22.0,65.0,113.0,73.0,16.0,12.0,126.0,35.0,21.0,106.0,28.0,33.0,5.0
3087,6.0,0.0,27.0,44.0,3.0,4.0,127.0,67.0,15.0,8.0,29.0,61.0,23.0,115.0,7.0,90.0,1.0,19.0,32.0,63.0,75.0,47.0,16.0,105.0,12.0,9.0,24.0,11.0,14.0,5.0
3136,1.0,12.0,36.0,8.0,0.0,3.0,5.0,21.0,7.0,22.0,11.0,46.0,4.0,75.0,35.0,66.0,57.0,13.0,39.0,52.0,38.0,63.0,80.0,73.0,84.0,2.0,42.0,25.0,18.0,19.0
3185,13.0,12.0,0.0,2.0,3.0,29.0,15.0,21.0,26.0,60.0,99.0,22.0,10.0,40.0,129.0,56.0,14.0,32.0,39.0,18.0,108.0,68.0,11.0,73.0,1.0,9.0,23.0,44.0,28.0,19.0
3234,3.0,0.0,7.0,63.0,2.0,1.0,11.0,12.0,17.0,78.0,22.0,34.0,38.0,8.0,132.0,51.0,36.0,103.0,99.0,30.0,97.0,87.0,80.0,31.0,29.0,5.0,15.0,16.0,19.0,13.0
3283,3.0,0.0,18.0,45.0,5.0,1.0,33.0,39.0,29.0,48.0,70.0,16.0,13.0,79.0,6.0,10.0,12.0,25.0,22.0,38.0,36.0,84.0,2.0,24.0,23.0,15.0,131.0,41.0,14.0,11.0
3332,1.0,2.0,4.0,63.0,5.0,0.0,8.0,39.0,54.0,40.0,67.0,28.0,61.0,153.0,25.0,38.0,14.0,11.0,15.0,111.0,49.0,62.0,6.0,47.0,102.0,20.0,96.0,69.0,34.0,3.0
3381,2.0,1.0,29.0,7.0,0.0,13.0,8.0,38.0,72.0,22.0,24.0,4.0,62.0,9.0,39.0,143.0,140.0,77.0,25.0,134.0,14.0,125.0,46.0,18.0,23.0,5.0,154.0,75.0,48.0,6.0
3430,0.0,5.0,57.0,2.0,13.0,1.0,47.0,76.0,21.0,9.0,123.0,18.0,160.0,15.0,42.0,25.0,6.0,95.0,34.0,85.0,66.0,81.0,12.0,14.0,100.0,61.0,20.0,3.0,30.0,52.0
3479,0.0,12.0,17.0,14.0,33.0,11.0,30.0,41.0,6.0,133.0,19.0,89.0,18.0,42.0,15.0,32.0,7.0,38.0,78.0,3.0,55.0,150.0,34.0,10.0,109.0,54.0,125.0,25.0,8.0,112.0
3528,0.0,1.0,11.0,4.0,34.0,3.0,102.0,18.0,22.0,77.0,83.0,17.0,28.0,87.0,2.0,12.0,21.0,92.0,31.0,7.0,26.0,13.0,56.0,8.0,5.0,118.0,37.0,96.0,62.0,97.0
3577,3.0,0.0,1.0,2.0,116.0,28.0,51.0,45.0,16.0,44.0,36.0,10.0,39.0,30.0,14.0,24.0,91.0,47.0,87.0,11.0,40.0,101.0,81.0,21.0,13.0,156.0,64.0,68.0,69.0,19.0
3626,0.0,1.0,2.0,14.0,31.0,11.0,21.0,77.0,16.0,29.0,22.0,10.0,28.0,69.0,3.0,34.0,101.0,93.0,25.0,13.0,73.0,30.0,117.0,12.0,106.0,37.0,19.0,18.0,109.0,27.0
3675,0.0,5.0,1.0,2.0,12.0,9.0,34.0,11.0,25.0,38.0,18.0,3.0,57.0,8.0,4.0,16.0,66.0,44.0,15.0,35.0,141.0,158.0,21.0,13.0,31.0,14.0,32.0,42.0,20.0,73.0
3724,0.0,7.0,3.0,1.0,8.0,26.0,35.0,14.0,13.0,94.0,6.0,5.0,11.0,17.0,4.0,78.0,74.0,115.0,70.0,68.0,109.0,42.0,27.0,2.0,77.0,52.0,31.0,43.0,88.0,153.0
3773,0.0,11.0,1.0,32.0,25.0,5.0,87.0,3.0,7.0,94.0,106.0,2.0,63.0,17.0,19.0,33.0,43.0,18.0,55.0,16.0,39.0,13.0,12.0,20.0,24.0,51.0,49.0,4.0,71.0,22.0
3822,0.0,9.0,1.0,10.0,25.0,90.0,38.0,4.0,29.0,70.0,47.0,19.0,91.0,33.0,8.0,44.0,61.0,14.0,40.0,48.0,66.0,17.0,37.0,21.0,64.0,43.0,30.0,52.0,63.0,83.0
3871,0.0,1.0,16.0,33.0,6.0,22.0,54.0,4.0,17.0,91.0,20.0,8.0,94.0,71.0,47.0,57.0,75.0,93.0,87.0,30.0,12.0,3.0,136.0,21.0,79.0,11.0,25.0,70.0,106.0,15.0
3920,4.0,6.0,81.0,24.0,42.0,1.0,84.0,23.0,122.0,0.0,16.0,29.0,9.0,11.0,106.0,41.0,58.0,14.0,51.0,3.0,7.0,12.0,103.0,39.0,79.0,17.0,2.0,13.0,37.0,87.0
3969,2.0,6.0,4.0,8.0,31.0,16.0,108.0,24.0,122.0,5.0,59.0,104.0,22.0,43.0,48.0,118.0,49.0,27.0,14.0,130.0,15.0,0.0,28.0,3.0,37.0,9.0,1.0,7.0,44.0,152.0
4018,0.0,7.0,6.0,35.0,12.0,23.0,84.0,22.0,8.0,2.0,39.0,113.0,47.0,4.0,53.0,106.0,9.0,49.0,13.0,16.0,66.0,1.0,93.0,17.0,29.0,109.0,3.0,48.0,83.0,45.0
4067,0.0,1.0,58.0,2.0,9.0,32.0,10.0,8.0,3.0,39.0,153.0,19.0,5.0,17.0,51.0,15.0,89.0,7.0,31.0,41.0,20.0,12.0,43.0,46.0,65.0,81.0,4.0,6.0,24.0,37.0
4116,20.0,6.0,15.0,0.0,11.0,14.0,98.0,8.0,18.0,4.0,61.0,22.0,3.0,45.0,32.0,27.0,62.0,2.0,16.0,29.0,12.0,1.0,26.0,28.0,78.0,125.0,5.0,9.0,33.0,60.0
4165,1.0,0.0,116.0,33.0,58.0,11.0,25.0,41.0,67.0,2.0,17.0,83.0,4.0,28.0,8.0,7.0,49.0,9.0,52.0,26.0,14.0,27.0,21.0,22.0,16.0,151.0,12.0,5.0,10.0,148.0
4214,2.0,6.0,12.0,20.0,11.0,0.0,46.0,50.0,43.0,1.0,26.0,7.0,8.0,21.0,18.0,19.0,24.0,9.0,57.0,4.0,28.0,75.0,41.0,5.0,108.0,109.0,10.0,15.0,94.0,59.0
4263,0.0,4.0,6.0,17.0,9.0,5.0,97.0,75.0,49.0,25.0,3.0,10.0,7.0,74.0,90.0,14.0,37.0,27.0,40.0,106.0,92.0,102.0,38.0,2.0,15.0,126.0,57.0,8.0,23.0,133.0
4312,4.0,2.0,8.0,3.0,5.0,10.0,63.0,30.0,39.0,9.0,34.0,7.0,33.0,0.0,20.0,53.0,13.0,31.0,54.0,17.0,6.0,84.0,43.0,27.0,21.0,73.0,101.0,22.0,88.0,74.0
4361,0.0,8.0,2.0,3.0,36.0,11.0,46.0,55.0,41.0,1.0,44.0,6.0,156.0,136.0,59.0,33.0,29.0,52.0,127.0,60.0,16.0,19.0,21.0,43.0,30.0,22.0,5.0,20.0,141.0,48.0
4410,1.0,2.0,8.0,0.0,3.0,13.0,5.0,4.0,21.0,89.0,87.0,141.0,10.0,61.0,23.0,114.0,45.0,51.0,74.0,69.0,7.0,30.0,17.0,33.0,110.0,35.0,19.0,37.0,14.0,43.0
4459,0.0,6.0,1.0,24.0,8.0,30.0,5.0,4.0,87.0,41.0,86.0,12.0,62.0,74.0,45.0,97.0,101.0,83.0,111.0,36.0,3.0,108.0,7.0,106.0,38.0,88.0,32.0,34.0,26.0,47.0
4508,0.0,1.0,13.0,2.0,4.0,14.0,3.0,21.0,60.0,17.0,47.0,26.0,71.0,8.0,59.0,58.0,18.0,19.0,12.0,84.0,37.0,142.0,24.0,48.0,61.0,68.0,11.0,43.0,77.0,46.0
4557,4.0,5.0,0.0,45.0,18.0,1.0,17.0,44.0,68.0,16.0,57.0,3.0,10.0,9.0,6.0,147.0,21.0,30.0,160.0,125.0,26.0,19.0,128.0,7.0,116.0,60.0,29.0,85.0,78.0,47.0
4606,0.0,4.0,3.0,1.0,5.0,55.0,8.0,14.0,7.0,61.0,104.0,2.0,15.0,25.0,19.0,16.0,53.0,43.0,20.0,35.0,60.0,121.0,23.0,81.0,40.0,32.0,105.0,28.0,21.0,68.0
4655,2.0,1.0,0.0,5.0,34.0,39.0,11.0,7.0,13.0,149.0,52.0,53.0,87.0,6.0,85.0,61.0,92.0,100.0,3.0,40.0,14.0,88.0,12.0,60.0,45.0,22.0,21.0,132.0,38.0,65.0
4704,2.0,0.0,1.0,18.0,4.0,36.0,16.0,28.0,7.0,3.0,119.0,5.0,13.0,9.0,127.0,40.0,20.0,38.0,37.0,56.0,68.0,57.0,71.0,63.0,12.0,8.0,6.0,79.0,61.0,121.0
4753,2.0,3.0,1.0,0.0,5.0,10.0,9.0,156.0,19.0,52.0,125.0,6.0,86.0,121.0,20.0,14.0,85.0,68.0,4.0,109.0,35.0,39.0,136.0,91.0,92.0,12.0,105.0,65.0,15.0,140.0
4802,1.0,0.0,3.0,4.0,8.0,7.0,44.0,16.0,56.0,122.0,100.0,2.0,116.0,37.0,12.0,91.0,73.0,51.0,5.0,65.0,29.0,126.0,77.0,89.0,46.0,69.0,50.0,61.0,31.0,114.0
4851,4.0,1.0,0.0,14.0,2.0,13.0,45.0,103.0,96.0,19.0,34.0,8.0,3.0,15.0,20.0,105.0,16.0,75.0,5.0,65.0,78.0,59.0,35.0,87.0,63.0,24.0,64.0,26.0,6.0,50.0
