,SKIN,LARGE_INTESTINE,PANCREAS,THYROID,STOMACH,AERODIGESTIVE,GANGLIA,HAEMATOPOIETIC,URINARY,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,PROSTATE,OVARY,PLEURA,LUNG,ENDOMETRIUM,OESOPHAGUS,BONE,NERVOUS,LIVER,BREAST
975,0.0,2.0,1.0,5.0,6.0,3.0,4.0,7.0,9.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,20.0,19.0,18.0,22.0,21.0
1024,1.0,0.0,2.0,3.0,8.0,5.0,6.0,9.0,7.0,4.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
1073,1.0,0.0,2.0,4.0,5.0,6.0,3.0,9.0,7.0,8.0,10.0,11.0,12.0,14.0,16.0,13.0,15.0,17.0,21.0,19.0,18.0,20.0,22.0
1122,1.0,0.0,2.0,3.0,7.0,4.0,9.0,5.0,8.0,6.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
1171,1.0,0.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
1220,0.0,1.0,2.0,5.0,4.0,8.0,3.0,7.0,6.0,12.0,9.0,10.0,11.0,16.0,13.0,15.0,14.0,20.0,19.0,18.0,17.0,21.0,22.0
1269,0.0,1.0,2.0,5.0,4.0,3.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,19.0,20.0,18.0,21.0,22.0
1318,1.0,0.0,2.0,3.0,8.0,4.0,6.0,7.0,9.0,5.0,11.0,13.0,12.0,10.0,15.0,14.0,16.0,17.0,19.0,21.0,18.0,20.0,22.0
1367,1.0,0.0,2.0,3.0,6.0,4.0,5.0,8.0,7.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,19.0,20.0,18.0,21.0,22.0
1416,2.0,0.0,1.0,3.0,8.0,4.0,5.0,9.0,6.0,7.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,19.0,20.0,18.0,21.0,22.0
1465,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,9.0,8.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0
1514,1.0,2.0,0.0,6.0,9.0,8.0,5.0,4.0,3.0,7.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0,19.0,20.0,18.0,21.0,22.0
1563,1.0,2.0,0.0,5.0,6.0,4.0,9.0,8.0,3.0,7.0,10.0,11.0,12.0,15.0,22.0,14.0,13.0,16.0,17.0,18.0,19.0,21.0,20.0
1612,0.0,2.0,1.0,5.0,8.0,4.0,9.0,6.0,3.0,7.0,10.0,11.0,12.0,15.0,17.0,14.0,13.0,16.0,20.0,19.0,18.0,21.0,22.0
1661,2.0,1.0,0.0,6.0,8.0,4.0,5.0,9.0,3.0,7.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,21.0,18.0,17.0,19.0,20.0,22.0
1710,0.0,1.0,2.0,5.0,9.0,4.0,3.0,8.0,6.0,7.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,18.0,19.0,20.0,17.0,21.0,22.0
1759,2.0,1.0,0.0,10.0,12.0,5.0,3.0,7.0,6.0,4.0,8.0,9.0,11.0,15.0,16.0,14.0,13.0,18.0,17.0,20.0,19.0,21.0,22.0
1808,2.0,1.0,0.0,6.0,7.0,3.0,5.0,8.0,4.0,13.0,9.0,10.0,11.0,15.0,16.0,12.0,14.0,18.0,17.0,20.0,19.0,21.0,22.0
1857,0.0,2.0,1.0,5.0,8.0,3.0,4.0,9.0,6.0,7.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0,18.0,21.0,20.0,19.0,22.0
1906,2.0,0.0,1.0,6.0,8.0,4.0,5.0,9.0,3.0,7.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,18.0,17.0,19.0,21.0,22.0,20.0
1955,1.0,2.0,0.0,5.0,4.0,13.0,6.0,8.0,3.0,7.0,10.0,11.0,12.0,9.0,18.0,15.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
2004,0.0,2.0,1.0,5.0,3.0,4.0,8.0,6.0,7.0,13.0,10.0,11.0,12.0,9.0,15.0,16.0,14.0,21.0,17.0,19.0,18.0,20.0,22.0
2053,0.0,1.0,2.0,5.0,6.0,4.0,8.0,3.0,7.0,12.0,9.0,10.0,11.0,14.0,13.0,15.0,17.0,20.0,19.0,16.0,18.0,22.0,21.0
2102,1.0,0.0,2.0,6.0,5.0,3.0,8.0,4.0,7.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,21.0,18.0,20.0,19.0,22.0
2151,0.0,2.0,1.0,6.0,5.0,3.0,8.0,7.0,4.0,13.0,9.0,10.0,11.0,16.0,12.0,15.0,14.0,20.0,17.0,19.0,18.0,21.0,22.0
2200,0.0,1.0,2.0,10.0,4.0,3.0,7.0,5.0,6.0,13.0,8.0,9.0,11.0,15.0,14.0,12.0,16.0,20.0,17.0,19.0,18.0,22.0,21.0
2249,0.0,1.0,2.0,6.0,5.0,3.0,7.0,4.0,8.0,12.0,9.0,10.0,11.0,16.0,14.0,15.0,13.0,20.0,17.0,19.0,18.0,22.0,21.0
2298,0.0,2.0,1.0,5.0,6.0,3.0,8.0,4.0,7.0,13.0,9.0,10.0,11.0,14.0,12.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
2347,0.0,1.0,2.0,5.0,3.0,7.0,6.0,4.0,8.0,16.0,9.0,10.0,11.0,13.0,12.0,14.0,15.0,18.0,17.0,19.0,22.0,20.0,21.0
2396,2.0,0.0,1.0,6.0,5.0,4.0,7.0,3.0,12.0,13.0,8.0,9.0,10.0,14.0,11.0,15.0,16.0,21.0,17.0,19.0,18.0,20.0,22.0
2445,0.0,2.0,1.0,6.0,4.0,7.0,8.0,3.0,5.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,20.0,17.0,19.0,18.0,21.0,22.0
2494,1.0,2.0,0.0,5.0,6.0,3.0,7.0,4.0,8.0,9.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,17.0,19.0,18.0,20.0,21.0,22.0
2543,1.0,2.0,0.0,6.0,3.0,5.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,19.0,18.0,17.0,21.0,20.0,22.0
2592,0.0,2.0,1.0,5.0,4.0,3.0,7.0,6.0,13.0,8.0,10.0,11.0,12.0,9.0,16.0,14.0,15.0,18.0,19.0,17.0,22.0,20.0,21.0
2641,1.0,2.0,0.0,4.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
2690,0.0,2.0,1.0,4.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
2739,1.0,2.0,0.0,8.0,6.0,3.0,4.0,5.0,9.0,7.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
2788,0.0,2.0,1.0,4.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0,20.0,18.0,19.0,21.0,22.0
2837,0.0,1.0,2.0,8.0,5.0,3.0,4.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
2886,0.0,2.0,1.0,4.0,7.0,3.0,5.0,6.0,8.0,13.0,9.0,10.0,11.0,14.0,16.0,12.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2935,2.0,1.0,0.0,4.0,7.0,5.0,3.0,6.0,9.0,8.0,10.0,11.0,12.0,16.0,14.0,15.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
2984,0.0,2.0,1.0,4.0,7.0,6.0,3.0,5.0,9.0,8.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,20.0,18.0,17.0,19.0,22.0,21.0
3033,0.0,2.0,1.0,6.0,7.0,3.0,5.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3082,0.0,1.0,2.0,4.0,3.0,6.0,8.0,5.0,9.0,7.0,11.0,13.0,12.0,10.0,14.0,16.0,17.0,18.0,19.0,15.0,20.0,22.0,21.0
3131,0.0,2.0,1.0,4.0,5.0,7.0,3.0,6.0,9.0,8.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,21.0,18.0,19.0,20.0,22.0
3180,0.0,2.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0,19.0,18.0,21.0,20.0,22.0
3229,0.0,2.0,1.0,3.0,4.0,7.0,6.0,5.0,9.0,8.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,19.0,17.0,18.0,21.0,22.0,20.0
3278,0.0,2.0,1.0,4.0,5.0,3.0,6.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,16.0,15.0,17.0,18.0,19.0,14.0,20.0,21.0,22.0
3327,0.0,2.0,1.0,3.0,6.0,5.0,8.0,4.0,12.0,7.0,9.0,10.0,11.0,15.0,16.0,14.0,13.0,20.0,18.0,17.0,19.0,22.0,21.0
3376,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,15.0,14.0,16.0,18.0,19.0,17.0,20.0,22.0,21.0
3425,0.0,1.0,2.0,3.0,5.0,7.0,8.0,6.0,13.0,4.0,9.0,10.0,11.0,14.0,15.0,12.0,17.0,20.0,18.0,16.0,19.0,21.0,22.0
3474,0.0,2.0,1.0,5.0,4.0,6.0,3.0,7.0,9.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,21.0,20.0,22.0
3523,1.0,2.0,0.0,4.0,3.0,8.0,9.0,6.0,5.0,7.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,19.0,18.0,20.0,22.0,21.0
3572,0.0,2.0,1.0,5.0,4.0,6.0,8.0,7.0,3.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
3621,2.0,1.0,0.0,3.0,4.0,8.0,6.0,7.0,5.0,12.0,9.0,10.0,11.0,13.0,16.0,14.0,15.0,17.0,18.0,20.0,19.0,21.0,22.0
3670,0.0,1.0,2.0,6.0,3.0,7.0,8.0,9.0,4.0,5.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,18.0,17.0,20.0,19.0,21.0,22.0
3719,0.0,2.0,1.0,4.0,3.0,7.0,6.0,9.0,5.0,8.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
3768,1.0,2.0,0.0,4.0,3.0,11.0,7.0,6.0,5.0,12.0,8.0,9.0,10.0,13.0,15.0,14.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
3817,0.0,2.0,1.0,3.0,4.0,14.0,6.0,8.0,5.0,7.0,11.0,13.0,12.0,9.0,16.0,10.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3866,0.0,1.0,2.0,4.0,3.0,7.0,5.0,8.0,6.0,9.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,18.0,17.0,19.0,22.0,20.0,21.0
3915,0.0,2.0,1.0,4.0,3.0,7.0,6.0,8.0,5.0,9.0,10.0,11.0,12.0,13.0,18.0,14.0,17.0,15.0,16.0,19.0,22.0,20.0,21.0
3964,2.0,1.0,0.0,3.0,7.0,5.0,6.0,4.0,12.0,8.0,9.0,10.0,11.0,15.0,16.0,14.0,13.0,17.0,18.0,19.0,21.0,20.0,22.0
4013,0.0,1.0,2.0,3.0,4.0,8.0,6.0,5.0,7.0,12.0,9.0,10.0,11.0,16.0,13.0,15.0,14.0,21.0,17.0,19.0,18.0,20.0,22.0
4062,2.0,1.0,0.0,6.0,7.0,4.0,3.0,5.0,13.0,8.0,9.0,10.0,11.0,15.0,16.0,12.0,14.0,18.0,19.0,21.0,20.0,17.0,22.0
4111,0.0,1.0,2.0,3.0,6.0,8.0,4.0,5.0,7.0,9.0,10.0,11.0,12.0,15.0,17.0,14.0,13.0,16.0,19.0,18.0,20.0,21.0,22.0
4160,0.0,1.0,2.0,5.0,6.0,3.0,4.0,7.0,13.0,8.0,10.0,11.0,12.0,9.0,14.0,16.0,15.0,17.0,21.0,20.0,18.0,19.0,22.0
4209,0.0,2.0,1.0,3.0,7.0,6.0,8.0,4.0,9.0,5.0,10.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0,19.0,20.0,21.0,18.0,22.0
4258,0.0,1.0,2.0,4.0,6.0,5.0,8.0,3.0,9.0,7.0,10.0,11.0,12.0,14.0,13.0,15.0,16.0,17.0,19.0,18.0,22.0,20.0,21.0
4307,1.0,0.0,2.0,3.0,6.0,4.0,8.0,5.0,9.0,7.0,10.0,11.0,12.0,16.0,13.0,15.0,14.0,17.0,18.0,21.0,20.0,19.0,22.0
4356,2.0,1.0,0.0,3.0,8.0,5.0,6.0,4.0,9.0,7.0,10.0,11.0,12.0,15.0,16.0,14.0,13.0,17.0,18.0,19.0,21.0,20.0,22.0
4405,0.0,1.0,2.0,4.0,7.0,3.0,6.0,8.0,12.0,5.0,9.0,10.0,11.0,13.0,17.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4454,1.0,0.0,2.0,6.0,7.0,3.0,14.0,8.0,4.0,5.0,11.0,13.0,12.0,9.0,15.0,10.0,16.0,17.0,20.0,18.0,19.0,22.0,21.0
4503,0.0,2.0,1.0,3.0,4.0,15.0,5.0,8.0,7.0,6.0,12.0,14.0,13.0,10.0,9.0,11.0,16.0,17.0,18.0,20.0,19.0,22.0,21.0
4552,1.0,0.0,2.0,3.0,5.0,6.0,9.0,8.0,7.0,4.0,12.0,14.0,13.0,10.0,15.0,11.0,16.0,17.0,18.0,19.0,22.0,21.0,20.0
4601,0.0,1.0,2.0,4.0,5.0,7.0,14.0,6.0,13.0,3.0,10.0,11.0,12.0,8.0,15.0,9.0,17.0,16.0,18.0,20.0,19.0,22.0,21.0
4650,0.0,1.0,2.0,4.0,3.0,5.0,15.0,7.0,8.0,6.0,11.0,13.0,12.0,9.0,14.0,10.0,16.0,17.0,18.0,19.0,22.0,20.0,21.0
4699,2.0,0.0,1.0,4.0,3.0,6.0,14.0,8.0,7.0,5.0,11.0,13.0,12.0,9.0,15.0,10.0,18.0,16.0,17.0,19.0,21.0,22.0,20.0
4748,0.0,1.0,2.0,5.0,4.0,6.0,8.0,7.0,14.0,3.0,11.0,13.0,12.0,9.0,15.0,10.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4797,0.0,1.0,2.0,3.0,5.0,6.0,15.0,4.0,8.0,7.0,12.0,14.0,13.0,10.0,9.0,11.0,16.0,18.0,17.0,19.0,20.0,22.0,21.0
4846,0.0,1.0,2.0,3.0,7.0,5.0,10.0,8.0,6.0,4.0,13.0,15.0,14.0,11.0,9.0,12.0,16.0,17.0,18.0,19.0,21.0,22.0,20.0
4895,0.0,1.0,2.0,3.0,6.0,8.0,7.0,9.0,4.0,5.0,12.0,14.0,13.0,10.0,15.0,11.0,16.0,19.0,18.0,20.0,17.0,22.0,21.0
