,cytidine,pyroglutamic acid,2-deoxyadenosine,1-methylnicotinamide,pantothenate,acetylcholine,creatinine,hippurate,alpha-glycerophosphate,cis/trans-hydroxyproline,3-phosphoglycerate,beta-alanine,uracil,taurodeoxycholate,isocitrate,guanosine,urate,alpha-glycerophosphocholine,valerylcarnitine,C16:0 LPE,serotonin,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,N-carbamoyl-beta-alanine,uridine,sarcosine,2-deoxycytidine,C36:1 DAG,C22:6 CE,GABA
1692,19.0,21.0,3.0,18.0,22.0,11.0,30.0,2.0,35.0,13.0,14.0,15.0,38.0,23.0,20.0,37.0,6.0,24.0,51.0,43.0,42.0,45.0,9.0,27.0,10.0,31.0,36.0,32.0,17.0,16.0
1741,6.0,42.0,2.0,13.0,23.0,5.0,0.0,58.0,16.0,14.0,35.0,62.0,31.0,11.0,17.0,45.0,10.0,61.0,12.0,26.0,28.0,30.0,39.0,18.0,34.0,40.0,24.0,27.0,50.0,48.0
1790,25.0,39.0,34.0,16.0,27.0,9.0,1.0,5.0,29.0,7.0,24.0,17.0,54.0,59.0,2.0,45.0,19.0,40.0,13.0,31.0,18.0,63.0,44.0,52.0,55.0,28.0,47.0,36.0,53.0,49.0
1839,5.0,59.0,27.0,6.0,14.0,13.0,44.0,1.0,8.0,9.0,16.0,42.0,22.0,4.0,58.0,33.0,2.0,41.0,11.0,18.0,21.0,46.0,37.0,12.0,15.0,35.0,17.0,53.0,60.0,56.0
1888,26.0,5.0,55.0,17.0,15.0,30.0,6.0,1.0,22.0,9.0,8.0,14.0,52.0,50.0,51.0,49.0,2.0,24.0,21.0,16.0,25.0,10.0,19.0,38.0,61.0,32.0,18.0,57.0,42.0,37.0
1937,4.0,36.0,54.0,11.0,21.0,58.0,0.0,60.0,12.0,27.0,45.0,14.0,15.0,43.0,17.0,25.0,34.0,19.0,8.0,26.0,23.0,9.0,49.0,10.0,51.0,24.0,28.0,37.0,33.0,18.0
1986,34.0,29.0,10.0,7.0,17.0,52.0,59.0,39.0,4.0,18.0,6.0,3.0,16.0,28.0,13.0,1.0,61.0,14.0,22.0,8.0,55.0,2.0,42.0,11.0,24.0,30.0,27.0,40.0,63.0,25.0
2035,15.0,23.0,54.0,9.0,6.0,22.0,3.0,14.0,58.0,26.0,44.0,19.0,17.0,18.0,53.0,5.0,52.0,10.0,25.0,34.0,42.0,37.0,16.0,12.0,35.0,51.0,21.0,28.0,40.0,64.0
2084,27.0,5.0,2.0,7.0,6.0,66.0,4.0,45.0,12.0,18.0,22.0,44.0,14.0,50.0,33.0,3.0,15.0,11.0,21.0,25.0,31.0,24.0,41.0,19.0,43.0,46.0,23.0,29.0,20.0,17.0
2133,53.0,21.0,25.0,15.0,2.0,37.0,66.0,4.0,8.0,62.0,26.0,13.0,33.0,14.0,7.0,10.0,30.0,40.0,12.0,31.0,18.0,38.0,59.0,34.0,41.0,51.0,55.0,9.0,19.0,5.0
2182,8.0,27.0,0.0,30.0,5.0,12.0,6.0,39.0,4.0,33.0,16.0,21.0,37.0,3.0,9.0,66.0,2.0,44.0,59.0,25.0,35.0,1.0,41.0,55.0,60.0,11.0,18.0,14.0,15.0,28.0
2231,10.0,0.0,21.0,6.0,2.0,54.0,16.0,34.0,26.0,51.0,8.0,40.0,32.0,44.0,48.0,4.0,27.0,7.0,24.0,15.0,49.0,35.0,62.0,41.0,1.0,52.0,29.0,17.0,9.0,30.0
2280,44.0,1.0,29.0,6.0,13.0,31.0,26.0,3.0,12.0,59.0,14.0,28.0,15.0,2.0,46.0,7.0,53.0,9.0,11.0,27.0,23.0,8.0,30.0,52.0,51.0,34.0,25.0,10.0,60.0,45.0
