,hsa-miR-222,hsa-miR-34a,hsa-miR-223,hsa-miR-582-5p,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-135b,hsa-miR-584,hsa-miR-1252,hsa-miR-204,hsa-miR-30d,hsa-miR-616,hsa-miR-219-2-3p,hsa-miR-26a,hsa-miR-132,hsa-miR-383,hsa-miR-34c-5p,hsa-miR-662,hsa-miR-508-3p,hsa-miR-612,hsa-miR-574-5p,hsa-miR-2054,hsa-miR-298,hsa-miR-654-3p,hsa-miR-186,hsa-miR-205,hsa-miR-591,hsa-miR-10b,hsa-miR-412
555,0.0,1.0,2.0,3.0,4.0,14.0,35.0,9.0,15.0,7.0,8.0,12.0,10.0,18.0,34.0,25.0,11.0,5.0,45.0,20.0,17.0,16.0,51.0,65.0,54.0,27.0,42.0,61.0,157.0,36.0
604,0.0,1.0,2.0,3.0,9.0,4.0,7.0,8.0,21.0,19.0,10.0,5.0,17.0,25.0,48.0,6.0,11.0,20.0,24.0,27.0,26.0,18.0,74.0,12.0,97.0,31.0,149.0,51.0,57.0,15.0
653,1.0,0.0,2.0,3.0,5.0,7.0,21.0,4.0,15.0,12.0,8.0,9.0,19.0,33.0,29.0,16.0,14.0,6.0,89.0,31.0,13.0,18.0,48.0,20.0,32.0,34.0,76.0,146.0,45.0,11.0
702,0.0,1.0,2.0,3.0,4.0,7.0,23.0,34.0,12.0,11.0,8.0,5.0,27.0,25.0,22.0,15.0,6.0,9.0,10.0,18.0,13.0,68.0,28.0,40.0,69.0,31.0,44.0,89.0,150.0,29.0
751,0.0,1.0,3.0,7.0,2.0,6.0,13.0,4.0,20.0,11.0,8.0,24.0,14.0,26.0,27.0,15.0,18.0,10.0,17.0,50.0,16.0,12.0,57.0,40.0,79.0,65.0,91.0,33.0,63.0,9.0
800,1.0,0.0,2.0,5.0,10.0,11.0,9.0,3.0,25.0,7.0,6.0,4.0,76.0,49.0,26.0,13.0,22.0,14.0,81.0,66.0,18.0,8.0,90.0,24.0,109.0,15.0,40.0,67.0,175.0,48.0
849,0.0,1.0,3.0,4.0,2.0,5.0,8.0,6.0,27.0,7.0,11.0,12.0,54.0,34.0,28.0,10.0,22.0,9.0,51.0,33.0,26.0,15.0,86.0,19.0,46.0,45.0,53.0,98.0,50.0,16.0
898,0.0,3.0,2.0,4.0,1.0,9.0,13.0,6.0,12.0,29.0,8.0,7.0,17.0,14.0,36.0,20.0,10.0,5.0,34.0,16.0,30.0,15.0,44.0,25.0,79.0,19.0,131.0,55.0,135.0,11.0
947,0.0,2.0,1.0,3.0,6.0,4.0,7.0,5.0,16.0,37.0,14.0,9.0,17.0,29.0,15.0,12.0,11.0,10.0,32.0,31.0,26.0,8.0,66.0,38.0,64.0,33.0,30.0,36.0,119.0,21.0
996,1.0,2.0,6.0,0.0,3.0,17.0,8.0,4.0,26.0,11.0,19.0,27.0,7.0,9.0,10.0,5.0,21.0,14.0,24.0,13.0,12.0,38.0,31.0,87.0,30.0,15.0,28.0,40.0,73.0,16.0
1045,1.0,0.0,12.0,3.0,2.0,4.0,10.0,15.0,11.0,46.0,32.0,13.0,8.0,23.0,6.0,24.0,29.0,9.0,5.0,16.0,35.0,20.0,25.0,41.0,45.0,30.0,64.0,60.0,17.0,26.0
1094,0.0,1.0,5.0,2.0,3.0,30.0,4.0,12.0,6.0,14.0,13.0,20.0,31.0,8.0,24.0,52.0,18.0,15.0,10.0,21.0,43.0,23.0,22.0,33.0,48.0,36.0,27.0,76.0,39.0,59.0
1143,0.0,1.0,6.0,3.0,2.0,4.0,5.0,11.0,7.0,27.0,9.0,65.0,13.0,16.0,21.0,15.0,50.0,23.0,12.0,10.0,18.0,14.0,41.0,116.0,32.0,46.0,33.0,132.0,8.0,17.0
1192,0.0,1.0,10.0,2.0,3.0,4.0,5.0,14.0,28.0,7.0,48.0,38.0,29.0,22.0,11.0,9.0,36.0,19.0,6.0,12.0,26.0,42.0,31.0,32.0,77.0,37.0,107.0,33.0,16.0,41.0
1241,0.0,1.0,13.0,2.0,4.0,6.0,3.0,28.0,5.0,21.0,20.0,15.0,23.0,12.0,7.0,8.0,22.0,17.0,9.0,18.0,59.0,46.0,19.0,45.0,29.0,24.0,80.0,57.0,10.0,11.0
1290,0.0,3.0,5.0,1.0,2.0,10.0,4.0,70.0,6.0,14.0,18.0,34.0,23.0,8.0,7.0,11.0,28.0,27.0,25.0,44.0,13.0,67.0,19.0,54.0,17.0,55.0,16.0,32.0,21.0,24.0
1339,0.0,2.0,6.0,1.0,3.0,5.0,4.0,16.0,15.0,11.0,26.0,22.0,10.0,19.0,7.0,9.0,28.0,17.0,8.0,12.0,37.0,45.0,48.0,13.0,23.0,31.0,32.0,49.0,18.0,66.0
1388,0.0,2.0,10.0,3.0,1.0,5.0,4.0,7.0,12.0,6.0,30.0,16.0,38.0,29.0,36.0,18.0,15.0,24.0,28.0,11.0,19.0,51.0,17.0,88.0,8.0,48.0,37.0,32.0,13.0,20.0
1437,0.0,3.0,4.0,2.0,1.0,5.0,6.0,34.0,11.0,21.0,44.0,56.0,16.0,9.0,10.0,13.0,37.0,18.0,36.0,26.0,7.0,25.0,28.0,55.0,8.0,32.0,27.0,47.0,22.0,24.0
1486,1.0,0.0,3.0,4.0,2.0,6.0,16.0,46.0,5.0,22.0,28.0,40.0,11.0,14.0,7.0,9.0,75.0,73.0,19.0,8.0,58.0,26.0,18.0,108.0,21.0,89.0,42.0,23.0,97.0,29.0
1535,0.0,1.0,3.0,7.0,2.0,9.0,21.0,17.0,15.0,5.0,10.0,46.0,8.0,13.0,24.0,25.0,14.0,11.0,67.0,4.0,62.0,44.0,28.0,56.0,20.0,72.0,51.0,48.0,58.0,99.0
1584,0.0,1.0,4.0,3.0,2.0,49.0,30.0,19.0,5.0,37.0,7.0,22.0,10.0,17.0,26.0,6.0,95.0,38.0,39.0,9.0,40.0,11.0,15.0,87.0,33.0,50.0,48.0,56.0,116.0,89.0
1633,1.0,0.0,4.0,3.0,2.0,13.0,17.0,5.0,10.0,9.0,48.0,42.0,14.0,8.0,23.0,11.0,16.0,29.0,6.0,19.0,40.0,89.0,43.0,102.0,127.0,46.0,54.0,36.0,80.0,85.0
1682,0.0,1.0,5.0,3.0,2.0,15.0,18.0,13.0,4.0,12.0,27.0,54.0,6.0,8.0,22.0,17.0,29.0,47.0,16.0,10.0,28.0,53.0,9.0,81.0,71.0,56.0,34.0,37.0,86.0,49.0
1731,1.0,0.0,3.0,5.0,2.0,4.0,13.0,19.0,8.0,20.0,15.0,62.0,9.0,10.0,16.0,6.0,21.0,22.0,11.0,7.0,135.0,51.0,14.0,69.0,30.0,75.0,33.0,24.0,79.0,44.0
1780,1.0,0.0,3.0,4.0,2.0,6.0,36.0,16.0,5.0,24.0,12.0,22.0,7.0,17.0,18.0,31.0,19.0,8.0,9.0,10.0,13.0,43.0,11.0,21.0,72.0,123.0,35.0,25.0,138.0,107.0
1829,2.0,0.0,4.0,3.0,1.0,12.0,9.0,18.0,15.0,13.0,24.0,10.0,8.0,6.0,41.0,7.0,31.0,42.0,20.0,5.0,29.0,80.0,11.0,196.0,51.0,68.0,39.0,25.0,90.0,57.0
1878,1.0,3.0,4.0,2.0,0.0,7.0,16.0,20.0,9.0,5.0,65.0,27.0,8.0,13.0,10.0,14.0,40.0,37.0,58.0,11.0,64.0,52.0,17.0,159.0,56.0,32.0,18.0,45.0,34.0,66.0
1927,0.0,2.0,11.0,3.0,1.0,4.0,23.0,8.0,6.0,7.0,10.0,29.0,13.0,9.0,15.0,5.0,49.0,92.0,12.0,16.0,14.0,61.0,24.0,36.0,33.0,77.0,47.0,27.0,38.0,83.0
1976,0.0,2.0,5.0,1.0,3.0,31.0,7.0,8.0,10.0,4.0,39.0,9.0,18.0,13.0,11.0,32.0,50.0,63.0,108.0,65.0,35.0,85.0,12.0,75.0,24.0,19.0,23.0,33.0,30.0,74.0
2025,0.0,1.0,4.0,3.0,2.0,31.0,6.0,35.0,7.0,9.0,10.0,5.0,15.0,24.0,17.0,55.0,32.0,56.0,34.0,14.0,74.0,27.0,19.0,38.0,26.0,8.0,25.0,92.0,58.0,33.0
2074,0.0,4.0,2.0,1.0,3.0,19.0,14.0,25.0,12.0,7.0,24.0,5.0,6.0,80.0,41.0,9.0,79.0,11.0,30.0,43.0,63.0,20.0,28.0,84.0,61.0,10.0,68.0,40.0,15.0,35.0
2123,0.0,4.0,3.0,1.0,2.0,24.0,27.0,9.0,11.0,13.0,18.0,6.0,21.0,17.0,10.0,33.0,54.0,5.0,35.0,31.0,37.0,22.0,20.0,46.0,39.0,7.0,12.0,48.0,59.0,38.0
2172,1.0,0.0,3.0,2.0,6.0,10.0,17.0,4.0,18.0,12.0,16.0,8.0,32.0,24.0,11.0,27.0,81.0,22.0,15.0,28.0,31.0,119.0,29.0,21.0,53.0,13.0,9.0,127.0,42.0,23.0
2221,0.0,1.0,3.0,2.0,4.0,21.0,16.0,7.0,20.0,22.0,12.0,5.0,24.0,14.0,13.0,25.0,50.0,15.0,11.0,48.0,64.0,35.0,36.0,60.0,18.0,8.0,10.0,68.0,28.0,27.0
2270,0.0,6.0,7.0,1.0,3.0,25.0,16.0,5.0,2.0,9.0,26.0,4.0,13.0,30.0,10.0,31.0,61.0,8.0,21.0,33.0,27.0,20.0,18.0,76.0,81.0,15.0,37.0,24.0,48.0,45.0
2319,0.0,5.0,2.0,1.0,3.0,26.0,9.0,29.0,6.0,23.0,21.0,4.0,52.0,14.0,10.0,31.0,18.0,11.0,7.0,16.0,39.0,68.0,15.0,66.0,44.0,8.0,42.0,37.0,123.0,49.0
2368,0.0,2.0,3.0,1.0,4.0,19.0,12.0,5.0,13.0,14.0,27.0,8.0,33.0,11.0,15.0,52.0,156.0,7.0,22.0,55.0,18.0,130.0,24.0,59.0,25.0,20.0,9.0,58.0,121.0,90.0
2417,0.0,4.0,3.0,2.0,1.0,30.0,35.0,31.0,9.0,16.0,26.0,10.0,57.0,24.0,27.0,7.0,86.0,44.0,14.0,25.0,13.0,70.0,21.0,46.0,6.0,23.0,12.0,32.0,74.0,39.0
2466,0.0,1.0,11.0,4.0,2.0,5.0,26.0,19.0,18.0,3.0,32.0,15.0,12.0,8.0,21.0,7.0,10.0,13.0,38.0,59.0,20.0,70.0,28.0,16.0,56.0,45.0,53.0,17.0,37.0,69.0
2515,0.0,2.0,6.0,1.0,3.0,10.0,32.0,17.0,11.0,4.0,40.0,5.0,33.0,12.0,18.0,8.0,9.0,16.0,13.0,41.0,20.0,52.0,44.0,39.0,72.0,50.0,31.0,47.0,36.0,155.0
2564,0.0,1.0,3.0,8.0,6.0,2.0,44.0,23.0,14.0,4.0,5.0,9.0,19.0,15.0,16.0,21.0,12.0,17.0,27.0,26.0,7.0,46.0,24.0,13.0,56.0,36.0,31.0,20.0,34.0,118.0
2613,0.0,2.0,4.0,1.0,3.0,10.0,34.0,17.0,18.0,5.0,24.0,12.0,15.0,8.0,22.0,11.0,9.0,14.0,6.0,44.0,7.0,30.0,21.0,16.0,43.0,23.0,13.0,28.0,19.0,78.0
2662,0.0,3.0,8.0,1.0,2.0,6.0,18.0,28.0,12.0,4.0,16.0,7.0,19.0,11.0,15.0,32.0,10.0,46.0,9.0,71.0,14.0,21.0,26.0,5.0,62.0,31.0,35.0,29.0,30.0,79.0
2711,0.0,1.0,4.0,2.0,3.0,8.0,28.0,15.0,6.0,5.0,24.0,7.0,26.0,10.0,25.0,17.0,18.0,42.0,11.0,46.0,33.0,9.0,39.0,13.0,54.0,22.0,35.0,44.0,31.0,14.0
2760,1.0,0.0,4.0,3.0,2.0,7.0,31.0,17.0,26.0,5.0,8.0,11.0,16.0,18.0,19.0,24.0,9.0,95.0,10.0,54.0,13.0,22.0,23.0,6.0,28.0,75.0,21.0,20.0,12.0,124.0
2809,0.0,2.0,6.0,1.0,3.0,10.0,24.0,26.0,13.0,5.0,21.0,7.0,14.0,28.0,41.0,15.0,25.0,20.0,8.0,37.0,9.0,23.0,31.0,19.0,44.0,27.0,90.0,50.0,4.0,78.0
2858,0.0,1.0,9.0,3.0,7.0,4.0,13.0,40.0,12.0,10.0,31.0,5.0,11.0,15.0,16.0,8.0,6.0,26.0,2.0,41.0,24.0,21.0,25.0,17.0,81.0,37.0,20.0,22.0,14.0,30.0
2907,0.0,1.0,7.0,2.0,6.0,3.0,24.0,4.0,21.0,9.0,15.0,16.0,13.0,19.0,5.0,8.0,10.0,29.0,11.0,65.0,12.0,42.0,41.0,22.0,71.0,28.0,17.0,51.0,36.0,62.0
2956,0.0,5.0,3.0,4.0,2.0,9.0,1.0,7.0,6.0,11.0,16.0,8.0,24.0,12.0,25.0,13.0,15.0,21.0,19.0,10.0,112.0,17.0,14.0,87.0,64.0,23.0,42.0,18.0,47.0,50.0
3005,0.0,1.0,2.0,4.0,6.0,7.0,3.0,13.0,5.0,32.0,9.0,8.0,17.0,12.0,37.0,41.0,18.0,10.0,28.0,14.0,25.0,19.0,44.0,83.0,16.0,108.0,34.0,11.0,24.0,15.0
3054,0.0,4.0,3.0,13.0,5.0,2.0,1.0,7.0,12.0,19.0,8.0,6.0,64.0,9.0,40.0,52.0,31.0,38.0,34.0,11.0,15.0,25.0,28.0,33.0,16.0,36.0,14.0,10.0,21.0,24.0
3103,0.0,1.0,3.0,6.0,2.0,5.0,4.0,12.0,10.0,9.0,17.0,19.0,15.0,8.0,18.0,16.0,7.0,28.0,24.0,14.0,11.0,38.0,29.0,25.0,27.0,36.0,53.0,20.0,39.0,26.0
3152,0.0,4.0,3.0,2.0,7.0,5.0,1.0,6.0,12.0,22.0,59.0,14.0,10.0,11.0,8.0,9.0,17.0,21.0,15.0,37.0,24.0,45.0,20.0,54.0,19.0,44.0,23.0,13.0,38.0,16.0
3201,0.0,1.0,5.0,2.0,9.0,6.0,3.0,4.0,11.0,44.0,7.0,18.0,15.0,12.0,8.0,26.0,16.0,51.0,24.0,28.0,10.0,19.0,23.0,36.0,17.0,27.0,22.0,14.0,38.0,54.0
3250,0.0,1.0,4.0,9.0,3.0,5.0,2.0,6.0,11.0,32.0,13.0,10.0,33.0,7.0,8.0,18.0,37.0,112.0,34.0,27.0,51.0,22.0,29.0,12.0,17.0,14.0,16.0,31.0,42.0,30.0
3299,0.0,1.0,3.0,5.0,9.0,8.0,4.0,2.0,7.0,13.0,6.0,10.0,16.0,14.0,17.0,82.0,20.0,33.0,187.0,22.0,44.0,29.0,41.0,21.0,26.0,34.0,19.0,25.0,37.0,18.0
3348,0.0,1.0,3.0,4.0,5.0,11.0,2.0,6.0,8.0,24.0,12.0,10.0,16.0,7.0,13.0,18.0,15.0,41.0,80.0,17.0,26.0,56.0,19.0,36.0,9.0,21.0,47.0,29.0,37.0,32.0
3397,1.0,0.0,4.0,2.0,5.0,24.0,3.0,10.0,6.0,36.0,13.0,25.0,27.0,26.0,8.0,16.0,17.0,54.0,14.0,18.0,15.0,66.0,52.0,11.0,32.0,46.0,29.0,44.0,7.0,21.0
3446,0.0,1.0,3.0,2.0,9.0,5.0,8.0,4.0,6.0,24.0,7.0,16.0,11.0,25.0,18.0,40.0,27.0,20.0,10.0,57.0,15.0,36.0,42.0,17.0,23.0,51.0,22.0,52.0,14.0,41.0
3495,0.0,1.0,2.0,6.0,3.0,8.0,10.0,18.0,5.0,27.0,9.0,17.0,7.0,14.0,16.0,34.0,36.0,12.0,11.0,35.0,4.0,24.0,50.0,13.0,28.0,21.0,15.0,22.0,26.0,25.0
3544,0.0,2.0,3.0,1.0,7.0,10.0,14.0,9.0,5.0,32.0,8.0,17.0,21.0,13.0,15.0,62.0,45.0,39.0,12.0,19.0,6.0,35.0,30.0,33.0,11.0,16.0,4.0,27.0,24.0,47.0
3593,0.0,2.0,1.0,3.0,9.0,5.0,12.0,11.0,6.0,61.0,10.0,17.0,18.0,24.0,8.0,27.0,20.0,13.0,26.0,33.0,14.0,30.0,101.0,43.0,21.0,64.0,7.0,48.0,22.0,25.0
3642,0.0,1.0,2.0,3.0,6.0,11.0,21.0,5.0,9.0,15.0,4.0,10.0,12.0,20.0,16.0,44.0,45.0,29.0,77.0,24.0,42.0,14.0,55.0,18.0,13.0,34.0,57.0,81.0,8.0,35.0
3691,0.0,1.0,9.0,2.0,5.0,6.0,19.0,3.0,4.0,24.0,7.0,17.0,12.0,22.0,14.0,29.0,30.0,15.0,11.0,40.0,8.0,13.0,43.0,27.0,16.0,49.0,20.0,18.0,10.0,51.0
3740,0.0,1.0,5.0,2.0,4.0,8.0,18.0,3.0,6.0,25.0,11.0,32.0,27.0,38.0,12.0,21.0,35.0,43.0,7.0,36.0,54.0,68.0,130.0,33.0,26.0,46.0,16.0,24.0,31.0,15.0
3789,0.0,2.0,3.0,1.0,7.0,6.0,14.0,12.0,4.0,22.0,5.0,19.0,18.0,17.0,15.0,26.0,46.0,36.0,10.0,24.0,9.0,44.0,31.0,8.0,30.0,43.0,27.0,32.0,11.0,20.0
3838,0.0,3.0,2.0,1.0,10.0,7.0,9.0,8.0,4.0,26.0,6.0,18.0,17.0,23.0,14.0,43.0,19.0,11.0,22.0,21.0,16.0,15.0,72.0,20.0,27.0,12.0,34.0,90.0,5.0,61.0
3887,0.0,2.0,1.0,6.0,7.0,5.0,9.0,4.0,3.0,25.0,11.0,12.0,15.0,30.0,51.0,19.0,17.0,18.0,8.0,21.0,14.0,27.0,72.0,31.0,41.0,53.0,35.0,28.0,20.0,44.0
3936,0.0,2.0,7.0,5.0,1.0,12.0,4.0,6.0,21.0,37.0,54.0,28.0,25.0,14.0,33.0,15.0,13.0,20.0,8.0,35.0,78.0,10.0,51.0,135.0,29.0,11.0,36.0,26.0,154.0,9.0
3985,0.0,1.0,7.0,5.0,4.0,3.0,9.0,6.0,14.0,22.0,52.0,21.0,43.0,28.0,18.0,11.0,19.0,10.0,2.0,33.0,16.0,23.0,53.0,59.0,12.0,27.0,71.0,17.0,35.0,20.0
4034,0.0,1.0,2.0,6.0,3.0,5.0,4.0,12.0,25.0,31.0,23.0,30.0,10.0,13.0,20.0,14.0,15.0,16.0,8.0,57.0,18.0,22.0,70.0,45.0,19.0,27.0,33.0,72.0,24.0,7.0
4083,0.0,1.0,3.0,4.0,5.0,6.0,2.0,20.0,8.0,32.0,18.0,15.0,28.0,10.0,38.0,7.0,17.0,24.0,9.0,21.0,82.0,12.0,92.0,126.0,33.0,26.0,102.0,35.0,22.0,13.0
4132,0.0,1.0,2.0,10.0,3.0,4.0,6.0,7.0,17.0,30.0,27.0,12.0,21.0,11.0,46.0,22.0,37.0,8.0,13.0,29.0,33.0,20.0,63.0,90.0,9.0,28.0,100.0,32.0,55.0,31.0
4181,0.0,1.0,3.0,16.0,2.0,10.0,4.0,28.0,13.0,25.0,18.0,24.0,20.0,15.0,14.0,38.0,7.0,11.0,31.0,21.0,34.0,5.0,69.0,68.0,6.0,29.0,97.0,12.0,43.0,9.0
4230,1.0,0.0,3.0,4.0,2.0,14.0,5.0,10.0,7.0,6.0,29.0,21.0,8.0,20.0,70.0,18.0,17.0,23.0,27.0,24.0,111.0,25.0,73.0,163.0,15.0,46.0,58.0,33.0,19.0,13.0
4279,0.0,1.0,2.0,4.0,3.0,5.0,17.0,29.0,20.0,12.0,16.0,22.0,15.0,7.0,23.0,18.0,28.0,21.0,11.0,14.0,60.0,19.0,47.0,50.0,8.0,39.0,26.0,34.0,31.0,9.0
4328,0.0,1.0,8.0,7.0,3.0,5.0,4.0,12.0,13.0,35.0,9.0,38.0,25.0,21.0,11.0,10.0,17.0,24.0,2.0,30.0,47.0,31.0,55.0,40.0,16.0,32.0,39.0,28.0,33.0,15.0
4377,1.0,0.0,3.0,9.0,2.0,19.0,45.0,25.0,27.0,11.0,33.0,52.0,28.0,18.0,7.0,5.0,24.0,13.0,26.0,12.0,8.0,29.0,73.0,70.0,6.0,54.0,10.0,47.0,53.0,30.0
4426,1.0,2.0,3.0,0.0,4.0,30.0,36.0,8.0,5.0,6.0,9.0,18.0,84.0,19.0,22.0,17.0,37.0,39.0,24.0,21.0,101.0,82.0,63.0,10.0,97.0,80.0,13.0,76.0,7.0,32.0
4475,0.0,1.0,4.0,2.0,10.0,5.0,15.0,3.0,9.0,11.0,8.0,16.0,92.0,19.0,25.0,21.0,44.0,88.0,17.0,36.0,130.0,34.0,49.0,7.0,93.0,41.0,23.0,53.0,14.0,90.0
4524,0.0,1.0,3.0,10.0,9.0,13.0,4.0,2.0,6.0,7.0,15.0,5.0,41.0,22.0,57.0,31.0,18.0,38.0,125.0,21.0,114.0,73.0,36.0,14.0,54.0,68.0,17.0,40.0,12.0,44.0
4573,0.0,1.0,6.0,3.0,8.0,28.0,9.0,5.0,2.0,10.0,7.0,4.0,67.0,20.0,40.0,16.0,30.0,112.0,50.0,17.0,93.0,29.0,26.0,21.0,172.0,32.0,19.0,65.0,36.0,35.0
4622,0.0,1.0,4.0,2.0,10.0,57.0,17.0,3.0,5.0,7.0,12.0,6.0,64.0,11.0,15.0,13.0,41.0,23.0,30.0,27.0,88.0,35.0,45.0,69.0,70.0,53.0,21.0,54.0,50.0,89.0
4671,0.0,1.0,6.0,2.0,4.0,27.0,7.0,3.0,8.0,9.0,11.0,5.0,39.0,33.0,13.0,51.0,22.0,173.0,18.0,55.0,105.0,36.0,24.0,20.0,69.0,31.0,44.0,77.0,41.0,38.0
4720,1.0,0.0,4.0,2.0,3.0,18.0,9.0,11.0,12.0,8.0,5.0,7.0,98.0,49.0,27.0,20.0,30.0,45.0,63.0,15.0,156.0,93.0,68.0,32.0,51.0,126.0,60.0,35.0,14.0,48.0
4769,0.0,1.0,3.0,2.0,9.0,25.0,26.0,10.0,4.0,7.0,8.0,6.0,75.0,11.0,102.0,13.0,12.0,31.0,55.0,15.0,124.0,77.0,29.0,38.0,98.0,43.0,19.0,48.0,30.0,92.0
4818,0.0,1.0,4.0,2.0,5.0,11.0,18.0,3.0,7.0,9.0,6.0,8.0,89.0,24.0,99.0,32.0,17.0,35.0,14.0,13.0,81.0,44.0,103.0,28.0,65.0,56.0,20.0,102.0,22.0,59.0
4867,0.0,1.0,4.0,2.0,9.0,11.0,37.0,3.0,5.0,6.0,8.0,7.0,108.0,55.0,20.0,76.0,33.0,21.0,39.0,36.0,16.0,24.0,43.0,12.0,113.0,91.0,28.0,57.0,10.0,92.0
