,NUPR1,DOCK1,TAF8,RP11-345K20.2,EEF1A2,CELF2-AS1,SLC4A3,RUFY2,HSBP1,FLNA,AGAP2,C17orf53,SH3BP4,YWHAQ,RP11-875O11.1,MTMR14,KLF13,WASL,CCNDBP1,AC117395.1,SLC35D2,BTN2A1,MRPS31P5,MRPS18B,C9orf116,CCL3,SMYD2,RP11-388C12.8,B4GALNT4,UBASH3B
1530,1.0,2.0,0.0,28.0,98.0,171.0,4.0,88.0,620.0,285.0,6550.0,10228.0,36.0,16850.0,18752.0,12712.0,405.0,22535.0,92.0,86.0,20255.0,705.0,175.0,12.0,593.0,129.0,17940.0,133.0,21.0,629.0
1579,1.0,140.0,14.0,45.0,130.0,131.0,676.0,3.0,11150.0,8970.0,84.0,406.0,13707.0,177.0,15.0,90.0,3745.0,230.0,40.0,55.0,337.0,21263.0,231.0,8.0,327.0,223.0,17942.0,92.0,609.0,6526.0
1628,2.0,174.0,17.0,8.0,33.0,4.0,13607.0,11.0,115.0,173.0,32.0,40.0,47.0,79.0,21.0,287.0,59.0,31.0,124.0,43.0,10.0,19.0,145.0,0.0,554.0,48.0,70.0,12412.0,19738.0,398.0
1677,1.0,6.0,26.0,55.0,204.0,78.0,235.0,3.0,248.0,5886.0,5908.0,12103.0,101.0,16825.0,479.0,548.0,108.0,320.0,39.0,116.0,319.0,211.0,94.0,20.0,268.0,121.0,164.0,124.0,18.0,3680.0
1726,0.0,16.0,13.0,23.0,63.0,42.0,14.0,3.0,122.0,72.0,50.0,811.0,13667.0,2.0,1.0,12758.0,56.0,15.0,227.0,14643.0,462.0,234.0,133.0,4.0,36.0,83.0,394.0,166.0,12.0,5234.0
1775,9.0,0.0,21125.0,28.0,3.0,64.0,51.0,4.0,24.0,115.0,6.0,10249.0,63.0,144.0,2.0,247.0,338.0,165.0,39.0,37.0,164.0,140.0,116.0,5.0,2793.0,104.0,17807.0,103.0,14.0,22.0
1824,4.0,1.0,26.0,36.0,2.0,9.0,182.0,72.0,10115.0,75.0,480.0,3040.0,108.0,19.0,8.0,12718.0,138.0,179.0,6.0,14600.0,23.0,111.0,156.0,42.0,233.0,106.0,17930.0,261.0,25.0,5872.0
1873,7.0,0.0,34.0,20.0,4.0,42.0,13549.0,19626.0,132.0,44.0,3.0,2.0,67.0,52.0,97.0,263.0,248.0,164.0,31.0,14832.0,17.0,120.0,98.0,5.0,20573.0,91.0,134.0,145.0,11.0,4687.0
1922,44.0,6.0,0.0,26.0,146.0,13.0,1478.0,1.0,11181.0,433.0,25.0,10224.0,53.0,2.0,18756.0,12710.0,3617.0,40.0,48.0,69.0,20252.0,432.0,247.0,5.0,892.0,70.0,226.0,237.0,19678.0,6684.0
1971,8.0,224.0,16.0,34.0,3.0,6.0,32.0,146.0,11171.0,30.0,59.0,2.0,140.0,28.0,150.0,12768.0,291.0,292.0,1800.0,14858.0,373.0,297.0,5975.0,341.0,139.0,10388.0,661.0,554.0,852.0,49.0
2020,233.0,15.0,240.0,58.0,4.0,25.0,78.0,215.0,197.0,18.0,274.0,7.0,186.0,17737.0,11.0,12773.0,20.0,206.0,289.0,14862.0,20247.0,440.0,170.0,336.0,41.0,433.0,323.0,8.0,410.0,60.0
2069,565.0,5.0,12.0,35.0,1.0,16.0,62.0,18.0,227.0,8970.0,2542.0,717.0,417.0,16827.0,0.0,338.0,3641.0,22490.0,282.0,40.0,418.0,111.0,7049.0,21294.0,49.0,89.0,168.0,145.0,19683.0,6189.0
2118,102.0,79.0,74.0,37.0,256.0,13.0,91.0,104.0,77.0,219.0,216.0,145.0,223.0,17289.0,9.0,12766.0,272.0,22505.0,692.0,8.0,202.0,459.0,110.0,114.0,63.0,515.0,300.0,14.0,19704.0,208.0
2167,223.0,888.0,27.0,19597.0,119.0,0.0,89.0,7.0,11178.0,12.0,243.0,5.0,381.0,17635.0,19209.0,12793.0,698.0,22471.0,146.0,204.0,20244.0,378.0,448.0,21350.0,20578.0,374.0,520.0,124.0,19689.0,306.0
2216,4.0,405.0,21126.0,54.0,15.0,44.0,147.0,221.0,316.0,122.0,229.0,437.0,354.0,439.0,2643.0,12753.0,461.0,22464.0,645.0,14809.0,511.0,21229.0,514.0,2.0,177.0,10386.0,50.0,192.0,3031.0,185.0
2265,10.0,254.0,129.0,17.0,57.0,6.0,4.0,3.0,87.0,8963.0,72.0,354.0,249.0,14.0,70.0,222.0,255.0,454.0,4401.0,95.0,20250.0,120.0,5948.0,266.0,236.0,10405.0,292.0,138.0,19676.0,131.0
2314,11152.0,9.0,51.0,50.0,7.0,6.0,36.0,2.0,146.0,0.0,178.0,527.0,13726.0,218.0,2377.0,149.0,163.0,22506.0,4138.0,119.0,253.0,567.0,41.0,144.0,193.0,221.0,12.0,16.0,19740.0,121.0
2363,21.0,4.0,35.0,12.0,13.0,5.0,1.0,15.0,11108.0,52.0,5587.0,0.0,86.0,279.0,3.0,1493.0,131.0,129.0,108.0,40.0,55.0,308.0,130.0,393.0,54.0,46.0,273.0,16.0,465.0,161.0
2412,221.0,19717.0,6.0,58.0,7730.0,4.0,46.0,11.0,140.0,53.0,2333.0,552.0,219.0,1.0,196.0,0.0,259.0,371.0,78.0,260.0,561.0,21264.0,289.0,601.0,20585.0,406.0,93.0,236.0,44.0,4600.0
2461,1.0,7.0,28.0,29.0,17.0,10.0,1486.0,11.0,82.0,156.0,70.0,9.0,18.0,5.0,724.0,12.0,158.0,88.0,227.0,169.0,83.0,431.0,89.0,95.0,149.0,61.0,157.0,10787.0,258.0,45.0
2510,5.0,4.0,3.0,33.0,31.0,8.0,10.0,6.0,24.0,6038.0,7216.0,2.0,45.0,181.0,18750.0,1.0,81.0,115.0,158.0,182.0,71.0,567.0,59.0,99.0,30.0,69.0,17940.0,179.0,60.0,5615.0
2559,0.0,4.0,39.0,21.0,76.0,69.0,703.0,47.0,91.0,1665.0,5634.0,2.0,97.0,42.0,22124.0,65.0,68.0,235.0,99.0,25.0,80.0,269.0,29.0,12.0,121.0,19.0,96.0,277.0,191.0,249.0
2608,0.0,1.0,3.0,20.0,74.0,23.0,13639.0,19528.0,125.0,8950.0,5778.0,4.0,28.0,16846.0,19207.0,8.0,193.0,13.0,44.0,110.0,24.0,233.0,30.0,9.0,20566.0,54.0,139.0,136.0,35.0,258.0
2657,0.0,1.0,2.0,24.0,7.0,20.0,13559.0,151.0,46.0,206.0,7346.0,9.0,25.0,79.0,18750.0,127.0,4969.0,66.0,38.0,207.0,60.0,1493.0,53.0,309.0,68.0,128.0,377.0,22.0,23.0,11.0
2706,5.0,6.0,18.0,9.0,51.0,21.0,13595.0,187.0,65.0,103.0,6882.0,2.0,42.0,84.0,19224.0,0.0,24.0,117.0,55.0,206.0,152.0,166.0,100.0,21292.0,141.0,12.0,17817.0,239.0,14.0,63.0
2755,1.0,3.0,2.0,24.0,91.0,29.0,18.0,72.0,42.0,123.0,6571.0,4.0,66.0,5.0,19207.0,14.0,232.0,151.0,75.0,14823.0,41.0,356.0,104.0,69.0,74.0,98.0,133.0,226.0,200.0,135.0
2804,2.0,1.0,35.0,49.0,100.0,37.0,13625.0,460.0,63.0,8942.0,6378.0,3.0,276.0,6.0,8.0,0.0,2964.0,22497.0,180.0,14852.0,241.0,350.0,116.0,21286.0,20530.0,1329.0,17823.0,254.0,395.0,28.0
2853,2.0,0.0,3.0,39.0,15.0,14.0,671.0,5.0,127.0,8919.0,6440.0,16.0,76.0,11.0,19196.0,13.0,146.0,80.0,20.0,14588.0,117.0,120.0,33.0,93.0,41.0,65.0,128.0,132.0,8.0,34.0
2902,2.0,0.0,1.0,139.0,20.0,122.0,7.0,10.0,156.0,103.0,6557.0,22.0,321.0,172.0,611.0,13.0,354.0,320.0,100.0,254.0,270.0,164.0,104.0,121.0,317.0,216.0,2948.0,31.0,4.0,406.0
2951,24.0,9.0,4.0,27.0,20.0,43.0,223.0,7.0,90.0,21.0,46.0,168.0,260.0,0.0,2.0,246.0,38.0,87.0,219.0,92.0,194.0,112.0,441.0,393.0,294.0,119.0,17944.0,145.0,1.0,3846.0
3000,0.0,8.0,158.0,2.0,7706.0,70.0,13611.0,16.0,11124.0,89.0,60.0,10214.0,141.0,3.0,69.0,362.0,88.0,109.0,253.0,14624.0,231.0,17.0,202.0,500.0,184.0,65.0,182.0,71.0,151.0,4604.0
3049,155.0,0.0,15.0,11.0,192.0,31.0,1.0,6.0,484.0,42.0,6766.0,11335.0,65.0,143.0,19167.0,21.0,97.0,131.0,172.0,406.0,53.0,87.0,146.0,320.0,204.0,135.0,27.0,168.0,13.0,5587.0
3098,10752.0,1.0,9.0,12.0,262.0,58.0,6.0,8.0,269.0,97.0,50.0,232.0,108.0,37.0,75.0,0.0,278.0,107.0,27.0,14909.0,78.0,94.0,197.0,21343.0,70.0,145.0,253.0,148.0,4.0,4584.0
3147,6.0,2.0,15.0,32.0,268.0,92.0,2118.0,1.0,218.0,6592.0,30.0,11952.0,172.0,0.0,18751.0,17.0,104.0,64.0,99.0,155.0,206.0,8.0,591.0,21281.0,20603.0,146.0,122.0,245.0,3.0,5385.0
3196,80.0,4.0,15.0,119.0,5.0,18.0,3.0,1.0,20.0,195.0,48.0,12510.0,13714.0,0.0,8.0,12725.0,114.0,6.0,205.0,154.0,323.0,16.0,337.0,308.0,20591.0,216.0,2210.0,110.0,14.0,5526.0
3245,1.0,13.0,47.0,37.0,10.0,24.0,61.0,22.0,11149.0,129.0,6498.0,10231.0,13698.0,0.0,35.0,777.0,19.0,120.0,141.0,14840.0,151.0,112.0,330.0,1836.0,195.0,221.0,17811.0,163.0,76.0,4647.0
3294,160.0,6.0,1.0,5.0,9.0,18.0,4.0,11.0,38.0,6074.0,42.0,487.0,94.0,0.0,86.0,75.0,17.0,108.0,127.0,40.0,530.0,173.0,3972.0,21312.0,144.0,114.0,395.0,420.0,56.0,172.0
3343,243.0,0.0,15.0,19.0,57.0,40.0,10.0,333.0,10664.0,75.0,37.0,234.0,23.0,1.0,151.0,11.0,48.0,71.0,62.0,216.0,82.0,21205.0,196.0,21283.0,2899.0,96.0,21.0,198.0,65.0,5524.0
3392,2.0,7.0,5.0,12.0,10.0,29.0,409.0,424.0,65.0,94.0,23.0,11.0,123.0,1.0,8.0,361.0,51.0,46.0,207.0,201.0,77.0,6.0,100.0,21267.0,179.0,144.0,22.0,250.0,0.0,262.0
3441,1.0,8.0,7.0,2.0,56.0,10.0,66.0,156.0,81.0,78.0,105.0,9.0,317.0,348.0,5.0,12735.0,49.0,74.0,610.0,14804.0,172.0,55.0,311.0,43.0,262.0,34.0,147.0,258.0,19.0,22.0
3490,379.0,241.0,557.0,15.0,377.0,27.0,13596.0,714.0,11045.0,11.0,116.0,155.0,547.0,16873.0,6.0,8.0,370.0,300.0,270.0,14652.0,13.0,1098.0,6660.0,177.0,373.0,209.0,369.0,11469.0,19719.0,18.0
3539,140.0,8.0,962.0,18.0,170.0,37.0,13616.0,88.0,186.0,8959.0,16.0,11.0,13696.0,16823.0,55.0,372.0,91.0,123.0,3857.0,14838.0,81.0,193.0,231.0,94.0,282.0,110.0,17815.0,71.0,19668.0,4688.0
3588,3.0,2.0,22038.0,149.0,109.0,90.0,15.0,403.0,65.0,126.0,130.0,4.0,13636.0,306.0,5.0,268.0,4356.0,106.0,3734.0,287.0,194.0,21195.0,27.0,568.0,734.0,434.0,17934.0,324.0,19693.0,7.0
3637,10.0,0.0,90.0,22.0,140.0,67.0,55.0,16.0,137.0,62.0,13.0,93.0,171.0,109.0,4.0,5.0,61.0,36.0,206.0,14817.0,48.0,239.0,186.0,117.0,20554.0,144.0,106.0,351.0,19657.0,122.0
3686,4.0,0.0,21166.0,37.0,16.0,56.0,73.0,123.0,843.0,43.0,6510.0,332.0,142.0,17743.0,1.0,7.0,213.0,66.0,349.0,30.0,131.0,27.0,103.0,58.0,20561.0,99.0,25.0,1968.0,19678.0,4691.0
3735,0.0,301.0,21145.0,9.0,27.0,42.0,46.0,1.0,11132.0,162.0,139.0,7.0,91.0,16827.0,18754.0,6.0,50.0,17.0,277.0,115.0,104.0,112.0,234.0,21293.0,272.0,161.0,116.0,246.0,19731.0,15.0
3784,0.0,15.0,3035.0,9.0,7.0,48.0,481.0,56.0,24.0,106.0,7217.0,216.0,351.0,5.0,3.0,286.0,273.0,99.0,161.0,111.0,127.0,191.0,220.0,40.0,425.0,353.0,17938.0,183.0,13.0,645.0
3833,0.0,272.0,32.0,10.0,286.0,59.0,41.0,19519.0,188.0,283.0,6564.0,15.0,252.0,16793.0,69.0,29.0,393.0,4.0,761.0,14622.0,21.0,21263.0,77.0,71.0,105.0,10402.0,214.0,187.0,19679.0,54.0
3882,12.0,258.0,21106.0,19.0,193.0,103.0,13619.0,54.0,138.0,8.0,6507.0,242.0,359.0,140.0,134.0,14.0,4041.0,5.0,552.0,14851.0,150.0,21271.0,1.0,99.0,553.0,80.0,21.0,431.0,33.0,41.0
3931,1.0,14.0,9.0,52.0,203.0,101.0,42.0,6.0,26.0,106.0,141.0,480.0,226.0,5.0,174.0,12711.0,337.0,22539.0,77.0,339.0,733.0,228.0,38.0,254.0,143.0,173.0,113.0,12375.0,248.0,90.0
3980,276.0,0.0,64.0,368.0,103.0,21.0,23.0,1.0,32.0,16.0,67.0,437.0,1104.0,9.0,153.0,12744.0,121.0,97.0,24.0,98.0,246.0,79.0,5954.0,178.0,118.0,854.0,198.0,59.0,91.0,55.0
4029,3.0,2.0,0.0,36.0,17.0,37.0,24.0,1.0,8.0,78.0,60.0,9.0,13704.0,6.0,14.0,7.0,122.0,102.0,96.0,5.0,154.0,21246.0,6151.0,394.0,227.0,68.0,101.0,200.0,180.0,93.0
4078,21.0,5.0,83.0,20.0,88.0,14.0,42.0,0.0,32.0,48.0,6581.0,318.0,120.0,59.0,19156.0,200.0,78.0,232.0,106.0,62.0,193.0,10.0,274.0,269.0,41.0,923.0,17814.0,242.0,47.0,255.0
4127,10733.0,1.0,41.0,38.0,9.0,91.0,17.0,3.0,23.0,15.0,70.0,10234.0,65.0,374.0,239.0,155.0,48.0,154.0,53.0,146.0,99.0,179.0,63.0,61.0,36.0,10383.0,190.0,307.0,135.0,2.0
4176,11135.0,7.0,3.0,34.0,84.0,26.0,2.0,0.0,19.0,6181.0,31.0,12219.0,73.0,15.0,170.0,125.0,29.0,150.0,53.0,6.0,109.0,275.0,190.0,1340.0,57.0,12418.0,17923.0,227.0,152.0,219.0
4225,4.0,7.0,1220.0,27.0,59.0,35.0,6.0,2.0,40.0,86.0,4860.0,10236.0,12.0,3.0,10.0,1.0,104.0,87.0,96.0,108.0,208.0,80.0,6971.0,126.0,176.0,102.0,229.0,270.0,123.0,5.0
4274,7.0,127.0,0.0,33.0,6.0,61.0,13608.0,3.0,44.0,8968.0,6505.0,10226.0,306.0,173.0,246.0,513.0,74.0,210.0,39.0,78.0,307.0,202.0,431.0,21347.0,32.0,159.0,287.0,40.0,14.0,2.0
4323,10.0,124.0,502.0,58.0,7764.0,213.0,138.0,9.0,2.0,14.0,27.0,916.0,127.0,3.0,352.0,12699.0,93.0,1738.0,43.0,14842.0,31.0,1468.0,341.0,158.0,20576.0,10380.0,125.0,375.0,73.0,52.0
4372,72.0,0.0,18.0,42.0,9.0,45.0,79.0,2.0,13.0,6371.0,66.0,174.0,223.0,4.0,18768.0,165.0,283.0,208.0,1.0,59.0,297.0,1446.0,3602.0,202.0,231.0,164.0,17829.0,17.0,93.0,12.0
4421,0.0,8.0,1.0,10.0,2.0,30.0,64.0,250.0,155.0,509.0,45.0,202.0,109.0,16811.0,132.0,13.0,15.0,407.0,3247.0,14850.0,110.0,21190.0,133.0,467.0,130.0,172.0,310.0,12365.0,19666.0,553.0
4470,4.0,2.0,33.0,47.0,7762.0,38.0,13561.0,511.0,48.0,56.0,0.0,7.0,75.0,80.0,19214.0,1.0,94.0,286.0,3121.0,14614.0,180.0,165.0,6607.0,21282.0,193.0,10414.0,144.0,12376.0,19664.0,1659.0
4519,3.0,18.0,2.0,144.0,50.0,15.0,215.0,19614.0,16.0,372.0,22.0,166.0,13652.0,16771.0,4.0,184.0,90.0,295.0,217.0,14598.0,20201.0,95.0,6999.0,21306.0,49.0,183.0,7.0,12346.0,632.0,1456.0
4568,5.0,0.0,8.0,110.0,1.0,12.0,13597.0,19635.0,94.0,326.0,48.0,4.0,13679.0,16791.0,14.0,16.0,210.0,266.0,270.0,24.0,348.0,67.0,618.0,164.0,1359.0,29.0,187.0,12446.0,51.0,297.0
4617,2.0,6.0,3.0,132.0,8.0,35.0,325.0,19530.0,329.0,181.0,38.0,26.0,13713.0,24.0,309.0,215.0,183.0,22539.0,310.0,14861.0,20246.0,110.0,7129.0,61.0,434.0,286.0,58.0,1195.0,19674.0,2564.0
4666,0.0,355.0,56.0,280.0,441.0,43.0,8.0,19629.0,12.0,187.0,6.0,2.0,13675.0,202.0,24.0,178.0,188.0,245.0,335.0,190.0,20246.0,47.0,598.0,21320.0,594.0,9953.0,17827.0,79.0,381.0,4549.0
4715,0.0,19658.0,7.0,196.0,5.0,47.0,89.0,19571.0,57.0,370.0,101.0,10.0,13651.0,16784.0,265.0,314.0,368.0,318.0,735.0,14796.0,256.0,170.0,7003.0,21282.0,20522.0,332.0,200.0,672.0,19772.0,232.0
4764,4.0,12.0,7.0,174.0,0.0,29.0,36.0,2114.0,58.0,121.0,16.0,5.0,13607.0,110.0,11.0,39.0,87.0,107.0,22.0,88.0,188.0,93.0,234.0,417.0,84.0,12449.0,343.0,1332.0,382.0,124.0
4813,2.0,220.0,13.0,106.0,1.0,16.0,75.0,19510.0,127.0,8948.0,11.0,10.0,13573.0,379.0,27.0,0.0,165.0,295.0,63.0,340.0,421.0,21262.0,5936.0,21355.0,122.0,10156.0,157.0,73.0,610.0,4649.0
4862,5.0,331.0,21150.0,441.0,6.0,55.0,179.0,19569.0,92.0,6170.0,62.0,1.0,13751.0,629.0,128.0,3018.0,123.0,589.0,325.0,14859.0,266.0,72.0,190.0,21365.0,20128.0,65.0,219.0,11479.0,19721.0,5922.0
