,Akt_pS473,RAD51,GATA3,PTEN,Chk1,Akt,CDK1,TFRC,Rab25,Chk1_pS345,PRAS40_pT246,p14 Arf(BetA300-340A),p62 Lck ligand,Notch1,Transglutaminase,MEK1_pS217_S221,IRS1,p27_pT157,c-Myc,VEGFR2,MAPK_pT202_Y204,E-Cadherin,4E-BP1_pT70,4E-BP1_pS65,PI3K-p110-alpha,MSH6,HER3,Bap1 c-4,Caveolin-1,4E-BP1_pT37_T46
2156,0.0,17.0,2.0,21.0,35.0,15.0,5.0,54.0,16.0,14.0,3.0,29.0,8.0,11.0,120.0,12.0,7.0,87.0,31.0,4.0,71.0,57.0,18.0,19.0,9.0,6.0,32.0,33.0,40.0,53.0
2205,0.0,2.0,8.0,4.0,11.0,36.0,9.0,47.0,18.0,163.0,22.0,16.0,19.0,7.0,12.0,15.0,1.0,59.0,35.0,30.0,143.0,26.0,74.0,51.0,5.0,10.0,14.0,79.0,104.0,33.0
2254,1.0,2.0,3.0,5.0,7.0,4.0,12.0,24.0,21.0,60.0,25.0,0.0,10.0,33.0,30.0,73.0,11.0,36.0,112.0,28.0,35.0,38.0,32.0,44.0,22.0,39.0,124.0,8.0,15.0,29.0
2303,0.0,2.0,4.0,37.0,29.0,48.0,42.0,40.0,33.0,20.0,7.0,13.0,8.0,14.0,9.0,51.0,41.0,36.0,23.0,143.0,77.0,19.0,50.0,5.0,6.0,10.0,24.0,136.0,35.0,64.0
2352,0.0,10.0,2.0,8.0,4.0,30.0,1.0,31.0,25.0,87.0,24.0,19.0,7.0,6.0,43.0,3.0,76.0,50.0,44.0,13.0,79.0,124.0,26.0,32.0,62.0,5.0,63.0,56.0,37.0,78.0
2401,1.0,0.0,2.0,42.0,3.0,4.0,15.0,18.0,41.0,67.0,27.0,10.0,24.0,11.0,50.0,82.0,40.0,8.0,56.0,51.0,68.0,63.0,57.0,20.0,34.0,22.0,7.0,12.0,5.0,13.0
2450,1.0,6.0,0.0,13.0,24.0,12.0,19.0,14.0,22.0,3.0,25.0,104.0,2.0,8.0,16.0,57.0,79.0,9.0,11.0,10.0,29.0,37.0,20.0,44.0,110.0,28.0,49.0,26.0,15.0,31.0
2499,1.0,3.0,0.0,20.0,44.0,2.0,85.0,6.0,94.0,13.0,68.0,66.0,4.0,22.0,55.0,17.0,71.0,15.0,18.0,39.0,50.0,75.0,19.0,14.0,108.0,11.0,60.0,159.0,26.0,12.0
2548,0.0,24.0,1.0,20.0,19.0,6.0,2.0,13.0,26.0,16.0,5.0,4.0,3.0,14.0,38.0,17.0,9.0,58.0,61.0,132.0,41.0,33.0,21.0,28.0,135.0,15.0,133.0,22.0,11.0,12.0
2597,0.0,105.0,1.0,28.0,33.0,3.0,107.0,10.0,11.0,6.0,7.0,5.0,2.0,24.0,52.0,134.0,16.0,37.0,35.0,39.0,50.0,73.0,9.0,84.0,30.0,75.0,31.0,70.0,90.0,15.0
2646,1.0,10.0,2.0,4.0,54.0,7.0,32.0,45.0,9.0,24.0,3.0,0.0,6.0,11.0,37.0,13.0,124.0,21.0,78.0,60.0,108.0,5.0,22.0,65.0,49.0,18.0,20.0,28.0,105.0,12.0
2695,0.0,22.0,1.0,7.0,106.0,2.0,151.0,24.0,64.0,5.0,30.0,15.0,35.0,3.0,13.0,4.0,71.0,65.0,11.0,62.0,76.0,98.0,82.0,14.0,94.0,56.0,40.0,26.0,59.0,42.0
2744,1.0,17.0,0.0,4.0,75.0,15.0,128.0,23.0,19.0,2.0,11.0,6.0,12.0,48.0,16.0,49.0,80.0,42.0,54.0,31.0,28.0,45.0,63.0,3.0,52.0,39.0,85.0,9.0,93.0,5.0
2793,1.0,3.0,0.0,7.0,42.0,34.0,68.0,20.0,38.0,97.0,10.0,25.0,28.0,47.0,4.0,9.0,26.0,35.0,15.0,61.0,13.0,18.0,107.0,101.0,73.0,24.0,62.0,23.0,72.0,5.0
2842,1.0,7.0,0.0,21.0,12.0,15.0,8.0,2.0,29.0,3.0,10.0,4.0,5.0,14.0,116.0,22.0,49.0,9.0,11.0,20.0,32.0,58.0,69.0,18.0,130.0,19.0,67.0,25.0,60.0,63.0
2891,1.0,8.0,0.0,2.0,17.0,9.0,74.0,6.0,25.0,5.0,16.0,3.0,12.0,19.0,35.0,30.0,22.0,143.0,37.0,14.0,65.0,47.0,24.0,71.0,110.0,7.0,59.0,20.0,26.0,10.0
2940,0.0,3.0,11.0,4.0,35.0,21.0,34.0,25.0,9.0,2.0,115.0,1.0,6.0,23.0,153.0,30.0,12.0,5.0,16.0,20.0,8.0,62.0,44.0,14.0,32.0,19.0,106.0,7.0,68.0,29.0
2989,0.0,7.0,9.0,1.0,26.0,34.0,94.0,4.0,29.0,15.0,20.0,3.0,8.0,62.0,118.0,19.0,11.0,27.0,13.0,87.0,6.0,132.0,156.0,41.0,33.0,123.0,122.0,99.0,116.0,115.0
3038,1.0,0.0,28.0,15.0,4.0,10.0,79.0,39.0,3.0,2.0,43.0,48.0,50.0,55.0,135.0,21.0,57.0,104.0,73.0,9.0,24.0,64.0,22.0,88.0,16.0,110.0,7.0,8.0,74.0,94.0
3087,0.0,7.0,8.0,1.0,70.0,4.0,10.0,3.0,38.0,2.0,112.0,23.0,29.0,101.0,164.0,32.0,6.0,51.0,28.0,21.0,93.0,14.0,12.0,19.0,15.0,144.0,77.0,100.0,113.0,50.0
3136,3.0,0.0,2.0,32.0,10.0,9.0,34.0,38.0,23.0,1.0,71.0,24.0,26.0,25.0,40.0,6.0,8.0,64.0,57.0,29.0,47.0,95.0,50.0,4.0,151.0,15.0,28.0,107.0,143.0,88.0
3185,8.0,0.0,3.0,12.0,7.0,11.0,4.0,5.0,2.0,1.0,138.0,43.0,24.0,51.0,72.0,40.0,56.0,22.0,35.0,38.0,31.0,27.0,137.0,62.0,110.0,37.0,15.0,32.0,10.0,92.0
3234,9.0,2.0,1.0,6.0,21.0,82.0,19.0,5.0,10.0,3.0,53.0,4.0,112.0,61.0,32.0,27.0,54.0,62.0,11.0,94.0,97.0,25.0,7.0,68.0,47.0,0.0,13.0,24.0,102.0,20.0
3283,1.0,0.0,6.0,55.0,9.0,5.0,24.0,3.0,8.0,2.0,35.0,58.0,29.0,67.0,64.0,22.0,86.0,27.0,19.0,41.0,49.0,51.0,69.0,50.0,120.0,57.0,65.0,12.0,105.0,146.0
3332,1.0,0.0,4.0,8.0,10.0,22.0,41.0,102.0,9.0,5.0,28.0,42.0,93.0,100.0,33.0,110.0,20.0,35.0,15.0,29.0,24.0,87.0,31.0,12.0,48.0,16.0,79.0,25.0,59.0,107.0
3381,0.0,4.0,1.0,5.0,18.0,31.0,15.0,6.0,32.0,2.0,44.0,14.0,8.0,140.0,81.0,30.0,13.0,16.0,24.0,85.0,147.0,50.0,35.0,7.0,34.0,56.0,79.0,58.0,40.0,33.0
3430,0.0,1.0,6.0,2.0,3.0,30.0,18.0,32.0,7.0,8.0,46.0,34.0,10.0,108.0,19.0,69.0,16.0,12.0,51.0,25.0,21.0,28.0,66.0,61.0,39.0,68.0,11.0,48.0,60.0,75.0
3479,0.0,7.0,1.0,10.0,2.0,15.0,4.0,21.0,16.0,6.0,23.0,13.0,3.0,66.0,28.0,106.0,22.0,29.0,67.0,112.0,18.0,36.0,8.0,154.0,40.0,25.0,74.0,42.0,39.0,34.0
3528,0.0,5.0,1.0,10.0,2.0,14.0,6.0,36.0,71.0,40.0,25.0,99.0,7.0,33.0,44.0,98.0,114.0,54.0,148.0,119.0,34.0,12.0,46.0,21.0,50.0,3.0,11.0,19.0,9.0,68.0
3577,1.0,3.0,2.0,12.0,0.0,6.0,4.0,18.0,16.0,27.0,135.0,9.0,43.0,107.0,26.0,19.0,35.0,52.0,74.0,143.0,83.0,15.0,57.0,42.0,118.0,85.0,102.0,49.0,10.0,33.0
3626,0.0,2.0,9.0,7.0,4.0,6.0,1.0,26.0,18.0,14.0,79.0,63.0,8.0,39.0,12.0,29.0,64.0,80.0,36.0,59.0,106.0,13.0,11.0,34.0,149.0,37.0,16.0,76.0,70.0,98.0
3675,1.0,2.0,3.0,8.0,5.0,0.0,24.0,70.0,35.0,18.0,142.0,43.0,4.0,80.0,30.0,108.0,9.0,34.0,26.0,53.0,48.0,46.0,121.0,45.0,81.0,16.0,13.0,14.0,82.0,124.0
3724,0.0,1.0,10.0,60.0,17.0,3.0,2.0,21.0,7.0,15.0,51.0,39.0,16.0,65.0,5.0,74.0,36.0,146.0,103.0,79.0,94.0,9.0,58.0,26.0,34.0,25.0,107.0,30.0,12.0,13.0
3773,0.0,3.0,1.0,30.0,11.0,4.0,2.0,13.0,48.0,44.0,80.0,106.0,50.0,23.0,100.0,18.0,67.0,140.0,90.0,25.0,7.0,17.0,69.0,24.0,144.0,47.0,12.0,14.0,61.0,122.0
3822,0.0,2.0,7.0,28.0,4.0,1.0,22.0,91.0,131.0,23.0,24.0,94.0,5.0,156.0,6.0,9.0,113.0,34.0,68.0,32.0,31.0,52.0,37.0,39.0,108.0,102.0,18.0,3.0,57.0,54.0
3871,0.0,44.0,1.0,13.0,38.0,2.0,11.0,51.0,18.0,31.0,3.0,146.0,73.0,36.0,35.0,127.0,22.0,77.0,26.0,21.0,5.0,12.0,17.0,84.0,23.0,78.0,20.0,46.0,6.0,42.0
3920,0.0,1.0,16.0,5.0,3.0,2.0,32.0,12.0,4.0,39.0,38.0,8.0,22.0,7.0,37.0,31.0,11.0,20.0,120.0,156.0,95.0,15.0,70.0,62.0,49.0,83.0,18.0,85.0,6.0,30.0
3969,0.0,1.0,7.0,2.0,4.0,12.0,3.0,63.0,10.0,13.0,16.0,45.0,15.0,49.0,14.0,101.0,5.0,129.0,39.0,62.0,18.0,118.0,92.0,93.0,152.0,67.0,60.0,57.0,53.0,27.0
4018,0.0,1.0,7.0,5.0,2.0,38.0,52.0,66.0,13.0,4.0,113.0,17.0,26.0,14.0,22.0,97.0,29.0,134.0,86.0,42.0,25.0,76.0,49.0,74.0,16.0,18.0,72.0,69.0,71.0,39.0
4067,0.0,4.0,1.0,2.0,53.0,25.0,11.0,18.0,31.0,19.0,68.0,75.0,34.0,43.0,12.0,88.0,32.0,3.0,86.0,35.0,58.0,29.0,74.0,22.0,41.0,5.0,10.0,76.0,13.0,17.0
4116,1.0,0.0,4.0,21.0,8.0,43.0,22.0,92.0,14.0,10.0,17.0,61.0,73.0,30.0,15.0,70.0,19.0,2.0,68.0,48.0,57.0,28.0,18.0,114.0,110.0,31.0,11.0,25.0,7.0,23.0
4165,0.0,15.0,8.0,6.0,26.0,3.0,2.0,32.0,1.0,50.0,29.0,82.0,116.0,7.0,13.0,52.0,19.0,17.0,109.0,9.0,47.0,51.0,35.0,41.0,54.0,95.0,46.0,71.0,89.0,86.0
4214,0.0,2.0,1.0,12.0,4.0,3.0,16.0,9.0,14.0,6.0,11.0,62.0,51.0,5.0,23.0,138.0,13.0,7.0,40.0,8.0,36.0,21.0,102.0,54.0,77.0,52.0,76.0,10.0,123.0,34.0
4263,2.0,1.0,0.0,16.0,6.0,17.0,7.0,12.0,3.0,10.0,29.0,20.0,31.0,18.0,14.0,131.0,5.0,15.0,72.0,74.0,30.0,21.0,43.0,91.0,87.0,109.0,60.0,92.0,26.0,59.0
4312,1.0,0.0,19.0,9.0,25.0,2.0,34.0,5.0,6.0,90.0,22.0,13.0,35.0,12.0,14.0,141.0,16.0,8.0,37.0,10.0,15.0,27.0,88.0,73.0,65.0,45.0,48.0,41.0,85.0,72.0
4361,0.0,3.0,1.0,21.0,43.0,4.0,25.0,7.0,2.0,12.0,18.0,20.0,13.0,16.0,23.0,81.0,8.0,9.0,32.0,17.0,14.0,112.0,116.0,122.0,19.0,10.0,42.0,55.0,51.0,60.0
4410,3.0,0.0,1.0,4.0,7.0,12.0,5.0,11.0,10.0,8.0,58.0,2.0,21.0,36.0,38.0,23.0,88.0,43.0,20.0,75.0,90.0,137.0,15.0,50.0,14.0,63.0,45.0,85.0,9.0,62.0
4459,0.0,1.0,101.0,12.0,14.0,18.0,2.0,4.0,6.0,13.0,17.0,3.0,95.0,106.0,29.0,33.0,96.0,35.0,53.0,24.0,73.0,51.0,8.0,15.0,19.0,71.0,60.0,42.0,10.0,9.0
4508,3.0,0.0,2.0,81.0,22.0,16.0,1.0,4.0,7.0,19.0,70.0,9.0,56.0,27.0,102.0,6.0,64.0,45.0,14.0,23.0,61.0,34.0,98.0,145.0,46.0,141.0,82.0,90.0,18.0,87.0
4557,0.0,1.0,8.0,19.0,9.0,12.0,3.0,11.0,13.0,18.0,29.0,7.0,28.0,50.0,48.0,22.0,93.0,30.0,16.0,35.0,25.0,113.0,20.0,132.0,24.0,119.0,36.0,163.0,2.0,80.0
4606,1.0,0.0,2.0,9.0,92.0,13.0,3.0,4.0,43.0,40.0,31.0,19.0,5.0,34.0,18.0,24.0,50.0,56.0,7.0,14.0,39.0,57.0,21.0,103.0,25.0,107.0,23.0,75.0,22.0,36.0
4655,3.0,0.0,2.0,10.0,33.0,14.0,1.0,48.0,5.0,38.0,88.0,32.0,58.0,102.0,55.0,11.0,105.0,87.0,17.0,12.0,45.0,117.0,4.0,18.0,22.0,62.0,91.0,15.0,6.0,7.0
4704,4.0,1.0,7.0,5.0,19.0,25.0,0.0,6.0,2.0,13.0,117.0,20.0,3.0,40.0,44.0,109.0,83.0,22.0,12.0,34.0,17.0,33.0,10.0,11.0,35.0,78.0,58.0,143.0,107.0,82.0
4753,0.0,3.0,2.0,8.0,12.0,5.0,1.0,4.0,6.0,19.0,17.0,9.0,141.0,21.0,124.0,68.0,29.0,121.0,58.0,83.0,13.0,23.0,14.0,91.0,25.0,74.0,18.0,154.0,10.0,20.0
4802,0.0,1.0,20.0,24.0,6.0,4.0,2.0,23.0,19.0,7.0,42.0,12.0,37.0,33.0,60.0,137.0,85.0,58.0,38.0,146.0,5.0,48.0,31.0,34.0,25.0,131.0,22.0,47.0,49.0,30.0
4851,0.0,1.0,3.0,12.0,58.0,10.0,2.0,5.0,31.0,7.0,15.0,9.0,6.0,131.0,63.0,8.0,67.0,134.0,4.0,48.0,16.0,29.0,11.0,39.0,73.0,21.0,42.0,129.0,74.0,24.0
