,DNAH8_MUT,GSTTP1_AMP,DPP6_DEL,LOC440970_DEL,PRB1_AMP,LOC653786_DEL,LILRA6_DEL,GOLGA8DP_DEL,LRRC37A2_AMP,CADM2_DEL,USP32P1_AMP,NCOA7_DEL,LPA_AMP,LOC348120_AMP,ARSB_DEL,NSFP1_AMP,MAST4_MUT,AATK_AMP,CT45A3_DEL,OR2T11_AMP,LILRB3_DEL,BCAS1_AMP,PDE4D_AMP,FAM106CP_AMP,CCDC144A_AMP,CROCC_DEL,NCOA3_MUT,TAS2R43_AMP,P2RX7_MUT,OR51A2_DEL
765,0.0,5.0,9.0,1.0,196.0,10.0,24.0,6.0,11.0,38.0,250.0,20.0,650.0,159.0,34.0,16.0,29.0,157.0,31.0,14.0,47.0,71.0,50.0,473.0,472.0,12.0,229.0,70.0,39.0,27.0
814,7.0,2.0,117.0,9.0,69.0,13.0,25.0,3.0,40.0,19.0,29.0,1.0,190.0,12.0,47.0,80.0,50.0,114.0,8.0,22.0,68.0,26.0,28.0,54.0,55.0,99.0,18.0,773.0,66.0,34.0
863,5.0,0.0,53.0,152.0,50.0,128.0,33.0,8.0,67.0,1.0,2.0,55.0,56.0,23.0,30.0,112.0,47.0,430.0,66.0,131.0,32.0,15.0,39.0,4.0,3.0,120.0,27.0,8319.0,767.0,57.0
912,108.0,21.0,1.0,0.0,37.0,11.0,109.0,8.0,86.0,4.0,25.0,19.0,3.0,6.0,201.0,169.0,40.0,96.0,20.0,398.0,306.0,26.0,29.0,10.0,9.0,28.0,5.0,74.0,44.0,132.0
961,89.0,9.0,259.0,0.0,30.0,2.0,20.0,1.0,7.0,5.0,208.0,21.0,65.0,28.0,269.0,11.0,64.0,543.0,940.0,593.0,46.0,43.0,12.0,311.0,310.0,249.0,6.0,112.0,147.0,39.0
1010,25.0,17.0,31.0,56.0,33.0,0.0,143.0,5.0,10.0,14.0,12.0,6.0,11.0,38.0,34.0,13.0,71.0,78.0,35.0,24.0,454.0,101.0,36.0,8.0,9.0,65.0,47.0,50.0,32.0,20.0
1059,61.0,4.0,13.0,928.0,9.0,10.0,78.0,46.0,36.0,67.0,23.0,1.0,0.0,24.0,12.0,44.0,186.0,37.0,28.0,29.0,148.0,93.0,125.0,26.0,25.0,7153.0,90.0,11.0,81.0,5.0
1108,2.0,17.0,25.0,38.0,10.0,3.0,93.0,1.0,5.0,645.0,74.0,6.0,0.0,121.0,55.0,11.0,20.0,9.0,16.0,32.0,241.0,569.0,144.0,190.0,191.0,60.0,35.0,49.0,41.0,15.0
1157,62.0,13.0,15.0,9.0,96.0,2.0,79.0,11.0,6.0,40.0,112.0,5.0,0.0,87.0,99.0,10.0,31.0,67.0,68.0,24.0,191.0,195.0,26.0,105.0,106.0,168.0,65.0,8.0,102.0,138.0
1206,59.0,20.0,25.0,109.0,10.0,19.0,302.0,38.0,16.0,97.0,173.0,2.0,0.0,552.0,121.0,18.0,24.0,9.0,30.0,17.0,1175.0,83.0,23.0,143.0,142.0,6805.0,53.0,41.0,51.0,4.0
1255,0.0,3.0,36.0,77.0,9.0,2.0,59.0,4.0,15.0,31.0,49.0,42.0,1.0,73.0,139.0,20.0,21.0,99.0,22.0,8.0,153.0,34.0,30.0,60.0,61.0,83.0,94.0,41.0,16.0,38.0
1304,92.0,27.0,1.0,53.0,65.0,8.0,95.0,17.0,20.0,62.0,5.0,4.0,3.0,18.0,57.0,28.0,23.0,24.0,39.0,15.0,94.0,326.0,71.0,6.0,7.0,97.0,132.0,9.0,33.0,200.0
1353,8.0,7.0,0.0,41.0,22.0,15.0,50.0,5.0,52.0,44.0,121.0,3.0,1.0,6.0,45.0,39.0,103.0,49.0,14.0,59.0,136.0,115.0,20.0,47.0,46.0,167.0,51.0,4.0,35.0,37.0
1402,9.0,2.0,6.0,27.0,278.0,4.0,94.0,20.0,10.0,53.0,37.0,1.0,0.0,55.0,31.0,15.0,67.0,22.0,39.0,81.0,209.0,111.0,123.0,44.0,45.0,361.0,13.0,19.0,71.0,16.0
1451,24.0,3.0,1.0,75.0,43.0,2.0,78.0,5.0,12.0,71.0,39.0,13.0,0.0,33.0,37.0,18.0,32.0,14.0,38.0,7.0,204.0,80.0,52.0,54.0,53.0,89.0,86.0,20.0,90.0,10.0
1500,371.0,4.0,141.0,178.0,15.0,10.0,273.0,16.0,7.0,67.0,196.0,55.0,1.0,452.0,43.0,12.0,11.0,29.0,21.0,111.0,1083.0,17.0,5.0,324.0,323.0,254.0,14.0,46.0,31.0,2.0
1549,15.0,13.0,1.0,110.0,31.0,34.0,23.0,27.0,47.0,17.0,16.0,63.0,3.0,0.0,7.0,62.0,83.0,36.0,30.0,12.0,79.0,43.0,11.0,21.0,22.0,130.0,68.0,87.0,55.0,104.0
1598,11.0,36.0,3.0,137.0,23.0,10.0,14.0,6.0,71.0,40.0,15.0,281.0,2.0,31.0,5.0,72.0,42.0,12.0,55.0,4.0,45.0,24.0,9.0,25.0,26.0,1524.0,13.0,592.0,112.0,180.0
1647,33.0,1.0,50.0,1532.0,11.0,81.0,18.0,111.0,20.0,41.0,2.0,80.0,0.0,23.0,3.0,30.0,59.0,6.0,128.0,8.0,47.0,19.0,55.0,4.0,5.0,2371.0,105.0,32.0,138.0,91.0
1696,5.0,17.0,0.0,197.0,18.0,16.0,20.0,25.0,24.0,50.0,1.0,284.0,2.0,66.0,21.0,30.0,39.0,26.0,44.0,42.0,72.0,67.0,13.0,6.0,7.0,78.0,77.0,510.0,29.0,69.0
1745,48.0,17.0,16.0,34.0,49.0,12.0,145.0,60.0,140.0,6.0,0.0,33.0,1.0,4.0,9.0,184.0,24.0,10.0,39.0,23.0,144.0,47.0,13.0,2.0,3.0,173.0,98.0,109.0,43.0,347.0
1794,9.0,17.0,20.0,446.0,24.0,1.0,10.0,16.0,192.0,6.0,21.0,262.0,2.0,4.0,210.0,282.0,64.0,36.0,148.0,198.0,32.0,199.0,5.0,7.0,8.0,19.0,13.0,221.0,99.0,1418.0
1843,29.0,4.0,14.0,172.0,62.0,9.0,16.0,17.0,50.0,0.0,3.0,57.0,2.0,40.0,8.0,74.0,141.0,7.0,20.0,275.0,47.0,31.0,85.0,5.0,6.0,197.0,38.0,1564.0,63.0,41.0
1892,9.0,16.0,30.0,332.0,11.0,34.0,7.0,13.0,67.0,8.0,102.0,39.0,6.0,86.0,3.0,101.0,35.0,5.0,52.0,62.0,33.0,139.0,0.0,219.0,218.0,126.0,44.0,362.0,18.0,49.0
1941,46.0,11.0,7.0,69.0,16.0,12.0,14.0,5.0,54.0,9.0,1.0,382.0,0.0,2.0,28.0,91.0,250.0,112.0,33.0,15.0,62.0,13.0,30.0,4.0,3.0,20.0,18.0,288.0,23.0,21.0
1990,7.0,23.0,6.0,38.0,5.0,1.0,18.0,51.0,34.0,110.0,11.0,12.0,14.0,9.0,16.0,46.0,222.0,33.0,15.0,67.0,17.0,28.0,31.0,25.0,26.0,4.0,88.0,216.0,70.0,292.0
2039,9.0,49.0,15.0,80.0,3.0,17.0,64.0,35.0,36.0,26.0,5.0,28.0,4190.0,2.0,32.0,48.0,39.0,259.0,18.0,40.0,63.0,237.0,139.0,8.0,7.0,33.0,620.0,666.0,65.0,569.0
2088,23.0,21.0,152.0,16.0,1.0,0.0,10.0,50.0,75.0,1577.0,28.0,6.0,2105.0,14.0,29.0,90.0,20.0,8.0,31.0,145.0,9.0,52.0,39.0,57.0,58.0,7.0,32.0,25.0,80.0,333.0
2137,14.0,16.0,3.0,131.0,4.0,2.0,23.0,18.0,62.0,254.0,5.0,43.0,36.0,6.0,166.0,88.0,17.0,69.0,124.0,0.0,24.0,47.0,40.0,12.0,11.0,31.0,139.0,240.0,46.0,630.0
2186,3.0,9.0,7.0,75.0,8.0,6.0,19.0,34.0,92.0,509.0,0.0,27.0,77.0,1.0,25.0,126.0,10.0,14.0,72.0,219.0,20.0,41.0,55.0,5.0,4.0,12.0,69.0,101.0,120.0,1204.0
2235,2.0,8.0,19.0,164.0,1.0,15.0,31.0,12.0,16.0,249.0,10.0,95.0,29.0,0.0,130.0,17.0,62.0,21.0,250.0,25.0,32.0,138.0,40.0,5.0,4.0,13.0,37.0,221.0,48.0,210.0
2284,1.0,8.0,12.0,112.0,19.0,4.0,17.0,40.0,22.0,55.0,57.0,27.0,20.0,5.0,114.0,28.0,52.0,136.0,30.0,115.0,18.0,7.0,197.0,108.0,107.0,35.0,76.0,94.0,391.0,81.0
2333,19.0,0.0,185.0,45.0,8.0,7.0,12.0,30.0,36.0,893.0,18.0,6.0,491.0,1.0,47.0,52.0,24.0,56.0,58.0,59.0,13.0,39.0,95.0,22.0,23.0,51.0,41.0,63.0,55.0,29.0
2382,52.0,3.0,22.0,60.0,1.0,0.0,112.0,36.0,12.0,148.0,2.0,58.0,15.0,14.0,232.0,6.0,26.0,39.0,18.0,109.0,111.0,32.0,66.0,7.0,8.0,492.0,51.0,59.0,92.0,88.0
2431,104.0,1.0,12.0,28.0,19.0,5.0,72.0,176.0,14.0,200.0,0.0,8.0,13.0,7.0,17.0,18.0,6.0,39.0,291.0,475.0,71.0,47.0,59.0,2.0,3.0,56.0,80.0,23.0,66.0,1178.0
2480,0.0,16.0,10.0,55.0,4.0,20.0,18.0,8.0,89.0,149.0,139.0,3.0,11.0,7.0,15.0,65.0,421.0,24.0,80.0,286.0,28.0,31.0,21.0,174.0,175.0,70.0,39.0,1.0,34.0,117.0
2529,0.0,12.0,14.0,11.0,2.0,22.0,3.0,15.0,53.0,23.0,49.0,8.0,1.0,4.0,16.0,59.0,75.0,25.0,84.0,17.0,26.0,40.0,99.0,70.0,71.0,108.0,124.0,13.0,73.0,64.0
2578,10.0,17.0,8.0,0.0,9.0,30.0,49.0,3.0,5.0,20.0,115.0,14.0,24.0,32.0,63.0,6.0,94.0,60.0,99.0,15.0,108.0,26.0,45.0,144.0,145.0,89.0,38.0,2.0,33.0,28.0
