,OR2T2_AMP,WNK1_MUT,CHD1_MUT,GSTT1_AMP,MIR1208_AMP,UNC13C_DEL,LOC727677_AMP,MIR4735_AMP,MIR1207_AMP,POU5F1B_AMP,LOC391322_AMP,PRB1_AMP,GSTTP2_AMP,TP53_MUT,PIK3R4_MUT,GALNT13_DEL,MIR1295A_AMP,OR2T35_AMP,MYC_AMP,MIR1205_AMP,SCAPER_DEL,SMARCA4_MUT,ESPNP_DEL,LOC100507410_AMP,MIR1206_AMP,MTMR11_MUT,CDKAL1_DEL,FAM84B_AMP,GORAB_AMP,MIR1295B_AMP
816,6.0,19.0,88.0,1.0,27.0,5.0,11.0,4.0,9.0,3616.0,0.0,2539.0,2.0,212.0,100.0,774.0,60.0,15.0,28.0,8.0,3595.0,17163.0,152.0,92.0,24.0,250.0,164.0,166.0,32.0,93.0
865,19.0,0.0,3.0,12.0,120.0,1.0,15.0,6.0,21.0,4.0,2.0,1689.0,14.0,463.0,27.0,41.0,317.0,5.0,40.0,85.0,377.0,39.0,29.0,23694.0,775.0,1594.0,237.0,74.0,35.0,319.0
914,11.0,9.0,4.0,92.0,32.0,3.0,0.0,37.0,83.0,23.0,27.0,304.0,36.0,265.0,65.0,888.0,579.0,18.0,21.0,212.0,48.0,1813.0,42.0,554.0,302.0,1447.0,10933.0,17.0,19623.0,1333.0
963,2.0,0.0,1.0,987.0,5.0,72.0,9.0,70.0,56.0,401.0,160.0,22132.0,1024.0,59.0,45.0,980.0,32.0,30.0,35.0,193.0,101.0,711.0,461.0,1159.0,48.0,16832.0,1342.0,17359.0,19589.0,201.0
1012,0.0,7.0,16806.0,4.0,66.0,19.0,55.0,16389.0,1.0,3016.0,84.0,25.0,26.0,30.0,17.0,57.0,545.0,120.0,98.0,12.0,2450.0,527.0,18.0,9.0,847.0,613.0,1392.0,402.0,956.0,16547.0
1061,13.0,9.0,328.0,18.0,14.0,248.0,21.0,2.0,55.0,23.0,160.0,24.0,65.0,1099.0,59.0,16.0,16161.0,37.0,199.0,171.0,263.0,1005.0,12.0,40.0,39.0,16788.0,10879.0,8.0,19343.0,781.0
1110,1.0,3.0,430.0,9.0,0.0,2.0,47.0,453.0,6.0,5.0,7.0,125.0,10.0,552.0,905.0,48.0,413.0,42.0,782.0,4.0,84.0,12.0,33.0,15.0,346.0,150.0,64.0,196.0,19626.0,646.0
1159,0.0,49.0,3360.0,10.0,1.0,44.0,306.0,94.0,19.0,131.0,187.0,147.0,54.0,1149.0,334.0,60.0,567.0,23.0,55.0,64.0,2483.0,277.0,36.0,15979.0,34.0,190.0,140.0,120.0,490.0,16502.0
1208,2.0,58.0,67.0,2343.0,31.0,18.0,440.0,2380.0,15.0,11.0,1695.0,5.0,207.0,52.0,4.0,120.0,68.0,33.0,14.0,195.0,61.0,57.0,83.0,72.0,123.0,1162.0,22.0,2192.0,23827.0,621.0
1257,0.0,166.0,233.0,15.0,7.0,37.0,41.0,16465.0,18.0,23.0,8.0,72.0,21812.0,3.0,66.0,1067.0,670.0,208.0,78.0,11.0,2728.0,291.0,6903.0,1.0,254.0,365.0,76.0,56.0,19383.0,16244.0
1306,4.0,21.0,905.0,27.0,2.0,11.0,14.0,18.0,10.0,0.0,110.0,5.0,74.0,579.0,1886.0,70.0,149.0,83.0,71.0,77.0,127.0,477.0,607.0,17.0,16.0,12.0,139.0,9.0,19322.0,16474.0
1355,1.0,91.0,16806.0,16.0,10.0,122.0,0.0,581.0,22.0,4.0,260.0,7.0,44.0,408.0,16629.0,28.0,489.0,64.0,261.0,36.0,2596.0,672.0,9.0,507.0,24.0,1512.0,10937.0,52.0,19606.0,148.0
1404,3.0,2.0,844.0,212.0,96.0,26.0,8.0,923.0,5.0,92.0,1942.0,50.0,1037.0,68.0,700.0,35.0,16080.0,27.0,6.0,29.0,1.0,355.0,4.0,37.0,797.0,172.0,767.0,744.0,19377.0,16561.0
1453,0.0,18.0,861.0,1.0,9.0,6.0,75.0,23.0,11.0,74.0,14.0,1472.0,33.0,1056.0,51.0,230.0,22.0,2.0,42.0,66.0,3630.0,17135.0,217.0,7.0,82.0,16830.0,1483.0,125.0,38.0,309.0
1502,1.0,13.0,11.0,56.0,6.0,0.0,1197.0,301.0,35.0,14.0,58.0,16.0,96.0,2.0,248.0,110.0,16190.0,3.0,471.0,9.0,662.0,63.0,40.0,111.0,16173.0,840.0,4.0,19.0,19385.0,16476.0
1551,19.0,17142.0,39.0,9.0,6.0,14.0,23596.0,471.0,15.0,58.0,10.0,83.0,661.0,17107.0,1.0,1086.0,1581.0,13.0,20.0,35.0,1629.0,112.0,88.0,293.0,16173.0,1317.0,0.0,8.0,279.0,1217.0
1600,3.0,94.0,148.0,12.0,27.0,6.0,42.0,18.0,78.0,120.0,2.0,88.0,8.0,0.0,357.0,93.0,16063.0,9.0,179.0,59.0,2985.0,73.0,10.0,128.0,124.0,224.0,1.0,600.0,19398.0,16521.0
1649,6.0,110.0,22.0,56.0,0.0,4.0,3.0,34.0,41.0,2.0,97.0,39.0,75.0,444.0,1.0,20259.0,16204.0,37.0,35.0,79.0,255.0,288.0,343.0,16.0,144.0,96.0,8.0,517.0,19391.0,16506.0
1698,6.0,142.0,11.0,64.0,29.0,330.0,110.0,2.0,155.0,13810.0,154.0,14.0,356.0,68.0,10.0,25.0,5448.0,21.0,14484.0,5524.0,76.0,122.0,3.0,132.0,340.0,136.0,0.0,408.0,843.0,7120.0
1747,12.0,33.0,46.0,138.0,7.0,22.0,10.0,3.0,71.0,1.0,392.0,0.0,1552.0,577.0,2.0,20.0,16072.0,17.0,14799.0,9.0,199.0,40.0,43.0,99.0,359.0,2458.0,1190.0,38.0,19384.0,16553.0
1796,21.0,805.0,189.0,13.0,6194.0,0.0,4.0,79.0,511.0,11.0,16.0,54.0,932.0,252.0,114.0,5.0,6033.0,92.0,864.0,555.0,304.0,138.0,66.0,17.0,6050.0,98.0,6.0,35.0,243.0,23442.0
1845,8.0,28.0,43.0,48.0,85.0,11.0,18.0,10.0,935.0,391.0,4.0,50.0,1.0,24.0,66.0,3.0,2488.0,2.0,109.0,29.0,3031.0,14.0,129.0,243.0,82.0,96.0,12.0,5.0,817.0,22009.0
1894,1.0,101.0,45.0,9.0,6.0,11.0,22.0,27.0,5.0,146.0,4.0,17.0,8.0,222.0,16607.0,33.0,16060.0,13.0,14779.0,2.0,80.0,53.0,56.0,442.0,16061.0,641.0,72.0,399.0,67.0,610.0
1943,8.0,371.0,33.0,39.0,53.0,25.0,4.0,14.0,42.0,94.0,71.0,5.0,7.0,6.0,2.0,0.0,16034.0,17.0,107.0,736.0,18.0,100.0,502.0,28.0,83.0,306.0,10.0,106.0,19357.0,16517.0
1992,6.0,0.0,161.0,180.0,162.0,9.0,5.0,57.0,205.0,32.0,1057.0,53.0,125.0,293.0,66.0,20275.0,62.0,286.0,91.0,12.0,3572.0,40.0,237.0,99.0,870.0,41.0,633.0,466.0,19601.0,67.0
2041,0.0,6.0,49.0,474.0,42.0,392.0,4.0,99.0,23.0,30.0,14.0,143.0,13.0,5.0,27.0,280.0,25.0,2855.0,1405.0,15815.0,254.0,75.0,130.0,93.0,15851.0,17.0,16.0,403.0,23450.0,163.0
2090,3.0,6.0,4.0,247.0,7.0,8.0,11.0,12.0,25.0,24.0,101.0,38.0,67.0,0.0,176.0,53.0,57.0,41.0,50.0,13.0,110.0,84.0,762.0,42.0,28.0,16817.0,241.0,40.0,524.0,37.0
2139,5.0,37.0,11.0,2.0,6.0,1.0,49.0,7.0,9.0,14926.0,35.0,8.0,4.0,28.0,41.0,50.0,24.0,119.0,945.0,1092.0,181.0,350.0,93.0,87.0,66.0,45.0,14.0,178.0,387.0,62.0
2188,1.0,19.0,21.0,18.0,7.0,15.0,9.0,26.0,0.0,150.0,10.0,13.0,4.0,11.0,3.0,36.0,16.0,15817.0,59.0,27.0,225.0,245.0,80.0,897.0,14.0,40.0,24.0,45.0,19487.0,72.0
2237,0.0,797.0,34.0,31.0,3.0,11.0,21.0,51.0,15.0,10.0,24.0,1.0,5.0,16.0,8.0,1112.0,79.0,621.0,104.0,18.0,3125.0,129.0,6923.0,41.0,6.0,16813.0,27.0,151.0,535.0,61.0
2286,0.0,13.0,44.0,21.0,50.0,49.0,57.0,504.0,167.0,2.0,15733.0,3.0,563.0,283.0,311.0,35.0,192.0,92.0,386.0,76.0,120.0,1270.0,6958.0,616.0,1194.0,1.0,7.0,866.0,413.0,16538.0
2335,3.0,1.0,15.0,7.0,14.0,83.0,13.0,8.0,89.0,10.0,17.0,35.0,2.0,4.0,45.0,42.0,41.0,33.0,14810.0,179.0,858.0,222.0,16.0,266.0,181.0,55.0,0.0,122.0,2594.0,76.0
2384,9.0,12.0,2.0,1287.0,23.0,1.0,188.0,21.0,75.0,7.0,357.0,4.0,751.0,13.0,22.0,90.0,81.0,192.0,27.0,5.0,284.0,30.0,4346.0,1316.0,379.0,112.0,147.0,71.0,35.0,17.0
2433,164.0,207.0,15.0,480.0,4.0,1.0,54.0,20.0,18.0,42.0,1631.0,3.0,398.0,129.0,201.0,24.0,16039.0,15487.0,107.0,119.0,59.0,141.0,6864.0,94.0,72.0,88.0,10820.0,17307.0,19357.0,16515.0
2482,9.0,5.0,953.0,61.0,20.0,13.0,11.0,14.0,6.0,25.0,1.0,0.0,3.0,67.0,16.0,79.0,18.0,28.0,135.0,37.0,7.0,83.0,38.0,124.0,1044.0,42.0,17.0,1771.0,108.0,94.0
2531,4.0,0.0,2.0,52.0,24.0,11.0,32.0,16440.0,7.0,19.0,8.0,3.0,274.0,3354.0,300.0,5.0,99.0,48.0,14790.0,776.0,21.0,197.0,20.0,56.0,16.0,14.0,80.0,410.0,47.0,72.0
2580,28.0,0.0,24.0,5.0,19.0,63.0,29.0,6.0,105.0,61.0,1.0,33.0,7.0,3303.0,282.0,27.0,58.0,65.0,450.0,39.0,23.0,250.0,45.0,16048.0,15.0,102.0,10987.0,757.0,70.0,8.0
2629,2.0,6.0,1.0,5.0,1276.0,48.0,53.0,30.0,466.0,840.0,0.0,4.0,3.0,3694.0,19.0,79.0,515.0,11.0,206.0,16140.0,10.0,320.0,175.0,15974.0,16116.0,78.0,244.0,352.0,40.0,113.0
2678,2.0,6.0,4.0,1.0,771.0,57.0,23469.0,103.0,423.0,82.0,26.0,9.0,5.0,267.0,66.0,20338.0,59.0,15.0,843.0,2342.0,0.0,29.0,43.0,16044.0,16121.0,60.0,41.0,17437.0,334.0,61.0
2727,23.0,0.0,7.0,28.0,61.0,184.0,1069.0,6.0,68.0,1.0,1014.0,17.0,3498.0,25.0,44.0,2.0,12.0,32.0,43.0,16082.0,140.0,24.0,230.0,547.0,5.0,101.0,1000.0,321.0,8.0,266.0
2776,14.0,1.0,7.0,4.0,138.0,30.0,59.0,51.0,456.0,1391.0,99.0,10.0,0.0,2608.0,72.0,55.0,50.0,306.0,14841.0,434.0,5.0,2206.0,4476.0,15901.0,84.0,19.0,16.0,1087.0,75.0,269.0
2825,2.0,26.0,1.0,4.0,10.0,3211.0,52.0,12.0,0.0,17.0,3.0,61.0,263.0,3728.0,32.0,23.0,39.0,15848.0,433.0,6.0,133.0,17201.0,473.0,57.0,1229.0,16.0,68.0,817.0,63.0,41.0
2874,13.0,0.0,293.0,4.0,3.0,21.0,387.0,12.0,2.0,15.0,145.0,1295.0,50.0,488.0,1.0,11.0,20.0,30.0,10.0,16189.0,51.0,1020.0,881.0,16009.0,192.0,237.0,3210.0,529.0,90.0,14.0
2923,21.0,13.0,2.0,15.0,12.0,102.0,4.0,121.0,7.0,5.0,51.0,9.0,1.0,738.0,20.0,22.0,35.0,1562.0,96.0,3170.0,87.0,24.0,413.0,16057.0,39.0,65.0,38.0,17367.0,200.0,106.0
2972,52.0,10.0,502.0,83.0,174.0,11245.0,40.0,7.0,28.0,1.0,240.0,12.0,170.0,17066.0,339.0,123.0,8.0,264.0,50.0,367.0,108.0,3475.0,4.0,70.0,1171.0,722.0,95.0,289.0,45.0,101.0
3021,4.0,0.0,22.0,18.0,58.0,259.0,127.0,3.0,341.0,2212.0,32.0,261.0,6.0,17081.0,98.0,33.0,77.0,2722.0,1316.0,267.0,2.0,78.0,5.0,140.0,21.0,16.0,260.0,953.0,124.0,53.0
3070,661.0,20.0,51.0,37.0,1343.0,52.0,346.0,681.0,74.0,221.0,38.0,21.0,26.0,410.0,108.0,107.0,126.0,1536.0,753.0,3601.0,240.0,1604.0,310.0,3.0,16086.0,121.0,50.0,1180.0,209.0,481.0
3119,31.0,50.0,830.0,372.0,32.0,5.0,0.0,4.0,3.0,14.0,317.0,8.0,580.0,17131.0,218.0,16.0,366.0,95.0,36.0,53.0,12.0,66.0,418.0,16040.0,1.0,16827.0,242.0,170.0,38.0,37.0
3168,13.0,0.0,10.0,22.0,64.0,89.0,215.0,38.0,16041.0,5.0,28.0,22083.0,630.0,16.0,18.0,523.0,35.0,15560.0,14746.0,227.0,1.0,148.0,21.0,88.0,34.0,62.0,370.0,59.0,118.0,41.0
3217,33.0,1.0,22.0,18.0,49.0,252.0,5.0,31.0,54.0,298.0,36.0,8.0,989.0,93.0,17.0,20048.0,145.0,462.0,38.0,6.0,11.0,366.0,126.0,4.0,0.0,322.0,186.0,823.0,130.0,118.0
3266,1.0,104.0,1404.0,789.0,3472.0,6.0,12.0,4.0,480.0,132.0,241.0,5.0,32.0,72.0,55.0,2.0,15.0,2565.0,404.0,644.0,26.0,300.0,78.0,3.0,165.0,35.0,29.0,128.0,18.0,95.0
3315,11.0,3.0,36.0,8.0,252.0,200.0,12.0,13.0,154.0,70.0,0.0,41.0,65.0,449.0,49.0,535.0,167.0,104.0,15.0,207.0,1.0,237.0,5.0,27.0,236.0,26.0,318.0,95.0,35.0,45.0
3364,178.0,0.0,217.0,4.0,783.0,31.0,542.0,40.0,33.0,17.0,8.0,2.0,25.0,3.0,16613.0,472.0,16064.0,2046.0,389.0,272.0,32.0,320.0,56.0,151.0,482.0,726.0,1403.0,157.0,19594.0,1186.0
3413,7.0,2.0,12.0,39.0,99.0,22.0,58.0,4.0,60.0,233.0,17.0,1.0,19.0,953.0,75.0,1795.0,37.0,10.0,396.0,51.0,6.0,323.0,88.0,16003.0,811.0,15.0,166.0,217.0,40.0,32.0
3462,1.0,428.0,146.0,0.0,34.0,492.0,13.0,108.0,44.0,98.0,6.0,66.0,5.0,1303.0,16654.0,16.0,27.0,3.0,257.0,541.0,10.0,122.0,946.0,47.0,101.0,497.0,1590.0,795.0,439.0,85.0
3511,608.0,10.0,2.0,79.0,30.0,67.0,453.0,236.0,6.0,15887.0,129.0,21.0,1305.0,39.0,432.0,37.0,93.0,43.0,280.0,92.0,52.0,66.0,47.0,16035.0,19.0,16828.0,91.0,157.0,501.0,16534.0
3560,48.0,4.0,322.0,20.0,1037.0,1182.0,22574.0,12.0,18.0,17.0,2.0,27.0,1.0,38.0,496.0,110.0,35.0,36.0,76.0,7076.0,124.0,860.0,715.0,18930.0,1485.0,271.0,0.0,2623.0,23.0,41.0
3609,3.0,395.0,10539.0,172.0,40.0,5543.0,376.0,656.0,5.0,853.0,39.0,525.0,82.0,161.0,9176.0,19409.0,34.0,33.0,14700.0,38.0,163.0,11.0,223.0,26.0,64.0,10424.0,75.0,25.0,123.0,42.0
3658,8.0,160.0,2.0,38.0,20.0,280.0,37.0,11.0,79.0,18620.0,15703.0,14.0,21882.0,1190.0,147.0,41.0,121.0,228.0,14763.0,108.0,33.0,356.0,142.0,36.0,184.0,197.0,27.0,4.0,47.0,74.0
3707,29.0,17193.0,38.0,30.0,12.0,150.0,43.0,19.0,79.0,141.0,15815.0,17.0,23.0,275.0,2133.0,292.0,16115.0,690.0,279.0,119.0,994.0,60.0,6726.0,16063.0,294.0,2125.0,113.0,4.0,66.0,146.0
3756,19.0,17138.0,1.0,453.0,7.0,33.0,18.0,11.0,50.0,37.0,12.0,22142.0,39.0,190.0,84.0,1991.0,48.0,382.0,14818.0,57.0,44.0,8.0,98.0,132.0,1136.0,1532.0,2.0,118.0,173.0,100.0
3805,39.0,1816.0,11.0,143.0,7.0,170.0,210.0,5.0,13.0,478.0,18.0,8.0,16.0,3110.0,111.0,24.0,60.0,140.0,14855.0,558.0,58.0,17153.0,21.0,753.0,1273.0,61.0,324.0,533.0,728.0,219.0
3854,41.0,3210.0,25.0,19.0,220.0,1499.0,3398.0,27.0,42.0,14949.0,4.0,22119.0,7.0,369.0,84.0,49.0,607.0,3119.0,3618.0,109.0,2459.0,17143.0,11.0,2548.0,16067.0,16814.0,26.0,5.0,138.0,35.0
3903,8.0,41.0,427.0,238.0,3.0,58.0,269.0,102.0,29.0,556.0,460.0,57.0,351.0,26.0,16855.0,7.0,652.0,19.0,14756.0,67.0,70.0,45.0,482.0,47.0,87.0,91.0,2013.0,21.0,769.0,55.0
3952,43.0,143.0,12.0,31.0,323.0,41.0,42.0,0.0,16213.0,368.0,49.0,13.0,55.0,16.0,236.0,172.0,14.0,3447.0,90.0,191.0,587.0,2924.0,98.0,15993.0,173.0,66.0,100.0,2432.0,47.0,36.0
4001,50.0,47.0,9.0,20.0,90.0,286.0,31.0,86.0,271.0,17.0,8.0,168.0,6.0,16.0,13.0,683.0,54.0,69.0,185.0,16100.0,834.0,17179.0,321.0,282.0,93.0,19.0,27.0,158.0,459.0,406.0
4050,11.0,75.0,506.0,6.0,66.0,0.0,87.0,7.0,35.0,115.0,1.0,765.0,22.0,4.0,20.0,14.0,25.0,15625.0,2.0,449.0,269.0,17164.0,70.0,156.0,368.0,15.0,118.0,39.0,176.0,29.0
4099,15.0,112.0,3.0,0.0,85.0,27.0,1100.0,54.0,26.0,39.0,6.0,14.0,20.0,51.0,4.0,37.0,22.0,15812.0,57.0,16185.0,1432.0,17154.0,672.0,16025.0,228.0,281.0,41.0,3054.0,32.0,7.0
4148,52.0,183.0,33.0,9.0,16209.0,25.0,406.0,204.0,80.0,55.0,30.0,423.0,8.0,10.0,17.0,3270.0,223.0,586.0,346.0,91.0,654.0,17139.0,0.0,16001.0,16228.0,66.0,11.0,182.0,19627.0,16513.0
4197,6.0,17170.0,7.0,45.0,86.0,31.0,2.0,27.0,130.0,19.0,4.0,42.0,17.0,0.0,183.0,93.0,23.0,2414.0,88.0,567.0,271.0,1785.0,11.0,785.0,28.0,12.0,314.0,1432.0,39.0,264.0
4246,12.0,17.0,28.0,15.0,235.0,7.0,101.0,21.0,184.0,19.0,32.0,293.0,130.0,5.0,64.0,1.0,18.0,1028.0,877.0,1975.0,148.0,1122.0,134.0,75.0,105.0,185.0,0.0,36.0,156.0,62.0
4295,1.0,322.0,10.0,16.0,43.0,52.0,61.0,34.0,3.0,186.0,2.0,5.0,45.0,0.0,19.0,1177.0,88.0,2311.0,143.0,211.0,1611.0,465.0,90.0,1051.0,54.0,806.0,62.0,699.0,174.0,40.0
4344,4.0,3330.0,14.0,6.0,9.0,22.0,99.0,86.0,7.0,92.0,330.0,25.0,17.0,145.0,97.0,1.0,21.0,17995.0,102.0,156.0,297.0,522.0,1231.0,88.0,3722.0,3054.0,11843.0,16549.0,30.0,268.0
4393,379.0,110.0,2479.0,5.0,70.0,0.0,238.0,4.0,89.0,212.0,24.0,371.0,12.0,50.0,39.0,697.0,74.0,2182.0,76.0,1633.0,150.0,1938.0,7619.0,7660.0,849.0,191.0,1490.0,18018.0,90.0,267.0
4442,353.0,311.0,9.0,22.0,20.0,358.0,13.0,1280.0,88.0,116.0,16.0,3011.0,155.0,2.0,271.0,37.0,649.0,5.0,6.0,12.0,0.0,7.0,1271.0,973.0,17.0,190.0,151.0,46.0,995.0,1268.0
4491,61.0,17110.0,2068.0,196.0,82.0,37.0,8.0,2262.0,424.0,3008.0,236.0,26.0,432.0,64.0,133.0,274.0,391.0,412.0,66.0,1222.0,9.0,634.0,184.0,293.0,63.0,96.0,10846.0,445.0,157.0,206.0
4540,8.0,46.0,1336.0,346.0,13.0,4.0,5.0,886.0,25.0,3.0,779.0,48.0,370.0,42.0,521.0,55.0,122.0,301.0,10.0,9.0,40.0,0.0,6833.0,825.0,2.0,126.0,10851.0,67.0,712.0,83.0
4589,1569.0,39.0,38.0,786.0,77.0,145.0,4.0,8.0,530.0,33.0,15689.0,351.0,1127.0,25.0,227.0,123.0,553.0,83.0,2.0,132.0,32.0,1.0,1732.0,112.0,186.0,178.0,918.0,195.0,611.0,455.0
4638,8.0,1516.0,31.0,164.0,1.0,3203.0,7.0,735.0,22.0,300.0,15664.0,142.0,852.0,0.0,16564.0,5.0,100.0,224.0,86.0,13.0,272.0,6.0,1491.0,453.0,44.0,52.0,1309.0,35.0,135.0,132.0
4687,900.0,19.0,1446.0,271.0,9.0,124.0,4.0,311.0,11.0,10.0,3398.0,52.0,3225.0,113.0,28.0,497.0,1172.0,160.0,14480.0,13.0,115.0,0.0,628.0,15968.0,8.0,16763.0,395.0,3.0,756.0,533.0
4736,2.0,382.0,1.0,21.0,26.0,732.0,0.0,2216.0,43.0,41.0,152.0,172.0,815.0,62.0,2204.0,2742.0,37.0,230.0,89.0,13.0,143.0,50.0,6582.0,8.0,7.0,693.0,214.0,777.0,57.0,23.0
4785,9.0,22.0,80.0,1098.0,36.0,174.0,30.0,199.0,8.0,6.0,1165.0,72.0,3110.0,13.0,16567.0,1440.0,153.0,15445.0,18.0,23.0,3.0,163.0,6573.0,181.0,3424.0,99.0,686.0,156.0,161.0,506.0
4834,3.0,25.0,77.0,97.0,69.0,57.0,38.0,131.0,74.0,10.0,216.0,13.0,2623.0,2.0,46.0,7.0,15992.0,84.0,171.0,675.0,4.0,82.0,1528.0,350.0,51.0,236.0,2957.0,17294.0,19317.0,16478.0
4883,5.0,22.0,2019.0,87.0,137.0,162.0,1.0,141.0,20.0,23.0,36.0,276.0,6.0,59.0,27.0,94.0,24.0,340.0,31.0,46.0,206.0,37.0,1108.0,16041.0,158.0,93.0,2.0,1146.0,118.0,325.0
