,Caveolin-1,YAP_pS127,EGFR,VEGFR2,Annexin 1,beta-Catenin,VAV1,TAZ,EGFR_pY1068,Akt_pS473,Bcl-2,MDMX_MDM4(BetIHC-00108),Stathmin,p62 Lck ligand,CD49b,GSK3-alpha-beta,Heregulin,Src_pY416,beta-Catenin_pT41_S45,alpha-Catenin,Rb_pS807_S811,Chk1_pS345,4E-BP1,Src,Fibronectin,PAI-1,C-Raf(BD610151),B-Raf_pS445,Cyclin_E1,Bax
543,0.0,1.0,2.0,6.0,3.0,5.0,4.0,8.0,26.0,12.0,21.0,35.0,10.0,16.0,11.0,40.0,15.0,68.0,19.0,29.0,14.0,98.0,17.0,9.0,30.0,31.0,20.0,23.0,56.0,13.0
592,0.0,1.0,3.0,10.0,6.0,7.0,4.0,2.0,9.0,5.0,11.0,20.0,13.0,18.0,26.0,23.0,17.0,27.0,134.0,8.0,33.0,34.0,31.0,12.0,53.0,25.0,19.0,15.0,76.0,88.0
641,0.0,1.0,6.0,8.0,5.0,3.0,9.0,4.0,10.0,13.0,16.0,7.0,11.0,19.0,15.0,25.0,17.0,24.0,27.0,12.0,21.0,29.0,20.0,2.0,14.0,28.0,33.0,59.0,70.0,22.0
690,0.0,1.0,2.0,6.0,7.0,3.0,4.0,8.0,10.0,21.0,13.0,11.0,9.0,5.0,29.0,17.0,16.0,51.0,15.0,22.0,28.0,25.0,20.0,68.0,12.0,19.0,44.0,35.0,57.0,27.0
739,1.0,0.0,2.0,6.0,5.0,3.0,8.0,7.0,4.0,9.0,13.0,16.0,12.0,32.0,27.0,11.0,15.0,25.0,42.0,18.0,31.0,41.0,26.0,60.0,45.0,36.0,21.0,68.0,23.0,49.0
788,0.0,1.0,4.0,2.0,3.0,7.0,5.0,16.0,27.0,17.0,8.0,15.0,6.0,20.0,31.0,14.0,19.0,45.0,48.0,18.0,10.0,9.0,47.0,13.0,11.0,30.0,75.0,34.0,39.0,44.0
837,0.0,3.0,1.0,4.0,6.0,2.0,10.0,8.0,5.0,12.0,9.0,7.0,13.0,17.0,23.0,26.0,22.0,133.0,25.0,16.0,11.0,30.0,36.0,34.0,80.0,21.0,50.0,105.0,91.0,42.0
886,0.0,1.0,7.0,15.0,2.0,6.0,8.0,3.0,5.0,11.0,16.0,18.0,4.0,30.0,12.0,23.0,27.0,53.0,22.0,41.0,21.0,58.0,9.0,10.0,38.0,39.0,20.0,100.0,71.0,17.0
935,1.0,0.0,4.0,6.0,5.0,3.0,2.0,8.0,25.0,20.0,16.0,7.0,10.0,13.0,26.0,35.0,9.0,12.0,24.0,22.0,18.0,68.0,14.0,23.0,11.0,40.0,21.0,63.0,89.0,33.0
984,0.0,1.0,3.0,5.0,2.0,7.0,4.0,9.0,21.0,26.0,18.0,15.0,16.0,10.0,13.0,11.0,24.0,30.0,12.0,28.0,8.0,17.0,6.0,14.0,99.0,36.0,27.0,20.0,45.0,29.0
1033,1.0,0.0,2.0,4.0,3.0,12.0,7.0,30.0,5.0,6.0,14.0,22.0,20.0,8.0,9.0,27.0,42.0,31.0,10.0,24.0,21.0,11.0,17.0,15.0,23.0,50.0,18.0,38.0,16.0,107.0
1082,0.0,1.0,2.0,4.0,3.0,11.0,8.0,14.0,13.0,5.0,9.0,12.0,46.0,10.0,7.0,15.0,20.0,18.0,22.0,19.0,29.0,23.0,16.0,6.0,30.0,130.0,21.0,56.0,17.0,60.0
1131,0.0,1.0,5.0,4.0,10.0,3.0,6.0,29.0,38.0,9.0,21.0,12.0,7.0,11.0,8.0,15.0,32.0,25.0,14.0,13.0,16.0,22.0,17.0,2.0,53.0,30.0,23.0,68.0,79.0,126.0
1180,2.0,1.0,0.0,10.0,5.0,3.0,9.0,25.0,18.0,7.0,16.0,4.0,23.0,8.0,12.0,19.0,22.0,13.0,6.0,44.0,17.0,29.0,14.0,24.0,64.0,42.0,20.0,31.0,28.0,98.0
1229,1.0,0.0,4.0,2.0,5.0,7.0,3.0,10.0,22.0,17.0,8.0,16.0,15.0,6.0,30.0,14.0,45.0,34.0,19.0,37.0,11.0,21.0,9.0,23.0,26.0,20.0,52.0,49.0,57.0,42.0
1278,0.0,1.0,4.0,3.0,7.0,2.0,5.0,12.0,19.0,9.0,8.0,11.0,20.0,21.0,14.0,15.0,17.0,37.0,6.0,22.0,13.0,26.0,18.0,10.0,16.0,38.0,64.0,34.0,31.0,53.0
1327,1.0,0.0,3.0,4.0,2.0,10.0,9.0,11.0,14.0,8.0,6.0,17.0,5.0,7.0,16.0,25.0,78.0,18.0,12.0,30.0,23.0,22.0,13.0,29.0,21.0,20.0,38.0,67.0,40.0,69.0
1376,0.0,3.0,2.0,1.0,6.0,8.0,10.0,16.0,4.0,19.0,9.0,15.0,24.0,20.0,7.0,21.0,40.0,12.0,5.0,22.0,27.0,23.0,30.0,11.0,39.0,25.0,33.0,43.0,34.0,41.0
1425,5.0,0.0,16.0,2.0,1.0,20.0,10.0,14.0,22.0,4.0,7.0,3.0,17.0,9.0,6.0,23.0,68.0,15.0,8.0,47.0,29.0,18.0,12.0,11.0,25.0,81.0,26.0,30.0,32.0,73.0
1474,0.0,1.0,6.0,2.0,5.0,3.0,7.0,4.0,25.0,8.0,14.0,55.0,15.0,10.0,27.0,17.0,36.0,9.0,78.0,76.0,106.0,12.0,23.0,50.0,26.0,30.0,11.0,35.0,49.0,63.0
1523,0.0,3.0,2.0,1.0,4.0,9.0,6.0,5.0,11.0,16.0,8.0,20.0,10.0,7.0,13.0,18.0,12.0,60.0,39.0,15.0,54.0,26.0,22.0,27.0,19.0,21.0,66.0,34.0,14.0,85.0
1572,0.0,1.0,5.0,2.0,7.0,8.0,13.0,3.0,4.0,38.0,12.0,19.0,6.0,20.0,30.0,27.0,25.0,31.0,33.0,9.0,42.0,16.0,40.0,10.0,17.0,28.0,11.0,26.0,62.0,68.0
1621,0.0,1.0,7.0,3.0,4.0,18.0,5.0,13.0,6.0,2.0,11.0,48.0,8.0,9.0,34.0,38.0,14.0,12.0,88.0,21.0,51.0,19.0,26.0,16.0,17.0,25.0,112.0,29.0,32.0,24.0
1670,0.0,1.0,2.0,7.0,3.0,9.0,8.0,6.0,5.0,4.0,10.0,22.0,11.0,13.0,87.0,32.0,33.0,23.0,21.0,12.0,17.0,35.0,24.0,19.0,34.0,52.0,124.0,15.0,94.0,84.0
1719,0.0,1.0,3.0,14.0,2.0,7.0,17.0,4.0,9.0,26.0,8.0,6.0,10.0,12.0,13.0,40.0,5.0,18.0,21.0,19.0,22.0,16.0,29.0,11.0,52.0,28.0,59.0,20.0,38.0,25.0
1768,0.0,2.0,3.0,4.0,1.0,5.0,7.0,8.0,11.0,21.0,12.0,22.0,9.0,6.0,20.0,30.0,10.0,23.0,35.0,25.0,16.0,13.0,34.0,36.0,18.0,15.0,69.0,31.0,27.0,87.0
1817,0.0,1.0,2.0,8.0,4.0,13.0,3.0,7.0,10.0,5.0,14.0,20.0,11.0,6.0,30.0,24.0,28.0,9.0,32.0,33.0,25.0,12.0,64.0,17.0,31.0,78.0,98.0,19.0,112.0,53.0
1866,0.0,1.0,8.0,6.0,9.0,3.0,2.0,7.0,12.0,5.0,13.0,22.0,4.0,27.0,44.0,26.0,39.0,14.0,25.0,32.0,11.0,10.0,16.0,17.0,52.0,45.0,24.0,34.0,75.0,122.0
1915,0.0,1.0,3.0,5.0,2.0,6.0,10.0,4.0,17.0,9.0,7.0,12.0,8.0,27.0,43.0,21.0,51.0,22.0,19.0,54.0,56.0,13.0,11.0,46.0,31.0,36.0,14.0,15.0,29.0,25.0
1964,0.0,1.0,3.0,4.0,7.0,2.0,5.0,8.0,19.0,10.0,11.0,6.0,20.0,16.0,13.0,9.0,18.0,21.0,24.0,23.0,22.0,26.0,31.0,49.0,27.0,40.0,30.0,14.0,12.0,37.0
2013,2.0,0.0,11.0,1.0,5.0,4.0,3.0,28.0,21.0,13.0,17.0,20.0,26.0,7.0,14.0,9.0,23.0,29.0,16.0,30.0,47.0,15.0,32.0,71.0,125.0,57.0,50.0,39.0,12.0,42.0
2062,0.0,1.0,4.0,5.0,3.0,2.0,6.0,7.0,22.0,15.0,25.0,8.0,41.0,30.0,16.0,10.0,17.0,19.0,9.0,70.0,11.0,27.0,12.0,20.0,87.0,23.0,14.0,65.0,24.0,39.0
2111,1.0,0.0,4.0,7.0,3.0,2.0,5.0,17.0,12.0,25.0,11.0,9.0,26.0,18.0,39.0,6.0,8.0,58.0,14.0,22.0,24.0,10.0,15.0,78.0,40.0,46.0,28.0,85.0,16.0,48.0
2160,1.0,0.0,2.0,4.0,3.0,5.0,6.0,16.0,19.0,15.0,17.0,24.0,7.0,18.0,20.0,8.0,21.0,29.0,50.0,14.0,13.0,11.0,25.0,23.0,105.0,47.0,45.0,36.0,108.0,38.0
2209,0.0,1.0,4.0,2.0,3.0,5.0,10.0,9.0,6.0,33.0,20.0,7.0,16.0,19.0,15.0,8.0,14.0,13.0,34.0,26.0,25.0,17.0,41.0,47.0,69.0,37.0,11.0,18.0,12.0,42.0
2258,1.0,0.0,5.0,3.0,6.0,2.0,4.0,9.0,16.0,49.0,13.0,17.0,35.0,8.0,14.0,10.0,24.0,15.0,21.0,27.0,11.0,19.0,7.0,22.0,51.0,32.0,47.0,111.0,23.0,26.0
2307,1.0,0.0,4.0,3.0,2.0,6.0,24.0,14.0,7.0,19.0,17.0,13.0,70.0,11.0,29.0,5.0,10.0,9.0,34.0,23.0,25.0,27.0,37.0,30.0,98.0,36.0,44.0,101.0,16.0,33.0
2356,0.0,5.0,7.0,1.0,2.0,6.0,4.0,11.0,16.0,8.0,25.0,3.0,20.0,12.0,29.0,9.0,34.0,21.0,15.0,22.0,14.0,13.0,27.0,55.0,99.0,19.0,38.0,40.0,10.0,52.0
2405,0.0,2.0,6.0,1.0,3.0,4.0,7.0,12.0,10.0,8.0,18.0,22.0,26.0,11.0,25.0,5.0,9.0,20.0,36.0,31.0,16.0,15.0,30.0,73.0,48.0,69.0,68.0,29.0,13.0,19.0
2454,0.0,3.0,2.0,1.0,5.0,6.0,4.0,7.0,22.0,8.0,17.0,26.0,9.0,20.0,10.0,18.0,33.0,16.0,54.0,13.0,37.0,12.0,14.0,36.0,11.0,25.0,15.0,21.0,28.0,19.0
2503,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,32.0,19.0,11.0,21.0,13.0,40.0,15.0,9.0,8.0,20.0,10.0,17.0,14.0,12.0,25.0,72.0,30.0,35.0,43.0,53.0,38.0,18.0
2552,0.0,1.0,2.0,6.0,4.0,5.0,7.0,3.0,13.0,21.0,9.0,20.0,14.0,37.0,11.0,30.0,24.0,12.0,26.0,60.0,38.0,22.0,17.0,102.0,15.0,8.0,68.0,27.0,25.0,10.0
2601,0.0,1.0,7.0,2.0,4.0,3.0,5.0,6.0,12.0,14.0,10.0,13.0,16.0,8.0,15.0,18.0,23.0,9.0,30.0,103.0,19.0,40.0,36.0,66.0,11.0,33.0,50.0,17.0,20.0,91.0
2650,0.0,2.0,4.0,1.0,6.0,5.0,3.0,7.0,11.0,12.0,10.0,19.0,8.0,17.0,9.0,25.0,61.0,22.0,29.0,41.0,23.0,42.0,13.0,55.0,16.0,15.0,90.0,14.0,24.0,27.0
2699,0.0,2.0,3.0,1.0,8.0,4.0,5.0,7.0,29.0,17.0,10.0,12.0,9.0,70.0,6.0,13.0,72.0,41.0,33.0,66.0,27.0,14.0,26.0,23.0,21.0,28.0,22.0,34.0,15.0,78.0
2748,0.0,1.0,2.0,4.0,6.0,3.0,7.0,5.0,10.0,13.0,12.0,11.0,9.0,8.0,14.0,17.0,16.0,26.0,31.0,30.0,39.0,67.0,32.0,40.0,27.0,36.0,21.0,18.0,20.0,28.0
2797,0.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,48.0,26.0,8.0,10.0,11.0,15.0,13.0,12.0,22.0,25.0,20.0,69.0,56.0,65.0,29.0,95.0,14.0,40.0,18.0,24.0,38.0,43.0
2846,0.0,1.0,6.0,2.0,7.0,4.0,5.0,3.0,22.0,23.0,10.0,11.0,16.0,39.0,8.0,12.0,9.0,15.0,20.0,32.0,26.0,61.0,18.0,31.0,14.0,27.0,24.0,17.0,33.0,21.0
2895,0.0,1.0,6.0,8.0,5.0,2.0,7.0,3.0,26.0,20.0,10.0,11.0,9.0,13.0,4.0,91.0,18.0,29.0,96.0,14.0,12.0,23.0,31.0,43.0,22.0,17.0,62.0,24.0,50.0,44.0
2944,0.0,2.0,1.0,4.0,10.0,3.0,9.0,11.0,15.0,17.0,16.0,8.0,25.0,5.0,13.0,21.0,20.0,14.0,7.0,6.0,23.0,64.0,18.0,93.0,22.0,19.0,36.0,24.0,52.0,28.0
2993,11.0,1.0,0.0,7.0,6.0,4.0,3.0,5.0,25.0,38.0,15.0,10.0,17.0,8.0,12.0,23.0,13.0,9.0,16.0,2.0,22.0,91.0,34.0,47.0,56.0,14.0,33.0,41.0,45.0,18.0
3042,1.0,0.0,2.0,11.0,4.0,5.0,3.0,7.0,14.0,16.0,18.0,12.0,38.0,8.0,21.0,32.0,13.0,10.0,9.0,6.0,76.0,50.0,19.0,41.0,23.0,17.0,20.0,27.0,22.0,48.0
3091,0.0,3.0,4.0,1.0,7.0,6.0,2.0,9.0,35.0,18.0,11.0,8.0,26.0,13.0,15.0,45.0,16.0,23.0,12.0,17.0,19.0,49.0,37.0,57.0,10.0,5.0,40.0,47.0,31.0,30.0
3140,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,17.0,10.0,23.0,32.0,18.0,9.0,8.0,34.0,13.0,11.0,16.0,15.0,19.0,28.0,42.0,38.0,14.0,12.0,20.0,71.0,22.0,59.0
3189,2.0,0.0,5.0,4.0,8.0,6.0,1.0,14.0,29.0,21.0,20.0,9.0,17.0,12.0,11.0,18.0,74.0,7.0,16.0,3.0,32.0,19.0,36.0,31.0,15.0,10.0,34.0,55.0,44.0,13.0
3238,0.0,1.0,3.0,7.0,10.0,2.0,4.0,13.0,16.0,26.0,19.0,9.0,17.0,5.0,11.0,31.0,29.0,12.0,8.0,6.0,23.0,47.0,34.0,114.0,18.0,15.0,21.0,60.0,66.0,14.0
3287,0.0,1.0,4.0,6.0,10.0,11.0,2.0,7.0,52.0,5.0,9.0,20.0,27.0,8.0,12.0,43.0,38.0,3.0,16.0,15.0,26.0,29.0,14.0,23.0,24.0,13.0,18.0,83.0,34.0,37.0
3336,0.0,1.0,3.0,5.0,4.0,8.0,2.0,6.0,45.0,21.0,14.0,13.0,7.0,9.0,12.0,57.0,30.0,19.0,15.0,10.0,58.0,29.0,28.0,59.0,11.0,18.0,40.0,50.0,81.0,35.0
3385,0.0,1.0,8.0,2.0,4.0,6.0,5.0,7.0,32.0,16.0,13.0,14.0,18.0,3.0,19.0,29.0,35.0,24.0,15.0,9.0,50.0,27.0,26.0,47.0,10.0,11.0,48.0,30.0,39.0,34.0
3434,0.0,1.0,6.0,7.0,4.0,9.0,2.0,10.0,8.0,3.0,17.0,5.0,18.0,14.0,13.0,11.0,40.0,21.0,20.0,106.0,24.0,16.0,81.0,29.0,37.0,19.0,70.0,31.0,27.0,34.0
3483,0.0,3.0,4.0,1.0,2.0,7.0,5.0,13.0,6.0,16.0,14.0,9.0,27.0,21.0,8.0,10.0,18.0,47.0,35.0,40.0,17.0,30.0,82.0,24.0,15.0,33.0,12.0,20.0,81.0,11.0
3532,1.0,0.0,10.0,2.0,3.0,5.0,4.0,6.0,11.0,14.0,9.0,21.0,18.0,17.0,7.0,19.0,16.0,51.0,46.0,20.0,29.0,106.0,43.0,35.0,13.0,12.0,22.0,27.0,15.0,39.0
3581,0.0,2.0,3.0,6.0,7.0,18.0,1.0,4.0,11.0,5.0,17.0,16.0,59.0,32.0,9.0,42.0,10.0,12.0,22.0,61.0,25.0,8.0,56.0,23.0,20.0,27.0,28.0,58.0,104.0,26.0
3630,1.0,0.0,6.0,12.0,3.0,5.0,2.0,17.0,10.0,4.0,32.0,7.0,15.0,49.0,11.0,27.0,16.0,24.0,19.0,9.0,13.0,30.0,39.0,8.0,33.0,54.0,127.0,14.0,31.0,63.0
3679,1.0,0.0,5.0,2.0,7.0,10.0,6.0,11.0,17.0,4.0,9.0,3.0,8.0,20.0,12.0,13.0,21.0,16.0,33.0,27.0,30.0,48.0,31.0,49.0,14.0,22.0,56.0,52.0,42.0,40.0
3728,0.0,2.0,3.0,5.0,6.0,4.0,1.0,10.0,7.0,8.0,9.0,15.0,18.0,25.0,14.0,30.0,12.0,16.0,38.0,24.0,80.0,19.0,17.0,40.0,29.0,13.0,27.0,35.0,60.0,21.0
3777,0.0,1.0,4.0,3.0,7.0,6.0,2.0,10.0,8.0,5.0,9.0,11.0,28.0,37.0,17.0,12.0,43.0,19.0,46.0,20.0,23.0,32.0,13.0,85.0,21.0,22.0,30.0,31.0,52.0,15.0
3826,0.0,1.0,6.0,4.0,7.0,5.0,2.0,17.0,8.0,3.0,25.0,9.0,23.0,20.0,21.0,11.0,15.0,31.0,24.0,10.0,16.0,28.0,42.0,14.0,37.0,26.0,41.0,19.0,90.0,13.0
3875,0.0,2.0,5.0,9.0,4.0,7.0,1.0,8.0,20.0,3.0,13.0,6.0,29.0,18.0,12.0,10.0,17.0,23.0,19.0,33.0,22.0,37.0,30.0,16.0,32.0,52.0,40.0,11.0,31.0,14.0
3924,0.0,1.0,2.0,3.0,6.0,4.0,5.0,29.0,7.0,20.0,10.0,35.0,51.0,9.0,25.0,27.0,13.0,19.0,26.0,16.0,23.0,11.0,15.0,125.0,33.0,14.0,17.0,62.0,44.0,12.0
3973,0.0,1.0,2.0,4.0,3.0,5.0,9.0,11.0,6.0,7.0,8.0,13.0,14.0,17.0,18.0,27.0,10.0,12.0,23.0,24.0,32.0,22.0,35.0,45.0,64.0,108.0,19.0,15.0,70.0,30.0
4022,0.0,1.0,7.0,2.0,4.0,6.0,3.0,9.0,5.0,15.0,19.0,11.0,8.0,13.0,16.0,14.0,32.0,23.0,34.0,17.0,26.0,12.0,42.0,30.0,18.0,21.0,52.0,60.0,36.0,35.0
4071,0.0,1.0,7.0,6.0,4.0,11.0,3.0,2.0,5.0,13.0,16.0,29.0,21.0,8.0,46.0,64.0,12.0,15.0,27.0,18.0,30.0,10.0,57.0,37.0,32.0,26.0,25.0,93.0,38.0,14.0
4120,0.0,1.0,3.0,2.0,4.0,6.0,5.0,13.0,8.0,25.0,14.0,10.0,23.0,15.0,22.0,17.0,7.0,58.0,16.0,42.0,41.0,18.0,21.0,47.0,61.0,12.0,30.0,72.0,36.0,49.0
4169,1.0,0.0,6.0,7.0,2.0,5.0,3.0,4.0,17.0,13.0,11.0,33.0,8.0,12.0,84.0,24.0,14.0,18.0,38.0,19.0,90.0,9.0,31.0,55.0,21.0,41.0,20.0,28.0,44.0,52.0
4218,1.0,0.0,4.0,6.0,13.0,2.0,5.0,12.0,9.0,3.0,8.0,7.0,11.0,17.0,32.0,18.0,19.0,16.0,38.0,61.0,44.0,23.0,14.0,57.0,69.0,39.0,31.0,36.0,67.0,51.0
4267,5.0,0.0,3.0,2.0,6.0,1.0,8.0,7.0,4.0,15.0,23.0,17.0,25.0,29.0,28.0,13.0,18.0,11.0,9.0,12.0,10.0,27.0,22.0,33.0,45.0,42.0,78.0,38.0,39.0,21.0
4316,0.0,1.0,2.0,3.0,4.0,6.0,5.0,13.0,11.0,19.0,36.0,7.0,10.0,9.0,27.0,16.0,17.0,21.0,23.0,39.0,15.0,8.0,29.0,22.0,55.0,34.0,66.0,14.0,44.0,33.0
4365,0.0,1.0,4.0,3.0,6.0,2.0,5.0,14.0,7.0,44.0,12.0,27.0,16.0,11.0,28.0,18.0,23.0,19.0,8.0,9.0,106.0,24.0,17.0,38.0,78.0,61.0,37.0,26.0,32.0,25.0
4414,0.0,2.0,1.0,15.0,5.0,4.0,3.0,14.0,13.0,22.0,8.0,11.0,10.0,16.0,9.0,30.0,21.0,29.0,12.0,7.0,54.0,36.0,19.0,6.0,27.0,40.0,90.0,20.0,18.0,51.0
4463,0.0,1.0,2.0,7.0,4.0,5.0,3.0,11.0,22.0,8.0,27.0,10.0,12.0,14.0,6.0,46.0,13.0,16.0,25.0,9.0,31.0,43.0,29.0,24.0,33.0,21.0,15.0,19.0,39.0,69.0
4512,1.0,0.0,2.0,5.0,4.0,6.0,3.0,11.0,15.0,8.0,12.0,19.0,14.0,7.0,13.0,35.0,9.0,20.0,42.0,45.0,16.0,27.0,30.0,29.0,31.0,17.0,18.0,22.0,10.0,125.0
4561,1.0,4.0,5.0,7.0,3.0,6.0,0.0,20.0,9.0,2.0,13.0,16.0,15.0,32.0,12.0,17.0,10.0,22.0,11.0,8.0,21.0,25.0,19.0,23.0,47.0,33.0,54.0,71.0,14.0,65.0
4610,1.0,0.0,4.0,5.0,3.0,2.0,7.0,9.0,12.0,21.0,6.0,8.0,17.0,10.0,15.0,37.0,25.0,20.0,11.0,19.0,26.0,27.0,14.0,24.0,16.0,28.0,32.0,102.0,31.0,49.0
4659,3.0,1.0,4.0,5.0,0.0,10.0,2.0,8.0,18.0,6.0,12.0,7.0,13.0,28.0,15.0,54.0,24.0,9.0,34.0,22.0,21.0,31.0,27.0,11.0,56.0,42.0,88.0,25.0,33.0,36.0
4708,0.0,1.0,2.0,5.0,7.0,3.0,4.0,6.0,15.0,27.0,11.0,13.0,10.0,8.0,22.0,12.0,9.0,38.0,55.0,18.0,29.0,72.0,34.0,26.0,28.0,30.0,61.0,33.0,17.0,52.0
4757,1.0,0.0,2.0,9.0,7.0,5.0,3.0,14.0,13.0,4.0,18.0,15.0,10.0,6.0,17.0,51.0,8.0,48.0,12.0,31.0,49.0,20.0,28.0,23.0,19.0,52.0,26.0,118.0,11.0,25.0
4806,2.0,1.0,0.0,4.0,3.0,7.0,5.0,9.0,16.0,13.0,11.0,10.0,6.0,19.0,14.0,21.0,12.0,52.0,121.0,15.0,34.0,26.0,18.0,38.0,32.0,64.0,20.0,63.0,37.0,65.0
4855,1.0,2.0,0.0,9.0,3.0,12.0,7.0,13.0,10.0,5.0,11.0,15.0,6.0,8.0,19.0,23.0,14.0,26.0,30.0,4.0,139.0,27.0,17.0,16.0,99.0,51.0,37.0,22.0,21.0,18.0
