,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
1670,0.0,11.0,12.0,3.0,10.0,4.0,6.0,95.0,56.0,16.0,5.0,1.0,15.0,22.0,20.0,21.0,45.0,2.0,14.0,8.0,46.0,67.0,116.0,30.0,64.0,7.0,58.0,106.0,29.0,42.0
1719,15.0,0.0,56.0,11.0,4.0,1.0,6.0,54.0,7.0,30.0,13.0,43.0,32.0,14.0,2.0,130.0,72.0,35.0,3.0,17.0,106.0,5.0,77.0,34.0,50.0,76.0,44.0,137.0,60.0,70.0
1768,0.0,1.0,11.0,7.0,10.0,51.0,2.0,55.0,4.0,144.0,12.0,3.0,9.0,35.0,13.0,17.0,88.0,16.0,19.0,6.0,33.0,26.0,76.0,62.0,21.0,57.0,45.0,100.0,49.0,124.0
1817,0.0,3.0,1.0,18.0,51.0,9.0,2.0,11.0,41.0,16.0,21.0,4.0,6.0,22.0,7.0,10.0,19.0,25.0,8.0,5.0,28.0,68.0,86.0,34.0,121.0,30.0,56.0,74.0,94.0,66.0
1866,2.0,1.0,3.0,0.0,19.0,12.0,15.0,16.0,42.0,13.0,50.0,54.0,11.0,6.0,51.0,18.0,10.0,14.0,52.0,7.0,136.0,8.0,61.0,4.0,34.0,40.0,48.0,25.0,107.0,93.0
1915,1.0,5.0,7.0,2.0,18.0,0.0,6.0,4.0,23.0,19.0,121.0,3.0,103.0,10.0,16.0,22.0,49.0,21.0,20.0,41.0,107.0,12.0,56.0,39.0,115.0,8.0,14.0,9.0,55.0,27.0
1964,0.0,2.0,5.0,72.0,20.0,27.0,1.0,32.0,24.0,41.0,19.0,11.0,6.0,30.0,45.0,21.0,3.0,9.0,7.0,50.0,16.0,74.0,18.0,39.0,69.0,22.0,49.0,112.0,14.0,120.0
2013,2.0,4.0,9.0,63.0,23.0,7.0,0.0,17.0,16.0,8.0,12.0,15.0,26.0,1.0,42.0,57.0,3.0,5.0,21.0,24.0,13.0,31.0,6.0,48.0,130.0,33.0,37.0,14.0,59.0,10.0
2062,0.0,27.0,4.0,20.0,11.0,3.0,1.0,91.0,23.0,12.0,9.0,6.0,48.0,8.0,16.0,22.0,13.0,37.0,2.0,68.0,45.0,31.0,21.0,29.0,83.0,24.0,97.0,35.0,82.0,14.0
2111,0.0,2.0,4.0,24.0,8.0,3.0,1.0,69.0,5.0,15.0,7.0,21.0,20.0,13.0,18.0,75.0,16.0,12.0,78.0,26.0,17.0,56.0,25.0,31.0,153.0,87.0,30.0,32.0,61.0,65.0
2160,0.0,4.0,25.0,12.0,7.0,5.0,1.0,41.0,23.0,16.0,18.0,8.0,2.0,19.0,26.0,10.0,91.0,112.0,6.0,30.0,53.0,81.0,21.0,13.0,35.0,31.0,104.0,17.0,47.0,29.0
2209,0.0,4.0,32.0,8.0,3.0,1.0,2.0,31.0,10.0,7.0,6.0,18.0,5.0,35.0,26.0,36.0,17.0,14.0,9.0,25.0,23.0,20.0,38.0,75.0,33.0,11.0,24.0,15.0,13.0,19.0
2258,0.0,3.0,15.0,130.0,35.0,6.0,1.0,18.0,8.0,25.0,26.0,32.0,11.0,7.0,58.0,16.0,27.0,10.0,13.0,36.0,20.0,50.0,64.0,106.0,145.0,9.0,40.0,17.0,42.0,56.0
