,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,SIRPB1_AMP,FMN2_AMP,ZNF438_DEL,OR2T11_AMP,FAM190A_DEL,MCEE_AMP,ZBTB20_AMP,SLC7A5P2_DEL,LPA_AMP,HLA-H_DEL,OR51A4_DEL,HERC2P2_AMP,RBFOX1_DEL,OR52N1_DEL,LOC100190986_DEL,NPIPL3_DEL,AATK_AMP,SORD_AMP,MACROD2_DEL,PRH1-PRR4_DEL,TOP2B_MUT,LOC100271836_DEL,OR52N5_DEL,ADCY8_DEL,LRRC37A_AMP,LINC00202_AMP,MGAM_DEL
1795,0.0,4.0,10.0,2.0,9.0,18.0,14.0,1.0,13.0,5.0,19.0,12.0,8.0,6.0,7.0,23.0,22.0,43.0,44.0,41.0,42.0,53.0,31.0,36.0,50.0,39.0,64.0,257.0,95.0,91.0
1844,0.0,8.0,13.0,9.0,1.0,45.0,4.0,17.0,19.0,27.0,12.0,20.0,2.0,31.0,11.0,41.0,14.0,25.0,26.0,24.0,930.0,16.0,3.0,18.0,29.0,21.0,54.0,67.0,86.0,84.0
1893,0.0,2.0,3.0,8.0,12.0,13.0,19.0,5.0,11.0,7.0,15.0,10.0,1.0,9.0,14.0,16.0,4.0,28.0,27.0,17.0,247.0,22.0,24.0,25.0,37.0,6.0,30.0,44.0,68.0,36.0
1942,0.0,1.0,2.0,4.0,5.0,10.0,12.0,3.0,26.0,11.0,14.0,15.0,8.0,16.0,6.0,99.0,7.0,21.0,22.0,27.0,103.0,35.0,45.0,29.0,25.0,13.0,86.0,9.0,165.0,100.0
1991,1.0,2.0,5.0,0.0,8.0,6.0,3.0,21.0,11.0,37.0,10.0,41.0,4.0,14.0,56.0,26.0,45.0,36.0,35.0,59.0,16.0,61.0,12.0,18.0,46.0,73.0,15.0,25.0,24.0,9.0
2040,0.0,1.0,2.0,7.0,38.0,3.0,6.0,15.0,8.0,17.0,4.0,10.0,11.0,5.0,23.0,14.0,98.0,13.0,12.0,83.0,59.0,94.0,50.0,20.0,9.0,115.0,18.0,35.0,36.0,130.0
2089,1.0,0.0,2.0,3.0,5.0,13.0,9.0,79.0,12.0,62.0,15.0,4.0,6.0,14.0,34.0,8.0,75.0,43.0,44.0,22.0,25.0,66.0,11.0,19.0,60.0,100.0,10.0,52.0,71.0,76.0
2138,3.0,0.0,4.0,1.0,12.0,16.0,14.0,57.0,18.0,2.0,13.0,5.0,9.0,6.0,13306.0,17.0,69.0,23.0,22.0,62.0,19.0,122.0,383.0,77.0,35.0,178.0,15.0,29.0,36.0,54.0
2187,1.0,2.0,3.0,0.0,11.0,7.0,4.0,27.0,12.0,6.0,9.0,5.0,58.0,8.0,14.0,22.0,28.0,25.0,26.0,116.0,88.0,761.0,13.0,29.0,30.0,39.0,35.0,20.0,47.0,19.0
2236,1.0,0.0,2.0,3.0,7.0,6.0,8.0,20.0,11.0,24.0,12.0,15.0,4.0,5.0,54.0,36.0,67.0,27.0,26.0,31.0,47.0,156.0,28.0,9.0,32.0,116.0,29.0,25.0,21.0,49.0
2285,0.0,1.0,2.0,4.0,3.0,6.0,7.0,9.0,62.0,64.0,13.0,14.0,19.0,5.0,25.0,11.0,23.0,32.0,31.0,47.0,37.0,12.0,35.0,24.0,40.0,26.0,10.0,28.0,91.0,27.0
2334,0.0,1.0,3.0,2.0,8.0,31.0,4.0,92.0,13.0,17.0,11.0,7.0,39.0,20.0,40.0,6.0,12.0,30.0,29.0,26.0,147.0,306.0,43.0,14.0,37.0,15.0,5.0,44.0,221.0,47.0
2383,1.0,0.0,2.0,3.0,5.0,8.0,6.0,120.0,34.0,32.0,11.0,16.0,4.0,40.0,115.0,12.0,182.0,13.0,14.0,76.0,33.0,320.0,26.0,31.0,19.0,331.0,30.0,1152.0,121.0,113.0
2432,1.0,0.0,2.0,8.0,3.0,10.0,6.0,53.0,31.0,11.0,19.0,5.0,25.0,14.0,38.0,50.0,7.0,42.0,43.0,65.0,21.0,107.0,4.0,28.0,37.0,13.0,16.0,26.0,29.0,143.0
2481,0.0,2.0,3.0,1.0,4.0,10.0,7.0,24.0,11.0,50.0,16.0,25.0,32.0,29.0,23.0,9.0,5.0,44.0,43.0,31.0,6.0,291.0,17.0,21.0,60.0,8.0,37.0,12.0,69.0,26.0
2530,3.0,0.0,2.0,1.0,10.0,9.0,4.0,7.0,41.0,31.0,23.0,11.0,57.0,32.0,18.0,17.0,22.0,86.0,85.0,138.0,6.0,51.0,19.0,28.0,128.0,37.0,25.0,8.0,49.0,14.0
2579,0.0,1.0,3.0,2.0,6.0,5.0,4.0,11.0,13.0,257.0,23.0,87.0,14.0,31.0,7.0,68.0,74.0,51.0,50.0,24.0,10.0,45.0,16.0,27.0,67.0,117.0,17.0,9.0,85.0,15.0
2628,0.0,1.0,3.0,2.0,20.0,9.0,5.0,16.0,37.0,24.0,13.0,10.0,27.0,21.0,7.0,30.0,306.0,35.0,34.0,11.0,4.0,36.0,15.0,29.0,41.0,997.0,23.0,8.0,83.0,6.0
2677,0.0,1.0,4.0,2.0,3.0,24.0,5.0,34.0,25.0,23.0,12.0,115.0,14.0,7.0,19.0,36.0,28.0,32.0,31.0,30.0,15.0,176.0,6.0,69.0,37.0,41.0,17.0,13.0,58.0,9.0
2726,0.0,1.0,3.0,2.0,4.0,36.0,5.0,26.0,10.0,22.0,20.0,14.0,29.0,12.0,23.0,55.0,28.0,37.0,38.0,31.0,24.0,137.0,7.0,41.0,54.0,42.0,19.0,6.0,63.0,8.0
2775,1.0,0.0,2.0,3.0,7.0,14.0,9.0,5.0,26.0,48.0,47.0,21.0,45.0,17.0,11.0,145.0,19.0,110.0,111.0,36.0,4.0,81.0,12.0,25.0,233.0,32.0,56.0,6.0,43.0,34.0
2824,0.0,2.0,3.0,1.0,9.0,27.0,4.0,5.0,26.0,19.0,25.0,34.0,8.0,10.0,29.0,30.0,116.0,21.0,22.0,38.0,7.0,134.0,16.0,53.0,35.0,270.0,14.0,6.0,81.0,17.0
2873,1.0,0.0,2.0,3.0,6.0,11.0,5.0,14.0,8.0,58.0,13.0,29.0,4.0,87.0,16.0,23.0,47.0,19.0,20.0,18.0,7.0,48.0,10.0,30.0,32.0,83.0,21.0,15.0,33.0,22.0
2922,0.0,1.0,2.0,4.0,3.0,18.0,6.0,16.0,12.0,9.0,17.0,28.0,11.0,14.0,13.0,64.0,36.0,47.0,46.0,61.0,8.0,26.0,23.0,37.0,44.0,34.0,40.0,5.0,51.0,20.0
2971,1.0,2.0,3.0,0.0,6.0,5.0,15.0,14.0,16.0,10.0,23.0,13.0,57.0,90.0,20.0,8.0,21.0,29.0,30.0,61.0,164.0,4.0,2408.0,36.0,32.0,33.0,275.0,19.0,80.0,58.0
3020,2.0,0.0,1.0,3.0,6.0,4.0,7.0,32.0,13.0,5.0,40.0,10.0,11.0,12.0,95.0,25.0,54.0,59.0,58.0,64.0,17224.0,100.0,342.0,8.0,72.0,84.0,217.0,390.0,24.0,52.0
3069,2.0,0.0,1.0,3.0,23.0,6.0,14.0,13.0,20.0,5.0,7.0,21.0,28.0,17.0,22.0,50.0,29.0,8.0,9.0,34.0,329.0,12.0,59.0,37.0,11.0,49.0,78.0,1665.0,58.0,39.0
3118,0.0,1.0,2.0,4.0,5.0,3.0,23.0,7.0,16.0,14.0,13.0,6.0,201.0,18.0,21.0,44.0,35.0,11.0,12.0,26.0,29.0,8.0,1557.0,22.0,15.0,52.0,146.0,165.0,40.0,104.0
3167,0.0,2.0,3.0,1.0,4.0,15.0,16.0,23.0,5.0,7.0,11.0,41.0,1183.0,17.0,38.0,26.0,27.0,9.0,8.0,59.0,31.0,14.0,395.0,67.0,12.0,35.0,77.0,48.0,34.0,131.0
3216,3.0,0.0,2.0,1.0,6.0,5.0,8.0,9.0,4.0,17.0,44.0,10.0,12.0,23.0,11.0,24.0,48.0,33.0,32.0,27.0,87.0,7.0,477.0,78.0,63.0,69.0,96.0,13.0,20.0,14.0
3265,1.0,0.0,2.0,3.0,11.0,5.0,19.0,32.0,17.0,7.0,6.0,265.0,277.0,23.0,15.0,18.0,309.0,9.0,8.0,31.0,20.0,12.0,55.0,27.0,13.0,550.0,113.0,24.0,26.0,21.0
3314,0.0,1.0,3.0,2.0,10.0,4.0,12.0,7.0,19.0,8.0,33.0,9.0,1658.0,15.0,16.0,37.0,94.0,29.0,28.0,24.0,114.0,5.0,115.0,25.0,36.0,135.0,117.0,107.0,22.0,52.0
3363,0.0,2.0,4.0,3.0,5.0,6.0,27.0,79.0,13.0,14.0,11.0,7.0,437.0,59.0,69.0,30.0,36.0,10.0,9.0,23.0,51.0,26.0,37.0,19.0,16.0,47.0,1102.0,115.0,44.0,383.0
3412,0.0,2.0,3.0,1.0,18.0,9.0,12.0,10.0,5.0,7.0,32.0,8.0,22.0,13.0,15.0,29.0,50.0,35.0,36.0,52.0,20.0,11.0,165.0,16.0,45.0,79.0,1202.0,85.0,17.0,133.0
3461,0.0,1.0,2.0,7.0,23.0,6.0,30.0,3.0,9.0,12.0,16.0,58.0,8.0,10.0,5.0,15.0,22.0,41.0,40.0,13.0,59.0,24.0,11.0,32.0,57.0,39.0,33.0,48.0,20.0,63.0
3510,0.0,1.0,2.0,21.0,54.0,3.0,23.0,4.0,7.0,20.0,11.0,17.0,19.0,5.0,25.0,8.0,6.0,27.0,28.0,22.0,48.0,67.0,24.0,33.0,38.0,10.0,34.0,1724.0,16.0,94.0
3559,0.0,1.0,2.0,16.0,24.0,10.0,3.0,23.0,47.0,11.0,13.0,6.0,7.0,295.0,27.0,15.0,5.0,37.0,36.0,21.0,14.0,152.0,12.0,32.0,43.0,8.0,4.0,52.0,18.0,86.0
3608,0.0,1.0,2.0,3.0,11.0,6.0,14.0,9.0,5.0,30.0,29.0,16.0,8.0,101.0,13.0,46.0,22.0,90.0,91.0,102.0,7.0,44.0,48.0,53.0,122.0,24.0,28.0,103.0,50.0,151.0
3657,0.0,1.0,2.0,15.0,122.0,42.0,13.0,10.0,52.0,5.0,8.0,20.0,3.0,69.0,12.0,62.0,4.0,24.0,25.0,51.0,45.0,44.0,9.0,22.0,38.0,6.0,67.0,21.0,29.0,128.0
3706,1.0,0.0,2.0,6.0,17.0,4.0,23.0,7.0,10.0,14.0,21.0,66.0,3.0,46.0,26.0,31.0,8.0,112.0,113.0,11.0,18.0,59.0,15.0,30.0,85.0,12.0,27.0,24.0,16.0,44.0
3755,0.0,1.0,2.0,3.0,9.0,4.0,35.0,10.0,23.0,27.0,26.0,114.0,6.0,62.0,29.0,28.0,12.0,46.0,47.0,24.0,13.0,44.0,134.0,32.0,94.0,15.0,7.0,25.0,21.0,5.0
3804,0.0,2.0,3.0,1.0,312.0,4.0,13.0,5.0,8.0,7.0,52.0,9.0,6.0,58.0,29.0,11.0,16.0,112.0,113.0,34.0,23.0,41.0,32.0,30.0,179.0,24.0,17.0,37.0,27.0,18.0
3853,2.0,0.0,1.0,3.0,5.0,10.0,6.0,63.0,48.0,111.0,18.0,39.0,4.0,95.0,16.0,25.0,31.0,20.0,19.0,23.0,7.0,12.0,11.0,62.0,28.0,58.0,21.0,71.0,44.0,36.0
3902,0.0,1.0,2.0,5.0,225.0,4.0,10.0,31.0,39.0,6.0,12.0,19.0,3.0,221.0,8.0,33.0,47.0,56.0,57.0,30.0,22.0,85.0,32.0,121.0,69.0,119.0,13.0,9.0,21.0,17.0
3951,1.0,2.0,3.0,0.0,28.0,10.0,7.0,4.0,8.0,12.0,5.0,19.0,96.0,6.0,14.0,9.0,34.0,17.0,16.0,36.0,11.0,112.0,128.0,462.0,22.0,35.0,30.0,51.0,91.0,225.0
4000,0.0,1.0,3.0,2.0,19.0,4.0,17.0,5.0,7.0,6.0,8.0,25.0,22.0,13.0,15.0,47.0,29.0,10.0,11.0,56.0,26.0,20.0,119.0,36.0,16.0,35.0,190.0,21.0,39.0,41.0
4049,1.0,4.0,5.0,0.0,54.0,3.0,9.0,11.0,7.0,10.0,8.0,23.0,78.0,12.0,2.0,6.0,33.0,14.0,15.0,43.0,21.0,16.0,48.0,31.0,22.0,50.0,60.0,56.0,34.0,25.0
4098,0.0,2.0,3.0,1.0,38.0,4.0,33.0,5.0,10.0,36.0,14.0,20.0,203.0,25.0,48.0,8.0,11.0,23.0,22.0,53.0,13.0,24.0,27.0,42.0,29.0,15.0,121.0,9.0,40.0,12.0
4147,0.0,2.0,8.0,1.0,5.0,6.0,22.0,13.0,9.0,12.0,7.0,33.0,16.0,41.0,50.0,18.0,19.0,23.0,24.0,37.0,43.0,105.0,20.0,30.0,26.0,27.0,70.0,49.0,143.0,61.0
4196,0.0,1.0,2.0,3.0,9.0,6.0,17.0,8.0,5.0,12.0,14.0,20.0,22.0,15.0,4.0,16.0,7.0,28.0,27.0,38.0,11.0,173.0,43.0,36.0,41.0,13.0,40.0,31.0,42.0,61.0
4245,1.0,0.0,3.0,2.0,12.0,4.0,16.0,23.0,6.0,22.0,15.0,82.0,93.0,9.0,34.0,5.0,17.0,42.0,43.0,31.0,40.0,37.0,58.0,32.0,65.0,26.0,11.0,45.0,21.0,28.0
4294,0.0,3.0,4.0,2.0,25.0,1.0,13.0,6.0,29.0,31.0,7.0,21.0,139.0,9.0,8.0,30.0,10.0,19.0,20.0,16.0,17.0,38.0,22.0,45.0,37.0,14.0,23.0,56.0,32.0,43.0
4343,1.0,2.0,3.0,0.0,47.0,4.0,42.0,5.0,25.0,7.0,9.0,48.0,59.0,18.0,6.0,10.0,30.0,23.0,24.0,53.0,17.0,64.0,87.0,43.0,28.0,33.0,38.0,13.0,75.0,20.0
4392,0.0,2.0,3.0,1.0,40.0,8.0,38.0,26.0,4.0,7.0,9.0,17.0,76.0,13.0,369.0,11.0,12.0,25.0,24.0,27.0,192.0,294.0,41.0,19.0,33.0,18.0,45.0,105.0,129.0,51.0
4441,1.0,2.0,5.0,0.0,3.0,15.0,10.0,9.0,21.0,14.0,37.0,81.0,8.0,7.0,26.0,17.0,74.0,30.0,31.0,34.0,94.0,4.0,46.0,40.0,41.0,143.0,52.0,20.0,32.0,23.0
4490,3.0,0.0,1.0,2.0,5.0,15.0,14.0,22.0,19.0,68.0,9.0,12.0,54.0,40.0,52.0,4.0,173.0,24.0,23.0,94.0,516.0,8.0,51.0,17.0,26.0,447.0,81.0,10.0,39.0,31.0
4539,1.0,0.0,2.0,3.0,16.0,41.0,9.0,4.0,11.0,14.0,18.0,15.0,20.0,7.0,61.0,54.0,52.0,42.0,43.0,67.0,578.0,5.0,62.0,29.0,57.0,89.0,95.0,19.0,24.0,77.0
4588,1.0,0.0,2.0,4.0,5.0,14.0,8.0,7.0,13.0,21.0,18.0,3.0,10.0,6.0,48.0,20.0,87.0,38.0,37.0,31.0,27.0,16.0,55.0,39.0,34.0,179.0,59.0,99.0,33.0,15.0
4637,2.0,1.0,4.0,0.0,6.0,11.0,7.0,3.0,44.0,20.0,31.0,9.0,15.0,5.0,24.0,13.0,81.0,59.0,60.0,42.0,92.0,10.0,18.0,36.0,73.0,235.0,67.0,12.0,27.0,17.0
4686,0.0,3.0,5.0,4.0,2.0,20.0,7.0,6.0,27.0,22.0,15.0,8.0,53.0,1.0,24.0,36.0,340.0,37.0,38.0,54.0,126.0,18.0,17.0,14.0,52.0,405.0,60.0,263.0,11.0,19.0
4735,0.0,2.0,7.0,1.0,4.0,10.0,11.0,5.0,14.0,70.0,20.0,6.0,40.0,3.0,13.0,16.0,6870.0,37.0,38.0,41.0,31.0,8.0,15.0,59.0,44.0,9797.0,21.0,26.0,17.0,47.0
4784,5.0,1.0,2.0,0.0,6.0,21.0,4.0,3.0,13.0,12.0,27.0,16.0,18.0,7.0,17.0,30.0,235.0,38.0,37.0,80.0,43.0,15.0,59.0,79.0,45.0,425.0,68.0,9.0,40.0,183.0
4833,1.0,3.0,6.0,0.0,7.0,4.0,12.0,5.0,43.0,27.0,18.0,8.0,36.0,2.0,28.0,31.0,32.0,38.0,37.0,29.0,170.0,9.0,47.0,15.0,56.0,52.0,501.0,62.0,17.0,53.0
4882,0.0,2.0,5.0,1.0,7.0,13.0,6.0,4.0,14.0,35.0,29.0,16.0,15.0,12.0,10.0,26.0,30.0,54.0,55.0,60.0,134.0,3.0,37.0,36.0,76.0,46.0,40.0,21.0,18.0,17.0
