,BSPRY,TSTD1,ITGB6,SYTL1,C10orf54,EVPL,ARHGAP27,CASP10,DSG2,ZBED2,ELOVL7,FAM110C,RP11-511B23.3,NUP62CL,GJB4,MAPK8IP1,DYRK3,PDZRN3,ENPP1,TMEM238,ANKRD30B,SPRR2A,DDR2,KRT16P2,VAMP8,GALNT3,ZCCHC24,MLK4,TUBB2A,XXbac-BPG252P9.10
497,17.0,16.0,7.0,9.0,12.0,65.0,3.0,26.0,650.0,10.0,45.0,15743.0,5555.0,8709.0,5082.0,8.0,64.0,15.0,23041.0,7549.0,35.0,4.0,13.0,1.0,193.0,76.0,61.0,6.0,21678.0,249.0
546,14.0,0.0,69.0,6.0,42.0,11664.0,294.0,24.0,11987.0,2.0,31.0,109.0,21.0,4.0,16204.0,4715.0,3.0,81.0,23171.0,7689.0,27.0,15395.0,17275.0,10372.0,5.0,555.0,35.0,17459.0,1104.0,22900.0
595,2.0,26.0,34.0,1.0,38.0,25.0,9735.0,8.0,11985.0,13.0,59.0,16481.0,12.0,62.0,16232.0,0.0,33.0,36.0,22687.0,39.0,43.0,6.0,17284.0,10345.0,225.0,47.0,42.0,17489.0,1043.0,22951.0
644,4.0,9.0,1.0,32.0,38.0,31.0,65.0,41.0,12009.0,6.0,35.0,16.0,37.0,75.0,16213.0,18.0,25.0,12499.0,23134.0,7702.0,48.0,15372.0,17294.0,195.0,16740.0,3.0,36.0,85.0,21198.0,22878.0
693,5.0,17307.0,0.0,30.0,6.0,17.0,640.0,57.0,29.0,10.0,33.0,16465.0,195.0,38.0,16231.0,44.0,24.0,12492.0,23161.0,7692.0,62.0,8.0,17273.0,100.0,16783.0,69.0,3.0,293.0,21216.0,22888.0
742,1.0,4.0,0.0,3.0,57.0,17.0,9865.0,13137.0,414.0,16.0,18.0,140.0,40.0,7.0,16198.0,8.0,30.0,19.0,23165.0,7692.0,61.0,5.0,17284.0,10337.0,198.0,76.0,39.0,17511.0,21183.0,15.0
791,20.0,7.0,0.0,2.0,9.0,15.0,45.0,5.0,11932.0,31.0,44.0,16508.0,36.0,1239.0,76.0,13.0,68.0,14.0,23167.0,7684.0,32.0,27.0,17334.0,23.0,136.0,187.0,75.0,285.0,21216.0,89.0
840,0.0,1.0,2.0,9.0,84.0,10.0,12.0,49.0,111.0,20.0,18.0,69.0,3.0,58.0,16233.0,83.0,8.0,152.0,23133.0,7725.0,38.0,28.0,17287.0,134.0,98.0,32.0,31.0,17522.0,21183.0,22871.0
889,0.0,20.0,2.0,3.0,19506.0,21.0,50.0,8.0,14.0,29.0,12.0,16536.0,38.0,8324.0,16222.0,59.0,7.0,87.0,70.0,7701.0,39.0,73.0,17309.0,13.0,16683.0,4.0,1.0,146.0,21192.0,22879.0
938,5.0,21.0,1.0,3.0,6.0,30.0,9856.0,22.0,127.0,14.0,21870.0,16472.0,9.0,8308.0,42.0,4230.0,17674.0,12465.0,23156.0,7680.0,79.0,82.0,17278.0,10363.0,16729.0,0.0,8.0,17483.0,174.0,109.0
987,2.0,5.0,12917.0,194.0,13.0,153.0,11.0,444.0,94.0,24.0,21861.0,16555.0,5245.0,8393.0,16228.0,35.0,17577.0,12506.0,22.0,109.0,1062.0,6.0,17355.0,10393.0,16696.0,12851.0,128.0,91.0,251.0,64.0
1036,20218.0,0.0,12831.0,78.0,23.0,1.0,11.0,5.0,82.0,2.0,21881.0,16483.0,105.0,8375.0,89.0,7.0,17687.0,12507.0,23170.0,102.0,11870.0,64.0,17280.0,61.0,35.0,12851.0,285.0,17515.0,43.0,566.0
1085,10.0,8.0,351.0,16129.0,6.0,139.0,1.0,42.0,69.0,28.0,21867.0,16490.0,5223.0,8386.0,16251.0,21.0,17629.0,12487.0,282.0,89.0,43.0,0.0,18.0,10365.0,32.0,12869.0,19640.0,141.0,1243.0,22878.0
1134,2.0,0.0,12896.0,207.0,10.0,83.0,1.0,41.0,68.0,94.0,21865.0,16491.0,14.0,8402.0,16241.0,24.0,17701.0,111.0,886.0,76.0,47.0,317.0,17294.0,888.0,16705.0,90.0,19523.0,17475.0,278.0,22939.0
1183,0.0,3.0,98.0,21.0,31.0,1.0,16.0,68.0,11880.0,14376.0,21880.0,16484.0,37.0,12.0,16210.0,11.0,875.0,14.0,23161.0,5.0,11930.0,15403.0,19.0,55.0,16739.0,739.0,19633.0,66.0,2.0,22906.0
1232,2.0,5.0,12884.0,16133.0,12.0,3.0,19.0,9.0,77.0,202.0,14.0,126.0,25.0,108.0,124.0,91.0,17688.0,90.0,0.0,31.0,29.0,48.0,171.0,10367.0,16691.0,297.0,521.0,6.0,158.0,102.0
1281,2.0,46.0,12857.0,10.0,34.0,830.0,23.0,1.0,75.0,81.0,5.0,16544.0,31.0,8.0,16217.0,4695.0,17571.0,93.0,14.0,19.0,236.0,9.0,17345.0,10369.0,16.0,188.0,19645.0,7.0,674.0,22886.0
1330,1.0,2.0,68.0,5.0,32.0,3.0,17.0,7.0,47.0,58.0,12.0,40.0,33.0,6.0,16203.0,4572.0,17679.0,12466.0,4.0,15.0,56.0,81.0,17280.0,94.0,16788.0,12847.0,19653.0,74.0,117.0,22899.0
1379,1.0,4.0,12853.0,9.0,19567.0,2.0,25.0,10.0,27.0,34.0,16.0,39.0,57.0,3.0,16214.0,4681.0,17568.0,8.0,5.0,13.0,7.0,15381.0,17345.0,12.0,43.0,479.0,40.0,17530.0,31.0,144.0
1428,0.0,4.0,46.0,1.0,19560.0,2.0,32.0,6.0,16.0,27.0,25.0,49.0,5238.0,9.0,684.0,143.0,17573.0,19.0,36.0,33.0,114.0,15252.0,17351.0,11.0,14.0,12835.0,97.0,24.0,7.0,22932.0
1477,0.0,2.0,68.0,10.0,1.0,4.0,9770.0,13397.0,12013.0,14363.0,21863.0,112.0,5267.0,8393.0,16233.0,8.0,22.0,3.0,23134.0,7721.0,11937.0,5.0,61.0,27.0,16678.0,9.0,29.0,198.0,21191.0,22873.0
1526,1.0,43.0,6.0,4.0,14.0,27.0,20.0,94.0,11943.0,299.0,154.0,93.0,5198.0,63.0,35.0,12.0,19.0,55.0,23170.0,30.0,11928.0,21.0,2.0,10362.0,16675.0,18.0,0.0,15.0,283.0,118.0
1575,1.0,36.0,8.0,3.0,29.0,42.0,9765.0,13273.0,11879.0,166.0,21862.0,94.0,305.0,5.0,26.0,16.0,22.0,24.0,306.0,156.0,11932.0,19.0,2.0,28.0,16688.0,0.0,10.0,17519.0,269.0,22883.0
1624,12.0,17211.0,12915.0,9.0,47.0,29.0,9828.0,128.0,12002.0,14351.0,84.0,150.0,6327.0,71.0,21.0,72.0,17574.0,2.0,546.0,131.0,67.0,16.0,6.0,10399.0,16657.0,3.0,49.0,182.0,298.0,73.0
1673,6.0,29.0,31.0,53.0,54.0,20.0,77.0,15.0,104.0,82.0,96.0,22.0,98.0,1.0,19.0,4708.0,4.0,3.0,253.0,100.0,18.0,27.0,142.0,62.0,16680.0,2.0,5.0,162.0,49.0,22904.0
1722,4.0,18.0,0.0,33.0,11.0,15.0,121.0,14.0,73.0,100.0,21851.0,20.0,5243.0,104.0,5.0,36.0,2.0,56.0,23134.0,42.0,35.0,40.0,134.0,110.0,16680.0,3.0,1013.0,17520.0,21187.0,22870.0
1771,52.0,29.0,0.0,2.0,19508.0,11655.0,129.0,153.0,88.0,57.0,21.0,48.0,5211.0,8346.0,9.0,62.0,17669.0,31.0,23171.0,32.0,38.0,3.0,56.0,130.0,19.0,12854.0,19657.0,296.0,21184.0,25.0
1820,7.0,32.0,5.0,43.0,79.0,58.0,106.0,114.0,12041.0,37.0,21849.0,17.0,611.0,39.0,8.0,61.0,17632.0,57.0,115.0,20.0,18.0,0.0,17297.0,10389.0,28.0,12843.0,19638.0,17497.0,34.0,22870.0
1869,20241.0,17267.0,0.0,171.0,31.0,11638.0,7.0,107.0,11879.0,32.0,9.0,56.0,5234.0,163.0,6.0,37.0,17559.0,51.0,63.0,23.0,13.0,40.0,17339.0,14.0,8.0,12845.0,19660.0,211.0,21217.0,22874.0
1918,20269.0,17263.0,7.0,16129.0,133.0,70.0,13.0,49.0,85.0,31.0,27.0,73.0,5248.0,125.0,2.0,55.0,17558.0,50.0,37.0,24.0,28.0,12.0,17341.0,10373.0,41.0,30.0,19660.0,336.0,21216.0,25.0
1967,2.0,1.0,6.0,69.0,18.0,0.0,14.0,29.0,11860.0,14361.0,25.0,679.0,4973.0,8344.0,16194.0,17.0,17553.0,167.0,559.0,7674.0,24.0,12.0,57.0,63.0,16665.0,47.0,3.0,16.0,165.0,89.0
2016,75.0,2.0,4.0,64.0,18.0,0.0,7.0,3.0,12007.0,14372.0,21867.0,16497.0,5256.0,94.0,30.0,73.0,17570.0,132.0,23170.0,7714.0,22.0,58.0,50.0,12.0,16682.0,15.0,6.0,76.0,151.0,72.0
2065,74.0,1.0,246.0,408.0,11.0,0.0,76.0,7.0,12004.0,14379.0,21882.0,547.0,5238.0,8326.0,40.0,57.0,17565.0,133.0,23154.0,7707.0,11924.0,15372.0,60.0,101.0,16684.0,12853.0,8.0,80.0,145.0,22899.0
2114,56.0,1.0,12830.0,16127.0,5.0,4.0,26.0,3.0,295.0,14364.0,817.0,16480.0,5229.0,2.0,45.0,19.0,17681.0,37.0,6.0,7694.0,11868.0,15358.0,30.0,119.0,16797.0,12850.0,8.0,77.0,191.0,52.0
2163,20243.0,1.0,12857.0,16125.0,0.0,22.0,23.0,18.0,11772.0,21.0,21847.0,3.0,5379.0,56.0,29.0,6.0,17680.0,125.0,43.0,6751.0,11700.0,15360.0,46.0,4.0,37.0,13330.0,19662.0,8.0,742.0,2.0
2212,20269.0,1.0,12857.0,16140.0,25.0,4.0,35.0,2.0,373.0,24.0,730.0,39.0,5208.0,1156.0,26.0,8.0,17570.0,3.0,6.0,553.0,11945.0,7.0,58.0,5.0,16691.0,12879.0,59.0,17532.0,43.0,0.0
2261,7.0,1.0,180.0,294.0,0.0,2.0,14.0,12.0,11685.0,17.0,21860.0,3.0,5169.0,63.0,25.0,22.0,52.0,12538.0,102.0,44.0,11961.0,6.0,17340.0,5.0,16653.0,12835.0,151.0,174.0,107.0,22869.0
2310,2.0,1.0,12831.0,23.0,0.0,3.0,20.0,7.0,11866.0,19.0,21876.0,8.0,5203.0,8354.0,6.0,5.0,17706.0,61.0,23138.0,9.0,11918.0,14.0,17275.0,106.0,141.0,12860.0,19655.0,151.0,21177.0,57.0
2359,37.0,1.0,63.0,10.0,0.0,2.0,27.0,6.0,10917.0,95.0,479.0,16.0,5716.0,43.0,19.0,51.0,79.0,198.0,7.0,30.0,10907.0,15381.0,17344.0,4.0,16683.0,12859.0,19637.0,17530.0,21184.0,359.0
2408,4.0,2.0,12835.0,5.0,0.0,1.0,20.0,9.0,42.0,14379.0,21885.0,33.0,5235.0,7.0,47.0,49.0,17685.0,12481.0,23135.0,34.0,11926.0,134.0,154.0,10389.0,16797.0,396.0,3.0,133.0,21188.0,62.0
2457,11.0,20.0,1.0,21.0,19504.0,11614.0,15.0,0.0,2.0,146.0,39.0,98.0,43.0,14.0,16189.0,5.0,17660.0,12457.0,57.0,23.0,11907.0,54.0,31.0,10347.0,9.0,10.0,103.0,139.0,332.0,615.0
2506,0.0,22.0,48.0,1.0,19502.0,56.0,42.0,2.0,27.0,151.0,19.0,100.0,82.0,7.0,16208.0,3849.0,18.0,12457.0,9.0,7574.0,11936.0,68.0,38.0,9439.0,35.0,10.0,721.0,47.0,149.0,17.0
2555,0.0,20.0,41.0,3.0,19502.0,49.0,9734.0,6.0,18.0,14370.0,24.0,1.0,63.0,28.0,29.0,4684.0,16.0,12469.0,43.0,7735.0,11920.0,15362.0,17307.0,10352.0,2.0,9.0,11.0,101.0,231.0,53.0
2604,1.0,177.0,2.0,0.0,91.0,4.0,7.0,6.0,27.0,34.0,22.0,3.0,16.0,30.0,25.0,4703.0,15.0,12563.0,11.0,45.0,11954.0,15376.0,1277.0,66.0,29.0,21.0,19644.0,118.0,272.0,39.0
2653,0.0,17361.0,40.0,1.0,395.0,4.0,6.0,3.0,60.0,32.0,16.0,2.0,79.0,26.0,16214.0,227.0,13.0,12551.0,17.0,7707.0,11940.0,70.0,17346.0,56.0,15.0,12849.0,61.0,11.0,21198.0,45.0
2702,0.0,17343.0,4.0,9.0,685.0,2.0,105.0,1.0,64.0,14358.0,39.0,5.0,45.0,8352.0,16218.0,4207.0,12.0,692.0,23.0,84.0,35.0,15386.0,17265.0,155.0,3.0,12843.0,114.0,8.0,175.0,11.0
2751,2.0,27.0,3.0,16121.0,19507.0,0.0,4.0,7.0,37.0,34.0,46.0,6.0,43.0,1.0,32.0,20.0,17680.0,12474.0,8.0,21.0,9.0,15360.0,17281.0,10384.0,25.0,12864.0,51.0,16.0,23.0,22896.0
2800,28.0,36.0,5.0,9.0,19558.0,0.0,1.0,19.0,13.0,10.0,35.0,2.0,7.0,8326.0,17.0,4721.0,17570.0,12488.0,4.0,16.0,11891.0,15311.0,17343.0,10350.0,11.0,12867.0,12.0,14.0,21196.0,194.0
2849,20272.0,17.0,4.0,98.0,152.0,0.0,22.0,13.0,15.0,47.0,34.0,3.0,1.0,69.0,7.0,55.0,17580.0,441.0,19.0,14.0,25.0,15388.0,17354.0,10392.0,38.0,12855.0,225.0,282.0,140.0,16.0
2898,25.0,17.0,1.0,123.0,132.0,2.0,4.0,6.0,78.0,14348.0,19.0,57.0,5819.0,5.0,10.0,79.0,17672.0,12446.0,15.0,18.0,31.0,11.0,17259.0,9334.0,51.0,12828.0,0.0,17473.0,21205.0,73.0
2947,0.0,31.0,4.0,8.0,3.0,1.0,9879.0,64.0,2.0,34.0,45.0,16.0,5261.0,1226.0,19.0,102.0,17572.0,12489.0,569.0,7700.0,319.0,948.0,114.0,10387.0,13.0,55.0,19626.0,17530.0,739.0,22872.0
2996,0.0,12.0,6.0,87.0,5.0,2.0,9741.0,59.0,21.0,31.0,62.0,22.0,6326.0,8319.0,11.0,95.0,74.0,24.0,97.0,7695.0,13.0,15372.0,39.0,10.0,28.0,58.0,19653.0,17511.0,21194.0,125.0
3045,2.0,1.0,0.0,11.0,22.0,19.0,9892.0,4.0,16.0,35.0,36.0,7.0,4993.0,73.0,9.0,3.0,24.0,18.0,23154.0,7677.0,26.0,15361.0,59.0,57.0,14.0,12864.0,19644.0,17489.0,84.0,22896.0
3094,6.0,17321.0,4.0,3.0,1.0,0.0,108.0,135.0,10.0,37.0,45.0,14.0,5221.0,8366.0,17.0,4706.0,22.0,203.0,23135.0,7725.0,11856.0,15371.0,41.0,9.0,556.0,13.0,24.0,174.0,21179.0,22868.0
3143,0.0,17214.0,1.0,26.0,3.0,11655.0,9777.0,67.0,6.0,24.0,20.0,11.0,5252.0,34.0,7.0,4710.0,17564.0,21.0,679.0,870.0,157.0,15323.0,113.0,2.0,31.0,19.0,68.0,17503.0,128.0,226.0
3192,72.0,26.0,16.0,16124.0,0.0,11628.0,64.0,158.0,13.0,11.0,15.0,18.0,25.0,4.0,10.0,4470.0,17681.0,1.0,23134.0,7748.0,2.0,15366.0,92.0,56.0,32.0,12853.0,19660.0,17466.0,1175.0,22896.0
3241,4.0,3.0,15.0,16138.0,1.0,11667.0,59.0,13165.0,8.0,48.0,9.0,47.0,5172.0,24.0,10.0,4959.0,17630.0,2.0,30.0,70.0,0.0,15371.0,17295.0,413.0,31.0,13.0,19638.0,219.0,21248.0,22935.0
3290,1.0,5.0,2.0,16.0,4.0,8.0,9803.0,79.0,9.0,15.0,29.0,14.0,78.0,32.0,13.0,3752.0,172.0,3.0,44.0,7693.0,11.0,15369.0,17338.0,0.0,16646.0,66.0,19653.0,174.0,99.0,22875.0
3339,2.0,3.0,20.0,18.0,0.0,11632.0,9746.0,5.0,10.0,48.0,12.0,19.0,67.0,38.0,15.0,4768.0,88.0,1.0,11.0,94.0,132.0,15361.0,63.0,26.0,27.0,4.0,19643.0,283.0,21179.0,22869.0
3388,23.0,3.0,1.0,17.0,2.0,9889.0,26.0,22.0,15.0,21.0,12.0,51.0,24.0,321.0,29.0,5242.0,15074.0,0.0,22753.0,78.0,41.0,16270.0,85.0,4.0,36.0,79.0,19813.0,15674.0,21812.0,916.0
3437,9.0,23.0,8.0,28.0,0.0,7.0,6.0,3.0,13.0,15.0,283.0,58.0,5209.0,8373.0,42.0,88.0,10.0,24.0,22.0,66.0,84.0,15377.0,2.0,10348.0,105.0,281.0,19627.0,17523.0,132.0,57.0
3486,8.0,1.0,12826.0,9.0,0.0,7.0,5.0,33.0,18.0,15.0,568.0,66.0,5197.0,8332.0,16199.0,106.0,2.0,3.0,32.0,50.0,90.0,15372.0,23.0,10348.0,84.0,12847.0,19654.0,17457.0,313.0,22886.0
3535,1.0,2.0,20.0,13.0,0.0,16.0,7.0,12.0,17.0,24.0,21852.0,16490.0,5228.0,8391.0,14.0,80.0,39.0,3.0,35.0,15.0,11949.0,15371.0,4.0,5.0,154.0,906.0,19644.0,120.0,218.0,87.0
3584,4.0,1.0,12910.0,19.0,2.0,18.0,9877.0,20.0,26.0,14.0,35.0,16544.0,38.0,8382.0,28.0,5.0,46.0,0.0,53.0,7.0,141.0,15379.0,31.0,3.0,62.0,613.0,19626.0,17532.0,21183.0,22867.0
3633,7.0,1.0,12884.0,13.0,0.0,4.0,21.0,22.0,18.0,12.0,10.0,39.0,36.0,8332.0,23.0,84.0,48.0,2.0,23147.0,7702.0,11936.0,123.0,66.0,54.0,16695.0,12882.0,19637.0,17534.0,58.0,22868.0
3682,0.0,1.0,59.0,3.0,4.0,2.0,19.0,8.0,7.0,11.0,28.0,54.0,22.0,35.0,17.0,61.0,43.0,13.0,96.0,56.0,11925.0,15402.0,65.0,9.0,16692.0,47.0,87.0,6.0,58.0,22876.0
3731,20275.0,13.0,1.0,28.0,11.0,0.0,14.0,46.0,19.0,3.0,21855.0,32.0,5265.0,8.0,16.0,4710.0,30.0,27.0,47.0,34.0,642.0,17.0,44.0,5.0,16677.0,199.0,2.0,17496.0,21195.0,279.0
3780,1.0,0.0,10.0,4.0,7.0,23.0,9879.0,11.0,13.0,9.0,21849.0,15.0,6257.0,2.0,12.0,5864.0,58.0,5.0,74.0,27.0,157.0,31.0,52.0,19.0,72.0,12875.0,19628.0,17526.0,6.0,22873.0
3829,0.0,11.0,18.0,6.0,19576.0,93.0,40.0,28.0,17.0,14.0,9.0,87.0,5253.0,7.0,12.0,4703.0,58.0,1.0,79.0,21.0,11941.0,37.0,68.0,2.0,16688.0,65.0,4.0,53.0,475.0,22888.0
3878,5.0,62.0,25.0,3.0,19578.0,11666.0,9761.0,28.0,8.0,7.0,12.0,16493.0,22.0,8360.0,45.0,4704.0,63.0,2.0,97.0,36.0,11913.0,15390.0,93.0,0.0,86.0,12871.0,19640.0,38.0,42.0,22868.0
3927,78.0,1.0,7.0,98.0,19504.0,39.0,32.0,206.0,2.0,85.0,148.0,36.0,37.0,6.0,16205.0,3.0,17683.0,12469.0,28.0,7111.0,0.0,11.0,63.0,9900.0,16790.0,13088.0,19658.0,134.0,21202.0,12.0
3976,5.0,3.0,0.0,16140.0,19572.0,2.0,41.0,223.0,17.0,14350.0,834.0,82.0,42.0,69.0,81.0,1.0,17568.0,12495.0,23139.0,7716.0,72.0,8.0,34.0,10366.0,38.0,23.0,7.0,4.0,22.0,6.0
4025,289.0,2.0,1.0,23.0,4.0,16.0,6.0,13127.0,28.0,11.0,101.0,5.0,3.0,133.0,16205.0,4227.0,7.0,12470.0,39.0,266.0,107.0,15362.0,196.0,10344.0,331.0,12844.0,19640.0,56.0,21177.0,43.0
4074,8.0,37.0,0.0,16144.0,4.0,1.0,48.0,28.0,11.0,77.0,43.0,57.0,3.0,8398.0,16219.0,4715.0,71.0,12571.0,23210.0,7726.0,165.0,15386.0,47.0,10376.0,51.0,75.0,19644.0,85.0,356.0,5.0
4123,56.0,12.0,7.0,6.0,18.0,1.0,54.0,0.0,17.0,46.0,22.0,75.0,4.0,177.0,16235.0,4786.0,50.0,12580.0,667.0,129.0,71.0,698.0,17361.0,10383.0,66.0,12873.0,55.0,113.0,21199.0,32.0
4172,3.0,20.0,0.0,5.0,16.0,2.0,9859.0,8.0,15.0,14479.0,31.0,32.0,46.0,64.0,16200.0,4710.0,58.0,12491.0,23161.0,927.0,181.0,15359.0,17279.0,10367.0,4.0,54.0,101.0,17485.0,21199.0,7.0
4221,4.0,7.0,0.0,42.0,2.0,8.0,38.0,18.0,1.0,74.0,5.0,16477.0,3.0,8359.0,15.0,70.0,78.0,55.0,48.0,153.0,20.0,15359.0,73.0,51.0,23.0,9.0,19657.0,17513.0,21198.0,84.0
4270,3.0,39.0,0.0,16137.0,2.0,1.0,81.0,6.0,4.0,14361.0,18.0,834.0,10.0,8385.0,54.0,4737.0,154.0,12550.0,83.0,596.0,22.0,15254.0,17352.0,278.0,20.0,5.0,8.0,17502.0,21257.0,22939.0
4319,1.0,52.0,0.0,148.0,4.0,3.0,9.0,38.0,2.0,33.0,21.0,5.0,8.0,113.0,16222.0,4728.0,17566.0,230.0,23139.0,7707.0,13.0,15312.0,17342.0,85.0,20.0,36.0,93.0,17524.0,132.0,22884.0
4368,0.0,1.0,3.0,16131.0,4.0,5.0,8.0,11.0,9.0,149.0,44.0,2.0,27.0,65.0,16210.0,4727.0,17572.0,170.0,23143.0,7712.0,10.0,15378.0,17342.0,10367.0,22.0,46.0,6.0,121.0,157.0,36.0
4417,1.0,0.0,3.0,8.0,19499.0,76.0,15.0,356.0,32.0,12.0,21619.0,34.0,13.0,40.0,16203.0,37.0,2.0,9.0,10.0,52.0,411.0,15308.0,20.0,134.0,83.0,12821.0,96.0,190.0,21191.0,116.0
4466,4.0,2.0,56.0,5.0,623.0,11527.0,16.0,29.0,25.0,45.0,21852.0,64.0,28.0,0.0,16210.0,6.0,37.0,9.0,3.0,244.0,217.0,15367.0,10.0,10364.0,1.0,12862.0,19627.0,77.0,21188.0,22873.0
4515,0.0,2.0,65.0,3.0,19497.0,11640.0,13.0,13133.0,24.0,54.0,21878.0,82.0,42.0,9.0,16206.0,5.0,51.0,581.0,4.0,7691.0,11910.0,35.0,37.0,165.0,6.0,12858.0,56.0,123.0,92.0,22903.0
4564,3.0,0.0,12833.0,1.0,27.0,11512.0,5.0,13135.0,12.0,31.0,21847.0,62.0,33.0,117.0,16199.0,51.0,17681.0,12472.0,2.0,7738.0,11889.0,23.0,17307.0,8.0,71.0,6.0,123.0,144.0,78.0,22871.0
4613,0.0,1.0,17.0,11.0,71.0,5.0,4.0,13125.0,12.0,10.0,21876.0,8.0,4984.0,3.0,16223.0,4689.0,17677.0,12464.0,45.0,46.0,11845.0,55.0,17277.0,2.0,39.0,96.0,153.0,17509.0,21203.0,22906.0
4662,0.0,2.0,12824.0,5.0,1.0,34.0,4.0,13173.0,10.0,57.0,32.0,16468.0,5213.0,70.0,16200.0,6.0,68.0,700.0,23172.0,36.0,11915.0,18.0,17277.0,26.0,16791.0,47.0,120.0,17460.0,21213.0,392.0
4711,0.0,7.0,80.0,5.0,2.0,19.0,10.0,361.0,22.0,14346.0,35.0,16539.0,61.0,105.0,16210.0,9.0,56.0,52.0,23172.0,15.0,11927.0,51.0,58.0,16.0,16677.0,119.0,94.0,17530.0,778.0,22896.0
4760,0.0,6.0,12852.0,11.0,1.0,5.0,13.0,178.0,20.0,16.0,21874.0,59.0,31.0,8342.0,10.0,70.0,49.0,12525.0,760.0,27.0,11884.0,71.0,55.0,23.0,16743.0,2.0,63.0,17497.0,21217.0,22905.0
4809,1.0,15.0,12898.0,2.0,0.0,11649.0,6.0,13149.0,26.0,35.0,29.0,1117.0,65.0,8354.0,39.0,90.0,48.0,12507.0,23137.0,10.0,11865.0,15378.0,17313.0,55.0,34.0,5.0,74.0,17522.0,386.0,22887.0
4858,2.0,3.0,12900.0,13.0,0.0,60.0,5.0,105.0,11.0,36.0,10.0,9.0,73.0,8366.0,37.0,4709.0,74.0,12483.0,108.0,68.0,11915.0,15370.0,17341.0,54.0,16666.0,7.0,19.0,193.0,212.0,22903.0
