,GSTTP1_AMP,CDC73_AMP,SIRPB1_AMP,CERS6_DEL,HLA-DRB6_AMP,GSTTP2_AMP,KIAA0125_AMP,DPP6_DEL,SESTD1_AMP,HERC2P2_AMP,ADAM6_AMP,MYH1_MUT,HLA-DRB1_AMP,NF1P2_AMP,POTEB_AMP,OR51A4_DEL,OR51A2_DEL,USP32P2_DEL,GSTM1_DEL,LPA_AMP,NRXN1_DEL,EP300_MUT,ARHGEF5_AMP,LOC643650_DEL,BTNL3_DEL,APOBEC3A_B_DEL,NAALADL2_DEL,MYO3B_MUT,BMPR2_AMP,FRMPD2P1_AMP
519,32.0,84.0,209.0,46.0,127.0,16.0,58.0,0.0,37.0,59.0,42.0,71.0,34.0,12.0,11.0,69.0,45.0,2.0,91.0,26.0,10.0,29.0,70.0,25.0,7.0,47.0,1.0,28.0,23.0,178.0
568,75.0,42.0,38.0,67.0,62.0,410.0,26.0,0.0,59.0,125.0,32.0,86.0,13.0,6.0,5.0,280.0,51.0,4.0,402.0,165.0,11.0,120.0,24.0,12.0,220.0,81.0,9.0,14.0,47.0,19.0
617,9.0,111.0,96.0,83.0,7.0,50.0,51.0,0.0,122.0,394.0,23.0,67.0,1.0,12.0,11.0,194.0,74.0,6.0,674.0,7038.0,10.0,17.0,37.0,36.0,20.0,40.0,75.0,34.0,33.0,39.0
666,35.0,40.0,100.0,42.0,82.0,133.0,146.0,0.0,80.0,86.0,151.0,38.0,28.0,7.0,8.0,730.0,803.0,1.0,27.0,262.0,6.0,9.0,105.0,24.0,4.0,56.0,39.0,44.0,50.0,182.0
715,38.0,29.0,501.0,20.0,41.0,110.0,751.0,1.0,4038.0,5598.0,711.0,130.0,51.0,3.0,2.0,45.0,28.0,11.0,120.0,23183.0,9.0,10.0,744.0,54.0,258.0,206.0,17.0,26.0,8.0,916.0
764,84.0,42.0,1047.0,26.0,12.0,76.0,72.0,0.0,25.0,13.0,71.0,63.0,1.0,16.0,17.0,581.0,1185.0,8.0,52.0,276.0,11.0,30.0,75.0,2.0,4.0,7.0,23.0,10.0,87.0,1201.0
813,55.0,65.0,423.0,124.0,369.0,166.0,15.0,0.0,665.0,3751.0,17.0,30.0,54.0,21.0,22.0,98.0,212.0,3.0,13.0,11499.0,36.0,127.0,33.0,8.0,58.0,38.0,4.0,16.0,1.0,61.0
862,50.0,74.0,59.0,73.0,44.0,11.0,66.0,0.0,311.0,95.0,57.0,63.0,6.0,13.0,14.0,45.0,139.0,7.0,26.0,7569.0,4.0,32.0,357.0,23.0,30.0,157.0,58.0,22.0,54.0,19.0
911,9.0,128.0,29.0,125.0,334.0,32.0,18448.0,20.0,201.0,108.0,18726.0,41.0,109.0,6.0,7.0,34.0,71.0,42.0,101.0,441.0,8.0,10.0,61.0,31.0,68.0,75.0,174.0,15.0,192.0,90.0
960,94.0,8.0,1.0,56.0,16.0,390.0,67.0,0.0,191.0,73.0,168.0,2285.0,5.0,99.0,98.0,27.0,51.0,23.0,74.0,34.0,42.0,4.0,11.0,57.0,13.0,1875.0,6.0,75.0,9.0,92.0
1009,16.0,18.0,29.0,10.0,2.0,3.0,34.0,0.0,48.0,8.0,42.0,20.0,1.0,15.0,14.0,19.0,24.0,23.0,105.0,53.0,51.0,235.0,27.0,9.0,26.0,11.0,62.0,21.0,25.0,28.0
1058,87.0,16.0,34.0,9.0,1.0,77.0,6.0,0.0,320.0,138.0,17.0,4.0,3.0,1138.0,1137.0,33.0,43.0,53.0,22.0,324.0,51.0,102.0,21.0,8.0,72.0,122.0,18.0,15.0,20.0,23.0
1107,50.0,23.0,9.0,3.0,14.0,11.0,36.0,8.0,116.0,0.0,48.0,5.0,7.0,143.0,144.0,69.0,61.0,28.0,10602.0,15.0,53.0,62.0,26.0,2.0,6.0,45.0,4.0,16.0,17.0,29.0
1156,17.0,0.0,32.0,16.0,2.0,11.0,85.0,9.0,53.0,18.0,97.0,6.0,3.0,28.0,27.0,19.0,12.0,263.0,261.0,672.0,42.0,90.0,5.0,26.0,7770.0,29.0,93.0,61.0,8.0,4.0
1205,46.0,2.0,178.0,23.0,1.0,10.0,3.0,16.0,67.0,84.0,8.0,14.0,0.0,929.0,928.0,26.0,96.0,11.0,9.0,783.0,43.0,35.0,15.0,22.0,248.0,32.0,143.0,30.0,53.0,33.0
1254,16.0,2.0,65.0,7.0,15.0,31.0,6.0,5.0,68.0,3.0,8.0,82.0,25.0,23.0,22.0,26.0,19.0,70.0,1.0,29.0,322.0,13.0,4.0,27.0,20.0,11.0,12.0,34.0,0.0,9.0
1303,42.0,8.0,37.0,6.0,1.0,13.0,41.0,3.0,23.0,2.0,73.0,12.0,0.0,122.0,121.0,34.0,30.0,18.0,69.0,26.0,38.0,134.0,4.0,5.0,35.0,40.0,33.0,21.0,27.0,19.0
1352,96.0,19.0,16.0,8.0,3.0,39.0,160.0,0.0,3382.0,11.0,211.0,60.0,2.0,50.0,51.0,109.0,59.0,34.0,17.0,126.0,20.0,33.0,118.0,15.0,293.0,553.0,13.0,30.0,48.0,1.0
1401,6.0,5.0,72.0,18.0,13.0,1.0,82.0,0.0,36.0,19.0,75.0,26.0,11.0,8.0,9.0,15.0,62.0,228.0,1468.0,15599.0,16.0,41.0,12.0,7.0,474.0,33.0,44.0,106.0,31.0,10.0
1450,35.0,0.0,12.0,11.0,7.0,52.0,17.0,14.0,180.0,15.0,28.0,3.0,10.0,4.0,5.0,40.0,24.0,36.0,214.0,718.0,55.0,39.0,1.0,8.0,9.0,210.0,113.0,25.0,38.0,2.0
1499,1.0,15.0,67.0,151.0,80.0,29.0,11732.0,2.0,86.0,25.0,6178.0,85.0,30.0,12.0,13.0,40.0,131.0,299.0,23.0,78.0,7.0,22.0,175.0,94.0,365.0,55.0,479.0,14.0,17.0,47.0
1548,1.0,14.0,3.0,18.0,12.0,36.0,209.0,2.0,26.0,5.0,268.0,28.0,86.0,6.0,7.0,64.0,88.0,78.0,4.0,8.0,31.0,11.0,10.0,172.0,15944.0,13.0,353.0,38.0,15.0,42.0
1597,1.0,17.0,644.0,8.0,37.0,9.0,290.0,10.0,21.0,38.0,194.0,3.0,66.0,35.0,36.0,85.0,82.0,7.0,11.0,30.0,45.0,53.0,23.0,71.0,34.0,15.0,402.0,26.0,91.0,12.0
1646,9.0,5.0,0.0,16.0,15.0,28.0,100.0,13.0,10.0,4.0,119.0,6.0,36.0,20.0,21.0,12.0,7.0,38.0,1.0,3.0,29.0,17.0,19.0,116.0,237.0,86.0,59.0,32.0,150.0,34.0
1695,5.0,10.0,91.0,12.0,97.0,25.0,28.0,3.0,22.0,0.0,40.0,39.0,124.0,8.0,7.0,70.0,239.0,48.0,11.0,1.0,237.0,49.0,13.0,594.0,76.0,106.0,73.0,21.0,93.0,15.0
1744,2.0,71.0,6.0,19.0,3.0,9.0,61.0,8.0,15.0,0.0,60.0,13.0,12.0,22.0,21.0,26.0,20.0,349.0,10.0,37.0,34.0,38.0,33.0,59.0,1756.0,67.0,156.0,16.0,41.0,7.0
1793,2.0,5.0,1.0,15.0,32.0,9.0,138.0,3.0,18.0,0.0,221.0,35.0,57.0,10.0,11.0,43.0,19.0,82.0,4.0,33.0,41.0,30.0,12.0,95.0,74.0,27.0,194.0,76.0,34.0,26.0
1842,3.0,10.0,4.0,14.0,5.0,7.0,55.0,11.0,21.0,1.0,184.0,16.0,9.0,26.0,27.0,57.0,23.0,115.0,0.0,8.0,28.0,18.0,6.0,92.0,627.0,44.0,97.0,38.0,33.0,19.0
1891,0.0,7.0,15.0,29.0,1.0,18.0,194.0,13.0,10.0,3.0,261.0,17.0,9.0,54.0,55.0,12.0,20.0,581.0,2.0,25.0,21.0,173.0,11.0,382.0,9493.0,6.0,133.0,561.0,63.0,4798.0
1940,0.0,5.0,3.0,16.0,20.0,11.0,304.0,92.0,13.0,1.0,500.0,18.0,35.0,7.0,6.0,33.0,17.0,69.0,4.0,2.0,24.0,27.0,30.0,128.0,4759.0,29.0,783.0,32.0,45.0,28.0
1989,1.0,147.0,0.0,19.0,2.0,4.0,9.0,39.0,25.0,88.0,8.0,3.0,11.0,67.0,68.0,10.0,45.0,31.0,5.0,28.0,12.0,13.0,274.0,254.0,35.0,21.0,492.0,48.0,41.0,20.0
2038,8.0,42.0,1.0,31.0,4.0,2.0,11.0,56.0,29.0,180.0,10.0,7.0,22.0,182.0,181.0,0.0,9.0,36.0,3.0,19.0,25.0,43.0,90.0,70.0,18.0,14.0,11931.0,35.0,46.0,85.0
2087,1.0,59.0,3.0,13.0,9.0,4.0,10.0,38.0,14.0,24.0,6.0,5.0,30.0,87.0,88.0,2.0,50.0,26.0,0.0,1218.0,31.0,49.0,145.0,89.0,95.0,27.0,148.0,193.0,171.0,313.0
2136,10.0,269.0,0.0,38.0,4.0,5.0,36.0,478.0,45.0,21.0,32.0,12.0,7.0,428.0,429.0,19.0,96.0,23.0,1.0,9.0,18.0,17.0,46.0,65.0,16.0,79.0,2226.0,15.0,272.0,188.0
2185,9.0,128.0,13.0,16.0,1.0,0.0,211.0,5.0,15.0,29.0,179.0,14.0,10.0,18.0,17.0,20.0,186.0,330.0,95.0,725.0,3.0,25.0,151.0,87.0,2133.0,62.0,1680.0,27.0,51.0,1615.0
2234,1.0,31.0,9.0,14.0,11.0,0.0,4.0,316.0,40.0,12.0,5.0,8.0,19.0,17.0,16.0,7.0,21.0,27.0,6.0,64.0,10.0,24.0,61.0,410.0,54.0,110.0,985.0,13.0,38.0,15.0
2283,1.0,61.0,8.0,18.0,0.0,3.0,25.0,35.0,10.0,24.0,21.0,9.0,2.0,115.0,114.0,4.0,12.0,22.0,11.0,32.0,7.0,14.0,600.0,136.0,84.0,38.0,335.0,17.0,146.0,13.0
2332,10.0,99.0,4.0,18.0,5.0,1.0,9.0,17.0,30.0,3314.0,7.0,35.0,15.0,162.0,163.0,0.0,14.0,12.0,13.0,76.0,11.0,19.0,81.0,95.0,21.0,88.0,195.0,97.0,66.0,23.0
2381,15.0,206.0,24.0,65.0,12.0,1.0,16.0,13.0,83.0,14.0,17.0,54.0,2.0,10.0,11.0,105.0,243.0,9.0,3.0,22.0,8.0,59.0,926.0,161.0,153.0,1527.0,46.0,21.0,118.0,42.0
2430,1.0,24.0,3.0,21.0,0.0,7.0,5.0,36.0,17.0,14.0,8.0,12.0,6.0,44.0,43.0,2.0,18.0,39.0,4.0,13.0,29.0,11.0,141.0,498.0,73.0,245.0,246.0,16.0,59.0,28.0
2479,10.0,8.0,2.0,56.0,33.0,191.0,22.0,20.0,31.0,35.0,26.0,848.0,14.0,0.0,1.0,91.0,13.0,944.0,9.0,41.0,54.0,4.0,66.0,107.0,148.0,71.0,7.0,28.0,23.0,24.0
2528,3.0,2.0,36.0,13.0,14.0,16.0,7.0,46.0,27.0,4.0,6.0,40.0,17.0,1.0,0.0,25.0,21.0,100.0,1203.0,15.0,44.0,20.0,26.0,78.0,11.0,29.0,10.0,45.0,120.0,19.0
2577,3.0,5.0,11.0,9.0,8.0,17.0,20.0,4.0,22.0,6.0,28.0,69.0,18.0,2.0,1.0,36.0,109.0,1102.0,102.0,49.0,46.0,16.0,37.0,88.0,213.0,13.0,35.0,12.0,38.0,21.0
2626,11.0,1.0,98.0,8.0,3.0,1265.0,16.0,28.0,50.0,65.0,15.0,44.0,4.0,6.0,5.0,9.0,7.0,1990.0,257.0,16727.0,80.0,27.0,17.0,47.0,216.0,10.0,74.0,287.0,24.0,32.0
2675,0.0,2.0,7.0,33.0,34.0,28.0,18.0,10.0,20.0,125.0,13.0,131.0,62.0,22.0,21.0,16.0,8.0,813.0,12.0,48.0,85.0,11.0,14.0,122.0,92.0,4.0,6524.0,136.0,9.0,27.0
2724,8.0,10.0,33.0,6.0,14.0,58.0,63.0,48.0,1.0,4.0,82.0,39.0,43.0,2.0,3.0,340.0,61.0,393.0,47.0,23.0,1503.0,20.0,26.0,21.0,16.0,7.0,67.0,106.0,79.0,52.0
2773,7.0,1.0,2.0,16.0,9.0,106.0,6.0,20.0,10.0,40.0,8.0,50.0,18.0,3.0,4.0,22.0,13.0,179.0,25.0,196.0,123.0,12.0,14.0,86.0,254.0,5.0,33.0,66.0,52.0,27.0
2822,5.0,8.0,12.0,13.0,2.0,32.0,11.0,26.0,58.0,22.0,9.0,163.0,3.0,0.0,1.0,49.0,14.0,227.0,1628.0,12146.0,16.0,24.0,28.0,45.0,21.0,96.0,82.0,19.0,56.0,15.0
2871,1.0,3.0,2.0,21.0,11.0,27.0,7.0,38.0,6.0,5.0,8.0,274.0,77.0,14.0,13.0,4.0,12.0,70.0,28.0,24.0,23.0,16.0,18.0,76.0,67.0,10.0,53.0,29.0,25.0,31.0
2920,6.0,2.0,2781.0,47.0,5.0,149.0,93.0,7.0,12.0,21.0,112.0,64.0,8.0,11.0,10.0,16.0,4.0,515.0,71.0,102.0,94.0,66.0,19.0,1049.0,202.0,9.0,4314.0,26.0,410.0,79.0
2969,12.0,20.0,1.0,13.0,25.0,4.0,24.0,3.0,0.0,57.0,43.0,23.0,39.0,50.0,51.0,15.0,2.0,121.0,19.0,9.0,46.0,30.0,62.0,22.0,6.0,14.0,5.0,37.0,64.0,44.0
3018,3.0,19.0,0.0,18.0,128.0,8.0,20.0,57.0,7.0,17.0,28.0,44.0,1444.0,68.0,67.0,6.0,2.0,95.0,1.0,53.0,78.0,5.0,55.0,2967.0,4.0,14.0,761.0,16.0,54.0,29.0
3067,1.0,5.0,9.0,43.0,3.0,2.0,17.0,229.0,11.0,20.0,31.0,19.0,4.0,164.0,163.0,33.0,25.0,98.0,0.0,90.0,23.0,40.0,102.0,6.0,12.0,45.0,16.0,86.0,78.0,554.0
3116,7.0,8.0,13.0,6.0,23.0,17.0,36.0,188.0,10.0,34.0,62.0,16.0,41.0,90.0,89.0,11.0,3.0,15.0,9.0,106.0,14.0,92.0,25.0,30.0,0.0,21.0,24.0,12.0,135.0,22.0
3165,1.0,2.0,0.0,5.0,10.0,3.0,81.0,42.0,4.0,17.0,116.0,15.0,22.0,53.0,54.0,12.0,7.0,65.0,36.0,6.0,40.0,98.0,84.0,18.0,16.0,34.0,26.0,19.0,47.0,21.0
3214,4.0,25.0,1.0,22.0,747.0,10.0,194.0,40.0,34.0,24.0,230.0,43.0,634.0,8.0,7.0,16.0,13.0,5.0,214.0,6.0,32.0,14.0,11.0,49.0,2.0,12.0,53.0,39.0,23.0,146.0
3263,4.0,13.0,0.0,10.0,11.0,20.0,259.0,1.0,7.0,21.0,400.0,14.0,26.0,110.0,109.0,35.0,58.0,73.0,6.0,112.0,19.0,5.0,36.0,12.0,40.0,25.0,104.0,30.0,101.0,184.0
3312,1.0,8.0,2.0,15.0,14.0,6.0,18.0,10.0,0.0,4.0,23.0,31.0,27.0,29.0,30.0,57.0,28.0,58.0,3.0,20.0,16.0,61.0,26.0,11.0,5.0,25.0,12.0,42.0,41.0,480.0
3361,5.0,22.0,0.0,9.0,16.0,13.0,4.0,63.0,3.0,43.0,7.0,34.0,36.0,184.0,185.0,12.0,6.0,29.0,38.0,100.0,18.0,14.0,57.0,20.0,1.0,68.0,10.0,111.0,82.0,51.0
3410,67.0,89.0,1.0,32.0,54.0,29.0,7.0,175.0,2.0,52.0,22.0,127.0,55.0,147.0,146.0,195.0,155.0,28.0,0.0,6.0,38.0,20.0,2437.0,3.0,37.0,125.0,15.0,18.0,72.0,1406.0
3459,7.0,8.0,14.0,11.0,26.0,1.0,4.0,9.0,16.0,0.0,5.0,17.0,36.0,18.0,19.0,24.0,81.0,61.0,82.0,29.0,12.0,68.0,62.0,31.0,10.0,25.0,6.0,2895.0,30.0,744.0
3508,9.0,2.0,17.0,5.0,137.0,1.0,10.0,161.0,37.0,8.0,7.0,14.0,299.0,112.0,111.0,49.0,33.0,16.0,38.0,3.0,48.0,32.0,34.0,20.0,4.0,22.0,13.0,1364.0,24.0,7084.0
3557,11.0,5.0,21.0,6.0,154.0,0.0,3.0,19.0,40.0,4.0,2.0,10.0,498.0,26.0,25.0,52.0,33.0,47.0,54.0,35.0,29.0,71.0,22.0,34.0,14.0,32.0,7.0,2050.0,18.0,106.0
3606,1.0,2.0,32.0,16.0,406.0,3.0,6.0,24.0,70.0,7.0,9.0,287.0,900.0,13.0,14.0,37.0,8.0,28.0,126.0,18.0,35.0,43.0,23.0,139.0,12.0,64.0,0.0,23040.0,25.0,17762.0
3655,7.0,5.0,19.0,18.0,26.0,1.0,6.0,23.0,29.0,4.0,8.0,28.0,27.0,347.0,348.0,15.0,2.0,20.0,32.0,22.0,21.0,118.0,55.0,35.0,0.0,156.0,13.0,1189.0,14.0,6886.0
3704,10.0,6.0,15.0,25.0,36.0,1.0,9.0,26.0,58.0,0.0,5.0,17.0,51.0,60.0,61.0,27.0,13.0,14.0,82.0,12.0,16.0,29.0,28.0,22.0,24.0,90.0,2.0,267.0,11.0,237.0
3753,23.0,3.0,34.0,12.0,184.0,4.0,13.0,32.0,666.0,0.0,20.0,24.0,195.0,298.0,297.0,15.0,5.0,2.0,55.0,21.0,9.0,51.0,49.0,47.0,14.0,169.0,1.0,1598.0,43.0,153.0
3802,9.0,5.0,10.0,14.0,28.0,0.0,7.0,53.0,17.0,15.0,8.0,23.0,29.0,72.0,71.0,12.0,3.0,16.0,45.0,34.0,26.0,40.0,19.0,22.0,25.0,50.0,4.0,756.0,33.0,105.0
3851,13.0,18.0,12.0,45.0,16.0,14.0,0.0,9.0,399.0,1.0,6.0,81.0,17.0,126.0,127.0,160.0,58.0,51.0,5.0,523.0,19.0,26.0,197.0,11.0,249.0,992.0,2.0,2361.0,7.0,15195.0
3900,15.0,23.0,103.0,41.0,2.0,5.0,8.0,50.0,167.0,14.0,3.0,20.0,1.0,166.0,165.0,52.0,21.0,19.0,11.0,30.0,12.0,83.0,34.0,101.0,35.0,60.0,25.0,1541.0,88.0,632.0
3949,2.0,1.0,42.0,10.0,17.0,36.0,6.0,3.0,4.0,0.0,5.0,88.0,145.0,9.0,8.0,19.0,64.0,41.0,15.0,18.0,105.0,68.0,14.0,46.0,61.0,12.0,32.0,63.0,28.0,20.0
3998,4.0,1.0,3.0,9.0,44.0,19.0,10.0,62.0,13.0,8.0,11.0,26.0,226.0,345.0,346.0,17.0,12.0,15.0,48.0,0.0,124.0,329.0,32.0,25.0,45.0,222.0,7.0,51.0,118.0,22.0
4047,0.0,11.0,32.0,71.0,6.0,56.0,18.0,3.0,12.0,1.0,16.0,42.0,9.0,8.0,7.0,67.0,1015.0,2.0,5.0,19.0,20.0,92.0,1419.0,15.0,114.0,457.0,49.0,4.0,38.0,10.0
4096,1.0,0.0,22.0,16.0,5.0,11.0,4.0,31.0,13.0,2.0,6.0,8.0,54.0,67.0,68.0,17.0,23.0,10.0,71.0,7.0,66.0,139.0,20.0,162.0,375.0,64.0,55.0,14.0,38.0,48.0
4145,11.0,3.0,65.0,7.0,42.0,178.0,61.0,1.0,13.0,22.0,81.0,14.0,504.0,64.0,63.0,9.0,26.0,2.0,2508.0,0.0,55.0,211.0,380.0,16.0,12.0,88.0,4.0,15.0,41.0,968.0
4194,5.0,19.0,16.0,15.0,6.0,20.0,1.0,10.0,12.0,4.0,8.0,9.0,30.0,49.0,50.0,22.0,58.0,2.0,3.0,0.0,36.0,121.0,28.0,45.0,24.0,319.0,29.0,17.0,37.0,7.0
4243,15.0,3.0,19.0,5.0,1.0,91.0,49.0,14.0,42.0,0.0,40.0,4.0,16.0,56.0,57.0,13.0,8.0,6.0,32.0,2.0,61.0,1148.0,75.0,17.0,38.0,24.0,59.0,9.0,12.0,34.0
4292,3.0,1.0,4.0,7.0,2.0,50.0,8.0,6.0,17.0,5.0,9.0,25.0,12.0,22.0,23.0,45.0,115.0,30.0,14.0,0.0,38.0,120.0,29.0,33.0,109.0,47.0,24.0,76.0,117.0,15.0
4341,9.0,7.0,6.0,8.0,11.0,90.0,5.0,13.0,1.0,23.0,4.0,2.0,38.0,328.0,329.0,77.0,191.0,10.0,21.0,0.0,721.0,64.0,101.0,12.0,33.0,14.0,29.0,15.0,48.0,34.0
4390,0.0,3.0,1.0,13.0,47.0,79.0,16.0,32.0,11.0,6.0,7.0,5.0,1337.0,40.0,41.0,28.0,157.0,8.0,349.0,2.0,25.0,356.0,296.0,14.0,4.0,19.0,35.0,102.0,17.0,797.0
4439,6.0,23.0,1.0,2.0,32.0,52.0,27.0,8.0,15.0,50.0,25.0,20.0,39.0,17.0,16.0,5.0,34.0,4.0,47.0,521.0,129.0,22.0,11.0,7.0,55.0,0.0,133.0,316.0,21.0,454.0
4488,70.0,99.0,33.0,192.0,12.0,16.0,31.0,14.0,3080.0,107.0,13.0,35.0,3.0,0.0,1.0,66.0,27.0,6.0,338.0,9476.0,11.0,9.0,207.0,25.0,398.0,32.0,239.0,61.0,29.0,21.0
4537,2.0,6.0,5.0,7.0,14.0,10.0,1.0,48.0,3.0,114.0,0.0,33.0,100.0,9.0,8.0,17.0,40.0,11.0,21.0,29.0,32.0,95.0,12.0,41.0,69.0,4.0,72.0,25.0,54.0,38.0
4586,13.0,7.0,19.0,14.0,82.0,0.0,3.0,39.0,15.0,33.0,4.0,10.0,68.0,26.0,27.0,17.0,38.0,8.0,9.0,18.0,93.0,45.0,5.0,22.0,40.0,16.0,46.0,190.0,6.0,37.0
4635,17.0,21.0,10.0,0.0,9.0,16.0,14.0,33.0,4.0,28.0,30.0,6.0,20.0,45.0,46.0,59.0,18.0,7.0,57.0,12.0,172.0,114.0,1.0,15.0,11.0,2.0,27.0,53.0,98.0,19.0
4684,1.0,11.0,4.0,13.0,16.0,14.0,8.0,73.0,5.0,23.0,6.0,90.0,20.0,9.0,10.0,2.0,30.0,46.0,18.0,41.0,33.0,34.0,21.0,216.0,3.0,39.0,32.0,267.0,62.0,25.0
4733,0.0,4.0,15.0,3.0,8.0,1.0,13.0,63.0,5.0,32.0,10.0,43.0,11.0,23.0,24.0,16.0,25.0,22.0,47.0,37.0,69.0,30.0,20.0,39.0,7.0,35.0,49.0,213.0,12.0,27.0
4782,5.0,60.0,1.0,9.0,76.0,2.0,29.0,64.0,19.0,4.0,23.0,41.0,82.0,6.0,7.0,17.0,28.0,11.0,9272.0,0.0,39.0,43.0,35.0,50.0,21.0,10.0,8.0,129.0,75.0,117.0
4831,31.0,1.0,0.0,3.0,51.0,27.0,13.0,154.0,6.0,64.0,14.0,7.0,72.0,10.0,9.0,4.0,21.0,22.0,118.0,24.0,234.0,128.0,5.0,28.0,12.0,35.0,11.0,48.0,17.0,15.0
4880,1.0,0.0,18.0,12.0,48.0,3.0,20.0,45.0,9.0,2.0,11.0,4.0,78.0,5.0,6.0,7.0,22.0,38.0,32.0,196.0,31.0,94.0,17.0,43.0,41.0,8.0,330.0,236.0,23.0,170.0
