,HAEMATOPOIETIC,OESOPHAGUS,THYROID,SOFT_TISSUE,BONE,STOMACH,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,SALIVARY,LARGE_INTESTINE,PANCREAS,BREAST,LUNG,LIVER,SKIN,URINARY,KIDNEY,OVARY,NERVOUS,PLEURA,BILIARY
533,1.0,4.0,7.0,2.0,0.0,20.0,6.0,3.0,5.0,9.0,8.0,11.0,21.0,16.0,18.0,13.0,17.0,15.0,12.0,14.0,10.0,19.0,22.0
582,0.0,3.0,6.0,1.0,2.0,20.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,19.0,16.0,17.0,18.0,21.0,22.0
631,1.0,0.0,6.0,3.0,2.0,20.0,14.0,5.0,4.0,7.0,9.0,13.0,16.0,12.0,17.0,15.0,11.0,19.0,21.0,18.0,8.0,10.0,22.0
680,0.0,8.0,5.0,1.0,2.0,20.0,3.0,4.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,19.0,16.0,17.0,18.0,21.0,22.0
729,0.0,3.0,7.0,2.0,1.0,21.0,4.0,5.0,6.0,8.0,9.0,18.0,20.0,17.0,19.0,13.0,22.0,12.0,14.0,16.0,11.0,15.0,10.0
778,0.0,3.0,7.0,1.0,2.0,21.0,4.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,20.0,17.0,5.0,19.0,22.0
827,1.0,0.0,9.0,2.0,3.0,21.0,5.0,8.0,4.0,6.0,10.0,11.0,12.0,13.0,14.0,18.0,15.0,16.0,19.0,20.0,7.0,17.0,22.0
876,1.0,0.0,6.0,3.0,4.0,21.0,5.0,7.0,12.0,8.0,11.0,2.0,18.0,17.0,13.0,16.0,14.0,9.0,19.0,20.0,10.0,15.0,22.0
925,1.0,4.0,7.0,2.0,3.0,20.0,0.0,6.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,19.0,17.0,18.0,5.0,21.0,22.0
974,0.0,20.0,5.0,1.0,2.0,15.0,3.0,4.0,6.0,7.0,10.0,8.0,18.0,11.0,12.0,21.0,13.0,14.0,17.0,19.0,9.0,16.0,22.0
1023,0.0,4.0,7.0,1.0,2.0,20.0,5.0,6.0,3.0,11.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,8.0,17.0,18.0,19.0,21.0,22.0
1072,1.0,4.0,7.0,2.0,3.0,0.0,5.0,6.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
1121,1.0,0.0,7.0,3.0,4.0,6.0,2.0,8.0,5.0,15.0,11.0,10.0,14.0,21.0,22.0,17.0,18.0,12.0,19.0,13.0,20.0,16.0,9.0
1170,2.0,5.0,6.0,0.0,1.0,8.0,7.0,3.0,4.0,20.0,9.0,12.0,17.0,16.0,19.0,13.0,21.0,10.0,18.0,11.0,14.0,15.0,22.0
1219,1.0,4.0,7.0,2.0,3.0,0.0,5.0,6.0,8.0,11.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
1268,0.0,21.0,6.0,1.0,2.0,3.0,4.0,5.0,9.0,7.0,10.0,8.0,11.0,17.0,12.0,22.0,13.0,14.0,18.0,19.0,20.0,16.0,15.0
1317,1.0,0.0,6.0,2.0,3.0,4.0,5.0,7.0,12.0,13.0,9.0,8.0,14.0,21.0,15.0,17.0,11.0,10.0,18.0,19.0,20.0,16.0,22.0
1366,0.0,5.0,8.0,1.0,2.0,20.0,3.0,7.0,10.0,22.0,9.0,6.0,12.0,13.0,11.0,15.0,16.0,19.0,17.0,18.0,4.0,21.0,14.0
1415,2.0,7.0,6.0,0.0,1.0,3.0,10.0,4.0,5.0,20.0,9.0,8.0,16.0,15.0,19.0,11.0,21.0,17.0,18.0,12.0,14.0,13.0,22.0
1464,1.0,5.0,7.0,2.0,3.0,0.0,10.0,8.0,4.0,12.0,11.0,6.0,13.0,14.0,15.0,16.0,17.0,9.0,18.0,19.0,20.0,21.0,22.0
1513,0.0,4.0,1.0,2.0,3.0,8.0,5.0,6.0,11.0,7.0,9.0,20.0,10.0,18.0,12.0,16.0,13.0,21.0,19.0,14.0,15.0,17.0,22.0
1562,0.0,5.0,2.0,3.0,1.0,4.0,6.0,7.0,15.0,8.0,9.0,18.0,17.0,16.0,11.0,10.0,21.0,20.0,13.0,12.0,19.0,14.0,22.0
1611,1.0,0.0,6.0,2.0,3.0,4.0,5.0,7.0,21.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,20.0,18.0,9.0,19.0,15.0,22.0
1660,1.0,0.0,3.0,4.0,2.0,16.0,7.0,5.0,8.0,6.0,9.0,14.0,12.0,21.0,10.0,18.0,17.0,15.0,19.0,11.0,13.0,20.0,22.0
1709,0.0,5.0,1.0,3.0,2.0,4.0,6.0,7.0,10.0,8.0,9.0,18.0,17.0,16.0,11.0,21.0,13.0,20.0,15.0,12.0,19.0,14.0,22.0
1758,1.0,0.0,2.0,4.0,3.0,5.0,6.0,7.0,15.0,8.0,11.0,9.0,17.0,16.0,22.0,12.0,13.0,21.0,18.0,19.0,20.0,14.0,10.0
1807,1.0,0.0,4.0,2.0,5.0,3.0,8.0,9.0,14.0,6.0,11.0,10.0,16.0,15.0,12.0,21.0,17.0,20.0,18.0,19.0,7.0,13.0,22.0
1856,1.0,0.0,6.0,2.0,3.0,4.0,5.0,7.0,11.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,9.0,20.0,18.0,19.0,21.0,22.0
1905,1.0,0.0,2.0,3.0,4.0,5.0,7.0,8.0,18.0,6.0,10.0,20.0,11.0,12.0,13.0,14.0,9.0,17.0,19.0,15.0,16.0,21.0,22.0
1954,5.0,7.0,4.0,3.0,2.0,0.0,1.0,6.0,15.0,18.0,9.0,11.0,21.0,16.0,17.0,12.0,19.0,13.0,20.0,10.0,8.0,14.0,22.0
2003,1.0,0.0,8.0,4.0,2.0,5.0,6.0,7.0,3.0,9.0,12.0,13.0,19.0,18.0,22.0,14.0,15.0,21.0,17.0,20.0,11.0,16.0,10.0
2052,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,19.0,12.0,22.0,14.0,18.0,17.0,20.0,15.0,16.0,21.0,13.0
2101,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,20.0,18.0,19.0,10.0,21.0,22.0
2150,1.0,0.0,3.0,4.0,2.0,12.0,5.0,6.0,7.0,8.0,9.0,19.0,17.0,16.0,22.0,13.0,21.0,20.0,14.0,11.0,18.0,15.0,10.0
2199,1.0,7.0,2.0,0.0,3.0,18.0,8.0,4.0,5.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,20.0,16.0,21.0,22.0,19.0
2248,1.0,0.0,2.0,3.0,4.0,9.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
2297,1.0,0.0,2.0,3.0,4.0,7.0,5.0,9.0,11.0,6.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,20.0,18.0,19.0,8.0,21.0,22.0
2346,1.0,5.0,2.0,3.0,4.0,9.0,0.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
2395,1.0,0.0,2.0,3.0,4.0,7.0,8.0,5.0,10.0,6.0,9.0,11.0,20.0,12.0,13.0,18.0,19.0,16.0,21.0,14.0,15.0,22.0,17.0
2444,1.0,0.0,6.0,2.0,3.0,20.0,4.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,9.0,17.0,18.0,19.0,21.0,22.0
2493,0.0,3.0,1.0,2.0,6.0,7.0,4.0,8.0,5.0,9.0,12.0,21.0,19.0,18.0,13.0,14.0,15.0,11.0,17.0,20.0,22.0,16.0,10.0
2542,0.0,6.0,2.0,3.0,1.0,11.0,7.0,8.0,5.0,4.0,9.0,14.0,21.0,20.0,16.0,17.0,22.0,15.0,18.0,12.0,13.0,19.0,10.0
2591,1.0,6.0,9.0,4.0,3.0,0.0,7.0,8.0,2.0,5.0,11.0,19.0,17.0,16.0,22.0,12.0,13.0,21.0,15.0,18.0,20.0,14.0,10.0
2640,0.0,3.0,1.0,2.0,5.0,7.0,8.0,9.0,4.0,6.0,11.0,20.0,18.0,17.0,22.0,13.0,14.0,12.0,16.0,19.0,21.0,15.0,10.0
2689,1.0,0.0,2.0,4.0,3.0,6.0,7.0,8.0,9.0,5.0,11.0,19.0,17.0,16.0,22.0,12.0,13.0,21.0,15.0,18.0,20.0,14.0,10.0
2738,5.0,2.0,7.0,9.0,8.0,1.0,3.0,4.0,6.0,0.0,12.0,20.0,18.0,17.0,22.0,13.0,14.0,11.0,16.0,19.0,21.0,15.0,10.0
2787,1.0,0.0,2.0,4.0,5.0,7.0,9.0,8.0,3.0,6.0,12.0,10.0,16.0,15.0,22.0,21.0,14.0,20.0,17.0,18.0,19.0,13.0,11.0
2836,5.0,2.0,7.0,9.0,8.0,1.0,3.0,4.0,6.0,0.0,12.0,20.0,18.0,17.0,22.0,13.0,14.0,11.0,16.0,19.0,21.0,15.0,10.0
2885,1.0,5.0,8.0,3.0,2.0,11.0,6.0,7.0,0.0,4.0,9.0,21.0,19.0,13.0,15.0,12.0,22.0,14.0,16.0,18.0,20.0,17.0,10.0
2934,5.0,2.0,7.0,9.0,8.0,1.0,3.0,4.0,6.0,0.0,12.0,19.0,17.0,16.0,22.0,10.0,13.0,21.0,15.0,18.0,20.0,14.0,11.0
2983,5.0,1.0,2.0,3.0,6.0,0.0,7.0,8.0,4.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,20.0,18.0,19.0,10.0,21.0,22.0
3032,0.0,4.0,1.0,2.0,3.0,7.0,8.0,10.0,5.0,6.0,11.0,12.0,18.0,13.0,14.0,17.0,19.0,21.0,20.0,9.0,15.0,22.0,16.0
3081,2.0,1.0,3.0,4.0,5.0,0.0,8.0,6.0,11.0,7.0,9.0,20.0,10.0,19.0,12.0,16.0,18.0,15.0,13.0,14.0,21.0,17.0,22.0
3130,2.0,1.0,7.0,3.0,4.0,0.0,9.0,6.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
3179,1.0,0.0,2.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
3228,0.0,5.0,1.0,2.0,3.0,4.0,9.0,6.0,7.0,8.0,12.0,10.0,15.0,21.0,19.0,18.0,14.0,13.0,16.0,22.0,17.0,20.0,11.0
3277,1.0,0.0,2.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
3326,1.0,8.0,2.0,4.0,3.0,0.0,9.0,5.0,6.0,7.0,10.0,19.0,18.0,17.0,11.0,21.0,14.0,20.0,16.0,12.0,13.0,15.0,22.0
3375,4.0,5.0,3.0,2.0,1.0,0.0,13.0,7.0,10.0,6.0,9.0,14.0,21.0,11.0,17.0,19.0,16.0,8.0,20.0,15.0,12.0,18.0,22.0
3424,1.0,4.0,5.0,2.0,3.0,0.0,8.0,6.0,7.0,15.0,9.0,13.0,14.0,21.0,10.0,17.0,18.0,20.0,19.0,12.0,11.0,16.0,22.0
3473,1.0,5.0,2.0,3.0,4.0,0.0,12.0,9.0,11.0,6.0,10.0,8.0,13.0,14.0,15.0,16.0,17.0,7.0,18.0,19.0,20.0,21.0,22.0
3522,2.0,1.0,4.0,5.0,6.0,0.0,9.0,10.0,12.0,7.0,11.0,3.0,13.0,14.0,15.0,18.0,16.0,8.0,19.0,17.0,20.0,21.0,22.0
3571,0.0,5.0,1.0,2.0,3.0,4.0,9.0,10.0,12.0,7.0,11.0,6.0,20.0,19.0,13.0,14.0,15.0,8.0,16.0,17.0,21.0,18.0,22.0
3620,1.0,0.0,2.0,3.0,4.0,5.0,8.0,9.0,11.0,6.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,7.0,18.0,19.0,20.0,21.0,22.0
3669,0.0,4.0,5.0,1.0,2.0,3.0,9.0,12.0,14.0,6.0,11.0,10.0,16.0,15.0,13.0,17.0,18.0,7.0,19.0,20.0,8.0,21.0,22.0
3718,0.0,5.0,1.0,2.0,3.0,4.0,9.0,11.0,6.0,7.0,12.0,10.0,20.0,19.0,13.0,14.0,15.0,8.0,16.0,17.0,21.0,18.0,22.0
3767,3.0,2.0,4.0,0.0,1.0,13.0,8.0,9.0,10.0,7.0,12.0,6.0,14.0,18.0,15.0,22.0,17.0,5.0,19.0,20.0,21.0,16.0,11.0
3816,1.0,4.0,0.0,2.0,3.0,6.0,8.0,9.0,11.0,5.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,7.0,18.0,19.0,20.0,21.0,22.0
3865,1.0,0.0,5.0,2.0,3.0,4.0,8.0,10.0,12.0,6.0,11.0,9.0,13.0,14.0,15.0,17.0,18.0,7.0,19.0,16.0,20.0,21.0,22.0
3914,1.0,0.0,2.0,3.0,4.0,7.0,5.0,8.0,10.0,6.0,9.0,11.0,18.0,12.0,13.0,14.0,15.0,20.0,16.0,17.0,19.0,21.0,22.0
3963,2.0,1.0,3.0,4.0,5.0,0.0,6.0,7.0,8.0,9.0,10.0,11.0,19.0,12.0,13.0,17.0,18.0,16.0,20.0,14.0,15.0,21.0,22.0
4012,4.0,1.0,3.0,5.0,6.0,0.0,2.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,20.0,15.0,18.0,21.0,16.0,17.0,19.0,22.0
4061,2.0,1.0,8.0,3.0,4.0,0.0,6.0,7.0,10.0,5.0,9.0,11.0,12.0,13.0,14.0,18.0,19.0,17.0,20.0,15.0,16.0,21.0,22.0
4110,3.0,1.0,4.0,6.0,5.0,0.0,2.0,7.0,9.0,8.0,11.0,14.0,21.0,12.0,16.0,17.0,18.0,22.0,20.0,13.0,15.0,19.0,10.0
4159,2.0,3.0,4.0,5.0,1.0,6.0,0.0,8.0,7.0,17.0,9.0,10.0,16.0,21.0,12.0,18.0,19.0,14.0,20.0,15.0,13.0,11.0,22.0
4208,4.0,1.0,3.0,5.0,6.0,0.0,2.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,20.0,15.0,18.0,21.0,16.0,17.0,19.0,22.0
4257,6.0,1.0,3.0,4.0,7.0,0.0,2.0,12.0,5.0,8.0,11.0,13.0,14.0,20.0,15.0,21.0,17.0,9.0,18.0,19.0,10.0,16.0,22.0
4306,2.0,0.0,7.0,3.0,4.0,5.0,1.0,6.0,8.0,9.0,10.0,11.0,12.0,19.0,13.0,18.0,14.0,17.0,20.0,15.0,16.0,21.0,22.0
4355,2.0,0.0,3.0,4.0,5.0,9.0,1.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,19.0,16.0,17.0,18.0,20.0,22.0
4404,2.0,1.0,4.0,5.0,7.0,0.0,3.0,6.0,8.0,9.0,13.0,12.0,14.0,21.0,15.0,17.0,18.0,10.0,19.0,20.0,11.0,16.0,22.0
4453,1.0,10.0,2.0,3.0,4.0,0.0,7.0,8.0,5.0,9.0,11.0,14.0,15.0,21.0,16.0,18.0,13.0,6.0,19.0,12.0,20.0,17.0,22.0
4502,0.0,4.0,1.0,2.0,5.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,6.0,18.0,19.0,20.0,21.0,22.0
4551,1.0,12.0,2.0,3.0,5.0,0.0,7.0,8.0,4.0,22.0,10.0,9.0,19.0,18.0,11.0,17.0,14.0,6.0,15.0,16.0,20.0,21.0,13.0
4600,3.0,10.0,4.0,6.0,8.0,0.0,2.0,5.0,7.0,9.0,13.0,11.0,16.0,15.0,22.0,21.0,17.0,1.0,18.0,19.0,20.0,14.0,12.0
4649,0.0,10.0,1.0,2.0,3.0,5.0,7.0,8.0,4.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,6.0,18.0,19.0,20.0,21.0,22.0
4698,2.0,9.0,3.0,4.0,6.0,0.0,10.0,7.0,5.0,8.0,11.0,19.0,18.0,12.0,22.0,17.0,14.0,1.0,15.0,16.0,20.0,21.0,13.0
4747,0.0,11.0,1.0,2.0,3.0,8.0,6.0,7.0,4.0,5.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,9.0,22.0,18.0,19.0,20.0,21.0
4796,1.0,10.0,2.0,3.0,4.0,0.0,7.0,8.0,5.0,9.0,11.0,14.0,15.0,21.0,16.0,18.0,13.0,6.0,19.0,12.0,20.0,17.0,22.0
4845,0.0,8.0,1.0,2.0,3.0,5.0,9.0,10.0,4.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,6.0,18.0,19.0,20.0,21.0,22.0
4894,1.0,10.0,6.0,2.0,4.0,0.0,3.0,7.0,5.0,8.0,12.0,13.0,15.0,21.0,16.0,18.0,11.0,9.0,14.0,19.0,20.0,17.0,22.0
