,hsa-miR-1307,hsa-miR-631,hsa-miR-296-5p,hsa-miR-517b,hsa-miR-205,hsa-miR-302a,hsa-miR-761,hsa-miR-24,hsa-miR-548f,hsa-miR-944,hsa-miR-432,hsa-miR-451,hsa-miR-143,hsa-miR-891a,hsa-miR-370,hsa-miR-604,hsa-miR-520g,ebv-miR-BART22,hsa-miR-1910,hsa-miR-656,hcmv-miR-UL70-5p,hsa-miR-513b,hsa-miR-671-5p,hsa-miR-744,hsa-miR-518b,hsa-miR-766,hsa-miR-320d,hsa-miR-31,hsa-miR-323-5p,hsa-miR-148a
803,7.0,95.0,121.0,6.0,63.0,43.0,358.0,580.0,24.0,41.0,97.0,16.0,387.0,51.0,10.0,245.0,112.0,126.0,106.0,49.0,301.0,55.0,366.0,360.0,101.0,355.0,31.0,84.0,161.0,382.0
852,26.0,65.0,79.0,32.0,11.0,141.0,48.0,47.0,59.0,25.0,60.0,516.0,55.0,34.0,128.0,39.0,108.0,89.0,36.0,57.0,21.0,110.0,23.0,361.0,99.0,116.0,20.0,127.0,597.0,92.0
901,25.0,41.0,72.0,85.0,414.0,122.0,172.0,583.0,198.0,12.0,130.0,516.0,42.0,51.0,605.0,11.0,93.0,86.0,106.0,116.0,74.0,6.0,98.0,151.0,551.0,91.0,627.0,596.0,109.0,157.0
950,3.0,92.0,110.0,23.0,95.0,90.0,41.0,583.0,170.0,261.0,62.0,515.0,29.0,91.0,108.0,219.0,69.0,8.0,47.0,59.0,13.0,556.0,336.0,361.0,83.0,356.0,599.0,57.0,142.0,382.0
999,406.0,58.0,36.0,71.0,74.0,124.0,37.0,0.0,41.0,127.0,80.0,43.0,81.0,98.0,83.0,123.0,8.0,20.0,24.0,11.0,142.0,76.0,101.0,288.0,6.0,279.0,105.0,16.0,171.0,148.0
1048,2.0,40.0,58.0,137.0,23.0,56.0,22.0,577.0,154.0,33.0,160.0,515.0,130.0,307.0,34.0,131.0,17.0,365.0,67.0,355.0,88.0,65.0,110.0,279.0,38.0,155.0,55.0,623.0,148.0,61.0
1097,132.0,34.0,47.0,30.0,27.0,26.0,279.0,55.0,3.0,298.0,152.0,88.0,392.0,32.0,166.0,117.0,175.0,105.0,71.0,357.0,330.0,147.0,316.0,22.0,45.0,99.0,572.0,69.0,86.0,4.0
1146,16.0,42.0,37.0,86.0,22.0,58.0,110.0,584.0,184.0,302.0,66.0,118.0,90.0,162.0,601.0,120.0,124.0,49.0,43.0,137.0,363.0,87.0,349.0,150.0,558.0,20.0,67.0,12.0,626.0,390.0
1195,66.0,87.0,37.0,8.0,104.0,50.0,31.0,9.0,53.0,95.0,151.0,172.0,34.0,156.0,602.0,35.0,46.0,80.0,103.0,42.0,24.0,142.0,111.0,15.0,143.0,33.0,11.0,598.0,626.0,378.0
1244,9.0,56.0,109.0,47.0,45.0,100.0,11.0,22.0,565.0,140.0,587.0,578.0,426.0,62.0,456.0,113.0,171.0,84.0,126.0,222.0,286.0,574.0,91.0,36.0,90.0,356.0,50.0,15.0,455.0,26.0
1293,36.0,34.0,59.0,20.0,26.0,30.0,104.0,590.0,221.0,259.0,56.0,66.0,41.0,117.0,79.0,116.0,151.0,42.0,152.0,166.0,302.0,76.0,9.0,118.0,29.0,63.0,569.0,136.0,581.0,395.0
1342,14.0,53.0,134.0,35.0,87.0,114.0,56.0,149.0,234.0,364.0,96.0,101.0,47.0,288.0,75.0,79.0,44.0,82.0,155.0,275.0,181.0,123.0,39.0,11.0,42.0,299.0,13.0,100.0,157.0,399.0
1391,89.0,55.0,68.0,13.0,7.0,124.0,42.0,582.0,32.0,21.0,147.0,132.0,88.0,134.0,104.0,216.0,87.0,62.0,79.0,85.0,10.0,109.0,310.0,338.0,40.0,102.0,84.0,167.0,629.0,75.0
1440,66.0,45.0,29.0,12.0,61.0,10.0,39.0,589.0,11.0,2.0,102.0,521.0,72.0,169.0,150.0,103.0,168.0,254.0,82.0,314.0,62.0,59.0,58.0,5.0,555.0,18.0,568.0,130.0,161.0,391.0
1489,156.0,72.0,33.0,6.0,137.0,29.0,82.0,62.0,55.0,91.0,17.0,100.0,39.0,348.0,80.0,79.0,142.0,139.0,432.0,75.0,151.0,60.0,143.0,8.0,561.0,102.0,113.0,155.0,175.0,56.0
1538,50.0,98.0,64.0,94.0,116.0,69.0,304.0,22.0,38.0,97.0,89.0,527.0,78.0,280.0,24.0,123.0,18.0,337.0,427.0,285.0,85.0,562.0,293.0,16.0,9.0,41.0,75.0,23.0,105.0,32.0
1587,18.0,67.0,33.0,27.0,153.0,24.0,32.0,26.0,219.0,136.0,46.0,516.0,59.0,162.0,605.0,226.0,538.0,249.0,166.0,42.0,299.0,555.0,105.0,5.0,552.0,52.0,117.0,566.0,93.0,7.0
1636,401.0,79.0,73.0,147.0,33.0,54.0,50.0,62.0,128.0,85.0,116.0,142.0,98.0,181.0,124.0,210.0,547.0,156.0,168.0,42.0,179.0,64.0,29.0,27.0,74.0,307.0,57.0,14.0,69.0,60.0
1685,468.0,104.0,21.0,555.0,410.0,9.0,72.0,588.0,60.0,116.0,64.0,120.0,139.0,38.0,100.0,51.0,541.0,37.0,161.0,123.0,277.0,128.0,121.0,3.0,554.0,109.0,568.0,30.0,52.0,164.0
1734,34.0,64.0,20.0,62.0,72.0,58.0,55.0,31.0,18.0,35.0,110.0,79.0,375.0,155.0,133.0,103.0,75.0,242.0,140.0,25.0,104.0,549.0,23.0,12.0,115.0,49.0,622.0,28.0,91.0,117.0
1783,399.0,52.0,33.0,557.0,150.0,24.0,132.0,17.0,208.0,131.0,152.0,58.0,383.0,293.0,612.0,133.0,0.0,173.0,101.0,85.0,79.0,50.0,276.0,9.0,113.0,43.0,37.0,99.0,51.0,125.0
1832,471.0,52.0,19.0,518.0,122.0,16.0,329.0,14.0,545.0,70.0,163.0,60.0,456.0,18.0,161.0,154.0,34.0,272.0,133.0,69.0,320.0,110.0,337.0,3.0,89.0,136.0,72.0,68.0,46.0,55.0
1881,4.0,47.0,76.0,559.0,50.0,44.0,37.0,101.0,30.0,324.0,92.0,525.0,91.0,291.0,127.0,85.0,543.0,49.0,132.0,112.0,95.0,107.0,113.0,32.0,558.0,67.0,570.0,102.0,7.0,389.0
1930,13.0,58.0,12.0,553.0,99.0,17.0,40.0,26.0,56.0,143.0,122.0,95.0,69.0,18.0,609.0,76.0,11.0,246.0,157.0,136.0,296.0,88.0,75.0,5.0,552.0,49.0,568.0,123.0,65.0,64.0
1979,53.0,34.0,39.0,89.0,90.0,15.0,7.0,582.0,10.0,32.0,74.0,519.0,18.0,0.0,110.0,58.0,33.0,30.0,101.0,113.0,67.0,556.0,66.0,307.0,56.0,337.0,599.0,112.0,107.0,398.0
2028,82.0,33.0,36.0,107.0,53.0,28.0,34.0,9.0,77.0,47.0,148.0,117.0,389.0,27.0,159.0,146.0,22.0,244.0,97.0,40.0,112.0,560.0,339.0,364.0,80.0,93.0,626.0,599.0,30.0,383.0
2077,477.0,60.0,13.0,62.0,141.0,31.0,15.0,589.0,64.0,42.0,164.0,525.0,50.0,48.0,30.0,145.0,81.0,10.0,85.0,107.0,124.0,563.0,16.0,365.0,558.0,163.0,24.0,121.0,94.0,148.0
2126,430.0,38.0,83.0,52.0,19.0,95.0,17.0,582.0,53.0,27.0,81.0,131.0,94.0,60.0,109.0,105.0,65.0,107.0,62.0,54.0,327.0,554.0,21.0,87.0,550.0,45.0,90.0,70.0,627.0,103.0
2175,18.0,50.0,29.0,33.0,92.0,17.0,73.0,103.0,72.0,83.0,66.0,96.0,51.0,138.0,85.0,98.0,28.0,269.0,135.0,74.0,150.0,108.0,142.0,43.0,37.0,349.0,87.0,105.0,625.0,79.0
2224,35.0,31.0,49.0,72.0,15.0,47.0,22.0,59.0,54.0,21.0,564.0,17.0,98.0,148.0,86.0,103.0,26.0,82.0,158.0,73.0,60.0,104.0,90.0,366.0,74.0,53.0,570.0,574.0,568.0,133.0
2273,113.0,41.0,55.0,56.0,92.0,60.0,57.0,583.0,19.0,62.0,125.0,99.0,108.0,64.0,27.0,71.0,32.0,100.0,46.0,72.0,301.0,555.0,25.0,363.0,554.0,357.0,598.0,164.0,131.0,98.0
2322,99.0,37.0,86.0,15.0,81.0,31.0,103.0,581.0,10.0,9.0,63.0,509.0,87.0,55.0,65.0,56.0,20.0,105.0,43.0,80.0,66.0,553.0,64.0,360.0,54.0,356.0,628.0,595.0,626.0,375.0
2371,74.0,42.0,22.0,147.0,101.0,50.0,25.0,575.0,17.0,2.0,93.0,503.0,75.0,107.0,8.0,96.0,41.0,56.0,57.0,48.0,63.0,560.0,351.0,21.0,120.0,142.0,622.0,617.0,623.0,76.0
2420,469.0,25.0,44.0,554.0,38.0,32.0,361.0,590.0,43.0,36.0,85.0,517.0,392.0,17.0,100.0,132.0,47.0,245.0,108.0,31.0,80.0,103.0,96.0,239.0,91.0,156.0,595.0,569.0,597.0,130.0
2469,436.0,61.0,28.0,85.0,55.0,151.0,54.0,12.0,77.0,87.0,102.0,22.0,387.0,92.0,98.0,65.0,157.0,249.0,43.0,179.0,300.0,111.0,74.0,362.0,90.0,70.0,627.0,39.0,58.0,152.0
2518,470.0,104.0,29.0,141.0,13.0,20.0,79.0,74.0,19.0,48.0,37.0,150.0,56.0,38.0,101.0,67.0,97.0,58.0,401.0,128.0,119.0,533.0,359.0,44.0,558.0,120.0,41.0,134.0,80.0,114.0
2567,23.0,117.0,73.0,76.0,28.0,92.0,279.0,16.0,211.0,10.0,64.0,37.0,107.0,167.0,91.0,96.0,143.0,296.0,169.0,124.0,285.0,560.0,46.0,283.0,556.0,82.0,43.0,144.0,33.0,141.0
2616,20.0,62.0,60.0,15.0,32.0,52.0,350.0,590.0,539.0,53.0,118.0,48.0,408.0,54.0,16.0,106.0,117.0,260.0,28.0,109.0,6.0,97.0,320.0,172.0,538.0,376.0,12.0,152.0,101.0,401.0
2665,473.0,88.0,44.0,535.0,30.0,5.0,304.0,34.0,152.0,99.0,82.0,92.0,395.0,286.0,73.0,40.0,134.0,52.0,56.0,67.0,218.0,505.0,316.0,307.0,563.0,300.0,18.0,39.0,86.0,4.0
2714,36.0,140.0,53.0,76.0,38.0,45.0,133.0,592.0,198.0,20.0,92.0,40.0,2.0,94.0,118.0,61.0,548.0,257.0,180.0,83.0,109.0,58.0,343.0,28.0,560.0,365.0,569.0,65.0,51.0,388.0
2763,397.0,83.0,33.0,50.0,135.0,37.0,155.0,52.0,236.0,30.0,519.0,49.0,100.0,23.0,565.0,13.0,159.0,66.0,163.0,103.0,202.0,75.0,273.0,266.0,554.0,312.0,620.0,7.0,88.0,34.0
2812,9.0,69.0,30.0,96.0,115.0,58.0,94.0,56.0,117.0,266.0,93.0,157.0,391.0,76.0,609.0,28.0,156.0,64.0,70.0,40.0,82.0,558.0,364.0,19.0,92.0,355.0,628.0,34.0,87.0,110.0
2861,122.0,48.0,26.0,102.0,69.0,19.0,66.0,20.0,206.0,75.0,86.0,523.0,74.0,50.0,162.0,104.0,179.0,146.0,34.0,113.0,324.0,145.0,147.0,108.0,558.0,133.0,568.0,175.0,95.0,388.0
2910,40.0,37.0,51.0,129.0,176.0,168.0,27.0,36.0,111.0,137.0,28.0,125.0,389.0,82.0,39.0,55.0,57.0,56.0,78.0,131.0,45.0,52.0,365.0,358.0,551.0,64.0,595.0,25.0,0.0,382.0
2959,16.0,99.0,28.0,9.0,58.0,87.0,14.0,7.0,537.0,63.0,110.0,94.0,6.0,48.0,191.0,136.0,31.0,290.0,126.0,40.0,13.0,109.0,359.0,326.0,135.0,2.0,91.0,151.0,117.0,130.0
3008,48.0,65.0,76.0,42.0,413.0,58.0,280.0,35.0,71.0,19.0,66.0,515.0,46.0,268.0,145.0,205.0,540.0,279.0,114.0,32.0,10.0,23.0,5.0,37.0,27.0,172.0,83.0,0.0,598.0,59.0
3057,15.0,63.0,78.0,9.0,111.0,76.0,37.0,28.0,191.0,272.0,155.0,17.0,96.0,124.0,170.0,230.0,148.0,56.0,143.0,38.0,87.0,45.0,7.0,363.0,556.0,117.0,596.0,22.0,598.0,92.0
3106,10.0,47.0,51.0,7.0,73.0,52.0,87.0,70.0,23.0,103.0,113.0,121.0,115.0,41.0,168.0,234.0,143.0,254.0,132.0,83.0,147.0,155.0,110.0,36.0,553.0,130.0,569.0,120.0,567.0,133.0
3155,7.0,35.0,22.0,16.0,135.0,11.0,98.0,8.0,230.0,45.0,525.0,53.0,28.0,132.0,51.0,111.0,12.0,52.0,78.0,114.0,147.0,42.0,14.0,5.0,66.0,70.0,1.0,569.0,599.0,122.0
3204,45.0,40.0,112.0,76.0,33.0,161.0,117.0,8.0,194.0,59.0,142.0,67.0,166.0,68.0,11.0,202.0,154.0,243.0,52.0,110.0,35.0,36.0,339.0,364.0,13.0,360.0,93.0,39.0,625.0,388.0
3253,27.0,52.0,107.0,25.0,58.0,91.0,65.0,30.0,250.0,28.0,59.0,49.0,129.0,299.0,18.0,343.0,40.0,223.0,92.0,112.0,34.0,50.0,21.0,307.0,557.0,317.0,626.0,24.0,103.0,99.0
3302,27.0,41.0,50.0,21.0,42.0,64.0,364.0,73.0,63.0,26.0,167.0,87.0,111.0,19.0,179.0,123.0,546.0,254.0,164.0,104.0,120.0,175.0,369.0,113.0,559.0,360.0,581.0,86.0,119.0,131.0
3351,35.0,26.0,30.0,15.0,23.0,567.0,57.0,106.0,39.0,50.0,139.0,41.0,12.0,22.0,51.0,183.0,82.0,33.0,152.0,307.0,75.0,77.0,313.0,131.0,549.0,357.0,622.0,626.0,81.0,52.0
3400,11.0,94.0,570.0,12.0,136.0,144.0,54.0,8.0,218.0,27.0,66.0,131.0,379.0,83.0,59.0,119.0,158.0,82.0,48.0,366.0,85.0,51.0,25.0,358.0,61.0,354.0,106.0,623.0,619.0,373.0
3449,405.0,36.0,95.0,30.0,21.0,82.0,309.0,59.0,16.0,100.0,115.0,24.0,133.0,282.0,148.0,147.0,174.0,29.0,431.0,56.0,43.0,40.0,296.0,315.0,558.0,103.0,47.0,13.0,144.0,83.0
3498,0.0,32.0,53.0,43.0,30.0,55.0,14.0,15.0,40.0,105.0,2.0,35.0,23.0,71.0,607.0,197.0,548.0,16.0,402.0,75.0,24.0,141.0,278.0,117.0,42.0,74.0,26.0,573.0,90.0,393.0
3547,18.0,38.0,47.0,91.0,83.0,36.0,7.0,589.0,19.0,263.0,86.0,14.0,115.0,345.0,32.0,64.0,125.0,65.0,131.0,123.0,73.0,560.0,305.0,26.0,555.0,105.0,27.0,108.0,126.0,96.0
3596,439.0,26.0,28.0,536.0,27.0,23.0,12.0,45.0,20.0,130.0,18.0,19.0,3.0,268.0,619.0,42.0,77.0,76.0,409.0,111.0,354.0,108.0,364.0,358.0,564.0,69.0,124.0,98.0,147.0,392.0
3645,389.0,19.0,61.0,54.0,65.0,35.0,22.0,30.0,10.0,329.0,25.0,15.0,56.0,162.0,103.0,82.0,534.0,238.0,417.0,307.0,70.0,76.0,288.0,299.0,74.0,286.0,72.0,17.0,23.0,95.0
3694,19.0,41.0,114.0,59.0,44.0,151.0,39.0,55.0,60.0,351.0,610.0,12.0,38.0,106.0,11.0,120.0,21.0,265.0,22.0,176.0,128.0,17.0,329.0,324.0,534.0,136.0,35.0,75.0,99.0,43.0
3743,13.0,31.0,54.0,17.0,20.0,153.0,10.0,32.0,137.0,95.0,58.0,57.0,4.0,303.0,12.0,106.0,49.0,27.0,46.0,84.0,132.0,535.0,279.0,271.0,563.0,178.0,35.0,599.0,90.0,105.0
3792,47.0,30.0,82.0,26.0,10.0,84.0,334.0,67.0,45.0,270.0,159.0,86.0,111.0,97.0,51.0,72.0,540.0,246.0,423.0,39.0,54.0,559.0,143.0,9.0,555.0,60.0,36.0,31.0,58.0,376.0
3841,62.0,41.0,59.0,24.0,5.0,26.0,13.0,49.0,25.0,123.0,57.0,23.0,42.0,340.0,79.0,75.0,541.0,245.0,111.0,121.0,34.0,555.0,336.0,113.0,17.0,98.0,629.0,150.0,154.0,76.0
3890,66.0,27.0,51.0,77.0,103.0,35.0,15.0,32.0,30.0,143.0,93.0,125.0,41.0,129.0,531.0,173.0,167.0,146.0,44.0,122.0,108.0,18.0,26.0,345.0,10.0,166.0,626.0,24.0,624.0,387.0
3939,95.0,84.0,102.0,104.0,47.0,149.0,83.0,586.0,220.0,78.0,54.0,12.0,63.0,140.0,71.0,109.0,542.0,62.0,157.0,50.0,303.0,558.0,57.0,360.0,556.0,44.0,75.0,122.0,169.0,26.0
3988,126.0,66.0,95.0,105.0,50.0,117.0,280.0,151.0,228.0,4.0,131.0,49.0,139.0,56.0,609.0,114.0,99.0,103.0,113.0,91.0,121.0,563.0,348.0,283.0,558.0,20.0,75.0,68.0,569.0,102.0
4037,44.0,69.0,35.0,21.0,41.0,36.0,136.0,584.0,39.0,64.0,125.0,16.0,14.0,58.0,70.0,161.0,122.0,29.0,94.0,119.0,71.0,556.0,23.0,32.0,156.0,112.0,83.0,152.0,629.0,142.0
4086,67.0,42.0,34.0,27.0,78.0,77.0,0.0,95.0,3.0,16.0,68.0,92.0,55.0,11.0,83.0,53.0,76.0,249.0,113.0,111.0,132.0,559.0,367.0,138.0,87.0,359.0,64.0,598.0,626.0,29.0
4135,33.0,58.0,63.0,21.0,35.0,50.0,98.0,44.0,4.0,130.0,42.0,12.0,103.0,273.0,177.0,70.0,104.0,119.0,117.0,285.0,84.0,557.0,120.0,79.0,554.0,157.0,95.0,46.0,596.0,80.0
4184,7.0,65.0,84.0,4.0,44.0,75.0,124.0,585.0,51.0,47.0,69.0,16.0,96.0,26.0,604.0,98.0,76.0,325.0,42.0,39.0,17.0,557.0,53.0,290.0,29.0,127.0,116.0,598.0,150.0,50.0
4233,28.0,52.0,66.0,25.0,40.0,71.0,344.0,106.0,53.0,306.0,31.0,32.0,75.0,124.0,57.0,35.0,43.0,298.0,150.0,96.0,86.0,139.0,76.0,95.0,12.0,153.0,627.0,101.0,176.0,11.0
4282,1.0,38.0,79.0,12.0,152.0,110.0,320.0,582.0,21.0,360.0,35.0,159.0,93.0,28.0,602.0,106.0,147.0,65.0,109.0,111.0,43.0,560.0,180.0,308.0,557.0,76.0,597.0,160.0,599.0,383.0
4331,394.0,45.0,32.0,19.0,54.0,33.0,67.0,574.0,0.0,30.0,81.0,51.0,90.0,13.0,602.0,101.0,118.0,58.0,43.0,120.0,108.0,74.0,364.0,359.0,116.0,83.0,623.0,626.0,622.0,71.0
4380,430.0,95.0,14.0,40.0,46.0,152.0,55.0,34.0,22.0,47.0,115.0,70.0,68.0,23.0,143.0,71.0,61.0,243.0,126.0,44.0,280.0,15.0,77.0,99.0,561.0,355.0,13.0,613.0,111.0,16.0
4429,35.0,18.0,45.0,26.0,420.0,64.0,293.0,0.0,233.0,277.0,31.0,52.0,74.0,63.0,95.0,12.0,36.0,22.0,151.0,49.0,138.0,5.0,90.0,65.0,554.0,165.0,597.0,569.0,598.0,144.0
4478,26.0,20.0,55.0,27.0,37.0,60.0,7.0,581.0,57.0,76.0,518.0,161.0,56.0,15.0,127.0,59.0,121.0,90.0,129.0,331.0,181.0,36.0,30.0,12.0,549.0,152.0,625.0,151.0,145.0,75.0
4527,5.0,58.0,54.0,130.0,36.0,142.0,41.0,585.0,3.0,6.0,69.0,95.0,391.0,38.0,76.0,106.0,132.0,89.0,118.0,128.0,310.0,8.0,17.0,30.0,23.0,27.0,45.0,83.0,53.0,34.0
4576,433.0,16.0,43.0,128.0,11.0,35.0,12.0,25.0,69.0,292.0,529.0,103.0,387.0,29.0,67.0,166.0,541.0,95.0,137.0,357.0,368.0,90.0,50.0,5.0,555.0,140.0,598.0,569.0,148.0,84.0
4625,459.0,34.0,59.0,47.0,400.0,70.0,132.0,577.0,236.0,256.0,128.0,71.0,379.0,130.0,82.0,104.0,133.0,277.0,115.0,91.0,245.0,9.0,43.0,20.0,33.0,8.0,620.0,21.0,79.0,148.0
4674,8.0,40.0,59.0,17.0,24.0,50.0,76.0,587.0,238.0,125.0,86.0,79.0,396.0,353.0,63.0,34.0,116.0,81.0,68.0,280.0,296.0,35.0,38.0,21.0,74.0,156.0,52.0,568.0,67.0,122.0
4723,27.0,25.0,47.0,175.0,0.0,68.0,1.0,585.0,32.0,268.0,30.0,89.0,386.0,171.0,34.0,66.0,543.0,329.0,165.0,143.0,197.0,87.0,40.0,33.0,555.0,128.0,19.0,567.0,141.0,85.0
4772,14.0,32.0,38.0,113.0,29.0,79.0,3.0,0.0,186.0,304.0,30.0,92.0,389.0,133.0,106.0,127.0,66.0,251.0,118.0,34.0,272.0,51.0,121.0,76.0,551.0,358.0,627.0,172.0,70.0,74.0
4821,4.0,47.0,49.0,184.0,33.0,42.0,54.0,584.0,66.0,73.0,19.0,107.0,11.0,58.0,0.0,74.0,538.0,333.0,145.0,175.0,221.0,77.0,278.0,268.0,70.0,123.0,596.0,56.0,62.0,160.0
4870,62.0,28.0,23.0,75.0,3.0,15.0,11.0,30.0,102.0,88.0,55.0,96.0,61.0,293.0,5.0,145.0,90.0,182.0,110.0,127.0,212.0,37.0,26.0,270.0,557.0,56.0,68.0,149.0,74.0,129.0
