,hsa-miR-196b,hsa-miR-125a-3p,hsa-miR-877,hsa-miR-223,hsa-miR-628-5p,hsa-miR-574-5p,hsa-miR-34c-5p,hsa-miR-199b-5p,hsa-miR-548d-3p,hsa-miR-550,hsa-miR-197,hsa-miR-759,hsa-miR-1286,hsa-miR-453,hsa-miR-641,hsa-miR-891a,hsa-miR-590-5p,hsa-miR-578,hsa-miR-1254,hsa-miR-661,hsa-miR-27b,hsa-miR-140-5p,hsa-miR-551b,hsa-miR-636,hsa-miR-340,hsa-miR-635,hsa-miR-892a,hsa-miR-921,hsa-miR-744,hsa-miR-548a-3p
1584,3.0,2.0,8.0,5.0,7.0,1.0,10.0,15.0,47.0,0.0,48.0,14.0,12.0,6.0,20.0,43.0,41.0,46.0,26.0,28.0,63.0,152.0,9.0,19.0,40.0,17.0,34.0,37.0,11.0,64.0
1633,3.0,0.0,6.0,12.0,2.0,8.0,47.0,7.0,17.0,1.0,53.0,23.0,10.0,11.0,25.0,22.0,45.0,9.0,40.0,15.0,5.0,70.0,4.0,28.0,30.0,52.0,46.0,51.0,34.0,21.0
1682,0.0,2.0,11.0,4.0,3.0,27.0,12.0,24.0,31.0,1.0,54.0,35.0,10.0,9.0,26.0,34.0,50.0,85.0,55.0,41.0,15.0,144.0,6.0,42.0,13.0,43.0,51.0,286.0,7.0,30.0
1731,4.0,0.0,5.0,11.0,2.0,6.0,29.0,9.0,16.0,1.0,32.0,40.0,18.0,15.0,13.0,12.0,26.0,30.0,22.0,19.0,43.0,59.0,7.0,31.0,14.0,56.0,45.0,197.0,3.0,20.0
1780,4.0,0.0,9.0,14.0,1.0,20.0,24.0,5.0,21.0,2.0,45.0,46.0,121.0,15.0,7.0,31.0,73.0,26.0,47.0,13.0,18.0,92.0,3.0,174.0,34.0,39.0,6.0,197.0,11.0,64.0
1829,3.0,6.0,16.0,8.0,5.0,4.0,37.0,2.0,9.0,0.0,41.0,27.0,12.0,18.0,19.0,35.0,38.0,22.0,15.0,7.0,14.0,84.0,10.0,32.0,30.0,53.0,200.0,260.0,11.0,108.0
1878,4.0,0.0,17.0,5.0,11.0,13.0,35.0,3.0,20.0,1.0,14.0,50.0,26.0,9.0,29.0,42.0,46.0,23.0,21.0,30.0,24.0,113.0,8.0,12.0,15.0,16.0,18.0,28.0,2.0,48.0
1927,3.0,0.0,5.0,9.0,2.0,10.0,42.0,6.0,18.0,1.0,71.0,97.0,43.0,12.0,7.0,44.0,37.0,40.0,34.0,153.0,27.0,31.0,8.0,17.0,32.0,28.0,22.0,103.0,4.0,59.0
1976,0.0,1.0,3.0,4.0,14.0,7.0,12.0,31.0,6.0,99.0,45.0,9.0,35.0,29.0,40.0,54.0,55.0,5.0,33.0,20.0,28.0,13.0,32.0,151.0,16.0,37.0,316.0,21.0,193.0,132.0
2025,1.0,0.0,9.0,7.0,12.0,5.0,38.0,3.0,21.0,33.0,44.0,18.0,16.0,6.0,19.0,35.0,61.0,26.0,45.0,40.0,201.0,8.0,2.0,96.0,4.0,30.0,114.0,62.0,34.0,189.0
2074,1.0,0.0,6.0,7.0,9.0,5.0,2.0,31.0,18.0,52.0,134.0,4.0,22.0,10.0,39.0,21.0,87.0,3.0,78.0,20.0,77.0,12.0,8.0,151.0,44.0,13.0,191.0,27.0,54.0,42.0
2123,0.0,1.0,2.0,3.0,26.0,5.0,4.0,12.0,14.0,87.0,104.0,8.0,6.0,7.0,46.0,40.0,33.0,20.0,29.0,13.0,44.0,16.0,9.0,172.0,18.0,50.0,128.0,23.0,127.0,138.0
2172,0.0,1.0,4.0,3.0,18.0,5.0,13.0,8.0,10.0,46.0,35.0,7.0,45.0,12.0,24.0,41.0,109.0,2.0,69.0,16.0,113.0,6.0,21.0,128.0,53.0,62.0,36.0,162.0,19.0,163.0
2221,1.0,0.0,6.0,2.0,4.0,7.0,35.0,43.0,10.0,23.0,37.0,8.0,32.0,14.0,17.0,15.0,75.0,5.0,46.0,9.0,28.0,20.0,3.0,109.0,52.0,56.0,65.0,40.0,119.0,13.0
2270,1.0,0.0,5.0,8.0,4.0,3.0,9.0,16.0,2.0,7.0,27.0,6.0,10.0,12.0,46.0,18.0,34.0,45.0,76.0,24.0,70.0,28.0,54.0,108.0,56.0,51.0,107.0,11.0,66.0,78.0
2319,2.0,0.0,3.0,10.0,6.0,4.0,20.0,8.0,17.0,53.0,77.0,9.0,33.0,22.0,12.0,67.0,105.0,1.0,91.0,52.0,71.0,11.0,32.0,158.0,5.0,41.0,185.0,21.0,50.0,68.0
2368,0.0,1.0,4.0,13.0,7.0,2.0,5.0,25.0,8.0,26.0,53.0,10.0,6.0,11.0,34.0,62.0,92.0,110.0,28.0,16.0,137.0,21.0,15.0,66.0,57.0,54.0,41.0,20.0,35.0,47.0
2417,0.0,1.0,3.0,15.0,13.0,69.0,20.0,21.0,8.0,46.0,52.0,4.0,11.0,7.0,73.0,38.0,320.0,2.0,23.0,9.0,31.0,19.0,10.0,145.0,49.0,57.0,200.0,6.0,34.0,40.0
2466,0.0,5.0,7.0,3.0,2.0,31.0,18.0,23.0,21.0,52.0,16.0,26.0,79.0,29.0,15.0,22.0,63.0,78.0,20.0,65.0,42.0,30.0,47.0,10.0,14.0,36.0,24.0,25.0,102.0,146.0
2515,3.0,2.0,1.0,10.0,11.0,20.0,49.0,9.0,35.0,38.0,13.0,6.0,66.0,36.0,8.0,34.0,32.0,94.0,5.0,16.0,27.0,30.0,0.0,4.0,46.0,18.0,112.0,28.0,254.0,67.0
2564,0.0,1.0,3.0,6.0,2.0,9.0,10.0,15.0,49.0,110.0,13.0,18.0,174.0,37.0,7.0,17.0,16.0,134.0,19.0,96.0,42.0,5.0,44.0,32.0,64.0,30.0,56.0,4.0,99.0,21.0
2613,0.0,2.0,4.0,1.0,3.0,23.0,13.0,9.0,10.0,70.0,24.0,35.0,128.0,37.0,20.0,26.0,18.0,138.0,14.0,21.0,41.0,12.0,42.0,27.0,51.0,32.0,7.0,25.0,160.0,47.0
2662,2.0,1.0,4.0,3.0,0.0,11.0,12.0,29.0,9.0,7.0,15.0,5.0,35.0,22.0,18.0,8.0,17.0,121.0,20.0,25.0,43.0,23.0,60.0,41.0,21.0,19.0,27.0,10.0,170.0,13.0
2711,3.0,0.0,1.0,4.0,2.0,7.0,54.0,16.0,14.0,24.0,13.0,62.0,60.0,11.0,12.0,5.0,36.0,148.0,20.0,29.0,44.0,10.0,8.0,23.0,18.0,17.0,51.0,6.0,118.0,119.0
2760,2.0,0.0,7.0,3.0,1.0,9.0,136.0,11.0,8.0,62.0,5.0,46.0,35.0,20.0,22.0,12.0,31.0,289.0,13.0,45.0,4.0,6.0,14.0,38.0,16.0,84.0,10.0,37.0,456.0,23.0
2809,0.0,4.0,12.0,1.0,9.0,68.0,60.0,6.0,2.0,28.0,16.0,49.0,51.0,42.0,34.0,5.0,45.0,156.0,10.0,7.0,23.0,3.0,11.0,21.0,18.0,14.0,19.0,13.0,48.0,54.0
2858,7.0,0.0,5.0,1.0,3.0,11.0,4.0,51.0,15.0,12.0,17.0,71.0,139.0,23.0,31.0,8.0,2.0,125.0,9.0,61.0,13.0,6.0,14.0,10.0,74.0,58.0,29.0,44.0,230.0,16.0
2907,16.0,2.0,1.0,4.0,5.0,71.0,22.0,7.0,12.0,8.0,45.0,47.0,62.0,69.0,18.0,11.0,70.0,178.0,39.0,222.0,37.0,9.0,40.0,6.0,25.0,36.0,48.0,0.0,23.0,61.0
2956,0.0,2.0,9.0,14.0,3.0,1.0,4.0,20.0,23.0,12.0,32.0,10.0,21.0,38.0,7.0,8.0,33.0,43.0,13.0,11.0,51.0,103.0,5.0,27.0,230.0,79.0,104.0,83.0,18.0,16.0
3005,1.0,0.0,11.0,24.0,8.0,15.0,28.0,34.0,6.0,7.0,2.0,21.0,22.0,9.0,37.0,4.0,36.0,5.0,10.0,17.0,40.0,125.0,26.0,30.0,372.0,32.0,177.0,38.0,84.0,16.0
3054,1.0,0.0,3.0,5.0,2.0,7.0,16.0,37.0,74.0,20.0,19.0,47.0,39.0,8.0,6.0,11.0,22.0,103.0,12.0,4.0,122.0,52.0,13.0,15.0,43.0,31.0,59.0,17.0,111.0,27.0
3103,2.0,0.0,1.0,7.0,12.0,8.0,9.0,20.0,10.0,124.0,43.0,33.0,53.0,26.0,14.0,5.0,34.0,6.0,11.0,4.0,31.0,61.0,3.0,38.0,139.0,32.0,132.0,35.0,29.0,18.0
3152,0.0,1.0,2.0,5.0,9.0,4.0,8.0,59.0,14.0,13.0,39.0,17.0,103.0,28.0,15.0,20.0,78.0,53.0,18.0,7.0,11.0,81.0,3.0,44.0,66.0,29.0,35.0,52.0,47.0,24.0
3201,0.0,1.0,2.0,3.0,5.0,7.0,12.0,76.0,8.0,22.0,13.0,10.0,105.0,14.0,23.0,11.0,26.0,21.0,16.0,4.0,161.0,82.0,9.0,31.0,87.0,60.0,77.0,58.0,34.0,48.0
3250,1.0,2.0,3.0,13.0,4.0,7.0,30.0,17.0,24.0,18.0,59.0,12.0,109.0,10.0,5.0,41.0,19.0,25.0,14.0,6.0,22.0,146.0,33.0,31.0,161.0,39.0,125.0,175.0,27.0,37.0
3299,0.0,1.0,6.0,8.0,3.0,5.0,7.0,15.0,78.0,9.0,85.0,40.0,90.0,23.0,2.0,10.0,42.0,116.0,12.0,4.0,32.0,117.0,38.0,19.0,129.0,33.0,48.0,52.0,86.0,25.0
3348,1.0,0.0,2.0,10.0,3.0,39.0,11.0,90.0,56.0,9.0,98.0,13.0,48.0,23.0,37.0,7.0,33.0,50.0,32.0,38.0,31.0,100.0,4.0,5.0,126.0,62.0,69.0,29.0,68.0,16.0
3397,3.0,1.0,0.0,5.0,6.0,45.0,127.0,30.0,18.0,10.0,24.0,14.0,103.0,23.0,7.0,13.0,22.0,31.0,21.0,51.0,131.0,41.0,8.0,27.0,237.0,50.0,12.0,17.0,188.0,4.0
3446,1.0,0.0,2.0,4.0,5.0,3.0,9.0,14.0,21.0,17.0,26.0,22.0,8.0,7.0,63.0,25.0,13.0,27.0,37.0,15.0,70.0,45.0,20.0,33.0,16.0,23.0,140.0,6.0,299.0,18.0
3495,1.0,0.0,2.0,4.0,6.0,3.0,8.0,21.0,19.0,13.0,9.0,5.0,7.0,55.0,11.0,41.0,53.0,23.0,51.0,39.0,207.0,25.0,22.0,43.0,192.0,29.0,20.0,58.0,229.0,85.0
3544,1.0,0.0,3.0,2.0,7.0,6.0,12.0,11.0,51.0,22.0,62.0,8.0,5.0,21.0,100.0,16.0,13.0,4.0,18.0,59.0,36.0,73.0,78.0,38.0,10.0,14.0,49.0,9.0,173.0,25.0
3593,0.0,1.0,14.0,3.0,5.0,9.0,8.0,6.0,101.0,26.0,30.0,15.0,4.0,2.0,7.0,36.0,12.0,33.0,20.0,69.0,116.0,31.0,24.0,10.0,11.0,71.0,25.0,19.0,175.0,60.0
3642,0.0,1.0,2.0,7.0,6.0,14.0,9.0,38.0,44.0,3.0,10.0,17.0,19.0,20.0,104.0,26.0,4.0,16.0,75.0,37.0,103.0,28.0,112.0,99.0,31.0,50.0,13.0,56.0,80.0,8.0
3691,1.0,0.0,2.0,4.0,6.0,5.0,3.0,8.0,104.0,54.0,47.0,18.0,10.0,19.0,13.0,24.0,36.0,14.0,21.0,52.0,126.0,16.0,45.0,33.0,31.0,23.0,68.0,11.0,86.0,17.0
3740,0.0,2.0,1.0,4.0,5.0,3.0,7.0,8.0,34.0,41.0,20.0,10.0,12.0,22.0,23.0,30.0,9.0,6.0,24.0,64.0,140.0,90.0,16.0,40.0,35.0,21.0,15.0,61.0,33.0,18.0
3789,1.0,0.0,3.0,4.0,6.0,12.0,2.0,27.0,41.0,24.0,36.0,25.0,8.0,10.0,75.0,20.0,16.0,5.0,72.0,15.0,18.0,29.0,33.0,9.0,21.0,49.0,28.0,7.0,44.0,22.0
3838,1.0,0.0,3.0,5.0,9.0,8.0,4.0,21.0,49.0,6.0,11.0,72.0,2.0,22.0,31.0,12.0,20.0,16.0,14.0,26.0,7.0,73.0,89.0,55.0,27.0,15.0,25.0,45.0,70.0,10.0
3887,0.0,1.0,5.0,4.0,6.0,2.0,3.0,20.0,53.0,16.0,15.0,11.0,36.0,7.0,47.0,21.0,9.0,35.0,62.0,31.0,13.0,51.0,24.0,68.0,45.0,94.0,78.0,72.0,167.0,8.0
3936,0.0,2.0,4.0,5.0,12.0,14.0,1.0,8.0,7.0,18.0,25.0,24.0,34.0,27.0,98.0,21.0,32.0,36.0,73.0,20.0,9.0,43.0,17.0,11.0,23.0,68.0,29.0,10.0,35.0,131.0
3985,0.0,1.0,2.0,19.0,10.0,59.0,16.0,6.0,17.0,11.0,9.0,14.0,33.0,45.0,106.0,43.0,7.0,29.0,65.0,18.0,8.0,228.0,170.0,35.0,85.0,52.0,5.0,163.0,49.0,47.0
4034,1.0,0.0,3.0,7.0,4.0,20.0,2.0,19.0,52.0,14.0,38.0,23.0,13.0,18.0,114.0,48.0,25.0,85.0,54.0,99.0,6.0,68.0,79.0,8.0,28.0,53.0,37.0,17.0,90.0,72.0
4083,0.0,1.0,6.0,17.0,18.0,3.0,7.0,13.0,23.0,5.0,11.0,20.0,15.0,25.0,31.0,4.0,2.0,47.0,84.0,88.0,16.0,73.0,29.0,10.0,189.0,110.0,48.0,32.0,52.0,41.0
4132,4.0,2.0,0.0,11.0,1.0,7.0,12.0,5.0,19.0,39.0,50.0,8.0,29.0,46.0,103.0,48.0,28.0,35.0,45.0,57.0,10.0,92.0,24.0,6.0,38.0,42.0,13.0,3.0,97.0,16.0
4181,1.0,0.0,2.0,3.0,15.0,23.0,17.0,16.0,35.0,9.0,25.0,12.0,28.0,41.0,106.0,52.0,6.0,30.0,46.0,195.0,40.0,80.0,13.0,8.0,48.0,36.0,5.0,19.0,11.0,27.0
4230,4.0,0.0,2.0,1.0,7.0,12.0,11.0,3.0,29.0,8.0,5.0,13.0,17.0,99.0,89.0,84.0,9.0,6.0,30.0,20.0,22.0,75.0,37.0,10.0,54.0,38.0,25.0,40.0,16.0,111.0
4279,0.0,1.0,6.0,11.0,2.0,16.0,5.0,15.0,24.0,30.0,26.0,4.0,13.0,14.0,82.0,20.0,9.0,32.0,35.0,49.0,7.0,86.0,302.0,8.0,39.0,65.0,38.0,21.0,50.0,78.0
4328,1.0,2.0,9.0,5.0,22.0,10.0,6.0,3.0,15.0,0.0,11.0,14.0,16.0,53.0,65.0,25.0,34.0,64.0,29.0,117.0,8.0,35.0,67.0,4.0,33.0,69.0,97.0,21.0,45.0,50.0
4377,0.0,1.0,5.0,7.0,3.0,8.0,6.0,10.0,18.0,12.0,17.0,11.0,13.0,62.0,54.0,21.0,9.0,128.0,63.0,49.0,2.0,136.0,44.0,28.0,19.0,20.0,22.0,23.0,14.0,50.0
4426,0.0,1.0,7.0,25.0,12.0,15.0,45.0,19.0,3.0,5.0,6.0,28.0,14.0,181.0,9.0,51.0,22.0,4.0,43.0,11.0,26.0,31.0,81.0,57.0,49.0,109.0,220.0,75.0,10.0,255.0
4475,0.0,2.0,7.0,19.0,13.0,1.0,39.0,32.0,3.0,133.0,5.0,8.0,81.0,300.0,12.0,14.0,4.0,10.0,31.0,34.0,9.0,23.0,79.0,71.0,11.0,45.0,141.0,61.0,20.0,29.0
4524,0.0,1.0,3.0,4.0,12.0,17.0,8.0,6.0,2.0,80.0,24.0,9.0,34.0,90.0,25.0,57.0,19.0,13.0,40.0,33.0,37.0,5.0,44.0,72.0,14.0,50.0,116.0,104.0,10.0,66.0
4573,0.0,2.0,5.0,4.0,68.0,1.0,7.0,6.0,12.0,58.0,3.0,13.0,82.0,94.0,15.0,31.0,16.0,33.0,26.0,14.0,9.0,18.0,122.0,21.0,36.0,61.0,75.0,80.0,23.0,83.0
4622,1.0,0.0,4.0,6.0,86.0,3.0,85.0,27.0,17.0,35.0,11.0,69.0,18.0,146.0,20.0,33.0,2.0,16.0,5.0,25.0,15.0,38.0,57.0,54.0,8.0,53.0,60.0,91.0,12.0,41.0
4671,1.0,0.0,4.0,5.0,73.0,3.0,12.0,8.0,13.0,28.0,14.0,27.0,33.0,123.0,21.0,10.0,18.0,56.0,20.0,6.0,2.0,25.0,68.0,39.0,62.0,31.0,166.0,92.0,36.0,63.0
4720,0.0,2.0,9.0,34.0,59.0,1.0,36.0,14.0,3.0,19.0,13.0,23.0,20.0,156.0,38.0,76.0,8.0,4.0,29.0,5.0,7.0,10.0,12.0,62.0,21.0,58.0,67.0,6.0,28.0,40.0
4769,1.0,0.0,7.0,11.0,63.0,9.0,6.0,5.0,3.0,132.0,76.0,28.0,17.0,81.0,22.0,48.0,19.0,46.0,86.0,15.0,26.0,20.0,27.0,129.0,34.0,57.0,96.0,106.0,35.0,61.0
4818,1.0,0.0,3.0,17.0,80.0,2.0,57.0,5.0,7.0,41.0,38.0,4.0,24.0,202.0,8.0,59.0,37.0,11.0,23.0,69.0,15.0,19.0,36.0,33.0,32.0,22.0,34.0,25.0,9.0,91.0
4867,0.0,2.0,1.0,19.0,42.0,29.0,35.0,4.0,14.0,6.0,56.0,21.0,236.0,106.0,31.0,23.0,7.0,9.0,5.0,77.0,22.0,8.0,158.0,27.0,44.0,63.0,83.0,92.0,10.0,157.0
