,hsa-miR-142-5p,hsa-let-7e,hsa-miR-24,hsa-miR-574-5p,hsa-miR-130a,hsa-miR-21,hsa-miR-663,hsa-miR-135b,hsa-miR-10a,hsa-miR-222,hsa-miR-22,hsa-miR-147b,hsa-miR-31,hsa-miR-216a,hsa-miR-223,hsa-miR-579,hsa-miR-92a,hsa-miR-219-2-3p,hsa-miR-149,hsa-miR-193a-5p,hsa-miR-378,hsa-miR-150,hsa-miR-766,hsa-miR-210,hsa-miR-1302,hsa-miR-29c,hsa-miR-151-3p,hsa-miR-187,hsa-miR-422a,hcmv-miR-US5-1
1880,1.0,0.0,2.0,10.0,5.0,3.0,4.0,12.0,8.0,9.0,7.0,38.0,6.0,21.0,13.0,281.0,24.0,16.0,50.0,26.0,45.0,94.0,42.0,97.0,27.0,15.0,555.0,204.0,11.0,48.0
1929,0.0,1.0,2.0,5.0,6.0,7.0,3.0,172.0,23.0,29.0,19.0,30.0,44.0,14.0,114.0,11.0,50.0,64.0,147.0,24.0,32.0,126.0,186.0,20.0,283.0,95.0,148.0,203.0,10.0,208.0
1978,0.0,2.0,1.0,6.0,4.0,3.0,7.0,11.0,12.0,115.0,8.0,9.0,35.0,147.0,113.0,5.0,37.0,23.0,314.0,80.0,10.0,206.0,28.0,21.0,52.0,155.0,14.0,18.0,83.0,42.0
2027,0.0,1.0,2.0,6.0,3.0,7.0,20.0,9.0,5.0,201.0,52.0,15.0,22.0,4.0,164.0,54.0,45.0,43.0,10.0,8.0,28.0,35.0,42.0,95.0,34.0,55.0,38.0,26.0,63.0,213.0
2076,1.0,0.0,2.0,3.0,4.0,11.0,23.0,71.0,14.0,15.0,7.0,10.0,101.0,6.0,62.0,16.0,8.0,30.0,5.0,9.0,114.0,35.0,533.0,59.0,40.0,46.0,37.0,29.0,26.0,17.0
2125,0.0,2.0,1.0,3.0,5.0,4.0,19.0,11.0,223.0,22.0,8.0,9.0,29.0,44.0,14.0,62.0,18.0,251.0,40.0,27.0,24.0,175.0,38.0,7.0,16.0,25.0,75.0,20.0,42.0,58.0
2174,0.0,1.0,2.0,3.0,4.0,11.0,9.0,5.0,16.0,153.0,26.0,13.0,7.0,6.0,66.0,48.0,12.0,151.0,8.0,17.0,55.0,21.0,227.0,124.0,19.0,27.0,23.0,14.0,80.0,542.0
2223,1.0,0.0,2.0,3.0,6.0,19.0,13.0,4.0,132.0,71.0,10.0,5.0,403.0,39.0,48.0,11.0,199.0,598.0,8.0,317.0,7.0,165.0,93.0,25.0,163.0,15.0,177.0,51.0,31.0,16.0
2272,0.0,1.0,2.0,5.0,3.0,14.0,4.0,6.0,21.0,43.0,12.0,64.0,18.0,24.0,25.0,9.0,78.0,169.0,20.0,19.0,13.0,57.0,35.0,80.0,59.0,7.0,23.0,16.0,111.0,89.0
2321,0.0,1.0,2.0,25.0,4.0,11.0,7.0,10.0,3.0,177.0,356.0,12.0,60.0,6.0,163.0,164.0,22.0,13.0,20.0,8.0,9.0,300.0,15.0,130.0,5.0,121.0,16.0,53.0,36.0,132.0
2370,1.0,0.0,3.0,4.0,5.0,2.0,11.0,18.0,29.0,22.0,26.0,31.0,16.0,7.0,197.0,15.0,141.0,33.0,21.0,109.0,8.0,25.0,274.0,104.0,17.0,19.0,240.0,6.0,13.0,184.0
2419,0.0,1.0,3.0,7.0,2.0,11.0,298.0,22.0,30.0,10.0,58.0,17.0,14.0,23.0,4.0,81.0,35.0,29.0,15.0,9.0,6.0,52.0,105.0,34.0,24.0,16.0,95.0,8.0,5.0,134.0
2468,0.0,2.0,1.0,4.0,24.0,5.0,3.0,8.0,28.0,41.0,6.0,69.0,9.0,17.0,20.0,16.0,73.0,18.0,12.0,74.0,22.0,34.0,101.0,14.0,97.0,52.0,23.0,110.0,81.0,31.0
2517,0.0,1.0,2.0,4.0,3.0,6.0,36.0,10.0,30.0,5.0,19.0,84.0,182.0,15.0,8.0,9.0,54.0,55.0,21.0,26.0,42.0,207.0,79.0,13.0,92.0,12.0,16.0,167.0,270.0,20.0
2566,0.0,2.0,1.0,6.0,7.0,5.0,3.0,11.0,4.0,51.0,13.0,20.0,47.0,21.0,9.0,15.0,65.0,19.0,8.0,17.0,290.0,14.0,16.0,224.0,35.0,12.0,31.0,143.0,174.0,116.0
2615,0.0,1.0,2.0,4.0,5.0,3.0,19.0,14.0,15.0,24.0,29.0,10.0,18.0,28.0,6.0,144.0,58.0,31.0,20.0,8.0,94.0,27.0,22.0,151.0,110.0,43.0,25.0,33.0,12.0,9.0
2664,0.0,1.0,6.0,2.0,4.0,7.0,3.0,9.0,16.0,31.0,10.0,20.0,21.0,149.0,5.0,24.0,25.0,15.0,52.0,42.0,87.0,73.0,13.0,14.0,18.0,57.0,75.0,147.0,83.0,12.0
2713,0.0,1.0,2.0,3.0,6.0,22.0,7.0,16.0,14.0,38.0,17.0,11.0,24.0,84.0,12.0,5.0,69.0,65.0,33.0,59.0,13.0,28.0,21.0,4.0,91.0,10.0,34.0,67.0,44.0,343.0
