,PLEURA,HAEMATOPOIETIC,NERVOUS,LARGE_INTESTINE,OVARY,LIVER,URINARY,LUNG,OESOPHAGUS,PANCREAS,BREAST,STOMACH,SKIN,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
1468,21.0,0.0,1.0,2.0,4.0,6.0,10.0,7.0,5.0,9.0,3.0,20.0,8.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
1517,0.0,2.0,6.0,3.0,4.0,5.0,11.0,10.0,1.0,7.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,0.0,1.0,6.0,4.0,3.0,5.0,12.0,8.0,2.0,7.0,11.0,10.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,15.0,0.0,1.0,5.0,8.0,4.0,10.0,3.0,6.0,2.0,9.0,7.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,0.0,1.0,3.0,4.0,2.0,7.0,8.0,6.0,5.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,0.0,2.0,3.0,6.0,4.0,5.0,11.0,9.0,8.0,7.0,10.0,12.0,13.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,15.0,0.0,7.0,4.0,2.0,5.0,1.0,9.0,8.0,6.0,10.0,3.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1811,15.0,1.0,7.0,3.0,4.0,2.0,0.0,9.0,8.0,6.0,11.0,10.0,5.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,15.0,0.0,3.0,8.0,1.0,2.0,7.0,5.0,4.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1909,0.0,2.0,5.0,4.0,1.0,3.0,9.0,8.0,6.0,7.0,12.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,0.0,2.0,5.0,6.0,3.0,4.0,10.0,9.0,11.0,7.0,12.0,13.0,8.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2007,0.0,1.0,2.0,4.0,3.0,5.0,12.0,8.0,6.0,10.0,11.0,7.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,0.0,1.0,2.0,3.0,5.0,4.0,10.0,7.0,6.0,12.0,8.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,0.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,7.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,1.0,0.0,2.0,3.0,4.0,5.0,11.0,7.0,6.0,10.0,8.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2203,0.0,1.0,2.0,3.0,4.0,5.0,20.0,6.0,9.0,11.0,10.0,8.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2252,0.0,1.0,2.0,3.0,4.0,10.0,6.0,7.0,5.0,12.0,8.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2301,1.0,0.0,5.0,3.0,6.0,4.0,2.0,7.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,15.0,1.0,2.0,5.0,10.0,3.0,8.0,6.0,4.0,11.0,7.0,9.0,12.0,13.0,0.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,2.0,1.0,3.0,13.0,11.0,9.0,6.0,4.0,7.0,12.0,5.0,8.0,10.0,14.0,0.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,15.0,1.0,2.0,7.0,6.0,4.0,5.0,3.0,9.0,8.0,12.0,10.0,11.0,13.0,0.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,15.0,0.0,1.0,3.0,2.0,7.0,10.0,4.0,9.0,6.0,11.0,8.0,5.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2546,15.0,0.0,3.0,1.0,2.0,4.0,6.0,8.0,9.0,5.0,7.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2595,15.0,0.0,4.0,3.0,2.0,1.0,7.0,8.0,5.0,9.0,10.0,6.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,15.0,1.0,2.0,3.0,0.0,9.0,5.0,8.0,6.0,4.0,11.0,7.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2693,15.0,0.0,1.0,3.0,2.0,7.0,5.0,10.0,4.0,8.0,9.0,6.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2742,15.0,1.0,5.0,3.0,0.0,4.0,2.0,7.0,8.0,6.0,9.0,11.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2791,21.0,0.0,5.0,1.0,2.0,6.0,20.0,3.0,4.0,9.0,10.0,7.0,8.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
2840,15.0,1.0,2.0,3.0,5.0,6.0,0.0,8.0,4.0,7.0,11.0,10.0,9.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,15.0,0.0,5.0,2.0,1.0,6.0,8.0,10.0,3.0,9.0,7.0,4.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2938,15.0,0.0,1.0,3.0,2.0,11.0,5.0,8.0,6.0,4.0,10.0,9.0,7.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,0.0,2.0,5.0,1.0,4.0,6.0,3.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3036,0.0,2.0,5.0,3.0,1.0,9.0,4.0,7.0,11.0,6.0,10.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3085,0.0,2.0,7.0,5.0,4.0,6.0,20.0,3.0,9.0,12.0,10.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,1.0,18.0,19.0,21.0,22.0
3134,0.0,2.0,6.0,5.0,4.0,1.0,3.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,15.0,0.0,4.0,1.0,2.0,5.0,3.0,8.0,7.0,9.0,11.0,10.0,6.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,0.0,2.0,5.0,3.0,4.0,8.0,1.0,6.0,12.0,11.0,9.0,10.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3281,0.0,1.0,3.0,4.0,5.0,11.0,2.0,6.0,7.0,10.0,9.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3330,0.0,1.0,6.0,4.0,3.0,12.0,2.0,5.0,9.0,10.0,11.0,8.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3379,0.0,1.0,8.0,4.0,2.0,7.0,3.0,6.0,5.0,12.0,10.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3428,0.0,1.0,3.0,4.0,6.0,7.0,2.0,5.0,10.0,12.0,8.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3477,15.0,0.0,4.0,2.0,1.0,11.0,5.0,6.0,3.0,9.0,8.0,10.0,7.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,15.0,0.0,3.0,2.0,1.0,4.0,5.0,8.0,7.0,6.0,11.0,10.0,9.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,3.0,2.0,4.0,5.0,8.0,6.0,12.0,7.0,9.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,15.0,2.0,4.0,3.0,1.0,5.0,0.0,6.0,10.0,7.0,9.0,8.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3673,0.0,1.0,6.0,3.0,2.0,4.0,7.0,10.0,9.0,11.0,8.0,20.0,5.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3722,0.0,1.0,3.0,4.0,2.0,11.0,6.0,5.0,8.0,12.0,7.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,15.0,0.0,2.0,3.0,1.0,4.0,5.0,6.0,8.0,7.0,9.0,11.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,0.0,1.0,4.0,3.0,2.0,5.0,9.0,7.0,10.0,6.0,12.0,11.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,15.0,1.0,3.0,2.0,0.0,5.0,8.0,4.0,7.0,6.0,10.0,11.0,9.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,0.0,1.0,6.0,2.0,4.0,12.0,9.0,5.0,3.0,10.0,8.0,11.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,1.0,0.0,3.0,4.0,2.0,12.0,6.0,9.0,8.0,7.0,11.0,10.0,5.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,1.0,0.0,3.0,7.0,10.0,9.0,6.0,8.0,4.0,13.0,12.0,5.0,11.0,14.0,2.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,1.0,0.0,2.0,4.0,3.0,12.0,6.0,7.0,5.0,10.0,9.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,1.0,0.0,3.0,6.0,4.0,5.0,2.0,9.0,7.0,8.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,0.0,1.0,2.0,4.0,3.0,9.0,7.0,10.0,5.0,6.0,12.0,11.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,1.0,0.0,2.0,5.0,3.0,7.0,6.0,8.0,10.0,9.0,12.0,11.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,0.0,2.0,3.0,11.0,4.0,5.0,9.0,10.0,7.0,8.0,13.0,12.0,6.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,1.0,3.0,0.0,8.0,4.0,11.0,2.0,5.0,6.0,10.0,9.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,15.0,0.0,2.0,9.0,3.0,10.0,5.0,6.0,7.0,8.0,4.0,12.0,11.0,13.0,1.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,0.0,1.0,4.0,3.0,2.0,7.0,5.0,9.0,8.0,6.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,1.0,2.0,3.0,7.0,6.0,5.0,0.0,4.0,12.0,9.0,10.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,0.0,1.0,3.0,5.0,6.0,4.0,20.0,2.0,7.0,9.0,11.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4555,0.0,1.0,3.0,4.0,12.0,5.0,2.0,6.0,10.0,11.0,9.0,7.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,15.0,0.0,2.0,6.0,7.0,4.0,1.0,5.0,10.0,3.0,8.0,9.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,1.0,0.0,6.0,3.0,5.0,4.0,20.0,9.0,8.0,7.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4702,0.0,1.0,6.0,4.0,5.0,3.0,2.0,8.0,9.0,10.0,12.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,0.0,1.0,4.0,2.0,11.0,3.0,20.0,7.0,9.0,10.0,8.0,6.0,5.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4800,15.0,0.0,2.0,6.0,3.0,8.0,1.0,4.0,5.0,10.0,9.0,7.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,1.0,0.0,6.0,3.0,7.0,8.0,2.0,4.0,9.0,10.0,5.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,1.0,2.0,4.0,8.0,10.0,3.0,0.0,5.0,7.0,6.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
