,PROSTATE,OESOPHAGUS,STOMACH,LARGE_INTESTINE,HAEMATOPOIETIC,OVARY,KIDNEY,AERODIGESTIVE,URINARY,THYROID,SALIVARY,ENDOMETRIUM,PLEURA,PANCREAS,LUNG,BILIARY,LIVER,BREAST,SOFT_TISSUE,BONE,SKIN,GANGLIA,NERVOUS
827,12.0,8.0,6.0,3.0,9.0,0.0,1.0,4.0,7.0,2.0,10.0,11.0,5.0,16.0,22.0,13.0,14.0,15.0,17.0,21.0,18.0,19.0,20.0
876,0.0,8.0,9.0,1.0,10.0,6.0,4.0,2.0,7.0,3.0,13.0,12.0,11.0,14.0,5.0,15.0,17.0,18.0,19.0,16.0,21.0,20.0,22.0
925,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,16.0,7.0,14.0,15.0,20.0,18.0,19.0,17.0,22.0,21.0
974,7.0,0.0,13.0,2.0,4.0,3.0,12.0,8.0,1.0,11.0,9.0,5.0,6.0,16.0,10.0,14.0,15.0,18.0,22.0,17.0,20.0,19.0,21.0
1023,0.0,2.0,1.0,3.0,4.0,7.0,5.0,9.0,14.0,8.0,13.0,11.0,6.0,10.0,16.0,12.0,15.0,17.0,18.0,22.0,19.0,21.0,20.0
1072,0.0,7.0,1.0,3.0,8.0,12.0,9.0,4.0,2.0,11.0,13.0,5.0,6.0,19.0,15.0,10.0,14.0,18.0,16.0,22.0,17.0,20.0,21.0
1121,0.0,2.0,1.0,6.0,4.0,3.0,5.0,9.0,7.0,8.0,14.0,10.0,11.0,12.0,16.0,13.0,15.0,17.0,18.0,22.0,19.0,20.0,21.0
1170,2.0,5.0,3.0,9.0,7.0,6.0,8.0,1.0,4.0,0.0,14.0,11.0,10.0,15.0,16.0,12.0,13.0,20.0,21.0,19.0,17.0,18.0,22.0
1219,6.0,2.0,0.0,5.0,3.0,7.0,4.0,9.0,1.0,8.0,14.0,10.0,11.0,12.0,16.0,13.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
1268,0.0,1.0,13.0,3.0,5.0,4.0,6.0,8.0,2.0,7.0,12.0,9.0,10.0,15.0,11.0,14.0,21.0,18.0,17.0,16.0,19.0,20.0,22.0
1317,0.0,1.0,14.0,2.0,5.0,4.0,6.0,3.0,13.0,7.0,12.0,10.0,9.0,8.0,16.0,11.0,15.0,19.0,18.0,17.0,20.0,22.0,21.0
1366,13.0,9.0,7.0,2.0,10.0,0.0,11.0,3.0,8.0,1.0,14.0,5.0,12.0,4.0,6.0,15.0,16.0,17.0,21.0,20.0,18.0,22.0,19.0
1415,0.0,1.0,15.0,3.0,5.0,4.0,6.0,8.0,2.0,7.0,14.0,9.0,10.0,11.0,12.0,16.0,13.0,17.0,20.0,19.0,21.0,18.0,22.0
1464,0.0,1.0,14.0,3.0,5.0,4.0,6.0,8.0,2.0,7.0,13.0,9.0,10.0,11.0,21.0,12.0,15.0,16.0,17.0,20.0,18.0,19.0,22.0
1513,0.0,3.0,1.0,4.0,5.0,13.0,6.0,7.0,2.0,12.0,9.0,8.0,10.0,14.0,16.0,11.0,15.0,20.0,18.0,17.0,19.0,21.0,22.0
1562,1.0,0.0,2.0,3.0,5.0,12.0,6.0,4.0,13.0,11.0,9.0,7.0,8.0,14.0,22.0,10.0,15.0,18.0,21.0,16.0,17.0,20.0,19.0
1611,3.0,0.0,4.0,6.0,1.0,13.0,7.0,8.0,5.0,12.0,10.0,2.0,9.0,14.0,15.0,11.0,22.0,19.0,17.0,16.0,18.0,20.0,21.0
1660,0.0,1.0,8.0,2.0,6.0,12.0,7.0,3.0,9.0,13.0,10.0,4.0,11.0,15.0,5.0,14.0,17.0,18.0,16.0,22.0,20.0,21.0,19.0
1709,0.0,2.0,1.0,3.0,5.0,18.0,6.0,4.0,12.0,11.0,9.0,7.0,8.0,17.0,22.0,10.0,13.0,16.0,21.0,14.0,15.0,20.0,19.0
1758,0.0,3.0,1.0,4.0,5.0,12.0,6.0,7.0,2.0,11.0,13.0,8.0,9.0,21.0,16.0,10.0,17.0,15.0,19.0,18.0,20.0,14.0,22.0
1807,10.0,2.0,1.0,7.0,4.0,14.0,5.0,3.0,11.0,13.0,9.0,6.0,8.0,18.0,0.0,15.0,12.0,17.0,22.0,19.0,16.0,21.0,20.0
1856,0.0,7.0,13.0,2.0,9.0,8.0,3.0,4.0,1.0,12.0,6.0,10.0,5.0,15.0,18.0,11.0,17.0,14.0,20.0,19.0,21.0,22.0,16.0
1905,10.0,3.0,1.0,7.0,5.0,4.0,6.0,8.0,2.0,13.0,0.0,9.0,11.0,18.0,12.0,15.0,16.0,20.0,17.0,14.0,21.0,22.0,19.0
1954,0.0,3.0,1.0,4.0,5.0,20.0,6.0,7.0,2.0,12.0,10.0,8.0,9.0,15.0,17.0,11.0,16.0,14.0,13.0,18.0,19.0,21.0,22.0
2003,3.0,5.0,4.0,0.0,1.0,12.0,2.0,6.0,13.0,7.0,10.0,8.0,9.0,17.0,11.0,14.0,22.0,16.0,18.0,15.0,19.0,21.0,20.0
2052,0.0,1.0,11.0,2.0,9.0,13.0,8.0,3.0,10.0,12.0,6.0,4.0,5.0,15.0,7.0,14.0,18.0,20.0,17.0,19.0,16.0,22.0,21.0
2101,0.0,3.0,1.0,4.0,5.0,13.0,6.0,8.0,2.0,7.0,10.0,9.0,11.0,14.0,16.0,12.0,17.0,19.0,18.0,15.0,20.0,21.0,22.0
2150,0.0,3.0,1.0,4.0,5.0,14.0,6.0,8.0,2.0,7.0,10.0,11.0,12.0,9.0,15.0,13.0,16.0,17.0,18.0,22.0,19.0,20.0,21.0
2199,0.0,8.0,6.0,9.0,10.0,14.0,11.0,1.0,7.0,13.0,4.0,3.0,5.0,2.0,12.0,15.0,17.0,18.0,21.0,16.0,19.0,22.0,20.0
2248,11.0,0.0,14.0,2.0,3.0,13.0,4.0,6.0,1.0,7.0,5.0,9.0,10.0,8.0,12.0,15.0,16.0,17.0,18.0,22.0,19.0,21.0,20.0
2297,6.0,2.0,0.0,3.0,4.0,15.0,5.0,8.0,1.0,7.0,9.0,10.0,11.0,12.0,13.0,16.0,14.0,17.0,18.0,22.0,19.0,20.0,21.0
2346,7.0,1.0,0.0,2.0,4.0,3.0,5.0,9.0,14.0,8.0,6.0,10.0,11.0,15.0,22.0,13.0,16.0,12.0,17.0,21.0,18.0,20.0,19.0
2395,0.0,3.0,1.0,4.0,5.0,14.0,6.0,8.0,2.0,7.0,13.0,10.0,11.0,9.0,18.0,12.0,15.0,16.0,19.0,17.0,20.0,21.0,22.0
2444,0.0,1.0,10.0,2.0,9.0,16.0,8.0,3.0,13.0,11.0,6.0,4.0,5.0,12.0,7.0,14.0,18.0,19.0,17.0,15.0,21.0,20.0,22.0
2493,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,15.0,7.0,9.0,10.0,11.0,12.0,22.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,20.0
2542,0.0,1.0,7.0,2.0,4.0,3.0,8.0,9.0,17.0,5.0,11.0,12.0,6.0,10.0,13.0,15.0,16.0,18.0,19.0,14.0,20.0,22.0,21.0
2591,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,15.0,7.0,10.0,9.0,11.0,14.0,22.0,12.0,13.0,17.0,16.0,21.0,18.0,20.0,19.0
2640,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,15.0,7.0,10.0,9.0,11.0,14.0,22.0,12.0,13.0,18.0,17.0,16.0,19.0,21.0,20.0
2689,0.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,2.0,7.0,10.0,11.0,12.0,13.0,22.0,14.0,15.0,16.0,17.0,21.0,18.0,19.0,20.0
2738,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,15.0,7.0,10.0,9.0,11.0,19.0,12.0,13.0,14.0,17.0,16.0,18.0,20.0,22.0,21.0
2787,0.0,1.0,12.0,2.0,5.0,4.0,11.0,3.0,16.0,10.0,8.0,6.0,7.0,13.0,9.0,14.0,15.0,21.0,19.0,17.0,20.0,18.0,22.0
2836,0.0,2.0,1.0,3.0,5.0,4.0,6.0,8.0,22.0,7.0,14.0,10.0,11.0,9.0,18.0,12.0,13.0,15.0,16.0,17.0,19.0,21.0,20.0
2885,0.0,2.0,1.0,3.0,5.0,4.0,6.0,8.0,15.0,7.0,10.0,11.0,12.0,9.0,19.0,13.0,14.0,16.0,20.0,18.0,21.0,17.0,22.0
2934,10.0,1.0,0.0,2.0,4.0,3.0,5.0,6.0,16.0,13.0,8.0,7.0,9.0,11.0,12.0,14.0,15.0,18.0,17.0,22.0,19.0,21.0,20.0
2983,10.0,1.0,0.0,2.0,4.0,3.0,5.0,7.0,13.0,6.0,12.0,8.0,9.0,14.0,22.0,11.0,16.0,15.0,18.0,17.0,19.0,21.0,20.0
3032,11.0,2.0,0.0,7.0,4.0,3.0,5.0,8.0,1.0,6.0,9.0,10.0,12.0,15.0,13.0,14.0,16.0,17.0,18.0,21.0,19.0,20.0,22.0
3081,10.0,1.0,0.0,2.0,4.0,3.0,5.0,6.0,13.0,12.0,9.0,7.0,8.0,20.0,16.0,11.0,14.0,15.0,18.0,17.0,19.0,22.0,21.0
3130,11.0,1.0,0.0,2.0,4.0,3.0,5.0,7.0,14.0,6.0,8.0,9.0,10.0,12.0,21.0,13.0,15.0,16.0,17.0,20.0,18.0,19.0,22.0
3179,11.0,4.0,0.0,5.0,7.0,6.0,8.0,9.0,13.0,1.0,2.0,10.0,3.0,14.0,16.0,12.0,17.0,19.0,18.0,15.0,20.0,22.0,21.0
3228,11.0,0.0,6.0,1.0,3.0,2.0,4.0,8.0,14.0,7.0,9.0,5.0,10.0,12.0,13.0,15.0,16.0,17.0,18.0,22.0,19.0,21.0,20.0
3277,11.0,4.0,13.0,5.0,7.0,6.0,8.0,0.0,12.0,1.0,2.0,9.0,10.0,15.0,3.0,14.0,21.0,19.0,17.0,16.0,18.0,22.0,20.0
3326,12.0,2.0,0.0,8.0,7.0,6.0,3.0,5.0,1.0,4.0,9.0,10.0,11.0,16.0,22.0,13.0,14.0,15.0,17.0,21.0,18.0,19.0,20.0
3375,11.0,1.0,0.0,2.0,4.0,3.0,5.0,7.0,14.0,6.0,8.0,9.0,10.0,12.0,15.0,13.0,16.0,17.0,18.0,21.0,19.0,20.0,22.0
3424,10.0,1.0,0.0,2.0,4.0,3.0,5.0,7.0,16.0,6.0,8.0,12.0,9.0,11.0,22.0,13.0,14.0,15.0,17.0,21.0,18.0,20.0,19.0
3473,7.0,2.0,0.0,8.0,4.0,3.0,13.0,9.0,1.0,5.0,12.0,10.0,6.0,14.0,11.0,15.0,22.0,18.0,17.0,16.0,19.0,20.0,21.0
3522,13.0,5.0,0.0,1.0,7.0,6.0,8.0,10.0,4.0,9.0,11.0,12.0,2.0,15.0,3.0,14.0,16.0,17.0,18.0,22.0,19.0,20.0,21.0
3571,7.0,9.0,0.0,4.0,2.0,1.0,10.0,11.0,8.0,3.0,14.0,5.0,6.0,12.0,13.0,15.0,16.0,19.0,20.0,18.0,21.0,17.0,22.0
3620,0.0,1.0,13.0,8.0,12.0,3.0,11.0,4.0,2.0,6.0,7.0,5.0,9.0,16.0,10.0,15.0,14.0,19.0,22.0,17.0,18.0,20.0,21.0
3669,0.0,1.0,9.0,15.0,10.0,7.0,5.0,2.0,8.0,11.0,4.0,12.0,3.0,14.0,6.0,16.0,18.0,19.0,20.0,13.0,17.0,22.0,21.0
3718,9.0,2.0,1.0,14.0,4.0,12.0,5.0,3.0,11.0,10.0,8.0,7.0,6.0,13.0,0.0,15.0,16.0,17.0,22.0,20.0,19.0,18.0,21.0
3767,7.0,1.0,0.0,2.0,4.0,3.0,11.0,8.0,13.0,12.0,9.0,5.0,6.0,15.0,10.0,14.0,17.0,16.0,22.0,18.0,19.0,21.0,20.0
3816,3.0,4.0,0.0,1.0,11.0,15.0,10.0,5.0,12.0,9.0,7.0,6.0,2.0,14.0,8.0,13.0,16.0,17.0,19.0,20.0,22.0,18.0,21.0
3865,3.0,4.0,0.0,1.0,11.0,12.0,10.0,5.0,13.0,9.0,7.0,6.0,2.0,15.0,8.0,14.0,17.0,19.0,16.0,18.0,22.0,21.0,20.0
3914,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,16.0,7.0,14.0,19.0,15.0,18.0,20.0,17.0,22.0,21.0
3963,0.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,2.0,7.0,10.0,12.0,13.0,11.0,16.0,14.0,17.0,15.0,18.0,22.0,19.0,20.0,21.0
4012,0.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,2.0,7.0,10.0,12.0,13.0,11.0,16.0,14.0,17.0,15.0,18.0,22.0,19.0,20.0,21.0
4061,12.0,2.0,0.0,6.0,4.0,3.0,5.0,7.0,1.0,14.0,9.0,10.0,11.0,8.0,18.0,13.0,15.0,16.0,19.0,22.0,17.0,20.0,21.0
4110,3.0,5.0,4.0,8.0,2.0,1.0,6.0,9.0,0.0,7.0,14.0,11.0,12.0,10.0,15.0,13.0,16.0,17.0,18.0,22.0,19.0,20.0,21.0
4159,3.0,0.0,4.0,5.0,2.0,1.0,6.0,8.0,14.0,7.0,10.0,11.0,12.0,9.0,15.0,13.0,16.0,17.0,18.0,22.0,19.0,21.0,20.0
4208,0.0,2.0,1.0,3.0,5.0,12.0,6.0,4.0,13.0,7.0,10.0,8.0,9.0,16.0,11.0,14.0,17.0,20.0,18.0,15.0,19.0,22.0,21.0
4257,7.0,0.0,13.0,2.0,4.0,12.0,11.0,3.0,1.0,10.0,8.0,5.0,6.0,14.0,9.0,15.0,17.0,19.0,22.0,18.0,16.0,21.0,20.0
4306,2.0,5.0,3.0,9.0,7.0,6.0,8.0,10.0,4.0,0.0,1.0,12.0,13.0,11.0,22.0,14.0,17.0,16.0,18.0,15.0,19.0,20.0,21.0
4355,7.0,1.0,0.0,8.0,3.0,2.0,4.0,5.0,14.0,9.0,10.0,6.0,11.0,12.0,16.0,13.0,15.0,17.0,18.0,22.0,19.0,21.0,20.0
4404,0.0,13.0,12.0,1.0,9.0,10.0,8.0,2.0,14.0,11.0,6.0,4.0,5.0,3.0,7.0,15.0,16.0,19.0,18.0,17.0,20.0,22.0,21.0
4453,3.0,0.0,4.0,8.0,1.0,6.0,7.0,9.0,5.0,2.0,10.0,11.0,12.0,15.0,13.0,14.0,16.0,17.0,18.0,22.0,19.0,20.0,21.0
4502,0.0,3.0,1.0,8.0,5.0,4.0,6.0,9.0,2.0,7.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0,18.0,22.0,19.0,20.0,21.0
4551,13.0,0.0,4.0,8.0,1.0,6.0,7.0,9.0,5.0,2.0,10.0,11.0,12.0,17.0,3.0,14.0,16.0,15.0,18.0,22.0,19.0,20.0,21.0
4600,0.0,1.0,15.0,11.0,4.0,3.0,5.0,7.0,2.0,6.0,9.0,8.0,10.0,18.0,12.0,14.0,13.0,17.0,16.0,21.0,22.0,20.0,19.0
4649,3.0,0.0,4.0,8.0,1.0,6.0,7.0,9.0,5.0,2.0,10.0,11.0,12.0,17.0,13.0,14.0,16.0,15.0,18.0,22.0,19.0,20.0,21.0
4698,6.0,8.0,7.0,12.0,10.0,9.0,1.0,2.0,0.0,11.0,3.0,4.0,5.0,16.0,22.0,13.0,14.0,15.0,17.0,21.0,18.0,19.0,20.0
4747,0.0,2.0,12.0,3.0,9.0,10.0,8.0,4.0,11.0,13.0,6.0,5.0,1.0,20.0,7.0,14.0,15.0,19.0,17.0,18.0,16.0,22.0,21.0
4796,0.0,1.0,12.0,2.0,9.0,10.0,8.0,3.0,11.0,13.0,6.0,4.0,5.0,16.0,7.0,14.0,19.0,15.0,18.0,20.0,17.0,22.0,21.0
4845,7.0,0.0,13.0,8.0,3.0,2.0,4.0,9.0,1.0,5.0,12.0,6.0,10.0,18.0,11.0,14.0,22.0,16.0,17.0,15.0,19.0,21.0,20.0
4894,0.0,1.0,11.0,2.0,9.0,12.0,8.0,3.0,10.0,14.0,6.0,4.0,5.0,13.0,7.0,15.0,17.0,18.0,16.0,21.0,20.0,19.0,22.0
