,CES1P1_DEL,LCE3C_DEL,TP53_MUT,LCE3B_DEL,HLA-H_DEL,UGT2B17_DEL,FHIT_DEL,SORD_AMP,ZBTB20_AMP,SIRPB1_AMP,GSTTP2_DEL,FFAR3_DEL,GOLPH3_AMP,GSTT1_DEL,LOC391322_DEL,PCCB_DEL,LOC284260_DEL,AMY2A_AMP,RBFOX1_DEL,CADM2_DEL,SFMBT1_AMP,CDH13_DEL,ARSB_DEL,NRXN3_DEL,ME3_DEL,LPA_AMP,GSTTP1_AMP,NRAS_MUT,TTN_MUT,EFHA2_DEL
1844,2.0,0.0,64.0,1.0,6.0,7.0,23.0,4.0,15.0,12.0,51.0,11.0,19.0,50.0,49.0,40.0,10.0,17.0,150.0,67.0,13.0,56.0,42.0,8.0,79.0,38.0,44.0,43.0,3.0,41.0
1893,0.0,1.0,26.0,2.0,3.0,56.0,52.0,4.0,8.0,5.0,12.0,7.0,14.0,60.0,59.0,30.0,24.0,13.0,126.0,16.0,6.0,76.0,21.0,10.0,31.0,9.0,15.0,37.0,23.0,29.0
1942,1.0,0.0,11.0,2.0,30.0,39.0,188.0,7.0,22.0,4.0,9.0,5.0,12.0,13.0,14.0,16.0,8.0,52.0,102.0,10.0,15.0,29.0,27.0,24.0,62.0,6.0,19.0,137.0,3.0,31.0
1991,1.0,2.0,0.0,3.0,13.0,6.0,8.0,309.0,7.0,27.0,23.0,26.0,28.0,4.0,5.0,22.0,16.0,41.0,17.0,30.0,36.0,9.0,115.0,44.0,33.0,678.0,21.0,10.0,11.0,48.0
2040,3.0,1.0,2.0,0.0,35.0,6.0,19.0,31.0,4.0,26.0,49.0,7.0,39.0,94.0,93.0,12.0,5.0,16.0,14.0,59.0,30.0,10.0,13.0,37.0,9.0,28.0,20.0,22.0,15.0,60.0
2089,3.0,2.0,0.0,1.0,4.0,10.0,14.0,11.0,20.0,34.0,13.0,22.0,23.0,16.0,15.0,21.0,18.0,19.0,184.0,33.0,92.0,12.0,36.0,47.0,39.0,49.0,164.0,9.0,32.0,110.0
2138,1.0,4.0,0.0,3.0,2.0,10.0,8.0,36.0,5.0,16.0,28.0,15.0,23.0,58.0,59.0,7.0,12.0,14.0,22.0,67.0,30.0,11.0,29.0,20.0,9.0,51.0,24.0,6.0,39.0,61.0
2187,2.0,0.0,3.0,1.0,10.0,9.0,7.0,49.0,5.0,25.0,23.0,6.0,19.0,55.0,56.0,4.0,15.0,24.0,16.0,12.0,46.0,43.0,168.0,21.0,78.0,219.0,20.0,14.0,30.0,65.0
2236,0.0,4.0,1.0,5.0,6.0,2.0,3.0,67.0,8.0,32.0,12.0,11.0,9.0,25.0,26.0,30.0,7.0,16.0,74.0,18.0,35.0,13.0,10.0,56.0,27.0,167.0,31.0,14.0,17.0,54.0
2285,0.0,3.0,2.0,4.0,1.0,13.0,11.0,68.0,14.0,7.0,8.0,27.0,12.0,10.0,9.0,6.0,23.0,16.0,28.0,30.0,40.0,5.0,21.0,56.0,25.0,156.0,20.0,31.0,22.0,70.0
2334,3.0,0.0,2.0,1.0,8.0,16.0,4.0,79.0,18.0,86.0,90.0,12.0,32.0,215.0,214.0,6.0,13.0,26.0,9.0,56.0,7.0,30.0,14.0,68.0,17.0,157.0,81.0,5.0,46.0,25.0
2383,1.0,2.0,0.0,3.0,5.0,4.0,11.0,226.0,13.0,6.0,25.0,60.0,28.0,42.0,43.0,8.0,10.0,41.0,39.0,64.0,22.0,26.0,16.0,15.0,99.0,73.0,30.0,7.0,40.0,92.0
2432,1.0,3.0,0.0,2.0,24.0,4.0,43.0,127.0,6.0,79.0,28.0,13.0,14.0,37.0,36.0,8.0,16.0,9.0,25.0,229.0,41.0,10.0,7.0,11.0,57.0,90.0,54.0,22.0,15.0,69.0
2481,0.0,4.0,10.0,12.0,137.0,2.0,22.0,1.0,5.0,14.0,55.0,39.0,40.0,77.0,78.0,28.0,23.0,43.0,6.0,1221.0,116.0,7.0,8.0,33.0,85.0,9.0,15.0,38.0,158.0,35.0
2530,0.0,3.0,7.0,13.0,39.0,27.0,87.0,2.0,5.0,1.0,44.0,49.0,16.0,79.0,78.0,25.0,48.0,60.0,9.0,22.0,28.0,4.0,11.0,30.0,232.0,322.0,19.0,23.0,32.0,61.0
2579,0.0,1.0,3.0,8.0,193.0,11.0,23.0,6.0,4.0,33.0,30.0,20.0,13.0,14.0,15.0,38.0,164.0,64.0,9.0,32.0,93.0,2.0,146.0,77.0,1845.0,21.0,10.0,12.0,5.0,22.0
2628,1.0,0.0,4.0,2.0,199.0,6.0,71.0,5.0,3.0,80.0,19.0,22.0,67.0,63.0,64.0,25.0,51.0,94.0,15.0,250.0,23.0,28.0,14.0,12.0,33.0,7.0,9.0,37.0,17.0,20.0
2677,0.0,16.0,9.0,39.0,53.0,4.0,84.0,3.0,13.0,2.0,15.0,34.0,18.0,20.0,21.0,11.0,47.0,67.0,52.0,237.0,24.0,1.0,62.0,31.0,238.0,5.0,12.0,135.0,22.0,23.0
2726,0.0,10.0,2.0,34.0,48.0,29.0,66.0,40.0,4.0,3.0,114.0,333.0,32.0,69.0,68.0,25.0,18.0,126.0,12.0,89.0,44.0,20.0,24.0,26.0,291.0,129.0,13.0,19.0,15.0,33.0
2775,0.0,2.0,7.0,4.0,38.0,6.0,10.0,3.0,9.0,1.0,26.0,18.0,17.0,22.0,23.0,35.0,171.0,47.0,15.0,29.0,27.0,12.0,14.0,16.0,95.0,19.0,13.0,52.0,99.0,65.0
2824,0.0,2.0,12.0,5.0,32.0,3.0,35.0,1.0,37.0,17.0,10.0,36.0,14.0,9.0,8.0,21.0,33.0,20.0,23.0,76.0,18.0,7.0,13.0,16.0,100.0,31.0,15.0,19.0,38.0,34.0
2873,0.0,4.0,5.0,7.0,39.0,10.0,29.0,8.0,1.0,2.0,9.0,6.0,43.0,25.0,24.0,34.0,40.0,130.0,23.0,45.0,47.0,11.0,14.0,28.0,4993.0,19.0,17.0,30.0,3.0,152.0
2922,0.0,2.0,1.0,3.0,1423.0,17.0,27.0,4.0,40.0,10.0,18.0,7.0,26.0,13.0,12.0,16.0,39.0,38.0,6.0,31.0,35.0,11.0,60.0,28.0,2487.0,47.0,36.0,46.0,124.0,51.0
2971,0.0,12.0,13.0,21.0,16.0,4.0,70.0,31.0,10.0,45.0,9.0,6.0,60.0,1.0,2.0,27.0,8.0,40.0,5.0,234.0,65.0,15.0,97.0,25.0,14.0,270.0,69.0,77.0,325.0,28.0
3020,0.0,11.0,14.0,24.0,3.0,2.0,1.0,5.0,4.0,32.0,7.0,23.0,17.0,10.0,9.0,19.0,33.0,39.0,36.0,55.0,54.0,99.0,28.0,6.0,34.0,42.0,56.0,12.0,213.0,37.0
3069,0.0,5.0,15.0,14.0,3.0,2.0,6.0,53.0,4.0,89.0,69.0,45.0,16.0,115.0,114.0,12.0,25.0,31.0,9.0,133.0,50.0,38.0,11.0,20.0,64.0,10.0,44.0,17.0,43.0,51.0
3118,0.0,2.0,1.0,6.0,73.0,3.0,44.0,7.0,21.0,4.0,13.0,89.0,63.0,30.0,29.0,20.0,31.0,53.0,12.0,67.0,5.0,140.0,10.0,16.0,18.0,19.0,37.0,23.0,16630.0,57.0
3167,0.0,7.0,1.0,14.0,65.0,6.0,10.0,15.0,4.0,5.0,17.0,53.0,16.0,25.0,26.0,20.0,51.0,8.0,23.0,52.0,13.0,109.0,19.0,44.0,30.0,55.0,213.0,11.0,184.0,22.0
3216,0.0,23.0,3.0,18.0,7.0,5.0,1.0,81.0,2.0,6.0,19.0,27.0,15.0,39.0,40.0,14.0,13.0,9.0,4.0,177.0,16.0,26.0,11.0,22.0,24.0,79.0,626.0,8.0,64.0,49.0
3265,0.0,3.0,2.0,7.0,9.0,1.0,17.0,4.0,10.0,6.0,18.0,28.0,19.0,24.0,25.0,8.0,35.0,14.0,11.0,144.0,21.0,47.0,27.0,23.0,13.0,31.0,62.0,29.0,84.0,20.0
3314,0.0,19.0,1.0,57.0,3.0,9.0,8.0,16.0,5.0,22.0,43.0,150.0,27.0,24.0,23.0,2.0,38.0,10.0,89.0,83.0,49.0,58.0,299.0,12.0,14.0,6.0,36.0,13.0,17.0,18.0
3363,0.0,1.0,5.0,2.0,10.0,3.0,18.0,43.0,4.0,6.0,37.0,45.0,11.0,67.0,68.0,7.0,46.0,23.0,17.0,100.0,31.0,164.0,8.0,19.0,24.0,135.0,42.0,36.0,65.0,25.0
3412,0.0,58.0,3.0,59.0,19.0,1.0,29.0,11.0,41.0,7.0,28.0,86.0,90.0,5.0,6.0,4.0,24.0,10.0,17.0,603.0,94.0,36.0,9.0,27.0,42.0,2.0,33.0,18.0,25.0,52.0
3461,0.0,1.0,7.0,2.0,3.0,24.0,11.0,4.0,17.0,8.0,9.0,22.0,40.0,16.0,15.0,6.0,5.0,58.0,31.0,23.0,10.0,35.0,25.0,32.0,21.0,99.0,33.0,42.0,77.0,36.0
3510,0.0,2.0,24.0,8.0,4.0,12.0,3.0,1.0,10.0,150.0,9.0,126.0,19.0,6.0,7.0,14.0,51.0,173.0,13.0,33.0,11.0,15.0,31.0,38.0,25.0,35.0,36.0,85.0,5.0,20.0
3559,1.0,12.0,20.0,27.0,0.0,10.0,42.0,2.0,6.0,13.0,15.0,110.0,16.0,30.0,29.0,9.0,3.0,46.0,5.0,179.0,14.0,4.0,37.0,50.0,45.0,58.0,56.0,18.0,33.0,19.0
3608,0.0,5.0,18.0,15.0,1.0,6.0,12.0,11.0,33.0,19.0,4.0,47.0,20.0,7.0,8.0,62.0,9.0,57.0,2.0,45.0,14.0,3.0,21.0,86.0,10.0,50.0,13.0,31.0,52.0,38.0
3657,0.0,65.0,61.0,116.0,1.0,23.0,543.0,9.0,3.0,47.0,2.0,24.0,12.0,5.0,4.0,7.0,6.0,34.0,19.0,79.0,10.0,11.0,20.0,35.0,8.0,57.0,22.0,142.0,21.0,39.0
3706,0.0,2.0,36.0,3.0,1.0,9.0,68.0,5.0,95.0,22.0,12.0,56.0,8.0,11.0,10.0,35.0,4.0,26.0,6.0,23.0,13.0,16.0,34.0,38.0,7.0,87.0,70.0,48.0,21.0,20.0
3755,0.0,2.0,21.0,3.0,1.0,8.0,11.0,10.0,5.0,13.0,9.0,17.0,15.0,7.0,6.0,14.0,4.0,32.0,20.0,23.0,12.0,22.0,25.0,56.0,41.0,403.0,29.0,50.0,27.0,19.0
3804,1.0,5.0,158.0,6.0,0.0,65.0,39.0,8.0,42.0,10.0,2.0,43.0,19.0,3.0,4.0,15.0,7.0,116.0,46.0,47.0,9.0,16.0,20.0,35.0,38.0,215.0,24.0,60.0,51.0,12.0
3853,0.0,9.0,16.0,8.0,1.0,17.0,50.0,19.0,100.0,18.0,6.0,29.0,35.0,4.0,3.0,20.0,7.0,68.0,24.0,49.0,10.0,25.0,33.0,164.0,5.0,39.0,118.0,32.0,2.0,34.0
3902,0.0,16.0,275.0,17.0,21.0,29.0,12.0,79.0,547.0,34.0,8.0,14.0,23.0,18.0,19.0,4.0,3.0,32.0,10.0,35.0,1.0,20.0,37.0,95.0,15.0,22.0,36.0,43.0,9.0,38.0
3951,4.0,3.0,0.0,2.0,9.0,37.0,7.0,11.0,13.0,30.0,6.0,19.0,14.0,16.0,15.0,22.0,33.0,5.0,95.0,8.0,23.0,26.0,82.0,10.0,12.0,1.0,42.0,60.0,27.0,20.0
4000,1.0,5.0,0.0,6.0,2.0,27.0,20.0,3.0,48.0,15.0,4.0,65.0,22.0,16.0,17.0,10.0,145.0,19.0,24.0,7.0,18.0,28.0,51.0,11.0,9.0,8.0,146.0,25.0,77.0,21.0
4049,0.0,2.0,3.0,1.0,4.0,15.0,12.0,10.0,86.0,18.0,5.0,35.0,9.0,7.0,6.0,24.0,40.0,8.0,30.0,19.0,21.0,23.0,22.0,55.0,17.0,66.0,54.0,76.0,15653.0,29.0
4098,6.0,0.0,2.0,1.0,5.0,4.0,65.0,12.0,1419.0,162.0,17.0,74.0,13.0,10.0,9.0,21.0,47.0,14.0,32.0,11.0,103.0,53.0,56.0,23.0,3.0,8.0,16.0,20.0,661.0,18.0
4147,1.0,15.0,0.0,17.0,2.0,37.0,4.0,5.0,46.0,6.0,10.0,27.0,12.0,14.0,13.0,20.0,61.0,26.0,18.0,3.0,30.0,53.0,25.0,38.0,7.0,11.0,9.0,19.0,88.0,87.0
4196,1.0,4.0,0.0,3.0,2.0,24.0,263.0,7.0,28.0,11.0,12.0,25.0,9.0,32.0,31.0,17.0,77.0,10.0,123.0,5.0,30.0,13.0,143.0,16.0,6.0,21.0,39.0,36.0,41.0,37.0
4245,1.0,4.0,0.0,3.0,5.0,13.0,17.0,2.0,58.0,12.0,9.0,49.0,22.0,23.0,24.0,14.0,75.0,7.0,173.0,20.0,34.0,911.0,8.0,16.0,6.0,19.0,33.0,32.0,204.0,42.0
4294,3.0,11.0,2.0,13.0,1.0,5.0,25.0,0.0,4.0,32.0,8.0,45.0,30.0,18.0,19.0,10.0,15.0,17.0,31.0,6.0,12.0,14.0,80.0,23.0,39.0,7.0,29.0,27.0,50.0,33.0
4343,4.0,3.0,1.0,6.0,11.0,22.0,9.0,0.0,23.0,41.0,18.0,8.0,12.0,35.0,34.0,16.0,1079.0,5.0,33.0,7.0,38.0,46.0,24.0,39.0,13.0,2.0,446.0,93.0,26.0,14.0
4392,0.0,8.0,2.0,7.0,11.0,99.0,109.0,1.0,51.0,3.0,5.0,14.0,27.0,10.0,9.0,38.0,108.0,32.0,210.0,4.0,36.0,65.0,29.0,16.0,12.0,6.0,15.0,61.0,84.0,49.0
4441,0.0,2.0,1.0,5.0,3.0,8.0,4.0,48.0,15.0,25.0,61.0,24.0,78.0,36.0,35.0,18.0,9.0,33.0,16.0,6.0,30.0,214.0,7.0,96.0,11.0,12364.0,27.0,13.0,37.0,10.0
4490,1.0,28.0,3.0,29.0,7.0,21.0,0.0,197.0,2.0,31.0,14.0,15.0,42.0,5.0,6.0,49.0,40.0,11.0,17.0,9.0,34.0,148.0,24.0,189.0,38.0,201.0,13.0,26.0,8.0,52.0
4539,2.0,1.0,0.0,3.0,4.0,11.0,5.0,8.0,16.0,100.0,35.0,10.0,29.0,24.0,25.0,155.0,50.0,14.0,76.0,22.0,51.0,40.0,91.0,34.0,12.0,960.0,43.0,17.0,9.0,37.0
4588,2.0,1.0,0.0,3.0,4.0,88.0,6.0,201.0,16.0,5.0,24.0,7.0,26.0,18.0,17.0,10.0,32.0,19.0,219.0,11.0,95.0,82.0,20.0,210.0,38.0,145.0,27.0,37.0,8.0,21.0
4637,0.0,1.0,2.0,3.0,4.0,55.0,18.0,69.0,16.0,1123.0,13.0,6.0,73.0,9.0,8.0,33.0,27.0,47.0,15.0,7.0,56.0,130.0,23.0,22.0,66.0,63.0,10.0,25.0,5.0,12.0
4686,0.0,4.0,1.0,6.0,5.0,21.0,26.0,123.0,198.0,42.0,7.0,9.0,27.0,10.0,11.0,50.0,71.0,13.0,15.0,8.0,24.0,37.0,175.0,18.0,23.0,1864.0,3.0,244.0,117.0,17.0
4735,1.0,9.0,0.0,19.0,23.0,11.0,4.0,12.0,71.0,128.0,8.0,20.0,30.0,3.0,2.0,41.0,37.0,24.0,28.0,5.0,38.0,70.0,26.0,43.0,27.0,60.0,22.0,52.0,32.0,34.0
4784,1.0,6.0,0.0,7.0,9.0,24.0,3.0,44.0,39.0,45.0,79.0,5.0,15.0,48.0,49.0,13.0,23.0,11.0,28.0,4.0,22.0,71.0,12.0,18.0,37.0,457.0,29.0,19.0,10.0,32.0
4833,3.0,0.0,1.0,2.0,22.0,18.0,6.0,5.0,4.0,24.0,65.0,11.0,41.0,45.0,46.0,38.0,43.0,10.0,58.0,13.0,37.0,209.0,8.0,20.0,36.0,539.0,14.0,63.0,7.0,33.0
4882,0.0,2.0,1.0,5.0,4.0,7.0,10.0,3.0,6.0,21.0,12.0,25.0,68.0,15.0,14.0,8.0,20.0,16.0,48.0,18.0,41.0,84.0,11.0,30.0,13.0,205.0,37.0,17.0,44.0,22.0
