,OR51A2_DEL,NAALADL2_DEL,FLNA_MUT,LARGE_DEL,SIGLEC14_DEL,KRT16P2_AMP,DPP6_DEL,HLA-DRB6_AMP,HLA-DRB1_AMP,SIRPB1_AMP,KIAA0125_AMP,MECOM_AMP,SNTG1_DEL,NRXN1_DEL,GSTTP2_AMP,TTTY22_DEL,DEFA3_AMP,UPK3B_AMP,HERC2P2_AMP,AMY2A_DEL,FAM66A_DEL,ADAM6_AMP,TNRC6B_MUT,PAX5_DEL,ARHGEF5_AMP,GSTTP2_DEL,MYEOV_AMP,RNF103-CHMP3_DEL,RMND5A_DEL,TRIM64B_DEL
3557,2.0,8.0,12.0,1.0,3.0,207.0,29.0,10.0,46.0,5.0,14.0,6.0,67.0,84.0,66.0,16.0,31.0,11.0,60.0,30.0,343.0,19.0,51.0,17.0,150.0,162.0,173.0,49.0,48.0,40.0
3606,10.0,1.0,15.0,20.0,2.0,34.0,19.0,0.0,5.0,16.0,4.0,26.0,13.0,40.0,9.0,30.0,8.0,7.0,111.0,73.0,45.0,6.0,53.0,29.0,97.0,14.0,74.0,56.0,55.0,52.0
3655,5.0,1.0,10.0,8.0,0.0,26.0,4.0,7.0,39.0,3.0,2.0,19.0,17.0,24.0,23.0,28.0,11.0,12.0,15.0,69.0,59.0,6.0,35.0,20.0,374.0,22.0,53.0,13.0,14.0,29.0
3704,28.0,0.0,21.0,99.0,1.0,13.0,32.0,7.0,4.0,3.0,18.0,170.0,2.0,26.0,17.0,25.0,176.0,63.0,458.0,49.0,8.0,29.0,37.0,10.0,536.0,11.0,45.0,5.0,6.0,208.0
3753,5.0,0.0,7.0,47.0,1.0,13.0,12.0,2.0,25.0,42.0,10.0,8.0,11.0,31.0,3.0,105.0,28.0,9.0,6.0,32.0,34.0,20.0,26.0,30.0,43.0,64.0,83.0,17.0,16.0,57.0
3802,8.0,0.0,7.0,10.0,3.0,47.0,2.0,9.0,66.0,16.0,112.0,29.0,4.0,20.0,87.0,28.0,22.0,6.0,277.0,294.0,113.0,172.0,26.0,797.0,58.0,11.0,59.0,34.0,35.0,126.0
3851,0.0,6.0,36.0,8.0,46.0,16.0,69.0,24.0,165.0,58.0,4.0,10.0,7.0,15.0,3.0,35.0,38.0,22.0,2.0,39.0,67.0,5.0,95.0,18.0,151.0,61.0,527.0,19.0,20.0,92.0
3900,8.0,4.0,6.0,234.0,16.0,206.0,193.0,28.0,398.0,3.0,19.0,14.0,13.0,119.0,10.0,116.0,17.0,7.0,317.0,288.0,11.0,26.0,18.0,9.0,24.0,20.0,43.0,0.0,1.0,213.0
3949,3.0,2.0,5.0,4614.0,0.0,12.0,25.0,6.0,1.0,4.0,57.0,70.0,28.0,8.0,397.0,20.0,151.0,13.0,16348.0,9.0,55.0,42.0,19.0,10.0,438.0,11.0,33.0,16.0,15.0,29.0
3998,14.0,3.0,30.0,705.0,0.0,10.0,12.0,19.0,16.0,1.0,8.0,358.0,9.0,32.0,1550.0,31.0,342.0,28.0,5562.0,20.0,44.0,5.0,52.0,235.0,1290.0,4.0,23.0,455.0,454.0,532.0
4047,21.0,14.0,7.0,783.0,11.0,18.0,6.0,22.0,2.0,37.0,30.0,209.0,10.0,24.0,43.0,36.0,419.0,40.0,9373.0,23.0,56.0,27.0,50.0,31.0,1780.0,4.0,44.0,34.0,33.0,95.0
4096,71.0,3.0,9.0,21228.0,16.0,17.0,29.0,672.0,50.0,1699.0,41.0,34.0,5.0,27.0,39.0,26.0,43.0,23.0,13489.0,45.0,2.0,37.0,55.0,1.0,639.0,4.0,70.0,78.0,77.0,8.0
4145,14.0,9.0,3.0,361.0,0.0,972.0,1.0,593.0,83.0,2.0,11.0,44.0,119.0,42.0,23.0,17.0,233.0,20.0,116.0,53.0,238.0,12.0,28.0,30.0,251.0,54.0,36.0,51.0,52.0,7.0
4194,7.0,3.0,4.0,287.0,0.0,9.0,40.0,22.0,2.0,31.0,12.0,32.0,30.0,15.0,16.0,21.0,100.0,25.0,579.0,14.0,19.0,10.0,36.0,11.0,527.0,1.0,29.0,242.0,241.0,70.0
4243,30.0,3.0,19.0,467.0,0.0,11.0,40.0,4.0,1.0,46.0,8.0,36.0,2.0,12.0,13.0,14.0,56.0,53.0,10360.0,31.0,17.0,5.0,29.0,10.0,513.0,20.0,35.0,51.0,50.0,33.0
4292,46.0,0.0,6.0,761.0,1.0,42.0,34.0,44.0,3.0,31.0,5.0,61.0,19.0,36.0,7.0,59.0,127.0,10.0,406.0,27.0,53.0,4.0,17.0,2.0,493.0,52.0,47.0,13.0,14.0,24.0
4341,5.0,8.0,2.0,275.0,0.0,15.0,18.0,16.0,1.0,50.0,30.0,78.0,3.0,7.0,20.0,4.0,60.0,6.0,168.0,12.0,213.0,26.0,38.0,10.0,358.0,11.0,87.0,32.0,31.0,13.0
4390,0.0,57.0,12.0,674.0,4.0,5.0,38.0,18.0,2.0,133.0,3.0,25.0,14.0,31.0,34.0,1595.0,150.0,27.0,10646.0,13.0,50.0,1.0,30.0,6.0,1029.0,36.0,147.0,10.0,11.0,59.0
4439,9.0,1.0,3.0,75.0,401.0,19.0,36.0,27.0,86.0,17.0,10.0,2.0,4.0,108.0,12.0,28.0,5.0,8.0,48.0,675.0,999.0,18.0,11.0,38.0,16.0,88.0,291.0,61.0,60.0,33.0
4488,5.0,15.0,7.0,2.0,97.0,14.0,1082.0,0.0,3.0,175.0,33.0,26.0,24.0,10.0,6.0,13.0,9.0,29.0,18.0,23.0,716.0,50.0,108.0,19.0,47.0,93.0,1264.0,110.0,109.0,56.0
4537,23.0,4.0,1.0,15.0,476.0,0.0,107.0,69.0,14.0,175.0,35.0,526.0,10.0,3.0,29.0,2.0,1298.0,44.0,30.0,65.0,263.0,58.0,47.0,90.0,598.0,21.0,130.0,19.0,18.0,193.0
4586,15.0,0.0,4.0,1.0,203.0,2.0,37.0,59.0,110.0,46.0,18.0,24.0,5.0,23.0,6.0,10.0,7.0,3.0,495.0,32.0,392.0,28.0,33.0,90.0,168.0,19.0,241.0,266.0,265.0,20.0
4635,0.0,13.0,8.0,7.0,373.0,3.0,451.0,25.0,69.0,1.0,12.0,5.0,21.0,4.0,9.0,47.0,15.0,6.0,2.0,124.0,1639.0,27.0,26.0,72.0,40.0,30.0,86.0,235.0,234.0,39.0
4684,0.0,19.0,3.0,1.0,110.0,39.0,38.0,123.0,508.0,32.0,20.0,31.0,99.0,13.0,72.0,63.0,4.0,27.0,9.0,43.0,142.0,40.0,51.0,98.0,44.0,126.0,171.0,799.0,798.0,10.0
4733,1.0,20.0,2.0,4.0,196.0,3.0,24.0,0.0,16.0,160.0,19.0,18.0,17.0,5.0,105.0,14.0,7.0,10.0,13.0,47.0,2675.0,25.0,38.0,46.0,44.0,33.0,519.0,214.0,215.0,48.0
4782,2.0,8.0,17.0,0.0,78.0,11.0,13.0,5.0,19.0,18.0,7.0,12.0,9.0,3.0,23.0,6.0,26.0,71.0,10.0,765.0,6993.0,20.0,34.0,104.0,28.0,598.0,281.0,33.0,32.0,218.0
4831,2.0,0.0,4.0,1.0,302.0,13.0,6.0,33.0,59.0,7.0,491.0,9.0,15.0,5.0,42.0,1225.0,19.0,14.0,11.0,86.0,84.0,1203.0,38.0,127.0,53.0,327.0,330.0,29.0,30.0,26.0
4880,3.0,1.0,2.0,0.0,68.0,4.0,50.0,14.0,21.0,23.0,16.0,13.0,7.0,8.0,12.0,63.0,10.0,30.0,25.0,86.0,193.0,18.0,59.0,159.0,198.0,34.0,229.0,45.0,46.0,35.0
