,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
1106,14498.0,21935.0,14.0,323.0,7.0,79.0,324.0,58.0,16888.0,29.0,17344.0,63.0,22530.0,22927.0,242.0,22039.0,164.0,3214.0,24134.0,23.0,90.0,15400.0,13953.0,45.0,150.0,14039.0,1808.0,2.0,17435.0,15.0
1155,14404.0,75.0,17863.0,53.0,220.0,102.0,8409.0,150.0,44.0,3.0,17120.0,117.0,22461.0,30.0,4.0,80.0,146.0,2095.0,24134.0,174.0,16221.0,455.0,13890.0,22914.0,22916.0,26.0,18100.0,6.0,1.0,21.0
1204,15419.0,35.0,242.0,67.0,19.0,324.0,1904.0,16864.0,17.0,0.0,17334.0,21927.0,22504.0,399.0,22.0,2.0,18323.0,76.0,722.0,551.0,15771.0,298.0,288.0,22951.0,40.0,247.0,18035.0,8.0,631.0,26.0
1253,499.0,4.0,17909.0,165.0,17365.0,325.0,1774.0,16882.0,16881.0,2.0,17370.0,73.0,22532.0,2067.0,5.0,11.0,59.0,3837.0,1293.0,623.0,15748.0,669.0,61.0,22952.0,16.0,40.0,218.0,18578.0,17459.0,12825.0
1302,96.0,2.0,17933.0,1414.0,17358.0,14832.0,1099.0,151.0,12.0,24.0,235.0,81.0,22544.0,22940.0,497.0,22022.0,18324.0,2449.0,24134.0,131.0,15762.0,15483.0,49.0,803.0,61.0,85.0,17990.0,18650.0,1249.0,12921.0
1351,1.0,18.0,19.0,16591.0,10.0,34.0,584.0,78.0,70.0,5.0,17325.0,48.0,90.0,23045.0,71.0,4.0,2.0,88.0,1990.0,12495.0,15971.0,423.0,32.0,207.0,13.0,13992.0,18065.0,19039.0,871.0,9.0
1400,88.0,5.0,1981.0,545.0,17349.0,14794.0,317.0,16822.0,8.0,9.0,17341.0,200.0,60.0,22940.0,12.0,150.0,2.0,117.0,518.0,10651.0,15778.0,571.0,14073.0,22957.0,22958.0,468.0,18105.0,18614.0,17469.0,3.0
1449,16.0,1.0,17912.0,2471.0,17216.0,157.0,457.0,569.0,98.0,22.0,295.0,70.0,66.0,23003.0,0.0,29.0,145.0,3494.0,1299.0,10352.0,15734.0,344.0,13913.0,23039.0,23040.0,14011.0,18060.0,18998.0,68.0,12805.0
1498,81.0,17.0,3.0,95.0,17927.0,197.0,53.0,205.0,16686.0,49.0,17932.0,21340.0,22156.0,23841.0,18139.0,646.0,261.0,3433.0,43.0,607.0,7.0,65.0,18.0,24125.0,24126.0,306.0,0.0,18812.0,17338.0,79.0
1547,118.0,41.0,32.0,186.0,515.0,478.0,13.0,105.0,45.0,18066.0,83.0,21952.0,22397.0,313.0,18236.0,22038.0,5.0,2.0,21.0,25.0,4.0,112.0,738.0,23907.0,422.0,461.0,148.0,18652.0,1.0,22.0
