,PKC-alpha,Gab2,XBP1,c-Jun_pS73,RAD51,AMPK_alpha,p70S6K_pT389,4E-BP1_pS65,Bax,Rictor_pT1135,Caspase-7_cleavedD198,TFRC,HSP70,GSK-3-BETA,PKC-delta_pS664,JNK2,Smac,GSK3_pS9,YB-1_pS102,CDK1,N-Cadherin,MSH6,ADAR1,GAPDH,Paxillin,GSK3-alpha-beta,PDCD4,Beclin,beta-Catenin,c-Kit
490,2.0,5.0,1.0,21.0,3.0,0.0,37.0,10.0,34.0,29.0,24.0,6.0,18.0,20.0,4.0,9.0,25.0,16.0,11.0,13.0,31.0,100.0,109.0,63.0,80.0,62.0,103.0,55.0,56.0,35.0
539,2.0,1.0,4.0,19.0,6.0,0.0,10.0,98.0,39.0,5.0,58.0,16.0,11.0,8.0,3.0,20.0,70.0,7.0,31.0,15.0,69.0,109.0,108.0,46.0,22.0,14.0,48.0,18.0,21.0,65.0
588,8.0,2.0,20.0,16.0,11.0,0.0,4.0,3.0,56.0,9.0,15.0,30.0,22.0,6.0,17.0,62.0,103.0,5.0,7.0,55.0,37.0,10.0,117.0,33.0,73.0,13.0,121.0,40.0,53.0,31.0
637,2.0,14.0,5.0,18.0,1.0,0.0,24.0,67.0,25.0,23.0,30.0,36.0,7.0,11.0,3.0,8.0,88.0,4.0,6.0,19.0,64.0,10.0,59.0,38.0,138.0,107.0,124.0,12.0,96.0,48.0
686,2.0,0.0,1.0,31.0,4.0,3.0,11.0,52.0,21.0,5.0,14.0,8.0,47.0,6.0,7.0,22.0,43.0,37.0,10.0,29.0,46.0,18.0,15.0,19.0,27.0,24.0,78.0,35.0,51.0,33.0
735,4.0,3.0,1.0,16.0,23.0,0.0,12.0,10.0,11.0,13.0,14.0,15.0,24.0,6.0,2.0,8.0,84.0,5.0,42.0,7.0,97.0,25.0,21.0,63.0,112.0,9.0,30.0,55.0,58.0,91.0
784,7.0,8.0,0.0,19.0,24.0,1.0,29.0,4.0,31.0,25.0,22.0,20.0,3.0,11.0,5.0,10.0,60.0,13.0,110.0,12.0,69.0,18.0,59.0,151.0,2.0,6.0,16.0,64.0,23.0,32.0
833,1.0,16.0,11.0,6.0,80.0,0.0,5.0,24.0,25.0,4.0,17.0,34.0,13.0,84.0,2.0,9.0,21.0,3.0,12.0,19.0,68.0,10.0,36.0,52.0,57.0,44.0,7.0,67.0,14.0,51.0
882,1.0,6.0,10.0,5.0,13.0,0.0,38.0,26.0,110.0,22.0,4.0,31.0,43.0,12.0,3.0,41.0,9.0,2.0,8.0,39.0,70.0,15.0,30.0,27.0,75.0,68.0,105.0,88.0,16.0,18.0
931,1.0,10.0,2.0,3.0,16.0,0.0,4.0,82.0,12.0,27.0,8.0,15.0,40.0,20.0,5.0,37.0,13.0,7.0,34.0,49.0,111.0,6.0,35.0,94.0,24.0,30.0,108.0,21.0,66.0,23.0
980,8.0,11.0,0.0,5.0,2.0,28.0,16.0,7.0,3.0,18.0,30.0,102.0,13.0,4.0,61.0,33.0,15.0,57.0,24.0,38.0,32.0,25.0,10.0,26.0,101.0,47.0,1.0,35.0,14.0,9.0
1029,0.0,5.0,1.0,3.0,2.0,6.0,19.0,11.0,4.0,45.0,9.0,15.0,21.0,14.0,65.0,24.0,86.0,38.0,53.0,54.0,7.0,108.0,39.0,17.0,131.0,8.0,28.0,35.0,33.0,16.0
1078,7.0,5.0,8.0,6.0,1.0,2.0,18.0,37.0,32.0,80.0,11.0,9.0,13.0,17.0,106.0,0.0,73.0,75.0,21.0,14.0,3.0,90.0,36.0,16.0,52.0,31.0,4.0,23.0,49.0,28.0
1127,2.0,16.0,13.0,8.0,39.0,12.0,1.0,0.0,27.0,138.0,44.0,36.0,64.0,21.0,10.0,4.0,93.0,37.0,33.0,40.0,5.0,11.0,6.0,47.0,26.0,9.0,3.0,20.0,131.0,83.0
1176,5.0,6.0,0.0,14.0,44.0,2.0,29.0,1.0,4.0,100.0,9.0,84.0,10.0,19.0,17.0,38.0,96.0,32.0,85.0,88.0,26.0,130.0,16.0,49.0,110.0,36.0,7.0,25.0,119.0,22.0
1225,4.0,1.0,7.0,13.0,6.0,9.0,8.0,0.0,2.0,37.0,30.0,12.0,18.0,11.0,68.0,5.0,65.0,52.0,29.0,22.0,3.0,81.0,34.0,20.0,26.0,53.0,32.0,50.0,42.0,125.0
1274,1.0,3.0,16.0,11.0,5.0,9.0,52.0,0.0,8.0,49.0,18.0,149.0,23.0,2.0,10.0,25.0,42.0,15.0,99.0,22.0,106.0,107.0,4.0,20.0,30.0,6.0,92.0,145.0,57.0,101.0
1323,0.0,5.0,7.0,3.0,10.0,25.0,6.0,12.0,13.0,61.0,18.0,23.0,19.0,42.0,50.0,1.0,30.0,49.0,41.0,36.0,35.0,94.0,4.0,24.0,21.0,11.0,37.0,28.0,128.0,146.0
1372,0.0,3.0,25.0,1.0,22.0,11.0,20.0,2.0,13.0,39.0,5.0,30.0,31.0,4.0,52.0,16.0,6.0,7.0,126.0,49.0,9.0,45.0,15.0,17.0,122.0,33.0,18.0,115.0,32.0,94.0
1421,0.0,5.0,2.0,3.0,6.0,19.0,8.0,1.0,36.0,32.0,25.0,28.0,26.0,11.0,27.0,4.0,109.0,14.0,17.0,13.0,131.0,16.0,41.0,40.0,10.0,60.0,77.0,39.0,67.0,106.0
1470,2.0,0.0,1.0,8.0,19.0,11.0,3.0,5.0,14.0,7.0,10.0,6.0,21.0,9.0,32.0,26.0,25.0,27.0,46.0,40.0,20.0,58.0,69.0,33.0,39.0,22.0,13.0,123.0,28.0,15.0
1519,2.0,1.0,3.0,0.0,7.0,11.0,6.0,10.0,12.0,5.0,39.0,15.0,14.0,8.0,73.0,4.0,125.0,30.0,35.0,26.0,23.0,67.0,74.0,137.0,85.0,17.0,46.0,9.0,129.0,44.0
1568,1.0,0.0,3.0,7.0,2.0,47.0,10.0,4.0,14.0,12.0,20.0,59.0,45.0,13.0,76.0,5.0,21.0,37.0,35.0,129.0,29.0,11.0,95.0,15.0,17.0,27.0,9.0,90.0,8.0,83.0
1617,11.0,0.0,4.0,1.0,3.0,32.0,86.0,13.0,8.0,2.0,6.0,30.0,21.0,5.0,37.0,28.0,88.0,12.0,36.0,9.0,25.0,49.0,27.0,129.0,7.0,87.0,51.0,17.0,23.0,89.0
1666,3.0,0.0,1.0,4.0,2.0,13.0,16.0,5.0,17.0,9.0,6.0,23.0,47.0,46.0,59.0,38.0,18.0,76.0,7.0,22.0,15.0,27.0,39.0,25.0,71.0,129.0,31.0,30.0,11.0,8.0
1715,3.0,0.0,1.0,14.0,17.0,118.0,20.0,25.0,10.0,24.0,13.0,6.0,5.0,11.0,114.0,140.0,38.0,12.0,19.0,46.0,90.0,156.0,32.0,43.0,16.0,119.0,26.0,42.0,4.0,9.0
1764,1.0,2.0,4.0,6.0,0.0,50.0,7.0,17.0,3.0,8.0,79.0,10.0,97.0,13.0,94.0,28.0,39.0,51.0,5.0,38.0,47.0,15.0,19.0,83.0,14.0,27.0,16.0,46.0,20.0,11.0
1813,0.0,3.0,15.0,1.0,10.0,30.0,31.0,44.0,11.0,4.0,57.0,7.0,63.0,13.0,21.0,35.0,6.0,32.0,8.0,49.0,98.0,124.0,40.0,107.0,22.0,45.0,2.0,67.0,48.0,73.0
1862,0.0,4.0,6.0,5.0,1.0,16.0,15.0,2.0,3.0,7.0,44.0,14.0,10.0,9.0,11.0,24.0,17.0,23.0,8.0,26.0,102.0,12.0,43.0,91.0,18.0,71.0,92.0,104.0,20.0,40.0
1911,0.0,2.0,7.0,4.0,8.0,3.0,10.0,11.0,1.0,91.0,9.0,5.0,41.0,12.0,36.0,14.0,23.0,42.0,35.0,63.0,50.0,6.0,99.0,21.0,38.0,51.0,29.0,79.0,16.0,92.0
1960,4.0,2.0,3.0,8.0,0.0,9.0,10.0,16.0,1.0,27.0,20.0,11.0,14.0,13.0,7.0,68.0,37.0,15.0,19.0,34.0,118.0,91.0,51.0,39.0,108.0,6.0,24.0,61.0,82.0,38.0
2009,11.0,2.0,4.0,0.0,1.0,26.0,10.0,6.0,7.0,25.0,112.0,14.0,8.0,12.0,23.0,106.0,3.0,30.0,19.0,105.0,107.0,96.0,49.0,21.0,90.0,17.0,18.0,44.0,43.0,9.0
2058,17.0,3.0,1.0,0.0,2.0,14.0,12.0,67.0,8.0,63.0,27.0,5.0,18.0,79.0,9.0,16.0,95.0,56.0,19.0,10.0,98.0,49.0,7.0,15.0,54.0,22.0,46.0,13.0,65.0,43.0
2107,4.0,2.0,7.0,0.0,1.0,58.0,5.0,121.0,3.0,10.0,76.0,6.0,14.0,21.0,34.0,13.0,9.0,8.0,39.0,62.0,24.0,33.0,18.0,112.0,120.0,55.0,57.0,16.0,95.0,22.0
2156,31.0,0.0,3.0,5.0,1.0,43.0,2.0,33.0,4.0,18.0,85.0,20.0,17.0,7.0,34.0,10.0,97.0,11.0,35.0,42.0,27.0,68.0,15.0,67.0,117.0,14.0,40.0,38.0,90.0,114.0
2205,14.0,4.0,1.0,5.0,0.0,7.0,10.0,13.0,2.0,57.0,40.0,9.0,6.0,3.0,23.0,103.0,34.0,25.0,56.0,17.0,27.0,49.0,15.0,62.0,109.0,36.0,16.0,46.0,52.0,135.0
2254,99.0,0.0,31.0,2.0,1.0,40.0,8.0,19.0,3.0,9.0,4.0,7.0,21.0,76.0,12.0,33.0,56.0,133.0,65.0,15.0,81.0,26.0,6.0,13.0,78.0,73.0,96.0,49.0,153.0,55.0
2303,5.0,3.0,7.0,1.0,0.0,18.0,28.0,12.0,2.0,6.0,23.0,19.0,10.0,82.0,44.0,29.0,90.0,100.0,41.0,21.0,30.0,4.0,66.0,120.0,26.0,25.0,77.0,9.0,48.0,16.0
2352,8.0,3.0,14.0,5.0,0.0,38.0,6.0,11.0,1.0,13.0,57.0,16.0,10.0,23.0,31.0,110.0,17.0,2.0,25.0,4.0,40.0,32.0,126.0,109.0,18.0,121.0,22.0,42.0,104.0,44.0
2401,23.0,3.0,4.0,1.0,0.0,6.0,19.0,14.0,8.0,114.0,70.0,20.0,2.0,32.0,7.0,22.0,38.0,13.0,29.0,5.0,119.0,30.0,52.0,53.0,113.0,83.0,50.0,72.0,73.0,60.0
2450,12.0,3.0,0.0,5.0,2.0,11.0,4.0,1.0,9.0,8.0,19.0,117.0,53.0,27.0,6.0,15.0,138.0,67.0,17.0,42.0,59.0,14.0,38.0,62.0,72.0,34.0,140.0,109.0,50.0,78.0
2499,9.0,20.0,0.0,2.0,13.0,25.0,7.0,5.0,1.0,3.0,10.0,12.0,18.0,109.0,26.0,8.0,36.0,22.0,21.0,6.0,19.0,23.0,68.0,4.0,63.0,14.0,126.0,28.0,150.0,148.0
2548,6.0,4.0,0.0,9.0,2.0,14.0,20.0,7.0,3.0,10.0,18.0,15.0,12.0,24.0,28.0,1.0,31.0,33.0,11.0,13.0,37.0,22.0,86.0,5.0,132.0,25.0,150.0,133.0,36.0,75.0
2597,6.0,2.0,0.0,11.0,10.0,25.0,3.0,5.0,4.0,23.0,8.0,52.0,54.0,13.0,14.0,1.0,9.0,50.0,16.0,34.0,158.0,7.0,83.0,17.0,131.0,62.0,32.0,33.0,26.0,21.0
2646,11.0,8.0,0.0,12.0,3.0,20.0,5.0,13.0,2.0,1.0,4.0,42.0,22.0,56.0,23.0,7.0,19.0,73.0,9.0,10.0,146.0,6.0,46.0,49.0,133.0,116.0,93.0,149.0,121.0,16.0
2695,7.0,2.0,3.0,5.0,11.0,17.0,10.0,31.0,0.0,9.0,6.0,18.0,12.0,51.0,22.0,1.0,13.0,37.0,8.0,21.0,111.0,26.0,4.0,33.0,100.0,64.0,102.0,35.0,43.0,94.0
2744,0.0,4.0,1.0,3.0,38.0,78.0,5.0,9.0,6.0,27.0,23.0,24.0,50.0,25.0,11.0,2.0,16.0,22.0,30.0,7.0,68.0,14.0,8.0,67.0,13.0,48.0,154.0,69.0,41.0,112.0
2793,3.0,6.0,0.0,4.0,31.0,14.0,2.0,7.0,5.0,10.0,16.0,36.0,122.0,12.0,57.0,1.0,20.0,11.0,13.0,8.0,143.0,126.0,48.0,41.0,52.0,25.0,91.0,104.0,23.0,74.0
2842,1.0,20.0,2.0,4.0,5.0,9.0,3.0,10.0,6.0,23.0,0.0,27.0,8.0,96.0,24.0,7.0,45.0,112.0,11.0,75.0,61.0,13.0,113.0,43.0,53.0,57.0,139.0,117.0,25.0,16.0
2891,1.0,10.0,0.0,5.0,6.0,8.0,2.0,4.0,7.0,3.0,18.0,11.0,33.0,42.0,22.0,9.0,19.0,45.0,43.0,12.0,136.0,77.0,115.0,60.0,52.0,63.0,90.0,80.0,88.0,40.0
2940,6.0,12.0,3.0,0.0,102.0,2.0,11.0,1.0,5.0,8.0,32.0,124.0,16.0,23.0,24.0,25.0,74.0,99.0,61.0,36.0,13.0,40.0,31.0,55.0,21.0,73.0,4.0,103.0,10.0,45.0
2989,3.0,29.0,2.0,4.0,36.0,1.0,11.0,0.0,8.0,13.0,9.0,15.0,17.0,95.0,10.0,86.0,7.0,28.0,41.0,31.0,18.0,14.0,55.0,37.0,50.0,91.0,5.0,22.0,90.0,44.0
3038,1.0,10.0,19.0,0.0,8.0,20.0,39.0,2.0,4.0,6.0,3.0,28.0,16.0,92.0,111.0,12.0,26.0,71.0,13.0,153.0,9.0,58.0,67.0,18.0,24.0,53.0,15.0,82.0,150.0,27.0
3087,0.0,39.0,4.0,1.0,20.0,6.0,42.0,3.0,2.0,16.0,10.0,34.0,72.0,15.0,24.0,55.0,54.0,14.0,5.0,101.0,30.0,69.0,85.0,90.0,8.0,19.0,9.0,49.0,18.0,31.0
3136,0.0,48.0,13.0,6.0,5.0,2.0,4.0,1.0,18.0,16.0,21.0,139.0,17.0,7.0,11.0,100.0,32.0,94.0,45.0,54.0,37.0,9.0,22.0,19.0,28.0,42.0,8.0,15.0,119.0,12.0
3185,2.0,13.0,4.0,0.0,30.0,21.0,7.0,3.0,8.0,74.0,15.0,24.0,18.0,54.0,16.0,38.0,17.0,53.0,1.0,68.0,65.0,26.0,5.0,50.0,93.0,72.0,12.0,36.0,148.0,64.0
3234,0.0,14.0,5.0,6.0,35.0,19.0,1.0,10.0,11.0,3.0,2.0,8.0,9.0,15.0,12.0,16.0,18.0,75.0,7.0,68.0,31.0,17.0,116.0,25.0,27.0,46.0,73.0,24.0,34.0,103.0
3283,0.0,21.0,4.0,7.0,8.0,1.0,9.0,3.0,2.0,6.0,25.0,15.0,5.0,123.0,17.0,50.0,19.0,79.0,14.0,53.0,20.0,35.0,23.0,13.0,52.0,62.0,12.0,128.0,37.0,118.0
3332,3.0,47.0,2.0,1.0,22.0,4.0,5.0,0.0,8.0,21.0,35.0,9.0,6.0,29.0,43.0,46.0,19.0,68.0,7.0,83.0,20.0,97.0,62.0,10.0,13.0,58.0,53.0,80.0,26.0,78.0
3381,0.0,3.0,40.0,1.0,11.0,6.0,5.0,32.0,13.0,8.0,34.0,35.0,4.0,105.0,15.0,2.0,44.0,70.0,36.0,39.0,37.0,14.0,59.0,41.0,10.0,16.0,9.0,42.0,22.0,89.0
3430,1.0,3.0,2.0,0.0,5.0,7.0,8.0,4.0,17.0,24.0,159.0,25.0,14.0,9.0,12.0,11.0,6.0,13.0,23.0,26.0,19.0,75.0,62.0,91.0,21.0,33.0,83.0,29.0,112.0,87.0
3479,2.0,4.0,10.0,0.0,1.0,6.0,5.0,125.0,15.0,7.0,3.0,24.0,34.0,11.0,9.0,13.0,17.0,43.0,38.0,49.0,25.0,44.0,30.0,76.0,78.0,92.0,26.0,23.0,55.0,80.0
3528,0.0,6.0,3.0,2.0,8.0,4.0,19.0,20.0,13.0,11.0,23.0,12.0,14.0,29.0,1.0,35.0,7.0,16.0,9.0,38.0,58.0,132.0,93.0,140.0,5.0,15.0,33.0,28.0,54.0,160.0
3577,6.0,3.0,0.0,7.0,10.0,14.0,5.0,1.0,9.0,27.0,8.0,18.0,46.0,4.0,2.0,118.0,12.0,28.0,16.0,26.0,117.0,91.0,35.0,54.0,106.0,57.0,44.0,37.0,20.0,13.0
3626,4.0,2.0,0.0,1.0,6.0,12.0,15.0,18.0,10.0,11.0,26.0,32.0,14.0,3.0,7.0,53.0,8.0,34.0,92.0,5.0,42.0,24.0,137.0,40.0,13.0,19.0,23.0,43.0,21.0,16.0
3675,4.0,2.0,0.0,6.0,77.0,14.0,16.0,5.0,63.0,72.0,11.0,8.0,7.0,3.0,18.0,109.0,27.0,1.0,10.0,22.0,75.0,118.0,31.0,20.0,41.0,15.0,100.0,61.0,42.0,46.0
3724,29.0,4.0,0.0,1.0,3.0,28.0,9.0,7.0,37.0,17.0,8.0,2.0,13.0,110.0,31.0,10.0,6.0,5.0,12.0,108.0,48.0,112.0,69.0,46.0,18.0,11.0,53.0,58.0,51.0,14.0
3773,10.0,0.0,2.0,4.0,11.0,7.0,31.0,13.0,40.0,9.0,28.0,24.0,8.0,18.0,117.0,114.0,15.0,1.0,132.0,75.0,17.0,63.0,3.0,50.0,54.0,22.0,5.0,27.0,43.0,73.0
3822,0.0,9.0,2.0,3.0,1.0,81.0,28.0,12.0,5.0,36.0,7.0,26.0,8.0,54.0,42.0,31.0,13.0,6.0,24.0,131.0,16.0,72.0,17.0,134.0,14.0,23.0,19.0,47.0,57.0,15.0
3871,6.0,0.0,4.0,5.0,33.0,13.0,9.0,2.0,10.0,11.0,1.0,15.0,24.0,16.0,162.0,101.0,3.0,27.0,28.0,14.0,17.0,37.0,8.0,50.0,12.0,26.0,22.0,77.0,54.0,88.0
3920,2.0,7.0,89.0,4.0,6.0,1.0,11.0,13.0,20.0,3.0,8.0,22.0,26.0,14.0,0.0,64.0,57.0,5.0,42.0,15.0,18.0,88.0,156.0,10.0,29.0,44.0,105.0,23.0,39.0,9.0
3969,12.0,13.0,3.0,0.0,2.0,4.0,18.0,50.0,14.0,7.0,1.0,9.0,133.0,16.0,70.0,43.0,15.0,11.0,26.0,31.0,40.0,134.0,23.0,25.0,72.0,5.0,28.0,39.0,17.0,6.0
4018,22.0,4.0,15.0,8.0,2.0,1.0,27.0,54.0,9.0,0.0,16.0,12.0,69.0,19.0,11.0,14.0,52.0,10.0,20.0,13.0,32.0,6.0,28.0,127.0,59.0,26.0,46.0,104.0,7.0,24.0
4067,6.0,1.0,0.0,2.0,3.0,22.0,20.0,27.0,69.0,16.0,5.0,14.0,98.0,17.0,84.0,75.0,4.0,10.0,141.0,13.0,114.0,120.0,130.0,43.0,15.0,70.0,93.0,150.0,7.0,67.0
4116,4.0,1.0,0.0,8.0,6.0,14.0,90.0,10.0,161.0,7.0,3.0,36.0,15.0,5.0,2.0,16.0,30.0,11.0,67.0,58.0,22.0,43.0,13.0,42.0,41.0,28.0,129.0,83.0,12.0,55.0
4165,4.0,2.0,6.0,0.0,11.0,10.0,156.0,42.0,65.0,9.0,3.0,18.0,5.0,1.0,7.0,108.0,36.0,19.0,133.0,12.0,60.0,62.0,14.0,81.0,143.0,38.0,122.0,31.0,30.0,27.0
4214,11.0,8.0,1.0,14.0,0.0,28.0,3.0,39.0,5.0,2.0,6.0,9.0,75.0,7.0,4.0,113.0,13.0,24.0,43.0,38.0,36.0,15.0,18.0,127.0,44.0,31.0,71.0,23.0,26.0,66.0
4263,7.0,24.0,6.0,0.0,20.0,1.0,8.0,10.0,4.0,18.0,9.0,2.0,51.0,29.0,11.0,27.0,14.0,22.0,128.0,46.0,117.0,26.0,3.0,23.0,58.0,158.0,83.0,39.0,12.0,13.0
4312,2.0,5.0,8.0,0.0,66.0,4.0,10.0,33.0,3.0,13.0,1.0,109.0,7.0,6.0,29.0,17.0,23.0,19.0,141.0,41.0,67.0,85.0,43.0,78.0,56.0,31.0,156.0,53.0,150.0,24.0
4361,0.0,9.0,8.0,7.0,4.0,1.0,22.0,88.0,15.0,5.0,2.0,12.0,77.0,11.0,3.0,125.0,13.0,41.0,116.0,129.0,56.0,130.0,59.0,6.0,10.0,39.0,124.0,33.0,44.0,21.0
4410,2.0,33.0,13.0,6.0,39.0,0.0,1.0,3.0,34.0,5.0,42.0,14.0,4.0,143.0,29.0,44.0,59.0,61.0,8.0,24.0,49.0,36.0,43.0,120.0,37.0,12.0,7.0,18.0,17.0,19.0
4459,0.0,6.0,7.0,20.0,76.0,1.0,5.0,8.0,22.0,31.0,122.0,25.0,2.0,37.0,13.0,9.0,4.0,32.0,28.0,92.0,93.0,19.0,3.0,96.0,15.0,34.0,60.0,39.0,12.0,66.0
4508,0.0,3.0,8.0,5.0,13.0,4.0,10.0,1.0,7.0,2.0,19.0,36.0,14.0,86.0,61.0,17.0,34.0,11.0,6.0,72.0,23.0,135.0,76.0,26.0,22.0,124.0,39.0,16.0,41.0,143.0
4557,0.0,25.0,12.0,9.0,4.0,7.0,2.0,1.0,6.0,8.0,15.0,22.0,3.0,43.0,69.0,18.0,64.0,10.0,29.0,5.0,103.0,42.0,53.0,36.0,77.0,49.0,112.0,21.0,109.0,44.0
4606,1.0,8.0,11.0,4.0,6.0,5.0,2.0,0.0,14.0,18.0,39.0,13.0,17.0,88.0,16.0,10.0,27.0,3.0,26.0,19.0,41.0,20.0,9.0,63.0,12.0,40.0,28.0,7.0,81.0,15.0
4655,3.0,20.0,5.0,15.0,4.0,1.0,2.0,0.0,14.0,22.0,8.0,142.0,12.0,25.0,23.0,34.0,17.0,155.0,39.0,7.0,30.0,13.0,16.0,50.0,19.0,91.0,36.0,6.0,29.0,125.0
4704,1.0,2.0,10.0,24.0,4.0,0.0,5.0,8.0,87.0,28.0,15.0,32.0,3.0,26.0,17.0,113.0,9.0,6.0,97.0,70.0,13.0,37.0,7.0,20.0,59.0,51.0,11.0,44.0,14.0,65.0
4753,0.0,6.0,9.0,8.0,38.0,1.0,5.0,4.0,3.0,7.0,11.0,2.0,13.0,60.0,10.0,18.0,26.0,12.0,22.0,16.0,30.0,69.0,19.0,75.0,57.0,106.0,32.0,23.0,40.0,79.0
4802,2.0,3.0,19.0,9.0,5.0,1.0,0.0,6.0,38.0,4.0,15.0,12.0,10.0,7.0,22.0,27.0,11.0,34.0,97.0,89.0,54.0,77.0,8.0,13.0,65.0,17.0,93.0,47.0,18.0,52.0
4851,0.0,10.0,3.0,12.0,2.0,6.0,5.0,1.0,38.0,21.0,15.0,4.0,22.0,13.0,8.0,106.0,44.0,7.0,33.0,25.0,32.0,29.0,11.0,41.0,19.0,122.0,28.0,77.0,9.0,62.0
